,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other
7690,1.7614496499141596,531.4822027925225,0.35228993018511867,12.136388086418622,136.1776724155593,13.59839129563741,15.236539469822311
7691,1.6941419766968413,511.9697052785632,0.3388283955496846,11.90981809459286,128.3481961348893,14.95927365217374,14.569620997593963
7692,1.8921370059176068,567.8681581455468,0.3784274013718471,13.188194929839812,135.68514467769887,15.610130297112901,16.310220989215278
7693,2.0012369204987706,605.1340199533087,0.40024738427782014,10.486481462469483,134.16292313553225,15.569623239970777,16.069932470039802
7694,2.134876798520144,647.8497132157873,0.42697535987095503,10.546291383867132,130.33422853712005,18.850962129298505,17.228455762581838
7695,2.0770799919812486,631.9931290950691,0.4154159985678179,9.907671560941777,117.81197713322202,17.77980472973759,15.910432737147554
7696,1.9389681025403036,596.8531612534424,0.38779362069184126,7.891600176633541,116.14418932862777,16.384280464753466,15.821979715083431
7697,1.4279296486012616,443.9718862463971,0.2855859299697345,16.378353066189547,122.0308677431091,17.477858895372247,12.180239900219224
7698,1.2752779070937268,395.9227789282004,0.255055581698051,31.652397645744323,126.68610725633329,16.846421148442396,10.85261498674393
7699,1.1140538163022882,343.5296346720552,0.2228107635801209,27.572831943983818,111.86214365515724,14.76121306110652,9.603143893478517
7700,1.1527396038986002,356.4847223865032,0.2305479210886716,24.841538456072424,112.56502228334317,15.008669638114208,10.282437263714579
7701,1.3858005135276639,429.14084492486734,0.2771601029625902,21.410617929356555,126.84232097407983,15.950563907324344,11.460570244536433
7702,1.8626574123216937,572.7485276414747,0.3725314826556428,17.378593654968668,153.87412881237128,17.56485939617691,15.422803372282079
7703,2.1009635263732327,637.1592085790962,0.42019270544426557,8.61395045747277,143.4747992017553,13.71929182604431,17.311939455779836
7704,2.2442661297895823,665.9410886337398,0.448853226116711,0.17954129056571833,109.18354720480139,6.3288304856452635,18.964048795242686
7705,1.8200157625277826,520.8157105351324,0.36400315270133926,0.018200157867178355,68.70559502642612,1.6380141862994835,14.287123734166041
7706,1.6582349748152347,470.88898572224366,0.3316469951779135,0.016582350013664173,52.6157957426299,0.09949409874120721,12.768409304277004
7707,0.9925894829776137,281.75645051106915,0.19851789695423588,0.009925895273883172,33.033377979006964,0.009925895273883172,7.682642595221782
7708,0.027733972872432698,7.864795368083121,0.005546808698771477,0.0002773628398605269,0.9568215113587758,0.0002773628398605269,0.2238130441104991
