,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Waste,Wind Onshore
4919,6.863002534315663e-10,6.86593336656044e-10,6.865969347838542e-10,6.845608080492373e-10,6.856834949013467e-10,6.857486074605359e-10,6.866408582918937e-10,6.863174484280456e-10,6.857701104211008e-10,6.857559333148028e-10,6.863526217284418e-10
4920,6.803308685845552e-10,6.806139478245446e-10,6.806066235644896e-10,6.785712244804611e-10,6.797272569151009e-10,6.797838231568425e-10,6.806576418029467e-10,6.803387668528973e-10,6.797838231568425e-10,6.797762844114943e-10,6.803552542650128e-10
4921,7.042842214679827e-10,7.045959941741609e-10,7.045905269537172e-10,7.026581372923906e-10,7.036549639912564e-10,7.03714750972537e-10,7.046434392938634e-10,7.042875430677102e-10,7.036253697451608e-10,7.03681722673662e-10,7.042315746759245e-10
4922,9.628508536658474e-10,9.636037486041573e-10,9.635910561267886e-10,9.648337680045727e-10,9.61962943986097e-10,9.620776042828861e-10,9.63682201125198e-10,9.630167338520858e-10,9.615472476021112e-10,9.620629815704697e-10,9.628131542710413e-10
4923,1.0557508345295947e-09,1.0567525660508886e-09,1.0567384005851948e-09,1.0601209605254652e-09,1.0548001128370823e-09,1.0549449560615936e-09,1.0568470634592774e-09,1.0560586693678022e-09,1.054447608849832e-09,1.054888474379927e-09,1.0557252470461394e-09
4924,5.824536223544168e-10,5.82758439895127e-10,5.82762515984198e-10,5.805237302486557e-10,5.820847416211521e-10,5.821299156079691e-10,5.827951391649921e-10,5.825667851272696e-10,5.820217687113956e-10,5.821299156079691e-10,5.824548212888621e-10
4925,0.8993676564734149,11.73654440848415,12.298140500026367,0.0016278174857524464,0.1953377735921855,0.22789406875439697,30.025043215662322,1.3836425470074567,0.21975499496381795,0.2319636056496869,0.6836822010250836
4926,6.020926671257209,61.619763515475476,64.44075713044148,0.008420876969386953,1.1578705141139634,1.5368099549303713,155.21780539710875,6.989327464454514,1.2631314698963019,1.1999748964268993,3.242037438604025
4927,8.021956952039067,79.54658655106697,84.66125709070388,0.010767727848050149,1.4805625250295245,2.0458682162526105,198.58381353145862,9.152568334485133,1.695917074066894,1.5344011622888676,2.7188511819943555
4928,6.982227020701998,67.038658101771,75.92302005775763,0.009278707463498336,1.2990189809713493,1.7629543311534908,171.09935714760908,7.8869009535570465,1.4845931210442096,1.2526254459531334,2.714021799026822
