,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Wind Onshore
44,9.001797731245438e-10,9.008967945150136e-10,9.00894408008146e-10,9.005500181763309e-10,9.004538252482453e-10,8.974913991237742e-10,9.010971548030454e-10,8.998207940223054e-10,9.011624496121869e-10,9.010433761481708e-10,9.003302973243603e-10,9.012342876949492e-10,9.012342876949492e-10
45,6.103785627253508e-10,6.107241451983549e-10,6.107256999376073e-10,6.105709088955013e-10,6.105140764594798e-10,6.086249476493027e-10,6.108140411177047e-10,6.098160293117532e-10,6.10850411076055e-10,6.107901023182371e-10,6.104503779908297e-10,6.086249476493027e-10,6.086249476493027e-10
46,4.389646530241468e-10,4.391490614569368e-10,4.3914877174311045e-10,4.3906419080939725e-10,4.3903860831104275e-10,4.3718276440876164e-10,4.392027369495644e-10,4.3718276440876164e-10,4.392257690686868e-10,4.3918727251934735e-10,4.3900795082692035e-10,4.3718276440876164e-10,4.3718276440876164e-10
47,3.940493316965801e-10,3.941971669211384e-10,3.9419787151732797e-10,3.9412781003424955e-10,3.941086927273205e-10,3.9236662044290703e-10,3.942409038804411e-10,3.9387788295088945e-10,3.9426005935861873e-10,3.9422915535116366e-10,3.940813949353385e-10,3.9236662044290703e-10,3.9236662044290703e-10
48,2.8419544505205446e-10,2.8427309350746376e-10,2.8427294740692775e-10,2.842334544837309e-10,2.8422518762978823e-10,2.829021969011378e-10,2.842990865525935e-10,2.829021969011378e-10,2.843094280429843e-10,2.842922959467976e-10,2.842131224846556e-10,2.829021969011378e-10,2.829021969011378e-10
49,3.458160682790334e-10,3.459292568174084e-10,3.459275996755371e-10,3.4586941795974627e-10,3.4586150403225976e-10,3.4427440305454003e-10,3.4596336121993133e-10,3.4427440305454003e-10,3.459809239003754e-10,3.4595600564992635e-10,3.458429123822761e-10,3.4427440305454003e-10,3.4427440305454003e-10
50,2.514826838038047e-10,2.5154453215590633e-10,2.515436345469177e-10,2.515100329537402e-10,2.515058779024825e-10,2.5035080137515956e-10,2.5156463153618964e-10,2.5035080137515956e-10,2.5157403409021535e-10,2.515605781214927e-10,2.514953306799835e-10,2.5035080137515956e-10,2.5035080137515956e-10
51,2.2578267415188184e-10,2.2583345334786495e-10,2.2583290813054284e-10,2.2580376285044618e-10,2.2580027870845507e-10,2.2479623805883405e-10,2.258502744207741e-10,2.2479623805883405e-10,2.258581052766121e-10,2.2584702977375267e-10,2.2579156705433877e-10,2.2479623805883405e-10,2.2479623805883405e-10
52,2.4158855659520547e-10,2.416467254670817e-10,2.4164599819287656e-10,2.4161401519528034e-10,2.4161012103132783e-10,2.405105496483014e-10,2.4166560336223473e-10,2.405105496483014e-10,2.416744792141823e-10,2.4166191162176597e-10,2.41601321017921e-10,2.405105496483014e-10,2.405105496483014e-10
53,2.4300908935003296e-10,2.4306909168104147e-10,2.4306832678703433e-10,2.4303579370846646e-10,2.430319075170823e-10,2.4192091575400095e-10,2.430895061797976e-10,2.4192091575400095e-10,2.4309869484072554e-10,2.430853162544549e-10,2.430210984163528e-10,2.4192091575400095e-10,2.4192091575400095e-10
54,4.1362896343457743e-10,4.137871605676881e-10,4.137863335301927e-10,4.137050331893394e-10,4.1369216060052873e-10,4.1189297427438107e-10,4.1383439313494785e-10,4.118074146951647e-10,4.1385938077093335e-10,4.138240039642794e-10,4.1365971267546e-10,4.1189297427438107e-10,4.1189297427438107e-10
55,5.73576841054551e-10,5.738812358253115e-10,5.738831851487586e-10,5.737410699592263e-10,5.736920231258516e-10,5.717290644617125e-10,5.739620115072885e-10,5.730324312313257e-10,5.740027159132691e-10,5.739448831503438e-10,5.736338875504469e-10,5.717290644617125e-10,5.717290644617125e-10
56,4.240649999627614e-10,4.2423075417818535e-10,4.242321219130192e-10,4.241528552001372e-10,4.24129027788061e-10,4.241881605678227e-10,4.2428146485439007e-10,4.241152217620777e-10,4.243036009677217e-10,4.242684064291754e-10,4.2409018761733535e-10,4.2301237414510026e-10,4.2230700082486723e-10
57,4.02857614964156e-10,4.030057687665519e-10,4.0300679068723676e-10,4.029365584168051e-10,4.0291711732280935e-10,4.029702733147502e-10,4.0305346310960175e-10,4.0292082976896873e-10,4.0307246004388e-10,4.0304029262382325e-10,4.0288354900274035e-10,4.028484339834044e-10,4.0114845170911637e-10
58,3.85732098371905e-10,3.858676413834942e-10,3.8586739990794724e-10,3.8580167388899445e-10,3.8578649558090616e-10,3.858243659987256e-10,3.8591171921668454e-10,3.857689425765901e-10,3.859293729381621e-10,3.858994908657029e-10,3.8575585764300704e-10,3.8581232252611977e-10,3.8406723267109624e-10
59,5.013954578189712e-10,5.016119343765961e-10,5.016107674794254e-10,5.014999015313036e-10,5.014742049735463e-10,4.999362916356434e-10,5.016790212984854e-10,5.01088743092886e-10,5.017068987734286e-10,5.016600839556352e-10,5.014222969032835e-10,5.015736300353055e-10,4.995225591782331e-10
60,4.738685178726178e-10,4.740532693449237e-10,4.740525886100373e-10,4.73953964907054e-10,4.739289414926653e-10,4.720098904998868e-10,4.741144703906501e-10,4.720098904998868e-10,4.741400029732376e-10,4.740961763507192e-10,4.738823773904096e-10,4.740048275899589e-10,4.720098904998868e-10
61,5.318364401739742e-10,5.320830725204263e-10,5.320868906001278e-10,5.319758803972331e-10,5.319246339881571e-10,5.299528221521639e-10,5.321560063180439e-10,5.313300044447769e-10,5.321854884395891e-10,5.321339030677295e-10,5.318663911577174e-10,5.318816295347792e-10,5.299528221521639e-10
62,4.3525581039564974e-10,4.354229705626949e-10,4.354272109877134e-10,4.3535522820432415e-10,4.3531564457275257e-10,4.334676103147361e-10,4.3547547529425465e-10,4.352834009936139e-10,4.3549634201662645e-10,4.3545951792416957e-10,4.352763384090914e-10,4.3514713697469627e-10,4.334676103147361e-10
63,4.2938532576209397e-10,4.295561471302589e-10,4.295617843417635e-10,4.294893557685257e-10,4.2945315500632555e-10,4.2761689860706844e-10,4.296105177480533e-10,4.29457391211423e-10,4.2963064528088135e-10,4.2959381889827155e-10,4.2941111437836774e-10,4.2912828089053555e-10,4.2761689860706844e-10
64,3.448307861970536e-10,3.4493935750513713e-10,3.4494444515921996e-10,3.448966143690678e-10,3.448711781363432e-10,3.432850093279491e-10,3.44978998064262e-10,3.448811432940378e-10,3.449921635886662e-10,3.449667732074968e-10,3.4484899033514624e-10,3.4462928621974305e-10,3.432850093279491e-10
65,5.26936524702928e-10,5.27184463350018e-10,5.271881705508986e-10,5.270751428348791e-10,5.270305646144564e-10,5.271052443711e-10,5.272613645083092e-10,5.267903847263967e-10,5.272894444020258e-10,5.272378514414235e-10,5.269781423386313e-10,5.264743336303751e-10,5.250546415731966e-10
66,3.1731845368635255e-10,3.174128677075494e-10,3.174142778537683e-10,3.1737116544208816e-10,3.1735517300849024e-10,3.1742346508169645e-10,3.174472383399309e-10,3.1722492517059833e-10,3.174598602656028e-10,3.1743738094218767e-10,3.173383482961696e-10,3.1712275793348665e-10,3.1587423779558635e-10
67,3.5844547766256736e-10,3.585684426103078e-10,3.585692774286723e-10,3.58512605142755e-10,3.58496168127515e-10,3.5857246028860387e-10,3.5860892029601073e-10,3.583309456094906e-10,3.586248540922681e-10,3.585968630135522e-10,3.5847673307580483e-10,3.5769220501956327e-10,3.5686180842396776e-10
68,2.781946636379543e-10,2.7827142914487854e-10,2.782721527576338e-10,2.782352581153147e-10,2.782238046470195e-10,2.7827483531963256e-10,2.782986092993507e-10,2.781158717220441e-10,2.7830856012615025e-10,2.7829083590967655e-10,2.782119590616102e-10,2.769219566685222e-10,2.769219566685222e-10
69,3.2875220989352557e-10,3.2885363079918923e-10,3.2885400952442784e-10,3.2880468631164585e-10,3.2878915582316105e-10,3.2873914382336707e-10,3.288897567403015e-10,3.2859178190273675e-10,3.289039041899043e-10,3.2887890718828996e-10,3.2877361760425157e-10,3.272646524844678e-10,3.272646524844678e-10
70,2.92545062255598e-10,2.9262950452011263e-10,2.926298302528049e-10,2.925888086915111e-10,2.9257704356649497e-10,2.9120566781295247e-10,2.926598076824917e-10,2.9237872380107386e-10,2.926716185179808e-10,2.926509662554189e-10,2.9256431914783593e-10,2.9120566781295247e-10,2.9120566781295247e-10
71,3.055548870885142e-10,3.056459340101794e-10,3.056461017595588e-10,3.0560006674118214e-10,3.055820464521383e-10,3.0416042732166483e-10,3.056760597393748e-10,3.0539840073303847e-10,3.0568962416890506e-10,3.056678377876357e-10,3.055790850283533e-10,3.0416042732166483e-10,3.0416042732166483e-10
72,1.9923429938910196e-10,1.9927802800964656e-10,1.99278197288881e-10,1.9925421236314877e-10,1.9924522308270705e-10,1.986342427634746e-10,1.992915905748383e-10,1.991423796725635e-10,1.9929762258907456e-10,1.9928840239745288e-10,1.9924456204471238e-10,1.9841783350535556e-10,1.9841783350535556e-10
73,1.6338921856507142e-10,1.6341546687157637e-10,1.6342059010349847e-10,1.634024458875978e-10,1.6339697103325386e-10,1.6280861082593963e-10,1.6343016010049543e-10,1.6280861082593963e-10,1.6343458227350825e-10,1.634281799098554e-10,1.6339598731189958e-10,1.6280861082593963e-10,1.6280861082593963e-10
74,1.667317106717034e-10,1.667555695459898e-10,1.6676338190766224e-10,1.6674349635011607e-10,1.6673970168323468e-10,1.6612935107792917e-10,1.6677399008724587e-10,1.6612935107792917e-10,1.6677881403558217e-10,1.667719385847101e-10,1.6673815839357623e-10,1.6612935107792917e-10,1.6612935107792917e-10
75,1.5768354248989085e-10,1.5770579241682067e-10,1.5771295012789823e-10,1.576948586822339e-10,1.5769095222784202e-10,1.5714015815101416e-10,1.5772229628779628e-10,1.5714015815101416e-10,1.5772663612286628e-10,1.5772048470191527e-10,1.5768848297387845e-10,1.5714015815101416e-10,1.5714015815101416e-10
76,1.6732247665817573e-10,1.673463344319804e-10,1.6735438353529065e-10,1.6733394057657886e-10,1.673305195723368e-10,1.6671601557373925e-10,1.6736516447891952e-10,1.6671601557373925e-10,1.673699698124741e-10,1.6736306292487954e-10,1.6732784730570815e-10,1.6671601557373925e-10,1.6671601557373925e-10
77,2.2797810436298615e-10,2.280176358541675e-10,2.2803105940184508e-10,2.280004969613363e-10,2.279916623319635e-10,2.2697614796884414e-10,2.2804977002895904e-10,2.2697614796884414e-10,2.280586635342011e-10,2.2804588996531957e-10,2.2798630755889433e-10,2.2697614796884414e-10,2.2697614796884414e-10
78,3.71194391501931e-10,3.712961945808323e-10,3.713245376201814e-10,3.7125756440526254e-10,3.712313411372149e-10,3.695647775831593e-10,3.71366205045153e-10,3.695594336510415e-10,3.713882947507823e-10,3.713553423499963e-10,3.712167955478659e-10,3.695647775831593e-10,3.695647775831593e-10
79,4.57439876409876e-10,4.575930525156254e-10,4.5763343922798843e-10,4.5753711691202067e-10,4.5751287754846126e-10,4.556195167478369e-10,4.576937505291539e-10,4.556195167478369e-10,4.5772011452399245e-10,4.576754785478945e-10,4.5747337199783845e-10,4.556195167478369e-10,4.556195167478369e-10
80,4.70753438153959e-10,4.709157638618234e-10,4.70959288791208e-10,4.70860417206185e-10,4.708327263728454e-10,4.689141621891936e-10,4.710221646943716e-10,4.689141621891936e-10,4.710497557941374e-10,4.710030633865019e-10,4.70779822308515e-10,4.689141621891936e-10,4.689141621891936e-10
81,4.2020320282239323e-10,4.203303729670118e-10,4.203654722774538e-10,4.2028498694189696e-10,4.202683640563696e-10,4.184527790080954e-10,4.2041980996501343e-10,4.2024687082081627e-10,4.2044027378331734e-10,4.204020816720634e-10,4.202243150624057e-10,4.199548877181206e-10,4.184527790080954e-10
82,4.3487760959767006e-10,4.3501391693417895e-10,4.350511490366084e-10,4.3496520323450524e-10,4.349451067722308e-10,4.330976329652585e-10,4.3510888643613284e-10,4.330976329652585e-10,4.351307199824578e-10,4.35089864534314e-10,4.3490017602950844e-10,4.3490017602950844e-10,4.330976329652585e-10
83,6.138815100526789e-10,6.141403869776533e-10,6.142148695933672e-10,6.140449704672757e-10,6.140021264843715e-10,6.121063525856805e-10,6.143170832808302e-10,6.121063525856805e-10,6.143535477498412e-10,6.142844554238955e-10,6.139147472078319e-10,6.140666508521618e-10,6.121063525856805e-10
84,4.193211984850143e-10,4.1944223249945336e-10,4.1947638163794075e-10,4.193986259043003e-10,4.1937861807339493e-10,4.194235035981377e-10,4.1952909924696436e-10,4.190396633810482e-10,4.1954685609480664e-10,4.1951059044292696e-10,4.1933743511016823e-10,4.1944419214155303e-10,4.1757334933832424e-10
85,4.735619533406011e-10,4.73715521819788e-10,4.737583391780412e-10,4.736584609864856e-10,4.7363221076647e-10,4.73676584125096e-10,4.738222570448845e-10,4.729370981860741e-10,4.738448580869743e-10,4.738010720277085e-10,4.735870545681873e-10,4.737299454105201e-10,4.717251320423433e-10
86,5.215329315361327e-10,5.217176969737447e-10,5.217687184266574e-10,5.216506150778878e-10,5.216167797278715e-10,5.216699191597735e-10,5.218417122185744e-10,5.215394454761067e-10,5.218669096842627e-10,5.218176417017454e-10,5.215627659089716e-10,5.216947315361826e-10,5.196622501707381e-10
87,6.324697576942896e-10,6.327383224621912e-10,6.328120599912179e-10,6.326408283511972e-10,6.325886753924068e-10,6.326929839836694e-10,6.329151576920584e-10,6.324602580551259e-10,6.32948507752579e-10,6.328818285531863e-10,6.325189185611532e-10,6.325115395325467e-10,6.307720793859562e-10
88,1.0703431274060314e-09,1.0710168084743757e-09,1.0712268414304284e-09,1.070763072486804e-09,1.0706362111013304e-09,1.0711773146763906e-09,1.0715220141513524e-09,1.0705214291931226e-09,1.071605977492958e-09,1.0714284151849534e-09,1.0704747669467153e-09,1.0685884510163856e-09,1.0753615065606837e-09
89,6.957824396605743e-10,6.961162908791285e-10,6.962084155893084e-10,6.960008352951395e-10,6.959343994170882e-10,6.962139127689179e-10,6.963305911321627e-10,6.961534602760228e-10,6.963663757258136e-10,6.962895650970137e-10,6.958336373054841e-10,6.933222913787929e-10,6.943917128654935e-10
90,5.071684339086681e-10,5.073540065106976e-10,5.074041974539023e-10,5.072899934523553e-10,5.072584727745943e-10,5.074238480722273e-10,5.074744835938539e-10,5.073909641711748e-10,5.074967796556496e-10,5.074492582984948e-10,5.07208596287974e-10,5.056910797712949e-10,5.053049743928451e-10
91,3.6549921803787327e-10,3.6559516878140853e-10,3.656215940795775e-10,3.655615679016561e-10,3.655479769262547e-10,3.656363913639421e-10,3.6566548366816196e-10,3.6560866801862203e-10,3.6567843738685745e-10,3.656497389641593e-10,3.6552309753869095e-10,3.6389211891791045e-10,3.6389211891791045e-10
