,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
10,5.279415610944715e-15,5.279415610684252e-15,5.279415610684252e-15,5.279415610927713e-15,5.279415610684252e-15,5.279415610684252e-15,5.279415610684252e-15,5.279415610684252e-15,5.279415610684252e-15,5.279415610684252e-15,5.279415610881454e-15,5.279415610684252e-15,5.279415610684252e-15,5.279415610684252e-15,5.2794156108775795e-15,5.279415610684252e-15,5.27941561122329e-15,5.279415610865715e-15,5.279415610684252e-15,5.279415610888169e-15
11,5.017006794811652e-15,5.017006794525706e-15,5.017006794525706e-15,5.017006794794461e-15,5.017006794525706e-15,5.017006794525706e-15,5.017006794525706e-15,5.017006794525706e-15,5.017006794525706e-15,5.017006794525706e-15,5.017006794814391e-15,5.017006794525706e-15,5.017006794525706e-15,5.017006794525706e-15,5.017006794815779e-15,5.017006794525706e-15,5.017006794762099e-15,5.017006794819705e-15,5.017006794525706e-15,5.017006794807121e-15
12,5.152603407853104e-15,5.152603407516873e-15,5.152603407516873e-15,5.1526034078334775e-15,5.152603407516873e-15,5.152603407516873e-15,5.152603407516873e-15,5.152603407516873e-15,5.152603407516873e-15,5.152603407516873e-15,5.152603407845897e-15,5.152603407516873e-15,5.152603407516873e-15,5.152603407516873e-15,5.1526034078517664e-15,5.152603407516873e-15,5.1526034077943626e-15,5.152603407853155e-15,5.152603407516873e-15,5.152603407842376e-15
13,5.220542945311276e-15,5.220542945012027e-15,5.220542945012027e-15,5.220542945281186e-15,5.220542945012027e-15,5.220542945012027e-15,5.220542945012027e-15,5.220542945012027e-15,5.220542945012027e-15,5.220542945012027e-15,5.220542945317019e-15,5.220542945012027e-15,5.220542945012027e-15,5.220542945012027e-15,5.220542945297329e-15,5.220542945012027e-15,5.2205429452394206e-15,5.2205429452994876e-15,5.220542945012027e-15,5.220542945310582e-15
14,5.458602649217438e-15,5.458602648869834e-15,5.458602648869834e-15,5.458602649179497e-15,5.458602648869834e-15,5.458602648869834e-15,5.458602648869834e-15,5.458602648869834e-15,5.458602648869834e-15,5.458602648869834e-15,5.458602649231574e-15,5.458602648869834e-15,5.458602648869834e-15,5.458602648869834e-15,5.458602649203415e-15,5.458602648869834e-15,5.458602648869834e-15,5.458602649203415e-15,5.458602648869834e-15,5.458602649237973e-15
15,4.935249865805558e-15,4.935249865551431e-15,4.935249865551431e-15,4.935249865798603e-15,4.935249865551431e-15,4.935249865551431e-15,4.935249865551431e-15,4.935249865551431e-15,4.935249865551431e-15,4.935249865551431e-15,4.9352498658139766e-15,4.935249865551431e-15,4.935249865551431e-15,4.935249865551431e-15,4.935249865826409e-15,4.935249865551431e-15,4.935249865551431e-15,4.935249865828441e-15,4.935249865551431e-15,4.935249865832657e-15
16,1.3959727647293238e-13,1.3959727159982923e-13,1.3959727159982923e-13,1.395972764716193e-13,1.3959727159982923e-13,1.3959727159982923e-13,1.3959727159982923e-13,1.3959727159982923e-13,1.3959727159982923e-13,1.3959727159982923e-13,1.3959727647785346e-13,1.3959727159982923e-13,1.3959727159982923e-13,1.3959727159982923e-13,1.3959727645803868e-13,1.3959727159982923e-13,1.3959727159982923e-13,1.3959727645675268e-13,1.3959727159982923e-13,1.3959727648079948e-13
17,5.727125751456251e-12,5.726790355814724e-12,5.726790355814724e-12,5.727125663332254e-12,5.726790355814724e-12,5.726790355814724e-12,5.726790355814724e-12,5.726790355814724e-12,5.726790355814724e-12,5.726790355814724e-12,5.727126091365185e-12,5.726790355814724e-12,5.726790355814724e-12,5.726790355814724e-12,5.72712472704047e-12,5.726790355814724e-12,5.726790355814724e-12,5.7271246383410656e-12,5.726790355814724e-12,5.7271263166335434e-12
18,5.992927079772148e-12,5.992542880266522e-12,5.992542880266522e-12,5.9929269788016484e-12,5.992542880266522e-12,5.992542880266522e-12,5.992542880266522e-12,5.992542880266522e-12,5.992542880266522e-12,5.992542880266522e-12,5.992927469231424e-12,5.992542880266522e-12,5.992542880266522e-12,5.992542880266522e-12,5.9929260815651065e-12,5.992542880266522e-12,5.992542880266522e-12,5.9929258043931296e-12,5.992542880266522e-12,5.9929277247868195e-12
19,6.493756132019504e-12,6.493267560208691e-12,6.493267560208691e-12,6.493756003557954e-12,6.493267560208691e-12,6.493267560208691e-12,6.493267560208691e-12,6.493267560208691e-12,6.493267560208691e-12,6.493267560208691e-12,6.493756627519574e-12,6.493267560208691e-12,6.493267560208691e-12,6.493267560208691e-12,6.493754755681761e-12,6.493267560208691e-12,6.493267560208691e-12,6.493754509397005e-12,6.493267560208691e-12,6.493756949256863e-12
