,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
28,5.212910550101561e-08,5.2251199515963836e-08,5.2136465188101854e-08,5.306101278055737e-08,8.761143185845718e-08,5.236420343180895e-08,5.211882332111928e-08,5.2077839834408e-08
29,4.50977992085373e-08,4.517673034230876e-08,4.5099473016112096e-08,4.5738036625011114e-08,7.166628701182816e-08,4.526896126444249e-08,4.510716399344068e-08,4.5068573636648893e-08
30,1.0783109528130565e-09,1.07824936582227e-09,1.0783055685389394e-09,1.0779888913493803e-09,1.0821006180461494e-09,1.078212935942369e-09,1.078287668706518e-09,1.0783290024418566e-09
31,1.4599219102625993e-09,1.4598765230078168e-09,1.4599292922375073e-09,1.4593893330201783e-09,1.4691753009852063e-09,1.4597962640341728e-09,1.4599040255699299e-09,1.4599368147723018e-09
32,2.324025815392895,2.045015896318459,3.516159105982919,0.14267553900863109,0.0031705797916352038,0.5199730432003846,1.6265010177068278,2.796440337461884
33,5.841877042850594,5.521667205211941,7.911525993441716,0.28896985843121753,0.22648989011186843,1.3042693436277069,3.928428013058478,6.466676726047913
34,6.826271646450088,6.451603457252233,9.339289988630693,0.31983870232804557,0.8772718618668692,1.4986727610253063,4.304115055752168,7.155248593062836
35,5.684873553060711,5.365669423361931,6.9312896785510745,0.2584033481789048,1.1400147540138865,1.276816523885031,3.6252469066707484,5.061665490315465
36,7.086890601265662,6.6433701511102505,7.75688957915997,0.3019713744171427,1.6325327248850003,1.575913092950206,4.822105323876236,5.312808800643969
37,7.1319748022448,6.833202885021699,8.172857610634914,0.3276853325802097,1.3782059447531583,1.6191510392881945,5.1369494194969345,6.071816386291849
38,5.981643709484312,5.707552218973205,8.230806234560568,0.2821530097358118,0.6691057022218,1.354334428500789,3.4745127227500654,5.844597964228758
39,3.5437060157444664,3.4913828397931406,5.065834770691592,0.16648284070703623,0.10464636004024609,0.8038742568366067,2.3212463594266626,3.0823107369009035
40,5.070426302585788,4.941286758831153,8.115400807957773,0.21070136655426608,0.006796823835982242,1.1554590813901944,3.0245840567882754,4.75777267033772
41,5.2224776570815346,5.354506586481119,9.146670836457503,0.2567229235504345,0.0007334995430194937,1.239604953525347,3.1980340729542656,5.999981352434577
42,5.340501375163312,5.510286100803886,10.08675620556967,0.2623945810019214,0.0007717539591467977,1.2965379099041094,4.314075533790685,6.181707515837007
43,2.8426234561956466e-09,2.842644443884827e-09,2.8426947693509298e-09,2.840440585992549e-09,2.889322342390272e-09,2.842012874455904e-09,2.8426374291426893e-09,2.842663438280436e-09
44,1.5265303929391071e-09,1.5265341703368597e-09,1.5265321828931067e-09,1.5258286048503736e-09,1.5368955093860355e-09,1.526405511158291e-09,1.5265382006953241e-09,1.5265561384349142e-09
45,2.1468343785636122e-09,2.1468119103912436e-09,2.1468019488150454e-09,2.145307924633719e-09,2.1702348747624426e-09,2.146550466514961e-09,2.146858511823702e-09,2.146890065092481e-09
46,2.1122548471421856e-09,2.1122226022417496e-09,2.1122092397910335e-09,2.1107876704819076e-09,2.134745150061593e-09,2.111988816234249e-09,2.1123023643108158e-09,2.1123332363787016e-09
47,2.10108316802315e-09,2.1010319282691244e-09,2.1010337123727965e-09,2.0995454938326535e-09,2.1232074847142517e-09,2.100805921532348e-09,2.1011565202557676e-09,2.1012053237816587e-09
48,1.768433680818286e-09,1.7683623553765501e-09,1.7683975424045164e-09,1.7675060982077703e-09,1.7832302081812174e-09,1.7682245195231153e-09,1.7684937829897767e-09,1.7685416705498195e-09
49,1.114099356287009e-09,1.1140363856397418e-09,1.114060137867571e-09,1.1137092664687822e-09,1.1183502041053367e-09,1.113992755350096e-09,1.114145288090807e-09,1.1141711635071828e-09
50,1.047962951538581e-09,1.0478806150092035e-09,1.047910993597203e-09,1.0475119316441372e-09,1.0514009688268336e-09,1.0478556900037473e-09,1.0480035762058742e-09,1.0480305372540107e-09
