,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
191,1.6167779609316592e-10,1.6168023868037565e-10,1.6167697783548919e-10,1.6167729305128144e-10,1.616790157376388e-10,1.6161825708787075e-10,1.585570907728555e-10,1.585570907728555e-10,1.585570907728555e-10,1.585570907728555e-10,1.6167110446687608e-10,1.6165690294520126e-10,1.585570907728555e-10,1.616801750260792e-10,1.6167349662223092e-10,1.6167763013848016e-10,1.585570907728555e-10,1.6162703068108086e-10,1.585570907728555e-10,1.616753221671967e-10
192,8.231023708343099e-11,8.231055826137524e-11,8.231009291805196e-11,8.231015998690903e-11,8.231039931918282e-11,8.23022867272391e-11,8.160046787237549e-11,8.160046787237549e-11,8.160046787237549e-11,8.160046787237549e-11,8.230944956364788e-11,8.230736465456777e-11,8.160046787237549e-11,8.231055143759158e-11,8.230965981319184e-11,8.23102123812495e-11,8.160046787237549e-11,8.23034680926319e-11,8.160046787237549e-11,8.230985568609625e-11
193,8.294284571095934e-11,8.294317346213528e-11,8.294270185264154e-11,8.294276429824182e-11,8.29430123233118e-11,8.293470947600955e-11,8.221938933929003e-11,8.221938933929003e-11,8.221938933929003e-11,8.221938933929003e-11,8.294204082385546e-11,8.293990675760558e-11,8.221938933929003e-11,8.294316877495356e-11,8.294225603908106e-11,8.29428230911368e-11,8.221938933929003e-11,8.293591856892393e-11,8.221938933929003e-11,8.294247254326209e-11
194,8.280007316750562e-11,8.280040176496405e-11,8.27999327145016e-11,8.279999913095264e-11,8.280024423634367e-11,8.279198725887447e-11,8.207990600435472e-11,8.207990600435472e-11,8.207990600435472e-11,8.207990600435472e-11,8.279927786351724e-11,8.279715571404857e-11,8.207990600435472e-11,8.280039942538233e-11,8.279949187012939e-11,8.280005431228132e-11,8.207990600435472e-11,8.279318966268694e-11,8.207990600435472e-11,8.279974176096045e-11
195,8.22918631626485e-11,8.229219428655516e-11,8.229172691116075e-11,8.229179766498482e-11,8.229203837256115e-11,8.22839335765265e-11,8.158251629546842e-11,8.158251629546842e-11,8.158251629546842e-11,8.158251629546842e-11,8.22910913951578e-11,8.228890085987285e-11,8.158251629546842e-11,8.229219244957955e-11,8.229129285528447e-11,8.229185227513122e-11,8.158251629546842e-11,8.228511411781455e-11,8.158251629546842e-11,8.229167140773187e-11
196,8.462952875202488e-11,8.462989348216948e-11,8.46293849245512e-11,8.462946386900788e-11,8.462972289596485e-11,8.462091070826077e-11,8.386973739516536e-11,8.386973739516536e-11,8.386973739516536e-11,8.386973739516536e-11,8.462869375535046e-11,8.46263115710251e-11,8.386973739516536e-11,8.462989119573266e-11,8.4628922252489e-11,8.462952126964395e-11,8.386973739516536e-11,8.462219417307397e-11,8.386973739516536e-11,8.462935024574765e-11
197,1.3888909709468634e-10,1.3889081473684007e-10,1.388886864690541e-10,1.3888906062977197e-10,1.3889005972751842e-10,1.3885137972870393e-10,1.365670500249498e-10,1.365670500249498e-10,1.365670500249498e-10,1.365670500249498e-10,1.388854390875719e-10,1.38877284209344e-10,1.365670500249498e-10,1.388907863797594e-10,1.3888658991024597e-10,1.3888914584393675e-10,1.365670500249498e-10,1.3885698056427476e-10,1.365670500249498e-10,1.3888846374315222e-10
198,0.951265126238194,14.238180488338315,0.7733306428885087,0.9683742111755894,1.8648902618862815,0.04106180752436054,0.0003421864292623166,0.0003421864292623166,0.0003421864292623166,0.0003421864292623166,0.31138534956208663,0.25321446076910575,0.0003421864292623166,9.995127423961552,0.4379925781071884,0.9375778582882696,0.0003421864292623166,0.0479054414958611,0.0003421864292623166,0.6740979502503733
199,0.5658112797311187,8.634005940751633,0.44051051332281954,0.5599378063058271,1.0807191166602848,0.023493900215456318,0.00019579270265412724,0.00019579270265412724,0.00019579270265412724,0.045029969375097435,0.1762042091621398,0.3445771140378305,0.00019579270265412724,5.712931824248582,0.2584328371255929,0.536443912604574,0.00019579270265412724,0.027409549148488397,0.00019579270265412724,0.40918532171995414
200,0.5339711068958438,8.289530521875868,0.41531086242334486,0.5247007752965908,1.032714946911724,0.02224880272946434,0.0001854177325227505,0.0001854177325227505,0.0001854177325227505,0.02039473642039407,0.16315784290365146,0.31889941378555625,0.0001854177325227505,5.40831146122072,0.23917456202461654,0.5024519794582809,0.05747606270642304,0.025956935350474705,0.0001854177325227505,0.3726673370647981
201,0.4596033574102601,6.859890538687219,0.33693894998153595,0.43631264713942336,0.8881524263661332,0.018632576498028127,0.00015528577758734693,0.00015528577758734693,0.00015528577758734693,0.04658142868951735,0.1366388416493594,0.23756525282081148,0.00015528577758734693,4.532372226092222,0.19874740236791807,0.4192327929406795,0.21893268460327503,0.021738004509134445,0.00015528577758734693,0.3027792415827066
