,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Wind Onshore
2779,798.1316951285513,190.65616887462278,226.36351019523698,216.99847116724982,50.83162894873917,93.7004707025201,0.9014476070106807,1437.4583701621575
2780,872.1058407810823,204.77563202668472,247.65716219862188,232.2568157028627,47.83358505223452,104.48291615500936,0.9795273389884506,1449.5372070938047
2781,954.0125858475051,222.44991037489612,271.55392664102965,277.3650528263709,40.15488194074131,98.67292262712762,1.0460027133947347,1424.4813618127325
2782,968.3112547785755,206.21340816503366,269.35691751450935,279.770057652844,59.59861057901388,88.34552404601205,0.9970027792371976,1281.48090553466
2783,902.8296008076228,190.06359731760742,260.60833726002994,283.1144204397888,41.930648858167785,82.37556606384686,0.9904877683375227,1168.8856207932804
2784,932.626704429406,193.6403083752695,274.4922116634683,278.93906634431914,37.59613502904593,80.27438969331656,1.0395244708817881,1148.1547780519472
2785,970.0034526825043,202.23426498202795,283.2326350567601,279.046071779387,98.50053044267237,63.43806299467278,1.0466408193765635,1134.3842080315837
2786,1014.6301763482996,212.64704294727412,307.05756481600747,282.9933056141347,192.45450861698987,49.08155837216895,1.072169964472372,1103.4415884027358
2787,983.7864794239683,206.23012142360415,310.51080592617586,270.53843885676037,210.6651777983046,46.68181132861167,1.0234745480418361,1000.4463706776507
2788,920.738886674664,195.56762655307222,283.708493146366,257.86756298963513,206.9983105427372,43.93499865225528,0.975129439912368,948.0966848489805
2789,929.1406240434105,191.1560563534883,269.91917660738744,275.03795381466387,208.4388095049379,44.47281702669517,0.9907310724112581,960.7339371291814
2790,929.6032109597975,194.85710081839372,260.9022891283335,275.4438638162706,197.50102348892776,43.254574889973156,0.9518121614288535,915.3789069923246
2791,964.5956725382283,222.49262472822235,281.0864467100463,284.2107676373988,171.22303049412642,47.58187117234062,0.9219307654860719,886.7949596095654
2792,1095.9459613377926,275.34184248273374,331.198779501897,311.15599621855023,60.62120517671538,63.24976691879365,0.9857106533146983,938.1774951101368
2793,1118.4177950667954,301.16728082741963,368.4586601680361,310.6472552784999,22.138206232615985,74.25066694346796,0.9863557232691166,924.5440979111759
2794,1045.9886033770174,291.47320574499116,345.183582329989,294.6727496626522,23.07867743890319,81.82440182874461,0.9441277134450707,961.6465276458879
2795,217.7361832598707,61.24891660550618,69.87896326064104,65.10218466923797,5.721519246329592,20.73121908687169,0.2123012709113241,214.37120811881562
2796,170.99806040556365,47.787666935756846,55.162246360247025,53.46570082775128,5.119056462409995,16.975261946730008,0.17651918854947363,220.1978808479403
2797,171.02091379972842,47.93432213305306,52.377063456916254,53.04692245918387,5.211109003131379,16.5199051002377,0.5812011933404332,234.9924485162862
2798,180.5692692317203,51.65128290394858,54.77306373879147,50.78937708422763,3.889087235510334,16.144967550078782,1.2192814036918052,257.72035114332607
2799,134.15984364596054,37.758189236672344,40.78562583356398,37.57250645872964,3.4149484815335334,12.077453730772836,0.30678024205805554,195.67735529479867
2800,102.09313294619332,28.21386201811189,31.34943940895476,28.701618501131893,3.9337243633629777,9.451073671290544,0.11402099633602748,153.26955666461652
2801,87.87149037862977,24.326893311220477,26.526118135137295,24.456896749087488,3.4450911038329304,8.574810089668489,0.09750257875732161,134.5318909530619
2802,114.42533470824054,31.438002919152623,34.28670988210234,32.289888972666304,5.179467205647159,11.974110368472228,0.12267159198982841,172.42855231987943
2803,126.01864705803115,34.83103284730599,37.43703145706788,35.41924396208082,6.671356441250406,13.402278564749684,0.13402278590473207,185.76302661440073
2804,120.46032269925344,32.74484828323591,35.80584122505857,33.20435068789751,5.415059107516682,13.071076095955366,0.1272468200261042,162.96782976433354
2805,103.94387471750669,27.73174646073488,30.582839168350155,30.724508371213034,4.0493780488249635,10.023096102876032,0.10625190247484138,124.20847361034977
2806,110.21184578478824,27.623675648806433,32.317895040052214,32.69704352934514,6.180722198795245,9.779623732083683,0.10832814011939244,118.1559093699734
2807,109.79697500948708,27.544730453964515,33.439442818209855,34.744427736860274,4.602459006080933,9.383159854405184,0.11458404194147685,115.20788808681812
