,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
62,1.9129448357798422e-09,1.930793864995857e-09,1.9132713975334988e-09,1.9131375705263284e-09,1.912962879763832e-09,1.9131332506910554e-09,1.913191144632037e-09,1.913304892138176e-09,1.9124067251838676e-09,1.9126372064836936e-09,1.9131783123726575e-09,1.9129570915836406e-09,1.913335043544367e-09
63,1.6680867876804087e-09,1.6809885633836838e-09,1.6683681377937237e-09,1.6682588466440003e-09,1.6680955023817238e-09,1.668255644219685e-09,1.668293308247786e-09,1.6683903342934581e-09,1.6677176777246661e-09,1.6678714169275787e-09,1.6682858211906457e-09,1.6680827430112035e-09,1.6684139279757e-09
64,1.7972735005431903e-09,1.8126792912669015e-09,1.7975805627575703e-09,1.7974734088015556e-09,1.797283375541987e-09,1.7974533242352472e-09,1.7975177314670778e-09,1.7976012676966657e-09,1.7968284443428276e-09,1.797006311059815e-09,1.7974485031927436e-09,1.7972747930378104e-09,1.797627003784372e-09
65,1.7667397891906668e-09,1.7815332321051716e-09,1.7670397879764563e-09,1.7669504300797192e-09,1.7667521273486298e-09,1.7669186028287185e-09,1.766991435520334e-09,1.767063440797129e-09,1.7663371520917494e-09,1.7664966650860648e-09,1.7668125587106842e-09,1.766737203917093e-09,1.767088402816097e-09
66,1.5866403343401656e-09,1.5980638343144985e-09,1.5869107317460844e-09,1.5868272545468348e-09,1.5866502077362784e-09,1.5868112327847897e-09,1.5868886865260224e-09,1.5869307451572974e-09,1.5863262530359355e-09,1.586460112988957e-09,1.5864044335212627e-09,1.5866334725134039e-09,1.5869530345433563e-09
67,1.7226206673680092e-09,1.7365534021359913e-09,1.7229238026169286e-09,1.7228225086298856e-09,1.7226367875355991e-09,1.72281120707713e-09,1.72291036678417e-09,1.722947181440401e-09,1.7221723968539319e-09,1.7224038796789816e-09,1.7217269788686103e-09,1.7226131070081809e-09,1.7229729593934684e-09
68,1.944326789409346e-09,1.962871641130389e-09,1.9446745281372656e-09,1.944546356771243e-09,1.944346954532908e-09,1.944539493382382e-09,1.9446628554179547e-09,1.9447052927158034e-09,1.9436256411746625e-09,1.9440225688548166e-09,1.942990169433835e-09,1.944315773941032e-09,1.9447371182472196e-09
69,1.6345834755294637e-09,1.6468694558556665e-09,1.634868341393647e-09,1.6347571937204946e-09,1.634599435775903e-09,1.6347663299949944e-09,1.6348529115954481e-09,1.6348923210806762e-09,1.6341348143367638e-09,1.6343910645111613e-09,1.6335354979942135e-09,1.6345785382990752e-09,1.63491667476122e-09
70,1.8046139251782591e-09,1.8201781819590846e-09,1.8049365988698396e-09,1.8047905845535797e-09,1.8046383217338554e-09,1.8048110408456009e-09,1.8048704848181143e-09,1.8049635352835e-09,1.80405149956339e-09,1.8043666045207838e-09,1.8033570024533128e-09,1.8046134257353453e-09,1.8049910928106928e-09
71,1.649122317599518e-09,1.6616841435943345e-09,1.6494114562025047e-09,1.6492848677103962e-09,1.6491440303288634e-09,1.6493008326670237e-09,1.6493219446021465e-09,1.6494345555823615e-09,1.6486798211241457e-09,1.6489320446197355e-09,1.6480641896319527e-09,1.6491261478548346e-09,1.649457535512709e-09
72,1.5849940572499034e-09,1.5964075340100924e-09,1.5852654017620759e-09,1.585148907982351e-09,1.5849970577156617e-09,1.5851677821234684e-09,1.5851965706854193e-09,1.5852964752967217e-09,1.5846003894705473e-09,1.5847754369327228e-09,1.5840216470838548e-09,1.58500078049065e-09,1.5853179377598762e-09
73,3.083430392036878e-09,3.141250448529014e-09,3.0841776651918412e-09,3.0839477844072017e-09,3.0831807285267014e-09,3.08398516868923e-09,3.0839700284195866e-09,3.0842813478601094e-09,3.0817422000999545e-09,3.0822727268037786e-09,3.0814296336868552e-09,3.083489573687288e-09,3.084341504800749e-09
74,4.344570343075504e-09,4.4826423549675526e-09,4.346227488477787e-09,4.3458329382612584e-09,4.343974199869075e-09,4.345933431078208e-09,4.3458398864818256e-09,4.346378446007024e-09,4.342508314313803e-09,4.342748558052993e-09,4.343514946409817e-09,4.344684555181762e-09,4.346464788220823e-09
75,3.867195483762863e-09,3.970653643894801e-09,3.868410847673877e-09,3.868105228619396e-09,3.8666571555054824e-09,3.868167739562918e-09,3.8681092265033635e-09,3.868540692080501e-09,3.8650813406634045e-09,3.865488371325283e-09,3.8656562999624304e-09,3.867239345834709e-09,3.868614310668212e-09
