,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
7862,1.6089859414844336,19.70123709242623,0.00044204062349686784,0.017681173912510742,0.017681173912510742,8.822900888559266,3.823551743259139,0.4641305669052677,1.0166669445977203,0.35804358238955564,0.2033333966405663
7863,1.4837420423015575,17.889805161643054,0.0004043021250887667,0.15767286951558596,0.01617158605434518,8.069616074202832,3.5173176334989096,0.16980155097293367,0.9258226952090379,0.3032170470096029,0.18597312624966375
7864,1.4254971323456895,17.408932157878052,0.00038843216962036373,0.5709756971907661,0.01942095289747266,7.748955752423602,3.379243868165143,0.01942095289747266,0.8739423878357242,0.11264147290168713,0.16313592133396532
7865,1.7335310126842023,20.68649430993615,0.0004635218854628915,1.1356018697706034,0.023175557499255487,9.247043730922874,4.03718050125582,0.0004635218854628915,1.0521698963405417,0.12978307898715716,0.34299812218734
7866,1.5567344181036473,18.521791648258485,0.0004184892468854741,2.134232666199954,0.020923859929087133,8.348615988053862,3.4984676580725598,0.0004184892468854741,0.962497090349598,0.1841298863997406,0.3682597625981818
7867,1.510714907871285,18.185895876092236,0.00040942039420875436,2.2599312391288637,0.02047040216174249,8.163592166255148,3.1442521547074844,0.00040942039420875436,0.9375439440646784,0.290679570630904,0.3561848236356859
7868,1.9123868727143851,23.062045376017938,0.0005154778498651573,0.5824790262812224,0.02577341623630441,10.278435069373261,3.896939279197154,0.0005154778498651573,1.1907314521707502,0.3762917632687743,0.6649539314865948
7869,1.7352490451626066,20.692728459673752,0.0004652250957556834,0.0748994984085986,0.023260720227509954,9.276371531287268,3.503063076462705,0.0004652250957556834,1.0746448545142973,0.2651721138627483,0.6140827779344873
7870,1.4783561974668762,17.77258804974632,0.00040393521167729355,0.2076161526565555,0.020196133517916343,8.058252996527427,3.069810671895372,0.00040393521167729355,0.9371001071750826,0.41200091510371367,0.302941852136971
7871,2.455595155225638,28.880227567823198,0.0006746212115098842,0.3204416809714791,0.040476849457833745,13.465296482102206,5.120320660201169,0.0006746212115098842,1.55161232568687,0.6746140582188976,0.4992144047245035
7872,2.161792767715401,24.896055978302634,0.0005906620759186481,0.02657942646711146,0.03543923284168154,11.783542513121171,4.217267851451808,0.0005906620759186481,1.3644101921245457,0.46070993978289626,0.3130464998585473
7873,1.7270238709435946,17.129448638764735,0.0004693107329834953,0.0004693107329834953,0.028158006930494372,9.357841260492423,3.369573739548702,0.0004693107329834953,1.0840829223709807,0.3660539798044015,0.19710599332282083
7874,1.048234988020471e-09,1.0485510293772334e-09,1.051420072122597e-09,1.051420072122597e-09,1.0456648330523114e-09,1.0485070211533161e-09,1.048371753885847e-09,1.051420072122597e-09,1.0481111902876336e-09,1.0477632355273572e-09,1.0474225027788066e-09
7875,2.0325447482510676e-09,2.033865306379323e-09,2.083339587892159e-09,2.083339587892159e-09,2.0255677137209285e-09,2.0337465512716195e-09,2.0332624096446894e-09,2.083339587892159e-09,2.0324103500495685e-09,2.0313426395827712e-09,2.0306820358126337e-09
7876,7.29060550892291e-10,7.292250404202981e-10,7.273059846775169e-10,7.273059846775169e-10,7.28022805203372e-10,7.292063424903952e-10,7.291393304327449e-10,7.273059846775169e-10,7.290195898961889e-10,7.289081464455089e-10,7.286677717587058e-10
7877,7.080229022353418e-10,7.081614469429686e-10,7.061238433263569e-10,7.061238433263569e-10,7.069612437051615e-10,7.081417881519407e-10,7.080777536560759e-10,7.061238433263569e-10,7.079644525830608e-10,7.078933462373617e-10,7.075964593041342e-10
