"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Finland (FI)","21.12.2018 14:00 - 21.12.2018 15:00 (CET)","916","n/e","n/e","936","1300","1","n/e","773","n/e","n/e","n/e","1775","n/e","n/e","2798","363","43","n/e","79","n/e","518"
"Finland (FI)","21.12.2018 15:00 - 21.12.2018 16:00 (CET)","922","n/e","n/e","949","1302","1","n/e","773","n/e","n/e","n/e","1834","n/e","n/e","2798","369","43","n/e","81","n/e","471"
"Finland (FI)","21.12.2018 16:00 - 21.12.2018 17:00 (CET)","918","n/e","n/e","957","1300","1","n/e","769","n/e","n/e","n/e","1756","n/e","n/e","2798","372","43","n/e","80","n/e","474"
"Finland (FI)","21.12.2018 17:00 - 21.12.2018 18:00 (CET)","920","n/e","n/e","949","1302","1","n/e","774","n/e","n/e","n/e","1728","n/e","n/e","2798","375","43","n/e","78","n/e","505"
"Finland (FI)","21.12.2018 18:00 - 21.12.2018 19:00 (CET)","924","n/e","n/e","955","1302","1","n/e","773","n/e","n/e","n/e","1623","n/e","n/e","2797","377","43","n/e","79","n/e","465"
"Finland (FI)","21.12.2018 19:00 - 21.12.2018 20:00 (CET)","929","n/e","n/e","934","1259","1","n/e","737","n/e","n/e","n/e","1412","n/e","n/e","2797","380","43","n/e","77","n/e","453"
"Finland (FI)","21.12.2018 20:00 - 21.12.2018 21:00 (CET)","917","n/e","n/e","927","1228","1","n/e","672","n/e","n/e","n/e","1157","n/e","n/e","2797","382","43","n/e","68","n/e","454"
"Finland (FI)","21.12.2018 21:00 - 21.12.2018 22:00 (CET)","911","n/e","n/e","935","1168","1","n/e","664","n/e","n/e","n/e","1041","n/e","n/e","2797","384","43","n/e","54","n/e","463"
"Finland (FI)","21.12.2018 22:00 - 21.12.2018 23:00 (CET)","916","n/e","n/e","937","1133","1","n/e","665","n/e","n/e","n/e","963","n/e","n/e","2798","386","43","n/e","54","n/e","451"
"Finland (FI)","21.12.2018 23:00 - 22.12.2018 00:00 (CET)","912","n/e","n/e","942","1125","1","n/e","644","n/e","n/e","n/e","891","n/e","n/e","2797","389","43","n/e","54","n/e","423"
"Finland (FI)","22.12.2018 00:00 - 22.12.2018 01:00 (CET)","923","n/e","n/e","913","1125","1","n/e","619","n/e","n/e","n/e","939","n/e","n/e","2797","389","43","n/e","54","n/e","430"
"Finland (FI)","22.12.2018 01:00 - 22.12.2018 02:00 (CET)","896","n/e","n/e","923","1126","1","n/e","619","n/e","n/e","n/e","907","n/e","n/e","2796","390","43","n/e","54","n/e","421"
"Finland (FI)","22.12.2018 02:00 - 22.12.2018 03:00 (CET)","890","n/e","n/e","906","1127","1","n/e","617","n/e","n/e","n/e","880","n/e","n/e","2796","391","43","n/e","54","n/e","454"
"Finland (FI)","22.12.2018 03:00 - 22.12.2018 04:00 (CET)","897","n/e","n/e","908","1133","1","n/e","615","n/e","n/e","n/e","1016","n/e","n/e","2797","392","43","n/e","54","n/e","475"
"Finland (FI)","22.12.2018 04:00 - 22.12.2018 05:00 (CET)","877","n/e","n/e","900","1128","1","n/e","618","n/e","n/e","n/e","1170","n/e","n/e","2798","393","43","n/e","54","n/e","435"
"Finland (FI)","22.12.2018 05:00 - 22.12.2018 06:00 (CET)","880","n/e","n/e","962","1132","1","n/e","625","n/e","n/e","n/e","1176","n/e","n/e","2798","392","43","n/e","54","n/e","414"
"Finland (FI)","22.12.2018 06:00 - 22.12.2018 07:00 (CET)","877","n/e","n/e","1018","1152","1","n/e","648","n/e","n/e","n/e","1216","n/e","n/e","2799","393","43","n/e","54","n/e","380"
"Finland (FI)","22.12.2018 07:00 - 22.12.2018 08:00 (CET)","881","n/e","n/e","1026","1181","1","n/e","657","n/e","n/e","n/e","1230","n/e","n/e","2799","393","43","n/e","54","n/e","352"
"Finland (FI)","22.12.2018 08:00 - 22.12.2018 09:00 (CET)","877","n/e","n/e","1015","1219","1","n/e","672","n/e","n/e","n/e","1466","n/e","n/e","2798","392","43","n/e","54","n/e","293"
"Finland (FI)","22.12.2018 09:00 - 22.12.2018 10:00 (CET)","883","n/e","n/e","976","1215","1","n/e","673","n/e","n/e","n/e","1575","n/e","n/e","2798","391","43","n/e","54","n/e","283"
"Finland (FI)","22.12.2018 10:00 - 22.12.2018 11:00 (CET)","876","n/e","n/e","978","1247","1","n/e","674","n/e","n/e","n/e","1505","n/e","n/e","2798","388","43","n/e","54","n/e","291"
"Finland (FI)","22.12.2018 11:00 - 22.12.2018 12:00 (CET)","869","n/e","n/e","984","1256","1","n/e","673","n/e","n/e","n/e","1596","n/e","n/e","2798","387","43","n/e","54","n/e","309"
"Finland (FI)","22.12.2018 12:00 - 22.12.2018 13:00 (CET)","872","n/e","n/e","987","1256","1","n/e","668","n/e","n/e","n/e","1589","n/e","n/e","2798","386","43","n/e","54","n/e","292"
"Finland (FI)","22.12.2018 13:00 - 22.12.2018 14:00 (CET)","878","n/e","n/e","979","1281","1","n/e","668","n/e","n/e","n/e","1494","n/e","n/e","2798","387","43","n/e","54","n/e","285"
