,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
40,934.0,732.0,768.0,1.0,517.0,2279.0,2791.0,76.0,43.0,7.0,189.0
41,931.0,736.0,771.0,1.0,533.0,2280.0,2792.0,76.0,43.0,7.0,248.0
42,892.0,651.0,763.0,1.0,510.0,2068.0,2792.0,76.0,43.0,7.0,288.0
43,871.0,584.0,758.0,1.0,467.0,1902.0,2792.0,76.0,43.0,7.0,321.0
44,872.0,579.0,757.0,1.0,432.0,1682.0,2791.0,76.0,43.0,7.0,359.0
45,852.0,574.0,753.0,1.0,423.0,1336.0,2792.0,76.0,43.0,7.0,391.0
46,843.0,591.0,742.0,1.0,413.0,1246.0,2791.0,76.0,43.0,7.0,443.0
47,817.0,578.0,738.0,1.0,404.0,1197.0,2791.0,76.0,41.0,7.0,529.0
48,820.0,579.0,732.0,1.0,390.0,1230.0,2791.0,76.0,43.0,7.0,585.0
49,821.0,575.0,716.0,1.0,392.0,1156.0,2792.0,74.0,43.0,7.0,672.0
50,830.0,570.0,704.0,1.0,391.0,1076.0,2792.0,74.0,43.0,7.0,725.0
51,828.0,572.0,701.0,1.0,388.0,1054.0,2792.0,74.0,43.0,7.0,748.0
52,832.0,583.0,697.0,1.0,395.0,1038.0,2793.0,74.0,43.0,7.0,732.0
53,844.0,660.0,696.0,1.0,413.0,1212.0,2792.0,74.0,43.0,7.0,721.0
54,859.0,768.0,694.0,1.0,439.0,1334.0,2792.0,74.0,43.0,7.0,687.0
55,887.0,800.0,697.0,1.0,443.0,1534.0,2792.0,74.0,43.0,7.0,662.0
56,893.0,795.0,681.0,1.0,435.0,1693.0,2792.0,74.0,43.0,7.0,660.0
57,898.0,773.0,682.0,1.0,436.0,1756.0,2793.0,74.0,43.0,7.0,655.0
58,900.0,770.0,680.0,1.0,438.0,1795.0,2793.0,74.0,43.0,7.0,626.0
59,909.0,756.0,681.0,1.0,446.0,1961.0,2792.0,74.0,43.0,7.0,565.0
60,904.0,751.0,685.0,1.0,454.0,2023.0,2793.0,74.0,43.0,7.0,519.0
61,901.0,750.0,687.0,1.0,459.0,2071.0,2792.0,74.0,43.0,7.0,450.0
62,912.0,751.0,697.0,1.0,456.0,2101.0,2793.0,74.0,43.0,7.0,394.0
63,904.0,766.0,741.0,1.0,459.0,2177.0,2793.0,74.0,43.0,7.0,428.0
64,906.0,761.0,751.0,1.0,464.0,2276.0,2792.0,74.0,43.0,7.0,422.0
65,908.0,752.0,760.0,1.0,449.0,2286.0,2792.0,74.0,43.0,7.0,420.0
66,906.0,759.0,765.0,1.0,452.0,2225.0,2792.0,74.0,43.0,7.0,406.0
67,912.0,745.0,761.0,1.0,459.0,2143.0,2792.0,74.0,43.0,7.0,385.0
68,914.0,743.0,764.0,1.0,460.0,1945.0,2792.0,74.0,43.0,7.0,320.0
69,890.0,689.0,762.0,1.0,457.0,1738.0,2792.0,74.0,43.0,7.0,231.0
70,880.0,602.0,755.0,1.0,451.0,1556.0,2792.0,74.0,43.0,7.0,203.0
71,883.0,585.0,750.0,1.0,432.0,1440.0,2792.0,74.0,43.0,7.0,194.0
72,870.0,574.0,750.0,1.0,419.0,1394.0,2793.0,74.0,43.0,7.0,169.0
73,869.0,579.0,749.0,1.0,423.0,1418.0,2792.0,76.0,43.0,7.0,166.0
74,861.0,584.0,759.0,1.0,428.0,1382.0,2791.0,76.0,43.0,7.0,160.0
75,874.0,579.0,751.0,1.0,429.0,1378.0,2791.0,77.0,43.0,7.0,155.0
76,873.0,604.0,751.0,1.0,438.0,1351.0,2792.0,78.0,43.0,7.0,171.0
77,878.0,691.0,752.0,1.0,463.0,1500.0,2792.0,80.0,43.0,7.0,190.0
78,891.0,760.0,750.0,1.0,483.0,1800.0,2791.0,81.0,43.0,7.0,195.0
79,905.0,762.0,755.0,1.0,486.0,1982.0,2792.0,84.0,43.0,7.0,213.0
80,894.0,758.0,755.0,13.0,506.0,2090.0,2792.0,85.0,44.0,7.0,249.0
81,903.0,771.0,746.0,13.0,541.0,2170.0,2791.0,87.0,44.0,7.0,299.0
82,903.0,780.0,740.0,1.0,553.0,2192.0,2791.0,87.0,44.0,7.0,352.0
83,910.0,796.0,737.0,1.0,546.0,2219.0,2792.0,87.0,44.0,7.0,384.0
84,921.0,768.0,742.0,1.0,547.0,2194.0,2792.0,87.0,44.0,7.0,432.0
85,928.0,758.0,735.0,1.0,551.0,2241.0,2792.0,87.0,44.0,7.0,429.0
86,952.0,757.0,740.0,1.0,573.0,2271.0,2792.0,87.0,44.0,7.0,442.0
87,950.0,762.0,757.0,1.0,579.0,2260.0,2792.0,87.0,44.0,7.0,487.0
88,939.0,759.0,753.0,1.0,573.0,2319.0,2792.0,87.0,44.0,7.0,524.0
89,940.0,762.0,751.0,1.0,527.0,2208.0,2792.0,87.0,44.0,7.0,567.0
90,928.0,766.0,758.0,1.0,493.0,2046.0,2792.0,87.0,44.0,7.0,639.0
91,910.0,768.0,755.0,1.0,476.0,1998.0,2792.0,87.0,44.0,7.0,684.0
92,906.0,752.0,756.0,1.0,463.0,1946.0,2791.0,87.0,44.0,7.0,737.0
93,888.0,660.0,748.0,1.0,458.0,1816.0,2792.0,87.0,44.0,7.0,775.0
94,896.0,579.0,718.0,1.0,452.0,1612.0,2792.0,88.0,44.0,7.0,796.0
95,898.0,571.0,718.0,1.0,430.0,1405.0,2792.0,89.0,44.0,7.0,842.0
96,897.0,593.0,717.0,1.0,422.0,1398.0,2792.0,89.0,44.0,7.0,891.0
97,900.0,606.0,718.0,1.0,426.0,1456.0,2791.0,89.0,44.0,7.0,939.0
98,891.0,615.0,720.0,1.0,429.0,1478.0,2791.0,89.0,44.0,7.0,975.0
99,895.0,610.0,720.0,1.0,426.0,1487.0,2791.0,89.0,44.0,7.0,1005.0
100,896.0,569.0,724.0,1.0,431.0,1419.0,2792.0,89.0,44.0,7.0,1018.0
101,895.0,623.0,729.0,1.0,441.0,1498.0,2791.0,86.0,44.0,7.0,1018.0
102,906.0,705.0,781.0,1.0,456.0,1757.0,2790.0,84.0,44.0,7.0,1041.0
103,911.0,761.0,756.0,1.0,459.0,1918.0,2791.0,82.0,44.0,7.0,1016.0
104,911.0,791.0,743.0,1.0,461.0,1894.0,2792.0,82.0,44.0,7.0,963.0
105,921.0,772.0,736.0,1.0,466.0,1987.0,2792.0,79.0,44.0,7.0,923.0
106,919.0,770.0,734.0,1.0,465.0,2051.0,2792.0,78.0,44.0,7.0,901.0
107,921.0,756.0,733.0,1.0,481.0,2039.0,2791.0,78.0,44.0,13.0,867.0
108,927.0,756.0,732.0,1.0,484.0,2062.0,2791.0,76.0,44.0,14.0,837.0
109,925.0,745.0,739.0,1.0,478.0,2042.0,2792.0,76.0,44.0,14.0,815.0
110,932.0,742.0,744.0,1.0,480.0,1997.0,2793.0,76.0,44.0,14.0,790.0
111,913.0,733.0,747.0,1.0,466.0,2049.0,2792.0,76.0,44.0,14.0,741.0
112,920.0,700.0,746.0,1.0,461.0,2053.0,2793.0,76.0,44.0,14.0,701.0
113,920.0,707.0,742.0,1.0,461.0,2131.0,2792.0,76.0,44.0,14.0,679.0
114,921.0,698.0,742.0,1.0,460.0,2082.0,2791.0,76.0,44.0,14.0,661.0
115,916.0,696.0,740.0,1.0,455.0,2124.0,2792.0,76.0,44.0,17.0,623.0
116,900.0,750.0,728.0,1.0,450.0,2137.0,2791.0,76.0,44.0,20.0,602.0
117,892.0,715.0,720.0,1.0,433.0,1887.0,2792.0,76.0,44.0,20.0,554.0
118,889.0,616.0,693.0,1.0,426.0,1856.0,2792.0,76.0,44.0,17.0,510.0
119,892.0,619.0,695.0,1.0,412.0,1654.0,2792.0,76.0,44.0,7.0,460.0
120,893.0,630.0,693.0,1.0,404.0,1550.0,2792.0,76.0,44.0,7.0,422.0
121,886.0,646.0,678.0,1.0,407.0,1458.0,2792.0,76.0,44.0,22.0,363.0
122,883.0,634.0,670.0,1.0,404.0,1421.0,2793.0,76.0,44.0,25.0,339.0
123,889.0,630.0,675.0,1.0,405.0,1411.0,2793.0,76.0,44.0,25.0,336.0
124,886.0,671.0,678.0,1.0,409.0,1421.0,2792.0,76.0,44.0,25.0,342.0
125,887.0,639.0,678.0,1.0,410.0,1444.0,2792.0,76.0,44.0,25.0,357.0
126,889.0,698.0,675.0,1.0,417.0,1594.0,2792.0,76.0,44.0,25.0,380.0
127,889.0,751.0,687.0,1.0,430.0,1801.0,2792.0,76.0,44.0,20.0,394.0
128,888.0,747.0,706.0,1.0,446.0,1808.0,2792.0,76.0,44.0,16.0,384.0
129,885.0,750.0,728.0,1.0,451.0,1839.0,2792.0,76.0,44.0,10.0,378.0
130,891.0,758.0,740.0,1.0,447.0,1983.0,2792.0,76.0,44.0,14.0,384.0
131,892.0,771.0,746.0,1.0,450.0,2027.0,2793.0,76.0,44.0,14.0,428.0
132,888.0,769.0,746.0,1.0,456.0,2052.0,2793.0,76.0,44.0,14.0,499.0
133,893.0,769.0,749.0,1.0,460.0,1993.0,2792.0,76.0,44.0,14.0,588.0
134,901.0,750.0,749.0,1.0,462.0,2025.0,2793.0,80.0,44.0,14.0,710.0
135,891.0,737.0,755.0,1.0,469.0,2087.0,2792.0,83.0,44.0,14.0,848.0
136,897.0,718.0,765.0,1.0,476.0,2130.0,2793.0,87.0,44.0,14.0,1008.0
137,902.0,716.0,759.0,1.0,489.0,2133.0,2792.0,91.0,44.0,14.0,1141.0
138,923.0,728.0,759.0,1.0,496.0,2067.0,2792.0,93.0,44.0,14.0,1247.0
139,906.0,703.0,762.0,1.0,501.0,2066.0,2792.0,94.0,44.0,14.0,1340.0
140,905.0,698.0,760.0,1.0,501.0,1938.0,2792.0,96.0,44.0,14.0,1395.0
141,901.0,706.0,748.0,1.0,494.0,1964.0,2792.0,97.0,44.0,14.0,1448.0
142,885.0,696.0,736.0,1.0,487.0,1714.0,2792.0,101.0,44.0,14.0,1485.0
143,869.0,702.0,765.0,1.0,478.0,1464.0,2792.0,104.0,44.0,10.0,1519.0
144,872.0,695.0,784.0,1.0,486.0,1397.0,2792.0,109.0,44.0,7.0,1518.0
145,880.0,692.0,784.0,1.0,501.0,1350.0,2792.0,112.0,44.0,7.0,1546.0
146,886.0,706.0,780.0,1.0,506.0,1346.0,2792.0,115.0,44.0,7.0,1562.0
147,900.0,705.0,779.0,1.0,502.0,1364.0,2793.0,119.0,46.0,7.0,1582.0
148,911.0,698.0,788.0,1.0,505.0,1385.0,2793.0,122.0,44.0,7.0,1593.0
149,927.0,695.0,790.0,1.0,504.0,1464.0,2793.0,124.0,44.0,7.0,1599.0
150,934.0,695.0,784.0,1.0,505.0,1549.0,2793.0,124.0,44.0,7.0,1601.0
151,930.0,707.0,776.0,1.0,510.0,1654.0,2793.0,124.0,42.0,7.0,1591.0
152,938.0,697.0,774.0,1.0,515.0,1651.0,2793.0,123.0,44.0,7.0,1535.0
153,947.0,685.0,779.0,1.0,513.0,1752.0,2793.0,120.0,44.0,7.0,1554.0
154,958.0,693.0,780.0,1.0,516.0,1791.0,2793.0,118.0,44.0,7.0,1489.0
155,960.0,691.0,779.0,1.0,517.0,1777.0,2793.0,115.0,44.0,7.0,1349.0
156,949.0,678.0,773.0,1.0,525.0,1807.0,2794.0,112.0,44.0,7.0,1328.0
157,938.0,677.0,783.0,1.0,533.0,1751.0,2793.0,112.0,44.0,7.0,1292.0
158,934.0,680.0,794.0,1.0,545.0,1712.0,2794.0,116.0,44.0,7.0,1214.0
159,932.0,687.0,782.0,1.0,547.0,1710.0,2793.0,119.0,44.0,7.0,1077.0
160,917.0,697.0,786.0,1.0,554.0,1843.0,2793.0,120.0,44.0,7.0,950.0
161,921.0,704.0,786.0,1.0,556.0,2010.0,2792.0,120.0,44.0,7.0,890.0
162,917.0,700.0,790.0,1.0,548.0,2026.0,2792.0,121.0,44.0,7.0,881.0
163,919.0,691.0,817.0,1.0,546.0,1935.0,2791.0,124.0,44.0,7.0,823.0
164,910.0,688.0,822.0,1.0,540.0,1869.0,2791.0,125.0,44.0,7.0,809.0
165,903.0,684.0,819.0,1.0,528.0,1728.0,2791.0,127.0,44.0,7.0,791.0
166,905.0,687.0,818.0,1.0,526.0,1685.0,2791.0,127.0,44.0,7.0,840.0
167,901.0,746.0,824.0,1.0,518.0,1489.0,2791.0,124.0,44.0,7.0,921.0
168,898.0,696.0,821.0,1.0,522.0,1268.0,2792.0,124.0,44.0,7.0,1010.0
169,907.0,693.0,821.0,1.0,535.0,1162.0,2792.0,124.0,44.0,7.0,1162.0
170,915.0,695.0,823.0,1.0,533.0,1199.0,2792.0,125.0,44.0,7.0,1262.0
171,918.0,712.0,831.0,1.0,527.0,1297.0,2793.0,125.0,44.0,7.0,1213.0
172,924.0,713.0,837.0,1.0,529.0,1341.0,2791.0,129.0,44.0,7.0,1264.0
173,946.0,793.0,854.0,1.0,540.0,1456.0,2792.0,131.0,44.0,7.0,1279.0
174,954.0,856.0,873.0,1.0,549.0,1733.0,2792.0,134.0,44.0,7.0,1317.0
175,967.0,856.0,881.0,1.0,577.0,1767.0,2792.0,136.0,44.0,8.0,1336.0
176,966.0,849.0,930.0,1.0,599.0,1952.0,2796.0,136.0,42.0,17.0,1332.0
177,956.0,856.0,978.0,1.0,614.0,2005.0,2793.0,137.0,44.0,27.0,1317.0
178,975.0,877.0,957.0,1.0,616.0,2022.0,2792.0,137.0,44.0,27.0,1267.0
179,969.0,879.0,856.0,1.0,608.0,2054.0,2791.0,134.0,44.0,27.0,1235.0
180,961.0,871.0,831.0,1.0,586.0,2036.0,2791.0,132.0,44.0,27.0,1309.0
181,962.0,849.0,836.0,1.0,564.0,2020.0,2792.0,133.0,44.0,27.0,1278.0
182,963.0,864.0,857.0,5.0,587.0,1980.0,2792.0,133.0,44.0,27.0,1190.0
183,965.0,862.0,863.0,3.0,617.0,2069.0,2792.0,134.0,44.0,27.0,1190.0
184,974.0,851.0,857.0,1.0,634.0,2137.0,2791.0,137.0,44.0,27.0,1123.0
185,972.0,866.0,852.0,1.0,609.0,2219.0,2792.0,142.0,44.0,27.0,1026.0
186,979.0,845.0,876.0,1.0,608.0,2047.0,2791.0,140.0,44.0,19.0,1062.0
187,990.0,851.0,863.0,1.0,566.0,1911.0,2791.0,141.0,44.0,8.0,1060.0
188,996.0,853.0,846.0,1.0,552.0,1759.0,2790.0,143.0,44.0,8.0,1045.0
189,969.0,837.0,835.0,1.0,543.0,1701.0,2791.0,140.0,44.0,8.0,990.0
190,961.0,832.0,832.0,1.0,540.0,1605.0,2791.0,128.0,44.0,8.0,971.0
191,963.0,817.0,835.0,1.0,518.0,1481.0,2790.0,122.0,44.0,8.0,998.0
192,951.0,824.0,832.0,1.0,507.0,1402.0,2792.0,119.0,43.0,8.0,988.0
193,943.0,822.0,829.0,1.0,506.0,1284.0,2790.0,116.0,44.0,8.0,903.0
194,934.0,828.0,832.0,1.0,509.0,1278.0,2790.0,114.0,44.0,8.0,904.0
195,929.0,827.0,832.0,1.0,510.0,1348.0,2791.0,113.0,44.0,7.0,858.0
196,931.0,825.0,832.0,1.0,507.0,1449.0,2791.0,109.0,44.0,7.0,737.0
197,926.0,842.0,853.0,1.0,522.0,1707.0,2791.0,107.0,41.0,13.0,697.0
198,927.0,867.0,865.0,1.0,560.0,1818.0,2791.0,106.0,40.0,21.0,605.0
199,924.0,881.0,874.0,1.0,583.0,2205.0,2791.0,104.0,38.0,32.0,561.0
200,935.0,892.0,888.0,9.0,597.0,2231.0,2788.0,104.0,38.0,35.0,545.0
201,920.0,894.0,900.0,16.0,589.0,2185.0,2791.0,104.0,40.0,35.0,523.0
202,927.0,883.0,900.0,1.0,574.0,2209.0,2792.0,102.0,40.0,35.0,538.0
203,932.0,897.0,912.0,1.0,565.0,2156.0,2791.0,97.0,40.0,36.0,548.0
204,924.0,909.0,908.0,5.0,559.0,2204.0,2790.0,94.0,41.0,35.0,528.0
205,932.0,897.0,894.0,1.0,572.0,2205.0,2790.0,93.0,38.0,34.0,577.0
206,939.0,899.0,884.0,1.0,570.0,2233.0,2790.0,93.0,38.0,34.0,578.0
207,940.0,898.0,909.0,1.0,580.0,2304.0,2791.0,93.0,37.0,36.0,512.0
208,944.0,873.0,962.0,1.0,578.0,2350.0,2791.0,94.0,34.0,36.0,394.0
209,948.0,876.0,960.0,1.0,572.0,2373.0,2791.0,95.0,31.0,36.0,333.0
210,939.0,880.0,939.0,1.0,560.0,2284.0,2791.0,99.0,31.0,34.0,284.0
211,938.0,869.0,851.0,1.0,525.0,2087.0,2792.0,100.0,31.0,26.0,254.0
212,932.0,870.0,846.0,1.0,496.0,2017.0,2792.0,102.0,31.0,26.0,253.0
213,900.0,872.0,847.0,1.0,497.0,1983.0,2792.0,106.0,31.0,26.0,244.0
214,896.0,860.0,839.0,1.0,492.0,1971.0,2792.0,108.0,35.0,25.0,277.0
215,897.0,857.0,834.0,1.0,475.0,1741.0,2792.0,111.0,38.0,15.0,316.0
216,881.0,858.0,828.0,1.0,468.0,1637.0,2793.0,113.0,40.0,7.0,321.0
217,875.0,853.0,818.0,1.0,467.0,1592.0,2793.0,108.0,43.0,7.0,331.0
218,890.0,857.0,813.0,1.0,513.0,1517.0,2792.0,106.0,43.0,7.0,297.0
219,891.0,862.0,814.0,1.0,570.0,1649.0,2793.0,108.0,43.0,7.0,224.0
220,873.0,862.0,815.0,1.0,581.0,1706.0,2679.0,109.0,43.0,8.0,203.0
221,893.0,860.0,829.0,1.0,621.0,1832.0,2668.0,109.0,43.0,19.0,186.0
222,916.0,862.0,936.0,1.0,670.0,2094.0,2668.0,111.0,43.0,27.0,172.0
223,893.0,882.0,1026.0,1.0,722.0,2320.0,2667.0,113.0,43.0,34.0,153.0
224,897.0,737.0,1046.0,23.0,801.0,2356.0,2664.0,113.0,43.0,35.0,117.0
225,926.0,860.0,1054.0,1.0,843.0,2222.0,2666.0,115.0,43.0,34.0,87.0
226,924.0,915.0,1058.0,1.0,829.0,2154.0,2668.0,115.0,43.0,35.0,83.0
227,943.0,900.0,1058.0,1.0,837.0,2169.0,2669.0,114.0,43.0,34.0,108.0
228,948.0,848.0,1060.0,1.0,841.0,2139.0,2668.0,113.0,43.0,35.0,101.0
229,928.0,861.0,1038.0,1.0,847.0,2264.0,2668.0,114.0,43.0,35.0,62.0
230,935.0,858.0,1026.0,1.0,844.0,2341.0,2667.0,116.0,42.0,35.0,63.0
231,935.0,858.0,1049.0,1.0,855.0,2313.0,2669.0,117.0,43.0,35.0,61.0
232,938.0,874.0,1060.0,1.0,862.0,2158.0,2731.0,120.0,43.0,35.0,47.0
233,949.0,896.0,1063.0,1.0,861.0,2091.0,2772.0,123.0,43.0,35.0,38.0
234,943.0,876.0,1059.0,1.0,870.0,2097.0,2774.0,127.0,42.0,34.0,38.0
235,950.0,885.0,978.0,1.0,837.0,2272.0,2775.0,130.0,41.0,21.0,39.0
236,942.0,893.0,884.0,1.0,806.0,2195.0,2774.0,132.0,41.0,8.0,40.0
237,912.0,865.0,780.0,1.0,752.0,2114.0,2774.0,134.0,41.0,7.0,41.0
238,899.0,848.0,745.0,1.0,683.0,1945.0,2774.0,136.0,43.0,7.0,45.0
239,897.0,854.0,742.0,1.0,605.0,1809.0,2774.0,137.0,42.0,7.0,40.0
240,917.0,847.0,747.0,1.0,594.0,1732.0,2782.0,137.0,41.0,7.0,38.0
241,925.0,856.0,776.0,1.0,595.0,1579.0,2794.0,139.0,42.0,7.0,38.0
242,929.0,834.0,806.0,1.0,594.0,1544.0,2794.0,141.0,41.0,7.0,41.0
243,935.0,836.0,809.0,1.0,594.0,1543.0,2793.0,143.0,42.0,7.0,41.0
244,934.0,832.0,809.0,1.0,615.0,1684.0,2794.0,146.0,42.0,9.0,26.0
245,934.0,865.0,849.0,1.0,686.0,1878.0,2794.0,149.0,41.0,20.0,34.0
246,949.0,901.0,989.0,1.0,827.0,1897.0,2794.0,150.0,41.0,30.0,50.0
247,953.0,886.0,1051.0,1.0,864.0,2122.0,2793.0,150.0,43.0,33.0,65.0
248,956.0,892.0,1065.0,1.0,883.0,2255.0,2794.0,149.0,43.0,35.0,72.0
249,957.0,903.0,1067.0,14.0,879.0,2144.0,2794.0,148.0,43.0,36.0,87.0
250,957.0,907.0,1076.0,1.0,872.0,2314.0,2793.0,146.0,43.0,35.0,102.0
251,951.0,850.0,1071.0,1.0,870.0,2289.0,2793.0,141.0,41.0,36.0,116.0
252,948.0,837.0,1064.0,1.0,877.0,2244.0,2793.0,138.0,41.0,36.0,109.0
253,934.0,846.0,1064.0,1.0,868.0,2243.0,2794.0,136.0,41.0,36.0,112.0
254,932.0,892.0,1060.0,1.0,864.0,2230.0,2794.0,134.0,41.0,35.0,115.0
255,940.0,900.0,1059.0,1.0,860.0,2246.0,2793.0,134.0,41.0,35.0,138.0
256,940.0,911.0,1060.0,1.0,871.0,2178.0,2793.0,134.0,41.0,35.0,145.0
257,927.0,921.0,1065.0,1.0,868.0,2226.0,2794.0,133.0,41.0,35.0,144.0
258,926.0,894.0,1061.0,1.0,878.0,2285.0,2794.0,132.0,41.0,35.0,150.0
259,929.0,865.0,1014.0,1.0,832.0,2169.0,2794.0,131.0,41.0,32.0,155.0
260,920.0,853.0,906.0,1.0,728.0,1946.0,2793.0,129.0,41.0,32.0,153.0
261,898.0,865.0,907.0,1.0,676.0,1914.0,2793.0,128.0,41.0,29.0,169.0
262,909.0,869.0,866.0,1.0,656.0,1842.0,2793.0,128.0,38.0,23.0,188.0
263,903.0,848.0,813.0,1.0,639.0,1705.0,2793.0,128.0,37.0,15.0,199.0
264,902.0,841.0,802.0,1.0,619.0,1559.0,2794.0,128.0,37.0,8.0,205.0
265,902.0,842.0,798.0,1.0,615.0,1556.0,2794.0,126.0,37.0,8.0,198.0
266,914.0,863.0,796.0,1.0,610.0,1545.0,2793.0,126.0,37.0,8.0,198.0
267,919.0,859.0,795.0,1.0,614.0,1583.0,2793.0,126.0,37.0,8.0,209.0
268,919.0,855.0,806.0,1.0,628.0,1649.0,2793.0,126.0,37.0,8.0,233.0
269,935.0,863.0,827.0,1.0,697.0,1921.0,2793.0,126.0,37.0,11.0,253.0
270,967.0,885.0,918.0,1.0,787.0,2193.0,2793.0,126.0,37.0,30.0,285.0
271,979.0,898.0,1041.0,1.0,826.0,2454.0,2793.0,124.0,39.0,35.0,347.0
272,977.0,891.0,1058.0,1.0,858.0,2257.0,2791.0,128.0,40.0,34.0,374.0
273,981.0,889.0,1081.0,1.0,859.0,2223.0,2791.0,123.0,40.0,34.0,396.0
274,980.0,934.0,1084.0,1.0,850.0,2184.0,2792.0,118.0,40.0,35.0,435.0
275,974.0,928.0,1087.0,1.0,845.0,2285.0,2793.0,115.0,40.0,33.0,458.0
276,993.0,909.0,1090.0,1.0,849.0,2331.0,2794.0,112.0,40.0,34.0,483.0
277,977.0,895.0,1089.0,1.0,845.0,2283.0,2792.0,112.0,40.0,34.0,494.0
278,968.0,897.0,1090.0,1.0,840.0,2255.0,2793.0,112.0,40.0,34.0,495.0
279,969.0,917.0,1087.0,1.0,843.0,2357.0,2794.0,112.0,40.0,34.0,523.0
