,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
96,0.0,3654.0,69.0,1118.0,7796.0,194.0,0.0,313.0,0.0,2800.0
97,0.0,3579.0,70.0,1117.0,7692.0,194.0,0.0,309.0,0.0,2927.0
98,0.0,3564.0,71.0,1117.0,7663.0,194.0,0.0,309.0,0.0,3263.0
99,0.0,3606.0,71.0,1115.0,7727.0,193.0,0.0,309.0,0.0,3448.0
100,0.0,3625.0,71.0,1115.0,7663.0,194.0,0.0,309.0,0.0,3659.0
101,0.0,3954.0,71.0,1114.0,7712.0,193.0,0.0,308.0,0.0,3992.0
102,0.0,4544.0,71.0,1162.0,8124.0,194.0,0.0,304.0,0.0,4233.0
103,0.0,5007.0,72.0,1154.0,8309.0,194.0,8.0,306.0,50.0,4489.0
104,0.0,5000.0,75.0,1149.0,8515.0,194.0,20.0,325.0,57.0,4510.0
105,0.0,4802.0,78.0,1215.0,8677.0,195.0,143.0,343.0,57.0,4567.0
106,0.0,4999.0,76.0,1234.0,8700.0,194.0,161.0,343.0,57.0,4428.0
107,0.0,5116.0,74.0,1319.0,8765.0,192.0,139.0,343.0,57.0,4413.0
108,0.0,5142.0,72.0,1328.0,8771.0,191.0,307.0,345.0,57.0,4252.0
109,0.0,5355.0,70.0,1413.0,8902.0,193.0,608.0,345.0,7.0,4077.0
110,0.0,5657.0,72.0,1483.0,8875.0,190.0,293.0,354.0,0.0,3871.0
111,0.0,5809.0,72.0,1483.0,9064.0,190.0,168.0,355.0,50.0,3710.0
112,0.0,5987.0,72.0,1415.0,9647.0,192.0,233.0,363.0,57.0,3527.0
113,0.0,6121.0,72.0,1306.0,9677.0,192.0,294.0,365.0,57.0,3598.0
114,0.0,6004.0,75.0,1329.0,9406.0,194.0,118.0,365.0,57.0,3802.0
115,0.0,6012.0,76.0,1288.0,9378.0,194.0,31.0,366.0,57.0,3683.0
116,0.0,6029.0,75.0,1212.0,9029.0,195.0,21.0,363.0,57.0,3414.0
117,0.0,5540.0,75.0,1204.0,8584.0,194.0,21.0,348.0,7.0,3107.0
118,0.0,5906.0,76.0,1138.0,8435.0,193.0,154.0,348.0,0.0,2547.0
119,0.0,5463.0,75.0,1119.0,7789.0,192.0,20.0,334.0,0.0,2212.0
120,0.0,4876.0,76.0,1073.0,7275.0,191.0,0.0,319.0,0.0,1873.0
121,0.0,4722.0,76.0,1070.0,7262.0,190.0,0.0,311.0,0.0,1613.0
122,0.0,4326.0,76.0,1070.0,7201.0,189.0,0.0,311.0,0.0,1546.0
123,0.0,4297.0,77.0,1069.0,7252.0,188.0,0.0,311.0,0.0,1562.0
124,0.0,4245.0,76.0,1068.0,7250.0,187.0,0.0,311.0,0.0,1611.0
125,0.0,4315.0,76.0,1067.0,7181.0,186.0,0.0,310.0,0.0,1594.0
126,0.0,4180.0,76.0,1068.0,7267.0,186.0,0.0,306.0,0.0,1661.0
127,0.0,4069.0,75.0,1107.0,7264.0,190.0,18.0,311.0,0.0,1897.0
128,0.0,4122.0,74.0,1155.0,7386.0,192.0,20.0,328.0,0.0,2042.0
129,0.0,4944.0,72.0,1429.0,7589.0,191.0,143.0,338.0,0.0,1983.0
130,0.0,5453.0,72.0,1259.0,7935.0,192.0,161.0,339.0,50.0,1683.0
131,0.0,5557.0,72.0,1440.0,8157.0,192.0,90.0,339.0,57.0,1389.0
132,0.0,5806.0,73.0,1268.0,8428.0,191.0,28.0,348.0,57.0,1092.0
133,0.0,5717.0,73.0,1530.0,8320.0,190.0,3.0,349.0,7.0,1044.0
134,0.0,5873.0,72.0,1291.0,8387.0,192.0,0.0,354.0,0.0,804.0
135,0.0,5772.0,74.0,1500.0,8124.0,195.0,33.0,354.0,50.0,737.0
136,0.0,5902.0,77.0,1271.0,8250.0,194.0,175.0,356.0,57.0,741.0
137,0.0,5957.0,77.0,1289.0,8424.0,193.0,609.0,362.0,57.0,734.0
138,0.0,5664.0,77.0,1298.0,8331.0,195.0,805.0,364.0,57.0,761.0
139,0.0,5518.0,78.0,1236.0,8207.0,201.0,812.0,363.0,57.0,820.0
140,0.0,5085.0,78.0,902.0,8034.0,201.0,832.0,361.0,7.0,832.0
141,0.0,4538.0,77.0,882.0,7735.0,200.0,516.0,359.0,0.0,914.0
142,0.0,4725.0,76.0,882.0,7501.0,199.0,185.0,346.0,0.0,1055.0
143,0.0,3937.0,75.0,859.0,7488.0,197.0,2.0,335.0,0.0,1286.0
144,0.0,3193.0,75.0,854.0,7317.0,196.0,0.0,313.0,0.0,1307.0
145,0.0,3250.0,76.0,853.0,7343.0,194.0,0.0,303.0,0.0,1433.0
146,0.0,3264.0,76.0,855.0,7397.0,193.0,0.0,294.0,0.0,1525.0
147,0.0,3213.0,77.0,855.0,7376.0,191.0,0.0,294.0,0.0,1642.0
148,0.0,3187.0,77.0,855.0,7358.0,192.0,0.0,294.0,0.0,1649.0
149,0.0,3369.0,78.0,856.0,7465.0,191.0,0.0,291.0,0.0,1540.0
150,0.0,3515.0,78.0,881.0,7520.0,194.0,0.0,289.0,0.0,1408.0
151,0.0,3591.0,77.0,959.0,7443.0,194.0,8.0,294.0,0.0,1317.0
152,0.0,3577.0,77.0,918.0,7481.0,202.0,20.0,306.0,0.0,1193.0
153,0.0,3694.0,77.0,1010.0,7692.0,209.0,117.0,329.0,0.0,1158.0
154,0.0,4088.0,77.0,1035.0,7657.0,211.0,130.0,330.0,0.0,1059.0
155,0.0,4399.0,77.0,1036.0,7697.0,214.0,113.0,334.0,0.0,930.0
156,0.0,4765.0,77.0,1036.0,7790.0,213.0,31.0,334.0,0.0,934.0
157,0.0,5087.0,77.0,1036.0,7876.0,220.0,2.0,334.0,0.0,861.0
158,0.0,5123.0,77.0,1036.0,7840.0,220.0,0.0,337.0,50.0,705.0
159,0.0,5090.0,77.0,1035.0,7884.0,217.0,0.0,338.0,57.0,641.0
160,0.0,5384.0,77.0,1036.0,8467.0,217.0,71.0,345.0,57.0,604.0
161,0.0,5571.0,77.0,1039.0,8573.0,218.0,151.0,347.0,57.0,626.0
162,0.0,5597.0,78.0,1028.0,8646.0,213.0,160.0,354.0,7.0,671.0
163,0.0,5675.0,77.0,944.0,8874.0,213.0,38.0,354.0,0.0,708.0
164,0.0,5511.0,77.0,945.0,8519.0,213.0,20.0,346.0,0.0,753.0
165,0.0,5023.0,76.0,945.0,8019.0,211.0,19.0,342.0,0.0,827.0
166,0.0,4339.0,77.0,928.0,7844.0,215.0,14.0,332.0,0.0,927.0
167,0.0,3727.0,78.0,831.0,7679.0,219.0,43.0,321.0,0.0,973.0
168,0.0,4318.0,77.0,770.0,7601.0,217.0,53.0,293.0,0.0,980.0
169,0.0,4265.0,76.0,763.0,7617.0,214.0,0.0,289.0,0.0,1021.0
170,0.0,4177.0,75.0,764.0,7648.0,210.0,0.0,289.0,0.0,1043.0
171,0.0,4210.0,74.0,764.0,7687.0,209.0,0.0,288.0,0.0,1070.0
172,0.0,4360.0,72.0,766.0,7927.0,208.0,0.0,289.0,0.0,1118.0
173,0.0,4401.0,70.0,791.0,8402.0,207.0,0.0,292.0,0.0,1023.0
174,0.0,5440.0,69.0,860.0,9525.0,207.0,37.0,296.0,0.0,912.0
175,0.0,5881.0,67.0,1049.0,10763.0,210.0,189.0,300.0,0.0,812.0
176,0.0,5756.0,71.0,1063.0,11372.0,209.0,18.0,323.0,37.0,816.0
177,0.0,5911.0,74.0,1063.0,11536.0,207.0,118.0,338.0,43.0,699.0
178,0.0,5972.0,73.0,871.0,11752.0,210.0,340.0,343.0,55.0,523.0
179,0.0,6046.0,73.0,811.0,12179.0,209.0,255.0,344.0,57.0,357.0
180,0.0,6033.0,73.0,1135.0,12000.0,203.0,73.0,355.0,57.0,323.0
181,0.0,6015.0,74.0,1231.0,11847.0,200.0,242.0,358.0,57.0,339.0
182,0.0,5936.0,75.0,1276.0,11429.0,201.0,314.0,357.0,45.0,362.0
183,0.0,5860.0,74.0,1217.0,11407.0,203.0,313.0,355.0,43.0,464.0
184,0.0,5975.0,74.0,1238.0,11922.0,205.0,438.0,344.0,43.0,636.0
185,0.0,5959.0,73.0,1238.0,12076.0,209.0,364.0,351.0,43.0,780.0
