,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
221,202.0,1581.0,1446.0,0.0,204.0,75.0,114.0,0.0,2326.0
222,201.0,1857.0,1466.0,0.0,203.0,76.0,114.0,0.0,2230.0
223,204.0,2701.0,1469.0,1.0,203.0,108.0,114.0,0.0,2440.0
224,206.0,2991.0,1469.0,341.0,301.0,622.0,115.0,0.0,2861.0
225,205.0,3059.0,1469.0,462.0,403.0,434.0,114.0,23.0,3261.0
226,205.0,2956.0,1466.0,386.0,478.0,530.0,114.0,97.0,3548.0
227,206.0,2974.0,1467.0,168.0,456.0,143.0,114.0,173.0,3815.0
228,204.0,3030.0,1467.0,10.0,406.0,156.0,114.0,177.0,4031.0
229,205.0,2765.0,1467.0,113.0,414.0,93.0,113.0,164.0,4187.0
230,204.0,2448.0,1467.0,68.0,412.0,88.0,114.0,178.0,4115.0
231,204.0,2350.0,1468.0,0.0,327.0,68.0,113.0,153.0,4360.0
232,205.0,2384.0,1468.0,0.0,329.0,67.0,113.0,112.0,4284.0
233,206.0,2769.0,1467.0,1.0,336.0,67.0,114.0,53.0,4121.0
234,205.0,2606.0,1467.0,61.0,456.0,179.0,112.0,3.0,3723.0
235,204.0,2687.0,1468.0,55.0,481.0,135.0,113.0,0.0,3563.0
236,202.0,2783.0,1468.0,138.0,472.0,169.0,115.0,0.0,3490.0
237,202.0,2673.0,1468.0,86.0,456.0,141.0,114.0,0.0,3580.0
238,201.0,2272.0,1444.0,0.0,346.0,72.0,115.0,0.0,3731.0
239,199.0,1806.0,1066.0,0.0,364.0,73.0,116.0,0.0,3871.0
240,200.0,1066.0,725.0,0.0,396.0,74.0,117.0,0.0,3840.0
241,201.0,646.0,703.0,0.0,354.0,73.0,116.0,0.0,3948.0
242,203.0,641.0,627.0,0.0,263.0,73.0,118.0,0.0,3964.0
243,204.0,687.0,571.0,0.0,270.0,73.0,116.0,0.0,3894.0
244,198.0,711.0,484.0,0.0,282.0,73.0,116.0,0.0,3899.0
245,199.0,692.0,484.0,0.0,282.0,75.0,116.0,0.0,3973.0
246,190.0,970.0,982.0,97.0,347.0,116.0,114.0,0.0,3808.0
247,187.0,1672.0,1443.0,62.0,410.0,88.0,114.0,0.0,3793.0
248,177.0,2432.0,1446.0,42.0,317.0,93.0,116.0,0.0,3800.0
249,177.0,2686.0,1431.0,187.0,393.0,85.0,116.0,45.0,3690.0
250,171.0,2890.0,1415.0,135.0,522.0,136.0,119.0,144.0,3321.0
251,154.0,3064.0,1468.0,393.0,506.0,130.0,118.0,200.0,2925.0
252,140.0,2858.0,1468.0,278.0,377.0,121.0,116.0,246.0,3041.0
253,157.0,2961.0,1469.0,165.0,380.0,89.0,117.0,209.0,3030.0
254,191.0,2969.0,1463.0,174.0,443.0,89.0,119.0,221.0,2713.0
255,189.0,2800.0,1454.0,74.0,426.0,106.0,120.0,207.0,2419.0
256,195.0,2739.0,1454.0,5.0,373.0,84.0,118.0,139.0,2288.0
257,193.0,2954.0,1414.0,48.0,431.0,131.0,117.0,66.0,1751.0
258,192.0,2937.0,1441.0,62.0,447.0,120.0,121.0,3.0,1530.0
259,193.0,2905.0,1449.0,303.0,438.0,115.0,121.0,0.0,1453.0
260,193.0,3030.0,1344.0,802.0,514.0,122.0,121.0,0.0,1305.0
261,195.0,2886.0,1419.0,525.0,526.0,154.0,120.0,0.0,1129.0
262,192.0,2732.0,1467.0,279.0,495.0,123.0,117.0,0.0,902.0
263,192.0,2499.0,1468.0,167.0,466.0,124.0,115.0,0.0,867.0
264,194.0,2259.0,1468.0,165.0,442.0,120.0,119.0,0.0,639.0
265,196.0,1622.0,1469.0,3.0,332.0,74.0,116.0,0.0,418.0
266,197.0,1580.0,1469.0,0.0,249.0,74.0,118.0,0.0,234.0
267,197.0,1626.0,1468.0,0.0,249.0,74.0,118.0,0.0,116.0
268,198.0,1665.0,1450.0,0.0,235.0,74.0,115.0,0.0,88.0
269,196.0,1850.0,1447.0,0.0,243.0,74.0,116.0,0.0,81.0
270,193.0,2280.0,1466.0,42.0,242.0,213.0,117.0,0.0,73.0
271,189.0,2691.0,1468.0,418.0,336.0,244.0,113.0,0.0,97.0
272,182.0,3307.0,1468.0,1078.0,682.0,496.0,117.0,0.0,115.0
273,180.0,3438.0,1467.0,1291.0,763.0,529.0,119.0,32.0,146.0
274,175.0,3600.0,1467.0,1331.0,861.0,746.0,120.0,129.0,164.0
275,177.0,3603.0,1467.0,824.0,884.0,429.0,123.0,165.0,216.0
276,183.0,3625.0,1468.0,380.0,845.0,203.0,124.0,186.0,282.0
277,190.0,3657.0,1467.0,163.0,786.0,100.0,123.0,185.0,308.0
278,187.0,3700.0,1467.0,63.0,756.0,97.0,118.0,199.0,315.0
279,197.0,3557.0,1467.0,83.0,761.0,97.0,119.0,161.0,358.0
280,202.0,3477.0,1468.0,288.0,752.0,143.0,120.0,98.0,477.0
281,202.0,3614.0,1469.0,375.0,899.0,148.0,121.0,38.0,637.0
