,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
64,28.0,2461.0,293.0,68.0,487.0,122.0,196.0,2108.0,0.0,4.0,14.0
65,28.0,2553.0,290.0,68.0,495.0,117.0,470.0,2106.0,0.0,4.0,8.0
66,27.0,2537.0,297.0,68.0,457.0,112.0,502.0,2105.0,0.0,4.0,7.0
67,27.0,2555.0,299.0,68.0,506.0,132.0,250.0,2107.0,0.0,4.0,9.0
68,27.0,2564.0,299.0,70.0,339.0,144.0,210.0,2105.0,0.0,4.0,15.0
69,27.0,2513.0,295.0,70.0,203.0,134.0,224.0,2106.0,0.0,4.0,11.0
70,28.0,2398.0,302.0,70.0,0.0,120.0,232.0,2108.0,11.0,4.0,13.0
71,27.0,2112.0,309.0,69.0,0.0,104.0,9.0,2107.0,0.0,4.0,12.0
72,27.0,2064.0,311.0,69.0,0.0,133.0,9.0,2107.0,0.0,4.0,29.0
73,26.0,2018.0,311.0,68.0,0.0,129.0,9.0,2107.0,0.0,4.0,24.0
74,26.0,2045.0,313.0,68.0,0.0,98.0,9.0,2105.0,0.0,5.0,26.0
75,26.0,2082.0,313.0,68.0,0.0,89.0,9.0,2106.0,0.0,5.0,26.0
76,27.0,2046.0,309.0,68.0,0.0,93.0,9.0,2107.0,0.0,5.0,40.0
77,28.0,2307.0,310.0,67.0,0.0,105.0,9.0,2108.0,0.0,5.0,24.0
78,28.0,2463.0,311.0,68.0,0.0,115.0,283.0,2108.0,0.0,5.0,26.0
79,28.0,2529.0,306.0,68.0,0.0,145.0,455.0,2110.0,13.0,5.0,26.0
80,28.0,2694.0,303.0,68.0,0.0,147.0,456.0,2106.0,54.0,5.0,19.0
81,28.0,2751.0,304.0,68.0,0.0,148.0,331.0,2107.0,99.0,5.0,13.0
82,28.0,2744.0,297.0,71.0,0.0,140.0,311.0,2107.0,146.0,5.0,13.0
83,28.0,2722.0,301.0,70.0,0.0,135.0,183.0,2108.0,169.0,5.0,25.0
84,28.0,2632.0,301.0,69.0,0.0,140.0,193.0,2106.0,204.0,5.0,31.0
85,28.0,2639.0,302.0,69.0,0.0,138.0,150.0,2106.0,173.0,5.0,25.0
86,28.0,2672.0,301.0,69.0,0.0,136.0,150.0,2108.0,79.0,4.0,30.0
87,27.0,2676.0,302.0,69.0,200.0,138.0,192.0,2106.0,14.0,4.0,25.0
88,27.0,2704.0,303.0,69.0,202.0,140.0,555.0,2106.0,0.0,4.0,23.0
89,28.0,2827.0,307.0,69.0,404.0,135.0,517.0,2106.0,0.0,4.0,23.0
90,27.0,2843.0,308.0,69.0,383.0,112.0,537.0,2106.0,0.0,4.0,30.0
91,27.0,2839.0,308.0,69.0,316.0,108.0,228.0,2111.0,0.0,4.0,36.0
92,28.0,2844.0,310.0,69.0,152.0,107.0,199.0,2108.0,0.0,4.0,42.0
93,28.0,2722.0,312.0,69.0,0.0,139.0,220.0,2106.0,0.0,3.0,51.0
94,28.0,2481.0,311.0,69.0,0.0,131.0,56.0,2105.0,0.0,3.0,32.0
95,30.0,2371.0,316.0,70.0,0.0,94.0,9.0,2105.0,0.0,3.0,104.0
96,30.0,2341.0,328.0,69.0,0.0,91.0,9.0,2104.0,0.0,3.0,52.0
97,29.0,2269.0,328.0,68.0,0.0,87.0,9.0,2107.0,0.0,3.0,49.0
98,29.0,2332.0,329.0,68.0,0.0,87.0,9.0,2109.0,0.0,3.0,28.0
99,30.0,2266.0,320.0,68.0,0.0,87.0,9.0,2106.0,0.0,3.0,33.0
100,30.0,2313.0,319.0,70.0,0.0,88.0,9.0,2109.0,0.0,3.0,30.0
101,29.0,2478.0,330.0,70.0,0.0,100.0,9.0,2107.0,0.0,3.0,38.0
102,29.0,2564.0,327.0,69.0,0.0,125.0,238.0,2109.0,0.0,3.0,29.0
103,32.0,2599.0,327.0,68.0,0.0,148.0,389.0,2106.0,77.0,4.0,14.0
104,30.0,2628.0,323.0,68.0,0.0,148.0,227.0,2106.0,292.0,4.0,9.0
105,31.0,2400.0,320.0,68.0,0.0,159.0,55.0,2107.0,486.0,4.0,4.0
106,32.0,2262.0,318.0,71.0,0.0,149.0,39.0,2103.0,574.0,4.0,6.0
107,32.0,2228.0,318.0,68.0,0.0,148.0,9.0,2104.0,557.0,4.0,17.0
108,31.0,2358.0,318.0,69.0,0.0,146.0,9.0,2106.0,421.0,4.0,28.0
109,32.0,2446.0,317.0,70.0,0.0,138.0,9.0,2107.0,274.0,4.0,36.0
110,31.0,2399.0,318.0,70.0,22.0,123.0,9.0,2106.0,130.0,4.0,33.0
111,32.0,2501.0,319.0,70.0,147.0,117.0,37.0,2106.0,18.0,3.0,37.0
112,32.0,2522.0,317.0,70.0,381.0,115.0,317.0,2105.0,0.0,3.0,49.0
113,31.0,2639.0,320.0,70.0,403.0,139.0,491.0,2105.0,0.0,3.0,62.0
114,32.0,2654.0,327.0,68.0,402.0,149.0,478.0,2105.0,0.0,3.0,60.0
115,33.0,2660.0,323.0,69.0,405.0,146.0,208.0,2106.0,0.0,3.0,46.0
116,32.0,2630.0,323.0,70.0,219.0,137.0,89.0,2106.0,0.0,4.0,77.0
117,32.0,2496.0,325.0,70.0,171.0,106.0,89.0,2105.0,0.0,4.0,113.0
118,31.0,2401.0,322.0,70.0,101.0,100.0,44.0,2106.0,0.0,4.0,121.0
119,31.0,2220.0,326.0,68.0,0.0,92.0,9.0,2106.0,0.0,4.0,105.0
120,32.0,2095.0,326.0,68.0,0.0,89.0,9.0,2110.0,0.0,4.0,74.0
121,33.0,2102.0,327.0,67.0,0.0,86.0,9.0,2108.0,0.0,4.0,52.0
122,32.0,2117.0,326.0,67.0,0.0,84.0,9.0,2107.0,0.0,4.0,39.0
123,33.0,2125.0,330.0,67.0,0.0,83.0,9.0,2106.0,0.0,4.0,25.0
124,33.0,2118.0,327.0,67.0,0.0,86.0,9.0,2104.0,0.0,4.0,18.0
125,32.0,2132.0,333.0,68.0,0.0,116.0,9.0,2105.0,0.0,3.0,15.0
126,33.0,2172.0,325.0,68.0,0.0,134.0,9.0,2107.0,1.0,3.0,27.0
127,33.0,2264.0,331.0,68.0,0.0,152.0,149.0,2107.0,71.0,4.0,30.0
128,32.0,2262.0,327.0,66.0,0.0,154.0,368.0,2105.0,272.0,3.0,47.0
129,33.0,2231.0,327.0,66.0,0.0,155.0,132.0,2104.0,480.0,3.0,72.0
130,34.0,2068.0,322.0,67.0,0.0,153.0,16.0,2109.0,617.0,3.0,76.0
131,34.0,1978.0,318.0,67.0,0.0,147.0,9.0,2109.0,646.0,3.0,80.0
132,34.0,2006.0,318.0,66.0,0.0,130.0,9.0,2107.0,607.0,4.0,76.0
133,32.0,2011.0,316.0,68.0,0.0,108.0,9.0,2105.0,474.0,4.0,83.0
134,32.0,2017.0,318.0,69.0,0.0,101.0,39.0,2106.0,248.0,4.0,89.0
135,32.0,2035.0,319.0,69.0,149.0,96.0,158.0,2107.0,45.0,4.0,107.0
136,33.0,2084.0,318.0,69.0,206.0,125.0,593.0,2107.0,0.0,4.0,144.0
137,34.0,2179.0,321.0,69.0,325.0,147.0,645.0,2108.0,0.0,4.0,174.0
138,34.0,2102.0,325.0,67.0,408.0,148.0,469.0,2109.0,0.0,4.0,173.0
139,33.0,2106.0,326.0,67.0,327.0,150.0,287.0,2108.0,0.0,4.0,189.0
140,33.0,2154.0,326.0,69.0,183.0,125.0,157.0,2107.0,0.0,4.0,172.0
141,33.0,2206.0,326.0,68.0,189.0,102.0,47.0,2108.0,0.0,4.0,154.0
142,33.0,2188.0,325.0,68.0,1.0,100.0,9.0,2106.0,0.0,4.0,216.0
143,33.0,2014.0,327.0,67.0,0.0,86.0,9.0,2105.0,0.0,4.0,285.0
144,33.0,1829.0,329.0,68.0,0.0,85.0,9.0,2105.0,0.0,4.0,325.0
145,33.0,1842.0,326.0,68.0,0.0,79.0,9.0,2106.0,0.0,4.0,286.0
146,33.0,1825.0,328.0,69.0,0.0,78.0,9.0,2107.0,0.0,4.0,286.0
147,34.0,1808.0,328.0,69.0,0.0,78.0,9.0,2107.0,0.0,4.0,289.0
148,34.0,1904.0,329.0,68.0,0.0,80.0,9.0,2109.0,0.0,5.0,288.0
149,34.0,1880.0,328.0,68.0,0.0,90.0,9.0,2109.0,0.0,4.0,247.0
150,34.0,1950.0,330.0,69.0,0.0,95.0,9.0,2108.0,0.0,4.0,227.0
151,33.0,1872.0,326.0,70.0,0.0,126.0,140.0,2105.0,58.0,4.0,208.0
152,34.0,1961.0,326.0,70.0,0.0,138.0,310.0,2105.0,237.0,4.0,166.0
153,34.0,1965.0,325.0,70.0,0.0,137.0,178.0,2107.0,416.0,4.0,105.0
154,33.0,1996.0,318.0,67.0,0.0,141.0,46.0,2108.0,534.0,4.0,40.0
155,33.0,1954.0,319.0,69.0,0.0,137.0,9.0,2107.0,576.0,5.0,26.0
156,32.0,1901.0,318.0,69.0,0.0,127.0,9.0,2106.0,556.0,5.0,20.0
157,32.0,2030.0,316.0,69.0,0.0,105.0,13.0,2107.0,430.0,5.0,16.0
158,32.0,1988.0,317.0,70.0,0.0,94.0,71.0,2107.0,222.0,5.0,31.0
159,32.0,2012.0,314.0,70.0,196.0,89.0,228.0,2107.0,39.0,5.0,31.0
160,32.0,2119.0,316.0,70.0,628.0,92.0,329.0,2106.0,0.0,4.0,46.0
161,32.0,2241.0,316.0,70.0,775.0,136.0,344.0,2107.0,0.0,4.0,68.0
162,32.0,2127.0,322.0,68.0,648.0,139.0,422.0,2108.0,0.0,4.0,92.0
163,32.0,2002.0,325.0,68.0,542.0,142.0,400.0,2107.0,0.0,4.0,113.0
164,32.0,2050.0,324.0,67.0,356.0,140.0,271.0,2107.0,0.0,4.0,130.0
165,33.0,1995.0,323.0,67.0,162.0,97.0,311.0,2107.0,0.0,4.0,168.0
166,33.0,1969.0,323.0,67.0,0.0,91.0,145.0,2108.0,0.0,4.0,187.0
167,33.0,2041.0,324.0,69.0,0.0,88.0,9.0,2108.0,0.0,4.0,239.0
168,33.0,1998.0,324.0,68.0,0.0,125.0,9.0,2109.0,0.0,4.0,249.0
169,33.0,2092.0,324.0,67.0,0.0,122.0,9.0,2107.0,0.0,3.0,203.0
170,33.0,2047.0,324.0,67.0,0.0,92.0,9.0,2106.0,0.0,4.0,127.0
171,33.0,2183.0,325.0,67.0,0.0,83.0,9.0,2105.0,0.0,4.0,58.0
172,33.0,2217.0,324.0,69.0,0.0,88.0,9.0,2108.0,0.0,4.0,16.0
173,33.0,2323.0,325.0,68.0,0.0,91.0,9.0,2110.0,0.0,4.0,9.0
174,33.0,2371.0,325.0,68.0,0.0,108.0,288.0,2109.0,0.0,4.0,26.0
175,33.0,2439.0,319.0,69.0,150.0,158.0,301.0,2106.0,30.0,4.0,35.0
176,33.0,2404.0,319.0,69.0,212.0,167.0,351.0,2108.0,132.0,4.0,19.0
177,33.0,2389.0,319.0,69.0,3.0,167.0,382.0,2106.0,232.0,5.0,15.0
178,31.0,2389.0,314.0,69.0,0.0,168.0,160.0,2107.0,288.0,5.0,22.0
179,32.0,2341.0,310.0,69.0,0.0,162.0,79.0,2107.0,322.0,5.0,12.0
180,32.0,2330.0,311.0,70.0,0.0,163.0,37.0,2107.0,296.0,5.0,6.0
181,31.0,2314.0,312.0,70.0,0.0,156.0,64.0,2106.0,210.0,5.0,4.0
182,32.0,2355.0,313.0,69.0,0.0,156.0,203.0,2109.0,95.0,5.0,3.0
183,32.0,2339.0,315.0,69.0,184.0,155.0,222.0,2109.0,16.0,5.0,5.0
184,31.0,2473.0,313.0,69.0,202.0,159.0,411.0,2107.0,0.0,5.0,11.0
185,31.0,2574.0,319.0,66.0,201.0,135.0,695.0,2109.0,0.0,4.0,16.0
186,31.0,2593.0,319.0,68.0,201.0,129.0,606.0,2110.0,0.0,4.0,15.0
187,32.0,2462.0,320.0,69.0,352.0,105.0,411.0,2108.0,0.0,4.0,18.0
188,32.0,2296.0,320.0,69.0,370.0,113.0,341.0,2109.0,0.0,4.0,11.0
189,32.0,2264.0,321.0,68.0,278.0,95.0,314.0,2108.0,0.0,4.0,10.0
190,30.0,2286.0,321.0,68.0,0.0,92.0,256.0,2108.0,0.0,3.0,3.0
191,33.0,2259.0,329.0,68.0,0.0,80.0,9.0,2110.0,0.0,3.0,2.0
192,32.0,2067.0,329.0,68.0,0.0,79.0,9.0,2109.0,0.0,4.0,9.0
193,31.0,2021.0,327.0,68.0,0.0,77.0,9.0,2107.0,0.0,4.0,33.0
194,32.0,1986.0,323.0,68.0,0.0,75.0,9.0,2109.0,0.0,4.0,97.0
195,32.0,1960.0,321.0,69.0,0.0,79.0,9.0,2109.0,0.0,4.0,227.0
196,32.0,1940.0,327.0,68.0,0.0,84.0,9.0,2107.0,0.0,4.0,240.0
197,31.0,2068.0,330.0,68.0,0.0,98.0,9.0,2106.0,0.0,4.0,252.0
198,33.0,2428.0,329.0,69.0,0.0,118.0,105.0,2107.0,0.0,4.0,185.0
199,33.0,2431.0,323.0,70.0,162.0,153.0,211.0,2108.0,15.0,4.0,204.0
200,34.0,2475.0,321.0,70.0,182.0,159.0,251.0,2108.0,61.0,4.0,168.0
201,36.0,2510.0,322.0,70.0,0.0,162.0,293.0,2107.0,115.0,4.0,153.0
202,37.0,2456.0,317.0,68.0,0.0,158.0,154.0,2107.0,130.0,4.0,201.0
203,36.0,2465.0,317.0,70.0,0.0,154.0,38.0,2106.0,100.0,4.0,215.0
204,36.0,2475.0,319.0,70.0,0.0,152.0,56.0,2105.0,67.0,4.0,239.0
205,37.0,2469.0,320.0,70.0,0.0,144.0,77.0,2107.0,37.0,4.0,211.0
206,36.0,2486.0,320.0,70.0,0.0,133.0,176.0,2107.0,17.0,4.0,189.0
207,36.0,2464.0,322.0,70.0,0.0,134.0,332.0,2105.0,2.0,4.0,160.0
208,37.0,2419.0,323.0,70.0,39.0,139.0,653.0,2103.0,0.0,4.0,161.0
209,37.0,2430.0,317.0,70.0,325.0,151.0,675.0,2106.0,0.0,5.0,149.0
210,37.0,2431.0,316.0,68.0,397.0,146.0,651.0,2107.0,0.0,4.0,138.0
211,37.0,2452.0,319.0,67.0,403.0,121.0,442.0,2106.0,0.0,4.0,117.0
212,36.0,2371.0,318.0,68.0,369.0,112.0,245.0,2108.0,0.0,4.0,144.0
213,37.0,2326.0,316.0,67.0,308.0,94.0,243.0,2107.0,0.0,4.0,107.0
214,38.0,2325.0,314.0,67.0,16.0,90.0,189.0,2106.0,0.0,4.0,102.0
215,39.0,2309.0,320.0,68.0,0.0,87.0,9.0,2106.0,0.0,4.0,101.0
216,38.0,2275.0,319.0,68.0,0.0,91.0,9.0,2107.0,0.0,4.0,108.0
217,38.0,2316.0,321.0,68.0,0.0,96.0,9.0,2105.0,0.0,4.0,82.0
218,38.0,2332.0,319.0,68.0,0.0,81.0,9.0,2104.0,0.0,4.0,63.0
219,39.0,2255.0,320.0,70.0,0.0,80.0,9.0,2106.0,0.0,4.0,94.0
220,37.0,2288.0,325.0,67.0,0.0,82.0,9.0,2105.0,0.0,4.0,91.0
221,37.0,2307.0,327.0,67.0,0.0,97.0,9.0,2103.0,0.0,4.0,109.0
222,37.0,2527.0,320.0,67.0,0.0,123.0,86.0,2103.0,0.0,4.0,88.0
223,37.0,2581.0,318.0,67.0,129.0,166.0,266.0,2107.0,3.0,4.0,75.0
224,37.0,2652.0,316.0,69.0,189.0,165.0,301.0,2107.0,21.0,4.0,60.0
225,39.0,2830.0,317.0,69.0,0.0,166.0,359.0,2105.0,37.0,4.0,58.0
226,37.0,2852.0,315.0,70.0,0.0,164.0,262.0,2107.0,54.0,4.0,63.0
227,37.0,2717.0,319.0,69.0,0.0,160.0,171.0,2108.0,65.0,4.0,54.0
228,37.0,2735.0,319.0,69.0,0.0,159.0,189.0,2106.0,55.0,5.0,45.0
229,37.0,2799.0,317.0,69.0,0.0,152.0,86.0,2105.0,40.0,5.0,69.0
230,38.0,2758.0,320.0,68.0,0.0,135.0,86.0,2106.0,19.0,5.0,153.0
231,39.0,2628.0,320.0,68.0,130.0,136.0,156.0,2107.0,3.0,5.0,132.0
232,39.0,2791.0,326.0,68.0,131.0,154.0,411.0,2105.0,0.0,4.0,35.0
233,39.0,2686.0,322.0,68.0,379.0,138.0,518.0,2106.0,0.0,4.0,35.0
234,38.0,2683.0,323.0,66.0,382.0,145.0,529.0,2105.0,0.0,4.0,43.0
235,37.0,2694.0,324.0,69.0,372.0,141.0,267.0,2107.0,0.0,4.0,68.0
236,38.0,2518.0,326.0,70.0,283.0,127.0,193.0,2105.0,0.0,4.0,125.0
237,39.0,2535.0,328.0,56.0,160.0,98.0,137.0,2105.0,0.0,4.0,104.0
238,38.0,2245.0,327.0,40.0,0.0,91.0,86.0,2105.0,0.0,4.0,73.0
239,36.0,2427.0,331.0,40.0,0.0,90.0,9.0,2104.0,0.0,4.0,55.0
240,36.0,2391.0,335.0,66.0,0.0,108.0,9.0,2105.0,0.0,4.0,61.0
241,36.0,2296.0,336.0,68.0,0.0,98.0,9.0,2106.0,0.0,4.0,69.0
242,34.0,2312.0,335.0,68.0,0.0,79.0,9.0,2106.0,0.0,4.0,49.0
243,34.0,2309.0,335.0,68.0,0.0,79.0,9.0,2106.0,0.0,4.0,50.0
244,36.0,2309.0,331.0,67.0,0.0,83.0,9.0,2105.0,0.0,4.0,67.0
245,36.0,2243.0,333.0,67.0,0.0,87.0,9.0,2107.0,0.0,4.0,85.0
246,36.0,2508.0,330.0,68.0,0.0,124.0,9.0,2106.0,0.0,4.0,90.0
247,36.0,2683.0,335.0,68.0,0.0,164.0,189.0,2105.0,5.0,4.0,64.0
248,36.0,2728.0,329.0,68.0,0.0,166.0,297.0,2104.0,28.0,5.0,48.0
249,35.0,2752.0,309.0,64.0,0.0,166.0,250.0,2107.0,54.0,5.0,33.0
250,36.0,2715.0,309.0,93.0,0.0,158.0,188.0,2109.0,65.0,5.0,35.0
251,35.0,2674.0,310.0,90.0,0.0,159.0,188.0,2105.0,82.0,5.0,34.0
252,36.0,2751.0,309.0,82.0,0.0,159.0,86.0,2105.0,80.0,5.0,32.0
253,32.0,2707.0,309.0,70.0,0.0,156.0,87.0,2104.0,63.0,5.0,27.0
254,34.0,2776.0,312.0,70.0,0.0,148.0,86.0,2105.0,37.0,5.0,42.0
255,36.0,2496.0,310.0,70.0,281.0,154.0,93.0,2108.0,9.0,4.0,70.0
256,35.0,2552.0,308.0,70.0,283.0,158.0,343.0,2107.0,0.0,4.0,69.0
257,35.0,2450.0,309.0,70.0,398.0,145.0,520.0,2107.0,0.0,4.0,69.0
258,36.0,2482.0,312.0,69.0,372.0,136.0,530.0,2106.0,0.0,4.0,84.0
259,33.0,2492.0,311.0,68.0,384.0,116.0,267.0,2106.0,0.0,4.0,83.0
260,30.0,2548.0,311.0,69.0,333.0,113.0,88.0,2107.0,0.0,4.0,70.0
261,29.0,2536.0,312.0,68.0,261.0,105.0,50.0,2107.0,0.0,4.0,56.0
262,30.0,2529.0,309.0,68.0,0.0,95.0,9.0,2107.0,0.0,4.0,42.0
263,30.0,2256.0,301.0,66.0,0.0,87.0,9.0,2108.0,0.0,4.0,70.0
264,29.0,2215.0,302.0,69.0,0.0,91.0,9.0,2107.0,0.0,4.0,65.0
265,32.0,2151.0,303.0,69.0,0.0,100.0,9.0,2107.0,0.0,4.0,119.0
266,36.0,2061.0,304.0,69.0,0.0,93.0,9.0,2106.0,0.0,4.0,197.0
267,37.0,2141.0,304.0,69.0,0.0,84.0,9.0,2106.0,0.0,4.0,178.0
268,37.0,2175.0,302.0,70.0,0.0,84.0,9.0,2105.0,0.0,4.0,191.0
269,37.0,2089.0,305.0,70.0,0.0,106.0,9.0,2105.0,0.0,4.0,226.0
270,36.0,2264.0,304.0,68.0,0.0,137.0,148.0,2104.0,0.0,4.0,182.0
271,37.0,2290.0,306.0,68.0,140.0,164.0,216.0,2104.0,9.0,4.0,185.0
272,36.0,2368.0,305.0,68.0,130.0,167.0,252.0,2105.0,34.0,4.0,198.0
273,37.0,2366.0,302.0,68.0,0.0,169.0,266.0,2107.0,60.0,4.0,252.0
274,37.0,2423.0,298.0,70.0,0.0,169.0,139.0,2107.0,76.0,4.0,260.0
275,37.0,2431.0,299.0,70.0,0.0,160.0,123.0,2108.0,80.0,4.0,238.0
276,37.0,2442.0,300.0,70.0,0.0,160.0,64.0,2108.0,64.0,4.0,277.0
277,36.0,2377.0,299.0,70.0,0.0,152.0,53.0,2108.0,41.0,4.0,328.0
278,36.0,2418.0,299.0,71.0,0.0,153.0,103.0,2106.0,19.0,5.0,326.0
279,36.0,2410.0,298.0,70.0,133.0,154.0,100.0,2108.0,4.0,5.0,320.0
280,37.0,2394.0,299.0,69.0,423.0,153.0,115.0,2106.0,0.0,5.0,317.0
