,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
74,291.0,2383.0,11.0,219.0,787.0,6505.0,1396.0,45720.0,0.0,260.0,6778.0
75,292.0,2382.0,10.0,219.0,186.0,6507.0,1198.0,45062.0,0.0,262.0,6462.0
76,289.0,2378.0,11.0,219.0,630.6666666666666,6425.0,1693.0,45902.0,0.0,263.0,6138.0
77,293.0,2394.0,10.0,219.0,650.8331574207302,6273.0,1398.0,48523.0,0.0,261.0,6050.0
78,294.0,2468.0,10.0,219.0,664.2286536905449,6413.0,1851.0,53145.0,0.0,258.0,6307.0
79,293.0,2532.0,9.0,218.0,1361.7681115772111,6521.0,2300.0,54903.0,0.0,259.0,6809.0
80,294.0,2430.0,10.0,217.0,84.0,6556.0,2454.0,55277.0,92.0,252.0,7694.0
81,294.0,2428.0,10.0,218.0,806.0,6503.0,2334.0,55289.0,349.0,250.0,8508.0
82,294.0,2428.0,10.0,218.0,1674.0,6655.0,2319.0,55265.0,847.0,248.0,9371.0
83,294.0,2419.0,9.0,220.0,1507.0,6738.0,2543.0,55437.0,1243.0,247.0,9887.0
84,295.0,2415.0,11.0,219.0,1612.0,6807.0,2491.0,55356.0,1430.0,258.0,10065.0
85,295.0,2417.0,10.0,219.0,1623.0,6812.0,2417.0,55400.0,1408.0,260.0,10045.0
86,294.0,2618.0,10.0,217.0,1523.0,6720.0,2647.0,55162.0,1116.0,259.0,9904.0
87,295.0,2755.0,9.0,217.0,1192.0,6513.0,2441.0,54576.0,606.0,262.0,9893.0
88,295.0,2764.0,9.0,216.0,884.0,6328.0,2184.0,54554.0,219.0,261.0,9676.0
89,291.0,2732.0,10.0,216.0,1061.0,6535.0,2244.0,54191.0,65.0,259.0,9503.0
90,284.0,2732.0,10.0,216.0,1845.0,6549.0,2629.0,54480.0,0.0,257.0,9472.0
91,285.0,2743.0,10.0,217.0,1305.0,6560.0,2313.0,54781.0,0.0,258.0,9158.0
92,285.0,2492.0,10.0,217.0,1610.9370966354013,6373.0,1882.0,54638.0,0.0,260.0,8669.0
93,285.0,2440.0,10.0,216.0,1788.143188963747,6257.0,1946.0,53168.0,0.0,263.0,8046.0
94,285.0,2443.0,10.0,217.0,1416.2445990690535,6140.0,2430.0,51956.0,0.0,265.0,7333.0
95,275.0,2446.0,10.0,218.0,787.7454759345098,6024.0,2748.0,51907.0,0.0,264.0,7043.0
96,285.0,2457.0,10.0,216.0,646.119555146282,6119.0,2257.0,51291.0,0.0,265.0,7088.0
97,282.0,2457.0,10.0,216.0,776.25,6032.0,1894.0,49016.0,0.0,268.0,7384.0
98,284.0,2459.0,10.0,216.0,867.0,5991.0,2179.0,45764.0,0.0,269.0,7421.0
99,282.0,2462.0,10.0,217.0,0.0,5974.0,2112.0,44799.0,0.0,268.0,7076.0
100,270.0,2461.0,10.0,217.0,674.0,6028.0,2215.0,45173.0,0.0,266.0,6537.0
101,265.0,2536.0,10.0,215.0,862.6670461382039,5998.0,1915.0,48484.0,0.0,263.0,5953.0
102,265.0,2545.0,10.0,215.0,1372.9791596638656,5879.0,1688.0,52082.0,0.0,260.0,5491.0
103,265.0,2630.0,8.0,217.0,674.0,5981.0,1717.0,54441.0,0.0,262.0,4996.0
104,266.0,2702.0,8.0,217.0,2187.0,5981.0,1852.0,55493.0,101.0,260.0,4432.0
105,271.0,2766.0,8.0,217.0,2709.0,6043.0,3152.0,55613.0,438.0,259.0,3999.0
106,275.0,3144.0,9.0,217.0,2019.0,6119.0,2980.0,55461.0,1023.0,256.0,3943.0
107,276.0,3530.0,9.0,217.0,1725.0,6132.0,2478.0,55590.0,1533.0,254.0,4243.0
108,277.0,3637.0,10.0,217.0,953.0,6152.0,2206.0,55586.0,1835.0,257.0,4582.0
109,278.0,3638.0,11.0,216.0,1289.6637362637375,6117.0,2146.0,55575.0,1754.0,260.0,5028.0
110,276.0,3568.0,11.0,216.0,332.84723618114367,6065.0,2085.0,55634.0,1375.0,258.0,5229.0
111,276.0,3568.0,10.0,217.0,136.0,6088.0,2209.0,55573.0,801.0,261.0,4718.0
112,275.0,3602.0,10.0,217.0,570.0,6141.0,2436.0,55800.0,276.0,262.0,4084.0
113,275.0,3634.0,10.0,217.0,1838.0,6176.0,3130.0,55955.0,67.0,264.0,3660.0
114,276.0,3632.0,9.0,218.0,2777.0,6162.0,3495.0,55996.0,0.0,261.0,3363.0
115,276.0,3635.0,8.0,218.0,2441.0,6135.0,2742.0,55609.0,0.0,264.0,3348.0
116,276.0,3586.0,8.0,218.0,1416.0,5998.0,2383.0,55601.0,0.0,266.0,3078.0
117,277.0,3254.0,10.0,218.0,248.0,5952.0,2196.0,55766.0,0.0,265.0,2752.0
118,276.0,2567.0,10.0,218.0,1045.0,5950.0,2359.0,55656.0,0.0,264.0,2279.0
119,267.0,2467.0,4.0,218.0,1234.0,5941.0,2403.0,55656.0,0.0,270.0,2065.0
120,276.0,2459.0,1.0,217.0,641.2898176189192,5829.0,2227.0,55409.0,0.0,267.0,1998.0
121,276.0,2459.0,1.0,216.0,776.25,5798.0,1869.0,55490.0,0.0,267.0,1789.0
122,276.0,2461.0,0.0,216.0,867.0,5838.0,1961.0,55237.0,0.0,268.0,1627.0
123,276.0,2461.0,0.0,216.0,0.0,5857.0,1761.0,54377.0,0.0,266.0,1448.0
124,274.0,2463.0,0.0,215.0,1488.5,5855.0,1760.0,53639.0,0.0,266.0,1427.0
125,274.0,2463.0,0.0,216.0,1605.2687452913228,5841.0,1728.0,54067.0,0.0,266.0,1269.0
126,275.0,2469.0,0.0,216.0,1457.927808107609,5761.0,1824.0,55207.0,0.0,263.0,1065.0
127,276.0,2485.0,0.0,217.0,1579.128902303055,5863.0,1817.0,55416.0,0.0,257.0,956.0
128,276.0,2513.0,0.0,217.0,812.0,5923.0,1824.0,55460.0,91.0,261.0,932.0
129,275.0,2589.0,0.0,217.0,1450.0,5878.0,1868.0,55581.0,368.0,256.0,1006.0
130,276.0,2713.0,2.250697605726941,217.0,1246.0,5916.0,1873.0,55514.0,801.0,256.0,1043.0
131,287.0,2756.0,4.388449449956511,217.0,1402.0,6041.0,1966.0,55852.0,1045.0,258.0,1066.0
132,288.0,2771.0,6.059455734215135,217.0,2041.0,6122.0,2153.0,55847.0,1128.0,258.0,1071.0
133,286.0,2498.0,7.291272083310359,216.0,1910.0,6131.0,2173.0,55789.0,1110.0,257.0,1130.0
134,293.0,2454.0,0.0,216.0,568.0,6191.0,1936.0,55599.0,901.0,260.0,1232.0
