,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Other  - Actual Aggregated [MW]
260,5.0,3376.0,2.0,0.0,1612.0,79.0,16.0
261,5.0,3409.0,2.0,0.0,1317.0,46.0,16.0
262,5.0,3474.0,2.0,0.0,1159.0,13.0,16.0
263,5.0,3543.0,2.0,0.0,1100.0,0.0,16.0
264,5.0,3455.0,2.0,0.0,1075.0,0.0,16.0
265,5.0,3396.0,2.0,0.0,1214.0,0.0,16.0
266,5.0,3441.0,2.0,0.0,1066.0,0.0,16.0
267,5.0,3473.0,2.0,0.0,818.0,0.0,16.0
268,5.0,3533.0,2.0,0.0,725.0,0.0,16.0
269,5.0,3465.0,2.0,0.0,890.0,0.0,16.0
270,5.0,3447.0,2.0,0.0,1389.0,0.0,16.0
271,5.0,3369.0,2.0,0.0,1793.0,66.0,16.0
272,5.0,3195.0,2.0,99.0,1864.0,230.0,16.0
273,5.0,3239.0,2.0,199.0,1790.0,163.0,16.0
274,5.0,3225.0,2.0,199.0,1831.0,109.0,20.0
275,5.0,3248.0,2.0,198.0,1821.0,112.0,20.0
276,5.0,3328.0,2.0,199.0,1732.0,123.0,22.0
277,5.0,3399.0,2.0,174.0,1662.0,126.0,39.0
278,5.0,3429.0,2.0,0.0,1710.0,201.0,67.0
279,5.0,3433.0,2.0,0.0,1666.0,178.0,68.0
280,5.0,3513.0,2.0,58.0,1753.0,205.0,63.0
281,5.0,3503.0,2.0,207.0,1744.0,171.0,68.0
282,5.0,3596.0,2.0,189.0,1696.0,195.0,67.0
283,5.0,3677.0,2.0,0.0,1788.0,183.0,70.0
284,5.0,3699.0,2.0,0.0,1618.0,74.0,70.0
285,5.0,3746.0,2.0,0.0,1575.0,18.0,70.0
286,5.0,3778.0,2.0,0.0,1704.0,0.0,68.0
287,2.1102989983528424,2097.151726302818,1.6705296925848447,45.93795368061804,954.4395860264359,70.1330495758914,27.14905989113084
288,5.0,3791.0,2.0,0.0,1302.0,0.0,61.0
289,5.0,3795.0,2.0,0.0,1028.0,0.0,61.0
290,5.0,3784.0,2.0,0.0,749.0,0.0,60.0
291,5.0,3806.0,2.0,0.0,516.0,0.0,60.0
292,5.0,3753.0,2.0,0.0,442.0,0.0,59.0
293,5.0,3739.0,2.0,0.0,538.0,0.0,59.0
294,5.0,3727.0,2.0,0.0,1094.0,0.0,59.0
295,5.0,3720.0,2.0,0.0,1441.0,0.0,59.0
296,5.0,3717.0,2.0,0.0,1612.0,0.0,58.0
