,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
49,4849.0,6432.0,0.0,2515.0,1593.0,187.0,23.0,765.0,1678.0,57.0,5044.0,322.0,143.0,6441.0,348.0,3290.0,31718.0
50,4851.0,6226.0,0.0,2536.0,1605.0,187.0,23.0,822.0,1688.0,59.0,5116.0,322.0,143.0,6321.0,348.0,3296.0,31695.0
51,4854.0,6205.0,0.0,2526.0,1602.0,188.0,23.0,1456.0,1692.0,61.0,5387.0,322.0,143.0,6317.0,353.0,3280.0,31139.0
52,4849.0,6236.0,0.0,2525.0,1626.0,188.0,23.0,259.0,1690.0,49.0,5708.0,322.0,143.0,6108.0,354.0,3283.0,30615.0
53,4847.0,6403.0,0.0,2540.0,1634.0,187.0,23.0,231.0,1692.0,53.0,6050.0,322.0,143.0,5887.0,354.0,3285.0,29615.0
54,4851.0,6392.0,0.0,2553.0,1635.0,188.0,23.0,390.0,1688.0,59.0,6487.0,322.0,143.0,5504.0,351.0,3288.0,28940.0
55,4855.0,6358.0,0.0,2533.0,1630.0,188.0,23.0,375.0,1688.0,52.0,6946.0,322.0,143.0,5241.0,351.0,3286.0,27993.0
56,4853.0,6268.0,0.0,2536.0,1617.0,187.0,23.0,620.0,1687.0,47.0,7161.0,322.0,143.0,4810.0,354.0,3290.0,26755.0
57,4862.0,6361.0,0.0,2541.0,1633.0,188.0,23.0,85.0,1687.0,51.0,7235.0,322.0,143.0,4310.0,354.0,3286.0,26066.0
58,4866.0,6446.0,0.0,2567.0,1637.0,188.0,23.0,556.0,1684.0,54.0,7324.0,322.0,143.0,3789.0,349.0,3273.0,25273.0
59,4862.0,6389.0,0.0,2543.0,1644.0,188.0,23.0,422.0,1679.0,64.0,7422.0,322.0,143.0,3204.0,344.0,3271.0,24218.0
60,4862.0,6506.0,0.0,2540.0,1801.0,188.0,23.0,149.0,1677.0,56.0,7582.0,322.0,143.0,2542.0,353.0,4037.0,23152.0
61,4867.0,6608.0,0.0,2551.0,1808.0,188.0,23.0,391.0,1676.0,59.0,7857.0,323.0,143.0,1872.0,347.0,4267.0,22480.0
62,4868.0,6888.0,0.0,2567.0,1804.0,187.0,23.0,486.0,1677.0,57.0,8106.0,323.0,144.0,1200.0,337.0,4319.0,21999.0
63,4870.0,7585.0,0.0,2576.0,1813.0,187.0,24.0,432.0,1676.0,54.0,8319.0,325.0,144.0,576.0,355.0,4302.0,21099.0
64,4867.0,8227.0,0.0,2780.0,1821.0,187.0,24.0,320.0,1676.0,55.0,8486.0,331.0,145.0,146.0,357.0,4207.0,20438.0
65,4868.0,8992.0,0.0,2810.0,1789.0,187.0,24.0,718.0,1676.0,58.0,8571.0,344.0,148.0,13.0,357.0,4070.0,19808.0
66,4870.0,9378.0,0.0,2864.0,1753.0,187.0,24.0,1892.0,1675.0,61.0,8629.0,351.0,153.0,0.0,357.0,3948.0,19089.0
67,4864.0,9885.0,0.0,2869.0,1782.0,187.0,24.0,2887.0,1675.0,73.0,8692.0,351.0,156.0,4.0,357.0,3800.0,18756.0
68,4872.0,10345.0,0.0,2910.0,1790.0,188.0,24.0,3007.0,1673.0,49.0,8757.0,353.0,156.0,0.0,357.0,3698.0,18468.0
69,4874.0,10656.0,0.0,2950.0,1811.0,188.0,24.0,2673.0,1672.0,38.0,8914.0,361.0,157.0,0.0,357.0,3768.0,18343.0
70,4880.0,10849.0,0.0,2964.0,1896.0,187.0,24.0,2936.0,1671.0,38.0,8977.0,359.0,161.0,0.0,357.0,3681.0,18180.0
71,4881.0,10991.0,0.0,2947.0,1904.0,187.0,24.0,3439.0,1670.0,31.0,8973.0,358.0,160.0,0.0,357.0,3602.0,17853.0
72,4878.0,11108.0,0.0,2962.0,1905.0,187.0,24.0,5102.0,1673.0,29.0,8957.0,365.0,160.0,0.0,357.0,3416.0,17804.0
73,4882.0,11220.0,0.0,2964.0,1909.0,188.0,24.0,5529.0,1670.0,31.0,9007.0,365.0,163.0,0.0,357.0,3288.0,17885.0
74,4883.0,11285.0,0.0,3007.0,1931.0,187.0,25.0,5681.0,1672.0,32.0,9051.0,377.0,163.0,0.0,357.0,3180.0,17715.0
75,4882.0,11450.0,0.0,3082.0,1910.0,187.0,24.0,5379.0,1671.0,32.0,9062.0,410.0,169.0,0.0,353.0,3140.0,17489.0
76,4879.0,11565.0,0.0,3108.0,1745.0,187.0,24.0,5547.0,1671.0,38.0,9086.0,421.0,184.0,0.0,353.0,3139.0,17437.0
77,4885.0,11717.0,0.0,3179.0,1735.0,188.0,24.0,5030.0,1671.0,31.0,9088.0,421.0,189.0,0.0,355.0,3118.0,17388.0
78,4875.0,11854.0,0.0,3256.0,1750.0,187.0,25.0,4496.0,1669.0,30.0,9090.0,421.0,189.0,0.0,357.0,3088.0,17326.0
79,4874.0,11884.0,0.0,3277.0,1780.0,187.0,25.0,4267.0,1669.0,30.0,9092.0,421.0,189.0,0.0,351.0,3071.0,17204.0
80,4860.0,11992.0,0.0,3287.0,1948.0,188.0,25.0,5168.0,1671.0,37.0,9107.0,421.0,189.0,0.0,347.0,3014.0,16797.0
81,4857.0,12030.0,0.0,3301.0,1992.0,188.0,25.0,4709.0,1671.0,32.0,9100.0,421.0,189.0,0.0,349.0,2921.0,16548.0
82,4855.0,12219.0,0.0,3296.0,1988.0,188.0,25.0,3740.0,1672.0,30.0,9103.0,421.0,189.0,0.0,358.0,2828.0,16463.0
83,4850.0,12323.0,0.0,3289.0,2013.0,188.0,25.0,2920.0,1673.0,30.0,9108.0,421.0,189.0,0.0,357.0,2670.0,16189.0
84,4854.0,12565.0,0.0,3303.0,2034.0,189.0,25.0,3368.0,1673.0,34.0,9125.0,421.0,189.0,0.0,358.0,2627.0,16315.0
85,4848.0,12604.0,0.0,3312.0,2044.0,189.0,24.0,2844.0,1672.0,29.0,9119.0,421.0,189.0,0.0,358.0,2525.0,16559.0
86,4844.0,12511.0,0.0,3310.0,2042.0,188.0,25.0,3020.0,1673.0,29.0,9106.0,421.0,189.0,0.0,358.0,2533.0,16616.0
87,4841.0,12524.0,0.0,3316.0,2036.0,189.0,25.0,2786.0,1674.0,29.0,9098.0,421.0,189.0,0.0,358.0,2538.0,16462.0
88,4829.0,12917.0,0.0,3292.0,2037.0,189.0,20.0,1988.0,1671.0,38.0,9143.0,421.0,189.0,0.0,359.0,2454.0,16148.0
89,4827.0,13024.0,0.0,3293.0,2029.0,189.0,20.0,1352.0,1671.0,29.0,9122.0,421.0,189.0,0.0,365.0,2388.0,15933.0
90,4826.0,13076.0,0.0,3294.0,2001.0,189.0,20.0,1047.0,1670.0,29.0,9090.0,421.0,189.0,0.0,362.0,2264.0,16112.0
91,4824.0,13060.0,0.0,3276.0,1973.0,189.0,20.0,478.0,1669.0,30.0,9087.0,421.0,189.0,0.0,358.0,2277.0,16043.0
92,4802.0,13107.0,0.0,3280.0,1961.0,188.0,19.0,1248.0,1667.0,45.0,9151.0,421.0,189.0,0.0,356.0,2226.0,15822.0
93,4802.0,12923.0,0.0,3290.0,1940.0,188.0,20.0,973.0,1663.0,29.0,9135.0,421.0,189.0,0.0,353.0,2035.0,15768.0
94,4803.0,12855.0,0.0,3303.0,1922.0,189.0,20.0,197.0,1659.0,33.0,9132.0,421.0,189.0,0.0,360.0,1860.0,15837.0
95,4801.0,12769.0,0.0,3286.0,1932.0,189.0,21.0,172.0,1660.0,36.0,9096.0,421.0,189.0,0.0,360.0,1658.0,15829.0
96,4755.0,12756.0,0.0,3238.0,1946.0,189.0,22.0,21.0,1656.0,45.0,9033.0,432.0,189.0,0.0,363.0,1499.0,15696.0
97,4761.0,12682.0,0.0,3233.0,1939.0,188.0,23.0,25.0,1658.0,41.0,9069.0,429.0,189.0,0.0,362.0,1490.0,15535.0
98,4756.0,12379.0,0.0,3201.0,1928.0,189.0,23.0,27.0,1656.0,41.0,9040.0,414.0,187.0,0.0,369.0,1537.0,15455.0
99,4770.0,11944.0,0.0,3191.0,1853.0,188.0,23.0,24.0,1656.0,42.0,8963.0,410.0,180.0,0.0,369.0,1543.0,15259.0
100,4766.0,11645.0,0.0,3236.0,1855.0,189.0,23.0,27.0,1653.0,50.0,9055.0,410.0,179.0,0.0,371.0,1602.0,15304.0
101,4764.0,11362.0,0.0,3236.0,1874.0,190.0,23.0,28.0,1647.0,41.0,9037.0,411.0,179.0,0.0,366.0,1606.0,15320.0
102,4766.0,11250.0,0.0,3256.0,1874.0,190.0,23.0,28.0,1641.0,41.0,9054.0,411.0,179.0,0.0,366.0,1628.0,15234.0
103,4758.0,11044.0,0.0,3238.0,1867.0,190.0,23.0,28.0,1639.0,41.0,9017.0,409.0,179.0,0.0,362.0,1612.0,15075.0
104,4754.0,10949.0,0.0,3228.0,1862.0,190.0,24.0,28.0,1638.0,49.0,9094.0,405.0,178.0,0.0,363.0,1547.0,14998.0
105,4748.0,10817.0,0.0,3233.0,1858.0,190.0,24.0,28.0,1638.0,45.0,9106.0,405.0,176.0,0.0,350.0,1515.0,14728.0
106,4748.0,10823.0,0.0,3250.0,1852.0,190.0,24.0,35.0,1639.0,46.0,9109.0,405.0,176.0,0.0,360.0,1504.0,14728.0
107,4738.0,10177.0,0.0,3274.0,1854.0,190.0,23.0,36.0,1639.0,48.0,9129.0,405.0,176.0,0.0,360.0,1564.0,14572.0
108,4743.0,9771.0,0.0,3346.0,1830.0,190.0,24.0,49.0,1638.0,53.0,9173.0,405.0,176.0,0.0,356.0,1635.0,14423.0
109,4756.0,9845.0,0.0,3368.0,1806.0,190.0,24.0,26.0,1639.0,38.0,9172.0,405.0,176.0,0.0,354.0,1708.0,14664.0
110,4749.0,10094.0,0.0,3409.0,1832.0,190.0,24.0,19.0,1640.0,43.0,9187.0,405.0,176.0,0.0,354.0,1714.0,14782.0
111,4739.0,10286.0,0.0,3527.0,1833.0,191.0,24.0,19.0,1640.0,44.0,9180.0,407.0,176.0,0.0,345.0,1748.0,14685.0
112,4728.0,10775.0,0.0,3598.0,1904.0,191.0,23.0,724.0,1646.0,42.0,9191.0,422.0,177.0,0.0,342.0,1763.0,14917.0
113,4736.0,11017.0,0.0,3739.0,1901.0,191.0,23.0,719.0,1647.0,39.0,9196.0,423.0,184.0,0.0,348.0,1837.0,15246.0
114,4742.0,11151.0,0.0,3756.0,1935.0,191.0,23.0,23.0,1648.0,42.0,9157.0,423.0,185.0,0.0,352.0,1815.0,15409.0
115,4736.0,11224.0,0.0,3753.0,1931.0,191.0,23.0,173.0,1649.0,41.0,9099.0,423.0,185.0,0.0,356.0,1828.0,15408.0
116,4746.0,11559.0,0.0,3875.0,1971.0,191.0,23.0,660.0,1647.0,49.0,9136.0,427.0,185.0,0.0,362.0,1893.0,15529.0
117,4748.0,11978.0,0.0,3907.0,2141.0,191.0,23.0,658.0,1647.0,42.0,9176.0,431.0,186.0,0.0,362.0,1918.0,15481.0
118,4752.0,12500.0,0.0,3948.0,2407.0,191.0,23.0,112.0,1649.0,47.0,9217.0,431.0,188.0,0.0,351.0,1914.0,15572.0
119,4732.0,13235.0,0.0,4047.0,2639.0,191.0,23.0,905.0,1647.0,51.0,9222.0,452.0,188.0,0.0,356.0,2011.0,15718.0
120,4739.0,13882.0,0.0,4302.0,2695.0,191.0,23.0,660.0,1648.0,42.0,9176.0,466.0,198.0,0.0,350.0,2066.0,16049.0
121,4749.0,14410.0,0.0,4343.0,2819.0,191.0,23.0,856.0,1653.0,51.0,9211.0,469.0,204.0,0.0,349.0,2030.0,16200.0
122,4751.0,14571.0,0.0,4406.0,2902.0,191.0,23.0,1042.0,1653.0,49.0,9222.0,468.0,206.0,0.0,351.0,2139.0,16221.0
123,4757.0,14690.0,0.0,4444.0,3133.0,191.0,23.0,866.0,1657.0,44.0,9185.0,468.0,205.0,0.0,359.0,2424.0,16427.0
124,4800.0,14878.0,0.0,4936.0,3291.0,191.0,23.0,962.0,1660.0,48.0,9193.0,511.0,205.0,0.0,362.0,2221.0,16593.0
125,4817.0,15044.0,0.0,5120.0,3386.0,191.0,23.0,1430.0,1661.0,46.0,9271.0,514.0,206.0,0.0,359.0,2083.0,16554.0
126,4819.0,15128.0,0.0,5168.0,3757.0,191.0,23.0,2246.0,1659.0,58.0,9310.0,515.0,207.0,0.0,352.0,2132.0,16563.0
127,4832.0,15093.0,0.0,5156.0,4126.0,191.0,23.0,2825.0,1656.0,56.0,9336.0,515.0,208.0,0.0,362.0,2146.0,16568.0
128,4841.0,15119.0,0.0,5224.0,4492.0,191.0,23.0,3009.0,1661.0,43.0,9271.0,515.0,208.0,2.0,358.0,2134.0,16489.0
129,4856.0,15220.0,0.0,5289.0,4614.0,191.0,23.0,3271.0,1668.0,48.0,9333.0,515.0,208.0,20.0,347.0,2164.0,16402.0
130,4860.0,15408.0,0.0,5321.0,4682.0,191.0,23.0,3511.0,1670.0,49.0,9343.0,516.0,208.0,86.0,335.0,2204.0,16200.0
131,4862.0,15659.0,0.0,5354.0,4870.0,192.0,23.0,3326.0,1673.0,45.0,9341.0,515.0,208.0,216.0,339.0,2149.0,16147.0
132,4868.0,15760.0,0.0,5552.0,5027.0,191.0,24.0,3434.0,1672.0,48.0,9325.0,515.0,208.0,425.0,351.0,1989.0,16124.0
133,4861.0,15931.0,0.0,5538.0,5387.0,191.0,24.0,3427.0,1663.0,49.0,9349.0,515.0,208.0,723.0,351.0,1838.0,16148.0
134,4868.0,16016.0,0.0,5577.0,5428.0,191.0,24.0,3749.0,1662.0,51.0,9352.0,515.0,208.0,1098.0,351.0,1957.0,16085.0
135,4861.0,16072.0,0.0,5552.0,5548.0,191.0,24.0,3740.0,1662.0,51.0,9356.0,515.0,208.0,1382.0,351.0,1984.0,15938.0
136,4855.0,16171.0,0.0,5549.0,5564.0,191.0,24.0,3691.0,1658.0,52.0,9348.0,529.0,208.0,1745.0,341.0,1839.0,15966.0
137,4858.0,16180.0,0.0,5537.0,5546.0,191.0,23.0,3572.0,1657.0,51.0,9345.0,528.0,208.0,2099.0,346.0,1788.0,15715.0
138,4849.0,16252.0,0.0,5581.0,5638.0,191.0,23.0,3751.0,1660.0,59.0,9348.0,528.0,208.0,2359.0,351.0,1697.0,15376.0
139,4854.0,16319.0,0.0,5555.0,5700.0,191.0,24.0,3911.0,1663.0,59.0,9340.0,528.0,208.0,2609.0,348.0,1723.0,15125.0
140,4855.0,16452.0,0.0,5575.0,5793.0,191.0,24.0,4607.0,1659.0,53.0,9347.0,528.0,208.0,2912.0,350.0,1968.0,15098.0
141,4859.0,16528.0,0.0,5554.0,5814.0,191.0,24.0,4337.0,1658.0,52.0,9345.0,528.0,208.0,3107.0,351.0,2134.0,15362.0
142,4851.0,16497.0,0.0,5565.0,5702.0,191.0,24.0,4126.0,1659.0,52.0,9339.0,528.0,208.0,3230.0,345.0,2350.0,15557.0
143,4857.0,16466.0,0.0,5545.0,5702.0,191.0,24.0,3788.0,1660.0,50.0,9340.0,528.0,208.0,3381.0,341.0,2612.0,15731.0
144,4852.0,16494.0,0.0,5530.0,5657.0,191.0,24.0,3772.0,1669.0,62.0,9349.0,528.0,208.0,3379.0,349.0,2689.0,15922.0
145,4864.0,16490.0,0.0,5534.0,5601.0,191.0,23.0,3262.0,1671.0,48.0,9287.0,528.0,207.0,3398.0,355.0,2745.0,16243.0
146,4861.0,16491.0,0.0,5542.0,5658.0,191.0,23.0,3108.0,1668.0,56.0,9294.0,528.0,207.0,3458.0,346.0,2687.0,16513.0
147,4865.0,16521.0,0.0,5542.0,5702.0,191.0,24.0,2902.0,1667.0,52.0,9280.0,528.0,207.0,3492.0,341.0,2778.0,16589.0
148,4859.0,16475.0,0.0,5469.0,5860.0,191.0,24.0,2167.0,1663.0,66.0,9289.0,533.0,208.0,3406.0,343.0,2740.0,16318.0
149,4865.0,16446.0,0.0,5482.0,5996.0,191.0,24.0,1927.0,1658.0,59.0,9292.0,533.0,207.0,3357.0,348.0,2622.0,15744.0
150,4865.0,16450.0,0.0,5490.0,6201.0,192.0,23.0,2391.0,1655.0,63.0,9297.0,533.0,207.0,3222.0,342.0,2481.0,15165.0
151,4861.0,16402.0,0.0,5465.0,6330.0,190.0,24.0,1785.0,1657.0,30.0,9295.0,533.0,207.0,2994.0,340.0,2447.0,14986.0
152,4856.0,16386.0,0.0,5451.0,6468.0,189.0,24.0,2095.0,1653.0,29.0,9270.0,533.0,207.0,2850.0,334.0,2355.0,14541.0
153,4856.0,16353.0,0.0,5452.0,6507.0,189.0,24.0,2410.0,1651.0,29.0,9289.0,533.0,207.0,2601.0,340.0,2253.0,14151.0
154,4878.0,16257.0,0.0,5460.0,6619.0,189.0,24.0,2516.0,1650.0,31.0,9314.0,533.0,207.0,2251.0,350.0,2284.0,13933.0
155,4877.0,16305.0,0.0,5451.0,6725.0,189.0,24.0,2722.0,1657.0,50.0,9318.0,533.0,207.0,1863.0,345.0,2268.0,13621.0
156,4880.0,16302.0,0.0,5466.0,6822.0,189.0,24.0,3140.0,1657.0,65.0,9294.0,533.0,207.0,1468.0,338.0,2386.0,13356.0
157,4884.0,16318.0,0.0,5481.0,6913.0,189.0,24.0,2911.0,1655.0,57.0,9313.0,533.0,207.0,1016.0,338.0,2457.0,13290.0
158,4888.0,16301.0,0.0,5505.0,6970.0,189.0,24.0,2674.0,1656.0,31.0,9291.0,542.0,207.0,629.0,338.0,2662.0,13499.0
159,4891.0,16383.0,0.0,5500.0,6906.0,189.0,24.0,2796.0,1654.0,31.0,9267.0,542.0,207.0,363.0,338.0,2645.0,13718.0
160,4886.0,16330.0,0.0,5531.0,6747.0,189.0,24.0,2687.0,1660.0,35.0,9148.0,542.0,207.0,120.0,339.0,2685.0,13701.0
161,4881.0,16365.0,0.0,5539.0,6660.0,189.0,24.0,2692.0,1660.0,35.0,9194.0,542.0,207.0,31.0,336.0,2912.0,13482.0
162,4887.0,16413.0,0.0,5574.0,6687.0,189.0,24.0,2968.0,1662.0,39.0,9254.0,542.0,207.0,8.0,337.0,3138.0,13618.0
