,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
4693,66.0,156.0,282.0,66.0,13.0
4694,66.0,155.0,243.0,66.0,14.0
4695,66.0,156.0,107.0,66.0,14.0
4696,66.0,155.0,6.0,66.0,13.0
4697,64.0,155.0,0.0,66.0,13.0
4698,64.0,155.0,0.0,67.0,10.0
4699,64.0,155.0,0.0,67.0,10.0
4700,63.0,154.0,0.0,67.0,13.0
4701,60.0,155.0,0.0,66.0,21.0
4702,59.0,156.0,0.0,66.0,24.0
4703,59.0,155.0,0.0,65.0,25.0
4704,58.0,155.0,0.0,65.0,25.0
4705,58.0,153.0,0.0,65.0,24.0
4706,57.0,154.0,0.0,64.0,23.0
4707,58.0,155.0,0.0,64.0,21.0
4708,60.0,155.0,2.0,65.0,18.0
4709,63.0,156.0,90.0,66.0,8.0
4710,66.0,155.0,261.0,66.0,1.0
4711,66.0,156.0,309.0,67.0,1.0
4712,66.0,155.0,329.0,67.0,2.0
4713,66.0,182.0,331.0,67.0,4.0
4714,66.0,215.0,384.0,67.0,6.0
4715,66.0,340.0,455.0,66.0,11.0
4716,66.0,320.0,422.0,66.0,14.0
4717,66.0,359.0,336.0,67.0,13.0
4718,66.0,280.0,176.0,66.0,13.0
4719,66.0,177.0,64.0,66.0,16.0
4720,66.0,214.0,6.0,66.0,18.0
4721,64.0,254.0,1.0,66.0,8.0
4722,64.0,254.0,50.0,66.0,4.0
4723,64.0,254.0,50.0,66.0,5.0
4724,62.0,255.0,12.0,66.0,15.0
4725,58.0,227.0,0.0,65.0,19.0
4726,58.0,159.0,0.0,65.0,17.0
4727,57.0,155.0,0.0,64.0,15.0
4728,56.0,155.0,0.0,63.0,18.0
4729,57.0,154.0,0.0,63.0,18.0
4730,57.0,154.0,0.0,64.0,18.0
4731,57.0,156.0,0.0,64.0,18.0
4732,60.0,155.0,2.0,65.0,13.0
4733,64.0,155.0,92.0,66.0,7.0
4734,66.0,155.0,265.0,67.0,4.0
4735,67.0,155.0,331.0,67.0,5.0
4736,67.0,155.0,332.0,68.0,7.0
4737,67.0,156.0,332.0,68.0,17.0
4738,67.0,155.0,332.0,68.0,29.0
4739,67.0,155.0,332.0,68.0,27.0
4740,67.0,155.0,289.0,67.0,28.0
4741,64.0,157.0,311.0,64.0,21.0
4742,64.0,164.0,230.0,64.0,18.0
4743,64.0,176.0,57.0,64.0,17.0
4744,65.0,176.0,3.0,65.0,17.0
4745,63.0,168.0,26.0,65.0,15.0
4746,63.0,155.0,3.0,65.0,11.0
4747,64.0,155.0,21.0,66.0,12.0
4748,62.0,192.0,1.0,66.0,14.0
4749,59.0,154.0,0.0,66.0,14.0
4750,58.0,154.0,0.0,65.0,16.0
4751,57.0,153.0,0.0,64.0,19.0
4752,56.0,155.0,0.0,63.0,21.0
4753,56.0,155.0,0.0,63.0,20.0
4754,56.0,155.0,0.0,63.0,19.0
4755,57.0,155.0,0.0,64.0,18.0
4756,60.0,155.0,12.0,64.0,14.0
4757,63.0,166.0,107.0,65.0,8.0
4758,65.0,194.0,271.0,65.0,3.0
4759,65.0,244.0,334.0,65.0,2.0
4760,65.0,250.0,395.0,65.0,4.0
4761,66.0,366.0,442.0,66.0,13.0
4762,65.0,373.0,338.0,65.0,20.0
4763,65.0,387.0,331.0,65.0,15.0
4764,65.0,388.0,284.0,65.0,15.0
4765,65.0,388.0,281.0,64.0,13.0
4766,65.0,388.0,210.0,65.0,9.0
4767,65.0,384.0,51.0,64.0,7.0
4768,64.0,372.0,3.0,64.0,6.0
4769,63.0,365.0,0.0,64.0,8.0
4770,61.0,262.0,0.0,63.0,6.0
4771,62.0,203.0,0.0,63.0,8.0
4772,60.0,260.0,0.0,64.0,14.0
4773,57.0,204.0,0.0,64.0,17.0
4774,57.0,156.0,0.0,64.0,19.0
4775,56.0,156.0,0.0,63.0,19.0
4776,55.0,156.0,0.0,62.0,18.0
4777,55.0,155.0,0.0,62.0,14.0
4778,55.0,155.0,0.0,63.0,12.0
4779,56.0,155.0,0.0,63.0,11.0
4780,59.0,187.0,0.0,64.0,8.0
4781,62.0,261.0,123.0,64.0,2.0
4782,64.0,391.0,285.0,64.0,0.0
4783,64.0,390.0,331.0,64.0,0.0
4784,64.0,381.0,331.0,63.0,1.0
4785,63.0,380.0,332.0,63.0,5.0
4786,63.0,380.0,504.0,63.0,7.0
4787,63.0,387.0,372.0,62.0,6.0
4788,63.0,402.0,286.0,63.0,11.0
4789,63.0,401.0,280.0,63.0,4.0
4790,64.0,393.0,278.0,64.0,1.0
4791,63.0,300.0,55.0,62.0,1.0
4792,63.0,290.0,39.0,63.0,3.0
4793,62.0,283.0,17.0,63.0,4.0
4794,61.0,290.0,4.0,62.0,3.0
4795,62.0,235.0,0.0,64.0,4.0
4796,61.0,183.0,0.0,64.0,4.0
4797,58.0,177.0,0.0,64.0,5.0
4798,57.0,177.0,0.0,64.0,5.0
4799,56.0,177.0,0.0,63.0,5.0
4800,55.0,177.0,0.0,62.0,7.0
4801,56.0,177.0,0.0,62.0,4.0
4802,56.0,177.0,0.0,63.0,4.0
4803,57.0,177.0,0.0,64.0,3.0
4804,59.0,176.0,18.0,64.0,2.0
4805,62.0,183.0,213.0,64.0,2.0
4806,64.0,189.0,276.0,64.0,0.0
4807,64.0,180.0,332.0,63.0,0.0
4808,63.0,158.0,386.0,63.0,0.0
4809,62.0,162.0,390.0,62.0,2.0
4810,62.0,165.0,368.0,61.0,3.0
4811,61.0,155.0,489.0,61.0,4.0
4812,61.0,155.0,438.0,60.0,5.0
4813,62.0,155.0,453.0,61.0,7.0
4814,62.0,155.0,320.0,61.0,7.0
4815,62.0,183.0,101.0,61.0,8.0
4816,62.0,160.0,22.0,61.0,7.0
4817,60.0,155.0,16.0,62.0,5.0
4818,62.0,155.0,16.0,63.0,5.0
4819,62.0,203.0,16.0,64.0,4.0
4820,61.0,249.0,63.0,64.0,5.0
4821,58.0,255.0,28.0,65.0,6.0
4822,56.0,206.0,18.0,63.0,7.0
4823,55.0,224.0,8.0,62.0,4.0
4824,54.0,229.0,0.0,61.0,2.0
4825,55.0,170.0,0.0,61.0,2.0
4826,55.0,169.0,0.0,62.0,0.0
4827,56.0,155.0,0.0,63.0,0.0
4828,59.0,177.0,0.0,64.0,0.0
4829,61.0,164.0,0.0,64.0,2.0
4830,64.0,155.0,0.0,64.0,2.0
4831,64.0,155.0,7.0,64.0,5.0
4832,63.0,159.0,66.0,63.0,12.0
4833,63.0,162.0,53.0,62.0,15.0
4834,62.0,270.0,97.0,62.0,15.0
4835,62.0,225.0,36.0,61.0,16.0
4836,61.0,232.0,0.0,61.0,14.0
4837,62.0,269.0,0.0,61.0,14.0
4838,62.0,270.0,0.0,61.0,11.0
4839,62.0,188.0,0.0,61.0,7.0
4840,62.0,161.0,0.0,62.0,3.0
4841,61.0,193.0,0.0,62.0,1.0
4842,61.0,182.0,0.0,63.0,0.0
4843,62.0,161.0,0.0,64.0,1.0
4844,60.0,178.0,0.0,64.0,0.0
4845,57.0,201.0,0.0,63.0,1.0
4846,56.0,160.0,0.0,63.0,1.0
4847,55.0,161.0,0.0,62.0,1.0
4848,55.0,161.0,0.0,61.0,1.0
4849,55.0,160.0,0.0,61.0,1.0
4850,55.0,160.0,0.0,62.0,0.0
4851,56.0,161.0,0.0,63.0,0.0
4852,57.0,160.0,0.0,63.0,0.0
4853,58.0,160.0,0.0,64.0,1.0
4854,61.0,160.0,90.0,64.0,0.0
4855,64.0,161.0,106.0,63.0,1.0
4856,63.0,160.0,108.0,63.0,2.0
4857,63.0,161.0,123.0,62.0,3.0
4858,62.0,161.0,123.0,61.0,3.0
4859,62.0,161.0,108.0,61.0,3.0
4860,61.0,160.0,107.0,61.0,3.0
4861,62.0,160.0,107.0,62.0,5.0
4862,62.0,160.0,106.0,62.0,5.0
4863,63.0,159.0,17.0,62.0,4.0
4864,63.0,160.0,17.0,62.0,3.0
4865,61.0,159.0,1.0,63.0,1.0
4866,62.0,159.0,0.0,63.0,0.0
4867,62.0,159.0,0.0,63.0,0.0
4868,60.0,159.0,0.0,63.0,0.0
4869,56.0,159.0,0.0,63.0,0.0
4870,55.0,161.0,0.0,62.0,0.0
4871,55.0,161.0,0.0,62.0,0.0
4872,54.0,161.0,0.0,61.0,0.0
4873,54.0,162.0,0.0,61.0,0.0
4874,55.0,161.0,0.0,61.0,0.0
4875,55.0,161.0,0.0,62.0,0.0
4876,57.0,162.0,1.0,63.0,0.0
4877,61.0,177.0,139.0,63.0,1.0
4878,64.0,218.0,284.0,63.0,0.0
4879,65.0,261.0,343.0,63.0,0.0
4880,64.0,300.0,420.0,63.0,0.0
4881,64.0,300.0,421.0,63.0,0.0
4882,64.0,300.0,421.0,62.0,1.0
4883,64.0,261.0,457.0,62.0,4.0
4884,63.0,200.0,386.0,62.0,6.0
4885,64.0,187.0,300.0,62.0,9.0
4886,64.0,191.0,173.0,63.0,7.0
4887,65.0,192.0,82.0,64.0,4.0
4888,63.0,200.0,18.0,62.0,2.0
4889,62.0,186.0,1.0,62.0,2.0
4890,62.0,201.0,0.0,63.0,1.0
4891,63.0,213.0,0.0,63.0,1.0
4892,61.0,277.0,0.0,63.0,1.0
4893,57.0,196.0,0.0,63.0,1.0
4894,56.0,162.0,0.0,62.0,1.0
4895,55.0,162.0,0.0,61.0,1.0
4896,54.0,162.0,0.0,61.0,1.0
4897,54.0,162.0,0.0,61.0,0.0
4898,54.0,162.0,0.0,61.0,0.0
4899,55.0,162.0,0.0,62.0,0.0
4900,58.0,193.0,0.0,62.0,0.0
4901,61.0,194.0,67.0,63.0,0.0
4902,65.0,249.0,252.0,63.0,0.0
4903,65.0,409.0,322.0,63.0,1.0
4904,64.0,552.0,533.0,63.0,0.0
4905,64.0,648.0,389.0,63.0,0.0
4906,64.0,659.0,381.0,62.0,1.0
4907,63.0,658.0,479.0,62.0,4.0
4908,62.0,663.0,396.0,61.0,8.0
4909,63.0,583.0,335.0,62.0,7.0
4910,62.0,461.0,172.0,61.0,6.0
4911,62.0,430.0,101.0,61.0,6.0
4912,62.0,470.0,72.0,61.0,7.0
4913,60.0,638.0,112.0,62.0,5.0
4914,61.0,604.0,102.0,62.0,4.0
4915,61.0,625.0,101.0,63.0,5.0
4916,59.0,331.0,4.0,63.0,5.0
4917,56.0,162.0,0.0,63.0,8.0
4918,55.0,161.0,0.0,62.0,5.0
4919,55.0,161.0,0.0,61.0,2.0
4920,54.0,163.0,0.0,60.0,1.0
4921,53.0,163.0,0.0,60.0,0.0
4922,54.0,163.0,0.0,60.0,0.0
4923,54.0,163.0,0.0,61.0,1.0
4924,56.0,234.0,0.0,61.0,1.0
4925,59.0,374.0,215.0,61.0,2.0
4926,62.0,605.0,263.0,62.0,0.0
4927,63.0,660.0,192.0,62.0,1.0
4928,62.0,689.0,191.0,62.0,1.0
4929,62.0,705.0,191.0,62.0,1.0
4930,62.0,757.0,128.0,62.0,2.0
4931,62.0,756.0,117.0,61.0,2.0
4932,62.0,735.0,106.0,61.0,2.0
4933,62.0,708.0,107.0,62.0,3.0
4934,62.0,601.0,99.0,62.0,6.0
4935,62.0,598.0,17.0,62.0,9.0
4936,63.0,713.0,17.0,62.0,13.0
4937,61.0,769.0,55.0,63.0,13.0
4938,61.0,744.0,1.0,63.0,5.0
4939,62.0,709.0,0.0,63.0,5.0
4940,60.0,349.0,0.0,63.0,5.0
4941,56.0,231.0,0.0,63.0,6.0
4942,55.0,161.0,0.0,62.0,5.0
4943,55.0,162.0,0.0,61.0,5.0
4944,54.0,162.0,0.0,60.0,4.0
4945,54.0,162.0,0.0,60.0,3.0
4946,54.0,162.0,0.0,60.0,3.0
4947,54.0,162.0,0.0,61.0,4.0
4948,56.0,166.0,0.0,61.0,3.0
4949,59.0,263.0,0.0,62.0,1.0
4950,63.0,401.0,0.0,62.0,0.0
4951,63.0,508.0,101.0,62.0,1.0
4952,63.0,648.0,355.0,62.0,2.0
4953,63.0,619.0,351.0,62.0,2.0
4954,63.0,628.0,411.0,62.0,3.0
4955,62.0,699.0,412.0,62.0,3.0
4956,62.0,625.0,411.0,62.0,5.0
4957,62.0,588.0,316.0,61.0,8.0
4958,62.0,423.0,174.0,61.0,13.0
4959,62.0,473.0,83.0,61.0,15.0
4960,62.0,450.0,34.0,62.0,10.0
4961,61.0,515.0,67.0,62.0,6.0
4962,61.0,514.0,50.0,63.0,5.0
4963,63.0,450.0,101.0,64.0,6.0
4964,61.0,170.0,4.0,64.0,4.0
4965,57.0,162.0,0.0,63.0,6.0
4966,56.0,162.0,0.0,62.0,7.0
4967,55.0,162.0,0.0,61.0,6.0
4968,54.0,161.0,0.0,60.0,8.0
4969,54.0,162.0,0.0,61.0,7.0
4970,55.0,162.0,0.0,61.0,5.0
4971,55.0,161.0,0.0,62.0,5.0
4972,57.0,165.0,0.0,62.0,5.0
4973,60.0,288.0,0.0,62.0,4.0
4974,62.0,354.0,170.0,62.0,1.0
4975,62.0,452.0,194.0,62.0,1.0
4976,61.0,643.0,343.0,62.0,3.0
4977,61.0,744.0,313.0,61.0,6.0
4978,61.0,747.0,380.0,61.0,13.0
4979,61.0,699.0,426.0,61.0,13.0
4980,61.0,697.0,433.0,61.0,12.0
4981,61.0,685.0,294.0,62.0,12.0
4982,61.0,393.0,119.0,62.0,20.0
4983,62.0,236.0,147.0,62.0,18.0
4984,62.0,259.0,127.0,62.0,15.0
4985,61.0,260.0,48.0,63.0,13.0
4986,62.0,256.0,0.0,63.0,9.0
4987,62.0,167.0,0.0,64.0,5.0
4988,60.0,166.0,0.0,64.0,6.0
4989,57.0,162.0,0.0,64.0,12.0
4990,56.0,161.0,0.0,63.0,18.0
4991,56.0,160.0,0.0,62.0,13.0
4992,55.0,160.0,0.0,62.0,12.0
4993,55.0,160.0,0.0,62.0,11.0
4994,56.0,159.0,0.0,62.0,11.0
4995,56.0,160.0,0.0,62.0,14.0
4996,57.0,160.0,2.0,63.0,10.0
4997,61.0,162.0,90.0,63.0,6.0
4998,63.0,195.0,91.0,63.0,3.0
4999,63.0,195.0,147.0,63.0,3.0
5000,63.0,187.0,163.0,63.0,8.0
5001,62.0,216.0,183.0,62.0,16.0
5002,62.0,225.0,231.0,62.0,19.0
5003,61.0,288.0,184.0,62.0,17.0
5004,61.0,333.0,173.0,62.0,15.0
5005,62.0,276.0,173.0,62.0,14.0
5006,62.0,228.0,174.0,62.0,13.0
5007,63.0,251.0,28.0,64.0,13.0
5008,65.0,258.0,25.0,66.0,12.0
5009,64.0,221.0,16.0,66.0,13.0
5010,64.0,185.0,0.0,66.0,9.0
5011,63.0,185.0,0.0,65.0,12.0
5012,61.0,185.0,0.0,65.0,9.0
5013,58.0,185.0,0.0,65.0,12.0
5014,57.0,161.0,0.0,64.0,13.0
5015,56.0,160.0,0.0,63.0,12.0
5016,56.0,160.0,0.0,62.0,11.0
5017,56.0,161.0,0.0,62.0,11.0
5018,56.0,159.0,0.0,63.0,11.0
5019,57.0,158.0,0.0,63.0,12.0
5020,57.0,161.0,2.0,63.0,7.0
5021,61.0,162.0,91.0,64.0,7.0
5022,63.0,191.0,180.0,64.0,5.0
5023,63.0,191.0,227.0,64.0,4.0
5024,63.0,186.0,156.0,64.0,3.0
5025,63.0,195.0,171.0,64.0,3.0
5026,63.0,171.0,174.0,64.0,4.0
5027,63.0,197.0,174.0,64.0,4.0
5028,63.0,232.0,128.0,64.0,5.0
5029,63.0,237.0,124.0,64.0,5.0
5030,63.0,234.0,124.0,64.0,5.0
5031,63.0,212.0,50.0,64.0,7.0
5032,63.0,170.0,6.0,64.0,12.0
5033,64.0,222.0,0.0,66.0,5.0
5034,63.0,294.0,29.0,65.0,4.0
5035,63.0,351.0,8.0,65.0,5.0
5036,61.0,351.0,0.0,65.0,5.0
5037,58.0,285.0,0.0,65.0,5.0
5038,58.0,166.0,0.0,64.0,3.0
5039,57.0,160.0,0.0,64.0,3.0
5040,57.0,160.0,0.0,63.0,1.0
5041,57.0,160.0,0.0,63.0,1.0
5042,57.0,161.0,0.0,63.0,1.0
5043,57.0,188.0,0.0,64.0,0.0
5044,58.0,230.0,55.0,64.0,1.0
5045,62.0,476.0,315.0,64.0,2.0
5046,64.0,593.0,269.0,65.0,0.0
5047,64.0,693.0,280.0,65.0,0.0
5048,64.0,717.0,329.0,65.0,0.0
5049,64.0,711.0,342.0,65.0,0.0
5050,64.0,728.0,375.0,65.0,0.0
5051,64.0,727.0,420.0,65.0,0.0
5052,64.0,723.0,331.0,65.0,1.0
5053,63.0,712.0,329.0,64.0,1.0
5054,63.0,715.0,280.0,64.0,7.0
5055,64.0,716.0,55.0,64.0,3.0
5056,64.0,710.0,17.0,65.0,1.0
5057,63.0,699.0,18.0,65.0,3.0
5058,63.0,689.0,18.0,65.0,1.0
5059,63.0,538.0,133.0,65.0,7.0
5060,61.0,361.0,0.0,65.0,3.0
5061,58.0,187.0,0.0,65.0,0.0
5062,57.0,160.0,0.0,64.0,0.0
5063,58.0,162.0,1.0,64.0,0.0
5064,57.0,161.0,0.0,63.0,0.0
5065,56.0,161.0,0.0,63.0,1.0
5066,56.0,160.0,0.0,63.0,1.0
5067,57.0,161.0,0.0,63.0,1.0
5068,59.0,229.0,0.0,64.0,1.0
5069,62.0,442.0,186.0,64.0,3.0
5070,63.0,594.0,271.0,64.0,1.0
5071,64.0,612.0,271.0,64.0,0.0
5072,64.0,663.0,271.0,65.0,0.0
5073,64.0,708.0,266.0,65.0,0.0
5074,64.0,715.0,213.0,65.0,0.0
5075,64.0,719.0,304.0,65.0,0.0
5076,64.0,718.0,236.0,64.0,0.0
5077,62.0,718.0,321.0,63.0,1.0
5078,62.0,716.0,215.0,63.0,15.0
5079,63.0,707.0,214.0,63.0,6.0
5080,63.0,717.0,230.0,63.0,13.0
5081,61.0,718.0,183.0,64.0,11.0
5082,62.0,706.0,180.0,64.0,5.0
5083,65.0,537.0,161.0,68.0,4.0
5084,61.0,411.0,1.0,65.0,5.0
5085,59.0,381.0,0.0,65.0,3.0
5086,58.0,346.0,0.0,65.0,4.0
5087,58.0,346.0,0.0,65.0,9.0
5088,57.0,346.0,0.0,63.0,12.0
5089,56.0,346.0,0.0,63.0,10.0
5090,56.0,346.0,0.0,63.0,8.0
5091,57.0,346.0,0.0,64.0,8.0
5092,59.0,349.0,0.0,64.0,10.0
5093,63.0,351.0,6.0,65.0,8.0
5094,64.0,600.0,176.0,65.0,5.0
5095,64.0,699.0,139.0,65.0,2.0
5096,63.0,740.0,173.0,64.0,4.0
5097,63.0,733.0,333.0,64.0,4.0
5098,63.0,728.0,410.0,64.0,5.0
5099,63.0,729.0,325.0,63.0,4.0
5100,62.0,727.0,333.0,63.0,2.0
5101,62.0,732.0,242.0,63.0,1.0
5102,62.0,711.0,257.0,63.0,1.0
5103,63.0,726.0,123.0,63.0,1.0
5104,63.0,727.0,54.0,63.0,1.0
5105,61.0,747.0,27.0,64.0,1.0
5106,62.0,748.0,18.0,64.0,2.0
5107,63.0,750.0,61.0,66.0,3.0
5108,62.0,724.0,103.0,66.0,4.0
5109,59.0,585.0,18.0,66.0,5.0
5110,58.0,370.0,18.0,65.0,9.0
5111,58.0,366.0,18.0,65.0,10.0
5112,57.0,346.0,3.0,64.0,12.0
5113,57.0,344.0,0.0,63.0,14.0
5114,57.0,345.0,0.0,63.0,9.0
5115,57.0,345.0,0.0,63.0,6.0
5116,58.0,348.0,0.0,64.0,5.0
5117,62.0,350.0,0.0,64.0,5.0
5118,64.0,543.0,58.0,64.0,1.0
5119,63.0,722.0,269.0,64.0,0.0
5120,63.0,739.0,274.0,64.0,0.0
5121,63.0,755.0,394.0,64.0,0.0
5122,63.0,739.0,369.0,64.0,0.0
5123,63.0,738.0,394.0,63.0,0.0
5124,62.0,736.0,452.0,63.0,2.0
5125,62.0,606.0,450.0,63.0,4.0
5126,62.0,602.0,449.0,63.0,5.0
5127,63.0,654.0,379.0,63.0,2.0
5128,63.0,688.0,344.0,64.0,0.0
5129,62.0,689.0,272.0,64.0,0.0
5130,63.0,710.0,256.0,65.0,0.0
5131,63.0,747.0,205.0,66.0,0.0
5132,62.0,748.0,228.0,66.0,1.0
5133,59.0,666.0,71.0,66.0,5.0
5134,58.0,378.0,5.0,65.0,6.0
5135,58.0,344.0,0.0,65.0,3.0
5136,57.0,345.0,0.0,64.0,3.0
5137,57.0,344.0,0.0,63.0,4.0
5138,57.0,343.0,0.0,63.0,2.0
5139,57.0,345.0,0.0,64.0,1.0
5140,58.0,348.0,0.0,64.0,1.0
5141,61.0,360.0,6.0,64.0,0.0
5142,63.0,548.0,232.0,64.0,1.0
5143,64.0,686.0,249.0,65.0,1.0
5144,64.0,667.0,257.0,64.0,3.0
5145,63.0,688.0,235.0,64.0,5.0
5146,63.0,673.0,166.0,64.0,6.0
5147,63.0,645.0,219.0,63.0,9.0
5148,62.0,618.0,218.0,63.0,8.0
5149,61.0,694.0,169.0,61.0,12.0
5150,61.0,708.0,175.0,61.0,11.0
5151,62.0,695.0,159.0,62.0,9.0
5152,62.0,661.0,158.0,63.0,9.0
5153,62.0,678.0,158.0,64.0,5.0
5154,63.0,681.0,174.0,65.0,1.0
5155,64.0,738.0,305.0,66.0,1.0
5156,62.0,731.0,263.0,66.0,2.0
5157,60.0,699.0,125.0,67.0,4.0
5158,59.0,381.0,1.0,66.0,4.0
5159,58.0,286.0,0.0,65.0,2.0
5160,58.0,240.0,0.0,64.0,2.0
5161,58.0,192.0,0.0,65.0,5.0
5162,58.0,188.0,0.0,65.0,3.0
5163,59.0,187.0,0.0,66.0,2.0
5164,60.0,188.0,0.0,66.0,4.0
5165,63.0,188.0,0.0,67.0,3.0
5166,65.0,188.0,0.0,66.0,2.0
5167,65.0,245.0,0.0,66.0,4.0
5168,64.0,350.0,94.0,65.0,7.0
5169,63.0,351.0,149.0,63.0,8.0
5170,62.0,352.0,175.0,63.0,12.0
5171,61.0,350.0,91.0,62.0,18.0
5172,61.0,245.0,90.0,61.0,17.0
5173,61.0,191.0,105.0,61.0,16.0
5174,61.0,3.0,75.0,61.0,18.0
5175,62.0,3.0,78.0,62.0,25.0
5176,62.0,3.0,89.0,63.0,27.0
5177,62.0,3.0,89.0,64.0,19.0
5178,62.0,3.0,89.0,65.0,10.0
5179,63.0,3.0,89.0,66.0,8.0
5180,62.0,3.0,89.0,66.0,9.0
5181,59.0,3.0,45.0,66.0,5.0
5182,58.0,3.0,0.0,66.0,2.0
5183,58.0,3.0,0.0,65.0,4.0
5184,58.0,3.0,0.0,65.0,5.0
5185,58.0,3.0,0.0,66.0,1.0
5186,59.0,3.0,0.0,66.0,0.0
5187,59.0,3.0,0.0,67.0,1.0
5188,60.0,3.0,0.0,67.0,4.0
5189,60.0,3.0,0.0,68.0,2.0
5190,60.0,3.0,0.0,67.0,1.0
5191,59.0,3.0,0.0,67.0,3.0
5192,59.0,3.0,0.0,66.0,4.0
5193,58.0,3.0,0.0,65.0,5.0
5194,57.0,3.0,0.0,64.0,8.0
5195,56.0,3.0,0.0,63.0,6.0
5196,56.0,3.0,0.0,62.0,13.0
5197,56.0,3.0,0.0,63.0,15.0
5198,56.0,3.0,0.0,63.0,14.0
5199,60.0,3.0,0.0,63.0,15.0
5200,64.0,3.0,0.0,65.0,13.0
5201,63.0,3.0,0.0,66.0,18.0
5202,64.0,3.0,0.0,67.0,11.0
5203,65.0,3.0,0.0,68.0,5.0
5204,64.0,3.0,0.0,69.0,5.0
5205,61.0,3.0,0.0,69.0,5.0
5206,61.0,3.0,0.0,68.0,2.0
5207,60.0,3.0,0.0,67.0,4.0
5208,59.0,3.0,0.0,67.0,4.0
5209,60.0,3.0,0.0,67.0,2.0
5210,60.0,3.0,0.0,68.0,0.0
5211,60.0,3.0,0.0,68.0,0.0
5212,62.0,3.0,0.0,69.0,1.0
5213,66.0,58.0,0.0,69.0,0.0
5214,67.0,123.0,127.0,69.0,3.0
5215,66.0,282.0,170.0,68.0,11.0
5216,66.0,389.0,330.0,67.0,16.0
5217,65.0,384.0,364.0,66.0,25.0
5218,64.0,380.0,365.0,66.0,25.0
5219,66.0,374.0,365.0,67.0,26.0
5220,67.0,374.0,363.0,69.0,24.0
5221,66.0,374.0,281.0,67.0,24.0
5222,65.0,374.0,275.0,66.0,20.0
5223,65.0,384.0,264.0,66.0,21.0
5224,66.0,384.0,392.0,67.0,23.0
5225,65.0,384.0,422.0,67.0,14.0
5226,65.0,384.0,743.0,68.0,6.0
5227,65.0,384.0,619.0,68.0,4.0
5228,64.0,382.0,426.0,69.0,3.0
5229,61.0,378.0,374.0,69.0,1.0
5230,60.0,278.0,284.0,68.0,1.0
5231,60.0,187.0,8.0,67.0,0.0
5232,59.0,187.0,0.0,67.0,0.0
5233,59.0,187.0,0.0,66.0,0.0
5234,59.0,187.0,0.0,67.0,1.0
5235,60.0,206.0,0.0,68.0,0.0
5236,61.0,187.0,0.0,68.0,0.0
5237,66.0,198.0,1.0,69.0,0.0
5238,67.0,308.0,72.0,69.0,0.0
5239,67.0,383.0,0.0,69.0,1.0
5240,66.0,352.0,60.0,68.0,4.0
5241,66.0,352.0,110.0,66.0,4.0
5242,65.0,384.0,150.0,66.0,7.0
5243,64.0,354.0,210.0,65.0,7.0
5244,66.0,383.0,394.0,67.0,6.0
5245,66.0,384.0,156.0,67.0,4.0
5246,67.0,366.0,125.0,68.0,4.0
5247,68.0,383.0,64.0,70.0,4.0
5248,70.0,384.0,69.0,72.0,3.0
5249,67.0,384.0,118.0,70.0,2.0
5250,67.0,384.0,175.0,71.0,1.0
5251,67.0,379.0,93.0,70.0,1.0
5252,66.0,285.0,208.0,71.0,0.0
5253,62.0,238.0,4.0,70.0,1.0
5254,60.0,205.0,0.0,68.0,1.0
5255,59.0,187.0,0.0,67.0,1.0
5256,59.0,187.0,0.0,67.0,1.0
5257,59.0,187.0,0.0,67.0,3.0
5258,60.0,187.0,0.0,67.0,4.0
5259,61.0,187.0,0.0,68.0,6.0
5260,61.0,187.0,0.0,69.0,6.0
5261,65.0,187.0,0.0,69.0,7.0
5262,68.0,255.0,0.0,70.0,2.0
5263,68.0,381.0,102.0,69.0,1.0
5264,67.0,384.0,108.0,68.0,2.0
5265,66.0,392.0,108.0,68.0,4.0
5266,66.0,394.0,108.0,67.0,4.0
5267,65.0,394.0,80.0,67.0,7.0
5268,65.0,385.0,253.0,66.0,9.0
5269,66.0,384.0,201.0,67.0,5.0
5270,66.0,384.0,17.0,68.0,3.0
5271,67.0,340.0,0.0,68.0,2.0
5272,67.0,384.0,17.0,68.0,2.0
5273,66.0,384.0,35.0,69.0,1.0
5274,66.0,384.0,20.0,69.0,1.0
5275,66.0,384.0,18.0,69.0,1.0
5276,65.0,315.0,52.0,69.0,4.0
5277,62.0,302.0,11.0,69.0,9.0
5278,60.0,198.0,0.0,68.0,16.0
5279,60.0,187.0,0.0,67.0,22.0
5280,59.0,187.0,0.0,66.0,26.0
5281,59.0,187.0,0.0,66.0,23.0
5282,59.0,187.0,0.0,66.0,24.0
5283,60.0,187.0,0.0,67.0,23.0
5284,61.0,187.0,0.0,68.0,18.0
5285,65.0,202.0,46.0,70.0,18.0
5286,67.0,292.0,91.0,69.0,12.0
5287,67.0,394.0,7.0,69.0,9.0
5288,67.0,394.0,51.0,68.0,10.0
5289,67.0,391.0,108.0,68.0,18.0
5290,66.0,389.0,28.0,68.0,27.0
5291,66.0,385.0,196.0,68.0,31.0
5292,66.0,383.0,79.0,68.0,34.0
5293,68.0,382.0,146.0,70.0,26.0
5294,67.0,382.0,73.0,68.0,14.0
5295,68.0,382.0,18.0,70.0,6.0
5296,69.0,356.0,0.0,71.0,4.0
