,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
187,76.0,143.0,1164.0,89.0,24.0
188,77.0,142.0,1165.0,89.0,20.0
189,77.0,143.0,1076.0,89.0,18.0
190,77.0,143.0,999.0,89.0,16.0
191,77.0,142.0,988.0,89.0,16.0
192,77.0,141.0,990.0,89.0,11.0
193,77.0,141.0,987.0,89.0,11.0
194,77.0,141.0,986.0,89.0,10.0
195,77.0,141.0,985.0,89.0,9.0
196,77.0,141.0,983.0,89.0,7.0
197,76.0,141.0,1072.0,89.0,8.0
198,76.0,141.0,1148.0,88.0,8.0
199,76.0,142.0,1152.0,88.0,9.0
200,75.0,142.0,1150.0,87.0,10.0
201,75.0,142.0,1151.0,86.0,10.0
202,75.0,142.0,1150.0,86.0,9.0
203,75.0,142.0,1150.0,86.0,10.0
204,74.0,143.0,1151.0,86.0,11.0
205,74.0,147.0,1151.0,86.0,12.0
206,75.0,148.0,1151.0,86.0,9.0
207,75.0,148.0,1152.0,87.0,8.0
208,75.0,148.0,1153.0,87.0,7.0
209,75.0,148.0,1154.0,87.0,3.0
210,75.0,148.0,1151.0,87.0,3.0
211,76.0,142.0,1150.0,87.0,2.0
212,76.0,142.0,1150.0,88.0,1.0
213,76.0,167.0,1059.0,88.0,1.0
214,76.0,167.0,978.0,88.0,1.0
215,76.0,167.0,970.0,88.0,1.0
216,76.0,168.0,631.0,88.0,2.0
217,76.0,221.0,603.0,88.0,1.0
218,76.0,311.0,484.0,88.0,0.0
219,76.0,320.0,478.0,88.0,1.0
220,76.0,324.0,540.0,88.0,2.0
221,76.0,324.0,559.0,88.0,3.0
222,76.0,324.0,730.0,88.0,1.0
223,79.0,330.0,1074.0,88.0,2.0
224,81.0,331.0,1099.0,87.0,1.0
225,81.0,354.0,1130.0,87.0,2.0
226,81.0,381.0,1188.0,87.0,3.0
227,81.0,426.0,1149.0,87.0,3.0
228,81.0,428.0,1137.0,87.0,4.0
229,81.0,396.0,1138.0,87.0,4.0
230,81.0,396.0,1140.0,87.0,3.0
231,82.0,396.0,1142.0,88.0,4.0
232,82.0,429.0,1143.0,88.0,4.0
233,83.0,398.0,1144.0,89.0,2.0
234,84.0,385.0,1145.0,89.0,3.0
235,80.0,392.0,1067.0,89.0,2.0
236,77.0,381.0,1061.0,89.0,5.0
237,77.0,369.0,973.0,90.0,3.0
238,78.0,379.0,798.0,90.0,3.0
239,78.0,475.0,797.0,90.0,4.0
240,78.0,537.0,882.0,90.0,4.0
241,78.0,537.0,881.0,90.0,3.0
242,77.0,538.0,879.0,90.0,2.0
243,78.0,537.0,877.0,90.0,2.0
244,77.0,537.0,954.0,90.0,2.0
245,77.0,537.0,1045.0,90.0,3.0
246,77.0,538.0,1132.0,89.0,2.0
247,77.0,546.0,1137.0,89.0,2.0
248,77.0,545.0,1136.0,89.0,3.0
249,77.0,546.0,1138.0,89.0,2.0
250,76.0,546.0,1139.0,88.0,3.0
251,76.0,546.0,1139.0,88.0,3.0
252,76.0,546.0,1140.0,88.0,2.0
253,76.0,546.0,1141.0,88.0,2.0
254,76.0,547.0,1141.0,88.0,3.0
255,76.0,547.0,1141.0,88.0,4.0
256,76.0,547.0,1141.0,88.0,4.0
257,77.0,547.0,1142.0,88.0,4.0
258,77.0,546.0,1144.0,88.0,5.0
259,77.0,538.0,1144.0,89.0,6.0
260,77.0,539.0,1135.0,89.0,6.0
261,77.0,540.0,1049.0,89.0,7.0
262,77.0,540.0,970.0,89.0,8.0
263,77.0,541.0,971.0,89.0,6.0
264,77.0,538.0,881.0,89.0,7.0
265,77.0,538.0,876.0,89.0,7.0
266,77.0,538.0,875.0,90.0,7.0
267,77.0,538.0,873.0,90.0,7.0
268,77.0,539.0,873.0,90.0,6.0
269,77.0,538.0,962.0,90.0,6.0
270,77.0,538.0,1051.0,90.0,6.0
271,77.0,545.0,1050.0,89.0,8.0
272,77.0,545.0,1132.0,89.0,7.0
273,77.0,545.0,1137.0,89.0,6.0
274,76.0,545.0,1135.0,88.0,6.0
275,76.0,545.0,1134.0,88.0,8.0
276,76.0,545.0,1135.0,88.0,7.0
277,76.0,545.0,1152.0,89.0,6.0
278,78.0,546.0,1154.0,90.0,6.0
279,79.0,546.0,1154.0,91.0,5.0
280,79.0,546.0,1140.0,92.0,4.0
281,79.0,546.0,1153.0,92.0,4.0
282,80.0,536.0,1162.0,92.0,4.0
283,80.0,392.0,1152.0,93.0,3.0
284,80.0,388.0,1148.0,93.0,2.0
285,80.0,330.0,1148.0,93.0,3.0
286,80.0,212.0,1164.0,93.0,4.0
287,80.0,201.0,1167.0,93.0,5.0
288,80.0,74.0,768.0,93.0,6.0
289,81.0,1.0,840.0,93.0,6.0
290,82.0,1.0,837.0,95.0,6.0
291,81.0,1.0,835.0,95.0,3.0
292,81.0,1.0,833.0,94.0,3.0
293,81.0,1.0,831.0,94.0,2.0
294,81.0,1.0,833.0,94.0,4.0
295,80.0,1.0,918.0,93.0,3.0
296,82.0,1.0,1019.0,95.0,3.0
297,82.0,1.0,1060.0,95.0,1.0
298,81.0,1.0,1076.0,94.0,1.0
299,80.0,1.0,1003.0,93.0,2.0
300,80.0,1.0,1040.0,93.0,0.0
301,80.0,1.0,1014.0,93.0,0.0
302,81.0,1.0,1063.0,94.0,0.0
303,81.0,3.0,1144.0,95.0,1.0
