,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Oil shale,Fossil Peat,Hydro Run-of-river and poundage,Other renewable,Solar,Waste,Wind Onshore
189,74.0,33.0,1.0,1404.0,5.0,3.0,6.0,1.0,17.0,88.0
190,74.0,34.0,1.0,1378.0,5.0,3.0,6.0,1.0,17.0,83.0
191,73.0,34.0,1.0,1237.0,5.0,3.0,6.0,1.0,16.0,78.0
192,72.0,36.0,1.0,1040.0,5.0,3.0,6.0,1.0,16.0,88.0
193,72.0,38.0,1.0,929.0,5.0,3.0,6.0,1.0,16.0,79.0
194,72.0,37.0,1.0,990.0,5.0,3.0,6.0,1.0,16.0,65.0
195,69.0,36.0,1.0,1026.0,4.0,3.0,6.0,1.0,16.0,79.0
196,70.0,35.0,1.0,1037.0,4.0,3.0,6.0,1.0,16.0,80.0
197,69.0,36.0,1.0,1280.0,4.0,3.0,6.0,1.0,16.0,90.0
198,69.0,36.0,1.0,1422.0,4.0,3.0,6.0,1.0,16.0,81.0
199,69.0,37.0,2.0,1430.0,4.0,3.0,6.0,1.0,14.0,74.0
200,68.0,37.0,2.0,1435.0,4.0,3.0,6.0,1.0,13.0,76.0
201,69.0,38.0,3.0,1435.0,4.0,3.0,6.0,1.0,13.0,79.0
202,70.0,38.0,3.0,1435.0,4.0,3.0,6.0,1.0,13.0,101.0
203,68.0,38.0,3.0,1396.0,4.0,3.0,6.0,1.0,12.0,114.0
204,68.0,36.0,3.0,1423.0,4.0,3.0,6.0,1.0,11.0,98.0
205,68.0,36.0,3.0,1435.0,4.0,3.0,6.0,1.0,10.0,99.0
206,68.0,37.0,3.0,1413.0,4.0,3.0,6.0,1.0,10.0,98.0
207,68.0,34.0,3.0,1422.0,4.0,3.0,6.0,1.0,10.0,96.0
208,68.0,34.0,3.0,1423.0,4.0,3.0,6.0,1.0,4.0,79.0
209,70.0,35.0,3.0,1437.0,4.0,3.0,6.0,1.0,2.0,50.0
210,71.0,35.0,1.0,1438.0,4.0,3.0,6.0,1.0,2.0,39.0
211,73.0,35.0,1.0,1428.0,5.0,3.0,6.0,1.0,2.0,35.0
212,72.0,35.0,1.0,1431.0,5.0,3.0,6.0,1.0,2.0,30.0
213,72.0,37.0,1.0,1429.0,5.0,3.0,6.0,1.0,2.0,25.0
214,72.0,38.0,1.0,1433.0,5.0,3.0,6.0,1.0,2.0,25.0
215,72.0,37.0,1.0,1433.0,5.0,3.0,6.0,1.0,2.0,26.0
216,71.0,38.0,1.0,1428.0,4.0,3.0,5.0,1.0,2.0,23.0
217,72.0,38.0,1.0,1434.0,4.0,3.0,5.0,1.0,2.0,20.0
218,73.0,37.0,1.0,1451.0,4.0,3.0,5.0,1.0,2.0,16.0
219,71.0,38.0,1.0,1472.0,4.0,3.0,5.0,1.0,2.0,15.0
220,72.0,39.0,1.0,1483.0,4.0,3.0,5.0,1.0,2.0,15.0
221,68.0,40.0,1.0,1434.0,4.0,3.0,5.0,1.0,2.0,15.0
222,66.0,41.0,1.0,1432.0,4.0,3.0,5.0,1.0,1.0,14.0
223,66.0,41.0,3.0,1432.0,4.0,3.0,6.0,1.0,1.0,12.0
224,67.0,40.0,3.0,1434.0,4.0,3.0,6.0,1.0,1.0,12.0
225,68.0,39.0,3.0,1444.0,4.0,3.0,6.0,1.0,1.0,14.0
226,68.0,36.0,3.0,1455.0,4.0,3.0,6.0,1.0,1.0,10.0
227,68.0,35.0,3.0,1471.0,4.0,3.0,6.0,1.0,1.0,10.0
228,70.0,37.0,3.0,1464.0,4.0,3.0,6.0,1.0,1.0,10.0
229,69.0,38.0,3.0,1469.0,4.0,3.0,6.0,1.0,1.0,10.0
230,69.0,37.0,3.0,1488.0,4.0,3.0,6.0,1.0,1.0,10.0
231,69.0,36.0,3.0,1486.0,4.0,3.0,6.0,1.0,1.0,9.0
232,70.0,38.0,3.0,1485.0,4.0,3.0,6.0,1.0,1.0,10.0
233,71.0,37.0,3.0,1482.0,5.0,3.0,6.0,1.0,1.0,11.0
234,72.0,37.0,1.0,1474.0,5.0,3.0,6.0,1.0,1.0,14.0
235,74.0,36.0,1.0,1484.0,5.0,3.0,6.0,1.0,1.0,13.0
236,74.0,35.0,1.0,1490.0,5.0,3.0,6.0,1.0,1.0,13.0
237,74.0,37.0,1.0,1495.0,5.0,3.0,5.0,1.0,0.0,10.0
238,74.0,37.0,1.0,1500.0,5.0,3.0,5.0,1.0,0.0,12.0
239,74.0,35.0,1.0,1546.0,5.0,3.0,5.0,1.0,0.0,14.0
240,73.0,36.0,1.0,1574.0,5.0,3.0,5.0,1.0,0.0,13.0
241,73.0,36.0,1.0,1571.0,5.0,3.0,5.0,1.0,0.0,14.0
242,72.0,37.0,1.0,1572.0,5.0,3.0,5.0,1.0,0.0,15.0
243,69.0,37.0,1.0,1569.0,4.0,3.0,5.0,1.0,0.0,13.0
244,70.0,38.0,1.0,1570.0,4.0,3.0,5.0,1.0,0.0,13.0
245,69.0,36.0,1.0,1571.0,4.0,3.0,5.0,1.0,1.0,13.0
246,68.0,36.0,1.0,1569.0,4.0,3.0,5.0,1.0,1.0,13.0
247,67.0,35.0,1.0,1571.0,4.0,3.0,6.0,1.0,1.0,13.0
248,67.0,37.0,3.0,1563.0,4.0,3.0,6.0,1.0,1.0,16.0
249,68.0,38.0,3.0,1560.0,4.0,3.0,6.0,1.0,1.0,17.0
250,69.0,38.0,3.0,1471.0,4.0,3.0,6.0,1.0,1.0,18.0
251,69.0,35.0,3.0,1472.0,4.0,3.0,6.0,1.0,1.0,20.0
252,69.0,32.0,3.0,1470.0,4.0,3.0,6.0,1.0,1.0,19.0
253,69.0,34.0,3.0,1471.0,4.0,3.0,6.0,1.0,1.0,16.0
254,69.0,35.0,3.0,1472.0,4.0,3.0,6.0,1.0,0.0,27.0
255,69.0,37.0,1.0,1468.0,4.0,3.0,6.0,1.0,3.0,36.0
