,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
79,119.0,265.0,657.0,0.0,5.0,0.0,1935.0,94.0,13.0,15.0,15.0
80,118.0,271.0,716.0,0.0,5.0,0.0,1936.0,94.0,13.0,15.0,13.0
81,118.0,273.0,703.0,0.0,5.0,0.0,1935.0,94.0,13.0,15.0,12.0
82,117.0,272.0,685.0,0.0,5.0,0.0,1934.0,94.0,12.0,16.0,17.0
83,117.0,266.0,658.0,0.0,5.0,0.0,1935.0,94.0,12.0,17.0,16.0
84,117.0,267.0,766.0,0.0,5.0,0.0,1935.0,94.0,12.0,16.0,11.0
85,117.0,296.0,732.0,0.0,5.0,0.0,1933.0,94.0,11.0,16.0,13.0
86,117.0,314.0,670.0,0.0,5.0,0.0,1932.0,94.0,12.0,16.0,17.0
87,117.0,327.0,591.0,0.0,5.0,0.0,1932.0,94.0,12.0,14.0,21.0
88,117.0,310.0,695.0,0.0,5.0,0.0,1935.0,93.0,12.0,16.0,23.0
89,116.0,289.0,696.0,0.0,5.0,0.0,1934.0,93.0,12.0,16.0,18.0
90,115.0,273.0,659.0,0.0,5.0,0.0,1935.0,93.0,12.0,16.0,17.0
91,115.0,264.0,626.0,0.0,5.0,0.0,1936.0,93.0,12.0,17.0,15.0
92,116.0,260.0,748.0,0.0,5.0,0.0,1938.0,93.0,11.0,16.0,19.0
93,116.0,260.0,692.0,0.0,5.0,0.0,1936.0,93.0,11.0,16.0,19.0
94,116.0,263.0,659.0,0.0,5.0,0.0,1937.0,93.0,11.0,16.0,15.0
95,116.0,263.0,595.0,0.0,5.0,0.0,1937.0,93.0,11.0,15.0,14.0
96,116.0,266.0,664.0,0.0,5.0,0.0,1938.0,84.0,11.0,14.0,16.0
97,116.0,268.0,636.0,0.0,5.0,0.0,1937.0,84.0,11.0,15.0,15.0
98,116.0,269.0,584.0,0.0,5.0,0.0,1938.0,84.0,10.0,14.0,15.0
99,116.0,270.0,535.0,0.0,5.0,0.0,1938.0,84.0,11.0,14.0,14.0
100,115.0,270.0,638.0,0.0,5.0,0.0,1940.0,87.0,11.0,17.0,13.0
101,115.0,270.0,638.0,0.0,5.0,0.0,1940.0,87.0,10.0,16.0,10.0
102,113.0,270.0,596.0,0.0,5.0,0.0,1941.0,87.0,7.0,15.0,5.0
103,108.0,265.0,576.0,0.0,5.0,0.0,1935.0,78.0,7.0,17.0,4.0
104,97.0,280.0,643.0,0.0,5.0,0.0,1938.0,80.0,6.0,16.0,6.0
105,86.0,272.0,663.0,0.0,5.0,0.0,1937.0,80.0,6.0,15.0,4.0
106,83.0,262.0,656.0,0.0,5.0,0.0,1935.0,80.0,6.0,15.0,1.0
107,81.0,259.0,636.0,0.0,5.0,0.0,1934.0,80.0,6.0,16.0,1.0
108,79.0,265.0,672.0,0.0,5.0,0.0,1934.0,80.0,6.0,16.0,2.0
109,79.0,269.0,663.0,0.0,5.0,0.0,1934.0,80.0,6.0,16.0,3.0
110,78.0,266.0,650.0,0.0,5.0,0.0,1935.0,80.0,6.0,16.0,1.0
111,78.0,263.0,643.0,0.0,5.0,0.0,1933.0,80.0,6.0,16.0,0.0
112,78.0,262.0,543.0,0.0,5.0,0.0,1933.0,84.0,6.0,16.0,0.0
113,78.0,265.0,558.0,0.0,5.0,0.0,1933.0,84.0,6.0,15.0,3.0
114,81.0,268.0,595.0,0.0,5.0,0.0,1935.0,84.0,6.0,16.0,6.0
115,87.0,271.0,661.0,0.0,5.0,0.0,1935.0,84.0,6.0,17.0,5.0
116,91.0,282.0,631.0,0.0,5.0,0.0,1933.0,96.0,7.0,16.0,1.0
117,97.0,306.0,655.0,0.0,5.0,0.0,1933.0,96.0,7.0,17.0,56.93975560809313
118,107.0,341.0,720.0,0.0,5.0,0.0,1932.0,96.0,8.0,16.0,64.92659046922353
119,110.0,388.0,829.0,0.0,5.0,0.0,1932.0,96.0,9.0,16.0,71.3209097399129
120,113.0,431.0,585.0,0.0,5.0,0.0,1933.0,100.0,11.0,16.0,0.0
121,114.0,471.0,648.0,0.0,5.0,0.0,1934.0,100.0,10.0,15.0,1.0
122,115.0,487.0,743.0,0.0,5.0,0.0,1935.0,100.0,11.0,16.0,0.0
123,116.0,495.0,826.0,0.0,5.0,0.0,1935.0,100.0,11.0,16.0,46.80785970179807
124,116.0,492.0,791.0,0.0,5.0,0.0,1933.0,99.0,12.0,16.0,0.0
125,116.0,503.0,818.0,0.0,5.0,0.0,1935.0,99.0,12.0,17.0,1.0
126,116.0,518.0,837.0,0.0,5.0,0.0,1935.0,99.0,12.0,16.0,1.0
127,116.0,523.0,887.0,0.0,5.0,0.0,1933.0,99.0,12.0,17.0,1.0
128,115.0,516.0,868.0,0.24459547545988847,5.0,0.0,1931.0,97.0,12.0,17.0,0.0
129,110.0,522.0,896.0,0.9560781133865732,5.0,7.742912933873093,1932.0,97.0,12.0,17.0,45.635572435610975
130,111.0,521.0,963.0,0.644566585708882,5.0,0.0,1930.0,97.0,13.0,17.0,52.26947036204399
131,113.0,524.0,1001.0,0.7896498838894487,5.0,0.0,1929.0,97.0,13.0,16.0,2.0
132,113.0,524.0,932.0,0.0,5.0,0.0,1932.0,97.0,13.0,16.0,4.0
133,114.0,528.0,931.0,1.7067493964882683,5.0,0.0,1934.0,97.0,12.0,16.0,12.0
134,114.0,518.0,980.0,2.828422303837611,5.0,0.0,1934.0,97.0,13.0,16.0,26.0
135,114.0,515.0,1032.0,3.2538118872799835,5.0,6.477738346562296,1933.0,97.0,13.0,15.0,36.0
136,115.0,511.0,992.0,3.0717832183271603,5.0,0.0,1933.0,94.0,13.0,16.0,47.0
137,116.0,512.0,985.0,1.8590758431972612,5.0,0.0,1932.0,94.0,13.0,15.0,62.0
138,116.0,528.0,982.0,1.9925318328259007,5.0,0.0,1935.0,94.0,12.0,15.0,74.0
139,115.0,541.0,993.0,0.0,5.0,0.0,1935.0,94.0,13.0,16.0,80.0
140,113.0,537.0,982.0,1.9263500984509858,5.0,7.633771231530172,1935.0,94.0,13.0,15.0,77.0
141,114.0,533.0,1019.0,1.4304768771562506,5.0,0.0,1935.0,94.0,13.0,15.0,82.0
142,114.0,529.0,1005.0,1.7028198948239905,5.0,0.0,1934.0,94.0,12.0,15.0,90.0
143,114.0,533.0,981.0,1.3857554476084633,5.0,0.0,1933.0,94.0,13.0,16.0,97.0
144,114.0,521.0,1026.0,1.1760330023285877,5.0,0.0,1933.0,98.0,13.0,15.0,102.0
145,115.0,521.0,985.0,1.5087944139986227,5.0,0.0,1932.0,98.0,12.0,15.0,109.0
146,114.0,527.0,980.0,1.5502903117354638,5.0,0.0,1933.0,98.0,12.0,17.0,116.0
147,114.0,530.0,1020.0,2.03283361714227,5.0,0.0,1934.0,98.0,12.0,16.0,119.0
148,114.0,530.0,1096.0,1.2128404100685668,5.0,0.0,1935.0,96.0,13.0,13.0,114.0
149,114.0,527.0,1065.0,1.3774806719662027,5.0,0.0,1936.0,96.0,12.0,15.0,112.0
150,114.0,529.0,981.0,0.4741819569290856,5.0,0.0,1936.0,96.0,12.0,16.0,103.0
151,114.0,524.0,964.0,0.0,5.0,0.0,1938.0,96.0,12.0,17.0,98.0
152,114.0,523.0,971.0,0.11230318678680748,5.0,0.0,1937.0,98.0,12.0,17.0,89.0
153,112.0,519.0,1015.0,0.27246747270597865,5.0,0.0,1937.0,98.0,13.0,17.0,80.0
154,113.0,522.0,1055.0,0.529207206741192,5.0,0.0,1936.0,98.0,13.0,16.0,75.0
155,112.0,529.0,1107.0,0.5460282163582745,5.0,0.0,1935.0,98.0,12.0,16.0,79.0
156,114.0,532.0,1029.0,0.0004760091284171167,5.0,0.0,1934.0,93.0,12.0,16.0,82.0
157,114.0,527.0,1003.0,0.4860027373353327,5.0,0.0,1935.0,93.0,12.0,19.0,101.0
158,115.0,530.0,1027.0,0.19727584248564392,5.0,0.0,1934.0,93.0,12.0,17.0,117.0
