,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Fossil Oil,Fossil Peat,Fossil Peat,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Other,Other,Wind Onshore,Wind Onshore
2020-01-01 14:30:00+00:00,581.0,6.0,79.0,3.0,435.0,2.0,284.0,0.0,20.0,0.0,150.0,0.0,0.0,1.0,1154.0,
2020-01-01 15:00:00+00:00,571.0,5.0,79.0,4.0,367.0,2.0,282.0,0.0,20.0,0.0,152.0,0.0,0.0,1.0,1341.0,
2020-01-01 15:30:00+00:00,582.0,5.0,78.0,4.0,375.0,2.0,285.0,0.0,20.0,0.0,159.0,0.0,0.0,1.0,1424.0,
2020-01-01 16:00:00+00:00,580.0,7.0,78.0,3.0,376.0,3.0,287.0,0.0,20.0,0.0,173.0,0.0,0.0,1.0,1589.0,
2020-01-01 16:30:00+00:00,589.0,7.0,102.0,3.0,306.0,3.0,298.0,0.0,23.0,0.0,177.0,0.0,0.0,1.0,1745.0,
2020-01-01 17:00:00+00:00,593.0,6.0,105.0,3.0,271.0,3.0,313.0,0.0,122.0,0.0,179.0,0.0,0.0,1.0,1907.0,
2020-01-01 17:30:00+00:00,591.0,6.0,101.0,3.0,260.0,3.0,318.0,0.0,168.0,0.0,177.0,0.0,0.0,1.0,2014.0,
2020-01-01 18:00:00+00:00,579.0,6.0,101.0,3.0,166.0,3.0,312.0,0.0,164.0,0.0,174.0,0.0,0.0,1.0,2190.0,
2020-01-01 18:30:00+00:00,392.0,6.0,102.0,3.0,173.0,3.0,315.0,0.0,103.0,0.0,175.0,0.0,0.0,1.0,2276.0,
2020-01-01 19:00:00+00:00,347.0,6.0,101.0,3.0,164.0,3.0,311.0,0.0,97.0,0.0,175.0,0.0,0.0,1.0,2242.0,
2020-01-01 19:30:00+00:00,348.0,6.0,99.0,3.0,164.0,3.0,311.0,0.0,57.0,0.0,174.0,0.0,0.0,1.0,2404.0,
2020-01-01 20:00:00+00:00,325.0,6.0,95.0,3.0,171.0,3.0,284.0,0.0,25.0,0.0,178.0,0.0,0.0,1.0,2408.0,
2020-01-01 20:30:00+00:00,305.0,6.0,78.0,3.0,165.0,3.0,224.0,0.0,22.0,0.0,174.0,0.0,0.0,1.0,2451.0,
2020-01-01 21:00:00+00:00,331.0,6.0,84.0,3.0,177.0,3.0,237.0,0.0,27.0,0.0,181.0,0.0,0.0,1.0,2455.0,
2020-01-01 21:30:00+00:00,339.0,6.0,88.0,3.0,183.0,3.0,239.0,0.0,32.0,0.0,161.0,0.0,0.0,1.0,2337.0,
2020-01-01 22:00:00+00:00,319.0,8.0,80.0,3.0,164.0,3.0,231.0,0.0,20.0,0.0,150.0,0.0,0.0,1.0,2280.0,
2020-01-01 22:30:00+00:00,311.0,5.0,79.0,3.0,164.0,3.0,179.0,0.0,22.0,0.0,149.0,0.0,0.0,1.0,2279.0,
2020-01-01 23:00:00+00:00,353.0,6.0,80.0,3.0,173.0,3.0,158.0,0.0,23.0,0.0,151.0,0.0,0.0,1.0,2136.0,
2020-01-01 23:30:00+00:00,373.0,6.0,80.0,3.0,169.0,3.0,158.0,0.0,25.0,0.0,145.0,0.0,0.0,1.0,2086.0,
2020-01-02 00:00:00+00:00,391.0,6.0,79.0,3.0,165.0,3.0,139.0,0.0,15.0,0.0,92.0,0.0,0.0,1.0,2001.0,
2020-01-02 00:30:00+00:00,390.0,6.0,83.0,3.0,171.0,3.0,137.0,0.0,0.0,227.0,93.0,0.0,0.0,1.0,2093.0,
2020-01-02 01:00:00+00:00,290.0,9.0,81.0,3.0,166.0,3.0,132.0,0.0,0.0,228.0,93.0,0.0,0.0,1.0,2078.0,
2020-01-02 01:30:00+00:00,294.0,8.0,82.0,3.0,172.0,3.0,131.0,0.0,0.0,226.0,94.0,0.0,0.0,1.0,1910.0,
2020-01-02 02:00:00+00:00,294.0,8.0,83.0,3.0,172.0,3.0,132.0,0.0,0.0,225.0,94.0,0.0,0.0,1.0,1851.0,
2020-01-02 02:30:00+00:00,285.0,7.0,81.0,3.0,165.0,3.0,132.0,0.0,0.0,224.0,92.0,0.0,0.0,1.0,1819.0,
2020-01-02 03:00:00+00:00,292.0,8.0,80.0,3.0,169.0,3.0,131.0,0.0,0.0,223.0,93.0,0.0,0.0,1.0,1773.0,
2020-01-02 03:30:00+00:00,296.0,7.0,83.0,3.0,173.0,3.0,132.0,0.0,0.0,221.0,94.0,0.0,0.0,1.0,1761.0,
2020-01-02 04:00:00+00:00,299.0,8.0,85.0,3.0,177.0,2.0,131.0,0.0,0.0,220.0,94.0,0.0,0.0,1.0,1766.0,
2020-01-02 04:30:00+00:00,295.0,7.0,83.0,3.0,173.0,3.0,131.0,0.0,0.0,219.0,94.0,0.0,0.0,1.0,1790.0,
2020-01-02 05:00:00+00:00,292.0,7.0,82.0,3.0,171.0,3.0,131.0,0.0,0.0,218.0,93.0,0.0,0.0,1.0,1792.0,
2020-01-02 05:30:00+00:00,303.0,7.0,87.0,3.0,179.0,3.0,131.0,0.0,0.0,217.0,95.0,0.0,0.0,1.0,1838.0,
2020-01-02 06:00:00+00:00,294.0,7.0,83.0,3.0,174.0,3.0,132.0,0.0,0.0,215.0,94.0,0.0,0.0,1.0,1975.0,
2020-01-02 06:30:00+00:00,295.0,8.0,83.0,3.0,173.0,3.0,132.0,0.0,0.0,213.0,93.0,0.0,0.0,1.0,2061.0,
2020-01-02 07:00:00+00:00,282.0,7.0,80.0,3.0,165.0,3.0,132.0,0.0,0.0,214.0,133.0,0.0,0.0,1.0,2219.0,
2020-01-02 07:30:00+00:00,314.0,7.0,81.0,3.0,169.0,3.0,180.0,0.0,0.0,213.0,133.0,0.0,0.0,1.0,2343.0,
2020-01-02 08:00:00+00:00,308.0,7.0,80.0,3.0,165.0,3.0,183.0,0.0,15.0,0.0,151.0,0.0,0.0,1.0,2328.0,
2020-01-02 08:30:00+00:00,338.0,6.0,83.0,3.0,171.0,3.0,188.0,0.0,26.0,0.0,156.0,0.0,0.0,1.0,2418.0,
2020-01-02 09:00:00+00:00,359.0,7.0,84.0,3.0,174.0,3.0,246.0,0.0,26.0,0.0,155.0,0.0,0.0,1.0,2504.0,
2020-01-02 09:30:00+00:00,361.0,7.0,83.0,3.0,175.0,3.0,291.0,0.0,27.0,0.0,173.0,0.0,0.0,1.0,2632.0,
2020-01-02 10:00:00+00:00,356.0,7.0,81.0,3.0,170.0,3.0,317.0,0.0,22.0,0.0,172.0,0.0,0.0,1.0,2718.0,
2020-01-02 10:30:00+00:00,408.0,7.0,81.0,3.0,166.0,3.0,299.0,0.0,20.0,0.0,167.0,0.0,0.0,1.0,2837.0,
2020-01-02 11:00:00+00:00,435.0,7.0,88.0,3.0,241.0,3.0,273.0,0.0,30.0,0.0,176.0,0.0,0.0,1.0,2764.0,
2020-01-02 11:30:00+00:00,421.0,7.0,80.0,3.0,330.0,3.0,267.0,0.0,21.0,0.0,171.0,0.0,0.0,1.0,2895.0,
2020-01-02 12:00:00+00:00,415.0,7.0,81.0,3.0,326.0,3.0,268.0,0.0,20.0,0.0,171.0,0.0,0.0,1.0,2961.0,
2020-01-02 12:30:00+00:00,425.0,7.0,102.0,3.0,337.0,3.0,269.0,0.0,24.0,0.0,173.0,0.0,0.0,1.0,2915.0,
2020-01-02 13:00:00+00:00,429.0,8.0,106.0,3.0,342.0,3.0,253.0,0.0,28.0,0.0,175.0,0.0,0.0,1.0,2901.0,
2020-01-02 13:30:00+00:00,423.0,8.0,101.0,3.0,373.0,3.0,249.0,0.0,22.0,0.0,157.0,0.0,0.0,1.0,2843.0,
2020-01-02 14:00:00+00:00,426.0,8.0,103.0,4.0,377.0,3.0,250.0,0.0,25.0,0.0,155.0,0.0,0.0,1.0,2768.0,
2020-01-02 14:30:00+00:00,416.0,8.0,101.0,4.0,366.0,3.0,248.0,0.0,20.0,0.0,154.0,0.0,0.0,1.0,2744.0,
2020-01-02 15:00:00+00:00,425.0,8.0,102.0,3.0,375.0,3.0,251.0,0.0,22.0,0.0,153.0,0.0,0.0,1.0,2704.0,
2020-01-02 15:30:00+00:00,314.0,9.0,107.0,3.0,424.0,3.0,272.0,0.0,29.0,0.0,162.0,0.0,0.0,1.0,2760.0,
2020-01-02 16:00:00+00:00,288.0,7.0,101.0,3.0,409.0,3.0,267.0,0.0,20.0,0.0,172.0,0.0,0.0,1.0,2707.0,
2020-01-02 16:30:00+00:00,308.0,7.0,107.0,3.0,346.0,3.0,272.0,0.0,149.0,0.0,180.0,0.0,0.0,1.0,2688.0,
2020-01-02 17:00:00+00:00,350.0,6.0,101.0,3.0,408.0,3.0,262.0,0.0,172.0,0.0,173.0,0.0,0.0,1.0,2721.0,
2020-01-02 17:30:00+00:00,298.0,6.0,102.0,3.0,406.0,3.0,270.0,0.0,195.0,0.0,186.0,0.0,0.0,1.0,2587.0,
2020-01-02 18:00:00+00:00,285.0,6.0,101.0,3.0,389.0,3.0,262.0,0.0,189.0,0.0,186.0,0.0,0.0,1.0,2576.0,
2020-01-02 18:30:00+00:00,285.0,7.0,101.0,3.0,239.0,2.0,261.0,0.0,143.0,0.0,193.0,0.0,0.0,1.0,2371.0,
2020-01-02 19:00:00+00:00,302.0,7.0,108.0,3.0,213.0,2.0,270.0,0.0,158.0,0.0,197.0,0.0,0.0,1.0,2048.0,
2020-01-02 19:30:00+00:00,285.0,7.0,102.0,3.0,392.0,2.0,288.0,0.0,136.0,0.0,180.0,0.0,0.0,1.0,1905.0,
2020-01-02 20:00:00+00:00,305.0,7.0,107.0,3.0,448.0,2.0,266.0,0.0,30.0,0.0,183.0,0.0,0.0,1.0,1851.0,
2020-01-02 20:30:00+00:00,279.0,7.0,101.0,3.0,375.0,2.0,286.0,0.0,27.0,0.0,173.0,0.0,0.0,1.0,1890.0,
2020-01-02 21:00:00+00:00,295.0,7.0,101.0,3.0,200.0,2.0,271.0,0.0,61.0,0.0,181.0,0.0,0.0,1.0,2029.0,
2020-01-02 21:30:00+00:00,284.0,7.0,101.0,3.0,213.0,2.0,259.0,0.0,20.0,0.0,163.0,0.0,0.0,1.0,2135.0,
2020-01-02 22:00:00+00:00,277.0,7.0,91.0,3.0,201.0,3.0,219.0,0.0,33.0,0.0,174.0,0.0,0.0,1.0,2114.0,
2020-01-02 22:30:00+00:00,268.0,7.0,78.0,3.0,184.0,3.0,244.0,0.0,24.0,0.0,148.0,0.0,0.0,1.0,2273.0,
2020-01-02 23:00:00+00:00,248.0,6.0,78.0,3.0,202.0,3.0,205.0,0.0,23.0,0.0,136.0,0.0,0.0,1.0,2306.0,
2020-01-02 23:30:00+00:00,275.0,7.0,89.0,3.0,222.0,3.0,210.0,0.0,24.0,0.0,140.0,0.0,0.0,1.0,2314.0,
2020-01-03 00:00:00+00:00,332.0,7.0,78.0,3.0,307.0,3.0,223.0,0.0,0.0,77.0,131.0,0.0,0.0,1.0,2205.0,
2020-01-03 00:30:00+00:00,283.0,8.0,78.0,3.0,315.0,3.0,224.0,0.0,0.0,227.0,132.0,0.0,0.0,1.0,2142.0,
2020-01-03 01:00:00+00:00,300.0,7.0,86.0,3.0,325.0,3.0,226.0,0.0,0.0,300.0,134.0,0.0,0.0,1.0,2066.0,
2020-01-03 01:30:00+00:00,274.0,7.0,78.0,3.0,241.0,3.0,218.0,0.0,0.0,301.0,128.0,0.0,0.0,1.0,2167.0,
2020-01-03 02:00:00+00:00,287.0,8.0,80.0,3.0,171.0,3.0,176.0,0.0,0.0,297.0,132.0,0.0,0.0,1.0,1989.0,
2020-01-03 02:30:00+00:00,293.0,8.0,80.0,3.0,190.0,3.0,144.0,0.0,0.0,294.0,132.0,0.0,0.0,1.0,2051.0,
2020-01-03 03:00:00+00:00,292.0,8.0,84.0,3.0,192.0,3.0,135.0,0.0,0.0,292.0,132.0,0.0,0.0,1.0,1863.0,
2020-01-03 03:30:00+00:00,468.0,8.0,79.0,3.0,190.0,3.0,133.0,0.0,0.0,291.0,133.0,0.0,0.0,1.0,1491.0,
2020-01-03 04:00:00+00:00,488.0,7.0,86.0,3.0,199.0,3.0,179.0,0.0,0.0,288.0,133.0,0.0,0.0,1.0,1371.0,
2020-01-03 04:30:00+00:00,491.0,8.0,83.0,3.0,252.0,3.0,176.0,0.0,0.0,286.0,132.0,0.0,0.0,1.0,1438.0,
2020-01-03 05:00:00+00:00,363.0,9.0,78.0,3.0,238.0,3.0,218.0,0.0,0.0,286.0,131.0,0.0,0.0,1.0,1501.0,
2020-01-03 05:30:00+00:00,280.0,12.0,78.0,3.0,165.0,2.0,263.0,0.0,0.0,216.0,127.0,0.0,0.0,1.0,1574.0,
2020-01-03 06:00:00+00:00,334.0,5.0,78.0,3.0,230.0,2.0,264.0,0.0,0.0,141.0,129.0,0.0,0.0,1.0,1430.0,
2020-01-03 06:30:00+00:00,352.0,5.0,79.0,3.0,243.0,2.0,270.0,0.0,4.0,0.0,132.0,0.0,0.0,1.0,1314.0,
2020-01-03 07:00:00+00:00,535.0,5.0,103.0,3.0,233.0,2.0,267.0,0.0,16.0,0.0,130.0,0.0,0.0,1.0,1257.0,
2020-01-03 07:30:00+00:00,572.0,5.0,137.0,3.0,187.0,2.0,266.0,0.0,16.0,0.0,133.0,0.0,0.0,1.0,1267.0,
2020-01-03 08:00:00+00:00,739.0,5.0,103.0,3.0,195.0,2.0,269.0,0.0,18.0,0.0,135.0,0.0,0.0,1.0,1228.0,
2020-01-03 08:30:00+00:00,887.0,5.0,86.0,3.0,204.0,2.0,272.0,0.0,22.0,0.0,154.0,0.0,0.0,1.0,1092.0,
2020-01-03 09:00:00+00:00,990.0,5.0,81.0,3.0,201.0,2.0,272.0,0.0,13.0,0.0,153.0,0.0,0.0,1.0,969.0,
2020-01-03 09:30:00+00:00,960.0,5.0,56.0,3.0,346.0,2.0,267.0,0.0,10.0,0.0,151.0,0.0,0.0,1.0,1004.0,
2020-01-03 10:00:00+00:00,988.0,5.0,0.0,17.0,403.0,3.0,270.0,0.0,59.0,0.0,171.0,0.0,0.0,1.0,953.0,
2020-01-03 10:30:00+00:00,999.0,5.0,0.0,17.0,370.0,2.0,271.0,0.0,67.0,0.0,173.0,0.0,0.0,1.0,932.0,
2020-01-03 11:00:00+00:00,1022.0,6.0,0.0,17.0,454.0,2.0,272.0,0.0,14.0,0.0,174.0,0.0,0.0,1.0,794.0,
2020-01-03 11:30:00+00:00,984.0,6.0,0.0,17.0,442.0,2.0,288.0,0.0,10.0,0.0,170.0,0.0,0.0,1.0,796.0,
2020-01-03 12:00:00+00:00,961.0,5.0,0.0,17.0,430.0,2.0,283.0,0.0,10.0,0.0,168.0,0.0,0.0,1.0,814.0,
2020-01-03 12:30:00+00:00,967.0,5.0,0.0,16.0,431.0,2.0,275.0,0.0,10.0,0.0,169.0,0.0,0.0,1.0,855.0,
2020-01-03 13:00:00+00:00,944.0,6.0,0.0,14.0,422.0,2.0,271.0,0.0,10.0,0.0,163.0,0.0,0.0,1.0,1003.0,
2020-01-03 13:30:00+00:00,968.0,6.0,0.0,14.0,399.0,2.0,275.0,0.0,10.0,0.0,153.0,0.0,0.0,1.0,1039.0,
2020-01-03 14:00:00+00:00,974.0,5.0,0.0,14.0,345.0,2.0,275.0,0.0,10.0,0.0,158.0,0.0,0.0,1.0,1111.0,
2020-01-03 14:30:00+00:00,954.0,5.0,0.0,14.0,348.0,2.0,272.0,0.0,10.0,0.0,161.0,0.0,0.0,1.0,1194.0,
2020-01-03 15:00:00+00:00,996.0,5.0,0.0,14.0,343.0,3.0,281.0,0.0,13.0,0.0,166.0,0.0,0.0,1.0,1117.0,
2020-01-03 15:30:00+00:00,1031.0,5.0,0.0,7.0,427.0,3.0,279.0,0.0,14.0,0.0,169.0,0.0,0.0,1.0,1117.0,
2020-01-03 16:00:00+00:00,1026.0,5.0,0.0,7.0,440.0,3.0,277.0,0.0,15.0,0.0,159.0,0.0,0.0,1.0,1055.0,
2020-01-03 16:30:00+00:00,1042.0,5.0,0.0,6.0,451.0,3.0,280.0,0.0,63.0,0.0,161.0,0.0,0.0,1.0,1166.0,
2020-01-03 17:00:00+00:00,1034.0,5.0,0.0,6.0,442.0,3.0,291.0,0.0,157.0,0.0,162.0,0.0,0.0,1.0,1140.0,
2020-01-03 17:30:00+00:00,1016.0,6.0,0.0,6.0,412.0,2.0,297.0,0.0,151.0,0.0,174.0,0.0,0.0,1.0,1121.0,
2020-01-03 18:00:00+00:00,1021.0,5.0,0.0,6.0,417.0,2.0,298.0,0.0,152.0,0.0,179.0,0.0,0.0,1.0,1118.0,
2020-01-03 18:30:00+00:00,1006.0,5.0,0.0,6.0,428.0,2.0,295.0,0.0,123.0,0.0,177.0,0.0,0.0,1.0,1170.0,
2020-01-03 19:00:00+00:00,984.0,6.0,0.0,6.0,427.0,2.0,279.0,0.0,89.0,0.0,181.0,0.0,0.0,1.0,1236.0,
2020-01-03 19:30:00+00:00,999.0,6.0,0.0,6.0,422.0,2.0,270.0,0.0,57.0,0.0,176.0,0.0,0.0,1.0,1219.0,
2020-01-03 20:00:00+00:00,1038.0,5.0,0.0,6.0,440.0,2.0,278.0,0.0,20.0,0.0,179.0,0.0,0.0,1.0,1217.0,
2020-01-03 20:30:00+00:00,997.0,5.0,0.0,6.0,428.0,2.0,273.0,0.0,20.0,0.0,176.0,0.0,0.0,1.0,1275.0,
2020-01-03 21:00:00+00:00,772.0,5.0,0.0,6.0,425.0,2.0,271.0,0.0,20.0,0.0,175.0,0.0,0.0,1.0,1229.0,
2020-01-03 21:30:00+00:00,521.0,8.0,0.0,5.0,363.0,2.0,272.0,0.0,20.0,0.0,178.0,0.0,0.0,1.0,1353.0,
2020-01-03 22:00:00+00:00,542.0,7.0,0.0,5.0,269.0,2.0,280.0,0.0,23.0,0.0,172.0,0.0,0.0,1.0,1388.0,
2020-01-03 22:30:00+00:00,530.0,6.0,0.0,5.0,260.0,2.0,277.0,0.0,60.0,0.0,138.0,0.0,0.0,1.0,1443.0,
2020-01-03 23:00:00+00:00,469.0,5.0,0.0,5.0,246.0,2.0,272.0,0.0,58.0,0.0,136.0,0.0,0.0,1.0,1518.0,
2020-01-03 23:30:00+00:00,362.0,5.0,0.0,5.0,194.0,2.0,276.0,0.0,19.0,0.0,138.0,0.0,0.0,1.0,1544.0,
2020-01-04 00:00:00+00:00,333.0,5.0,0.0,5.0,172.0,2.0,268.0,0.0,15.0,0.0,129.0,0.0,0.0,1.0,1431.0,
2020-01-04 00:30:00+00:00,340.0,6.0,0.0,5.0,209.0,2.0,263.0,0.0,0.0,75.0,135.0,0.0,0.0,1.0,1358.0,
2020-01-04 01:00:00+00:00,303.0,6.0,0.0,5.0,220.0,2.0,175.0,0.0,0.0,74.0,139.0,0.0,0.0,1.0,1461.0,
2020-01-04 01:30:00+00:00,272.0,6.0,0.0,5.0,195.0,2.0,175.0,0.0,0.0,75.0,134.0,0.0,0.0,1.0,1475.0,
2020-01-04 02:00:00+00:00,325.0,6.0,0.0,5.0,209.0,2.0,132.0,0.0,0.0,148.0,135.0,0.0,0.0,1.0,1400.0,
2020-01-04 02:30:00+00:00,268.0,6.0,0.0,5.0,189.0,2.0,132.0,0.0,0.0,298.0,133.0,0.0,0.0,1.0,1444.0,
2020-01-04 03:00:00+00:00,285.0,5.0,0.0,5.0,207.0,2.0,133.0,0.0,0.0,295.0,135.0,0.0,0.0,1.0,1319.0,
2020-01-04 03:30:00+00:00,277.0,5.0,0.0,5.0,198.0,2.0,133.0,0.0,0.0,294.0,134.0,0.0,0.0,1.0,1345.0,
2020-01-04 04:00:00+00:00,261.0,7.0,0.0,5.0,186.0,2.0,133.0,0.0,0.0,293.0,131.0,0.0,0.0,1.0,1405.0,
2020-01-04 04:30:00+00:00,290.0,7.0,0.0,5.0,212.0,2.0,131.0,0.0,0.0,288.0,136.0,0.0,0.0,1.0,1306.0,
2020-01-04 05:00:00+00:00,296.0,6.0,0.0,5.0,215.0,2.0,132.0,0.0,0.0,286.0,137.0,0.0,0.0,1.0,1259.0,
2020-01-04 05:30:00+00:00,296.0,6.0,0.0,5.0,217.0,2.0,135.0,0.0,0.0,214.0,137.0,0.0,0.0,1.0,1427.0,
2020-01-04 06:00:00+00:00,304.0,5.0,0.0,5.0,274.0,2.0,197.0,0.0,0.0,213.0,139.0,0.0,0.0,1.0,1384.0,
2020-01-04 06:30:00+00:00,305.0,6.0,0.0,5.0,306.0,2.0,206.0,0.0,0.0,144.0,140.0,0.0,0.0,1.0,1282.0,
2020-01-04 07:00:00+00:00,260.0,6.0,0.0,5.0,236.0,2.0,206.0,0.0,14.0,0.0,123.0,0.0,0.0,1.0,1353.0,
2020-01-04 07:30:00+00:00,364.0,6.0,0.0,5.0,193.0,2.0,222.0,0.0,14.0,0.0,127.0,0.0,0.0,1.0,1261.0,
2020-01-04 08:00:00+00:00,426.0,6.0,0.0,5.0,254.0,2.0,278.0,0.0,15.0,0.0,128.0,0.0,0.0,1.0,1148.0,
2020-01-04 08:30:00+00:00,571.0,6.0,0.0,5.0,362.0,2.0,280.0,0.0,20.0,0.0,147.0,0.0,0.0,1.0,1096.0,
2020-01-04 09:00:00+00:00,612.0,6.0,0.0,5.0,392.0,2.0,279.0,0.0,21.0,0.0,149.0,0.0,0.0,1.0,1040.0,
2020-01-04 09:30:00+00:00,611.0,5.0,0.0,5.0,446.0,2.0,278.0,0.0,17.0,0.0,148.0,0.0,0.0,1.0,1055.0,
2020-01-04 10:00:00+00:00,615.0,6.0,0.0,5.0,454.0,2.0,279.0,0.0,19.0,0.0,150.0,0.0,0.0,1.0,950.0,
2020-01-04 10:30:00+00:00,609.0,5.0,0.0,5.0,447.0,2.0,278.0,0.0,16.0,0.0,141.0,0.0,0.0,1.0,890.0,
2020-01-04 11:00:00+00:00,611.0,6.0,0.0,5.0,438.0,2.0,279.0,0.0,18.0,0.0,141.0,0.0,0.0,1.0,886.0,
2020-01-04 11:30:00+00:00,607.0,6.0,0.0,5.0,425.0,2.0,296.0,0.0,16.0,0.0,141.0,0.0,0.0,1.0,963.0,
2020-01-04 12:00:00+00:00,595.0,5.0,0.0,5.0,413.0,2.0,295.0,0.0,15.0,0.0,139.0,0.0,0.0,1.0,1013.0,
2020-01-04 12:30:00+00:00,602.0,6.0,0.0,5.0,423.0,2.0,276.0,0.0,15.0,0.0,162.0,0.0,0.0,1.0,1066.0,
