,Actual Total Load [MW] - Switzerland (CH)
236,8254.0
237,7780.0
238,7640.0
239,7489.0
240,7270.0
241,6926.0
242,6900.0
243,7115.0
244,7250.0
245,7125.0
246,6995.0
247,7445.0
248,8223.0
249,8536.0
250,8596.0
251,8591.0
252,8800.0
253,8193.0
254,8395.0
255,8361.0
256,8346.0
257,8472.0
258,8462.0
259,8465.0
260,8225.0
261,7727.0
262,7311.0
263,7158.0
264,6857.0
265,7168.0
266,7290.0
267,7296.0
268,7014.0
269,6973.0
270,6996.0
271,7297.0
272,8162.0
273,8680.0
274,9013.0
275,9095.0
276,9107.0
277,8622.0
278,8738.0
279,8597.0
280,8315.0
281,8322.0
282,8467.0
283,8473.0
284,8144.0
285,7870.0
286,7331.0
287,7193.0
288,7165.0
289,7201.0
290,7512.0
291,7522.0
292,7709.0
293,7499.0
294,7406.0
295,7241.0
296,7315.0
297,7106.0
298,7382.0
299,7196.0
300,7166.0
301,7193.0
302,7063.0
303,7000.0
304,6894.0
305,7038.0
306,7606.0
307,7834.0
308,7613.0
309,7246.0
310,6965.0
311,6966.0
312,6820.0
313,6625.0
314,7170.0
315,7368.0
316,7336.0
317,7223.0
318,7003.0
319,6938.0
320,6752.0
321,6725.0
322,7072.0
323,7322.0
324,7160.0
325,7096.0
326,7219.0
327,7195.0
328,7205.0
329,7058.0
330,7458.0
331,7718.0
332,7558.0
333,7247.0
334,6944.0
335,6900.0
336,6761.0
337,7207.0
338,7727.0
339,7756.0
340,7724.0
341,7658.0
342,7906.0
343,7673.0
344,8518.0
345,9015.0
346,9052.0
347,8990.0
348,8887.0
349,8552.0
350,8589.0
351,8551.0
352,8470.0
353,8471.0
354,8695.0
355,8730.0
356,8372.0
357,7872.0
358,7427.0
359,7264.0
360,6940.0
361,6817.0
362,7097.0
363,7196.0
364,7413.0
365,7355.0
366,7226.0
367,7484.0
368,8265.0
369,8710.0
370,8785.0
371,8903.0
372,9057.0
373,8648.0
374,8617.0
375,8449.0
376,8510.0
377,8557.0
378,8723.0
379,8716.0
380,8325.0
381,7887.0
382,7474.0
383,7308.0
384,6989.0
385,7016.0
386,7547.0
387,7741.0
388,7688.0
389,7587.0
390,7134.0
391,7658.0
392,8494.0
393,8942.0
394,9003.0
395,9173.0
396,9230.0
397,9084.0
398,8977.0
399,8879.0
400,8628.0
401,8630.0
402,8891.0
403,8975.0
404,8616.0
405,8175.0
406,7695.0
407,7528.0
408,7277.0
409,7029.0
410,6921.0
411,7193.0
412,7113.0
413,6858.0
414,6879.0
415,7650.0
416,8528.0
417,8979.0
418,9053.0
419,9167.0
420,9203.0
421,8908.0
422,8834.0
423,8653.0
424,8593.0
425,8678.0
426,8715.0
427,8731.0
428,8424.0
429,7956.0
430,7506.0
431,7368.0
432,7031.0
433,7142.0
434,7125.0
435,7396.0
436,7483.0
437,7475.0
438,7119.0
439,7557.0
440,8424.0
441,8853.0
442,8905.0
443,8796.0
444,8806.0
445,8544.0
446,8421.0
447,8302.0
448,8243.0
449,8243.0
450,8502.0
451,8591.0
452,8320.0
453,7896.0
454,7469.0
455,7349.0
456,7234.0
457,6984.0
458,6936.0
459,7016.0
460,7105.0
461,6834.0
462,6822.0
463,6728.0
464,6680.0
465,7074.0
466,7405.0
467,7443.0
468,7396.0
469,7450.0
470,7448.0
471,7355.0
472,7387.0
473,7533.0
474,7876.0
475,7970.0
476,7667.0
477,7217.0
478,6864.0
479,6860.0
480,6706.0
481,7158.0
482,7210.0
483,7119.0
484,7037.0
485,6892.0
486,6809.0
487,6695.0
488,6875.0
489,6828.0
490,6887.0
491,7121.0
492,6950.0
493,7159.0
494,7019.0
495,7267.0
496,7432.0
497,7343.0
498,7524.0
499,7802.0
500,7695.0
501,7349.0
502,7013.0
503,7011.0
504,7008.0
505,7386.0
506,7449.0
507,7433.0
508,7395.0
509,7373.0
510,7385.0
511,7460.0
512,8263.0
513,8722.0
514,8793.0
515,8970.0
516,9097.0
517,8690.0
518,8743.0
519,8691.0
520,8617.0
521,8569.0
522,8661.0
523,8666.0
524,8258.0
525,7760.0
526,7374.0
527,7129.0
528,6844.0
529,6508.0
530,6478.0
531,6603.0
532,6727.0
533,6751.0
534,6846.0
535,7500.0
536,8288.0
537,8672.0
538,8639.0
539,8662.0
540,8750.0
541,8352.0
542,8272.0
543,8089.0
544,8051.0
545,8095.0
546,8342.0
547,8612.0
548,8326.0
549,7826.0
550,7389.0
551,7239.0
552,6924.0
553,6753.0
554,7015.0
555,7208.0
556,7131.0
557,6967.0
558,6951.0
559,7548.0
560,8432.0
561,8761.0
562,8609.0
563,8525.0
564,8469.0
565,8167.0
566,8062.0
567,7819.0
568,7762.0
569,7866.0
570,8236.0
571,8536.0
572,8230.0
573,7750.0
574,7317.0
575,7149.0
576,6788.0
577,6507.0
578,6533.0
579,6712.0
580,6856.0
581,6646.0
582,6644.0
583,7505.0
584,8334.0
585,8654.0
586,8621.0
587,8591.0
588,8551.0
589,8207.0
590,8195.0
591,7987.0
592,7989.0
593,8062.0
594,8328.0
595,8492.0
596,8166.0
597,7690.0
598,7246.0
599,7120.0
600,6803.0
601,6456.0
602,6518.0
603,6786.0
604,6659.0
605,6616.0
606,6759.0
607,7420.0
608,8183.0
609,8598.0
610,8714.0
611,8808.0
612,8902.0
613,8401.0
614,8490.0
615,8378.0
616,8302.0
617,8084.0
618,8295.0
619,8351.0
620,8045.0
621,7591.0
622,7134.0
623,7020.0
624,6860.0
625,6705.0
626,6810.0
627,6741.0
628,6692.0
629,6615.0
630,6646.0
631,6660.0
632,6402.0
633,6746.0
634,7128.0
635,7221.0
636,7210.0
637,7326.0
638,7303.0
639,7170.0
640,7064.0
641,6957.0
642,7387.0
643,7557.0
644,7295.0
645,6932.0
646,6628.0
647,6545.0
648,6370.0
649,6279.0
650,6455.0
651,6689.0
652,6670.0
653,6689.0
654,6729.0
655,6225.0
656,5948.0
657,6000.0
658,6254.0
659,6412.0
660,6454.0
661,6496.0
662,6745.0
663,6517.0
664,6349.0
665,6423.0
666,6832.0
667,7327.0
668,7216.0
669,6882.0
670,6552.0
671,6558.0
672,6671.0
673,6587.0
674,6949.0
675,7303.0
676,7294.0
677,7245.0
678,7105.0
679,7270.0
680,8142.0
681,8566.0
682,8568.0
683,8540.0
684,8513.0
685,8098.0
686,8103.0
687,7911.0
688,7810.0
689,7892.0
690,8087.0
691,8421.0
692,8066.0
693,7580.0
694,7130.0
695,6995.0
696,6760.0
697,6872.0
698,6866.0
699,7184.0
700,7269.0
701,7182.0
702,7061.0
703,7360.0
704,8134.0
705,8563.0
706,8530.0
707,8554.0
708,8563.0
709,8218.0
710,8154.0
711,8040.0
712,7923.0
713,8012.0
714,8173.0
715,8385.0
716,8053.0
717,7587.0
718,7130.0
719,6987.0
720,6656.0
721,6507.0
722,6717.0
723,6757.0
724,6884.0
725,6853.0
726,6902.0
727,7391.0
728,8247.0
729,8570.0
730,8619.0
731,8576.0
732,8584.0
733,8188.0
734,8202.0
735,8054.0
736,8005.0
737,7977.0
738,8121.0
739,8411.0
740,8113.0
741,7581.0
742,7154.0
743,7010.0
744,6908.0
745,6928.0
746,7186.0
747,7466.0
748,7422.0
749,7381.0
750,7342.0
751,7320.0
752,8194.0
753,8773.0
754,8906.0
755,9084.0
756,9064.0
757,8802.0
758,8713.0
759,8549.0
760,8388.0
761,8384.0
762,8460.0
763,8690.0
764,8415.0
765,7959.0
766,7529.0
767,7626.0
768,7553.0
769,7626.0
770,7856.0
771,7937.0
772,7927.0
773,7718.0
774,7762.0
775,7665.0
776,8445.0
777,8840.0
778,8802.0
779,8731.0
780,8594.0
781,8273.0
782,8198.0
783,8097.0
784,7931.0
785,7924.0
786,8183.0
787,8470.0
788,8217.0
789,7757.0
790,7395.0
791,7366.0
792,7370.0
793,7314.0
794,7583.0
795,7731.0
796,7730.0
797,7702.0
798,7158.0
799,7142.0
800,6868.0
801,7094.0
802,7323.0
803,7432.0
804,7417.0
805,7406.0
806,8038.0
807,8021.0
808,7845.0
809,7230.0
810,7509.0
811,7832.0
812,7605.0
813,7254.0
814,7115.0
815,7533.0
816,7498.0
817,7791.0
818,7779.0
819,7742.0
820,7678.0
821,7560.0
822,7462.0
823,7339.0
824,7298.0
825,7182.0
826,7020.0
827,7232.0
828,7079.0
829,7211.0
830,7754.0
831,7460.0
832,7287.0
833,7294.0
834,7188.0
835,7673.0
836,7493.0
837,7222.0
838,6942.0
839,6992.0
840,7257.0
841,7300.0
842,7566.0
843,7685.0
844,7674.0
845,7626.0
846,7494.0
847,7587.0
848,8374.0
849,8834.0
850,8926.0
851,9068.0
852,9073.0
853,8792.0
854,8757.0
855,8565.0
856,8503.0
857,8401.0
858,8483.0
859,8819.0
860,8538.0
861,8104.0
862,7983.0
863,7515.0
864,7364.0
865,7083.0
866,7222.0
867,7622.0
868,6980.0
869,6826.0
870,6955.0
871,7653.0
872,8461.0
873,8850.0
874,8942.0
875,8996.0
876,8934.0
877,8638.0
878,8580.0
879,8367.0
880,8253.0
881,8245.0
882,8394.0
883,8759.0
884,8501.0
885,8003.0
886,7593.0
887,7501.0
888,7247.0
889,7222.0
890,7779.0
891,7752.0
892,7665.0
893,7444.0
894,6927.0
895,7554.0
896,8414.0
897,8910.0
898,9044.0
899,9172.0
900,9155.0
901,8926.0
902,8935.0
903,8795.0
904,8702.0
905,8642.0
906,8712.0
907,8865.0
908,8503.0
909,8004.0
910,7571.0
911,7432.0
912,7168.0
913,6946.0
914,7105.0
915,7197.0
916,7261.0
917,7098.0
918,6984.0
919,7648.0
920,8463.0
921,8907.0
922,9047.0
923,9107.0
924,9046.0
925,8789.0
926,8782.0
927,8635.0
928,8496.0
929,8438.0
930,8572.0
931,8827.0
932,8512.0
933,8026.0
934,7599.0
935,7470.0
936,7425.0
937,7065.0
938,7061.0
939,6997.0
940,7414.0
941,7311.0
942,7027.0
943,7666.0
944,8446.0
945,8945.0
946,9022.0
947,9050.0
948,8942.0
949,8704.0
950,8675.0
951,8483.0
952,8281.0
953,8156.0
954,8314.0
955,8675.0
956,8416.0
957,7926.0
958,7526.0
959,7437.0
960,7305.0
961,7213.0
962,7547.0
963,7520.0
964,7393.0
965,7059.0
966,7129.0
967,6882.0
968,6735.0
969,7086.0
970,7379.0
971,7497.0
972,7459.0
973,7749.0
974,7924.0
975,7871.0
976,7793.0
977,7655.0
978,7562.0
979,7918.0
980,7817.0
981,7481.0
982,7054.0
983,7202.0
984,7531.0
985,7425.0
986,7702.0
987,7715.0
988,7609.0
989,7480.0
990,7381.0
991,7213.0
992,7144.0
993,7062.0
994,7316.0
995,7391.0
996,7669.0
997,7958.0
998,8024.0
999,7797.0
1000,7372.0
1001,7239.0
1002,7316.0
1003,7741.0
1004,7529.0
1005,7179.0
1006,6893.0
1007,6857.0
1008,7017.0
1009,7107.0
1010,7199.0
1011,7230.0
1012,7241.0
1013,7267.0
1014,7596.0
1015,7484.0
1016,8223.0
1017,8728.0
1018,8878.0
1019,8938.0
1020,8876.0
1021,8646.0
1022,8627.0
1023,8501.0
1024,8332.0
1025,8346.0
1026,8418.0
1027,8850.0
1028,8586.0
1029,8107.0
1030,7772.0
1031,7676.0
1032,7454.0
1033,7355.0
1034,7816.0
1035,7749.0
1036,7666.0
1037,7612.0
1038,7602.0
1039,7936.0
1040,8617.0
1041,8997.0
1042,9016.0
1043,8954.0
1044,8822.0
1045,8558.0
1046,8556.0
1047,8398.0
1048,8236.0
1049,8243.0
1050,8336.0
1051,8829.0
1052,8594.0
1053,8150.0
1054,7815.0
1055,7750.0
1056,7537.0
1057,7282.0
1058,7263.0
1059,7316.0
1060,7242.0
1061,6954.0
1062,7151.0
1063,7830.0
1064,8536.0
1065,8985.0
1066,9085.0
1067,9122.0
1068,9038.0
1069,8731.0
1070,8664.0
1071,8440.0
1072,8257.0
1073,8196.0
1074,8360.0
1075,8901.0
1076,8684.0
1077,8279.0
1078,7817.0
1079,7658.0
1080,7450.0
1081,7276.0
1082,7270.0
1083,7268.0
1084,7266.0
1085,7203.0
1086,7128.0
1087,7704.0
1088,8453.0
1089,8942.0
1090,9132.0
1091,9304.0
1092,9275.0
1093,9067.0
1094,9041.0
1095,8888.0
1096,8734.0
1097,8671.0
1098,8597.0
1099,8884.0
1100,8615.0
1101,8111.0
1102,7633.0
1103,7511.0
1104,7177.0
1105,6941.0
1106,6992.0
1107,7089.0
1108,7077.0
1109,6709.0
1110,6809.0
1111,7555.0
1112,8190.0
1113,8663.0
1114,8838.0
1115,8953.0
1116,8908.0
1117,8611.0
1118,8577.0
1119,8411.0
1120,8240.0
1121,8050.0
1122,8186.0
1123,8455.0
1124,8200.0
1125,7799.0
1126,7457.0
1127,7264.0
1128,7043.0
1129,6717.0
1130,6721.0
1131,6687.0
1132,6631.0
1133,6482.0
1134,6390.0
1135,6367.0
1136,6964.0
1137,6930.0
1138,7302.0
1139,7507.0
1140,7522.0
1141,7693.0
1142,7607.0
1143,7542.0
1144,7387.0
1145,7239.0
1146,7514.0
1147,7779.0
1148,7663.0
1149,7288.0
1150,6991.0
1151,6980.0
1152,7011.0
1153,6868.0
1154,7188.0
1155,7210.0
1156,7269.0
1157,7214.0
1158,6993.0
1159,6801.0
1160,6862.0
1161,6914.0
1162,6848.0
1163,7027.0
1164,7181.0
1165,7424.0
1166,7384.0
1167,7203.0
1168,7136.0
1169,7055.0
1170,7233.0
1171,7674.0
1172,7553.0
1173,7264.0
1174,6994.0
1175,6933.0
1176,6768.0
1177,6873.0
1178,6869.0
1179,7090.0
1180,7284.0
1181,7071.0
1182,7082.0
1183,7498.0
1184,8217.0
1185,8725.0
1186,8844.0
1187,8923.0
1188,8942.0
1189,8635.0
1190,8651.0
1191,8713.0
1192,8496.0
1193,8300.0
1194,8300.0
1195,8686.0
1196,8410.0
1197,7894.0
1198,7466.0
1199,7423.0
1200,7204.0
1201,7026.0
1202,7375.0
1203,7434.0
1204,7449.0
1205,7237.0
1206,7487.0
1207,7742.0
1208,8353.0
1209,8903.0
1210,9057.0
1211,9057.0
1212,9185.0
1213,8639.0
1214,8618.0
1215,8576.0
1216,8430.0
1217,8444.0
1218,8444.0
1219,8810.0
1220,8537.0
1221,8103.0
1222,7888.0
1223,7608.0
1224,7435.0
1225,7138.0
1226,7271.0
1227,7520.0
1228,7504.0
1229,7435.0
1230,7423.0
1231,7910.0
1232,8523.0
1233,8932.0
1234,9037.0
1235,9124.0
1236,9079.0
1237,8915.0
1238,8968.0
1239,8824.0
1240,8747.0
1241,8763.0
1242,8618.0
1243,8900.0
1244,8704.0
1245,8274.0
1246,7847.0
1247,7629.0
1248,7525.0
1249,7217.0
1250,7232.0
1251,7347.0
1252,7434.0
1253,7471.0
1254,7380.0
1255,7948.0
1256,8671.0
1257,9167.0
1258,9363.0
1259,9510.0
1260,9523.0
1261,9268.0
1262,9386.0
1263,9272.0
1264,9144.0
1265,9069.0
1266,9077.0
1267,9128.0
1268,8876.0
1269,8377.0
1270,7889.0
1271,7786.0
1272,7529.0
1273,7409.0
1274,7405.0
1275,7473.0
1276,7464.0
1277,7094.0
1278,7235.0
1279,7913.0
1280,8660.0
1281,9177.0
1282,9359.0
1283,9486.0
1284,9438.0
1285,9272.0
1286,9304.0
1287,9120.0
1288,9162.0
1289,8959.0
1290,8890.0
1291,9055.0
1292,8778.0
1293,8276.0
1294,7874.0
1295,7856.0
1296,7730.0
1297,7439.0
1298,7546.0
1299,7583.0
1300,7618.0
1301,7322.0
1302,7282.0
1303,6996.0
1304,6971.0
1305,7343.0
1306,7629.0
1307,7716.0
1308,7733.0
1309,7813.0
1310,7818.0
1311,7662.0
1312,7619.0
1313,7776.0
1314,7794.0
1315,8093.0
1316,7989.0
1317,7596.0
1318,7236.0
1319,7242.0
1320,7213.0
1321,7752.0
1322,7756.0
1323,7696.0
1324,7613.0
1325,7502.0
1326,7410.0
1327,7329.0
1328,7283.0
1329,7478.0
1330,7847.0
1331,8130.0
1332,8207.0
1333,8351.0
1334,8219.0
1335,8020.0
1336,7884.0
1337,7827.0
1338,7630.0
1339,8145.0
1340,8229.0
1341,7934.0
1342,7891.0
1343,7996.0
1344,7865.0
1345,7904.0
1346,8039.0
1347,8111.0
1348,8106.0
1349,7941.0
1350,8100.0
1351,8266.0
1352,8997.0
1353,9466.0
1354,9513.0
1355,9573.0
1356,9407.0
1357,9203.0
1358,9341.0
1359,9452.0
1360,9343.0
1361,9307.0
1362,9152.0
1363,9531.0
1364,9439.0
1365,8933.0
1366,8533.0
1367,8439.0
1368,8266.0
1369,8047.0
1370,8491.0
1371,8382.0
1372,8292.0
1373,8133.0
1374,7913.0
1375,8636.0
1376,9320.0
1377,9731.0
1378,9814.0
1379,9775.0
1380,9570.0
1381,9421.0
1382,9465.0
1383,9322.0
1384,9767.0
1385,9242.0
1386,9150.0
1387,9560.0
1388,9434.0
1389,8985.0
1390,8577.0
1391,8517.0
1392,8349.0
1393,8550.0
1394,8716.0
1395,8584.0
1396,8453.0
1397,8248.0
1398,8514.0
1399,8742.0
1400,9376.0
1401,9711.0
1402,9737.0
1403,9663.0
1404,9440.0
1405,9243.0
1406,9412.0
1407,9069.0
1408,9127.0
1409,9145.0
1410,9072.0
1411,9444.0
1412,9249.0
1413,8803.0
1414,8348.0
1415,8247.0
1416,8055.0
1417,7718.0
1418,7649.0
1419,7710.0
1420,7687.0
1421,7563.0
1422,7847.0
1423,8316.0
1424,8925.0
1425,9380.0
1426,9607.0
1427,9724.0
1428,9626.0
1429,9488.0
1430,9470.0
1431,9258.0
1432,9082.0
1433,8964.0
1434,8872.0
1435,9213.0
1436,9139.0
1437,8649.0
1438,8222.0
1439,8103.0
1440,7893.0
1441,7798.0
1442,8055.0
1443,8165.0
1444,8075.0
1445,7855.0
1446,8130.0
1447,8242.0
1448,8877.0
1449,9294.0
1450,9439.0
1451,9537.0
1452,9408.0
1453,9304.0
1454,9383.0
1455,9250.0
1456,8966.0
1457,8723.0
1458,8664.0
1459,8931.0
1460,8869.0
1461,8436.0
1462,8024.0
1463,7989.0
1464,7814.0
1465,7614.0
1466,7569.0
1467,7665.0
1468,7583.0
1469,7155.0
1470,7093.0
1471,7045.0
1472,6979.0
1473,7331.0
1474,7643.0
1475,7705.0
1476,7683.0
1477,7769.0
1478,7759.0
1479,7666.0
1480,7544.0
1481,7498.0
1482,7654.0
1483,8067.0
1484,7986.0
1485,7579.0
1486,7227.0
1487,7270.0
1488,7183.0
1489,7383.0
1490,7350.0
1491,7575.0
1492,7362.0
1493,7398.0
1494,7128.0
1495,6825.0
1496,6750.0
1497,6923.0
1498,6980.0
1499,6852.0
1500,6830.0
1501,6921.0
1502,6949.0
1503,6998.0
1504,6914.0
1505,6906.0
1506,6755.0
1507,7433.0
1508,7500.0
1509,7174.0
1510,6920.0
1511,6791.0
1512,6685.0
1513,7296.0
1514,7433.0
1515,7592.0
1516,7616.0
1517,7391.0
1518,7616.0
1519,7502.0
1520,8162.0
1521,8604.0
1522,8623.0
1523,8584.0
1524,8586.0
1525,8242.0
1526,8268.0
1527,8310.0
1528,8192.0
1529,8113.0
1530,7833.0
1531,8157.0
1532,8198.0
1533,7887.0
1534,7563.0
1535,7360.0
1536,7152.0
1537,7785.0
1538,8007.0
1539,7999.0
1540,7986.0
1541,7728.0
1542,7783.0
1543,7640.0
1544,8235.0
1545,8637.0
1546,8870.0
1547,8972.0
1548,9015.0
1549,8606.0
1550,8457.0
1551,8375.0
1552,8266.0
1553,8159.0
1554,8058.0
1555,8346.0
1556,8218.0
1557,7791.0
1558,7833.0
1559,7432.0
1560,7432.0
1561,7657.0
1562,7722.0
1563,7859.0
1564,7869.0
1565,7764.0
1566,7962.0
1567,7694.0
1568,8275.0
1569,8699.0
1570,8689.0
1571,8818.0
1572,8917.0
1573,8547.0
1574,8527.0
1575,8386.0
1576,8273.0
1577,8191.0
1578,8148.0
1579,8547.0
1580,8492.0
1581,8090.0
1582,7582.0
1583,7395.0
1584,7435.0
1585,7542.0
1586,7510.0
1587,7638.0
1588,7621.0
1589,7595.0
1590,7714.0
1591,7788.0
1592,8363.0
1593,8604.0
1594,8543.0
1595,8498.0
1596,8726.0
1597,8768.0
1598,8584.0
1599,7971.0
1600,7760.0
1601,7705.0
1602,7755.0
1603,8239.0
1604,8258.0
1605,7844.0
1606,7421.0
1607,7243.0
1608,7322.0
1609,6790.0
1610,6583.0
1611,6852.0
1612,6801.0
1613,6856.0
1614,6982.0
1615,7409.0
1616,8055.0
1617,8430.0
1618,8397.0
1619,8479.0
1620,8534.0
1621,8128.0
1622,8085.0
1623,7884.0
1624,7644.0
1625,7599.0
1626,7647.0
1627,7964.0
1628,7944.0
1629,7565.0
1630,7210.0
1631,7230.0
1632,6899.0
1633,6480.0
1634,6478.0
1635,6352.0
1636,6507.0
1637,6434.0
1638,6525.0
1639,6323.0
1640,6311.0
1641,6702.0
1642,7052.0
1643,7192.0
1644,7220.0
1645,7482.0
1646,7433.0
1647,7203.0
1648,7172.0
1649,7177.0
1650,6888.0
1651,7233.0
1652,7514.0
1653,7152.0
1654,6565.0
1655,6585.0
1656,6492.0
1657,6855.0
1658,7007.0
1659,6992.0
1660,7052.0
1661,6949.0
1662,6989.0
1663,6869.0
1664,6876.0
1665,7141.0
1666,7413.0
1667,7626.0
1668,7762.0
1669,7809.0
1670,7662.0
1671,7564.0
1672,7483.0
1673,7548.0
1674,7742.0
1675,7072.0
1676,7101.0
1677,6820.0
1678,6499.0
1679,6547.0
1680,6792.0
1681,7113.0
1682,7102.0
1683,7140.0
1684,7131.0
1685,7200.0
1686,7511.0
1687,7198.0
1688,7844.0
1689,8349.0
1690,8362.0
1691,8462.0
1692,8541.0
1693,8133.0
1694,8166.0
1695,8085.0
1696,7978.0
1697,7924.0
1698,7805.0
1699,8158.0
1700,8120.0
1701,7643.0
1702,7198.0
1703,7030.0
1704,6940.0
1705,6710.0
1706,7117.0
1707,7206.0
1708,7194.0
1709,7102.0
1710,6951.0
1711,7450.0
1712,8026.0
1713,8443.0
1714,8436.0
1715,8550.0
1716,8637.0
1717,8282.0
1718,8311.0
1719,8205.0
1720,8107.0
1721,8119.0
1722,8006.0
1723,8291.0
1724,8202.0
1725,7714.0
1726,7294.0
1727,7084.0
1728,6902.0
1729,7015.0
1730,6916.0
1731,6895.0
1732,6882.0
1733,6854.0
1734,7192.0
1735,7433.0
1736,7998.0
1737,8278.0
1738,8233.0
1739,8321.0
1740,8454.0
1741,8110.0
1742,8237.0
1743,8051.0
1744,7892.0
1745,7669.0
1746,7546.0
1747,7930.0
1748,8071.0
1749,7642.0
1750,7181.0
1751,7032.0
1752,6965.0
1753,6667.0
1754,6821.0
1755,6923.0
1756,6918.0
1757,6875.0
1758,6984.0
1759,7315.0
1760,7958.0
1761,8412.0
1762,8509.0
1763,8649.0
1764,8763.0
1765,8357.0
1766,8251.0
1767,8001.0
1768,7916.0
1769,7881.0
1770,7825.0
1771,8129.0
1772,8114.0
1773,7650.0
1774,7340.0
1775,7191.0
1776,7449.0
1777,7361.0
1778,7458.0
1779,7420.0
1780,7355.0
1781,7295.0
1782,7463.0
1783,7860.0
1784,7940.0
1785,8279.0
1786,8256.0
1787,8256.0
1788,8260.0
1789,8260.0
1790,8248.0
1791,7988.0
1792,7990.0
1793,7587.0
1794,7457.0
1795,7674.0
1796,7836.0
1797,7448.0
1798,7040.0
1799,7321.0
1800,7182.0
1801,6939.0
1802,7036.0
1803,7124.0
1804,7273.0
1805,7179.0
1806,7154.0
1807,6678.0
1808,6685.0
1809,7076.0
1810,7331.0
1811,7395.0
1812,7670.0
1813,7733.0
1814,7846.0
1815,7753.0
1816,7711.0
1817,7642.0
1818,7228.0
1819,7469.0
1820,7449.0
1821,7409.0
1822,7179.0
1823,7174.0
1824,7072.0
1825,7554.0
1826,7407.0
1827,7587.0
1828,7507.0
1829,7452.0
1830,7430.0
1831,7347.0
1832,7277.0
1833,7527.0
1834,7807.0
1835,7426.0
1836,7235.0
1837,7216.0
1838,7735.0
1839,6645.0
1840,6548.0
1841,7200.0
1842,6938.0
1843,7284.0
1844,7421.0
1845,7483.0
1846,7177.0
1847,7143.0
1848,7507.0
1849,7744.0
1850,7758.0
1851,7852.0
1852,7840.0
1853,7784.0
1854,7475.0
1855,7480.0
1856,7963.0
1857,8477.0
1858,8590.0
1859,8686.0
1860,8683.0
1861,8489.0
1862,8467.0
1863,8340.0
1864,8229.0
1865,8149.0
1866,8037.0
1867,8277.0
1868,8301.0
