,Actual Total Load [MW] - Germany (DE)
278,70150.0
279,69746.0
280,70113.0
281,72241.25
282,71449.75
283,69081.0
284,65028.75
285,61873.25
286,59734.75
287,56174.25
288,52536.75
289,50436.5
290,48923.5
291,48680.25
292,48761.25
293,48712.5
294,49697.0
295,53260.75
296,57469.0
297,61190.75
298,63485.0
299,64369.0
300,64020.0
301,62027.0
302,60152.5
303,59635.75
304,60762.5
305,64102.5
306,64702.75
307,62659.25
308,58726.75
309,56225.25
310,55441.25
311,52305.25
312,49060.75
313,47036.0
314,45728.75
315,45502.75
316,45581.75
317,45179.25
318,44550.5
319,46543.5
320,49799.5
321,53578.25
322,55811.0
323,58332.25
324,58083.25
325,56013.5
326,54694.0
327,54372.0
328,56017.25
329,61148.25
330,62843.0
331,61636.0
332,58891.25
333,57270.25
334,57359.0
335,54391.25
336,51856.5
337,50145.75
338,49747.0
339,50201.75
340,52058.0
341,56491.25
342,65692.5
343,72653.5
344,75120.0
345,75376.0
346,76097.75
347,77085.75
348,77152.25
349,76804.5
350,76021.25
351,75887.0
352,76483.25
353,79111.75
354,78592.25
355,76494.0
356,72169.75
357,68538.5
358,65866.0
359,61122.5
360,57294.5
361,54794.5
362,53913.75
363,54218.75
364,55318.0
365,58260.5
366,66361.75
367,73351.0
368,75527.75
369,75617.0
370,76499.75
371,76925.75
372,76523.25
373,76142.0
374,74894.5
375,74610.0
376,74436.0
377,77210.75
378,77170.75
379,75875.25
380,71549.0
381,67382.75
382,64125.25
383,59482.5
384,56466.5
385,54292.75
386,53346.75
387,53763.5
388,55261.0
389,58455.5
390,65686.75
391,72333.0
392,75387.5
393,76008.75
394,76709.0
395,77605.0
396,77076.5
397,76426.75
398,75944.75
399,75529.0
400,75108.75
401,77750.0
402,78014.25
403,76134.25
404,71760.75
405,67936.0
406,65260.5
407,61070.75
408,58007.0
409,55543.0
410,54426.5
411,54330.75
412,55517.25
413,59033.75
414,66922.0
415,74264.75
416,77648.0
417,78176.75
418,78951.5
419,79315.0
420,78455.0
421,76747.75
422,75108.25
423,73783.0
424,73522.25
425,76973.25
426,77041.75
427,75150.0
428,70914.0
429,67023.25
430,63460.75
431,58230.5
432,54440.25
433,51894.25
434,51348.0
435,51726.25
436,53046.5
437,56293.5
438,64026.5
439,70503.75
440,72795.75
441,72983.75
442,73364.5
443,73588.25
444,72978.25
445,71547.75
446,70069.0
447,69225.75
448,69395.25
449,72271.5
450,72108.25
451,70246.25
452,66192.0
453,63010.5
454,60480.0
455,57286.0
456,54171.25
457,51926.75
458,50382.5
459,50340.0
460,50174.5
461,49816.25
462,50780.25
463,54072.0
464,57509.75
465,60839.75
466,62665.0
467,63228.0
468,62474.0
469,60555.75
470,58985.25
471,58126.5
472,58916.5
473,62243.75
474,62756.25
475,60739.0
476,57366.0
477,54938.0
478,54112.0
479,51421.75
480,48239.75
481,46383.0
482,45415.5
483,45239.75
484,45235.25
485,44648.5
486,44183.5
487,45747.5
488,48810.25
489,52574.0
490,55264.5
491,57742.75
492,57567.25
493,55415.25
494,54216.5
495,53712.25
496,54668.0
497,58825.25
498,60605.5
499,59099.25
500,57245.5
501,55654.25
502,55877.25
503,53272.5
504,50540.25
505,49066.5
506,48771.0
507,49362.25
508,51229.25
509,55289.75
510,63484.0
511,69699.5
512,72359.75
513,73503.25
514,74436.5
515,75011.0
516,74628.25
517,74047.25
518,73178.75
519,72406.75
520,71646.75
521,73885.75
522,73803.25
523,71922.25
524,67517.75
525,63913.0
526,61048.25
527,56904.0
528,53625.5
529,51414.75
530,50494.5
531,50822.75
532,52113.25
533,55543.75
534,63255.25
535,69621.25
536,72270.5
537,72644.5
538,73415.25
539,74163.25
540,73887.25
541,73448.0
542,72931.75
543,72303.0
544,72127.0
545,75323.25
546,75527.0
547,73870.75
548,70605.0
549,67254.75
550,64298.25
551,59631.0
552,55824.25
553,53749.25
554,52508.5
555,52882.25
556,54328.25
557,57821.75
558,66242.25
559,73120.5
560,75107.25
561,75111.25
562,75462.5
563,75802.25
564,75346.75
565,74719.25
566,73707.25
567,73373.5
568,73552.5
569,77283.0
570,77945.25
571,75545.0
572,70838.75
573,66923.25
574,63710.75
575,59154.75
576,55330.5
577,53121.75
578,51910.5
579,52229.5
580,53614.75
581,56922.25
582,64435.75
583,71072.25
584,72865.0
585,72715.0
586,73024.0
587,73218.0
588,72778.25
589,72136.0
590,70703.0
591,69887.0
592,69670.0
593,72653.25
594,73005.75
595,71379.5
596,67166.0
597,63481.25
598,60156.5
599,55712.0
600,51864.75
601,49947.0
602,49212.75
603,49584.5
604,51146.5
605,54525.0
606,62109.0
607,68715.75
608,71012.0
609,70952.75
610,71099.5
611,71437.25
612,71147.0
613,69761.25
614,68053.0
615,67259.0
616,67290.5
617,70105.5
618,70285.75
619,68245.0
620,64129.25
621,61036.75
622,58756.0
623,54731.75
624,50695.5
625,48232.75
626,47002.0
627,46936.5
628,46808.5
629,46861.5
630,47915.0
631,51476.5
632,55360.0
633,58788.0
634,60612.0
635,61706.25
636,61149.75
637,59397.25
638,57285.25
639,57106.5
640,57710.75
641,61846.25
642,63827.75
643,62753.75
644,59211.5
645,56571.0
646,55589.25
647,52407.0
648,49409.5
649,47405.25
650,46332.5
651,46153.0
652,46287.25
653,45655.5
654,44953.75
655,46751.0
656,49790.5
657,53408.5
658,56386.75
659,58769.5
660,58754.75
661,56866.75
662,55546.25
663,55274.25
664,56037.75
665,60219.0
666,62593.75
667,60824.0
668,58052.25
669,56334.0
670,56365.75
671,53177.75
672,49755.75
673,48115.5
674,47735.0
675,48359.25
676,50306.5
677,54903.5
678,64070.5
679,71495.5
680,74445.25
681,75282.5
682,75998.5
683,77136.75
684,76402.0
685,75777.75
686,74999.75
687,74431.5
688,73938.0
689,76482.75
690,76977.25
691,74930.75
692,70377.0
693,66310.0
694,63136.0
695,58521.25
696,54753.75
697,52889.75
698,52214.25
699,52766.25
700,54497.25
701,58333.25
702,65573.5
703,71677.0
704,73461.75
705,73195.75
706,73580.5
707,74030.25
708,73732.25
709,72843.5
710,71604.0
711,70577.5
712,69572.5
713,72522.0
714,73882.75
715,72600.75
716,68815.75
717,65126.75
718,61899.75
719,57459.5
720,53941.0
721,52188.75
722,51456.25
723,51864.5
724,53456.5
725,57240.75
726,66029.5
727,73113.0
728,75532.5
729,76012.25
730,76939.25
731,77625.25
732,77035.5
733,76127.0
734,75187.75
735,74526.75
736,73812.0
737,76079.5
738,76485.5
739,74379.5
740,69646.5
741,66425.5
742,63238.5
743,58099.75
744,54746.75
745,52664.25
746,51728.25
747,52340.75
748,54341.25
749,57929.5
750,65368.75
751,71800.5
752,73874.25
753,74160.5
754,74888.75
755,75614.75
756,75293.5
757,74844.25
758,73628.0
759,72476.75
760,72111.75
761,74450.75
762,75684.0
763,74238.75
764,70327.0
765,66558.75
766,63586.75
767,59513.25
768,56445.5
769,54436.0
770,53553.75
771,53547.0
772,54872.75
773,57641.25
774,64723.25
775,70979.0
776,73098.0
777,73493.25
778,73991.25
779,74444.0
780,73243.5
781,72024.75
782,70339.0
783,69400.75
784,68779.75
785,70957.75
786,71606.75
787,69334.5
788,65488.75
789,62257.25
790,59714.25
791,55930.75
792,52278.25
793,50012.25
794,48689.75
795,48612.0
796,48923.75
797,48807.5
798,49722.25
799,52990.75
800,56484.0
801,59684.25
802,61079.0
803,61560.5
804,61003.75
805,59642.0
806,57975.0
807,57387.25
808,57485.25
809,60638.75
810,62570.25
811,60597.0
812,56906.0
813,54687.0
814,53825.5
815,51225.75
816,48813.25
817,46790.25
818,45572.25
819,45428.0
820,45556.25
821,45068.75
822,44392.25
823,46361.0
824,49798.75
825,53474.0
826,56242.5
827,58498.25
828,58602.75
829,56855.0
830,55301.5
831,54593.25
832,54777.25
833,58511.0
834,61326.5
835,60425.0
836,57970.75
837,56344.5
838,56439.5
839,53788.25
840,51640.75
841,49947.0
842,49328.75
843,49569.25
844,51276.75
845,54942.0
846,63130.0
847,69388.75
848,71995.0
849,72827.25
850,73552.5
851,73538.5
852,72843.25
853,72182.25
854,71354.0
855,70325.25
856,69765.25
857,72238.75
858,74537.25
859,72934.75
860,69071.25
861,65562.25
862,63024.5
863,59577.25
864,55905.0
865,54180.25
866,53436.25
867,53675.5
868,54880.5
869,57823.5
870,64568.5
871,70675.0
872,72860.5
873,72897.75
874,73628.0
875,74028.75
876,73092.25
877,72208.0
878,71140.75
879,70371.75
880,69929.25
881,72496.25
882,74933.75
883,73329.5
884,69339.5
885,65592.25
886,63133.5
887,59702.0
888,56609.25
889,54749.5
890,53660.5
891,53949.25
892,54891.0
893,57610.0
894,64961.5
895,70863.75
896,72862.0
897,73375.0
898,73857.5
899,73889.25
900,73509.25
901,73043.25
902,71870.75
903,71023.0
904,70140.5
905,72664.5
906,75124.25
907,73665.5
908,69765.75
909,66107.0
910,63136.75
911,59452.25
912,56314.5
913,54594.5
914,54084.25
915,54484.5
916,55171.5
917,58065.0
918,65035.75
919,71111.25
920,72879.25
921,73189.5
922,73367.25
923,73687.75
924,73066.75
925,72299.25
926,71228.25
927,70539.5
928,69775.75
929,71988.75
930,74214.25
931,72893.5
932,69157.25
933,65769.25
934,63624.25
935,60227.0
936,57534.5
937,55478.25
938,54710.0
939,54989.75
940,56002.5
941,58556.5
942,65512.75
943,70965.0
944,73388.25
945,74185.25
946,74723.25
947,75189.25
948,74521.25
949,73084.25
950,71512.75
951,70516.25
952,69890.5
953,72031.5
954,73487.25
955,71713.25
956,67312.5
957,63610.75
958,61454.5
959,58121.5
960,54788.5
961,52270.75
962,51111.75
963,50622.5
964,50682.5
965,50683.0
966,51289.0
967,53797.5
968,57562.0
969,60829.25
970,62727.5
971,63521.25
972,62754.5
973,61348.5
974,59734.75
975,59052.0
976,59111.75
977,61893.5
978,64175.75
979,62677.75
980,59372.25
981,56912.75
982,56067.25
983,52960.0
984,50391.5
985,48349.0
986,47386.5
987,47260.25
988,47391.0
989,47109.25
990,46967.5
991,49027.75
992,52868.25
993,56792.75
994,59174.0
995,61090.0
996,60564.75
997,58352.25
998,56749.0
999,55735.75
1000,55714.75
1001,58732.0
1002,62286.0
1003,61046.5
1004,58587.75
1005,57200.75
1006,57432.5
1007,54664.75
1008,52653.0
1009,50892.5
1010,49992.25
1011,50297.5
1012,51781.75
1013,55288.25
1014,62962.75
1015,68848.25
1016,71411.25
1017,72679.75
1018,73518.25
1019,73940.75
1020,73243.75
1021,72061.75
1022,69913.5
1023,69163.5
1024,68547.25
1025,70040.5
1026,72998.5
1027,71700.5
1028,67807.5
1029,64810.5
1030,63101.5
1031,59765.0
1032,57214.5
1033,55206.0
1034,54211.25
1035,54469.25
1036,55275.75
1037,57911.25
1038,64179.5
1039,68664.25
1040,70739.75
1041,70643.25
1042,70690.0
1043,71318.0
1044,70730.25
1045,69831.75
1046,68314.25
1047,67109.5
1048,66306.75
1049,68545.75
1050,72139.5
1051,71069.75
1052,67385.75
1053,64376.25
1054,62268.5
1055,58510.0
1056,55660.5
1057,53832.0
1058,52886.25
1059,53234.5
1060,54450.25
1061,57367.0
1062,64051.25
1063,69723.25
1064,71539.5
1065,71736.0
1066,72973.75
1067,73295.75
1068,72815.25
1069,71904.25
1070,70356.5
1071,69425.75
1072,68652.0
1073,71034.25
1074,74364.75
1075,73246.75
1076,69847.25
1077,66847.25
1078,64258.5
1079,60508.75
1080,57340.0
1081,55614.75
1082,54592.5
1083,54707.25
1084,55944.25
1085,58741.25
1086,66098.75
1087,71842.0
1088,74437.5
1089,75497.0
1090,76490.5
1091,77055.0
1092,76352.0
1093,75615.5
1094,74606.0
1095,73739.25
1096,72961.75
1097,73972.5
1098,75415.25
1099,73610.75
1100,69580.25
1101,66635.25
1102,63981.75
1103,59921.0
1104,56568.25
1105,54308.25
1106,53014.5
1107,53449.25
1108,54704.25
1109,58257.5
1110,65083.75
1111,70223.25
1112,72656.75
1113,72716.25
1114,73056.0
1115,73717.0
1116,73208.75
1117,71665.25
1118,70250.25
1119,68833.5
1120,67656.5
1121,69070.0
1122,72106.25
1123,70647.75
1124,66617.75
1125,63242.25
1126,60596.75
1127,56995.25
1128,54256.75
1129,51892.0
1130,50469.75
1131,50596.75
1132,50402.5
1133,50578.25
1134,51204.0
1135,53701.75
1136,57763.25
1137,60985.25
1138,62775.5
1139,63146.0
1140,62646.75
1141,60885.0
1142,59226.0
1143,58350.25
1144,57921.75
1145,59759.5
1146,63221.0
1147,61458.5
1148,57787.0
1149,55279.75
1150,54410.75
1151,51985.5
1152,48929.5
1153,46834.75
1154,45997.5
1155,45937.5
1156,45851.5
1157,45423.5
1158,44760.0
1159,46303.75
1160,50182.5
1161,53375.5
1162,55367.25
1163,57248.25
1164,56139.0
1165,54216.0
1166,52923.5
1167,52570.25
1168,53107.75
1169,55731.5
1170,60288.25
1171,59578.5
1172,57585.5
1173,56232.75
1174,56292.75
1175,53622.75
1176,51351.25
1177,49481.0
1178,48689.75
1179,49353.25
1180,50755.0
1181,54565.5
1182,62892.25
1183,68684.75
1184,71371.25
1185,71693.0
1186,72208.0
1187,72855.5
1188,72257.5
1189,71610.0
1190,70667.25
1191,70014.25
1192,68859.5
1193,70012.5
1194,72972.25
1195,71939.25
1196,67859.0
1197,64097.75
1198,61333.25
1199,57497.75
1200,54349.0
1201,52824.25
1202,51850.25
1203,52398.25
1204,54036.5
1205,57132.75
1206,64168.0
1207,69424.0
1208,71930.0
1209,72080.25
1210,72493.5
1211,73041.5
1212,72569.25
1213,72414.5
1214,71636.25
1215,71025.5
1216,69982.75
1217,71392.0
1218,74552.25
1219,73740.0
1220,69908.5
1221,66208.25
1222,63129.25
1223,59383.75
1224,56353.25
1225,54517.0
1226,53802.5
1227,54030.5
1228,54932.25
1229,57950.75
1230,65322.25
1231,70314.25
1232,72144.25
1233,72307.0
1234,72513.25
1235,73012.25
1236,72134.5
1237,71674.0
1238,70745.5
1239,70290.75
1240,69060.0
1241,70278.0
1242,73796.0
1243,73404.0
1244,69539.5
1245,65970.0
1246,63241.5
1247,59639.0
1248,56326.0
1249,54785.5
1250,53961.25
1251,54019.25
1252,55127.75
1253,57902.0
1254,65017.0
1255,70225.25
1256,72386.5
1257,72649.0
1258,73258.0
1259,73730.0
1260,72678.5
1261,72461.75
1262,71876.25
1263,71336.5
1264,70844.25
1265,72049.75
1266,74869.25
1267,73872.5
1268,69725.0
1269,66365.25
1270,64062.5
1271,60305.25
1272,56932.5
1273,55341.75
1274,54727.75
1275,55010.0
1276,56224.75
1277,58960.25
1278,65807.25
1279,70504.75
1280,72707.5
1281,73135.75
1282,73972.5
1283,74721.75
1284,74252.25
1285,72668.0
1286,71150.5
1287,70202.75
1288,69034.0
1289,70022.75
1290,73406.5
1291,72605.5
1292,68568.0
1293,64962.0
1294,62845.75
1295,59546.75
1296,56553.25
1297,54764.5
1298,53704.25
1299,53326.0
1300,53048.75
1301,52867.5
1302,53665.25
1303,56208.0
1304,60556.5
1305,63531.75
1306,65210.25
1307,65890.0
1308,64556.5
1309,62743.75
1310,60586.25
1311,59414.25
1312,59766.0
1313,62243.5
1314,65982.75
1315,65248.0
1316,61203.75
1317,58640.25
1318,57831.5
1319,55218.5
1320,52679.25
1321,50874.75
1322,49695.0
1323,49025.75
1324,48865.25
1325,48259.75
1326,47440.0
1327,48541.0
1328,52183.25
1329,54963.25
1330,56855.25
1331,58997.0
1332,58678.75
1333,56614.5
1334,55500.5
1335,55189.0
1336,55382.25
1337,58102.5
1338,63128.25
1339,63171.25
1340,61135.0
1341,59388.5
1342,59891.75
1343,57441.25
1344,55009.5
1345,53996.25
1346,53349.25
1347,53398.0
1348,54850.25
1349,58470.5
1350,66415.0
1351,71525.5
1352,74036.25
1353,74105.0
1354,74730.5
1355,75885.0
1356,75774.0
1357,76043.75
1358,75175.5
1359,74555.0
1360,73699.5
1361,74593.25
1362,77539.0
1363,77197.0
1364,73671.25
1365,70031.5
1366,67737.25
1367,64462.75
1368,61669.5
1369,59803.0
1370,58608.75
1371,58319.25
1372,59031.75
1373,61719.25
1374,68802.5
1375,73356.0
1376,75594.75
1377,75609.75
1378,75509.75
1379,75747.5
1380,75642.0
1381,75274.5
1382,74381.0
1383,73749.75
1384,72597.25
1385,73933.5
1386,77769.0
1387,77823.0
1388,74287.5
1389,70708.0
1390,68301.25
1391,64788.75
1392,61941.5
1393,60417.0
1394,59513.5
1395,59008.5
1396,60081.0
1397,62873.25
1398,70051.75
1399,74520.0
1400,76667.75
1401,77277.75
1402,77741.5
1403,77118.0
1404,76454.75
1405,75904.0
1406,75303.25
1407,74794.0
1408,74639.25
1409,75710.75
1410,79654.25
1411,79696.25
1412,76040.25
1413,72993.25
1414,71376.5
1415,67611.5
1416,64177.25
1417,62032.0
1418,60642.75
1419,60212.0
1420,61128.75
1421,63785.5
1422,71036.5
1423,75666.0
1424,77212.75
1425,76717.0
1426,77055.5
1427,77034.5
1428,76640.5
1429,75849.5
1430,75182.5
1431,74242.0
1432,73413.5
1433,74562.75
1434,77413.5
1435,77392.75
1436,73473.75
1437,70216.25
1438,68105.25
1439,64543.5
1440,63054.0
1441,61172.5
1442,59966.25
1443,59775.75
1444,60083.0
1445,62704.0
1446,69738.5
1447,74543.5
1448,76935.75
1449,77695.5
1450,78356.75
1451,78214.5
1452,77355.25
1453,75673.5
1454,74560.25
1455,73426.0
1456,72508.5
1457,73217.75
1458,75976.75
1459,75170.25
1460,71188.0
1461,67971.0
1462,65687.75
1463,63170.0
1464,60115.0
1465,57874.25
1466,56256.5
1467,55668.75
1468,55492.0
1469,55399.5
1470,55545.75
1471,58072.5
1472,61909.5
1473,64650.5
1474,66455.0
1475,66502.0
1476,64734.0
1477,62763.0
1478,61320.5
1479,61134.0
1480,60779.25
1481,62367.0
1482,65941.0
1483,65825.5
1484,62231.75
1485,59831.75
1486,59074.5
1487,56237.25
1488,53562.75
1489,51352.75
1490,49991.0
1491,49377.25
1492,49095.0
1493,48397.25
1494,47429.25
1495,49104.75
1496,52587.75
1497,55655.75
1498,57738.75
1499,59209.75
1500,57773.25
1501,55954.5
1502,54974.75
1503,54363.75
1504,55067.25
1505,57596.0
1506,62906.75
1507,63169.0
1508,60584.0
1509,59041.0
1510,58793.5
1511,55601.0
1512,52093.25
1513,50986.0
1514,50495.0
1515,50803.0
1516,52616.75
1517,56588.25
1518,64381.0
1519,69391.25
1520,71701.0
1521,71860.25
1522,72099.75
1523,72259.0
1524,71469.5
1525,70754.0
1526,69354.25
1527,67763.5
1528,66292.75
1529,67131.5
1530,70830.0
1531,71060.25
1532,66973.25
1533,63672.75
1534,61077.25
1535,56992.75
1536,54542.5
1537,52634.5
1538,51981.0
1539,52533.5
1540,54020.75
1541,57301.0
1542,64215.25
1543,68602.0
1544,70456.75
1545,70784.0
1546,71163.5
1547,71572.5
1548,71071.25
1549,70030.0
1550,69225.75
1551,68778.5
1552,68104.75
1553,69082.5
1554,72227.25
1555,72161.5
1556,67737.25
1557,64149.25
1558,61242.5
1559,57194.5
1560,53718.25
1561,51737.5
1562,50765.25
1563,51281.25
1564,52898.25
1565,56299.75
1566,63632.75
1567,68519.5
1568,71279.5
1569,71419.75
1570,71915.5
1571,73102.25
1572,73275.5
1573,71998.0
1574,70641.0
1575,69783.5
1576,68891.25
1577,69817.75
1578,72110.75
1579,71873.75
1580,67566.5
1581,64059.5
1582,61570.75
1583,57490.75
1584,53847.75
1585,51695.5
1586,50854.25
1587,51529.0
1588,53431.0
1589,56862.0
1590,64568.75
1591,69151.25
1592,71533.0
1593,71886.25
1594,72822.25
1595,73570.0
1596,73150.5
1597,72387.0
1598,71119.25
1599,70837.75
1600,69691.25
1601,70293.75
1602,73196.25
1603,73704.0
1604,69804.75
1605,66289.0
1606,63833.25
1607,59438.5
1608,55811.25
1609,53745.0
1610,52944.25
1611,53654.0
1612,55383.75
1613,59308.25
1614,66316.0
1615,70902.75
1616,73635.0
1617,73427.25
1618,74278.5
1619,74229.5
1620,72908.5
1621,71092.5
1622,69257.0
1623,68068.5
1624,67210.5
1625,67557.0
1626,69846.25
1627,69176.25
1628,64540.75
1629,60995.25
1630,58512.75
1631,54922.0
1632,51413.75
1633,49075.0
1634,47881.5
1635,47671.25
1636,47981.25
1637,48329.0
1638,49388.0
1639,52535.5
1640,56466.5
1641,59349.25
1642,60849.75
1643,61296.5
1644,60702.0
1645,58762.5
1646,56943.0
1647,56240.0
1648,56360.5
1649,57686.0
1650,60938.0
1651,61000.5
1652,57008.5
1653,54005.75
1654,52373.0
1655,48814.0
1656,45928.5
1657,43756.5
1658,42256.75
1659,41933.25
1660,42183.25
1661,42180.5
1662,41799.75
1663,43754.25
1664,47598.0
1665,50741.25
1666,52786.0
1667,54800.5
1668,54858.5
1669,52747.75
1670,51205.5
1671,50588.0
1672,50219.5
1673,52456.0
1674,57106.25
1675,58421.0
1676,55447.75
1677,53860.25
1678,52945.5
1679,49366.5
1680,46492.75
1681,44728.5
1682,44126.5
1683,44934.0
1684,47181.0
1685,51387.25
1686,59749.5
1687,65397.0
1688,68578.0
1689,69787.75
1690,70790.25
1691,71470.5
1692,70656.0
1693,69982.25
1694,68471.5
1695,67603.25
1696,66390.25
1697,67259.25
1698,69832.75
1699,70390.5
1700,66052.0
1701,62605.75
1702,59793.0
1703,55487.5
1704,52598.75
1705,50842.0
1706,49812.5
1707,50357.75
1708,52215.25
1709,56108.5
1710,63451.0
1711,68606.5
1712,71285.75
1713,72151.25
1714,73375.25
1715,73842.0
1716,73057.25
1717,72382.25
1718,71523.25
1719,70678.5
1720,69499.5
1721,70047.0
1722,72203.75
1723,72231.25
1724,67770.75
1725,63989.0
1726,60684.0
1727,56169.5
1728,52839.75
1729,50720.5
1730,50152.25
1731,50697.5
1732,51875.25
1733,55087.25
1734,62267.25
1735,67445.25
1736,69688.25
1737,69568.75
1738,70237.5
1739,70759.25
1740,69887.5
1741,69115.0
1742,67766.75
1743,67048.25
1744,66206.75
1745,67251.75
1746,69614.25
1747,70880.25
1748,67059.75
1749,63211.75
1750,60761.5
1751,56982.25
1752,53428.25
1753,51853.5
1754,51499.75
1755,52312.25
1756,53991.75
1757,57760.25
1758,65114.25
1759,70278.25
1760,72769.25
1761,73012.25
1762,73271.25
1763,73939.75
1764,72820.75
1765,72348.0
1766,71922.0
1767,71441.0
1768,70359.5
1769,70999.25
1770,73796.25
1771,74256.25
1772,70016.25
1773,66176.5
1774,62968.5
1775,58270.75
1776,54764.0
1777,52751.0
1778,51898.25
1779,52346.0
1780,54085.75
1781,57540.25
1782,64543.75
1783,69670.0
1784,72759.5
1785,73112.75
1786,73649.5
1787,74281.0
1788,73779.0
1789,72342.0
1790,70736.25
1791,69776.25
1792,68966.0
1793,69519.5
1794,71640.25
1795,72218.5
1796,67741.25
1797,64067.5
1798,62005.75
1799,58423.25
1800,55188.25
1801,53591.25
1802,52753.75
1803,52668.5
1804,53261.0
1805,53255.75
1806,53754.75
1807,56807.25
1808,61222.5
1809,64699.0
1810,66232.75
1811,67014.5
1812,66065.75
1813,64381.5
1814,62996.25
1815,62261.75
1816,62163.0
1817,63133.25
1818,65706.5
1819,65846.25
1820,62384.75
1821,59837.25
1822,59018.0
1823,56508.25
1824,54157.25
1825,52410.0
1826,51341.5
1827,50729.25
1828,50386.25
1829,50054.0
1830,49169.75
1831,51318.25
1832,55245.0
1833,58636.25
1834,61018.0
1835,62986.75
1836,62119.0
1837,59855.25
1838,58159.5
1839,57402.75
1840,57533.25
1841,58796.25
1842,61668.25
1843,62979.25
1844,60312.0
1845,58212.25
1846,58292.75
1847,55682.25
1848,53182.5
1849,51800.25
1850,51072.5
1851,51344.0
1852,52654.75
1853,56333.5
1854,63514.75
1855,68976.5
1856,71479.5
1857,72095.75
1858,73147.0
1859,73451.25
1860,72518.25
1861,71608.0
1862,70776.5
1863,70137.0
1864,68570.75
1865,69321.25
1866,71338.25
1867,73020.5
1868,69335.5
