,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other
25,0.03157278861229638,18.596371912415208,0.01262911604775976,0.0006314568495868249,8.733033058198313,0.0006314568495868249,0.42938991268276516
26,2.325003829879594e-10,2.3287732499206413e-10,2.328420678628231e-10,2.383242154730802e-10,2.3283888462476367e-10,2.383242154730802e-10,2.3255708621330647e-10
27,2.7813407244731133e-10,2.78490811203054e-10,2.7881264523520373e-10,2.871247347903935e-10,2.7842402037350645e-10,2.871247347903935e-10,2.7806199390121305e-10
28,2.123694855769972e-10,2.1275316730515307e-10,2.1259569096232073e-10,2.170195391351816e-10,2.127054167894598e-10,2.170195391351816e-10,2.1245638538693672e-10
29,2.900902195335172e-10,2.9040909485631566e-10,2.908696586605795e-10,3.000068158344371e-10,2.903272627905955e-10,3.000068158344371e-10,2.8996973061932193e-10
30,6.262728080068149e-10,6.230753593179862e-10,6.298673014976291e-10,6.719400803914851e-10,6.228153471590365e-10,6.719400803914851e-10,6.223557698689104e-10
31,0.08187849630348457,47.800665922428045,0.03275139874895597,0.0016375703127181687,18.127898998564632,0.0016375703127181687,1.0316690490534393
32,1.0987079587277191e-09,1.0844415859912564e-09,1.1130268199192123e-09,1.2355276128200424e-09,1.0841450232977188e-09,1.2355276128200424e-09,1.0847715602063238e-09
33,0.20658072760037596,121.34551930505816,0.08263229112961092,0.0041316147000427595,64.53581925594357,0.5371098915225132,2.5616010205456368
34,0.2852537758171914,166.9305095451584,0.11410151039164307,0.005705075623056123,93.2209339018895,1.3692181235124046,3.4800960637608727
35,0.27626611851301375,161.17365347557993,0.1105064474720802,0.005525322480487192,95.42231729600941,1.491837039479953,3.3704466446105874
36,0.199199259214554,116.7706056611154,0.07967970377860424,0.003983985337914866,73.58420629691165,0.003983985337914866,2.430230960686477
37,0.4317088978659938,253.6721483442053,0.17268355918918404,0.008634178027511511,139.2692904286242,0.008634178027511511,5.1805067736071875
38,0.3924688370548901,230.92866367700196,0.1569875348690222,0.007849376818382292,124.33412755420729,0.007849376818382292,4.788119811190854
39,0.5175403116922442,304.6242274270765,0.2070161247125879,0.010350806292300773,158.26382729734433,0.010350806292300773,6.31399180197874
40,0.6144519923820849,359.33152511576617,0.2457807969828976,0.012289039896820926,196.37885674933682,0.012289039896820926,7.496314306499818
41,0.6466949237475837,378.5752083339879,0.2586779695275994,0.01293389852166658,211.46924004992547,0.01293389852166658,7.760339084446886
42,0.6240785118881896,364.83629802101945,0.24963140478487608,0.01248157028618034,205.19701469265112,0.01248157028618034,7.738573546850711
43,0.6624689744225453,387.5443500100222,0.26498758979690445,0.013249379534048365,213.844984928628,0.013249379534048365,8.612096666934914
44,0.5688991806164587,334.3989383345734,0.22755967227905272,0.011377983665471127,187.7367295856128,1.1377983611787794,7.623249019589024
45,0.8580574200634798,487.3766145756869,0.34322296804692853,0.01716114843644635,233.9064526995474,3.6038411641516768,11.497969428405192
46,0.7736106041318435,402.43223624869887,0.3094442416766216,0.015472212121662207,251.88761269239544,3.4038866580446725,10.211659974054294
47,0.5722010668754846,280.4929629560202,0.22888042678247586,0.01144402139034297,210.9133132305092,6.523092161820566,7.553054082099515
48,0.5026859912471379,246.81882167231527,0.20107439653559983,0.010053719885140127,175.43741092392412,8.74673624669521,6.43438068724028
49,0.4996524352318537,243.33073592794784,0.19986097412970918,0.009993048765202971,154.79232441578887,0.009993048765202971,6.395551170240258
50,0.5085403938804056,248.06600410537163,0.20341615758848394,0.010170807937106821,126.93168229748913,0.010170807937106821,6.509317040954421
51,0.47274306090171214,231.26590536130576,0.1890972243997568,0.009454861282078416,97.00687608372543,0.009454861282078416,5.95656256660578
52,0.5545406710472635,269.72858237041993,0.22181626845221494,0.011090813475472682,106.02817629366923,0.011090813475472682,6.876304320352741
53,0.5616883057486143,274.66558148430346,0.22467532233233165,0.01123376616880107,116.26947927866321,0.01123376616880107,6.9649349906575395
