,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Onshore
10,1.6502609918102357e-10,1.6508823846245685e-10,1.650604688900699e-10,1.6446307979864784e-10,1.6446307979864784e-10,1.650877318568715e-10,1.6509638558353198e-10,1.650073783813574e-10,1.6501836218744485e-10,1.6446307979864784e-10
11,1.7792671656407526e-10,1.7799755217054804e-10,1.7796631537420119e-10,1.7728257819153973e-10,1.7728257819153973e-10,1.7799828234654968e-10,1.7800698328208918e-10,1.779119041161275e-10,1.779119041161275e-10,1.777446124274495e-10
12,1.4182633068034096e-10,1.418749636708246e-10,1.4185242360398737e-10,1.4140357710520645e-10,1.4140357710520645e-10,1.41878222128221e-10,1.4188088788370882e-10,1.4180705887820855e-10,1.4182066242537325e-10,1.4140357710520645e-10
13,1.350408338118428e-10,1.3508549004213696e-10,1.3506576057904748e-10,1.3465665756496312e-10,1.3465665756496312e-10,1.3508972629954315e-10,1.350910750176653e-10,1.350080316539546e-10,1.3503846857048155e-10,1.3465665756496312e-10
14,1.5441615605217716e-10,1.5447157446224086e-10,1.5444758102877403e-10,1.5391875509037337e-10,1.5391875509037337e-10,1.544777687029577e-10,1.5447875891782414e-10,1.5433047550581326e-10,1.5441615605217716e-10,1.5391875509037337e-10
15,1.6892130518162404e-10,1.6898517064052466e-10,1.6895806558306924e-10,1.6833423397327005e-10,1.6833423397327005e-10,1.6899319365830345e-10,1.6899379646758085e-10,1.6887001791046747e-10,1.6891320608998695e-10,1.6833423397327005e-10
16,1.98069394789204e-10,1.9815601296193223e-10,1.9812006997113454e-10,1.9729927025554958e-10,1.9729927025554958e-10,1.9816753522910693e-10,1.981678783726541e-10,1.9729927025554958e-10,1.9805095621509313e-10,1.9729927025554958e-10
17,1.4726243483954863e-10,1.4731456234160193e-10,1.4728991519956492e-10,1.468076688695878e-10,1.468076688695878e-10,1.4732221267500262e-10,1.4732165901193898e-10,1.468076688695878e-10,1.4724756444693928e-10,1.471316122446969e-10
18,1.344347198365013e-10,1.3447920786780386e-10,1.3445792212147002e-10,1.3405395420573705e-10,1.3405395420573705e-10,1.3448548798036015e-10,1.3448503888265368e-10,1.3405395420573705e-10,1.3443676206352968e-10,1.343240865996758e-10
19,1.1844669228239043e-10,1.1848235375940303e-10,1.184663699053884e-10,1.1815004507086316e-10,1.184776630203429e-10,1.184872573413327e-10,1.1848684097910842e-10,1.1815004507086316e-10,1.184517875206584e-10,1.1815004507086316e-10
