,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2369,1.5264962009460937e-09,1.6143804771238595e-09,1.5285271429886788e-09,1.5282413578689267e-09,1.5269123657529504e-09,1.5281808711886758e-09,1.5286123785059423e-09,1.5286011317849265e-09,1.5279166972476661e-09,1.525888922463854e-09,1.5280699620202417e-09,1.526924004906435e-09,1.5287456853291892e-09
2370,1.9121082666539215e-09,2.060411720024991e-09,1.914815773926402e-09,1.914364206225143e-09,1.9125973983803136e-09,1.914298862534314e-09,1.9148648622363257e-09,1.914854755669185e-09,1.915991511045367e-09,1.911702284909377e-09,1.913697025464086e-09,1.912612314304043e-09,1.9150337103731097e-09
2371,1.5460995781938214e-09,1.6367484056443654e-09,1.5482786832214928e-09,1.547884749839822e-09,1.5465122980539209e-09,1.5478279902581084e-09,1.5483067838044854e-09,1.5482523471262391e-09,1.5476069645307953e-09,1.545513521668231e-09,1.54661638479946e-09,1.5465242678334998e-09,1.5483784184693366e-09
2372,1.1634120735667198e-09,1.2074591844624342e-09,1.1649599274550556e-09,1.1646989074416948e-09,1.1637168268688335e-09,1.164631790725063e-09,1.1650217042078838e-09,1.1649309219068796e-09,1.1634065573050288e-09,1.1629184277942983e-09,1.1634212150375253e-09,1.1637351992515915e-09,1.165015898276959e-09
2373,9.99565290911422e-10,1.0292673712520902e-09,1.0007869488006734e-09,1.0005690552919733e-09,9.998071141333738e-10,1.0005449032837042e-09,1.0007896743331474e-09,1.000786652047339e-09,9.9902491088202e-10,9.99133858199264e-10,9.995130807045722e-10,9.998251651279989e-10,1.0008671035904908e-09
2374,7.900789172593546e-10,8.065193388828398e-10,7.90951903263435e-10,7.907824285806812e-10,7.902656253686776e-10,7.908032630978206e-10,7.909596527359518e-10,7.909775584767936e-10,7.891138370190079e-10,7.897894789498712e-10,7.900449188321573e-10,7.902798483606461e-10,7.910416216030818e-10
2375,2.9570618946305534e-10,2.9658364162257713e-10,2.959270001996137e-10,2.958845942538652e-10,2.9575427323882335e-10,2.958962309489459e-10,2.9592868918322903e-10,2.9593287879305274e-10,2.9528990727976355e-10,2.9561463538224724e-10,2.9565328403693425e-10,2.9576308497662327e-10,2.9594632528927216e-10
2376,2.1306357154068496e-10,2.131296625609789e-10,2.131921560598189e-10,2.131681193293814e-10,2.130925459328637e-10,2.1317584528798984e-10,2.1319314973178745e-10,2.1319594195505105e-10,2.1279322059407297e-10,2.1300243433044732e-10,2.1302764242163976e-10,2.1309945689030495e-10,2.1320349663375016e-10
2377,1.6906820308676462e-10,1.6894049230804086e-10,1.6915536004272044e-10,1.691393788254292e-10,1.6909037930618295e-10,1.6914543801374283e-10,1.6915434904479325e-10,1.6915825412874022e-10,1.6887170770936237e-10,1.6902724222907504e-10,1.6904540142647972e-10,1.690948054822987e-10,1.6916330060001188e-10
2378,1.5291886069530301e-10,1.527474810787629e-10,1.5299051907028905e-10,1.5297838556468866e-10,1.5293490697115552e-10,1.52982798129887e-10,1.5298988956977492e-10,1.529931161941378e-10,1.527469244475765e-10,1.528833103263135e-10,1.528774610237835e-10,1.5294141916351734e-10,1.5299710290867608e-10
2379,1.5509926941447428e-10,1.549331828893974e-10,1.5517096318411403e-10,1.551598967524255e-10,1.5511522974438943e-10,1.5516320928532064e-10,1.5517101869025192e-10,1.5517338608911777e-10,1.5492398496195795e-10,1.550618322138277e-10,1.550265039966573e-10,1.5512130240913063e-10,1.5517688114321307e-10
2380,2.2360582396503423e-10,2.2374179955577304e-10,2.2374206912901626e-10,2.2371911362141192e-10,2.236347420783128e-10,2.23725392867734e-10,2.2374210978978878e-10,2.2374675991530872e-10,2.2331870916368137e-10,2.2353862299266304e-10,2.2340204702629056e-10,2.2364399567836108e-10,2.2375373876599034e-10
2381,1.1332605284745474e-09,1.1743808864064117e-09,1.1347101730487915e-09,1.1343813742628125e-09,1.1334945183815527e-09,1.134450424869526e-09,1.1347393330665362e-09,1.1347678365545608e-09,1.1330180882288428e-09,1.1326876852624562e-09,1.1324131129481518e-09,1.1335944436101433e-09,1.134891337605879e-09
2382,1.0332773259840975,0.0005218624037356939,23.73406696695161,9.101190150107008,1.5029488357955019,9.790041697833058,28.70214782630772,26.3955388558924,0.06262287240792676,0.4435786525567036,0.1409014573560187,1.7430031630329257,46.132179412702975
2383,0.6869067954039729,0.00034518780054513653,18.65348888311897,7.62846233399371,1.0010199500559034,6.617087011860141,24.093514506606564,17.45916853684567,0.04487331454922822,0.3106613684088001,0.6316781088719176,1.142543459295252,30.931516257957508
2384,0.26520055447103713,0.00013673186777179175,7.034649327724595,3.5597020777356994,0.3854977054915508,2.6684095494204327,10.787100233022564,6.914352176662365,0.01913820076464808,0.12849924654272074,0.8817234535685397,0.45248134640977433,12.025614083733327
2385,0.7023683515231217,0.0003477155334094791,18.188558483232825,9.47849559201056,1.0222588848501701,6.769857271745528,25.66426116432143,17.59050226874574,0.045201929879303986,0.32684468197113137,3.8317322645260696,1.1404792993408726,31.373611770064738
2386,3.528843031169655e-08,9.423260395644534e-08,3.4633018753787354e-08,3.4677475249929025e-08,3.512937163821674e-08,3.471176956199454e-08,3.4616026890613916e-08,3.4632780181905685e-08,3.8795864169511603e-08,3.584580836556426e-08,3.479066673897038e-08,3.510121066532594e-08,3.460935918694046e-08
2387,1.250227886123023e-08,1.969281513557827e-08,1.2441005857692106e-08,1.2444922897221778e-08,1.2480859866962172e-08,1.2447887031606221e-08,1.2440463644520243e-08,1.2440931925050439e-08,1.2905506347938402e-08,1.2555927072265685e-08,1.2454450773144455e-08,1.2478679636902048e-08,1.2440362953408322e-08
2388,1.042925506901977e-08,1.5321410110834804e-08,1.0391436560852672e-08,1.0393106320998852e-08,1.0416155247633059e-08,1.0394776686869065e-08,1.0391599347083548e-08,1.0391437861163641e-08,1.0688879419149193e-08,1.04620749774665e-08,1.0399516295037118e-08,1.0415466189911325e-08,1.0391985702224012e-08
2389,6.661124473215009e-09,8.522391269058723e-09,6.651274743955264e-09,6.65031188941119e-09,6.6569357396883366e-09,6.6498913913715054e-09,6.652051208321333e-09,6.651382627844478e-09,6.756240166163606e-09,6.669695212842477e-09,6.650285851583048e-09,6.656774783678746e-09,6.652462479692202e-09
2390,6.49101257212659e-09,8.250524354822015e-09,6.481637073543263e-09,6.480898889781017e-09,6.486787996941181e-09,6.480469186648325e-09,6.482376845826149e-09,6.481985572085083e-09,6.575097146257257e-09,6.4987457771235385e-09,6.480980210725489e-09,6.486592793824011e-09,6.482990212687521e-09
2391,1.161755272930734e-08,1.7771629775783434e-08,1.1567729671164884e-08,1.1570586148856867e-08,1.1599304187490148e-08,1.1573016522516625e-08,1.1567284008637921e-08,1.1567426173359253e-08,1.192967897397412e-08,1.1659869971060939e-08,1.1583944417498253e-08,1.1598155033372108e-08,1.1567261024466395e-08
2392,8.608322723529492e-09,1.185280851910549e-08,8.586434435478664e-09,8.586556405891584e-09,8.601004901751527e-09,8.587061533089575e-09,8.586750116336034e-09,8.58658473599599e-09,8.77534614408746e-09,8.625823208237128e-09,8.593485126372434e-09,8.600569342046142e-09,8.587481583640714e-09
2393,7.138549293015908e-09,9.302772027348359e-09,7.126609392444188e-09,7.125901394959352e-09,7.13445344998778e-09,7.125723502303079e-09,7.126927725114097e-09,7.126777515111784e-09,7.242783756742942e-09,7.149340785288271e-09,7.130240482634995e-09,7.1341592018003824e-09,7.1276751592279285e-09
