,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
25,3.8374502836387524e-10,3.8191371098571573e-10,3.8191371098571573e-10,3.8382435570195466e-10,3.837975348604134e-10,3.8373092720624637e-10,3.8191371098571573e-10,3.8191371098571573e-10,3.8191371098571573e-10,3.8191371098571573e-10,3.837990226989183e-10,3.8378423428449543e-10,3.8191371098571573e-10,3.838316127425304e-10,3.8364025774629684e-10,3.8367047006432446e-10,3.8343036406951783e-10,3.837398705004056e-10,3.8191371098571573e-10,3.8383551503419334e-10
26,3.3404547474344446e-10,3.3240723149912833e-10,3.3240723149912833e-10,3.341072793707001e-10,3.340875009024173e-10,3.340338702146509e-10,3.3240723149912833e-10,3.3240723149912833e-10,3.3240723149912833e-10,3.3240723149912833e-10,3.340879520259785e-10,3.3407075082154803e-10,3.3240723149912833e-10,3.341129646363967e-10,3.3396120543306487e-10,3.3398537856105904e-10,3.3380187083531147e-10,3.340405513896237e-10,3.3240723149912833e-10,3.3411569554667005e-10
27,2.9242702409029724e-10,2.90983108217397e-10,2.90983108217397e-10,2.9247589574250154e-10,2.924605248201699e-10,2.9241818597547403e-10,2.90983108217397e-10,2.90983108217397e-10,2.90983108217397e-10,2.90983108217397e-10,2.92461056692325e-10,2.9244631273351187e-10,2.90983108217397e-10,2.924801962286597e-10,2.9235982225197816e-10,2.9237848210243093e-10,2.9223740378546656e-10,2.9242360456225224e-10,2.90983108217397e-10,2.924818893531048e-10
28,2.5806952304042337e-10,2.568125749439011e-10,2.568125749439011e-10,2.581076897802209e-10,2.5809571059587184e-10,2.580616348195493e-10,2.568125749439011e-10,2.568125749439011e-10,2.568125749439011e-10,2.568125749439011e-10,2.5809600961777553e-10,2.580801554206327e-10,2.568125749439011e-10,2.5811106665715414e-10,2.5801449821192607e-10,2.580286515642558e-10,2.5791836851294066e-10,2.5806666000975177e-10,2.568125749439011e-10,2.581124185373175e-10
29,2.9759621086496184e-10,2.961250715948473e-10,2.961250715948473e-10,2.976458578642377e-10,2.976295850828637e-10,2.9758529021886445e-10,2.961250715948473e-10,2.961250715948473e-10,2.961250715948473e-10,2.961250715948473e-10,2.976300189184477e-10,2.976167374966446e-10,2.961250715948473e-10,2.9765005456805046e-10,2.9752690167169536e-10,2.975444448141863e-10,2.9740919780745673e-10,2.975918571456549e-10,2.961250715948473e-10,2.9765211062494963e-10
30,7.758540711853954e-10,7.744442142775834e-10,7.744442142775834e-10,7.76100854455522e-10,7.760028855545685e-10,7.75799241964217e-10,7.744442142775834e-10,7.744442142775834e-10,7.744442142775834e-10,7.744442142775834e-10,7.76007874115922e-10,7.759717698864326e-10,7.744442142775834e-10,7.761246798142171e-10,7.754439330532162e-10,7.755607373240175e-10,7.749685114419463e-10,7.758307084094229e-10,7.744442142775834e-10,7.761403351959451e-10
31,1.516345907233775e-09,1.5373253076619774e-09,1.5373253076619774e-09,1.5171897798389108e-09,1.5169232084152872e-09,1.5162147518985614e-09,1.5373253076619774e-09,1.5373253076619774e-09,1.5373253076619774e-09,1.5373253076619774e-09,1.516921608830902e-09,1.5169169972566899e-09,1.5373253076619774e-09,1.5172497338419274e-09,1.5150315268893413e-09,1.5155275323865364e-09,1.5135283010983367e-09,1.516269963880315e-09,1.5373253076619774e-09,1.5172966835793878e-09
32,2.060984206120173e-09,2.1134911183477096e-09,2.1134911183477096e-09,2.062439027516775e-09,2.06199203821356e-09,2.0610837154283623e-09,2.1134911183477096e-09,2.1134911183477096e-09,2.1134911183477096e-09,2.1134911183477096e-09,2.061970309007725e-09,2.062055036936372e-09,2.1134911183477096e-09,2.062521828866699e-09,2.0588070299358733e-09,2.059661949566821e-09,2.058075036786717e-09,2.060860847178974e-09,2.1134911183477096e-09,2.0625896473851405e-09
33,1.759864300662423e-09,1.793635054177318e-09,1.793635054177318e-09,1.7609087087725174e-09,1.760615024988226e-09,1.7599773358939425e-09,1.793635054177318e-09,1.793635054177318e-09,1.793635054177318e-09,1.793635054177318e-09,1.7605986326439197e-09,1.7607313677411576e-09,1.793635054177318e-09,1.7609882985607897e-09,1.7581656375715573e-09,1.7587752705900108e-09,1.7601693703793852e-09,1.7598042487278344e-09,1.793635054177318e-09,1.7610449718382517e-09
34,1.6542477025454985e-09,1.682195542306562e-09,1.682195542306562e-09,1.6551633558842524e-09,1.6549795274687663e-09,1.6543693291001673e-09,1.682195542306562e-09,1.682195542306562e-09,1.682195542306562e-09,1.682195542306562e-09,1.6549017408774865e-09,1.655048975803501e-09,1.682195542306562e-09,1.655254698213691e-09,1.6528313602118226e-09,1.6533073296507013e-09,1.654943548698054e-09,1.654185652872833e-09,1.682195542306562e-09,1.6553079156266043e-09
