,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2559,118.00222467742027,431.4280404154603,0.0025884785544189374,103.40968194939282,281.2704521843524,16.896287833649982,0.46592597712428896,9.965638937101014,51.32951171650361,1.8701750999549485,195.66949643874415,7.668365026480157,4.193333787033853,445.65172507896546,10.483334466255004,49.99644572893214,37.64293616449551
2560,123.7218826807094,453.2121477388597,0.0027172222484616137,118.36216350021131,369.23642085759525,17.193218309895748,0.4890998500146752,35.46653211919886,53.72625982158043,1.3654037464462734,205.31324779726572,8.049768351783284,4.401898643383139,314.9531306530826,10.96398828642689,53.780604249266084,26.723872315268366
2561,101.650972954349,370.9081749818423,0.00221884904388005,100.70796256405906,335.40660734739737,14.067496176183889,0.39939263692089244,51.5937625897814,43.88881298911819,1.1538009491529102,167.56739923561614,6.739750731636302,3.6555520433935147,123.73405744696237,8.80882647033146,44.08296218711907,13.390747543152251
2562,133.20233721510618,487.37893019318767,0.0029140751251255288,134.03284839659992,446.81501564443914,18.46066082451838,0.5463889359800297,114.79995787779674,57.31255670966174,1.6537371779721888,220.08546309663905,8.87335630832679,4.837363373698885,39.69697743903051,11.445026896636568,54.93758613802163,13.1934714892551
2563,105.79045218095834,386.65840448529895,0.0023140044589890297,107.42760961339286,353.73592057015816,14.717061867117724,0.45701568000963827,141.43767514442666,45.5338026536154,1.44046714118969,174.90973487610916,7.306465856698179,3.91645081992527,0.7925461785298042,8.960978314918345,40.228949771839886,19.235153579949515
2564,133.68376012412642,487.30405409569454,0.00292332816039744,136.23436324478277,443.92187608934506,15.712884554972376,0.6138987461571632,95.42471331428138,57.77225693141182,1.6370633217790453,220.7769904647039,9.310797638940787,5.028123058125014,0.00292332816039744,11.55445138691078,47.525994538402635,42.629421212214226
2565,142.9549428436796,523.1051254652723,0.003141867619972925,136.8204477689355,466.95996439706397,8.67155257757787,0.6833560461878346,35.652334372387486,62.11470813271135,1.2881654197544345,237.31305978721434,9.896880659088906,5.404011026881736,0.003141867619972925,12.331827487732609,55.3518396828334,70.99048205647682
2566,79.08751501009206,291.0864172472208,0.0017465373427040184,58.4871232576817,234.7737312720546,3.9821020102578735,0.38423791445685,10.125542280636186,34.655639962926244,0.7029807287688529,132.22587186190069,5.6369448407294565,3.0171408874762506,0.0017465373427040184,6.7328961611736435,36.20132429534535,53.86753562011279
2567,1.0368439138421325e-09,1.0370766519612817e-09,1.0680673058298316e-09,1.0367476264166848e-09,1.0370196360078165e-09,1.0355986819550496e-09,1.0345345652072097e-09,1.0358970245107053e-09,1.0366066260920376e-09,1.0346303019531888e-09,1.0369631606932536e-09,1.0358190345799368e-09,1.0354547537316823e-09,1.0680673058298316e-09,1.0359068515979056e-09,1.0366504592665817e-09,1.0367896408464272e-09
2568,5.067296733550929e-10,5.068006699993588e-10,5.116996519704957e-10,5.066978225356412e-10,5.067746251142342e-10,5.062554479307093e-10,5.056012944332622e-10,5.062834181380011e-10,5.06647885506532e-10,5.058454935371784e-10,5.067674522804173e-10,5.063413585346785e-10,5.062002789437608e-10,5.116996519704957e-10,5.063712470276305e-10,5.066735259769538e-10,5.067204864093938e-10
2569,3.066819659537103e-10,3.0671023420150186e-10,3.0746995160737153e-10,3.066688854895495e-10,3.066990522470939e-10,3.0645629123382964e-10,3.061230897555562e-10,3.0645697491366764e-10,3.06647779338641e-10,3.0622451076393173e-10,3.0669715173618604e-10,3.065012996216539e-10,3.0642656451790843e-10,3.0746995160737153e-10,3.06514765644011e-10,3.0666351157685024e-10,3.0667898588680953e-10
2570,3.306705218141087e-10,3.3070255490824335e-10,3.3181187138122347e-10,3.3065583812749703e-10,3.3068810688100247e-10,3.304186739174313e-10,3.300519314915504e-10,3.3042764394112343e-10,3.306317620344074e-10,3.301744157949142e-10,3.306876145009227e-10,3.304682833854147e-10,3.3038617879164885e-10,3.3181187138122347e-10,3.304734031540391e-10,3.30650191592214e-10,3.306630890579158e-10
2571,7.92435937710455e-10,7.925950606491836e-10,8.07987993160247e-10,7.923727606027484e-10,7.925307781105571e-10,7.915452903093826e-10,7.904943935579798e-10,7.915961141975353e-10,7.922670296103061e-10,7.907894925465999e-10,7.925182563351574e-10,7.917037951163617e-10,7.914462768860841e-10,8.07987993160247e-10,7.917603709177188e-10,7.923428598417724e-10,7.923694155217208e-10
2572,46.427503485917526,172.4724835367845,0.0010255713285136543,35.14111789197264,113.13563169656138,2.315221763101814,0.235880846092347,2.9536383948359672,20.403692995562796,0.4281750122755954,77.727865896385,3.451039304701103,1.7921816310787426,0.0010255713285136543,3.9689515922926093,28.826177474460977,29.223585417909753
2573,102.68745177326919,380.16601963399256,0.0022583571451281264,100.55895115098312,321.6689508077173,5.103884782307076,0.5194219035359421,45.58491783745682,44.9299945690611,1.6316622817600954,171.50520796702182,7.921184014457859,4.098916318734229,6.1822498190622035,8.643857965791108,62.01445844979758,55.43699631461649
2574,77.20389678003463,283.9730625087782,0.00168853325831683,82.19350834941471,254.0058437854033,4.719446477304022,0.3841409935863502,83.15597149477739,33.285183778485695,1.177750955551653,128.42973129308655,5.918304079422622,3.085791927938094,54.35806106642618,6.505068891727131,40.35591083323339,37.595161284693106
2575,111.92034570747416,409.5263034139496,0.002441144881988309,119.40855467098991,362.3389915101977,8.50128368975677,0.5248459429622836,110.5166879555519,48.18818091041196,2.197029525687705,185.96024069147836,8.519592269129673,4.442881928763775,223.37077121010228,9.441124097565648,48.59707251640671,40.80372056334257
2576,148.22469237544416,546.4456349150645,0.0032592980039649177,154.8003246521972,480.4856060670896,8.743064973388597,0.63556297169076,61.68220115934259,64.22445304329173,3.3000385039073965,247.55992544346904,11.334206316644531,5.931921063252407,509.0207538157749,12.474960367134555,57.46141117252961,34.30410394758264
2577,125.85182380336208,465.19794710906234,0.002771304426252023,127.01577130673812,400.0861695094917,6.277002608320568,0.5126911630286223,38.38948283539197,54.44225881945309,2.7020209908080774,210.41122427184055,9.387790876272154,4.960633408073774,580.6158129349026,10.55173837964823,49.02436032159561,23.798569489499492
