,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Wind Onshore
4288,6285.257510231889,84.7814289210595,1027.393286048161,9833.784131569699,166.31636910715486,245.3931706925346,132.4544490989729,52.76078519777276,1907.4880619507717
4289,6153.168809557082,87.1126537228442,1053.0582261683842,9822.942734618415,165.5264344663213,185.429824384427,133.8154139350963,52.87026843070324,1597.0349651989432
4290,6267.362438003391,87.158247624182,1103.0568109520582,10048.392923594221,165.6283083396236,119.56507516040628,133.90303971423035,52.906601070831684,1501.3382294643372
4291,6314.976692035987,86.19929392293247,1061.7749398596343,9878.881725093013,168.15197590190908,69.12066419197265,130.87194447385923,53.02060021529263,1418.584488705386
4292,6261.672477128982,88.17283802401009,1002.101731487936,9178.098707389303,167.6378308837421,49.11780416862328,131.54491077193032,52.83976300200802,1542.30037009996
4293,6073.327985742958,88.05751727884912,1055.751161967731,8365.41313325562,167.38057691376594,45.744344024625725,124.75008802055866,51.65258911304971,1560.5259364680219
4294,5861.277276063867,91.66018355153473,992.9744607890485,7976.85228827697,168.04713316742448,16.211822629409355,110.9619869121387,51.882436097067604,1511.214265242694
4295,5241.988664279371,94.19675383388547,1008.7635841200461,7138.33586625202,168.66108528793964,1.0348492895939643e-12,108.76919448583331,51.34208756811909,1578.52881607907
4296,4724.248246635465,93.94773516772005,1002.5626176279843,6959.112332228079,166.99814985648908,9.007308787722934e-13,106.8901735214625,50.41187916992652,1393.8308175908014
4297,4214.551165819341,93.50604715290284,998.3604469313768,6932.195059783979,162.8930074932524,9.456090424575514e-13,106.27058338956222,50.10515138186197,1277.7864631425084
4298,3942.203058094671,91.8708351318884,992.8662711215677,7059.309818330807,161.73000677440015,1.0057970081800427e-12,105.46049323367683,49.704116651233605,1130.1043405214323
4299,3720.467257664734,91.91699833632605,995.4283929062681,7056.4564159286165,161.82428374121093,7.716084715614357e-13,104.46778982257426,49.73662595013294,1192.2304896534683
4300,3937.4449492811627,91.44856423425172,1000.1514140210317,7576.2993465136715,161.97949848012038,9.668385883565556e-13,105.31055852659027,50.15801030213285,1194.8508318672698
4301,4928.968315939689,89.8491983544779,1044.9021817181897,8518.448550087458,166.5112221839924,1.0291576618692844e-12,107.70016116240943,51.3528116200277,910.2573775576321
4302,6214.6502444388,82.90392204293745,1086.151051040688,9663.400123116364,167.07555438712384,9.828023811442321e-13,118.76918867125423,51.927474158706,458.81852536302233
4303,6340.8266179603015,82.8873480044525,1119.0034731837757,10535.809123734061,173.64725424523047,156.16538107776026,146.286902294968,51.91366245996857,424.5255274418099
4304,6449.4248242648755,88.49632733016638,1194.1148535266577,10707.608976428024,179.39388469446797,140.93742952730594,152.00906143335686,51.99013530636951,706.5961788418699
4305,6423.377689970631,90.39615300628272,1383.6689967266936,10221.035812815271,172.09036765471438,207.37206728061807,157.9651848635261,51.76098673331315,995.6480382524005
4306,6306.849490921273,91.39593240636562,1570.9432863343084,9899.744789954644,167.4836564608105,502.29500158770134,162.14352071807508,51.68813378444402,1367.3456623414968
