,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
517,21468.696451940206,1380.8852332741026,175.39636041973324,596.9605665828046,631.2270250812167,7656.69729321996,129.18077575721986,2643.9749790752926,3535.230719889929,7476.4423772693
518,21353.17508659462,1390.501351099508,175.40290775673577,468.47652450109115,495.17255220013755,7689.169261611442,129.9023613989313,2231.574875525774,3623.636367891632,7903.494784421095
519,21670.14977193096,1728.771579886514,175.40333550071665,546.4047719075938,496.0493077602452,7468.4505863276945,129.94950330023337,1274.408907288844,3794.0211930690302,7655.378700298262
520,22723.849894493298,2070.6545122898688,175.40745070272735,543.4575788113518,535.4591269416659,7489.409795230529,130.4030419953673,417.3586556277735,3643.503343451169,7336.176747088189
521,24694.608971324265,2607.2898419203384,175.38481760973033,483.7489545019371,797.2587373200105,7347.368602641007,127.90863626348025,80.97965864660804,3531.0067500857713,6575.78908064455
522,26418.564986542493,3233.0769180302564,175.38846754775335,1185.0518356805708,1080.3799364387564,7539.2810952488735,128.3108979581973,67.223122180748,3255.1944199552913,6053.721781088344
523,26091.43847348045,3420.18528984223,175.39204419673987,1454.8070931206773,1100.947864691027,7614.605975146667,128.70508242714817,62.25033642125005,3017.3193717221743,5770.726598710585
524,25491.357102126465,3498.944114553211,175.38209487377782,1097.371252731967,1056.6487062317444,7556.842628137476,127.60856202311736,0.0,2868.83605968981,5590.266942687533
525,24178.72408616275,2335.2142085385567,175.37900052294458,638.3098652092199,906.8294961475344,7539.561595540704,127.2675319001701,8.673617379884035e-19,3170.2095659491115,5595.264609227792
526,21251.605654639352,1859.714161365796,175.42117327084807,446.21372917931075,717.4319657077617,7824.944955041368,131.915413834184,0.0,3319.396962732767,5834.981213999934
