,Fossil Coal-derived gas,Fossil Gas,Fossil Oil shale,Hydro Run-of-river and poundage,Waste,Wind Onshore
132,4.035882739117369e-12,8.348877145181177e-14,935.5227299748161,1.0763057832754692,10.926139827655048,121.83193540287479
133,4.035882739117369e-12,9.348077867343818e-14,932.5227299748215,1.0763057832809173,10.926139827660498,126.83193540288023
134,4.256150987203e-12,9.969802761133906e-14,897.5227299748386,1.0763057832979828,9.926139827679275,133.83193540289727
135,4.256150987203e-12,8.393286066166183e-14,867.5227299753288,1.0763057837931649,10.926139828168361,126.83193540338736
136,4.256150987203e-12,8.970602038971265e-14,933.5227299748293,1.0763057832887342,10.926139827668313,126.83193540288805
137,4.803268893738277e-12,8.79296635503124e-14,923.522729974811,1.0763057832704523,10.926139827650028,134.8319354028697
138,4.256150987203e-12,8.637535131583718e-14,915.5227299747992,1.0763057832586396,10.926139827638204,133.83193540285785
139,4.028777311759768e-12,9.725553695716371e-14,932.5227299747912,1.0763057832507605,10.926139827630314,135.83193540284998
140,4.256150987203e-12,9.947598300641403e-14,927.522729974793,1.076305783252537,10.926139827632094,139.8319354028517
141,4.263256414560601e-12,9.703349235223868e-14,907.5227299748021,1.076305783261646,10.926139827641213,139.83193540286084
142,5.194067398406332e-12,9.747758156208874e-14,933.6838502942161,1.1660010530730198,11.404514599343294,130.77852726831776
143,4.526157226791838e-12,1.0258460747536446e-13,914.522729974876,1.076305783335352,10.9261398277149,157.83193540293456
144,4.028777311759768e-12,8.482103908136196e-14,917.5227299748099,1.0763057832692888,10.926139827648862,170.8319354028684
145,4.526157226791838e-12,9.259260025373806e-14,844.522729974866,1.0763057833254333,10.926139827704992,187.83193540292459
146,4.256150987203e-12,8.37108160567368e-14,814.5227299748436,1.0763057833029765,10.92613982768255,190.83193540290208
147,3.637978807091713e-12,9.50350909079134e-14,826.5227299748611,1.0763057833205167,10.926139827700078,179.83193540291964
148,3.375077994860476e-12,1.0325074129013956e-13,838.0081273264201,1.1082457989108754,12.107133247194593,175.737689639075
149,3.637978807091713e-12,8.79296635503124e-14,826.5227299753437,1.076305783808469,10.926139828183464,177.83193540340218
