,Biomass,Fossil Brown coal/Lignite,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other
23,1.084465850453853e-12,3137.1227627178814,4.056831259813265e-12,1448.9626528768588,9.849014832863379e-12,5.968558980384842e-13
24,1.0862422072932532e-12,3131.860508252616,4.00664397492978e-12,1484.3807944676967,9.835916803258016e-12,6.110667527536862e-13
25,1.0889067425523535e-12,3031.0607279612354,4.098378429163996e-12,1365.7597158489975,9.826869786649928e-12,6.394884621840902e-13
26,1.0729195309977513e-12,3020.464356049053,4.024965527971852e-12,1212.0266827910323,9.827518031128857e-12,6.394884621840902e-13
27,1.0791367799356522e-12,3011.4643560490986,3.934455300620698e-12,1034.026682791078,9.864070118440621e-12,6.039613253960852e-13
28,1.0969003483296547e-12,3017.464356049033,4.008491618062021e-12,943.0266827910125,9.842788368207012e-12,6.252776074688882e-13
29,1.070254995738651e-12,3016.464356049111,3.978916154889767e-12,893.02668279109,9.824249107368704e-12,6.394884621840902e-13
30,1.0933476346508542e-12,2972.4643560494433,4.051609091629271e-12,990.0266827914223,9.849698368123022e-12,6.181721801112872e-13
31,1.0942358130705543e-12,3034.265021971248,4.0141147784195086e-12,1099.1545817893643,9.890839666390483e-12,5.826450433232822e-13
32,1.091571277811454e-12,2976.4643560499053,4.004108351308988e-12,1440.026682791883,9.840334493430025e-12,5.968558980384842e-13
33,1.091571277811454e-12,3125.8098753538784,4.0684617133579515e-12,1600.5625020467426,1.547029171433678e-11,5.968558980384842e-13
34,1.0897949209720537e-12,3160.3948655939785,4.009402185256583e-12,1701.2476166926883,3.064570819333312e-11,6.252776074688882e-13
35,1.0977885267493548e-12,3145.6380095244003,4.0528335895628764e-12,1796.4490000868075,4.136069264859543e-11,6.394884621840902e-13
36,1.0809131367750524e-12,3115.2349617099358,4.110671872337157e-12,1894.6108890877092,9.874517870045452e-12,6.323830348264892e-13
37,1.085354028873553e-12,3259.1365043930255,4.070684761492416e-12,1726.2959732194224,9.813799078939311e-12,6.394884621840902e-13
38,1.1004530620084552e-12,3240.3930197258223,3.999767531071008e-12,1682.360810345006,9.821766663864473e-12,5.826450433232822e-13
39,1.092459456231154e-12,3315.088583475897,4.025117045225457e-12,1661.2905100881433,9.856530522323048e-12,5.826450433232822e-13
40,1.0951239914902544e-12,3350.7958811645863,3.998915781844303e-12,1768.4055395401354,9.893329211418944e-12,6.110667527536862e-13
41,1.0951239914902544e-12,3373.0395643828083,4.046381285593981e-12,1820.4959228407233,9.859687719049326e-12,6.679101716144942e-13
42,1.1013412404281553e-12,3355.3006540698398,4.0433247028293096e-12,1823.223697483449,9.840319531440045e-12,6.252776074688882e-13
