,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other renewable,Solar,Waste,Wind Onshore
6753,184.48451874841012,4374.795866190544,145.92030459283058,782.0529847749932,551.2738109759684,5.625011567644833e-11,62.73837856321715,73.7175823280815,3654.1785180195357,0.25246944360713997,778.2759606435898,8.112666619428646,7.304766818520532
6754,187.48451874840936,4371.480789757462,149.92030459282984,781.0529847749925,552.3763585979169,2.5100635247599437e-11,62.73837856321642,69.7175823280811,3653.1209069660435,2.2524694428024645,957.7230085195345,7.941238048000033,8.30476681851466
6755,187.48451874827816,4276.448598675664,141.92030459269876,756.0529847748614,531.4279537807379,48.938424212027726,68.73837856308411,27.71758232795703,3651.005684858922,2.2524694426711562,1084.7473233079927,8.941238047862976,7.3047668183849535
6756,187.48451874733627,4318.439566826981,145.9203045917568,752.0529847739195,517.0948346943599,2.5337204122982682e-11,69.73837856214126,17.717582327016146,3644.6600185369757,1.3091039363644086e-10,1143.2188332890928,9.941238046911502,5.3047668174418865
6757,182.48451874733794,4301.864184661578,146.92030459175837,697.0529847739213,514.8897394504633,2.516691016826375e-11,69.73837856214286,17.71758232701773,3641.4871853765026,8.242295734817162e-11,1058.5359567633673,9.941238046913087,5.304766817443469
6758,187.48451874733632,4204.621942624534,137.92030459175695,735.0529847739197,506.069358474868,2.5189786563052652e-11,70.73837856214129,17.71758232701621,3634.0839080020596,3.056470632145647e-10,865.9832256155818,9.941238046911563,5.304766817441946
6759,186.48451874806472,4227.827477656908,139.9203045924853,711.0529847746482,510.47954896346783,2.5302754249473258e-11,62.73837856287049,74.71758232773513,3627.738241681881,0.25246944326136145,514.1460362415694,9.941238047643472,5.304766818180264
6760,187.48451874820546,4211.252095491658,134.92030459262617,718.0529847747889,527.0177632928609,363.9384242119496,57.738378563012084,112.71758232787481,3625.623019575047,5.252469442540587,152.2275520424742,10.941238047783827,7.304766818310446
6761,187.48451874850025,4265.398343898973,143.9203045929208,758.0529847750832,515.9922870736939,362.93842421224434,57.73837856330851,116.71758232816993,3626.6806306288495,9.252469442815823,11.089424499927368,10.941238048083385,11.30476681859757
6762,188.48451874809533,4342.750127337081,149.92030459251578,773.0529847746786,506.06935847570486,504.93842421183933,53.738378562901936,245.7175823277633,3624.5654085214387,13.252469442404617,2.016259157587612,10.941238047672126,14.304766818178862
6763,187.4845187478922,4296.3390572737235,136.92030459231285,749.0529847744757,540.2483347559058,524.9384242116363,55.73837856269827,144.71758232756093,3624.565408521224,20.252469442194865,2.710505431213761e-20,10.941238047466843,16.304766817970684
6764,187.48451874852492,4310.704388484439,136.92030459294557,728.052984775108,527.0177632932129,398.93842421226884,56.73837856333356,134.7175823281942,3626.680630628876,15.252469442830659,2.710505431213761e-20,10.941238048108492,20.304766818608773
6765,186.4845187512378,4192.466662374185,152.92030459565606,572.0529847778033,525.9152156742392,121.93842421499293,56.73837856607653,125.71758233091654,3631.968685899173,8.25246944555198,1.0842021724855044e-19,9.941238050932691,27.30476682139201
6766,186.48451875356704,4178.101331166696,156.92030459798139,39.052984780196,530.3254061645846,2.5359147724432485e-11,57.73837856847575,117.717582333269,3634.083908008576,5.252469447890576,0.0,9.941238053444058,33.304766823833944
6767,186.48451874723548,4190.2566114144065,157.9203045916558,40.052984773824406,524.812668047893,2.507120528435873e-11,68.7383785620406,16.717582326916258,3634.083908001953,7.252469441558276,2.710505431213761e-20,9.94123804681085,41.30476681730363
6768,186.4845187472295,4222.302350267515,153.92030459164985,40.05298477381844,528.120310913734,2.527042854486017e-11,68.73837856203464,14.717582326912169,3638.314352215913,6.252469441557423,0.0,9.941238046804903,46.30476681729707
6769,186.48451874722147,4182.521433070534,150.92030459164192,40.052984773810394,529.2228585356744,2.5389036955713457e-11,68.7383785620266,14.717582326904136,3641.4871853763793,6.252469441549749,0.0,9.941238046796867,42.304766817289504
6770,186.4845187472204,4194.676713325164,152.9203045916408,41.05298477380916,524.8126680478763,2.5072153961259655e-11,68.73837856202549,14.717582326903031,3639.371963269395,6.2524694415489535,0.0,9.94123804679577,44.30476681728816
