,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2924,357.4062043786388,1123.1311778595243,0.0018251307631681863,427.6655437006882,25.456282364317687,3525.1859816379915,694.4473828655713,0.0018251307631681863,256.59932622091566,436.8298053513903,354.35145049507145
2925,352.39180243259085,1053.1365327666333,0.0009718657499887768,50.48593158262272,26.252684424098867,3495.645902619724,665.4045782302182,0.0009718657499887768,253.43937653527618,249.4005020088552,325.1293993792491
2926,336.64054490382335,1034.1113744590318,0.0007905855507611345,96.75895901633983,23.181833933209678,3488.362053601991,593.6565297832719,0.0007905855507611345,252.98436159012047,228.79462183676065,323.53776920408677
2927,345.78603402512863,1021.2750307167578,0.0005192011374447558,55.28555776936467,21.109031151052946,3478.969371358171,441.2792701645698,0.0005192011374447558,253.30837376377576,233.20453457652528,325.68219483787794
2928,350.00000000049977,1070.0000000005,5.049671024507389e-10,81.69361670136381,21.000000000499035,3462.0000000005,461.0000000004998,5.049671024507389e-10,251.00000000049968,136.00000000049957,340.00000000049977
2929,341.00000000043207,1106.0000000004322,4.355030700256635e-10,4.355030700256635e-10,20.000000000431438,3463.0000000004325,460.0000000004321,4.355030700256635e-10,250.000000000432,87.0000000004318,211.00000000043198
2930,343.00000000069116,1057.0000000006914,7.029177691117235e-10,7.029177691117235e-10,20.00000000069011,3463.0000000006917,474.0000000006912,7.029177691117235e-10,249.00000000069107,79.00000000069066,161.00000000069093
2931,354.0000000004306,1015.0000000004306,4.3398055590153037e-10,43.93962676924363,20.000000000429953,3464.0000000004306,476.0000000004306,4.3398055590153037e-10,251.0000000004305,67.00000000043026,164.00000000043045
2932,357.00000000193506,1153.000000001936,2.0867149221783542e-09,90.23339263729457,22.000000001936602,3465.0000000019368,511.00000000193546,2.0867149221783542e-09,249.00000000193467,80.00000000193425,173.0000000019344
2933,351.4201770352409,1172.7393336358327,0.0004057718315058656,17.06898003285723,24.097383573435167,3480.063810247288,628.540088064289,23.093325924780807,251.01441216964574,49.19882478981341,191.7750108989457
2934,355.0379050745698,1417.1257290539018,0.0008630441613707534,208.78649531483222,25.215760306064272,3496.9216388785717,729.23978797707,255.18349427309377,253.16623344882154,35.30206442742416,165.4153875929793
2935,289.28114437525244,1559.295924546627,0.0007948270492057544,267.1062831341649,28.222550673364957,3492.5406454741596,724.7147832911531,794.2632117291093,251.98705956069614,1.0079482411932499,105.8345650171661
2936,292.1273902449691,1556.3338549122627,0.0007335863658500002,260.8999795639443,28.20540319889644,3490.4186454789547,715.2084381814346,1403.2188089923995,249.8192854513226,0.7149711942872946,87.63821707568032
2937,295.37629045326815,1572.3261719494571,0.00046813187242335317,217.011152171049,27.12639402569146,3481.2205660035534,714.3283758851398,1872.7258686979708,249.1609524919593,43.76615279272243,86.4025883673542
2938,298.06002459328647,1581.2336897819862,0.0010372988837047093,212.1783225924676,24.24895115538556,3499.93194977674,730.499653491526,2216.7582845880424,246.53100339279516,1.0103729669674035,88.9128208971752
2939,300.1793008087791,1446.3184493432113,0.0010704739830257408,80.85637732379476,20.214094332558286,3501.081138029717,749.9428996604748,2300.3639348031707,249.64406498274573,7.275284259049313,80.85637732379476
