,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
294,7451.000000011585,8538.000000011585,1501.0000000115922,971.000000011597
295,9000.984305203501,8643.456741375865,1567.8545858521613,1055.3646501672206
296,10261.619254917841,8640.45757866754,1580.657949175289,1141.1925103916346
297,11015.350280502955,8670.23189221797,1568.8313654745723,1189.8325964839746
298,11177.991779226168,8805.93294566258,1575.1791906090837,1238.673020138357
299,11232.187867969871,8776.143125848259,1601.3658557308524,1267.1051600903484
300,11241.969551076563,8765.552137861072,1604.3815841744668,1286.9975191874958
301,11168.860737037701,8745.303012192122,1608.8734156489445,1298.3710940302508
302,11089.40463868724,8733.788741459617,1618.8463724658432,1282.1836312895234
303,11095.593824114874,8667.480623176276,1605.5403474226105,1375.0168440294437
304,11701.841584947668,8580.5460380142,1588.8037900024678,1477.1852958949885
305,12108.000000007109,8528.000000007109,1587.0000000071038,1602.0000000071038
306,11791.978563668226,8537.845054976435,1593.0235115037758,1703.1634148748806
307,11079.000000006268,8532.000000006268,1588.0000000062641,1730.0000000062641
308,9523.00000000267,8535.00000000267,1567.0000000026678,1792.000000002668
309,8451.000000002283,8536.000000002283,1548.000000002282,1860.000000002282
310,7524.292458504545,8547.283930177753,1532.485267275809,1868.8112305656227
311,6953.000000002396,8539.000000002396,1573.0000000023947,1885.0000000023947
312,6065.000000002671,8541.00000000267,1523.0000000026694,1956.0000000026698
313,5898.816727335919,8568.332256489286,1474.7041818393511,2024.4578496244123
314,5894.7222206894485,8547.847620854443,1458.168128297411,2053.645160775011
315,5863.741720963853,8564.531633128689,1486.7377281978288,2082.2348357798296
316,5904.244345377414,8583.059087508704,1498.1668344075292,2111.098939696385
317,6162.000000146116,8542.000000145754,1467.000000149624,2137.0000001482645
318,6838.000000001812,8544.000000001812,1470.0000000018106,2197.000000001811
319,7463.000000001663,8541.000000001663,1511.0000000016612,2272.0000000016616
320,8328.000000003041,8541.000000003041,1506.000000003039,2270.0000000030395
321,9221.131213506167,8566.204230428675,1591.6831885896645,2309.796082745076
322,9669.418073701185,8555.295920769639,1560.9733042092732,2353.4828572388133
323,10205.708569429142,8734.597009401306,1593.8746943844228,2432.756112480962
324,10179.664729063987,8780.359235047728,1620.3566925574833,2467.5482627774663
325,10126.344584442104,8716.760684521429,1621.889078186448,2481.316770969365
326,10316.519763510672,8766.475500535567,1649.6166427829817,2537.5559060104424
327,10794.724691981834,8786.667114364078,1664.2896478777263,2572.084001265149
328,11460.58832220433,8721.901144005064,1670.803558342767,2630.365968913332
329,11467.626280309347,8648.632464830043,1652.8632803006526,2795.671204777334
330,11197.000000016866,8527.000000016866,1598.0000000168877,2942.0000000168775
331,10599.19193440501,8567.144428407004,1604.1422971276265,3164.0878121127507
332,9532.369207715781,8545.571134191063,1597.911601303854,3278.9747153896064
333,8812.00000001775,8534.00000001775,1603.0000000177745,3455.0000000177597
334,8208.000000135542,8539.000000135507,1597.0000001384108,3588.000000136495
335,7256.000000001798,8541.000000001799,1605.0000000017972,3627.0000000017976
