"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2018 18:15 - 01.01.2018 18:30","53509","55735"
"01.01.2018 18:30 - 01.01.2018 18:45","53388","55823"
"01.01.2018 18:45 - 01.01.2018 19:00","53202","55409"
"01.01.2018 19:00 - 01.01.2018 19:15","53047","54990"
"01.01.2018 19:15 - 01.01.2018 19:30","52574","54465"
"01.01.2018 19:30 - 01.01.2018 19:45","52269","53999"
"01.01.2018 19:45 - 01.01.2018 20:00","52096","53548"
"01.01.2018 20:00 - 01.01.2018 20:15","51406","52776"
"01.01.2018 20:15 - 01.01.2018 20:30","50661","52177"
"01.01.2018 20:30 - 01.01.2018 20:45","50108","51359"
"01.01.2018 20:45 - 01.01.2018 21:00","49568","50598"
"01.01.2018 21:00 - 01.01.2018 21:15","48922","50419"
"01.01.2018 21:15 - 01.01.2018 21:30","48916","49991"
"01.01.2018 21:30 - 01.01.2018 21:45","49780","49693"
"01.01.2018 21:45 - 01.01.2018 22:00","48337","49619"
"01.01.2018 22:00 - 01.01.2018 22:15","49030","50066"
"01.01.2018 22:15 - 01.01.2018 22:30","48562","49578"
"01.01.2018 22:30 - 01.01.2018 22:45","47817","48683"
"01.01.2018 22:45 - 01.01.2018 23:00","47044","48237"
"01.01.2018 23:00 - 01.01.2018 23:15","46274","47326"
"01.01.2018 23:15 - 01.01.2018 23:30","45667","46567"
"01.01.2018 23:30 - 01.01.2018 23:45","44887","45734"
"01.01.2018 23:45 - 02.01.2018 00:00","44638","44660"
"02.01.2018 00:00 - 02.01.2018 00:15","44427","44143"
"02.01.2018 00:15 - 02.01.2018 00:30","43825","43324"
"02.01.2018 00:30 - 02.01.2018 00:45","43444","42953"
"02.01.2018 00:45 - 02.01.2018 01:00","43355","42316"
"02.01.2018 01:00 - 02.01.2018 01:15","42874","41772"
"02.01.2018 01:15 - 02.01.2018 01:30","42558","41234"
"02.01.2018 01:30 - 02.01.2018 01:45","42363","41119"
"02.01.2018 01:45 - 02.01.2018 02:00","42125","40986"
"02.01.2018 02:00 - 02.01.2018 02:15","41770","40701"
"02.01.2018 02:15 - 02.01.2018 02:30","41819","40812"
"02.01.2018 02:30 - 02.01.2018 02:45","41720","40808"
"02.01.2018 02:45 - 02.01.2018 03:00","41735","40805"
"02.01.2018 03:00 - 02.01.2018 03:15","41798","40996"
"02.01.2018 03:15 - 02.01.2018 03:30","41942","41059"
"02.01.2018 03:30 - 02.01.2018 03:45","41969","41276"
"02.01.2018 03:45 - 02.01.2018 04:00","42176","41508"
"02.01.2018 04:00 - 02.01.2018 04:15","42683","41966"
"02.01.2018 04:15 - 02.01.2018 04:30","42997","42208"
"02.01.2018 04:30 - 02.01.2018 04:45","43462","42859"
"02.01.2018 04:45 - 02.01.2018 05:00","43964","43376"
"02.01.2018 05:00 - 02.01.2018 05:15","44999","44606"
"02.01.2018 05:15 - 02.01.2018 05:30","45748","45281"
"02.01.2018 05:30 - 02.01.2018 05:45","46892","46405"
"02.01.2018 05:45 - 02.01.2018 06:00","48264","47972"
"02.01.2018 06:00 - 02.01.2018 06:15","50951","49996"
"02.01.2018 06:15 - 02.01.2018 06:30","52804","51849"
"02.01.2018 06:30 - 02.01.2018 06:45","54742","53381"
"02.01.2018 06:45 - 02.01.2018 07:00","56139","54953"
"02.01.2018 07:00 - 02.01.2018 07:15","57749","57100"
"02.01.2018 07:15 - 02.01.2018 07:30","58913","58207"
"02.01.2018 07:30 - 02.01.2018 07:45","59887","59398"
"02.01.2018 07:45 - 02.01.2018 08:00","61068","60471"
"02.01.2018 08:00 - 02.01.2018 08:15","62028","61710"
"02.01.2018 08:15 - 02.01.2018 08:30","62186","62371"
"02.01.2018 08:30 - 02.01.2018 08:45","62533","63017"
"02.01.2018 08:45 - 02.01.2018 09:00","62542","63444"
"02.01.2018 09:00 - 02.01.2018 09:15","62442","63750"
"02.01.2018 09:15 - 02.01.2018 09:30","62800","64158"
"02.01.2018 09:30 - 02.01.2018 09:45","63016","64652"
"02.01.2018 09:45 - 02.01.2018 10:00","63702","65110"
"02.01.2018 10:00 - 02.01.2018 10:15","63924","65460"
"02.01.2018 10:15 - 02.01.2018 10:30","64361","65810"
"02.01.2018 10:30 - 02.01.2018 10:45","64967","66588"
"02.01.2018 10:45 - 02.01.2018 11:00","65153","67044"
"02.01.2018 11:00 - 02.01.2018 11:15","65386","67026"
"02.01.2018 11:15 - 02.01.2018 11:30","65649","67514"
"02.01.2018 11:30 - 02.01.2018 11:45","65879","68195"
"02.01.2018 11:45 - 02.01.2018 12:00","65856","68427"
"02.01.2018 12:00 - 02.01.2018 12:15","65506","68324"
"02.01.2018 12:15 - 02.01.2018 12:30","65750","68389"
"02.01.2018 12:30 - 02.01.2018 12:45","65469","68617"
"02.01.2018 12:45 - 02.01.2018 13:00","65670","68487"
"02.01.2018 13:00 - 02.01.2018 13:15","65505","68263"
"02.01.2018 13:15 - 02.01.2018 13:30","65325","68060"
"02.01.2018 13:30 - 02.01.2018 13:45","65027","67715"
"02.01.2018 13:45 - 02.01.2018 14:00","64309","67161"
"02.01.2018 14:00 - 02.01.2018 14:15","64043","66936"
"02.01.2018 14:15 - 02.01.2018 14:30","63699","66698"
"02.01.2018 14:30 - 02.01.2018 14:45","63678","66201"
"02.01.2018 14:45 - 02.01.2018 15:00","64018","66047"
"02.01.2018 15:00 - 02.01.2018 15:15","64408","66187"
"02.01.2018 15:15 - 02.01.2018 15:30","63355","65806"
"02.01.2018 15:30 - 02.01.2018 15:45","63238","65571"
"02.01.2018 15:45 - 02.01.2018 16:00","63039","65455"
"02.01.2018 16:00 - 02.01.2018 16:15","63467","65663"
"02.01.2018 16:15 - 02.01.2018 16:30","64208","66421"
"02.01.2018 16:30 - 02.01.2018 16:45","64783","67306"
"02.01.2018 16:45 - 02.01.2018 17:00","64350","68231"
"02.01.2018 17:00 - 02.01.2018 17:15","65071","69160"
"02.01.2018 17:15 - 02.01.2018 17:30","65134","69523"
"02.01.2018 17:30 - 02.01.2018 17:45","65620","69585"
"02.01.2018 17:45 - 02.01.2018 18:00","65377","69658"
"02.01.2018 18:00 - 02.01.2018 18:15","65166","69506"
"02.01.2018 18:15 - 02.01.2018 18:30","65267","69284"
"02.01.2018 18:30 - 02.01.2018 18:45","65119","69375"
"02.01.2018 18:45 - 02.01.2018 19:00","65174","69431"
"02.01.2018 19:00 - 02.01.2018 19:15","64756","69121"
"02.01.2018 19:15 - 02.01.2018 19:30","63978","68511"
"02.01.2018 19:30 - 02.01.2018 19:45","63455","67684"
"02.01.2018 19:45 - 02.01.2018 20:00","62929","66832"
"02.01.2018 20:00 - 02.01.2018 20:15","61736","65619"
"02.01.2018 20:15 - 02.01.2018 20:30","60223","64441"
"02.01.2018 20:30 - 02.01.2018 20:45","59715","63447"
"02.01.2018 20:45 - 02.01.2018 21:00","58934","62258"
"02.01.2018 21:00 - 02.01.2018 21:15","57888","61854"
"02.01.2018 21:15 - 02.01.2018 21:30","57414","60857"
"02.01.2018 21:30 - 02.01.2018 21:45","57313","60452"
"02.01.2018 21:45 - 02.01.2018 22:00","55990","59807"
"02.01.2018 22:00 - 02.01.2018 22:15","55818","60026"
"02.01.2018 22:15 - 02.01.2018 22:30","55151","59359"
"02.01.2018 22:30 - 02.01.2018 22:45","54093","58161"
"02.01.2018 22:45 - 02.01.2018 23:00","52765","57067"
"02.01.2018 23:00 - 02.01.2018 23:15","51620","55924"
"02.01.2018 23:15 - 02.01.2018 23:30","50546","55049"
"02.01.2018 23:30 - 02.01.2018 23:45","49572","54324"
"02.01.2018 23:45 - 03.01.2018 00:00","48787","53392"
"03.01.2018 00:00 - 03.01.2018 00:15","48801","52526"
"03.01.2018 00:15 - 03.01.2018 00:30","48408","51928"
"03.01.2018 00:30 - 03.01.2018 00:45","47843","51418"
"03.01.2018 00:45 - 03.01.2018 01:00","47217","51097"
"03.01.2018 01:00 - 03.01.2018 01:15","46531","50542"
"03.01.2018 01:15 - 03.01.2018 01:30","46132","49931"
"03.01.2018 01:30 - 03.01.2018 01:45","45746","49761"
"03.01.2018 01:45 - 03.01.2018 02:00","45488","49479"
"03.01.2018 02:00 - 03.01.2018 02:15","45261","49385"
"03.01.2018 02:15 - 03.01.2018 02:30","45068","49091"
"03.01.2018 02:30 - 03.01.2018 02:45","45056","49203"
"03.01.2018 02:45 - 03.01.2018 03:00","45025","49320"
"03.01.2018 03:00 - 03.01.2018 03:15","45081","49535"
"03.01.2018 03:15 - 03.01.2018 03:30","45106","49722"
"03.01.2018 03:30 - 03.01.2018 03:45","45151","50230"
"03.01.2018 03:45 - 03.01.2018 04:00","45205","50523"
"03.01.2018 04:00 - 03.01.2018 04:15","45540","50879"
"03.01.2018 04:15 - 03.01.2018 04:30","45855","51528"
"03.01.2018 04:30 - 03.01.2018 04:45","46242","51952"
"03.01.2018 04:45 - 03.01.2018 05:00","46725","52526"
"03.01.2018 05:00 - 03.01.2018 05:15","47728","53575"
"03.01.2018 05:15 - 03.01.2018 05:30","48188","54310"
"03.01.2018 05:30 - 03.01.2018 05:45","49003","55538"
"03.01.2018 05:45 - 03.01.2018 06:00","49980","56839"
"03.01.2018 06:00 - 03.01.2018 06:15","51948","58679"
"03.01.2018 06:15 - 03.01.2018 06:30","53544","60753"
"03.01.2018 06:30 - 03.01.2018 06:45","55079","62347"
"03.01.2018 06:45 - 03.01.2018 07:00","56588","63762"
"03.01.2018 07:00 - 03.01.2018 07:15","58254","64978"
"03.01.2018 07:15 - 03.01.2018 07:30","59378","65842"
"03.01.2018 07:30 - 03.01.2018 07:45","61550","67165"
"03.01.2018 07:45 - 03.01.2018 08:00","62527","68462"
"03.01.2018 08:00 - 03.01.2018 08:15","63532","69230"
"03.01.2018 08:15 - 03.01.2018 08:30","63988","69949"
"03.01.2018 08:30 - 03.01.2018 08:45","64202","70420"
"03.01.2018 08:45 - 03.01.2018 09:00","64223","70935"
"03.01.2018 09:00 - 03.01.2018 09:15","64400","70958"
"03.01.2018 09:15 - 03.01.2018 09:30","64629","71446"
"03.01.2018 09:30 - 03.01.2018 09:45","64785","71513"
"03.01.2018 09:45 - 03.01.2018 10:00","65105","72019"
"03.01.2018 10:00 - 03.01.2018 10:15","65402","72191"
"03.01.2018 10:15 - 03.01.2018 10:30","65698","72629"
"03.01.2018 10:30 - 03.01.2018 10:45","66019","72940"
"03.01.2018 10:45 - 03.01.2018 11:00","66156","73355"
"03.01.2018 11:00 - 03.01.2018 11:15","66390","73825"
"03.01.2018 11:15 - 03.01.2018 11:30","66767","74162"
"03.01.2018 11:30 - 03.01.2018 11:45","67040","74430"
"03.01.2018 11:45 - 03.01.2018 12:00","66761","74509"
"03.01.2018 12:00 - 03.01.2018 12:15","66618","73837"
"03.01.2018 12:15 - 03.01.2018 12:30","66800","74045"
"03.01.2018 12:30 - 03.01.2018 12:45","66633","73785"
"03.01.2018 12:45 - 03.01.2018 13:00","66853","73454"
"03.01.2018 13:00 - 03.01.2018 13:15","66775","73353"
"03.01.2018 13:15 - 03.01.2018 13:30","66578","72998"
"03.01.2018 13:30 - 03.01.2018 13:45","66281","72646"
"03.01.2018 13:45 - 03.01.2018 14:00","65473","71840"
"03.01.2018 14:00 - 03.01.2018 14:15","65322","71637"
"03.01.2018 14:15 - 03.01.2018 14:30","64954","71208"
"03.01.2018 14:30 - 03.01.2018 14:45","65073","70845"
"03.01.2018 14:45 - 03.01.2018 15:00","65339","70599"
"03.01.2018 15:00 - 03.01.2018 15:15","65966","70693"
"03.01.2018 15:15 - 03.01.2018 15:30","64822","70696"
"03.01.2018 15:30 - 03.01.2018 15:45","64614","70465"
"03.01.2018 15:45 - 03.01.2018 16:00","64529","70588"
"03.01.2018 16:00 - 03.01.2018 16:15","64937","71255"
"03.01.2018 16:15 - 03.01.2018 16:30","65636","71429"
"03.01.2018 16:30 - 03.01.2018 16:45","66502","72058"
"03.01.2018 16:45 - 03.01.2018 17:00","66154","73451"
"03.01.2018 17:00 - 03.01.2018 17:15","66957","74351"
"03.01.2018 17:15 - 03.01.2018 17:30","67084","74660"
"03.01.2018 17:30 - 03.01.2018 17:45","67531","75108"
"03.01.2018 17:45 - 03.01.2018 18:00","67392","75163"
"03.01.2018 18:00 - 03.01.2018 18:15","67153","74745"
"03.01.2018 18:15 - 03.01.2018 18:30","67312","74382"
"03.01.2018 18:30 - 03.01.2018 18:45","67037","74076"
"03.01.2018 18:45 - 03.01.2018 19:00","66990","73762"
"03.01.2018 19:00 - 03.01.2018 19:15","66593","73593"
"03.01.2018 19:15 - 03.01.2018 19:30","65978","72443"
"03.01.2018 19:30 - 03.01.2018 19:45","65317","71683"
"03.01.2018 19:45 - 03.01.2018 20:00","64823","71071"
"03.01.2018 20:00 - 03.01.2018 20:15","63482","70136"
"03.01.2018 20:15 - 03.01.2018 20:30","61674","68906"
"03.01.2018 20:30 - 03.01.2018 20:45","61116","67739"
"03.01.2018 20:45 - 03.01.2018 21:00","60344","66456"
"03.01.2018 21:00 - 03.01.2018 21:15","59420","65903"
"03.01.2018 21:15 - 03.01.2018 21:30","58832","65322"
"03.01.2018 21:30 - 03.01.2018 21:45","58662","64340"
"03.01.2018 21:45 - 03.01.2018 22:00","57680","63701"
"03.01.2018 22:00 - 03.01.2018 22:15","57786","63688"
"03.01.2018 22:15 - 03.01.2018 22:30","57201","63006"
"03.01.2018 22:30 - 03.01.2018 22:45","56022","62045"
"03.01.2018 22:45 - 03.01.2018 23:00","54828","60666"
"03.01.2018 23:00 - 03.01.2018 23:15","53585","59943"
"03.01.2018 23:15 - 03.01.2018 23:30","52547","58602"
"03.01.2018 23:30 - 03.01.2018 23:45","51581","57547"
"03.01.2018 23:45 - 04.01.2018 00:00","50714","56662"
"04.01.2018 00:00 - 04.01.2018 00:15","49635","55425"
"04.01.2018 00:15 - 04.01.2018 00:30","49037","54574"
"04.01.2018 00:30 - 04.01.2018 00:45","48397","54180"
"04.01.2018 00:45 - 04.01.2018 01:00","47681","53585"
"04.01.2018 01:00 - 04.01.2018 01:15","46945","52844"
"04.01.2018 01:15 - 04.01.2018 01:30","46616","52468"
"04.01.2018 01:30 - 04.01.2018 01:45","46306","52013"
"04.01.2018 01:45 - 04.01.2018 02:00","46147","51484"
"04.01.2018 02:00 - 04.01.2018 02:15","45718","51294"
"04.01.2018 02:15 - 04.01.2018 02:30","45598","51034"
"04.01.2018 02:30 - 04.01.2018 02:45","45734","51136"
"04.01.2018 02:45 - 04.01.2018 03:00","45733","50994"
"04.01.2018 03:00 - 04.01.2018 03:15","45728","51063"
"04.01.2018 03:15 - 04.01.2018 03:30","45803","51306"
"04.01.2018 03:30 - 04.01.2018 03:45","45888","51441"
"04.01.2018 03:45 - 04.01.2018 04:00","45924","51816"
"04.01.2018 04:00 - 04.01.2018 04:15","46302","52069"
"04.01.2018 04:15 - 04.01.2018 04:30","46619","52132"
"04.01.2018 04:30 - 04.01.2018 04:45","47009","52577"
"04.01.2018 04:45 - 04.01.2018 05:00","47498","52912"
"04.01.2018 05:00 - 04.01.2018 05:15","48682","53753"
"04.01.2018 05:15 - 04.01.2018 05:30","49106","54036"
"04.01.2018 05:30 - 04.01.2018 05:45","50034","55200"
"04.01.2018 05:45 - 04.01.2018 06:00","51103","56552"
"04.01.2018 06:00 - 04.01.2018 06:15","53294","58299"
"04.01.2018 06:15 - 04.01.2018 06:30","55173","59723"
"04.01.2018 06:30 - 04.01.2018 06:45","56615","61537"
"04.01.2018 06:45 - 04.01.2018 07:00","57845","63143"
"04.01.2018 07:00 - 04.01.2018 07:15","59645","64744"
"04.01.2018 07:15 - 04.01.2018 07:30","60283","65742"
"04.01.2018 07:30 - 04.01.2018 07:45","60514","66634"
"04.01.2018 07:45 - 04.01.2018 08:00","61759","67546"
"04.01.2018 08:00 - 04.01.2018 08:15","62614","69024"
"04.01.2018 08:15 - 04.01.2018 08:30","63003","69112"
"04.01.2018 08:30 - 04.01.2018 08:45","63362","69194"
"04.01.2018 08:45 - 04.01.2018 09:00","63323","69470"
"04.01.2018 09:00 - 04.01.2018 09:15","63908","69132"
"04.01.2018 09:15 - 04.01.2018 09:30","64247","69489"
"04.01.2018 09:30 - 04.01.2018 09:45","64580","69692"
"04.01.2018 09:45 - 04.01.2018 10:00","64676","69913"
"04.01.2018 10:00 - 04.01.2018 10:15","64718","70124"
"04.01.2018 10:15 - 04.01.2018 10:30","65264","70431"
"04.01.2018 10:30 - 04.01.2018 10:45","65344","70941"
"04.01.2018 10:45 - 04.01.2018 11:00","65412","71240"
"04.01.2018 11:00 - 04.01.2018 11:15","66020","71382"
"04.01.2018 11:15 - 04.01.2018 11:30","66218","71763"
"04.01.2018 11:30 - 04.01.2018 11:45","66611","71817"
"04.01.2018 11:45 - 04.01.2018 12:00","66729","71818"
"04.01.2018 12:00 - 04.01.2018 12:15","66514","71603"
"04.01.2018 12:15 - 04.01.2018 12:30","66557","71309"
"04.01.2018 12:30 - 04.01.2018 12:45","66405","71003"
"04.01.2018 12:45 - 04.01.2018 13:00","66384","71056"
"04.01.2018 13:00 - 04.01.2018 13:15","66503","70888"
"04.01.2018 13:15 - 04.01.2018 13:30","65972","70596"
"04.01.2018 13:30 - 04.01.2018 13:45","65608","70201"
"04.01.2018 13:45 - 04.01.2018 14:00","64828","69438"
"04.01.2018 14:00 - 04.01.2018 14:15","64734","69205"
"04.01.2018 14:15 - 04.01.2018 14:30","64317","69020"
"04.01.2018 14:30 - 04.01.2018 14:45","64487","68821"
"04.01.2018 14:45 - 04.01.2018 15:00","64666","68373"
"04.01.2018 15:00 - 04.01.2018 15:15","64944","68584"
"04.01.2018 15:15 - 04.01.2018 15:30","64043","68422"
"04.01.2018 15:30 - 04.01.2018 15:45","64026","68436"
"04.01.2018 15:45 - 04.01.2018 16:00","63928","68435"
"04.01.2018 16:00 - 04.01.2018 16:15","64207","68938"
"04.01.2018 16:15 - 04.01.2018 16:30","64620","68994"
"04.01.2018 16:30 - 04.01.2018 16:45","65261","69603"
"04.01.2018 16:45 - 04.01.2018 17:00","65616","70590"
"04.01.2018 17:00 - 04.01.2018 17:15","66634","71111"
"04.01.2018 17:15 - 04.01.2018 17:30","66914","71238"
"04.01.2018 17:30 - 04.01.2018 17:45","67465","71660"
"04.01.2018 17:45 - 04.01.2018 18:00","67456","71894"
"04.01.2018 18:00 - 04.01.2018 18:15","66944","71349"
"04.01.2018 18:15 - 04.01.2018 18:30","67086","70831"
"04.01.2018 18:30 - 04.01.2018 18:45","66716","70834"
"04.01.2018 18:45 - 04.01.2018 19:00","66590","70556"
"04.01.2018 19:00 - 04.01.2018 19:15","66297","70158"
"04.01.2018 19:15 - 04.01.2018 19:30","65727","69227"
"04.01.2018 19:30 - 04.01.2018 19:45","65217","68695"
"04.01.2018 19:45 - 04.01.2018 20:00","64669","68345"
"04.01.2018 20:00 - 04.01.2018 20:15","63252","67511"
"04.01.2018 20:15 - 04.01.2018 20:30","61704","66202"
"04.01.2018 20:30 - 04.01.2018 20:45","61042","65561"
"04.01.2018 20:45 - 04.01.2018 21:00","60361","64653"
"04.01.2018 21:00 - 04.01.2018 21:15","59452","64292"
"04.01.2018 21:15 - 04.01.2018 21:30","58910","63581"
"04.01.2018 21:30 - 04.01.2018 21:45","58775","62725"
"04.01.2018 21:45 - 04.01.2018 22:00","57907","62434"
"04.01.2018 22:00 - 04.01.2018 22:15","58094","62524"
"04.01.2018 22:15 - 04.01.2018 22:30","57231","61712"
"04.01.2018 22:30 - 04.01.2018 22:45","56244","60752"
"04.01.2018 22:45 - 04.01.2018 23:00","55205","59677"
"04.01.2018 23:00 - 04.01.2018 23:15","53974","58822"
"04.01.2018 23:15 - 04.01.2018 23:30","52935","57651"
"04.01.2018 23:30 - 04.01.2018 23:45","51974","56579"
"04.01.2018 23:45 - 05.01.2018 00:00","51165","55812"
"05.01.2018 00:00 - 05.01.2018 00:15","51831","54298"
"05.01.2018 00:15 - 05.01.2018 00:30","50972","53572"
"05.01.2018 00:30 - 05.01.2018 00:45","50446","53193"
"05.01.2018 00:45 - 05.01.2018 01:00","49765","52637"
"05.01.2018 01:00 - 05.01.2018 01:15","49122","51804"
"05.01.2018 01:15 - 05.01.2018 01:30","48577","51354"
"05.01.2018 01:30 - 05.01.2018 01:45","48483","51064"
"05.01.2018 01:45 - 05.01.2018 02:00","48185","50787"
"05.01.2018 02:00 - 05.01.2018 02:15","47806","50694"
"05.01.2018 02:15 - 05.01.2018 02:30","47602","50595"
"05.01.2018 02:30 - 05.01.2018 02:45","47647","50719"
"05.01.2018 02:45 - 05.01.2018 03:00","47656","50895"
"05.01.2018 03:00 - 05.01.2018 03:15","47699","50922"
"05.01.2018 03:15 - 05.01.2018 03:30","47602","50826"
"05.01.2018 03:30 - 05.01.2018 03:45","47654","50808"
"05.01.2018 03:45 - 05.01.2018 04:00","47766","51363"
"05.01.2018 04:00 - 05.01.2018 04:15","48174","51664"
"05.01.2018 04:15 - 05.01.2018 04:30","48415","51875"
"05.01.2018 04:30 - 05.01.2018 04:45","48764","52190"
"05.01.2018 04:45 - 05.01.2018 05:00","49131","52646"
"05.01.2018 05:00 - 05.01.2018 05:15","49890","53409"
"05.01.2018 05:15 - 05.01.2018 05:30","50241","53849"
"05.01.2018 05:30 - 05.01.2018 05:45","51068","54600"
"05.01.2018 05:45 - 05.01.2018 06:00","51971","55965"
"05.01.2018 06:00 - 05.01.2018 06:15","53332","57978"
"05.01.2018 06:15 - 05.01.2018 06:30","55045","59382"
"05.01.2018 06:30 - 05.01.2018 06:45","56177","61209"
"05.01.2018 06:45 - 05.01.2018 07:00","57545","62991"
"05.01.2018 07:00 - 05.01.2018 07:15","59164","64789"
"05.01.2018 07:15 - 05.01.2018 07:30","60204","65932"
"05.01.2018 07:30 - 05.01.2018 07:45","61906","66893"
"05.01.2018 07:45 - 05.01.2018 08:00","62859","67779"
"05.01.2018 08:00 - 05.01.2018 08:15","63891","68841"
"05.01.2018 08:15 - 05.01.2018 08:30","64093","68982"
"05.01.2018 08:30 - 05.01.2018 08:45","64301","69332"
"05.01.2018 08:45 - 05.01.2018 09:00","64506","69461"
"05.01.2018 09:00 - 05.01.2018 09:15","64814","69789"
"05.01.2018 09:15 - 05.01.2018 09:30","65338","69647"
"05.01.2018 09:30 - 05.01.2018 09:45","65260","69944"
"05.01.2018 09:45 - 05.01.2018 10:00","65774","70251"
"05.01.2018 10:00 - 05.01.2018 10:15","65829","70636"
"05.01.2018 10:15 - 05.01.2018 10:30","66163","70621"
"05.01.2018 10:30 - 05.01.2018 10:45","66347","70943"
"05.01.2018 10:45 - 05.01.2018 11:00","66698","71129"
"05.01.2018 11:00 - 05.01.2018 11:15","66863","71598"
"05.01.2018 11:15 - 05.01.2018 11:30","67057","71760"
"05.01.2018 11:30 - 05.01.2018 11:45","67362","72205"
"05.01.2018 11:45 - 05.01.2018 12:00","67662","72431"
"05.01.2018 12:00 - 05.01.2018 12:15","66762","72124"
"05.01.2018 12:15 - 05.01.2018 12:30","67008","71946"
