,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Other,Solar,Wind Onshore
2018-01-01 18:00:00+00:00,219.0,376.0,10.0,270.0,16.0,351.0,403.0,219.0,2.0,113.0,4.0,151.0,0.0,2696.0
2018-01-01 19:00:00+00:00,218.0,379.0,10.0,270.0,16.0,424.0,385.0,215.0,2.0,117.0,4.0,153.0,0.0,2617.0
2018-01-01 20:00:00+00:00,218.0,379.0,10.0,270.0,17.0,328.0,70.0,220.0,2.0,81.0,4.0,153.0,0.0,2589.0
2018-01-01 21:00:00+00:00,215.0,379.0,10.0,270.0,14.0,412.0,72.0,207.0,2.0,46.0,2.0,150.0,0.0,2613.0
2018-01-01 22:00:00+00:00,216.0,383.0,10.0,270.0,16.0,338.0,433.0,136.0,2.0,46.0,1.0,152.0,0.0,2730.0
2018-01-01 23:00:00+00:00,214.0,386.0,11.0,270.0,17.0,107.0,1107.0,241.0,2.0,46.0,1.0,153.0,0.0,2778.0
2018-01-02 00:00:00+00:00,213.0,387.0,10.0,270.0,18.0,165.0,1246.0,274.0,2.0,75.0,1.0,151.0,0.0,2856.0
2018-01-02 01:00:00+00:00,211.0,388.0,10.0,270.0,18.0,0.0,1103.0,165.0,2.0,69.0,1.0,150.0,0.0,2825.0
2018-01-02 02:00:00+00:00,208.0,388.0,11.0,270.0,19.0,0.0,1210.0,132.0,2.0,66.0,1.0,146.0,0.0,2718.0
2018-01-02 03:00:00+00:00,209.0,386.0,11.0,289.0,12.0,0.0,1270.0,132.0,2.0,39.0,1.0,148.0,0.0,2554.0
2018-01-02 04:00:00+00:00,205.0,387.0,11.0,340.0,14.0,0.0,1073.0,123.0,2.0,39.0,1.0,149.0,0.0,2395.0
2018-01-02 05:00:00+00:00,202.0,389.0,11.0,445.0,11.0,74.0,878.0,170.0,2.0,40.0,1.0,148.0,0.0,2260.0
2018-01-02 06:00:00+00:00,202.0,400.0,12.0,846.0,4.0,28.0,202.0,383.0,2.0,85.0,1.0,150.0,0.0,2414.0
2018-01-02 07:00:00+00:00,201.0,582.0,9.0,1330.0,4.0,991.0,188.0,448.0,2.0,109.0,1.0,151.0,0.0,2588.0
2018-01-02 08:00:00+00:00,203.0,736.0,9.0,1257.0,4.0,1205.0,52.0,445.0,1.0,169.0,1.0,149.0,42.0,2724.0
2018-01-02 09:00:00+00:00,204.0,861.0,8.0,1082.0,4.0,1400.0,0.0,420.0,1.0,251.0,1.0,148.0,145.0,2945.0
2018-01-02 10:00:00+00:00,202.0,911.0,8.0,1081.0,5.0,1225.0,1.0,375.0,1.0,233.0,1.0,147.0,208.0,2883.0
2018-01-02 11:00:00+00:00,202.0,912.0,8.0,1082.0,4.0,1105.0,1.0,358.0,1.0,206.0,1.0,148.0,245.0,2785.0
2018-01-02 12:00:00+00:00,202.0,908.0,8.0,1082.0,3.0,1092.0,1.0,322.0,2.0,173.0,1.0,149.0,239.0,2801.0
2018-01-02 13:00:00+00:00,203.0,909.0,9.0,1082.0,3.0,892.0,2.0,211.0,2.0,107.0,1.0,150.0,191.0,2688.0
2018-01-02 14:00:00+00:00,201.0,848.0,8.0,1077.0,3.0,591.0,3.0,222.0,2.0,62.0,1.0,148.0,155.0,2479.0
2018-01-02 15:00:00+00:00,209.0,853.0,8.0,1100.0,3.0,559.0,4.0,233.0,2.0,87.0,1.0,150.0,104.0,2319.0
2018-01-02 16:00:00+00:00,214.0,914.0,8.0,1250.0,4.0,1262.0,1.0,244.0,2.0,102.0,1.0,154.0,29.0,2225.0
2018-01-02 17:00:00+00:00,212.0,918.0,8.0,1280.0,5.0,1466.0,1.0,268.0,2.0,132.0,1.0,157.0,1.0,2183.0
2018-01-02 18:00:00+00:00,213.0,923.0,8.0,1280.0,4.0,1666.0,1.0,323.0,2.0,144.0,1.0,158.0,0.0,2190.0
2018-01-02 19:00:00+00:00,212.0,926.0,8.0,1280.0,3.0,1629.0,1.0,449.0,2.0,353.0,1.0,156.0,0.0,2290.0
2018-01-02 20:00:00+00:00,211.0,925.0,8.0,1281.0,3.0,1384.0,1.0,443.0,2.0,131.0,1.0,156.0,0.0,2349.0
2018-01-02 21:00:00+00:00,212.0,911.0,8.0,1203.0,4.0,1331.0,1.0,414.0,2.0,103.0,1.0,156.0,0.0,2356.0
2018-01-02 22:00:00+00:00,213.0,780.0,9.0,905.0,5.0,726.0,155.0,237.0,2.0,13.0,1.0,158.0,0.0,2351.0
2018-01-02 23:00:00+00:00,206.0,572.0,11.0,932.0,7.0,198.0,749.0,199.0,2.0,66.0,1.0,156.0,0.0,2399.0
2018-01-03 00:00:00+00:00,209.0,404.0,10.0,1084.0,9.0,256.0,1140.0,200.0,2.0,68.0,1.0,154.0,0.0,2572.0
2018-01-03 01:00:00+00:00,209.0,394.0,10.0,1033.0,10.0,69.0,1261.0,208.0,2.0,68.0,1.0,156.0,0.0,2615.0
2018-01-03 02:00:00+00:00,213.0,395.0,10.0,1041.0,11.0,0.0,1456.0,249.0,2.0,68.0,1.0,156.0,0.0,2576.0
2018-01-03 03:00:00+00:00,209.0,395.0,10.0,1080.0,11.0,0.0,1452.0,267.0,2.0,70.0,1.0,156.0,0.0,2342.0
2018-01-03 04:00:00+00:00,211.0,395.0,10.0,1074.0,11.0,1.0,1202.0,339.0,2.0,71.0,1.0,155.0,0.0,2020.0
2018-01-03 05:00:00+00:00,207.0,395.0,11.0,1098.0,1.0,70.0,776.0,255.0,2.0,68.0,1.0,152.0,0.0,1776.0
2018-01-03 06:00:00+00:00,205.0,456.0,10.0,1247.0,0.0,235.0,583.0,270.0,2.0,62.0,1.0,151.0,0.0,1535.0
2018-01-03 07:00:00+00:00,198.0,749.0,8.0,1532.0,0.0,1567.0,41.0,393.0,2.0,91.0,1.0,150.0,0.0,1405.0
2018-01-03 08:00:00+00:00,202.0,957.0,8.0,1708.0,0.0,1571.0,1.0,503.0,1.0,177.0,1.0,147.0,13.0,1496.0
2018-01-03 09:00:00+00:00,205.0,1010.0,9.0,1687.0,0.0,1623.0,1.0,554.0,1.0,308.0,1.0,135.0,64.0,1588.0
2018-01-03 10:00:00+00:00,202.0,1012.0,8.0,1547.0,0.0,1421.0,1.0,605.0,1.0,295.0,1.0,129.0,91.0,1694.0
2018-01-03 11:00:00+00:00,206.0,989.0,8.0,1386.0,0.0,1596.0,1.0,648.0,1.0,138.0,1.0,132.0,108.0,1700.0
2018-01-03 12:00:00+00:00,200.0,1004.0,8.0,1387.0,0.0,1594.0,1.0,652.0,1.0,161.0,1.0,131.0,108.0,1756.0
2018-01-03 13:00:00+00:00,194.0,1004.0,8.0,1386.0,0.0,1321.0,2.0,604.0,1.0,91.0,1.0,129.0,90.0,1825.0
2018-01-03 14:00:00+00:00,194.0,1005.0,8.0,1387.0,0.0,771.0,32.0,513.0,2.0,95.0,1.0,133.0,76.0,1745.0
2018-01-03 15:00:00+00:00,197.0,1006.0,8.0,1387.0,0.0,800.0,38.0,490.0,2.0,111.0,1.0,125.0,51.0,1706.0
2018-01-03 16:00:00+00:00,196.0,1009.0,7.0,1384.0,0.0,1042.0,62.0,492.0,2.0,113.0,1.0,127.0,16.0,1860.0
2018-01-03 17:00:00+00:00,203.0,1006.0,7.0,1384.0,0.0,1343.0,62.0,509.0,2.0,153.0,1.0,133.0,1.0,1949.0
2018-01-03 18:00:00+00:00,209.0,1005.0,8.0,1383.0,0.0,1581.0,61.0,517.0,2.0,187.0,1.0,137.0,0.0,2017.0
2018-01-03 19:00:00+00:00,208.0,1025.0,7.0,1383.0,0.0,1607.0,54.0,625.0,1.0,178.0,1.0,141.0,0.0,1993.0
2018-01-03 20:00:00+00:00,206.0,1199.0,8.0,1384.0,0.0,1561.0,1.0,584.0,1.0,146.0,1.0,144.0,0.0,1874.0
2018-01-03 21:00:00+00:00,209.0,1047.0,8.0,1384.0,0.0,1290.0,1.0,580.0,1.0,109.0,1.0,144.0,0.0,1897.0
2018-01-03 22:00:00+00:00,210.0,694.0,10.0,1252.0,0.0,659.0,2.0,446.0,2.0,50.0,1.0,145.0,0.0,1783.0
2018-01-03 23:00:00+00:00,212.0,587.0,11.0,1067.0,10.0,201.0,352.0,429.0,2.0,83.0,1.0,145.0,0.0,1763.0
2018-01-04 00:00:00+00:00,212.0,421.0,10.0,1082.0,6.0,166.0,330.0,462.0,2.0,73.0,1.0,145.0,0.0,1787.0
2018-01-04 01:00:00+00:00,214.0,410.0,10.0,1082.0,6.0,59.0,613.0,457.0,2.0,73.0,1.0,144.0,0.0,1768.0
2018-01-04 02:00:00+00:00,210.0,403.0,10.0,1087.0,4.0,0.0,701.0,445.0,2.0,72.0,1.0,142.0,0.0,1680.0
2018-01-04 03:00:00+00:00,210.0,403.0,10.0,1091.0,4.0,0.0,772.0,391.0,2.0,73.0,1.0,146.0,0.0,1698.0
2018-01-04 04:00:00+00:00,209.0,402.0,10.0,1077.0,3.0,0.0,745.0,313.0,2.0,72.0,1.0,153.0,0.0,1876.0
2018-01-04 05:00:00+00:00,209.0,399.0,11.0,1111.0,4.0,0.0,1056.0,361.0,2.0,66.0,1.0,155.0,0.0,2182.0
2018-01-04 06:00:00+00:00,215.0,491.0,10.0,1066.0,3.0,115.0,1042.0,447.0,2.0,43.0,1.0,154.0,0.0,2200.0
2018-01-04 07:00:00+00:00,218.0,841.0,8.0,1157.0,3.0,634.0,23.0,466.0,2.0,61.0,1.0,153.0,0.0,2322.0
2018-01-04 08:00:00+00:00,216.0,961.0,7.0,1281.0,4.0,731.0,2.0,429.0,1.0,107.0,1.0,156.0,6.0,2418.0
2018-01-04 09:00:00+00:00,216.0,985.0,7.0,1282.0,4.0,911.0,2.0,456.0,2.0,114.0,1.0,153.0,25.0,2549.0
2018-01-04 10:00:00+00:00,217.0,986.0,8.0,1282.0,3.0,1118.0,1.0,477.0,1.0,109.0,1.0,152.0,54.0,2375.0
2018-01-04 11:00:00+00:00,219.0,1072.0,8.0,1330.0,4.0,1220.0,1.0,448.0,2.0,75.0,1.0,154.0,86.0,2260.0
2018-01-04 12:00:00+00:00,212.0,1070.0,7.0,1382.0,3.0,944.0,1.0,518.0,2.0,75.0,1.0,154.0,107.0,2362.0
2018-01-04 13:00:00+00:00,206.0,978.0,8.0,1316.0,3.0,622.0,12.0,490.0,2.0,76.0,1.0,153.0,88.0,2464.0
2018-01-04 14:00:00+00:00,211.0,981.0,8.0,1148.0,4.0,514.0,21.0,330.0,2.0,76.0,1.0,152.0,55.0,2533.0
2018-01-04 15:00:00+00:00,215.0,977.0,8.0,1180.0,4.0,389.0,3.0,296.0,2.0,77.0,1.0,153.0,28.0,2647.0
2018-01-04 16:00:00+00:00,215.0,987.0,8.0,1239.0,3.0,1181.0,1.0,328.0,2.0,94.0,1.0,155.0,9.0,2703.0
2018-01-04 17:00:00+00:00,216.0,989.0,8.0,1370.0,4.0,1094.0,1.0,316.0,2.0,122.0,1.0,155.0,0.0,2675.0
2018-01-04 18:00:00+00:00,218.0,995.0,8.0,1466.0,4.0,979.0,1.0,425.0,2.0,116.0,1.0,158.0,0.0,2767.0
2018-01-04 19:00:00+00:00,220.0,1000.0,8.0,1468.0,4.0,1137.0,1.0,481.0,2.0,134.0,1.0,150.0,0.0,2791.0
2018-01-04 20:00:00+00:00,216.0,1029.0,8.0,1469.0,4.0,1180.0,1.0,514.0,1.0,139.0,1.0,145.0,0.0,2812.0
2018-01-04 21:00:00+00:00,218.0,1054.0,8.0,1257.0,4.0,1019.0,1.0,517.0,2.0,97.0,1.0,142.0,0.0,2915.0
2018-01-04 22:00:00+00:00,220.0,763.0,9.0,934.0,4.0,207.0,229.0,544.0,2.0,79.0,1.0,136.0,0.0,3009.0
2018-01-04 23:00:00+00:00,219.0,591.0,11.0,838.0,3.0,99.0,874.0,380.0,2.0,75.0,1.0,137.0,0.0,3058.0
2018-01-05 00:00:00+00:00,221.0,419.0,11.0,592.0,3.0,90.0,1038.0,371.0,2.0,70.0,1.0,137.0,0.0,3192.0
2018-01-05 01:00:00+00:00,224.0,409.0,11.0,560.0,4.0,96.0,1432.0,292.0,2.0,71.0,1.0,141.0,0.0,3321.0
2018-01-05 02:00:00+00:00,221.0,401.0,10.0,559.0,4.0,1.0,1800.0,333.0,2.0,72.0,1.0,140.0,0.0,3545.0
2018-01-05 03:00:00+00:00,217.0,400.0,12.0,542.0,3.0,0.0,2085.0,283.0,2.0,73.0,1.0,140.0,0.0,3764.0
2018-01-05 04:00:00+00:00,216.0,400.0,15.0,559.0,3.0,0.0,1909.0,404.0,2.0,74.0,1.0,145.0,0.0,3878.0
2018-01-05 05:00:00+00:00,216.0,416.0,15.0,697.0,3.0,0.0,1262.0,437.0,2.0,82.0,1.0,144.0,0.0,3677.0
2018-01-05 06:00:00+00:00,213.0,632.0,8.0,1105.0,3.0,4.0,977.0,524.0,2.0,94.0,1.0,151.0,0.0,3360.0
2018-01-05 07:00:00+00:00,213.0,1185.0,5.0,1433.0,4.0,1118.0,23.0,432.0,2.0,205.0,1.0,153.0,0.0,2561.0
2018-01-05 08:00:00+00:00,217.0,1941.0,5.0,1379.0,4.0,1301.0,1.0,469.0,2.0,246.0,1.0,154.0,8.0,1883.0
2018-01-05 09:00:00+00:00,217.0,2042.0,6.0,1469.0,4.0,1813.0,1.0,538.0,1.0,399.0,1.0,154.0,20.0,1357.0
2018-01-05 10:00:00+00:00,216.0,1992.0,6.0,1469.0,4.0,1354.0,1.0,548.0,2.0,311.0,1.0,153.0,36.0,1188.0
2018-01-05 11:00:00+00:00,217.0,1999.0,7.0,1469.0,3.0,951.0,2.0,587.0,2.0,127.0,1.0,153.0,37.0,1602.0
2018-01-05 12:00:00+00:00,217.0,2055.0,6.0,1469.0,4.0,1006.0,1.0,611.0,2.0,92.0,1.0,152.0,29.0,1798.0
2018-01-05 13:00:00+00:00,217.0,2049.0,5.0,1467.0,2.0,642.0,2.0,415.0,2.0,91.0,1.0,154.0,26.0,1941.0
2018-01-05 14:00:00+00:00,214.0,2019.0,5.0,1466.0,2.0,969.0,1.0,466.0,2.0,89.0,1.0,152.0,18.0,2168.0
2018-01-05 15:00:00+00:00,217.0,1977.0,5.0,1466.0,2.0,789.0,2.0,595.0,1.0,89.0,1.0,152.0,13.0,2227.0
2018-01-05 16:00:00+00:00,219.0,2000.0,5.0,1466.0,2.0,1477.0,1.0,883.0,1.0,134.0,1.0,153.0,3.0,2020.0
2018-01-05 17:00:00+00:00,217.0,2009.0,5.0,1466.0,2.0,1588.0,1.0,1038.0,1.0,214.0,1.0,150.0,0.0,1898.0
2018-01-05 18:00:00+00:00,217.0,2016.0,5.0,1467.0,2.0,1656.0,1.0,952.0,1.0,405.0,1.0,153.0,0.0,1854.0
2018-01-05 19:00:00+00:00,222.0,2022.0,5.0,1467.0,2.0,1583.0,1.0,1039.0,1.0,563.0,1.0,154.0,0.0,1997.0
2018-01-05 20:00:00+00:00,217.0,2046.0,5.0,1467.0,2.0,1774.0,1.0,1084.0,1.0,713.0,1.0,153.0,0.0,1859.0
2018-01-05 21:00:00+00:00,208.0,1998.0,6.0,1430.0,2.0,1397.0,2.0,792.0,1.0,345.0,1.0,155.0,0.0,1935.0
2018-01-05 22:00:00+00:00,208.0,1822.0,6.0,1208.0,10.0,789.0,4.0,382.0,2.0,129.0,1.0,155.0,0.0,2056.0
2018-01-05 23:00:00+00:00,218.0,1417.0,6.0,1181.0,9.0,952.0,4.0,476.0,2.0,95.0,1.0,154.0,0.0,2029.0
2018-01-06 00:00:00+00:00,215.0,1132.0,6.0,1181.0,9.0,12.0,14.0,461.0,2.0,93.0,1.0,153.0,0.0,1863.0
2018-01-06 01:00:00+00:00,215.0,648.0,12.0,1102.0,6.0,0.0,415.0,584.0,2.0,100.0,1.0,152.0,0.0,1793.0
2018-01-06 02:00:00+00:00,215.0,400.0,17.0,949.0,6.0,0.0,646.0,466.0,2.0,95.0,1.0,151.0,0.0,1768.0
2018-01-06 03:00:00+00:00,216.0,400.0,14.0,933.0,5.0,98.0,787.0,444.0,2.0,87.0,1.0,151.0,0.0,1930.0
2018-01-06 04:00:00+00:00,211.0,397.0,13.0,948.0,6.0,100.0,955.0,471.0,2.0,87.0,1.0,150.0,0.0,1978.0
2018-01-06 05:00:00+00:00,217.0,398.0,14.0,942.0,6.0,35.0,848.0,468.0,2.0,82.0,1.0,147.0,0.0,2008.0
2018-01-06 06:00:00+00:00,217.0,471.0,15.0,948.0,5.0,0.0,992.0,498.0,2.0,77.0,1.0,148.0,0.0,2157.0
2018-01-06 07:00:00+00:00,220.0,687.0,11.0,1000.0,5.0,0.0,506.0,648.0,1.0,91.0,1.0,151.0,0.0,2220.0
2018-01-06 08:00:00+00:00,220.0,814.0,9.0,1180.0,5.0,502.0,308.0,524.0,1.0,90.0,1.0,153.0,36.0,2285.0
2018-01-06 09:00:00+00:00,216.0,1133.0,8.0,1179.0,6.0,959.0,3.0,356.0,2.0,327.0,1.0,155.0,158.0,2177.0
2018-01-06 10:00:00+00:00,214.0,1208.0,8.0,1180.0,6.0,1330.0,1.0,367.0,2.0,539.0,1.0,156.0,274.0,2137.0
2018-01-06 11:00:00+00:00,220.0,1205.0,8.0,1180.0,6.0,1065.0,1.0,359.0,2.0,435.0,1.0,157.0,327.0,2207.0
2018-01-06 12:00:00+00:00,217.0,1198.0,8.0,1179.0,6.0,726.0,1.0,369.0,2.0,314.0,1.0,155.0,326.0,2310.0
2018-01-06 13:00:00+00:00,217.0,1065.0,8.0,1179.0,6.0,519.0,12.0,325.0,2.0,262.0,1.0,154.0,298.0,2552.0
2018-01-06 14:00:00+00:00,210.0,818.0,8.0,1141.0,5.0,3.0,364.0,600.0,2.0,95.0,1.0,153.0,236.0,2832.0
2018-01-06 15:00:00+00:00,215.0,805.0,8.0,1131.0,5.0,22.0,294.0,692.0,1.0,88.0,1.0,153.0,150.0,2767.0
2018-01-06 16:00:00+00:00,216.0,983.0,9.0,1179.0,5.0,691.0,11.0,406.0,2.0,190.0,1.0,156.0,54.0,2682.0
2018-01-06 17:00:00+00:00,215.0,1069.0,8.0,1177.0,6.0,632.0,2.0,321.0,2.0,524.0,1.0,155.0,1.0,2904.0
2018-01-06 18:00:00+00:00,214.0,1120.0,9.0,1179.0,7.0,489.0,2.0,360.0,1.0,518.0,1.0,157.0,0.0,3027.0
2018-01-06 19:00:00+00:00,215.0,934.0,8.0,1179.0,8.0,388.0,2.0,381.0,1.0,556.0,1.0,157.0,0.0,3031.0
2018-01-06 20:00:00+00:00,217.0,911.0,9.0,1179.0,8.0,346.0,93.0,393.0,1.0,479.0,1.0,155.0,0.0,3114.0
2018-01-06 21:00:00+00:00,218.0,910.0,9.0,1135.0,7.0,321.0,473.0,539.0,1.0,505.0,1.0,156.0,0.0,3211.0
2018-01-06 22:00:00+00:00,215.0,763.0,9.0,1004.0,7.0,662.0,694.0,338.0,2.0,119.0,1.0,153.0,0.0,3017.0
2018-01-06 23:00:00+00:00,217.0,550.0,11.0,721.0,7.0,18.0,414.0,587.0,1.0,88.0,1.0,154.0,0.0,2797.0
2018-01-07 00:00:00+00:00,214.0,394.0,13.0,400.0,7.0,0.0,599.0,477.0,1.0,88.0,1.0,157.0,0.0,2761.0
2018-01-07 01:00:00+00:00,214.0,392.0,13.0,495.0,7.0,0.0,944.0,248.0,2.0,78.0,1.0,151.0,0.0,2842.0
2018-01-07 02:00:00+00:00,214.0,393.0,11.0,361.0,7.0,0.0,1142.0,215.0,2.0,77.0,1.0,149.0,0.0,2895.0
2018-01-07 03:00:00+00:00,214.0,393.0,11.0,361.0,8.0,37.0,1487.0,211.0,2.0,77.0,1.0,151.0,0.0,3051.0
2018-01-07 04:00:00+00:00,213.0,394.0,12.0,362.0,8.0,33.0,1528.0,204.0,2.0,77.0,1.0,151.0,0.0,3017.0
2018-01-07 05:00:00+00:00,216.0,393.0,14.0,366.0,7.0,0.0,1485.0,209.0,2.0,77.0,1.0,148.0,0.0,3071.0
2018-01-07 06:00:00+00:00,214.0,396.0,21.0,527.0,7.0,0.0,1059.0,321.0,2.0,77.0,1.0,146.0,0.0,3126.0
2018-01-07 07:00:00+00:00,211.0,463.0,15.0,706.0,7.0,0.0,1091.0,337.0,2.0,77.0,1.0,150.0,0.0,3171.0
2018-01-07 08:00:00+00:00,213.0,846.0,9.0,1180.0,7.0,85.0,573.0,540.0,1.0,77.0,1.0,148.0,41.0,3238.0
2018-01-07 09:00:00+00:00,211.0,1505.0,5.0,1179.0,6.0,328.0,289.0,409.0,1.0,77.0,1.0,148.0,174.0,3181.0
2018-01-07 10:00:00+00:00,210.0,1909.0,4.0,1179.0,6.0,532.0,12.0,381.0,1.0,171.0,1.0,148.0,250.0,3025.0
2018-01-07 11:00:00+00:00,211.0,1961.0,4.0,1181.0,6.0,669.0,2.0,364.0,2.0,95.0,1.0,145.0,279.0,2861.0
2018-01-07 12:00:00+00:00,217.0,2032.0,4.0,1180.0,6.0,897.0,2.0,372.0,2.0,97.0,1.0,146.0,299.0,2719.0
2018-01-07 13:00:00+00:00,214.0,2109.0,4.0,1180.0,5.0,865.0,2.0,360.0,2.0,97.0,1.0,146.0,263.0,2750.0
2018-01-07 14:00:00+00:00,212.0,2328.0,6.0,1180.0,5.0,659.0,2.0,242.0,2.0,88.0,1.0,150.0,238.0,2713.0
2018-01-07 15:00:00+00:00,217.0,2406.0,4.0,1181.0,5.0,407.0,2.0,224.0,2.0,87.0,1.0,152.0,170.0,2653.0
2018-01-07 16:00:00+00:00,217.0,2695.0,4.0,1181.0,6.0,606.0,2.0,217.0,2.0,135.0,1.0,154.0,68.0,2600.0
2018-01-07 17:00:00+00:00,212.0,2848.0,7.0,1180.0,6.0,1339.0,2.0,311.0,2.0,562.0,1.0,155.0,4.0,2538.0
2018-01-07 18:00:00+00:00,216.0,2845.0,1.0,1180.0,5.0,1373.0,1.0,649.0,1.0,832.0,1.0,150.0,0.0,2415.0
2018-01-07 19:00:00+00:00,215.0,2880.0,1.0,1180.0,5.0,1638.0,1.0,674.0,1.0,843.0,1.0,153.0,0.0,2249.0
2018-01-07 20:00:00+00:00,215.0,2797.0,1.0,1180.0,5.0,1730.0,1.0,709.0,1.0,835.0,1.0,149.0,0.0,2393.0
2018-01-07 21:00:00+00:00,215.0,2610.0,2.0,1180.0,5.0,1600.0,1.0,739.0,1.0,786.0,1.0,149.0,0.0,2557.0
2018-01-07 22:00:00+00:00,213.0,2502.0,3.0,1180.0,6.0,696.0,2.0,431.0,2.0,475.0,1.0,145.0,0.0,2626.0
2018-01-07 23:00:00+00:00,205.0,2245.0,3.0,1180.0,6.0,458.0,6.0,341.0,2.0,425.0,1.0,147.0,0.0,2679.0
2018-01-08 00:00:00+00:00,210.0,2455.0,3.0,1180.0,5.0,0.0,383.0,184.0,2.0,96.0,1.0,150.0,0.0,2309.0
2018-01-08 01:00:00+00:00,208.0,2419.0,3.0,1180.0,5.0,0.0,1038.0,177.0,2.0,94.0,1.0,151.0,0.0,1910.0
2018-01-08 02:00:00+00:00,209.0,2303.0,3.0,1180.0,5.0,0.0,1381.0,179.0,2.0,95.0,1.0,149.0,0.0,1931.0
2018-01-08 03:00:00+00:00,210.0,2284.0,5.0,1180.0,5.0,0.0,1243.0,175.0,2.0,95.0,1.0,153.0,0.0,1566.0
2018-01-08 04:00:00+00:00,212.0,2412.0,2.0,1181.0,6.0,0.0,900.0,184.0,2.0,93.0,1.0,150.0,0.0,1259.0
2018-01-08 05:00:00+00:00,211.0,2589.0,1.0,1180.0,6.0,421.0,11.0,299.0,2.0,423.0,1.0,146.0,0.0,1477.0
2018-01-08 06:00:00+00:00,210.0,2966.0,1.0,1180.0,5.0,957.0,2.0,503.0,1.0,618.0,1.0,147.0,0.0,1973.0
2018-01-08 07:00:00+00:00,211.0,3492.0,0.0,1180.0,5.0,975.0,2.0,643.0,1.0,562.0,1.0,145.0,0.0,1686.0
2018-01-08 08:00:00+00:00,207.0,3543.0,0.0,1180.0,5.0,1593.0,1.0,979.0,1.0,897.0,1.0,146.0,27.0,1238.0
2018-01-08 09:00:00+00:00,205.0,3495.0,0.0,1180.0,5.0,1488.0,1.0,1171.0,1.0,994.0,1.0,119.0,124.0,922.0
2018-01-08 10:00:00+00:00,214.0,3511.0,0.0,1180.0,6.0,1211.0,1.0,1264.0,1.0,995.0,1.0,121.0,214.0,734.0
