,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Oil shale,Fossil Peat,Hydro Run-of-river and poundage,Other,Other renewable,Solar,Waste,Wind Onshore
2018-01-02 03:00:00+02:00,71.0,55.0,1.0,677.0,5.0,3.0,0.0,6.0,1.0,15.0,216.0
2018-01-02 04:00:00+02:00,70.0,56.0,1.0,804.0,4.0,3.0,0.0,6.0,1.0,15.0,209.0
2018-01-02 05:00:00+02:00,69.0,57.0,1.0,742.0,4.0,3.0,0.0,6.0,1.0,16.0,217.0
2018-01-02 06:00:00+02:00,70.0,52.0,1.0,1032.0,4.0,3.0,0.0,6.0,1.0,15.0,224.0
2018-01-02 07:00:00+02:00,70.0,50.0,1.0,1072.0,4.0,3.0,0.0,6.0,1.0,15.0,218.0
2018-01-02 08:00:00+02:00,70.0,51.0,1.0,1105.0,4.0,3.0,0.0,6.0,1.0,16.0,210.0
2018-01-02 09:00:00+02:00,70.0,54.0,1.0,1156.0,4.0,3.0,0.0,6.0,1.0,17.0,203.0
2018-01-02 10:00:00+02:00,70.0,53.0,1.0,1199.0,4.0,3.0,0.0,6.0,1.0,17.0,160.0
2018-01-02 11:00:00+02:00,70.0,48.0,1.0,1222.0,4.0,3.0,0.0,6.0,1.0,17.0,164.0
2018-01-02 12:00:00+02:00,70.0,48.0,1.0,1224.0,4.0,3.0,0.0,6.0,1.0,16.0,164.0
2018-01-02 13:00:00+02:00,70.0,47.0,1.0,1169.0,4.0,3.0,0.0,6.0,1.0,16.0,167.0
2018-01-02 14:00:00+02:00,70.0,53.0,1.0,1098.0,4.0,3.0,0.0,6.0,1.0,16.0,163.0
2018-01-02 15:00:00+02:00,70.0,52.0,1.0,1116.0,4.0,3.0,0.0,6.0,1.0,15.0,167.0
2018-01-02 16:00:00+02:00,70.0,54.0,1.0,1115.0,4.0,3.0,0.0,5.0,1.0,16.0,175.0
2018-01-02 17:00:00+02:00,71.0,54.0,1.0,1103.0,4.0,3.0,0.0,5.0,1.0,16.0,185.0
2018-01-02 18:00:00+02:00,72.0,54.0,1.0,1085.0,5.0,3.0,0.0,5.0,1.0,16.0,169.0
2018-01-02 19:00:00+02:00,74.0,54.0,1.0,1088.0,5.0,3.0,0.0,5.0,1.0,16.0,155.0
2018-01-02 20:00:00+02:00,73.0,50.0,1.0,1111.0,5.0,3.0,0.0,5.0,1.0,16.0,164.0
2018-01-02 21:00:00+02:00,75.0,52.0,1.0,1119.0,5.0,3.0,0.0,5.0,1.0,17.0,175.0
2018-01-02 22:00:00+02:00,75.0,52.0,1.0,1168.0,5.0,3.0,0.0,5.0,1.0,17.0,176.0
2018-01-02 23:00:00+02:00,75.0,51.0,1.0,1194.0,5.0,3.0,0.0,5.0,1.0,17.0,176.0
2018-01-03 00:00:00+02:00,74.0,48.0,1.0,1172.0,5.0,3.0,0.0,5.0,1.0,17.0,158.0
2018-01-03 01:00:00+02:00,74.0,49.0,1.0,1020.0,5.0,3.0,0.0,5.0,1.0,17.0,156.0
2018-01-03 02:00:00+02:00,74.0,50.0,1.0,970.0,5.0,3.0,0.0,5.0,1.0,17.0,154.0
2018-01-03 03:00:00+02:00,74.0,31.0,1.0,887.0,5.0,3.0,0.0,5.0,1.0,16.0,163.0
2018-01-03 04:00:00+02:00,71.0,29.0,1.0,859.0,4.0,3.0,0.0,5.0,1.0,17.0,143.0
2018-01-03 05:00:00+02:00,71.0,27.0,1.0,960.0,4.0,3.0,0.0,5.0,1.0,17.0,127.0
2018-01-03 06:00:00+02:00,71.0,28.0,1.0,999.0,4.0,3.0,0.0,5.0,1.0,16.0,104.0
2018-01-03 07:00:00+02:00,71.0,29.0,1.0,1149.0,4.0,3.0,0.0,5.0,1.0,15.0,85.0
2018-01-03 08:00:00+02:00,71.0,30.0,1.0,1167.0,4.0,3.0,0.0,5.0,1.0,16.0,73.0
2018-01-03 09:00:00+02:00,71.0,33.0,1.0,1150.0,4.0,3.0,0.0,5.0,1.0,17.0,58.0
2018-01-03 10:00:00+02:00,71.0,28.0,1.0,1118.0,4.0,3.0,0.0,6.0,1.0,17.0,53.0
2018-01-03 11:00:00+02:00,71.0,28.0,1.0,1146.0,4.0,3.0,0.0,6.0,1.0,17.0,47.0
2018-01-03 12:00:00+02:00,71.0,30.0,1.0,1145.0,4.0,3.0,0.0,6.0,1.0,17.0,43.0
2018-01-03 13:00:00+02:00,71.0,31.0,1.0,1145.0,4.0,3.0,0.0,6.0,1.0,17.0,44.0
2018-01-03 14:00:00+02:00,70.0,32.0,1.0,1155.0,4.0,3.0,0.0,6.0,1.0,16.0,45.0
2018-01-03 15:00:00+02:00,71.0,33.0,1.0,1157.0,4.0,3.0,0.0,6.0,1.0,16.0,52.0
2018-01-03 16:00:00+02:00,71.0,30.0,1.0,1178.0,4.0,3.0,0.0,5.0,1.0,17.0,58.0
2018-01-03 17:00:00+02:00,71.0,30.0,1.0,1230.0,4.0,3.0,0.0,5.0,1.0,17.0,59.0
2018-01-03 18:00:00+02:00,74.0,33.0,1.0,1232.0,5.0,3.0,0.0,5.0,1.0,17.0,57.0
2018-01-03 19:00:00+02:00,74.0,33.0,1.0,1230.0,5.0,3.0,0.0,5.0,1.0,16.0,49.0
2018-01-03 20:00:00+02:00,76.0,42.0,1.0,1238.0,5.0,3.0,0.0,5.0,1.0,16.0,49.0
2018-01-03 21:00:00+02:00,76.0,49.0,1.0,1231.0,5.0,3.0,0.0,5.0,1.0,15.0,44.0
2018-01-03 22:00:00+02:00,76.0,54.0,1.0,1205.0,5.0,3.0,0.0,5.0,1.0,15.0,42.0
2018-01-03 23:00:00+02:00,76.0,58.0,1.0,1181.0,5.0,3.0,0.0,5.0,1.0,14.0,45.0
2018-01-04 00:00:00+02:00,73.0,58.0,1.0,1008.0,5.0,3.0,0.0,5.0,1.0,13.0,48.0
2018-01-04 01:00:00+02:00,71.0,60.0,1.0,981.0,5.0,3.0,0.0,5.0,1.0,15.0,49.0
2018-01-04 02:00:00+02:00,72.0,60.0,1.0,1031.0,5.0,3.0,0.0,5.0,1.0,16.0,54.0
2018-01-04 03:00:00+02:00,72.0,60.0,1.0,972.0,5.0,3.0,0.0,5.0,1.0,16.0,59.0
2018-01-04 04:00:00+02:00,70.0,60.0,1.0,963.0,4.0,3.0,0.0,5.0,1.0,16.0,63.0
2018-01-04 05:00:00+02:00,71.0,62.0,1.0,967.0,4.0,3.0,0.0,5.0,1.0,16.0,65.0
2018-01-04 06:00:00+02:00,71.0,63.0,1.0,971.0,4.0,3.0,0.0,5.0,1.0,16.0,68.0
2018-01-04 07:00:00+02:00,71.0,62.0,1.0,1102.0,4.0,3.0,0.0,5.0,1.0,16.0,76.0
2018-01-04 08:00:00+02:00,71.0,60.0,1.0,1155.0,4.0,3.0,0.0,5.0,1.0,16.0,84.0
2018-01-04 09:00:00+02:00,71.0,62.0,1.0,1183.0,4.0,3.0,0.0,5.0,1.0,16.0,84.0
2018-01-04 10:00:00+02:00,71.0,63.0,1.0,1175.0,4.0,3.0,0.0,5.0,1.0,16.0,81.0
2018-01-04 11:00:00+02:00,71.0,62.0,1.0,1218.0,4.0,3.0,0.0,5.0,1.0,16.0,80.0
2018-01-04 12:00:00+02:00,71.0,58.0,1.0,1237.0,4.0,3.0,0.0,5.0,1.0,17.0,81.0
2018-01-04 13:00:00+02:00,70.0,54.0,1.0,1225.0,4.0,3.0,0.0,5.0,1.0,16.0,83.0
2018-01-04 14:00:00+02:00,68.0,56.0,1.0,1235.0,4.0,3.0,0.0,5.0,1.0,16.0,81.0
2018-01-04 15:00:00+02:00,68.0,58.0,1.0,1237.0,4.0,3.0,0.0,5.0,1.0,16.0,87.0
2018-01-04 16:00:00+02:00,69.0,58.0,1.0,1239.0,4.0,3.0,0.0,5.0,1.0,16.0,100.0
2018-01-04 17:00:00+02:00,70.0,59.0,1.0,1190.0,4.0,3.0,0.0,5.0,1.0,16.0,106.0
2018-01-04 18:00:00+02:00,73.0,61.0,1.0,1183.0,5.0,3.0,0.0,5.0,1.0,16.0,112.0
2018-01-04 19:00:00+02:00,74.0,64.0,1.0,1183.0,5.0,3.0,0.0,5.0,1.0,16.0,121.0
2018-01-04 20:00:00+02:00,75.0,64.0,1.0,1199.0,5.0,3.0,0.0,5.0,1.0,15.0,132.0
2018-01-04 21:00:00+02:00,76.0,63.0,1.0,1183.0,5.0,3.0,0.0,5.0,1.0,14.0,144.0
2018-01-04 22:00:00+02:00,76.0,62.0,1.0,1106.0,5.0,3.0,0.0,5.0,1.0,12.0,149.0
2018-01-04 23:00:00+02:00,76.0,57.0,1.0,1216.0,5.0,3.0,0.0,5.0,1.0,11.0,151.0
2018-01-05 00:00:00+02:00,75.0,37.0,1.0,1121.0,5.0,3.0,0.0,5.0,1.0,12.0,154.0
2018-01-05 01:00:00+02:00,71.0,38.0,1.0,915.0,5.0,3.0,0.0,5.0,1.0,14.0,150.0
2018-01-05 02:00:00+02:00,70.0,37.0,1.0,905.0,5.0,3.0,0.0,5.0,1.0,15.0,154.0
2018-01-05 03:00:00+02:00,70.0,34.0,1.0,898.0,5.0,3.0,0.0,5.0,1.0,15.0,163.0
2018-01-05 04:00:00+02:00,67.0,36.0,1.0,869.0,4.0,3.0,0.0,5.0,1.0,14.0,176.0
2018-01-05 05:00:00+02:00,67.0,36.0,1.0,849.0,4.0,3.0,0.0,5.0,1.0,15.0,175.0
2018-01-05 06:00:00+02:00,70.0,38.0,1.0,985.0,4.0,3.0,0.0,5.0,1.0,15.0,155.0
2018-01-05 07:00:00+02:00,71.0,37.0,1.0,1186.0,4.0,3.0,0.0,5.0,1.0,15.0,146.0
2018-01-05 08:00:00+02:00,70.0,36.0,1.0,1223.0,4.0,3.0,0.0,5.0,1.0,16.0,134.0
2018-01-05 09:00:00+02:00,69.0,35.0,1.0,1210.0,4.0,3.0,0.0,5.0,1.0,16.0,124.0
2018-01-05 10:00:00+02:00,69.0,36.0,1.0,1188.0,4.0,3.0,0.0,5.0,1.0,16.0,113.0
2018-01-05 11:00:00+02:00,70.0,38.0,1.0,1181.0,4.0,3.0,0.0,5.0,1.0,16.0,126.0
2018-01-05 12:00:00+02:00,70.0,36.0,1.0,1162.0,4.0,3.0,0.0,5.0,1.0,16.0,142.0
2018-01-05 13:00:00+02:00,70.0,36.0,1.0,1192.0,4.0,3.0,0.0,5.0,1.0,16.0,136.0
2018-01-05 14:00:00+02:00,71.0,38.0,1.0,1239.0,4.0,3.0,0.0,5.0,1.0,15.0,120.0
2018-01-05 15:00:00+02:00,70.0,33.0,1.0,1211.0,4.0,3.0,0.0,5.0,1.0,14.0,102.0
2018-01-05 16:00:00+02:00,70.0,36.0,1.0,1231.0,4.0,3.0,0.0,5.0,1.0,14.0,96.0
2018-01-05 17:00:00+02:00,71.0,36.0,1.0,1239.0,4.0,3.0,0.0,5.0,1.0,14.0,92.0
2018-01-05 18:00:00+02:00,73.0,37.0,1.0,1233.0,5.0,3.0,0.0,5.0,1.0,14.0,93.0
2018-01-05 19:00:00+02:00,74.0,37.0,1.0,1171.0,5.0,3.0,0.0,5.0,1.0,15.0,91.0
2018-01-05 20:00:00+02:00,75.0,39.0,1.0,1080.0,5.0,3.0,0.0,5.0,1.0,14.0,88.0
2018-01-05 21:00:00+02:00,75.0,38.0,1.0,1045.0,5.0,3.0,0.0,5.0,1.0,14.0,78.0
2018-01-05 22:00:00+02:00,76.0,37.0,1.0,1084.0,5.0,3.0,0.0,5.0,1.0,12.0,75.0
2018-01-05 23:00:00+02:00,75.0,35.0,1.0,1104.0,5.0,3.0,0.0,5.0,1.0,12.0,71.0
2018-01-06 00:00:00+02:00,74.0,37.0,1.0,1091.0,5.0,3.0,0.0,5.0,1.0,15.0,59.0
2018-01-06 01:00:00+02:00,73.0,36.0,1.0,905.0,5.0,3.0,0.0,5.0,1.0,16.0,51.0
2018-01-06 02:00:00+02:00,73.0,36.0,1.0,891.0,5.0,3.0,0.0,5.0,1.0,17.0,46.0
2018-01-06 03:00:00+02:00,73.0,36.0,1.0,893.0,5.0,3.0,0.0,5.0,1.0,17.0,42.0
2018-01-06 04:00:00+02:00,70.0,34.0,1.0,887.0,4.0,3.0,0.0,5.0,1.0,16.0,52.0
2018-01-06 05:00:00+02:00,70.0,36.0,1.0,840.0,4.0,3.0,0.0,5.0,1.0,16.0,66.0
2018-01-06 06:00:00+02:00,70.0,38.0,1.0,796.0,4.0,3.0,0.0,5.0,1.0,15.0,64.0
2018-01-06 07:00:00+02:00,70.0,38.0,1.0,797.0,4.0,3.0,0.0,5.0,1.0,14.0,79.0
2018-01-06 08:00:00+02:00,69.0,38.0,1.0,751.0,4.0,3.0,0.0,6.0,1.0,15.0,100.0
2018-01-06 09:00:00+02:00,69.0,39.0,1.0,730.0,4.0,3.0,0.0,6.0,1.0,16.0,105.0
2018-01-06 10:00:00+02:00,70.0,40.0,1.0,774.0,4.0,3.0,0.0,6.0,1.0,16.0,119.0
2018-01-06 11:00:00+02:00,72.0,39.0,1.0,852.0,4.0,3.0,0.0,6.0,1.0,16.0,125.0
2018-01-06 12:00:00+02:00,73.0,38.0,1.0,892.0,4.0,3.0,0.0,6.0,1.0,16.0,125.0
2018-01-06 13:00:00+02:00,73.0,37.0,1.0,903.0,4.0,3.0,0.0,6.0,1.0,16.0,127.0
2018-01-06 14:00:00+02:00,73.0,37.0,1.0,900.0,4.0,3.0,0.0,6.0,1.0,16.0,132.0
2018-01-06 15:00:00+02:00,73.0,38.0,1.0,865.0,4.0,3.0,0.0,6.0,1.0,15.0,139.0
2018-01-06 16:00:00+02:00,73.0,38.0,1.0,835.0,4.0,3.0,0.0,6.0,1.0,16.0,132.0
2018-01-06 17:00:00+02:00,73.0,38.0,1.0,901.0,4.0,3.0,0.0,6.0,1.0,16.0,132.0
2018-01-06 18:00:00+02:00,75.0,40.0,1.0,891.0,5.0,3.0,0.0,6.0,1.0,16.0,140.0
2018-01-06 19:00:00+02:00,76.0,38.0,1.0,883.0,5.0,3.0,0.0,6.0,1.0,16.0,139.0
2018-01-06 20:00:00+02:00,77.0,37.0,1.0,900.0,5.0,3.0,0.0,6.0,1.0,16.0,141.0
2018-01-06 21:00:00+02:00,77.0,38.0,1.0,895.0,5.0,3.0,0.0,6.0,1.0,16.0,145.0
2018-01-06 22:00:00+02:00,77.0,38.0,1.0,875.0,5.0,3.0,0.0,6.0,1.0,16.0,145.0
2018-01-06 23:00:00+02:00,77.0,40.0,1.0,875.0,5.0,3.0,0.0,6.0,1.0,16.0,132.0
2018-01-07 00:00:00+02:00,77.0,39.0,1.0,882.0,5.0,3.0,0.0,6.0,1.0,16.0,163.0
2018-01-07 01:00:00+02:00,75.0,37.0,1.0,885.0,5.0,3.0,0.0,6.0,1.0,16.0,176.0
2018-01-07 02:00:00+02:00,75.0,39.0,1.0,812.0,5.0,3.0,0.0,6.0,1.0,16.0,193.0
2018-01-07 03:00:00+02:00,75.0,38.0,1.0,782.0,5.0,3.0,0.0,6.0,1.0,16.0,196.0
2018-01-07 04:00:00+02:00,72.0,35.0,1.0,794.0,4.0,3.0,0.0,6.0,1.0,16.0,185.0
2018-01-07 05:00:00+02:00,73.0,33.0,1.0,797.0,4.0,3.0,0.0,6.0,1.0,17.0,179.0
2018-01-07 06:00:00+02:00,73.0,35.0,1.0,794.0,4.0,3.0,0.0,6.0,1.0,16.0,183.0
2018-01-07 07:00:00+02:00,72.0,34.0,1.0,794.0,4.0,3.0,0.0,6.0,1.0,16.0,193.0
2018-01-07 08:00:00+02:00,73.0,34.0,1.0,828.0,4.0,3.0,0.0,6.0,1.0,17.0,207.0
2018-01-07 09:00:00+02:00,72.0,34.0,1.0,810.0,4.0,3.0,0.0,6.0,1.0,17.0,211.0
2018-01-07 10:00:00+02:00,72.0,34.0,1.0,800.0,4.0,3.0,0.0,6.0,1.0,17.0,210.0
2018-01-07 11:00:00+02:00,72.0,34.0,1.0,801.0,4.0,3.0,0.0,6.0,1.0,17.0,223.0
2018-01-07 12:00:00+02:00,72.0,35.0,1.0,819.0,4.0,3.0,0.0,6.0,1.0,17.0,207.0
2018-01-07 13:00:00+02:00,72.0,36.0,1.0,820.0,4.0,3.0,0.0,6.0,1.0,17.0,212.0
2018-01-07 14:00:00+02:00,72.0,36.0,1.0,793.0,4.0,3.0,0.0,6.0,1.0,16.0,210.0
2018-01-07 15:00:00+02:00,72.0,33.0,1.0,795.0,4.0,3.0,0.0,6.0,1.0,15.0,210.0
2018-01-07 16:00:00+02:00,72.0,32.0,1.0,807.0,4.0,3.0,0.0,6.0,1.0,15.0,202.0
2018-01-07 17:00:00+02:00,73.0,34.0,1.0,831.0,4.0,3.0,0.0,6.0,1.0,15.0,217.0
2018-01-07 18:00:00+02:00,75.0,35.0,1.0,862.0,5.0,3.0,0.0,6.0,1.0,15.0,235.0
2018-01-07 19:00:00+02:00,75.0,35.0,1.0,877.0,5.0,3.0,0.0,6.0,1.0,13.0,238.0
2018-01-07 20:00:00+02:00,77.0,33.0,1.0,843.0,5.0,3.0,0.0,6.0,1.0,15.0,249.0
2018-01-07 21:00:00+02:00,77.0,33.0,1.0,848.0,5.0,3.0,0.0,6.0,1.0,15.0,249.0
2018-01-07 22:00:00+02:00,77.0,33.0,1.0,881.0,5.0,3.0,0.0,6.0,1.0,15.0,243.0
2018-01-07 23:00:00+02:00,77.0,34.0,1.0,878.0,5.0,3.0,0.0,6.0,1.0,15.0,237.0
2018-01-08 00:00:00+02:00,76.0,33.0,1.0,890.0,5.0,3.0,0.0,6.0,1.0,16.0,233.0
2018-01-08 01:00:00+02:00,75.0,35.0,1.0,827.0,5.0,3.0,0.0,6.0,1.0,17.0,227.0
2018-01-08 02:00:00+02:00,75.0,36.0,1.0,842.0,5.0,3.0,0.0,6.0,1.0,16.0,221.0
2018-01-08 03:00:00+02:00,75.0,37.0,1.0,882.0,5.0,3.0,0.0,6.0,1.0,16.0,225.0
2018-01-08 04:00:00+02:00,72.0,38.0,1.0,931.0,4.0,3.0,0.0,6.0,1.0,16.0,230.0
2018-01-08 05:00:00+02:00,72.0,38.0,1.0,1007.0,4.0,3.0,0.0,6.0,1.0,16.0,237.0
2018-01-08 06:00:00+02:00,71.0,36.0,1.0,1162.0,4.0,3.0,0.0,6.0,1.0,15.0,237.0
2018-01-08 07:00:00+02:00,71.0,35.0,1.0,1346.0,4.0,3.0,0.0,6.0,1.0,13.0,241.0
2018-01-08 08:00:00+02:00,71.0,35.0,3.0,1433.0,4.0,3.0,0.0,6.0,1.0,15.0,242.0
2018-01-08 09:00:00+02:00,71.0,34.0,3.0,1434.0,4.0,3.0,0.0,6.0,1.0,15.0,241.0
2018-01-08 10:00:00+02:00,72.0,36.0,3.0,1434.0,4.0,3.0,0.0,6.0,1.0,15.0,237.0
2018-01-08 11:00:00+02:00,72.0,35.0,3.0,1376.0,4.0,3.0,0.0,6.0,1.0,15.0,227.0
2018-01-08 12:00:00+02:00,72.0,35.0,3.0,1362.0,4.0,3.0,0.0,6.0,1.0,15.0,203.0
2018-01-08 13:00:00+02:00,71.0,37.0,3.0,1375.0,4.0,3.0,0.0,6.0,1.0,16.0,183.0
2018-01-08 14:00:00+02:00,71.0,35.0,3.0,1416.0,4.0,3.0,0.0,6.0,1.0,15.0,172.0
2018-01-08 15:00:00+02:00,71.0,32.0,3.0,1357.0,4.0,3.0,0.0,6.0,1.0,15.0,137.0
2018-01-08 16:00:00+02:00,70.0,32.0,3.0,1422.0,4.0,3.0,0.0,6.0,1.0,17.0,97.0
2018-01-08 17:00:00+02:00,70.0,34.0,3.0,1432.0,4.0,3.0,0.0,6.0,1.0,17.0,94.0
2018-01-08 18:00:00+02:00,71.0,34.0,3.0,1440.0,5.0,3.0,0.0,6.0,1.0,18.0,84.0
2018-01-08 19:00:00+02:00,72.0,34.0,1.0,1438.0,5.0,3.0,0.0,6.0,1.0,17.0,68.0
2018-01-08 20:00:00+02:00,74.0,34.0,1.0,1437.0,5.0,3.0,0.0,6.0,1.0,17.0,67.0
2018-01-08 21:00:00+02:00,74.0,33.0,1.0,1425.0,5.0,3.0,0.0,6.0,1.0,17.0,74.0
2018-01-08 22:00:00+02:00,74.0,33.0,1.0,1404.0,5.0,3.0,0.0,6.0,1.0,17.0,88.0
2018-01-08 23:00:00+02:00,74.0,34.0,1.0,1378.0,5.0,3.0,0.0,6.0,1.0,17.0,83.0
2018-01-09 00:00:00+02:00,73.0,34.0,1.0,1237.0,5.0,3.0,0.0,6.0,1.0,16.0,78.0
2018-01-09 01:00:00+02:00,72.0,36.0,1.0,1040.0,5.0,3.0,0.0,6.0,1.0,16.0,88.0
2018-01-09 02:00:00+02:00,72.0,38.0,1.0,929.0,5.0,3.0,0.0,6.0,1.0,16.0,79.0
2018-01-09 03:00:00+02:00,72.0,37.0,1.0,990.0,5.0,3.0,0.0,6.0,1.0,16.0,65.0
2018-01-09 04:00:00+02:00,69.0,36.0,1.0,1026.0,4.0,3.0,0.0,6.0,1.0,16.0,79.0
2018-01-09 05:00:00+02:00,70.0,35.0,1.0,1037.0,4.0,3.0,0.0,6.0,1.0,16.0,80.0
2018-01-09 06:00:00+02:00,69.0,36.0,1.0,1280.0,4.0,3.0,0.0,6.0,1.0,16.0,90.0
2018-01-09 07:00:00+02:00,69.0,36.0,1.0,1422.0,4.0,3.0,0.0,6.0,1.0,16.0,81.0
2018-01-09 08:00:00+02:00,69.0,37.0,2.0,1430.0,4.0,3.0,0.0,6.0,1.0,14.0,74.0
2018-01-09 09:00:00+02:00,68.0,37.0,2.0,1435.0,4.0,3.0,0.0,6.0,1.0,13.0,76.0
2018-01-09 10:00:00+02:00,69.0,38.0,3.0,1435.0,4.0,3.0,0.0,6.0,1.0,13.0,79.0
2018-01-09 11:00:00+02:00,70.0,38.0,3.0,1435.0,4.0,3.0,0.0,6.0,1.0,13.0,101.0
2018-01-09 12:00:00+02:00,68.0,38.0,3.0,1396.0,4.0,3.0,0.0,6.0,1.0,12.0,114.0
2018-01-09 13:00:00+02:00,68.0,36.0,3.0,1423.0,4.0,3.0,0.0,6.0,1.0,11.0,98.0
2018-01-09 14:00:00+02:00,68.0,36.0,3.0,1435.0,4.0,3.0,0.0,6.0,1.0,10.0,99.0
2018-01-09 15:00:00+02:00,68.0,37.0,3.0,1413.0,4.0,3.0,0.0,6.0,1.0,10.0,98.0
2018-01-09 16:00:00+02:00,68.0,34.0,3.0,1422.0,4.0,3.0,0.0,6.0,1.0,10.0,96.0
2018-01-09 17:00:00+02:00,68.0,34.0,3.0,1423.0,4.0,3.0,0.0,6.0,1.0,4.0,79.0
2018-01-09 18:00:00+02:00,70.0,35.0,3.0,1437.0,4.0,3.0,0.0,6.0,1.0,2.0,50.0
2018-01-09 19:00:00+02:00,71.0,35.0,1.0,1438.0,4.0,3.0,0.0,6.0,1.0,2.0,39.0
2018-01-09 20:00:00+02:00,73.0,35.0,1.0,1428.0,5.0,3.0,0.0,6.0,1.0,2.0,35.0
2018-01-09 21:00:00+02:00,72.0,35.0,1.0,1431.0,5.0,3.0,0.0,6.0,1.0,2.0,30.0
2018-01-09 22:00:00+02:00,72.0,37.0,1.0,1429.0,5.0,3.0,0.0,6.0,1.0,2.0,25.0
2018-01-09 23:00:00+02:00,72.0,38.0,1.0,1433.0,5.0,3.0,0.0,6.0,1.0,2.0,25.0
2018-01-10 00:00:00+02:00,72.0,37.0,1.0,1433.0,5.0,3.0,0.0,6.0,1.0,2.0,26.0
2018-01-10 01:00:00+02:00,71.0,38.0,1.0,1428.0,4.0,3.0,0.0,5.0,1.0,2.0,23.0
2018-01-10 02:00:00+02:00,72.0,38.0,1.0,1434.0,4.0,3.0,0.0,5.0,1.0,2.0,20.0
2018-01-10 03:00:00+02:00,73.0,37.0,1.0,1451.0,4.0,3.0,0.0,5.0,1.0,2.0,16.0
2018-01-10 04:00:00+02:00,71.0,38.0,1.0,1472.0,4.0,3.0,0.0,5.0,1.0,2.0,15.0
2018-01-10 05:00:00+02:00,72.0,39.0,1.0,1483.0,4.0,3.0,0.0,5.0,1.0,2.0,15.0
2018-01-10 06:00:00+02:00,68.0,40.0,1.0,1434.0,4.0,3.0,0.0,5.0,1.0,2.0,15.0
2018-01-10 07:00:00+02:00,66.0,41.0,1.0,1432.0,4.0,3.0,0.0,5.0,1.0,1.0,14.0
2018-01-10 08:00:00+02:00,66.0,41.0,3.0,1432.0,4.0,3.0,0.0,6.0,1.0,1.0,12.0
