"Time (CET)","Belgium (BE) > Netherlands (NL) [MW]","Netherlands (NL) > Belgium (BE) [MW]"
"05.01.2018 05:00 - 05.01.2018 06:00","367","0"
"05.01.2018 06:00 - 05.01.2018 07:00","279","0"
"05.01.2018 07:00 - 05.01.2018 08:00","0","792"
"05.01.2018 08:00 - 05.01.2018 09:00","0","1303"
"05.01.2018 09:00 - 05.01.2018 10:00","0","1347"
"05.01.2018 10:00 - 05.01.2018 11:00","0","1205"
"05.01.2018 11:00 - 05.01.2018 12:00","0","1120"
"05.01.2018 12:00 - 05.01.2018 13:00","0","1076"
"05.01.2018 13:00 - 05.01.2018 14:00","0","740"
"05.01.2018 14:00 - 05.01.2018 15:00","0","301"
"05.01.2018 15:00 - 05.01.2018 16:00","152","0"
"05.01.2018 16:00 - 05.01.2018 17:00","270","0"
"05.01.2018 17:00 - 05.01.2018 18:00","387","0"
"05.01.2018 18:00 - 05.01.2018 19:00","0","647"
"05.01.2018 19:00 - 05.01.2018 20:00","0","1306"
"05.01.2018 20:00 - 05.01.2018 21:00","0","1484"
"05.01.2018 21:00 - 05.01.2018 22:00","0","895"
"05.01.2018 22:00 - 05.01.2018 23:00","0","1276"
"05.01.2018 23:00 - 06.01.2018 00:00","0","1535"
"06.01.2018 00:00 - 06.01.2018 01:00","0","996"
"06.01.2018 01:00 - 06.01.2018 02:00","0","349"
"06.01.2018 02:00 - 06.01.2018 03:00","0","77"
"06.01.2018 03:00 - 06.01.2018 04:00","232","0"
"06.01.2018 04:00 - 06.01.2018 05:00","430","0"
"06.01.2018 05:00 - 06.01.2018 06:00","330","0"
"06.01.2018 06:00 - 06.01.2018 07:00","42","0"
"06.01.2018 07:00 - 06.01.2018 08:00","0","36"
"06.01.2018 08:00 - 06.01.2018 09:00","0","322"
"06.01.2018 09:00 - 06.01.2018 10:00","0","612"
"06.01.2018 10:00 - 06.01.2018 11:00","0","681"
"06.01.2018 11:00 - 06.01.2018 12:00","0","512"
"06.01.2018 12:00 - 06.01.2018 13:00","0","661"
"06.01.2018 13:00 - 06.01.2018 14:00","0","456"
"06.01.2018 14:00 - 06.01.2018 15:00","0","220"
"06.01.2018 15:00 - 06.01.2018 16:00","0","70"
"06.01.2018 16:00 - 06.01.2018 17:00","458","0"
"06.01.2018 17:00 - 06.01.2018 18:00","273","0"
"06.01.2018 18:00 - 06.01.2018 19:00","0","772"
"06.01.2018 19:00 - 06.01.2018 20:00","0","1043"
"06.01.2018 20:00 - 06.01.2018 21:00","0","808"
"06.01.2018 21:00 - 06.01.2018 22:00","0","420"
"06.01.2018 22:00 - 06.01.2018 23:00","0","839"
"06.01.2018 23:00 - 07.01.2018 00:00","0","611"
"07.01.2018 00:00 - 07.01.2018 01:00","0","193"
"07.01.2018 01:00 - 07.01.2018 02:00","145","0"
"07.01.2018 02:00 - 07.01.2018 03:00","656","0"
"07.01.2018 03:00 - 07.01.2018 04:00","1222","0"
"07.01.2018 04:00 - 07.01.2018 05:00","1671","0"
"07.01.2018 05:00 - 07.01.2018 06:00","1748","0"
"07.01.2018 06:00 - 07.01.2018 07:00","1850","0"
"07.01.2018 07:00 - 07.01.2018 08:00","2076","0"
"07.01.2018 08:00 - 07.01.2018 09:00","2168","0"
"07.01.2018 09:00 - 07.01.2018 10:00","1922","0"
"07.01.2018 10:00 - 07.01.2018 11:00","1715","0"
"07.01.2018 11:00 - 07.01.2018 12:00","1831","0"
"07.01.2018 12:00 - 07.01.2018 13:00","1822","0"
"07.01.2018 13:00 - 07.01.2018 14:00","1932","0"
"07.01.2018 14:00 - 07.01.2018 15:00","2045","0"
"07.01.2018 15:00 - 07.01.2018 16:00","2105","0"
"07.01.2018 16:00 - 07.01.2018 17:00","1891","0"
"07.01.2018 17:00 - 07.01.2018 18:00","1163","0"
"07.01.2018 18:00 - 07.01.2018 19:00","0","240"
"07.01.2018 19:00 - 07.01.2018 20:00","0","389"
"07.01.2018 20:00 - 07.01.2018 21:00","0","311"
"07.01.2018 21:00 - 07.01.2018 22:00","76","0"
"07.01.2018 22:00 - 07.01.2018 23:00","0","446"
"07.01.2018 23:00 - 08.01.2018 00:00","0","516"
"08.01.2018 00:00 - 08.01.2018 01:00","144","0"
"08.01.2018 01:00 - 08.01.2018 02:00","0","77"
"08.01.2018 02:00 - 08.01.2018 03:00","161","0"
"08.01.2018 03:00 - 08.01.2018 04:00","554","0"
"08.01.2018 04:00 - 08.01.2018 05:00","596","0"
"08.01.2018 05:00 - 08.01.2018 06:00","222","0"
"08.01.2018 06:00 - 08.01.2018 07:00","0","1050"
"08.01.2018 07:00 - 08.01.2018 08:00","0","2171"
"08.01.2018 08:00 - 08.01.2018 09:00","0","2657"
"08.01.2018 09:00 - 08.01.2018 10:00","0","2607"
"08.01.2018 10:00 - 08.01.2018 11:00","0","2830"
"08.01.2018 11:00 - 08.01.2018 12:00","0","3078"
"08.01.2018 12:00 - 08.01.2018 13:00","0","3090"
"08.01.2018 13:00 - 08.01.2018 14:00","0","3126"
"08.01.2018 14:00 - 08.01.2018 15:00","0","2792"
"08.01.2018 15:00 - 08.01.2018 16:00","0","2637"
"08.01.2018 16:00 - 08.01.2018 17:00","0","2699"
"08.01.2018 17:00 - 08.01.2018 18:00","0","2860"
"08.01.2018 18:00 - 08.01.2018 19:00","0","2986"
"08.01.2018 19:00 - 08.01.2018 20:00","0","2769"
"08.01.2018 20:00 - 08.01.2018 21:00","0","2311"
"08.01.2018 21:00 - 08.01.2018 22:00","0","2128"
"08.01.2018 22:00 - 08.01.2018 23:00","0","2126"
"08.01.2018 23:00 - 09.01.2018 00:00","0","1851"
"09.01.2018 00:00 - 09.01.2018 01:00","0","2596"
"09.01.2018 01:00 - 09.01.2018 02:00","0","2553"
"09.01.2018 02:00 - 09.01.2018 03:00","0","2440"
"09.01.2018 03:00 - 09.01.2018 04:00","0","2093"
"09.01.2018 04:00 - 09.01.2018 05:00","0","1818"
"09.01.2018 05:00 - 09.01.2018 06:00","0","2237"
"09.01.2018 06:00 - 09.01.2018 07:00","0","2566"
"09.01.2018 07:00 - 09.01.2018 08:00","0","2612"
"09.01.2018 08:00 - 09.01.2018 09:00","0","2179"
"09.01.2018 09:00 - 09.01.2018 10:00","0","1927"
"09.01.2018 10:00 - 09.01.2018 11:00","0","2182"
"09.01.2018 11:00 - 09.01.2018 12:00","0","2079"
"09.01.2018 12:00 - 09.01.2018 13:00","0","2058"
"09.01.2018 13:00 - 09.01.2018 14:00","0","2077"
"09.01.2018 14:00 - 09.01.2018 15:00","0","1851"
"09.01.2018 15:00 - 09.01.2018 16:00","0","1646"
"09.01.2018 16:00 - 09.01.2018 17:00","0","1550"
"09.01.2018 17:00 - 09.01.2018 18:00","0","1753"
"09.01.2018 18:00 - 09.01.2018 19:00","0","2008"
"09.01.2018 19:00 - 09.01.2018 20:00","0","2019"
"09.01.2018 20:00 - 09.01.2018 21:00","0","1874"
"09.01.2018 21:00 - 09.01.2018 22:00","0","1687"
"09.01.2018 22:00 - 09.01.2018 23:00","0","2409"
"09.01.2018 23:00 - 10.01.2018 00:00","0","2193"
"10.01.2018 00:00 - 10.01.2018 01:00","0","1452"
"10.01.2018 01:00 - 10.01.2018 02:00","0","752"
"10.01.2018 02:00 - 10.01.2018 03:00","0","39"
"10.01.2018 03:00 - 10.01.2018 04:00","421","0"
"10.01.2018 04:00 - 10.01.2018 05:00","514","0"
"10.01.2018 05:00 - 10.01.2018 06:00","29","0"
"10.01.2018 06:00 - 10.01.2018 07:00","0","768"
"10.01.2018 07:00 - 10.01.2018 08:00","0","1222"
"10.01.2018 08:00 - 10.01.2018 09:00","0","877"
"10.01.2018 09:00 - 10.01.2018 10:00","0","928"
"10.01.2018 10:00 - 10.01.2018 11:00","0","901"
"10.01.2018 11:00 - 10.01.2018 12:00","0","864"
"10.01.2018 12:00 - 10.01.2018 13:00","0","946"
"10.01.2018 13:00 - 10.01.2018 14:00","0","714"
"10.01.2018 14:00 - 10.01.2018 15:00","0","505"
"10.01.2018 15:00 - 10.01.2018 16:00","0","232"
"10.01.2018 16:00 - 10.01.2018 17:00","130","0"
"10.01.2018 17:00 - 10.01.2018 18:00","0","140"
"10.01.2018 18:00 - 10.01.2018 19:00","0","1431"
"10.01.2018 19:00 - 10.01.2018 20:00","0","2241"
"10.01.2018 20:00 - 10.01.2018 21:00","0","2451"
"10.01.2018 21:00 - 10.01.2018 22:00","0","2117"
"10.01.2018 22:00 - 10.01.2018 23:00","0","2267"
"10.01.2018 23:00 - 11.01.2018 00:00","0","2578"
"11.01.2018 00:00 - 11.01.2018 01:00","0","2287"
"11.01.2018 01:00 - 11.01.2018 02:00","0","2059"
"11.01.2018 02:00 - 11.01.2018 03:00","0","1629"
"11.01.2018 03:00 - 11.01.2018 04:00","0","1045"
"11.01.2018 04:00 - 11.01.2018 05:00","0","1090"
"11.01.2018 05:00 - 11.01.2018 06:00","0","1635"
"11.01.2018 06:00 - 11.01.2018 07:00","0","1830"
"11.01.2018 07:00 - 11.01.2018 08:00","0","1779"
"11.01.2018 08:00 - 11.01.2018 09:00","0","1912"
"11.01.2018 09:00 - 11.01.2018 10:00","0","1507"
"11.01.2018 10:00 - 11.01.2018 11:00","0","1421"
"11.01.2018 11:00 - 11.01.2018 12:00","0","1447"
"11.01.2018 12:00 - 11.01.2018 13:00","0","1318"
"11.01.2018 13:00 - 11.01.2018 14:00","0","1060"
"11.01.2018 14:00 - 11.01.2018 15:00","0","1006"
"11.01.2018 15:00 - 11.01.2018 16:00","0","847"
"11.01.2018 16:00 - 11.01.2018 17:00","0","766"
"11.01.2018 17:00 - 11.01.2018 18:00","0","1174"
"11.01.2018 18:00 - 11.01.2018 19:00","0","2264"
"11.01.2018 19:00 - 11.01.2018 20:00","0","2619"
"11.01.2018 20:00 - 11.01.2018 21:00","0","2493"
"11.01.2018 21:00 - 11.01.2018 22:00","0","2686"
"11.01.2018 22:00 - 11.01.2018 23:00","0","2888"
"11.01.2018 23:00 - 12.01.2018 00:00","0","2585"
"12.01.2018 00:00 - 12.01.2018 01:00","0","2207"
"12.01.2018 01:00 - 12.01.2018 02:00","0","2299"
"12.01.2018 02:00 - 12.01.2018 03:00","0","1757"
"12.01.2018 03:00 - 12.01.2018 04:00","0","1356"
"12.01.2018 04:00 - 12.01.2018 05:00","0","1219"
"12.01.2018 05:00 - 12.01.2018 06:00","0","1800"
"12.01.2018 06:00 - 12.01.2018 07:00","0","1896"
"12.01.2018 07:00 - 12.01.2018 08:00","0","2176"
"12.01.2018 08:00 - 12.01.2018 09:00","0","1828"
"12.01.2018 09:00 - 12.01.2018 10:00","0","1482"
"12.01.2018 10:00 - 12.01.2018 11:00","0","1352"
"12.01.2018 11:00 - 12.01.2018 12:00","0","1291"
"12.01.2018 12:00 - 12.01.2018 13:00","0","1563"
"12.01.2018 13:00 - 12.01.2018 14:00","0","1640"
"12.01.2018 14:00 - 12.01.2018 15:00","0","1520"
"12.01.2018 15:00 - 12.01.2018 16:00","0","1487"
"12.01.2018 16:00 - 12.01.2018 17:00","0","1648"
"12.01.2018 17:00 - 12.01.2018 18:00","0","1927"
"12.01.2018 18:00 - 12.01.2018 19:00","0","2574"
"12.01.2018 19:00 - 12.01.2018 20:00","0","2487"
"12.01.2018 20:00 - 12.01.2018 21:00","0","2497"
"12.01.2018 21:00 - 12.01.2018 22:00","0","2482"
"12.01.2018 22:00 - 12.01.2018 23:00","0","2767"
"12.01.2018 23:00 - 13.01.2018 00:00","0","2639"
"13.01.2018 00:00 - 13.01.2018 01:00","0","2526"
"13.01.2018 01:00 - 13.01.2018 02:00","0","1982"
"13.01.2018 02:00 - 13.01.2018 03:00","0","1848"
"13.01.2018 03:00 - 13.01.2018 04:00","0","1504"
"13.01.2018 04:00 - 13.01.2018 05:00","0","1199"
"13.01.2018 05:00 - 13.01.2018 06:00","0","1419"
"13.01.2018 06:00 - 13.01.2018 07:00","0","1595"
"13.01.2018 07:00 - 13.01.2018 08:00","0","1826"
"13.01.2018 08:00 - 13.01.2018 09:00","0","2267"
"13.01.2018 09:00 - 13.01.2018 10:00","0","2347"
"13.01.2018 10:00 - 13.01.2018 11:00","0","2106"
"13.01.2018 11:00 - 13.01.2018 12:00","0","2199"
"13.01.2018 12:00 - 13.01.2018 13:00","0","2230"
"13.01.2018 13:00 - 13.01.2018 14:00","0","2005"
"13.01.2018 14:00 - 13.01.2018 15:00","0","1806"
"13.01.2018 15:00 - 13.01.2018 16:00","0","1658"
"13.01.2018 16:00 - 13.01.2018 17:00","0","1813"
"13.01.2018 17:00 - 13.01.2018 18:00","0","1773"
"13.01.2018 18:00 - 13.01.2018 19:00","0","2243"
"13.01.2018 19:00 - 13.01.2018 20:00","0","2622"
"13.01.2018 20:00 - 13.01.2018 21:00","0","2706"
"13.01.2018 21:00 - 13.01.2018 22:00","0","2438"
"13.01.2018 22:00 - 13.01.2018 23:00","0","2989"
"13.01.2018 23:00 - 14.01.2018 00:00","0","2897"
"14.01.2018 00:00 - 14.01.2018 01:00","0","2081"
"14.01.2018 01:00 - 14.01.2018 02:00","0","1884"
"14.01.2018 02:00 - 14.01.2018 03:00","0","1755"
"14.01.2018 03:00 - 14.01.2018 04:00","0","1401"
"14.01.2018 04:00 - 14.01.2018 05:00","0","1001"
"14.01.2018 05:00 - 14.01.2018 06:00","0","1201"
"14.01.2018 06:00 - 14.01.2018 07:00","0","1594"
"14.01.2018 07:00 - 14.01.2018 08:00","0","1658"
"14.01.2018 08:00 - 14.01.2018 09:00","0","1570"
"14.01.2018 09:00 - 14.01.2018 10:00","0","1627"
"14.01.2018 10:00 - 14.01.2018 11:00","0","1661"
"14.01.2018 11:00 - 14.01.2018 12:00","0","1912"
"14.01.2018 12:00 - 14.01.2018 13:00","0","1928"
"14.01.2018 13:00 - 14.01.2018 14:00","0","1722"
"14.01.2018 14:00 - 14.01.2018 15:00","0","1568"
"14.01.2018 15:00 - 14.01.2018 16:00","0","1420"
"14.01.2018 16:00 - 14.01.2018 17:00","0","1346"
"14.01.2018 17:00 - 14.01.2018 18:00","0","1536"
"14.01.2018 18:00 - 14.01.2018 19:00","0","2543"
"14.01.2018 19:00 - 14.01.2018 20:00","0","2501"
"14.01.2018 20:00 - 14.01.2018 21:00","0","2813"
"14.01.2018 21:00 - 14.01.2018 22:00","0","2596"
"14.01.2018 22:00 - 14.01.2018 23:00","0","2727"
"14.01.2018 23:00 - 15.01.2018 00:00","0","2903"
"15.01.2018 00:00 - 15.01.2018 01:00","0","2321"
"15.01.2018 01:00 - 15.01.2018 02:00","0","2071"
"15.01.2018 02:00 - 15.01.2018 03:00","0","1857"
"15.01.2018 03:00 - 15.01.2018 04:00","0","1313"
"15.01.2018 04:00 - 15.01.2018 05:00","0","1255"
"15.01.2018 05:00 - 15.01.2018 06:00","0","1611"
"15.01.2018 06:00 - 15.01.2018 07:00","0","2078"
"15.01.2018 07:00 - 15.01.2018 08:00","0","1864"
"15.01.2018 08:00 - 15.01.2018 09:00","0","1664"
"15.01.2018 09:00 - 15.01.2018 10:00","0","1389"
"15.01.2018 10:00 - 15.01.2018 11:00","0","1101"
"15.01.2018 11:00 - 15.01.2018 12:00","0","986"
"15.01.2018 12:00 - 15.01.2018 13:00","0","938"
"15.01.2018 13:00 - 15.01.2018 14:00","0","1126"
"15.01.2018 14:00 - 15.01.2018 15:00","0","1480"
"15.01.2018 15:00 - 15.01.2018 16:00","0","1362"
"15.01.2018 16:00 - 15.01.2018 17:00","0","1063"
"15.01.2018 17:00 - 15.01.2018 18:00","0","1304"
"15.01.2018 18:00 - 15.01.2018 19:00","0","1454"
"15.01.2018 19:00 - 15.01.2018 20:00","0","1272"
"15.01.2018 20:00 - 15.01.2018 21:00","0","1197"
"15.01.2018 21:00 - 15.01.2018 22:00","0","1161"
"15.01.2018 22:00 - 15.01.2018 23:00","0","1043"
"15.01.2018 23:00 - 16.01.2018 00:00","0","859"
"16.01.2018 00:00 - 16.01.2018 01:00","0","696"
"16.01.2018 01:00 - 16.01.2018 02:00","0","839"
"16.01.2018 02:00 - 16.01.2018 03:00","0","918"
"16.01.2018 03:00 - 16.01.2018 04:00","0","109"
"16.01.2018 04:00 - 16.01.2018 05:00","518","0"
"16.01.2018 05:00 - 16.01.2018 06:00","384","0"
"16.01.2018 06:00 - 16.01.2018 07:00","120","0"
"16.01.2018 07:00 - 16.01.2018 08:00","0","564"
"16.01.2018 08:00 - 16.01.2018 09:00","0","779"
"16.01.2018 09:00 - 16.01.2018 10:00","0","575"
"16.01.2018 10:00 - 16.01.2018 11:00","0","424"
"16.01.2018 11:00 - 16.01.2018 12:00","0","467"
"16.01.2018 12:00 - 16.01.2018 13:00","0","465"
"16.01.2018 13:00 - 16.01.2018 14:00","0","458"
"16.01.2018 14:00 - 16.01.2018 15:00","0","636"
"16.01.2018 15:00 - 16.01.2018 16:00","0","713"
"16.01.2018 16:00 - 16.01.2018 17:00","0","840"
"16.01.2018 17:00 - 16.01.2018 18:00","0","576"
"16.01.2018 18:00 - 16.01.2018 19:00","0","1402"
"16.01.2018 19:00 - 16.01.2018 20:00","0","1673"
"16.01.2018 20:00 - 16.01.2018 21:00","0","1469"
"16.01.2018 21:00 - 16.01.2018 22:00","0","1352"
"16.01.2018 22:00 - 16.01.2018 23:00","0","1479"
"16.01.2018 23:00 - 17.01.2018 00:00","0","1315"
"17.01.2018 00:00 - 17.01.2018 01:00","0","428"
"17.01.2018 01:00 - 17.01.2018 02:00","75","0"
"17.01.2018 02:00 - 17.01.2018 03:00","423","0"
"17.01.2018 03:00 - 17.01.2018 04:00","893","0"
"17.01.2018 04:00 - 17.01.2018 05:00","1148","0"
"17.01.2018 05:00 - 17.01.2018 06:00","810","0"
"17.01.2018 06:00 - 17.01.2018 07:00","192","0"
"17.01.2018 07:00 - 17.01.2018 08:00","0","526"
"17.01.2018 08:00 - 17.01.2018 09:00","0","751"
"17.01.2018 09:00 - 17.01.2018 10:00","0","582"
"17.01.2018 10:00 - 17.01.2018 11:00","0","555"
"17.01.2018 11:00 - 17.01.2018 12:00","0","658"
"17.01.2018 12:00 - 17.01.2018 13:00","0","833"
"17.01.2018 13:00 - 17.01.2018 14:00","0","595"
"17.01.2018 14:00 - 17.01.2018 15:00","0","505"
"17.01.2018 15:00 - 17.01.2018 16:00","0","682"
"17.01.2018 16:00 - 17.01.2018 17:00","0","830"
"17.01.2018 17:00 - 17.01.2018 18:00","0","1080"
"17.01.2018 18:00 - 17.01.2018 19:00","0","1938"
"17.01.2018 19:00 - 17.01.2018 20:00","0","1914"
"17.01.2018 20:00 - 17.01.2018 21:00","0","1461"
"17.01.2018 21:00 - 17.01.2018 22:00","0","1045"
"17.01.2018 22:00 - 17.01.2018 23:00","0","1467"
"17.01.2018 23:00 - 18.01.2018 00:00","0","1344"
"18.01.2018 00:00 - 18.01.2018 01:00","0","951"
"18.01.2018 01:00 - 18.01.2018 02:00","0","245"
"18.01.2018 02:00 - 18.01.2018 03:00","207","0"
"18.01.2018 03:00 - 18.01.2018 04:00","889","0"
"18.01.2018 04:00 - 18.01.2018 05:00","1442","0"
"18.01.2018 05:00 - 18.01.2018 06:00","752","0"
"18.01.2018 06:00 - 18.01.2018 07:00","0","66"
"18.01.2018 07:00 - 18.01.2018 08:00","0","1053"
"18.01.2018 08:00 - 18.01.2018 09:00","0","1556"
"18.01.2018 09:00 - 18.01.2018 10:00","0","1018"
"18.01.2018 10:00 - 18.01.2018 11:00","0","1076"
"18.01.2018 11:00 - 18.01.2018 12:00","0","1262"
"18.01.2018 12:00 - 18.01.2018 13:00","0","924"
"18.01.2018 13:00 - 18.01.2018 14:00","0","865"
"18.01.2018 14:00 - 18.01.2018 15:00","0","986"
"18.01.2018 15:00 - 18.01.2018 16:00","0","1146"
"18.01.2018 16:00 - 18.01.2018 17:00","0","743"
"18.01.2018 17:00 - 18.01.2018 18:00","0","495"
"18.01.2018 18:00 - 18.01.2018 19:00","0","1289"
"18.01.2018 19:00 - 18.01.2018 20:00","0","1472"
"18.01.2018 20:00 - 18.01.2018 21:00","0","1775"
"18.01.2018 21:00 - 18.01.2018 22:00","0","1350"
"18.01.2018 22:00 - 18.01.2018 23:00","0","1558"
"18.01.2018 23:00 - 19.01.2018 00:00","0","1267"
"19.01.2018 00:00 - 19.01.2018 01:00","0","630"
"19.01.2018 01:00 - 19.01.2018 02:00","0","29"
"19.01.2018 02:00 - 19.01.2018 03:00","500","0"
"19.01.2018 03:00 - 19.01.2018 04:00","795","0"
"19.01.2018 04:00 - 19.01.2018 05:00","695","0"
"19.01.2018 05:00 - 19.01.2018 06:00","120","0"
"19.01.2018 06:00 - 19.01.2018 07:00","0","653"
"19.01.2018 07:00 - 19.01.2018 08:00","0","548"
"19.01.2018 08:00 - 19.01.2018 09:00","0","245"
"19.01.2018 09:00 - 19.01.2018 10:00","0","474"
"19.01.2018 10:00 - 19.01.2018 11:00","0","860"
"19.01.2018 11:00 - 19.01.2018 12:00","0","948"
"19.01.2018 12:00 - 19.01.2018 13:00","0","1077"
"19.01.2018 13:00 - 19.01.2018 14:00","0","1080"
"19.01.2018 14:00 - 19.01.2018 15:00","0","887"
"19.01.2018 15:00 - 19.01.2018 16:00","0","787"
"19.01.2018 16:00 - 19.01.2018 17:00","0","515"
"19.01.2018 17:00 - 19.01.2018 18:00","0","577"
"19.01.2018 18:00 - 19.01.2018 19:00","0","1695"
"19.01.2018 19:00 - 19.01.2018 20:00","0","2246"
"19.01.2018 20:00 - 19.01.2018 21:00","0","2121"
"19.01.2018 21:00 - 19.01.2018 22:00","0","1458"
