"Time (CET)","United Kingdom (UK) > France (FR) [MW]","France (FR) > United Kingdom (UK) [MW]"
"02.01.2018 20:00 - 02.01.2018 21:00","0","2013"
"02.01.2018 21:00 - 02.01.2018 22:00","0","2013"
"02.01.2018 22:00 - 02.01.2018 23:00","0","2012"
"02.01.2018 23:00 - 03.01.2018 00:00","0","2013"
"03.01.2018 00:00 - 03.01.2018 01:00","0","1615"
"03.01.2018 01:00 - 03.01.2018 02:00","0","1508"
"03.01.2018 02:00 - 03.01.2018 03:00","0","1510"
"03.01.2018 03:00 - 03.01.2018 04:00","0","1509"
"03.01.2018 04:00 - 03.01.2018 05:00","0","1508"
"03.01.2018 05:00 - 03.01.2018 06:00","0","1510"
"03.01.2018 06:00 - 03.01.2018 07:00","0","1511"
"03.01.2018 07:00 - 03.01.2018 08:00","0","1809"
"03.01.2018 08:00 - 03.01.2018 09:00","0","2011"
"03.01.2018 09:00 - 03.01.2018 10:00","0","2012"
"03.01.2018 10:00 - 03.01.2018 11:00","0","2011"
"03.01.2018 11:00 - 03.01.2018 12:00","0","2011"
"03.01.2018 12:00 - 03.01.2018 13:00","0","2012"
"03.01.2018 13:00 - 03.01.2018 14:00","0","2012"
"03.01.2018 14:00 - 03.01.2018 15:00","0","2012"
"03.01.2018 15:00 - 03.01.2018 16:00","0","2012"
"03.01.2018 16:00 - 03.01.2018 17:00","0","2012"
"03.01.2018 17:00 - 03.01.2018 18:00","0","2012"
"03.01.2018 18:00 - 03.01.2018 19:00","0","2012"
"03.01.2018 19:00 - 03.01.2018 20:00","0","2013"
"03.01.2018 20:00 - 03.01.2018 21:00","0","2013"
"03.01.2018 21:00 - 03.01.2018 22:00","0","2012"
"03.01.2018 22:00 - 03.01.2018 23:00","0","2013"
"03.01.2018 23:00 - 04.01.2018 00:00","0","2014"
"04.01.2018 00:00 - 04.01.2018 01:00","0","2013"
"04.01.2018 01:00 - 04.01.2018 02:00","0","2015"
"04.01.2018 02:00 - 04.01.2018 03:00","0","2013"
"04.01.2018 03:00 - 04.01.2018 04:00","0","2011"
"04.01.2018 04:00 - 04.01.2018 05:00","0","2013"
"04.01.2018 05:00 - 04.01.2018 06:00","0","2010"
"04.01.2018 06:00 - 04.01.2018 07:00","0","2009"
"04.01.2018 07:00 - 04.01.2018 08:00","0","2012"
"04.01.2018 08:00 - 04.01.2018 09:00","0","2014"
"04.01.2018 09:00 - 04.01.2018 10:00","0","2017"
"04.01.2018 10:00 - 04.01.2018 11:00","0","2014"
"04.01.2018 11:00 - 04.01.2018 12:00","0","2014"
"04.01.2018 12:00 - 04.01.2018 13:00","0","2013"
"04.01.2018 13:00 - 04.01.2018 14:00","0","2011"
"04.01.2018 14:00 - 04.01.2018 15:00","0","2012"
"04.01.2018 15:00 - 04.01.2018 16:00","0","2012"
"04.01.2018 16:00 - 04.01.2018 17:00","0","2014"
"04.01.2018 17:00 - 04.01.2018 18:00","0","2016"
"04.01.2018 18:00 - 04.01.2018 19:00","0","2014"
"04.01.2018 19:00 - 04.01.2018 20:00","0","2013"
"04.01.2018 20:00 - 04.01.2018 21:00","0","2011"
"04.01.2018 21:00 - 04.01.2018 22:00","0","2011"
"04.01.2018 22:00 - 04.01.2018 23:00","0","2013"
"04.01.2018 23:00 - 05.01.2018 00:00","0","2014"
"05.01.2018 00:00 - 05.01.2018 01:00","0","2013"
"05.01.2018 01:00 - 05.01.2018 02:00","0","2016"
"05.01.2018 02:00 - 05.01.2018 03:00","0","2013"
"05.01.2018 03:00 - 05.01.2018 04:00","0","2012"
"05.01.2018 04:00 - 05.01.2018 05:00","0","2012"
"05.01.2018 05:00 - 05.01.2018 06:00","0","2013"
"05.01.2018 06:00 - 05.01.2018 07:00","0","2015"
"05.01.2018 07:00 - 05.01.2018 08:00","0","2015"
"05.01.2018 08:00 - 05.01.2018 09:00","0","2015"
"05.01.2018 09:00 - 05.01.2018 10:00","0","2016"
"05.01.2018 10:00 - 05.01.2018 11:00","0","2017"
"05.01.2018 11:00 - 05.01.2018 12:00","0","2015"
"05.01.2018 12:00 - 05.01.2018 13:00","0","2015"
"05.01.2018 13:00 - 05.01.2018 14:00","0","2015"
"05.01.2018 14:00 - 05.01.2018 15:00","0","2014"
"05.01.2018 15:00 - 05.01.2018 16:00","0","2015"
"05.01.2018 16:00 - 05.01.2018 17:00","0","2013"
"05.01.2018 17:00 - 05.01.2018 18:00","0","2015"
"05.01.2018 18:00 - 05.01.2018 19:00","0","2013"
"05.01.2018 19:00 - 05.01.2018 20:00","0","2015"
"05.01.2018 20:00 - 05.01.2018 21:00","0","2013"
"05.01.2018 21:00 - 05.01.2018 22:00","0","2014"
"05.01.2018 22:00 - 05.01.2018 23:00","0","2014"
"05.01.2018 23:00 - 06.01.2018 00:00","0","2013"
"06.01.2018 00:00 - 06.01.2018 01:00","0","2014"
"06.01.2018 01:00 - 06.01.2018 02:00","0","2014"
"06.01.2018 02:00 - 06.01.2018 03:00","0","1813"
"06.01.2018 03:00 - 06.01.2018 04:00","0","1817"
"06.01.2018 04:00 - 06.01.2018 05:00","0","1818"
"06.01.2018 05:00 - 06.01.2018 06:00","0","1818"
"06.01.2018 06:00 - 06.01.2018 07:00","0","1817"
"06.01.2018 07:00 - 06.01.2018 08:00","0","1811"
"06.01.2018 08:00 - 06.01.2018 09:00","0","2012"
"06.01.2018 09:00 - 06.01.2018 10:00","0","2014"
"06.01.2018 10:00 - 06.01.2018 11:00","0","2015"
"06.01.2018 11:00 - 06.01.2018 12:00","0","2014"
"06.01.2018 12:00 - 06.01.2018 13:00","0","2014"
"06.01.2018 13:00 - 06.01.2018 14:00","0","2015"
"06.01.2018 14:00 - 06.01.2018 15:00","0","2014"
"06.01.2018 15:00 - 06.01.2018 16:00","0","2013"
"06.01.2018 16:00 - 06.01.2018 17:00","0","2013"
"06.01.2018 17:00 - 06.01.2018 18:00","0","2013"
"06.01.2018 18:00 - 06.01.2018 19:00","0","2013"
"06.01.2018 19:00 - 06.01.2018 20:00","0","2014"
"06.01.2018 20:00 - 06.01.2018 21:00","0","2013"
"06.01.2018 21:00 - 06.01.2018 22:00","0","2014"
"06.01.2018 22:00 - 06.01.2018 23:00","0","2013"
"06.01.2018 23:00 - 07.01.2018 00:00","0","2013"
"07.01.2018 00:00 - 07.01.2018 01:00","0","1812"
"07.01.2018 01:00 - 07.01.2018 02:00","0","1818"
"07.01.2018 02:00 - 07.01.2018 03:00","0","1818"
"07.01.2018 03:00 - 07.01.2018 04:00","0","1817"
"07.01.2018 04:00 - 07.01.2018 05:00","0","1817"
"07.01.2018 05:00 - 07.01.2018 06:00","0","1818"
"07.01.2018 06:00 - 07.01.2018 07:00","0","1818"
"07.01.2018 07:00 - 07.01.2018 08:00","0","1818"
"07.01.2018 08:00 - 07.01.2018 09:00","0","1818"
"07.01.2018 09:00 - 07.01.2018 10:00","0","1812"
"07.01.2018 10:00 - 07.01.2018 11:00","0","2012"
"07.01.2018 11:00 - 07.01.2018 12:00","0","2012"
"07.01.2018 12:00 - 07.01.2018 13:00","0","2012"
"07.01.2018 13:00 - 07.01.2018 14:00","0","2012"
"07.01.2018 14:00 - 07.01.2018 15:00","0","2013"
"07.01.2018 15:00 - 07.01.2018 16:00","0","2011"
"07.01.2018 16:00 - 07.01.2018 17:00","0","2012"
"07.01.2018 17:00 - 07.01.2018 18:00","0","2011"
"07.01.2018 18:00 - 07.01.2018 19:00","0","2013"
"07.01.2018 19:00 - 07.01.2018 20:00","0","2013"
"07.01.2018 20:00 - 07.01.2018 21:00","0","2014"
"07.01.2018 21:00 - 07.01.2018 22:00","0","2013"
"07.01.2018 22:00 - 07.01.2018 23:00","0","2012"
"07.01.2018 23:00 - 08.01.2018 00:00","0","2013"
"08.01.2018 00:00 - 08.01.2018 01:00","0","2014"
"08.01.2018 01:00 - 08.01.2018 02:00","0","1814"
"08.01.2018 02:00 - 08.01.2018 03:00","0","1818"
"08.01.2018 03:00 - 08.01.2018 04:00","0","1818"
"08.01.2018 04:00 - 08.01.2018 05:00","0","1818"
"08.01.2018 05:00 - 08.01.2018 06:00","0","1818"
"08.01.2018 06:00 - 08.01.2018 07:00","0","1811"
"08.01.2018 07:00 - 08.01.2018 08:00","0","2013"
"08.01.2018 08:00 - 08.01.2018 09:00","0","2014"
"08.01.2018 09:00 - 08.01.2018 10:00","0","2013"
"08.01.2018 10:00 - 08.01.2018 11:00","0","2013"
"08.01.2018 11:00 - 08.01.2018 12:00","0","2012"
"08.01.2018 12:00 - 08.01.2018 13:00","0","2014"
"08.01.2018 13:00 - 08.01.2018 14:00","0","2014"
"08.01.2018 14:00 - 08.01.2018 15:00","0","2014"
"08.01.2018 15:00 - 08.01.2018 16:00","0","2014"
"08.01.2018 16:00 - 08.01.2018 17:00","0","2015"
"08.01.2018 17:00 - 08.01.2018 18:00","0","2016"
"08.01.2018 18:00 - 08.01.2018 19:00","0","2015"
"08.01.2018 19:00 - 08.01.2018 20:00","0","2015"
"08.01.2018 20:00 - 08.01.2018 21:00","0","2014"
"08.01.2018 21:00 - 08.01.2018 22:00","0","2015"
"08.01.2018 22:00 - 08.01.2018 23:00","0","2015"
"08.01.2018 23:00 - 09.01.2018 00:00","0","2015"
"09.01.2018 00:00 - 09.01.2018 01:00","0","2015"
"09.01.2018 01:00 - 09.01.2018 02:00","0","2015"
"09.01.2018 02:00 - 09.01.2018 03:00","0","2014"
"09.01.2018 03:00 - 09.01.2018 04:00","0","1911"
"09.01.2018 04:00 - 09.01.2018 05:00","0","1910"
"09.01.2018 05:00 - 09.01.2018 06:00","0","1910"
"09.01.2018 06:00 - 09.01.2018 07:00","0","1911"
"09.01.2018 07:00 - 09.01.2018 08:00","0","2013"
"09.01.2018 08:00 - 09.01.2018 09:00","0","1163"
"09.01.2018 09:00 - 09.01.2018 10:00","0","1502"
"09.01.2018 10:00 - 09.01.2018 11:00","0","2012"
"09.01.2018 11:00 - 09.01.2018 12:00","0","2014"
"09.01.2018 12:00 - 09.01.2018 13:00","0","2013"
"09.01.2018 13:00 - 09.01.2018 14:00","0","2013"
"09.01.2018 14:00 - 09.01.2018 15:00","0","2013"
"09.01.2018 15:00 - 09.01.2018 16:00","0","2012"
"09.01.2018 16:00 - 09.01.2018 17:00","0","2014"
"09.01.2018 17:00 - 09.01.2018 18:00","0","2011"
"09.01.2018 18:00 - 09.01.2018 19:00","0","2013"
"09.01.2018 19:00 - 09.01.2018 20:00","0","2013"
"09.01.2018 20:00 - 09.01.2018 21:00","0","2012"
"09.01.2018 21:00 - 09.01.2018 22:00","0","2013"
"09.01.2018 22:00 - 09.01.2018 23:00","0","2012"
"09.01.2018 23:00 - 10.01.2018 00:00","0","2014"
"10.01.2018 00:00 - 10.01.2018 01:00","0","2014"
"10.01.2018 01:00 - 10.01.2018 02:00","0","2012"
"10.01.2018 02:00 - 10.01.2018 03:00","0","2011"
"10.01.2018 03:00 - 10.01.2018 04:00","0","2013"
"10.01.2018 04:00 - 10.01.2018 05:00","0","2013"
"10.01.2018 05:00 - 10.01.2018 06:00","0","2012"
"10.01.2018 06:00 - 10.01.2018 07:00","0","2014"
"10.01.2018 07:00 - 10.01.2018 08:00","0","2014"
"10.01.2018 08:00 - 10.01.2018 09:00","0","2014"
"10.01.2018 09:00 - 10.01.2018 10:00","0","2015"
"10.01.2018 10:00 - 10.01.2018 11:00","0","2015"
"10.01.2018 11:00 - 10.01.2018 12:00","0","2014"
"10.01.2018 12:00 - 10.01.2018 13:00","0","2016"
"10.01.2018 13:00 - 10.01.2018 14:00","0","2015"
"10.01.2018 14:00 - 10.01.2018 15:00","0","2016"
"10.01.2018 15:00 - 10.01.2018 16:00","0","2016"
"10.01.2018 16:00 - 10.01.2018 17:00","0","2016"
"10.01.2018 17:00 - 10.01.2018 18:00","0","2015"
"10.01.2018 18:00 - 10.01.2018 19:00","0","2015"
"10.01.2018 19:00 - 10.01.2018 20:00","0","2015"
"10.01.2018 20:00 - 10.01.2018 21:00","0","2015"
"10.01.2018 21:00 - 10.01.2018 22:00","0","2016"
"10.01.2018 22:00 - 10.01.2018 23:00","0","2016"
"10.01.2018 23:00 - 11.01.2018 00:00","0","2015"
"11.01.2018 00:00 - 11.01.2018 01:00","0","2016"
"11.01.2018 01:00 - 11.01.2018 02:00","0","2015"
"11.01.2018 02:00 - 11.01.2018 03:00","0","2015"
"11.01.2018 03:00 - 11.01.2018 04:00","0","2016"
"11.01.2018 04:00 - 11.01.2018 05:00","0","2016"
"11.01.2018 05:00 - 11.01.2018 06:00","0","2015"
"11.01.2018 06:00 - 11.01.2018 07:00","0","2016"
"11.01.2018 07:00 - 11.01.2018 08:00","0","2015"
"11.01.2018 08:00 - 11.01.2018 09:00","0","2014"
"11.01.2018 09:00 - 11.01.2018 10:00","0","2014"
"11.01.2018 10:00 - 11.01.2018 11:00","0","2014"
"11.01.2018 11:00 - 11.01.2018 12:00","0","2015"
"11.01.2018 12:00 - 11.01.2018 13:00","0","1959"
"11.01.2018 13:00 - 11.01.2018 14:00","0","1959"
"11.01.2018 14:00 - 11.01.2018 15:00","0","2014"
"11.01.2018 15:00 - 11.01.2018 16:00","0","2016"
"11.01.2018 16:00 - 11.01.2018 17:00","0","2015"
"11.01.2018 17:00 - 11.01.2018 18:00","0","2016"
"11.01.2018 18:00 - 11.01.2018 19:00","0","2015"
"11.01.2018 19:00 - 11.01.2018 20:00","0","2015"
"11.01.2018 20:00 - 11.01.2018 21:00","0","2015"
"11.01.2018 21:00 - 11.01.2018 22:00","0","2015"
"11.01.2018 22:00 - 11.01.2018 23:00","0","2015"
"11.01.2018 23:00 - 12.01.2018 00:00","0","2015"
"12.01.2018 00:00 - 12.01.2018 01:00","0","2014"
"12.01.2018 01:00 - 12.01.2018 02:00","0","2014"
"12.01.2018 02:00 - 12.01.2018 03:00","0","2013"
"12.01.2018 03:00 - 12.01.2018 04:00","0","2014"
"12.01.2018 04:00 - 12.01.2018 05:00","0","2014"
"12.01.2018 05:00 - 12.01.2018 06:00","0","2016"
"12.01.2018 06:00 - 12.01.2018 07:00","0","1996"
"12.01.2018 07:00 - 12.01.2018 08:00","0","1940"
"12.01.2018 08:00 - 12.01.2018 09:00","0","2014"
"12.01.2018 09:00 - 12.01.2018 10:00","0","2015"
"12.01.2018 10:00 - 12.01.2018 11:00","0","2014"
"12.01.2018 11:00 - 12.01.2018 12:00","0","2014"
"12.01.2018 12:00 - 12.01.2018 13:00","0","2015"
"12.01.2018 13:00 - 12.01.2018 14:00","0","2015"
"12.01.2018 14:00 - 12.01.2018 15:00","0","2015"
"12.01.2018 15:00 - 12.01.2018 16:00","0","2015"
"12.01.2018 16:00 - 12.01.2018 17:00","0","2015"
"12.01.2018 17:00 - 12.01.2018 18:00","0","2015"
"12.01.2018 18:00 - 12.01.2018 19:00","0","2016"
"12.01.2018 19:00 - 12.01.2018 20:00","0","2015"
"12.01.2018 20:00 - 12.01.2018 21:00","0","2015"
"12.01.2018 21:00 - 12.01.2018 22:00","0","2015"
"12.01.2018 22:00 - 12.01.2018 23:00","0","2014"
"12.01.2018 23:00 - 13.01.2018 00:00","0","2015"
"13.01.2018 00:00 - 13.01.2018 01:00","0","1912"
"13.01.2018 01:00 - 13.01.2018 02:00","0","1910"
"13.01.2018 02:00 - 13.01.2018 03:00","0","1910"
"13.01.2018 03:00 - 13.01.2018 04:00","0","1817"
"13.01.2018 04:00 - 13.01.2018 05:00","0","1816"
"13.01.2018 05:00 - 13.01.2018 06:00","0","1817"
"13.01.2018 06:00 - 13.01.2018 07:00","0","1817"
"13.01.2018 07:00 - 13.01.2018 08:00","0","1811"
"13.01.2018 08:00 - 13.01.2018 09:00","0","2013"
"13.01.2018 09:00 - 13.01.2018 10:00","0","2013"
"13.01.2018 10:00 - 13.01.2018 11:00","0","2013"
"13.01.2018 11:00 - 13.01.2018 12:00","0","2013"
"13.01.2018 12:00 - 13.01.2018 13:00","0","2012"
"13.01.2018 13:00 - 13.01.2018 14:00","0","2012"
"13.01.2018 14:00 - 13.01.2018 15:00","0","2013"
"13.01.2018 15:00 - 13.01.2018 16:00","0","2013"
"13.01.2018 16:00 - 13.01.2018 17:00","0","2013"
"13.01.2018 17:00 - 13.01.2018 18:00","0","2012"
"13.01.2018 18:00 - 13.01.2018 19:00","0","2013"
"13.01.2018 19:00 - 13.01.2018 20:00","0","2012"
"13.01.2018 20:00 - 13.01.2018 21:00","0","2013"
"13.01.2018 21:00 - 13.01.2018 22:00","0","2012"
"13.01.2018 22:00 - 13.01.2018 23:00","0","2011"
"13.01.2018 23:00 - 14.01.2018 00:00","0","2011"
"14.01.2018 00:00 - 14.01.2018 01:00","0","2013"
"14.01.2018 01:00 - 14.01.2018 02:00","0","1912"
"14.01.2018 02:00 - 14.01.2018 03:00","0","1910"
"14.01.2018 03:00 - 14.01.2018 04:00","0","1910"
"14.01.2018 04:00 - 14.01.2018 05:00","0","1910"
"14.01.2018 05:00 - 14.01.2018 06:00","0","1911"
"14.01.2018 06:00 - 14.01.2018 07:00","0","2012"
"14.01.2018 07:00 - 14.01.2018 08:00","0","2012"
"14.01.2018 08:00 - 14.01.2018 09:00","0","2012"
"14.01.2018 09:00 - 14.01.2018 10:00","0","2013"
"14.01.2018 10:00 - 14.01.2018 11:00","0","2013"
"14.01.2018 11:00 - 14.01.2018 12:00","0","2013"
"14.01.2018 12:00 - 14.01.2018 13:00","0","2013"
"14.01.2018 13:00 - 14.01.2018 14:00","0","2013"
"14.01.2018 14:00 - 14.01.2018 15:00","0","2014"
"14.01.2018 15:00 - 14.01.2018 16:00","0","2013"
"14.01.2018 16:00 - 14.01.2018 17:00","0","2015"
"14.01.2018 17:00 - 14.01.2018 18:00","0","2015"
"14.01.2018 18:00 - 14.01.2018 19:00","0","2015"
"14.01.2018 19:00 - 14.01.2018 20:00","0","2014"
"14.01.2018 20:00 - 14.01.2018 21:00","0","2014"
"14.01.2018 21:00 - 14.01.2018 22:00","0","2013"
"14.01.2018 22:00 - 14.01.2018 23:00","0","2014"
"14.01.2018 23:00 - 15.01.2018 00:00","0","1912"
"15.01.2018 00:00 - 15.01.2018 01:00","0","1712"
"15.01.2018 01:00 - 15.01.2018 02:00","0","1615"
"15.01.2018 02:00 - 15.01.2018 03:00","0","1614"
"15.01.2018 03:00 - 15.01.2018 04:00","0","1614"
"15.01.2018 04:00 - 15.01.2018 05:00","0","1614"
"15.01.2018 05:00 - 15.01.2018 06:00","0","1614"
"15.01.2018 06:00 - 15.01.2018 07:00","0","1610"
"15.01.2018 07:00 - 15.01.2018 08:00","0","2012"
"15.01.2018 08:00 - 15.01.2018 09:00","0","2004"
"15.01.2018 09:00 - 15.01.2018 10:00","0","2011"
"15.01.2018 10:00 - 15.01.2018 11:00","0","2013"
"15.01.2018 11:00 - 15.01.2018 12:00","0","2011"
"15.01.2018 12:00 - 15.01.2018 13:00","0","2011"
"15.01.2018 13:00 - 15.01.2018 14:00","0","2012"
"15.01.2018 14:00 - 15.01.2018 15:00","0","2012"
"15.01.2018 15:00 - 15.01.2018 16:00","0","2013"
"15.01.2018 16:00 - 15.01.2018 17:00","0","2012"
"15.01.2018 17:00 - 15.01.2018 18:00","0","2013"
"15.01.2018 18:00 - 15.01.2018 19:00","0","2013"
"15.01.2018 19:00 - 15.01.2018 20:00","0","2013"
"15.01.2018 20:00 - 15.01.2018 21:00","0","2013"
"15.01.2018 21:00 - 15.01.2018 22:00","0","2014"
"15.01.2018 22:00 - 15.01.2018 23:00","0","2012"
"15.01.2018 23:00 - 16.01.2018 00:00","0","2012"
"16.01.2018 00:00 - 16.01.2018 01:00","0","1615"
"16.01.2018 01:00 - 16.01.2018 02:00","0","1614"
"16.01.2018 02:00 - 16.01.2018 03:00","0","1614"
"16.01.2018 03:00 - 16.01.2018 04:00","0","1614"
"16.01.2018 04:00 - 16.01.2018 05:00","0","1614"
"16.01.2018 05:00 - 16.01.2018 06:00","0","1614"
"16.01.2018 06:00 - 16.01.2018 07:00","0","1614"
"16.01.2018 07:00 - 16.01.2018 08:00","0","1709"
"16.01.2018 08:00 - 16.01.2018 09:00","0","2011"
"16.01.2018 09:00 - 16.01.2018 10:00","0","2012"
"16.01.2018 10:00 - 16.01.2018 11:00","0","2013"
"16.01.2018 11:00 - 16.01.2018 12:00","0","2012"
"16.01.2018 12:00 - 16.01.2018 13:00","0","2013"
"16.01.2018 13:00 - 16.01.2018 14:00","0","2013"
"16.01.2018 14:00 - 16.01.2018 15:00","0","2013"
"16.01.2018 15:00 - 16.01.2018 16:00","0","2014"
"16.01.2018 16:00 - 16.01.2018 17:00","0","2014"
"16.01.2018 17:00 - 16.01.2018 18:00","0","2013"
"16.01.2018 18:00 - 16.01.2018 19:00","0","2011"
"16.01.2018 19:00 - 16.01.2018 20:00","0","2013"
"16.01.2018 20:00 - 16.01.2018 21:00","0","2012"
"16.01.2018 21:00 - 16.01.2018 22:00","0","2012"
"16.01.2018 22:00 - 16.01.2018 23:00","0","2012"
"16.01.2018 23:00 - 17.01.2018 00:00","0","2014"
"17.01.2018 00:00 - 17.01.2018 01:00","0","2014"
"17.01.2018 01:00 - 17.01.2018 02:00","0","1764"
"17.01.2018 02:00 - 17.01.2018 03:00","0","1762"
"17.01.2018 03:00 - 17.01.2018 04:00","0","1763"
"17.01.2018 04:00 - 17.01.2018 05:00","0","1761"
"17.01.2018 05:00 - 17.01.2018 06:00","0","1758"
"17.01.2018 06:00 - 17.01.2018 07:00","0","1911"
"17.01.2018 07:00 - 17.01.2018 08:00","0","2012"
"17.01.2018 08:00 - 17.01.2018 09:00","0","2013"
"17.01.2018 09:00 - 17.01.2018 10:00","0","2013"
"17.01.2018 10:00 - 17.01.2018 11:00","0","2013"
"17.01.2018 11:00 - 17.01.2018 12:00","0","2013"
"17.01.2018 12:00 - 17.01.2018 13:00","0","2013"
"17.01.2018 13:00 - 17.01.2018 14:00","0","2014"
"17.01.2018 14:00 - 17.01.2018 15:00","0","2014"
"17.01.2018 15:00 - 17.01.2018 16:00","0","2013"
"17.01.2018 16:00 - 17.01.2018 17:00","0","2014"
"17.01.2018 17:00 - 17.01.2018 18:00","0","2015"
"17.01.2018 18:00 - 17.01.2018 19:00","0","2013"
"17.01.2018 19:00 - 17.01.2018 20:00","0","2014"
"17.01.2018 20:00 - 17.01.2018 21:00","0","2013"
"17.01.2018 21:00 - 17.01.2018 22:00","0","2013"
"17.01.2018 22:00 - 17.01.2018 23:00","0","2013"
"17.01.2018 23:00 - 18.01.2018 00:00","0","2013"
"18.01.2018 00:00 - 18.01.2018 01:00","0","1912"
"18.01.2018 01:00 - 18.01.2018 02:00","0","1910"
"18.01.2018 02:00 - 18.01.2018 03:00","0","1910"
"18.01.2018 03:00 - 18.01.2018 04:00","0","1910"
"18.01.2018 04:00 - 18.01.2018 05:00","0","1910"
"18.01.2018 05:00 - 18.01.2018 06:00","0","1910"
"18.01.2018 06:00 - 18.01.2018 07:00","0","1911"
"18.01.2018 07:00 - 18.01.2018 08:00","0","2012"
"18.01.2018 08:00 - 18.01.2018 09:00","0","2013"
"18.01.2018 09:00 - 18.01.2018 10:00","0","2013"
"18.01.2018 10:00 - 18.01.2018 11:00","0","2014"
"18.01.2018 11:00 - 18.01.2018 12:00","0","2012"
"18.01.2018 12:00 - 18.01.2018 13:00","0","2013"
"18.01.2018 13:00 - 18.01.2018 14:00","0","2014"
"18.01.2018 14:00 - 18.01.2018 15:00","0","2012"
"18.01.2018 15:00 - 18.01.2018 16:00","0","2013"
"18.01.2018 16:00 - 18.01.2018 17:00","0","2012"
"18.01.2018 17:00 - 18.01.2018 18:00","0","2012"
"18.01.2018 18:00 - 18.01.2018 19:00","0","2013"
"18.01.2018 19:00 - 18.01.2018 20:00","0","2012"
"18.01.2018 20:00 - 18.01.2018 21:00","0","2012"
"18.01.2018 21:00 - 18.01.2018 22:00","0","2012"
"18.01.2018 22:00 - 18.01.2018 23:00","0","2010"
"18.01.2018 23:00 - 19.01.2018 00:00","0","2009"
"19.01.2018 00:00 - 19.01.2018 01:00","0","2010"
"19.01.2018 01:00 - 19.01.2018 02:00","0","2009"
"19.01.2018 02:00 - 19.01.2018 03:00","0","2009"
"19.01.2018 03:00 - 19.01.2018 04:00","0","2009"
"19.01.2018 04:00 - 19.01.2018 05:00","0","2009"
"19.01.2018 05:00 - 19.01.2018 06:00","0","2010"
"19.01.2018 06:00 - 19.01.2018 07:00","0","2010"
"19.01.2018 07:00 - 19.01.2018 08:00","0","2010"
"19.01.2018 08:00 - 19.01.2018 09:00","0","2010"
"19.01.2018 09:00 - 19.01.2018 10:00","0","2010"
"19.01.2018 10:00 - 19.01.2018 11:00","0","2011"
"19.01.2018 11:00 - 19.01.2018 12:00","0","2011"
"19.01.2018 12:00 - 19.01.2018 13:00","0","2011"
"19.01.2018 13:00 - 19.01.2018 14:00","0","2011"
"19.01.2018 14:00 - 19.01.2018 15:00","0","2012"
"19.01.2018 15:00 - 19.01.2018 16:00","0","2012"
