"Time (CET)","Hungary (HU) > Croatia (HR) [MW]","Croatia (HR) > Hungary (HU) [MW]"
"05.01.2018 08:00 - 05.01.2018 09:00","316","0"
"05.01.2018 09:00 - 05.01.2018 10:00","337","0"
"05.01.2018 10:00 - 05.01.2018 11:00","318","0"
"05.01.2018 11:00 - 05.01.2018 12:00","282","0"
"05.01.2018 12:00 - 05.01.2018 13:00","229","0"
"05.01.2018 13:00 - 05.01.2018 14:00","258","0"
"05.01.2018 14:00 - 05.01.2018 15:00","138","0"
"05.01.2018 15:00 - 05.01.2018 16:00","102","0"
"05.01.2018 16:00 - 05.01.2018 17:00","0","36"
"05.01.2018 17:00 - 05.01.2018 18:00","2","0"
"05.01.2018 18:00 - 05.01.2018 19:00","16","0"
"05.01.2018 19:00 - 05.01.2018 20:00","54","0"
"05.01.2018 20:00 - 05.01.2018 21:00","146","0"
"05.01.2018 21:00 - 05.01.2018 22:00","400","0"
"05.01.2018 22:00 - 05.01.2018 23:00","609","0"
"05.01.2018 23:00 - 06.01.2018 00:00","636","0"
"06.01.2018 00:00 - 06.01.2018 01:00","569","0"
"06.01.2018 01:00 - 06.01.2018 02:00","540","0"
"06.01.2018 02:00 - 06.01.2018 03:00","540","0"
"06.01.2018 03:00 - 06.01.2018 04:00","548","0"
"06.01.2018 04:00 - 06.01.2018 05:00","534","0"
"06.01.2018 05:00 - 06.01.2018 06:00","608","0"
"06.01.2018 06:00 - 06.01.2018 07:00","544","0"
"06.01.2018 07:00 - 06.01.2018 08:00","476","0"
"06.01.2018 08:00 - 06.01.2018 09:00","372","0"
"06.01.2018 09:00 - 06.01.2018 10:00","344","0"
"06.01.2018 10:00 - 06.01.2018 11:00","314","0"
"06.01.2018 11:00 - 06.01.2018 12:00","297","0"
"06.01.2018 12:00 - 06.01.2018 13:00","345","0"
"06.01.2018 13:00 - 06.01.2018 14:00","314","0"
"06.01.2018 14:00 - 06.01.2018 15:00","250","0"
"06.01.2018 15:00 - 06.01.2018 16:00","233","0"
"06.01.2018 16:00 - 06.01.2018 17:00","168","0"
"06.01.2018 17:00 - 06.01.2018 18:00","249","0"
"06.01.2018 18:00 - 06.01.2018 19:00","0","49"
"06.01.2018 19:00 - 06.01.2018 20:00","197","0"
"06.01.2018 20:00 - 06.01.2018 21:00","220","0"
"06.01.2018 21:00 - 06.01.2018 22:00","271","0"
"06.01.2018 22:00 - 06.01.2018 23:00","466","0"
"06.01.2018 23:00 - 07.01.2018 00:00","500","0"
"07.01.2018 00:00 - 07.01.2018 01:00","754","0"
"07.01.2018 01:00 - 07.01.2018 02:00","768","0"
"07.01.2018 02:00 - 07.01.2018 03:00","680","0"
"07.01.2018 03:00 - 07.01.2018 04:00","628","0"
"07.01.2018 04:00 - 07.01.2018 05:00","584","0"
"07.01.2018 05:00 - 07.01.2018 06:00","648","0"
"07.01.2018 06:00 - 07.01.2018 07:00","553","0"
"07.01.2018 07:00 - 07.01.2018 08:00","581","0"
"07.01.2018 08:00 - 07.01.2018 09:00","607","0"
"07.01.2018 09:00 - 07.01.2018 10:00","575","0"
"07.01.2018 10:00 - 07.01.2018 11:00","502","0"
"07.01.2018 11:00 - 07.01.2018 12:00","511","0"
"07.01.2018 12:00 - 07.01.2018 13:00","575","0"
"07.01.2018 13:00 - 07.01.2018 14:00","511","0"
"07.01.2018 14:00 - 07.01.2018 15:00","451","0"
"07.01.2018 15:00 - 07.01.2018 16:00","416","0"
"07.01.2018 16:00 - 07.01.2018 17:00","451","0"
"07.01.2018 17:00 - 07.01.2018 18:00","562","0"
"07.01.2018 18:00 - 07.01.2018 19:00","616","0"
"07.01.2018 19:00 - 07.01.2018 20:00","612","0"
"07.01.2018 20:00 - 07.01.2018 21:00","622","0"
"07.01.2018 21:00 - 07.01.2018 22:00","708","0"
"07.01.2018 22:00 - 07.01.2018 23:00","821","0"
"07.01.2018 23:00 - 08.01.2018 00:00","766","0"
"08.01.2018 00:00 - 08.01.2018 01:00","680","0"
"08.01.2018 01:00 - 08.01.2018 02:00","708","0"
"08.01.2018 02:00 - 08.01.2018 03:00","696","0"
"08.01.2018 03:00 - 08.01.2018 04:00","656","0"
"08.01.2018 04:00 - 08.01.2018 05:00","621","0"
"08.01.2018 05:00 - 08.01.2018 06:00","612","0"
"08.01.2018 06:00 - 08.01.2018 07:00","372","0"
"08.01.2018 07:00 - 08.01.2018 08:00","259","0"
"08.01.2018 08:00 - 08.01.2018 09:00","61","0"
"08.01.2018 09:00 - 08.01.2018 10:00","22","0"
"08.01.2018 10:00 - 08.01.2018 11:00","99","0"
"08.01.2018 11:00 - 08.01.2018 12:00","82","0"
"08.01.2018 12:00 - 08.01.2018 13:00","15","0"
"08.01.2018 13:00 - 08.01.2018 14:00","24","0"
"08.01.2018 14:00 - 08.01.2018 15:00","5","0"
"08.01.2018 15:00 - 08.01.2018 16:00","5","0"
"08.01.2018 16:00 - 08.01.2018 17:00","0","85"
"08.01.2018 17:00 - 08.01.2018 18:00","15","0"
"08.01.2018 18:00 - 08.01.2018 19:00","0","19"
"08.01.2018 19:00 - 08.01.2018 20:00","21","0"
"08.01.2018 20:00 - 08.01.2018 21:00","281","0"
"08.01.2018 21:00 - 08.01.2018 22:00","351","0"
"08.01.2018 22:00 - 08.01.2018 23:00","472","0"
"08.01.2018 23:00 - 09.01.2018 00:00","404","0"
"09.01.2018 00:00 - 09.01.2018 01:00","589","0"
"09.01.2018 01:00 - 09.01.2018 02:00","486","0"
"09.01.2018 02:00 - 09.01.2018 03:00","464","0"
"09.01.2018 03:00 - 09.01.2018 04:00","448","0"
"09.01.2018 04:00 - 09.01.2018 05:00","411","0"
"09.01.2018 05:00 - 09.01.2018 06:00","414","0"
"09.01.2018 06:00 - 09.01.2018 07:00","258","0"
"09.01.2018 07:00 - 09.01.2018 08:00","122","0"
"09.01.2018 08:00 - 09.01.2018 09:00","0","20"
"09.01.2018 09:00 - 09.01.2018 10:00","0","32"
"09.01.2018 10:00 - 09.01.2018 11:00","63","0"
"09.01.2018 11:00 - 09.01.2018 12:00","71","0"
"09.01.2018 12:00 - 09.01.2018 13:00","61","0"
"09.01.2018 13:00 - 09.01.2018 14:00","0","150"
"09.01.2018 14:00 - 09.01.2018 15:00","0","83"
"09.01.2018 15:00 - 09.01.2018 16:00","0","67"
"09.01.2018 16:00 - 09.01.2018 17:00","0","130"
"09.01.2018 17:00 - 09.01.2018 18:00","0","94"
"09.01.2018 18:00 - 09.01.2018 19:00","0","89"
"09.01.2018 19:00 - 09.01.2018 20:00","0","70"
"09.01.2018 20:00 - 09.01.2018 21:00","110","0"
"09.01.2018 21:00 - 09.01.2018 22:00","303","0"
"09.01.2018 22:00 - 09.01.2018 23:00","512","0"
"09.01.2018 23:00 - 10.01.2018 00:00","488","0"
"10.01.2018 00:00 - 10.01.2018 01:00","401","0"
"10.01.2018 01:00 - 10.01.2018 02:00","281","0"
"10.01.2018 02:00 - 10.01.2018 03:00","197","0"
"10.01.2018 03:00 - 10.01.2018 04:00","164","0"
"10.01.2018 04:00 - 10.01.2018 05:00","177","0"
"10.01.2018 05:00 - 10.01.2018 06:00","223","0"
"10.01.2018 06:00 - 10.01.2018 07:00","0","38"
"10.01.2018 07:00 - 10.01.2018 08:00","0","124"
"10.01.2018 08:00 - 10.01.2018 09:00","0","213"
"10.01.2018 09:00 - 10.01.2018 10:00","0","304"
"10.01.2018 10:00 - 10.01.2018 11:00","0","277"
"10.01.2018 11:00 - 10.01.2018 12:00","0","240"
"10.01.2018 12:00 - 10.01.2018 13:00","0","310"
"10.01.2018 13:00 - 10.01.2018 14:00","0","381"
"10.01.2018 14:00 - 10.01.2018 15:00","0","503"
"10.01.2018 15:00 - 10.01.2018 16:00","0","587"
"10.01.2018 16:00 - 10.01.2018 17:00","0","610"
"10.01.2018 17:00 - 10.01.2018 18:00","0","462"
"10.01.2018 18:00 - 10.01.2018 19:00","0","437"
"10.01.2018 19:00 - 10.01.2018 20:00","0","410"
"10.01.2018 20:00 - 10.01.2018 21:00","0","219"
"10.01.2018 21:00 - 10.01.2018 22:00","0","159"
"10.01.2018 22:00 - 10.01.2018 23:00","35","0"
"10.01.2018 23:00 - 11.01.2018 00:00","125","0"
"11.01.2018 00:00 - 11.01.2018 01:00","184","0"
"11.01.2018 01:00 - 11.01.2018 02:00","44","0"
"11.01.2018 02:00 - 11.01.2018 03:00","0","17"
"11.01.2018 03:00 - 11.01.2018 04:00","0","78"
"11.01.2018 04:00 - 11.01.2018 05:00","0","69"
"11.01.2018 05:00 - 11.01.2018 06:00","0","16"
"11.01.2018 06:00 - 11.01.2018 07:00","0","127"
"11.01.2018 07:00 - 11.01.2018 08:00","0","340"
"11.01.2018 08:00 - 11.01.2018 09:00","0","374"
"11.01.2018 09:00 - 11.01.2018 10:00","0","419"
"11.01.2018 10:00 - 11.01.2018 11:00","0","386"
"11.01.2018 11:00 - 11.01.2018 12:00","0","369"
"11.01.2018 12:00 - 11.01.2018 13:00","0","441"
"11.01.2018 13:00 - 11.01.2018 14:00","0","465"
"11.01.2018 14:00 - 11.01.2018 15:00","0","411"
"11.01.2018 15:00 - 11.01.2018 16:00","0","455"
"11.01.2018 16:00 - 11.01.2018 17:00","0","407"
"11.01.2018 17:00 - 11.01.2018 18:00","0","340"
"11.01.2018 18:00 - 11.01.2018 19:00","0","302"
"11.01.2018 19:00 - 11.01.2018 20:00","0","263"
"11.01.2018 20:00 - 11.01.2018 21:00","0","100"
"11.01.2018 21:00 - 11.01.2018 22:00","17","0"
"11.01.2018 22:00 - 11.01.2018 23:00","215","0"
"11.01.2018 23:00 - 12.01.2018 00:00","247","0"
"12.01.2018 00:00 - 12.01.2018 01:00","74","0"
"12.01.2018 01:00 - 12.01.2018 02:00","40","0"
"12.01.2018 02:00 - 12.01.2018 03:00","13","0"
"12.01.2018 03:00 - 12.01.2018 04:00","9","0"
"12.01.2018 04:00 - 12.01.2018 05:00","0","36"
"12.01.2018 05:00 - 12.01.2018 06:00","0","29"
"12.01.2018 06:00 - 12.01.2018 07:00","0","96"
"12.01.2018 07:00 - 12.01.2018 08:00","0","74"
"12.01.2018 08:00 - 12.01.2018 09:00","0","132"
"12.01.2018 09:00 - 12.01.2018 10:00","0","165"
"12.01.2018 10:00 - 12.01.2018 11:00","0","173"
"12.01.2018 11:00 - 12.01.2018 12:00","0","200"
"12.01.2018 12:00 - 12.01.2018 13:00","0","199"
"12.01.2018 13:00 - 12.01.2018 14:00","0","199"
"12.01.2018 14:00 - 12.01.2018 15:00","0","222"
"12.01.2018 15:00 - 12.01.2018 16:00","0","205"
"12.01.2018 16:00 - 12.01.2018 17:00","0","256"
"12.01.2018 17:00 - 12.01.2018 18:00","0","180"
"12.01.2018 18:00 - 12.01.2018 19:00","0","145"
"12.01.2018 19:00 - 12.01.2018 20:00","0","123"
"12.01.2018 20:00 - 12.01.2018 21:00","46","0"
"12.01.2018 21:00 - 12.01.2018 22:00","139","0"
"12.01.2018 22:00 - 12.01.2018 23:00","294","0"
"12.01.2018 23:00 - 13.01.2018 00:00","331","0"
"13.01.2018 00:00 - 13.01.2018 01:00","618","0"
"13.01.2018 01:00 - 13.01.2018 02:00","542","0"
"13.01.2018 02:00 - 13.01.2018 03:00","451","0"
"13.01.2018 03:00 - 13.01.2018 04:00","399","0"
"13.01.2018 04:00 - 13.01.2018 05:00","385","0"
"13.01.2018 05:00 - 13.01.2018 06:00","389","0"
"13.01.2018 06:00 - 13.01.2018 07:00","278","0"
"13.01.2018 07:00 - 13.01.2018 08:00","236","0"
"13.01.2018 08:00 - 13.01.2018 09:00","242","0"
"13.01.2018 09:00 - 13.01.2018 10:00","167","0"
"13.01.2018 10:00 - 13.01.2018 11:00","160","0"
"13.01.2018 11:00 - 13.01.2018 12:00","142","0"
"13.01.2018 12:00 - 13.01.2018 13:00","155","0"
"13.01.2018 13:00 - 13.01.2018 14:00","128","0"
"13.01.2018 14:00 - 13.01.2018 15:00","111","0"
"13.01.2018 15:00 - 13.01.2018 16:00","59","0"
"13.01.2018 16:00 - 13.01.2018 17:00","31","0"
"13.01.2018 17:00 - 13.01.2018 18:00","87","0"
"13.01.2018 18:00 - 13.01.2018 19:00","196","0"
"13.01.2018 19:00 - 13.01.2018 20:00","266","0"
"13.01.2018 20:00 - 13.01.2018 21:00","349","0"
"13.01.2018 21:00 - 13.01.2018 22:00","284","0"
"13.01.2018 22:00 - 13.01.2018 23:00","438","0"
"13.01.2018 23:00 - 14.01.2018 00:00","536","0"
"14.01.2018 00:00 - 14.01.2018 01:00","543","0"
"14.01.2018 01:00 - 14.01.2018 02:00","486","0"
"14.01.2018 02:00 - 14.01.2018 03:00","458","0"
"14.01.2018 03:00 - 14.01.2018 04:00","339","0"
"14.01.2018 04:00 - 14.01.2018 05:00","344","0"
"14.01.2018 05:00 - 14.01.2018 06:00","364","0"
"14.01.2018 06:00 - 14.01.2018 07:00","359","0"
"14.01.2018 07:00 - 14.01.2018 08:00","425","0"
"14.01.2018 08:00 - 14.01.2018 09:00","405","0"
"14.01.2018 09:00 - 14.01.2018 10:00","369","0"
"14.01.2018 10:00 - 14.01.2018 11:00","401","0"
"14.01.2018 11:00 - 14.01.2018 12:00","380","0"
"14.01.2018 12:00 - 14.01.2018 13:00","431","0"
"14.01.2018 13:00 - 14.01.2018 14:00","469","0"
"14.01.2018 14:00 - 14.01.2018 15:00","507","0"
"14.01.2018 15:00 - 14.01.2018 16:00","464","0"
"14.01.2018 16:00 - 14.01.2018 17:00","430","0"
"14.01.2018 17:00 - 14.01.2018 18:00","466","0"
"14.01.2018 18:00 - 14.01.2018 19:00","438","0"
"14.01.2018 19:00 - 14.01.2018 20:00","391","0"
"14.01.2018 20:00 - 14.01.2018 21:00","471","0"
"14.01.2018 21:00 - 14.01.2018 22:00","595","0"
"14.01.2018 22:00 - 14.01.2018 23:00","779","0"
"14.01.2018 23:00 - 15.01.2018 00:00","862","0"
"15.01.2018 00:00 - 15.01.2018 01:00","760","0"
"15.01.2018 01:00 - 15.01.2018 02:00","641","0"
"15.01.2018 02:00 - 15.01.2018 03:00","586","0"
"15.01.2018 03:00 - 15.01.2018 04:00","559","0"
"15.01.2018 04:00 - 15.01.2018 05:00","504","0"
"15.01.2018 05:00 - 15.01.2018 06:00","586","0"
"15.01.2018 06:00 - 15.01.2018 07:00","441","0"
"15.01.2018 07:00 - 15.01.2018 08:00","209","0"
"15.01.2018 08:00 - 15.01.2018 09:00","219","0"
"15.01.2018 09:00 - 15.01.2018 10:00","276","0"
"15.01.2018 10:00 - 15.01.2018 11:00","397","0"
"15.01.2018 11:00 - 15.01.2018 12:00","398","0"
"15.01.2018 12:00 - 15.01.2018 13:00","364","0"
"15.01.2018 13:00 - 15.01.2018 14:00","358","0"
"15.01.2018 14:00 - 15.01.2018 15:00","337","0"
"15.01.2018 15:00 - 15.01.2018 16:00","271","0"
"15.01.2018 16:00 - 15.01.2018 17:00","305","0"
"15.01.2018 17:00 - 15.01.2018 18:00","354","0"
"15.01.2018 18:00 - 15.01.2018 19:00","387","0"
"15.01.2018 19:00 - 15.01.2018 20:00","436","0"
"15.01.2018 20:00 - 15.01.2018 21:00","553","0"
"15.01.2018 21:00 - 15.01.2018 22:00","570","0"
"15.01.2018 22:00 - 15.01.2018 23:00","718","0"
"15.01.2018 23:00 - 16.01.2018 00:00","664","0"
"16.01.2018 00:00 - 16.01.2018 01:00","847","0"
"16.01.2018 01:00 - 16.01.2018 02:00","847","0"
"16.01.2018 02:00 - 16.01.2018 03:00","822","0"
"16.01.2018 03:00 - 16.01.2018 04:00","743","0"
"16.01.2018 04:00 - 16.01.2018 05:00","692","0"
"16.01.2018 05:00 - 16.01.2018 06:00","675","0"
"16.01.2018 06:00 - 16.01.2018 07:00","434","0"
"16.01.2018 07:00 - 16.01.2018 08:00","328","0"
"16.01.2018 08:00 - 16.01.2018 09:00","262","0"
"16.01.2018 09:00 - 16.01.2018 10:00","165","0"
"16.01.2018 10:00 - 16.01.2018 11:00","78","0"
"16.01.2018 11:00 - 16.01.2018 12:00","44","0"
"16.01.2018 12:00 - 16.01.2018 13:00","30","0"
"16.01.2018 13:00 - 16.01.2018 14:00","0","37"
"16.01.2018 14:00 - 16.01.2018 15:00","0","33"
"16.01.2018 15:00 - 16.01.2018 16:00","0","37"
"16.01.2018 16:00 - 16.01.2018 17:00","0","101"
"16.01.2018 17:00 - 16.01.2018 18:00","0","53"
"16.01.2018 18:00 - 16.01.2018 19:00","0","48"
"16.01.2018 19:00 - 16.01.2018 20:00","70","0"
"16.01.2018 20:00 - 16.01.2018 21:00","177","0"
"16.01.2018 21:00 - 16.01.2018 22:00","331","0"
"16.01.2018 22:00 - 16.01.2018 23:00","492","0"
"16.01.2018 23:00 - 17.01.2018 00:00","467","0"
"17.01.2018 00:00 - 17.01.2018 01:00","418","0"
"17.01.2018 01:00 - 17.01.2018 02:00","406","0"
"17.01.2018 02:00 - 17.01.2018 03:00","378","0"
"17.01.2018 03:00 - 17.01.2018 04:00","384","0"
"17.01.2018 04:00 - 17.01.2018 05:00","324","0"
"17.01.2018 05:00 - 17.01.2018 06:00","281","0"
"17.01.2018 06:00 - 17.01.2018 07:00","99","0"
"17.01.2018 07:00 - 17.01.2018 08:00","32","0"
"17.01.2018 08:00 - 17.01.2018 09:00","51","0"
"17.01.2018 09:00 - 17.01.2018 10:00","38","0"
"17.01.2018 10:00 - 17.01.2018 11:00","13","0"
"17.01.2018 11:00 - 17.01.2018 12:00","86","0"
"17.01.2018 12:00 - 17.01.2018 13:00","79","0"
"17.01.2018 13:00 - 17.01.2018 14:00","101","0"
"17.01.2018 14:00 - 17.01.2018 15:00","81","0"
"17.01.2018 15:00 - 17.01.2018 16:00","90","0"
"17.01.2018 16:00 - 17.01.2018 17:00","144","0"
"17.01.2018 17:00 - 17.01.2018 18:00","238","0"
"17.01.2018 18:00 - 17.01.2018 19:00","225","0"
"17.01.2018 19:00 - 17.01.2018 20:00","238","0"
"17.01.2018 20:00 - 17.01.2018 21:00","367","0"
"17.01.2018 21:00 - 17.01.2018 22:00","455","0"
"17.01.2018 22:00 - 17.01.2018 23:00","539","0"
"17.01.2018 23:00 - 18.01.2018 00:00","482","0"
"18.01.2018 00:00 - 18.01.2018 01:00","588","0"
"18.01.2018 01:00 - 18.01.2018 02:00","529","0"
"18.01.2018 02:00 - 18.01.2018 03:00","500","0"
"18.01.2018 03:00 - 18.01.2018 04:00","437","0"
"18.01.2018 04:00 - 18.01.2018 05:00","387","0"
"18.01.2018 05:00 - 18.01.2018 06:00","447","0"
"18.01.2018 06:00 - 18.01.2018 07:00","285","0"
"18.01.2018 07:00 - 18.01.2018 08:00","258","0"
"18.01.2018 08:00 - 18.01.2018 09:00","319","0"
"18.01.2018 09:00 - 18.01.2018 10:00","258","0"
"18.01.2018 10:00 - 18.01.2018 11:00","259","0"
"18.01.2018 11:00 - 18.01.2018 12:00","284","0"
"18.01.2018 12:00 - 18.01.2018 13:00","285","0"
"18.01.2018 13:00 - 18.01.2018 14:00","289","0"
"18.01.2018 14:00 - 18.01.2018 15:00","172","0"
"18.01.2018 15:00 - 18.01.2018 16:00","105","0"
"18.01.2018 16:00 - 18.01.2018 17:00","68","0"
"18.01.2018 17:00 - 18.01.2018 18:00","183","0"
"18.01.2018 18:00 - 18.01.2018 19:00","185","0"
"18.01.2018 19:00 - 18.01.2018 20:00","246","0"
"18.01.2018 20:00 - 18.01.2018 21:00","256","0"
"18.01.2018 21:00 - 18.01.2018 22:00","427","0"
"18.01.2018 22:00 - 18.01.2018 23:00","520","0"
"18.01.2018 23:00 - 19.01.2018 00:00","443","0"
"19.01.2018 00:00 - 19.01.2018 01:00","653","0"
"19.01.2018 01:00 - 19.01.2018 02:00","612","0"
"19.01.2018 02:00 - 19.01.2018 03:00","503","0"
"19.01.2018 03:00 - 19.01.2018 04:00","433","0"
"19.01.2018 04:00 - 19.01.2018 05:00","365","0"
"19.01.2018 05:00 - 19.01.2018 06:00","444","0"
"19.01.2018 06:00 - 19.01.2018 07:00","330","0"
"19.01.2018 07:00 - 19.01.2018 08:00","123","0"
"19.01.2018 08:00 - 19.01.2018 09:00","0","47"
"19.01.2018 09:00 - 19.01.2018 10:00","0","76"
"19.01.2018 10:00 - 19.01.2018 11:00","0","89"
"19.01.2018 11:00 - 19.01.2018 12:00","0","1"
"19.01.2018 12:00 - 19.01.2018 13:00","97","0"
"19.01.2018 13:00 - 19.01.2018 14:00","134","0"
"19.01.2018 14:00 - 19.01.2018 15:00","108","0"
"19.01.2018 15:00 - 19.01.2018 16:00","42","0"
"19.01.2018 16:00 - 19.01.2018 17:00","0","41"
"19.01.2018 17:00 - 19.01.2018 18:00","60","0"
"19.01.2018 18:00 - 19.01.2018 19:00","140","0"
"19.01.2018 19:00 - 19.01.2018 20:00","267","0"
"19.01.2018 20:00 - 19.01.2018 21:00","393","0"
"19.01.2018 21:00 - 19.01.2018 22:00","452","0"
"19.01.2018 22:00 - 19.01.2018 23:00","569","0"
"19.01.2018 23:00 - 20.01.2018 00:00","508","0"
"20.01.2018 00:00 - 20.01.2018 01:00","492","0"
"20.01.2018 01:00 - 20.01.2018 02:00","433","0"
"20.01.2018 02:00 - 20.01.2018 03:00","362","0"
"20.01.2018 03:00 - 20.01.2018 04:00","370","0"
"20.01.2018 04:00 - 20.01.2018 05:00","378","0"
"20.01.2018 05:00 - 20.01.2018 06:00","416","0"
"20.01.2018 06:00 - 20.01.2018 07:00","379","0"
