"Time (CET)","Latvia (LV) > Lithuania (LT) [MW]","Lithuania (LT) > Latvia (LV) [MW]"
"05.01.2018 03:00 - 05.01.2018 04:00","832","0"
"05.01.2018 04:00 - 05.01.2018 05:00","731","0"
"05.01.2018 05:00 - 05.01.2018 06:00","770","0"
"05.01.2018 06:00 - 05.01.2018 07:00","775","0"
"05.01.2018 07:00 - 05.01.2018 08:00","739","0"
"05.01.2018 08:00 - 05.01.2018 09:00","944","0"
"05.01.2018 09:00 - 05.01.2018 10:00","944","0"
"05.01.2018 10:00 - 05.01.2018 11:00","1038","0"
"05.01.2018 11:00 - 05.01.2018 12:00","991","0"
"05.01.2018 12:00 - 05.01.2018 13:00","1008","0"
"05.01.2018 13:00 - 05.01.2018 14:00","1010","0"
"05.01.2018 14:00 - 05.01.2018 15:00","824","0"
"05.01.2018 15:00 - 05.01.2018 16:00","885","0"
"05.01.2018 16:00 - 05.01.2018 17:00","1003","0"
"05.01.2018 17:00 - 05.01.2018 18:00","1031","0"
"05.01.2018 18:00 - 05.01.2018 19:00","968","0"
"05.01.2018 19:00 - 05.01.2018 20:00","836","0"
"05.01.2018 20:00 - 05.01.2018 21:00","859","0"
"05.01.2018 21:00 - 05.01.2018 22:00","756","0"
"05.01.2018 22:00 - 05.01.2018 23:00","801","0"
"05.01.2018 23:00 - 06.01.2018 00:00","726","0"
"06.01.2018 00:00 - 06.01.2018 01:00","606","0"
"06.01.2018 01:00 - 06.01.2018 02:00","588","0"
"06.01.2018 02:00 - 06.01.2018 03:00","597","0"
"06.01.2018 03:00 - 06.01.2018 04:00","617","0"
"06.01.2018 04:00 - 06.01.2018 05:00","592","0"
"06.01.2018 05:00 - 06.01.2018 06:00","640","0"
"06.01.2018 06:00 - 06.01.2018 07:00","673","0"
"06.01.2018 07:00 - 06.01.2018 08:00","716","0"
"06.01.2018 08:00 - 06.01.2018 09:00","653","0"
"06.01.2018 09:00 - 06.01.2018 10:00","728","0"
"06.01.2018 10:00 - 06.01.2018 11:00","851","0"
"06.01.2018 11:00 - 06.01.2018 12:00","921","0"
"06.01.2018 12:00 - 06.01.2018 13:00","938","0"
"06.01.2018 13:00 - 06.01.2018 14:00","926","0"
"06.01.2018 14:00 - 06.01.2018 15:00","879","0"
"06.01.2018 15:00 - 06.01.2018 16:00","854","0"
"06.01.2018 16:00 - 06.01.2018 17:00","927","0"
"06.01.2018 17:00 - 06.01.2018 18:00","928","0"
"06.01.2018 18:00 - 06.01.2018 19:00","877","0"
"06.01.2018 19:00 - 06.01.2018 20:00","894","0"
"06.01.2018 20:00 - 06.01.2018 21:00","922","0"
"06.01.2018 21:00 - 06.01.2018 22:00","865","0"
"06.01.2018 22:00 - 06.01.2018 23:00","633","0"
"06.01.2018 23:00 - 07.01.2018 00:00","698","0"
"07.01.2018 00:00 - 07.01.2018 01:00","692","0"
"07.01.2018 01:00 - 07.01.2018 02:00","659","0"
"07.01.2018 02:00 - 07.01.2018 03:00","696","0"
"07.01.2018 03:00 - 07.01.2018 04:00","700","0"
"07.01.2018 04:00 - 07.01.2018 05:00","675","0"
"07.01.2018 05:00 - 07.01.2018 06:00","714","0"
"07.01.2018 06:00 - 07.01.2018 07:00","665","0"
"07.01.2018 07:00 - 07.01.2018 08:00","642","0"
"07.01.2018 08:00 - 07.01.2018 09:00","591","0"
"07.01.2018 09:00 - 07.01.2018 10:00","584","0"
"07.01.2018 10:00 - 07.01.2018 11:00","531","0"
"07.01.2018 11:00 - 07.01.2018 12:00","523","0"
"07.01.2018 12:00 - 07.01.2018 13:00","529","0"
"07.01.2018 13:00 - 07.01.2018 14:00","547","0"
"07.01.2018 14:00 - 07.01.2018 15:00","543","0"
"07.01.2018 15:00 - 07.01.2018 16:00","563","0"
"07.01.2018 16:00 - 07.01.2018 17:00","597","0"
"07.01.2018 17:00 - 07.01.2018 18:00","593","0"
"07.01.2018 18:00 - 07.01.2018 19:00","666","0"
"07.01.2018 19:00 - 07.01.2018 20:00","613","0"
"07.01.2018 20:00 - 07.01.2018 21:00","669","0"
"07.01.2018 21:00 - 07.01.2018 22:00","708","0"
"07.01.2018 22:00 - 07.01.2018 23:00","668","0"
"07.01.2018 23:00 - 08.01.2018 00:00","626","0"
"08.01.2018 00:00 - 08.01.2018 01:00","669","0"
"08.01.2018 01:00 - 08.01.2018 02:00","831","0"
"08.01.2018 02:00 - 08.01.2018 03:00","854","0"
"08.01.2018 03:00 - 08.01.2018 04:00","839","0"
"08.01.2018 04:00 - 08.01.2018 05:00","836","0"
"08.01.2018 05:00 - 08.01.2018 06:00","913","0"
"08.01.2018 06:00 - 08.01.2018 07:00","1033","0"
"08.01.2018 07:00 - 08.01.2018 08:00","1086","0"
"08.01.2018 08:00 - 08.01.2018 09:00","1061","0"
"08.01.2018 09:00 - 08.01.2018 10:00","1047","0"
"08.01.2018 10:00 - 08.01.2018 11:00","1023","0"
"08.01.2018 11:00 - 08.01.2018 12:00","1045","0"
"08.01.2018 12:00 - 08.01.2018 13:00","984","0"
"08.01.2018 13:00 - 08.01.2018 14:00","996","0"
"08.01.2018 14:00 - 08.01.2018 15:00","959","0"
"08.01.2018 15:00 - 08.01.2018 16:00","925","0"
"08.01.2018 16:00 - 08.01.2018 17:00","922","0"
"08.01.2018 17:00 - 08.01.2018 18:00","988","0"
"08.01.2018 18:00 - 08.01.2018 19:00","998","0"
"08.01.2018 19:00 - 08.01.2018 20:00","1022","0"
"08.01.2018 20:00 - 08.01.2018 21:00","959","0"
"08.01.2018 21:00 - 08.01.2018 22:00","961","0"
"08.01.2018 22:00 - 08.01.2018 23:00","1017","0"
"08.01.2018 23:00 - 09.01.2018 00:00","970","0"
"09.01.2018 00:00 - 09.01.2018 01:00","840","0"
"09.01.2018 01:00 - 09.01.2018 02:00","816","0"
"09.01.2018 02:00 - 09.01.2018 03:00","900","0"
"09.01.2018 03:00 - 09.01.2018 04:00","864","0"
"09.01.2018 04:00 - 09.01.2018 05:00","847","0"
"09.01.2018 05:00 - 09.01.2018 06:00","791","0"
"09.01.2018 06:00 - 09.01.2018 07:00","577","0"
"09.01.2018 07:00 - 09.01.2018 08:00","677","0"
"09.01.2018 08:00 - 09.01.2018 09:00","760","0"
"09.01.2018 09:00 - 09.01.2018 10:00","684","0"
"09.01.2018 10:00 - 09.01.2018 11:00","818","0"
"09.01.2018 11:00 - 09.01.2018 12:00","877","0"
"09.01.2018 12:00 - 09.01.2018 13:00","947","0"
"09.01.2018 13:00 - 09.01.2018 14:00","1015","0"
"09.01.2018 14:00 - 09.01.2018 15:00","868","0"
"09.01.2018 15:00 - 09.01.2018 16:00","811","0"
"09.01.2018 16:00 - 09.01.2018 17:00","846","0"
"09.01.2018 17:00 - 09.01.2018 18:00","840","0"
"09.01.2018 18:00 - 09.01.2018 19:00","780","0"
"09.01.2018 19:00 - 09.01.2018 20:00","895","0"
"09.01.2018 20:00 - 09.01.2018 21:00","939","0"
"09.01.2018 21:00 - 09.01.2018 22:00","936","0"
"09.01.2018 22:00 - 09.01.2018 23:00","798","0"
"09.01.2018 23:00 - 10.01.2018 00:00","827","0"
"10.01.2018 00:00 - 10.01.2018 01:00","673","0"
"10.01.2018 01:00 - 10.01.2018 02:00","770","0"
"10.01.2018 02:00 - 10.01.2018 03:00","806","0"
"10.01.2018 03:00 - 10.01.2018 04:00","812","0"
"10.01.2018 04:00 - 10.01.2018 05:00","824","0"
"10.01.2018 05:00 - 10.01.2018 06:00","542","0"
"10.01.2018 06:00 - 10.01.2018 07:00","469","0"
"10.01.2018 07:00 - 10.01.2018 08:00","722","0"
"10.01.2018 08:00 - 10.01.2018 09:00","885","0"
"10.01.2018 09:00 - 10.01.2018 10:00","826","0"
"10.01.2018 10:00 - 10.01.2018 11:00","923","0"
"10.01.2018 11:00 - 10.01.2018 12:00","945","0"
"10.01.2018 12:00 - 10.01.2018 13:00","955","0"
"10.01.2018 13:00 - 10.01.2018 14:00","957","0"
"10.01.2018 14:00 - 10.01.2018 15:00","943","0"
"10.01.2018 15:00 - 10.01.2018 16:00","813","0"
"10.01.2018 16:00 - 10.01.2018 17:00","758","0"
"10.01.2018 17:00 - 10.01.2018 18:00","719","0"
"10.01.2018 18:00 - 10.01.2018 19:00","841","0"
"10.01.2018 19:00 - 10.01.2018 20:00","1064","0"
"10.01.2018 20:00 - 10.01.2018 21:00","1100","0"
"10.01.2018 21:00 - 10.01.2018 22:00","967","0"
"10.01.2018 22:00 - 10.01.2018 23:00","775","0"
"10.01.2018 23:00 - 11.01.2018 00:00","950","0"
"11.01.2018 00:00 - 11.01.2018 01:00","1130","0"
"11.01.2018 01:00 - 11.01.2018 02:00","1204","0"
"11.01.2018 02:00 - 11.01.2018 03:00","1134","0"
"11.01.2018 03:00 - 11.01.2018 04:00","1110","0"
"11.01.2018 04:00 - 11.01.2018 05:00","1149","0"
"11.01.2018 05:00 - 11.01.2018 06:00","1068","0"
"11.01.2018 06:00 - 11.01.2018 07:00","787","0"
"11.01.2018 07:00 - 11.01.2018 08:00","932","0"
"11.01.2018 08:00 - 11.01.2018 09:00","963","0"
"11.01.2018 09:00 - 11.01.2018 10:00","935","0"
"11.01.2018 10:00 - 11.01.2018 11:00","1057","0"
"11.01.2018 11:00 - 11.01.2018 12:00","1103","0"
"11.01.2018 12:00 - 11.01.2018 13:00","1062","0"
"11.01.2018 13:00 - 11.01.2018 14:00","1035","0"
"11.01.2018 14:00 - 11.01.2018 15:00","956","0"
"11.01.2018 15:00 - 11.01.2018 16:00","900","0"
"11.01.2018 16:00 - 11.01.2018 17:00","865","0"
"11.01.2018 17:00 - 11.01.2018 18:00","935","0"
"11.01.2018 18:00 - 11.01.2018 19:00","1000","0"
"11.01.2018 19:00 - 11.01.2018 20:00","1210","0"
"11.01.2018 20:00 - 11.01.2018 21:00","1153","0"
"11.01.2018 21:00 - 11.01.2018 22:00","992","0"
"11.01.2018 22:00 - 11.01.2018 23:00","1083","0"
"11.01.2018 23:00 - 12.01.2018 00:00","1159","0"
"12.01.2018 00:00 - 12.01.2018 01:00","1170","0"
"12.01.2018 01:00 - 12.01.2018 02:00","1308","0"
"12.01.2018 02:00 - 12.01.2018 03:00","1268","0"
"12.01.2018 03:00 - 12.01.2018 04:00","1204","0"
"12.01.2018 04:00 - 12.01.2018 05:00","1097","0"
"12.01.2018 05:00 - 12.01.2018 06:00","845","0"
"12.01.2018 06:00 - 12.01.2018 07:00","912","0"
"12.01.2018 07:00 - 12.01.2018 08:00","988","0"
"12.01.2018 08:00 - 12.01.2018 09:00","972","0"
"12.01.2018 09:00 - 12.01.2018 10:00","1033","0"
"12.01.2018 10:00 - 12.01.2018 11:00","1034","0"
"12.01.2018 11:00 - 12.01.2018 12:00","1141","0"
"12.01.2018 12:00 - 12.01.2018 13:00","1252","0"
"12.01.2018 13:00 - 12.01.2018 14:00","1254","0"
"12.01.2018 14:00 - 12.01.2018 15:00","1181","0"
"12.01.2018 15:00 - 12.01.2018 16:00","1124","0"
"12.01.2018 16:00 - 12.01.2018 17:00","1070","0"
"12.01.2018 17:00 - 12.01.2018 18:00","1057","0"
"12.01.2018 18:00 - 12.01.2018 19:00","1083","0"
"12.01.2018 19:00 - 12.01.2018 20:00","1038","0"
"12.01.2018 20:00 - 12.01.2018 21:00","1011","0"
"12.01.2018 21:00 - 12.01.2018 22:00","968","0"
"12.01.2018 22:00 - 12.01.2018 23:00","899","0"
"12.01.2018 23:00 - 13.01.2018 00:00","1060","0"
"13.01.2018 00:00 - 13.01.2018 01:00","609","0"
"13.01.2018 01:00 - 13.01.2018 02:00","620","0"
"13.01.2018 02:00 - 13.01.2018 03:00","618","0"
"13.01.2018 03:00 - 13.01.2018 04:00","648","0"
"13.01.2018 04:00 - 13.01.2018 05:00","617","0"
"13.01.2018 05:00 - 13.01.2018 06:00","558","0"
"13.01.2018 06:00 - 13.01.2018 07:00","N/A","N/A"
"13.01.2018 07:00 - 13.01.2018 08:00","502","0"
"13.01.2018 08:00 - 13.01.2018 09:00","814","0"
"13.01.2018 09:00 - 13.01.2018 10:00","867","0"
"13.01.2018 10:00 - 13.01.2018 11:00","901","0"
"13.01.2018 11:00 - 13.01.2018 12:00","884","0"
"13.01.2018 12:00 - 13.01.2018 13:00","898","0"
"13.01.2018 13:00 - 13.01.2018 14:00","877","0"
"13.01.2018 14:00 - 13.01.2018 15:00","868","0"
"13.01.2018 15:00 - 13.01.2018 16:00","731","0"
"13.01.2018 16:00 - 13.01.2018 17:00","617","0"
"13.01.2018 17:00 - 13.01.2018 18:00","942","0"
"13.01.2018 18:00 - 13.01.2018 19:00","928","0"
"13.01.2018 19:00 - 13.01.2018 20:00","936","0"
"13.01.2018 20:00 - 13.01.2018 21:00","853","0"
"13.01.2018 21:00 - 13.01.2018 22:00","822","0"
"13.01.2018 22:00 - 13.01.2018 23:00","684","0"
"13.01.2018 23:00 - 14.01.2018 00:00","634","0"
"14.01.2018 00:00 - 14.01.2018 01:00","248","0"
"14.01.2018 01:00 - 14.01.2018 02:00","226","0"
"14.01.2018 02:00 - 14.01.2018 03:00","189","0"
"14.01.2018 03:00 - 14.01.2018 04:00","170","0"
"14.01.2018 04:00 - 14.01.2018 05:00","242","0"
"14.01.2018 05:00 - 14.01.2018 06:00","363","0"
"14.01.2018 06:00 - 14.01.2018 07:00","395","0"
"14.01.2018 07:00 - 14.01.2018 08:00","436","0"
"14.01.2018 08:00 - 14.01.2018 09:00","520","0"
"14.01.2018 09:00 - 14.01.2018 10:00","721","0"
"14.01.2018 10:00 - 14.01.2018 11:00","700","0"
"14.01.2018 11:00 - 14.01.2018 12:00","610","0"
"14.01.2018 12:00 - 14.01.2018 13:00","633","0"
"14.01.2018 13:00 - 14.01.2018 14:00","625","0"
"14.01.2018 14:00 - 14.01.2018 15:00","617","0"
"14.01.2018 15:00 - 14.01.2018 16:00","665","0"
"14.01.2018 16:00 - 14.01.2018 17:00","743","0"
"14.01.2018 17:00 - 14.01.2018 18:00","823","0"
"14.01.2018 18:00 - 14.01.2018 19:00","847","0"
"14.01.2018 19:00 - 14.01.2018 20:00","684","0"
"14.01.2018 20:00 - 14.01.2018 21:00","565","0"
"14.01.2018 21:00 - 14.01.2018 22:00","414","0"
"14.01.2018 22:00 - 14.01.2018 23:00","262","0"
"14.01.2018 23:00 - 15.01.2018 00:00","228","0"
"15.01.2018 00:00 - 15.01.2018 01:00","49","0"
"15.01.2018 01:00 - 15.01.2018 02:00","93","0"
"15.01.2018 02:00 - 15.01.2018 03:00","178","0"
"15.01.2018 03:00 - 15.01.2018 04:00","161","0"
"15.01.2018 04:00 - 15.01.2018 05:00","232","0"
"15.01.2018 05:00 - 15.01.2018 06:00","250","0"
"15.01.2018 06:00 - 15.01.2018 07:00","360","0"
"15.01.2018 07:00 - 15.01.2018 08:00","645","0"
"15.01.2018 08:00 - 15.01.2018 09:00","749","0"
"15.01.2018 09:00 - 15.01.2018 10:00","810","0"
"15.01.2018 10:00 - 15.01.2018 11:00","909","0"
"15.01.2018 11:00 - 15.01.2018 12:00","867","0"
"15.01.2018 12:00 - 15.01.2018 13:00","867","0"
"15.01.2018 13:00 - 15.01.2018 14:00","866","0"
"15.01.2018 14:00 - 15.01.2018 15:00","850","0"
"15.01.2018 15:00 - 15.01.2018 16:00","846","0"
"15.01.2018 16:00 - 15.01.2018 17:00","826","0"
"15.01.2018 17:00 - 15.01.2018 18:00","834","0"
"15.01.2018 18:00 - 15.01.2018 19:00","767","0"
"15.01.2018 19:00 - 15.01.2018 20:00","657","0"
"15.01.2018 20:00 - 15.01.2018 21:00","648","0"
"15.01.2018 21:00 - 15.01.2018 22:00","632","0"
"15.01.2018 22:00 - 15.01.2018 23:00","565","0"
"15.01.2018 23:00 - 16.01.2018 00:00","295","0"
"16.01.2018 00:00 - 16.01.2018 01:00","128","0"
"16.01.2018 01:00 - 16.01.2018 02:00","184","0"
"16.01.2018 02:00 - 16.01.2018 03:00","175","0"
"16.01.2018 03:00 - 16.01.2018 04:00","172","0"
"16.01.2018 04:00 - 16.01.2018 05:00","207","0"
"16.01.2018 05:00 - 16.01.2018 06:00","360","0"
"16.01.2018 06:00 - 16.01.2018 07:00","424","0"
"16.01.2018 07:00 - 16.01.2018 08:00","734","0"
"16.01.2018 08:00 - 16.01.2018 09:00","796","0"
"16.01.2018 09:00 - 16.01.2018 10:00","797","0"
"16.01.2018 10:00 - 16.01.2018 11:00","782","0"
"16.01.2018 11:00 - 16.01.2018 12:00","837","0"
"16.01.2018 12:00 - 16.01.2018 13:00","844","0"
"16.01.2018 13:00 - 16.01.2018 14:00","820","0"
"16.01.2018 14:00 - 16.01.2018 15:00","849","0"
"16.01.2018 15:00 - 16.01.2018 16:00","905","0"
"16.01.2018 16:00 - 16.01.2018 17:00","943","0"
"16.01.2018 17:00 - 16.01.2018 18:00","934","0"
"16.01.2018 18:00 - 16.01.2018 19:00","955","0"
"16.01.2018 19:00 - 16.01.2018 20:00","881","0"
"16.01.2018 20:00 - 16.01.2018 21:00","803","0"
"16.01.2018 21:00 - 16.01.2018 22:00","686","0"
"16.01.2018 22:00 - 16.01.2018 23:00","673","0"
"16.01.2018 23:00 - 17.01.2018 00:00","483","0"
"17.01.2018 00:00 - 17.01.2018 01:00","385","0"
"17.01.2018 01:00 - 17.01.2018 02:00","366","0"
"17.01.2018 02:00 - 17.01.2018 03:00","372","0"
"17.01.2018 03:00 - 17.01.2018 04:00","355","0"
"17.01.2018 04:00 - 17.01.2018 05:00","401","0"
"17.01.2018 05:00 - 17.01.2018 06:00","574","0"
"17.01.2018 06:00 - 17.01.2018 07:00","772","0"
"17.01.2018 07:00 - 17.01.2018 08:00","855","0"
"17.01.2018 08:00 - 17.01.2018 09:00","646","0"
"17.01.2018 09:00 - 17.01.2018 10:00","778","0"
"17.01.2018 10:00 - 17.01.2018 11:00","791","0"
"17.01.2018 11:00 - 17.01.2018 12:00","781","0"
"17.01.2018 12:00 - 17.01.2018 13:00","785","0"
"17.01.2018 13:00 - 17.01.2018 14:00","795","0"
"17.01.2018 14:00 - 17.01.2018 15:00","826","0"
"17.01.2018 15:00 - 17.01.2018 16:00","953","0"
"17.01.2018 16:00 - 17.01.2018 17:00","871","0"
"17.01.2018 17:00 - 17.01.2018 18:00","936","0"
"17.01.2018 18:00 - 17.01.2018 19:00","915","0"
"17.01.2018 19:00 - 17.01.2018 20:00","928","0"
"17.01.2018 20:00 - 17.01.2018 21:00","849","0"
"17.01.2018 21:00 - 17.01.2018 22:00","549","0"
"17.01.2018 22:00 - 17.01.2018 23:00","344","0"
"17.01.2018 23:00 - 18.01.2018 00:00","436","0"
"18.01.2018 00:00 - 18.01.2018 01:00","386","0"
"18.01.2018 01:00 - 18.01.2018 02:00","329","0"
"18.01.2018 02:00 - 18.01.2018 03:00","369","0"
"18.01.2018 03:00 - 18.01.2018 04:00","337","0"
"18.01.2018 04:00 - 18.01.2018 05:00","531","0"
"18.01.2018 05:00 - 18.01.2018 06:00","600","0"
"18.01.2018 06:00 - 18.01.2018 07:00","728","0"
"18.01.2018 07:00 - 18.01.2018 08:00","658","0"
"18.01.2018 08:00 - 18.01.2018 09:00","700","0"
"18.01.2018 09:00 - 18.01.2018 10:00","785","0"
"18.01.2018 10:00 - 18.01.2018 11:00","695","0"
"18.01.2018 11:00 - 18.01.2018 12:00","813","0"
"18.01.2018 12:00 - 18.01.2018 13:00","806","0"
"18.01.2018 13:00 - 18.01.2018 14:00","819","0"
"18.01.2018 14:00 - 18.01.2018 15:00","743","0"
"18.01.2018 15:00 - 18.01.2018 16:00","603","0"
"18.01.2018 16:00 - 18.01.2018 17:00","648","0"
"18.01.2018 17:00 - 18.01.2018 18:00","577","0"
"18.01.2018 18:00 - 18.01.2018 19:00","519","0"
"18.01.2018 19:00 - 18.01.2018 20:00","586","0"
"18.01.2018 20:00 - 18.01.2018 21:00","536","0"
"18.01.2018 21:00 - 18.01.2018 22:00","521","0"
"18.01.2018 22:00 - 18.01.2018 23:00","394","0"
"18.01.2018 23:00 - 19.01.2018 00:00","309","0"
"19.01.2018 00:00 - 19.01.2018 01:00","230","0"
"19.01.2018 01:00 - 19.01.2018 02:00","252","0"
"19.01.2018 02:00 - 19.01.2018 03:00","258","0"
"19.01.2018 03:00 - 19.01.2018 04:00","393","0"
"19.01.2018 04:00 - 19.01.2018 05:00","457","0"
"19.01.2018 05:00 - 19.01.2018 06:00","516","0"
"19.01.2018 06:00 - 19.01.2018 07:00","629","0"
"19.01.2018 07:00 - 19.01.2018 08:00","708","0"
"19.01.2018 08:00 - 19.01.2018 09:00","750","0"
"19.01.2018 09:00 - 19.01.2018 10:00","757","0"
"19.01.2018 10:00 - 19.01.2018 11:00","794","0"
"19.01.2018 11:00 - 19.01.2018 12:00","818","0"
"19.01.2018 12:00 - 19.01.2018 13:00","897","0"
"19.01.2018 13:00 - 19.01.2018 14:00","964","0"
"19.01.2018 14:00 - 19.01.2018 15:00","903","0"
"19.01.2018 15:00 - 19.01.2018 16:00","830","0"
"19.01.2018 16:00 - 19.01.2018 17:00","740","0"
"19.01.2018 17:00 - 19.01.2018 18:00","738","0"
"19.01.2018 18:00 - 19.01.2018 19:00","745","0"
"19.01.2018 19:00 - 19.01.2018 20:00","974","0"
"19.01.2018 20:00 - 19.01.2018 21:00","858","0"
"19.01.2018 21:00 - 19.01.2018 22:00","755","0"
"19.01.2018 22:00 - 19.01.2018 23:00","638","0"
"19.01.2018 23:00 - 20.01.2018 00:00","751","0"
"20.01.2018 00:00 - 20.01.2018 01:00","353","0"
"20.01.2018 01:00 - 20.01.2018 02:00","353","0"
"20.01.2018 02:00 - 20.01.2018 03:00","340","0"
"20.01.2018 03:00 - 20.01.2018 04:00","317","0"
