"Time (CET)","Poland (PL) > Czech Republic (CZ) [MW]","Czech Republic (CZ) > Poland (PL) [MW]"
"04.01.2018 08:00 - 04.01.2018 09:00","577","0"
"04.01.2018 09:00 - 04.01.2018 10:00","747","0"
"04.01.2018 10:00 - 04.01.2018 11:00","823","0"
"04.01.2018 11:00 - 04.01.2018 12:00","765","0"
"04.01.2018 12:00 - 04.01.2018 13:00","766","0"
"04.01.2018 13:00 - 04.01.2018 14:00","796","0"
"04.01.2018 14:00 - 04.01.2018 15:00","635","0"
"04.01.2018 15:00 - 04.01.2018 16:00","560","0"
"04.01.2018 16:00 - 04.01.2018 17:00","332","0"
"04.01.2018 17:00 - 04.01.2018 18:00","328","0"
"04.01.2018 18:00 - 04.01.2018 19:00","277","0"
"04.01.2018 19:00 - 04.01.2018 20:00","404","0"
"04.01.2018 20:00 - 04.01.2018 21:00","441","0"
"04.01.2018 21:00 - 04.01.2018 22:00","267","0"
"04.01.2018 22:00 - 04.01.2018 23:00","351","0"
"04.01.2018 23:00 - 05.01.2018 00:00","442","0"
"05.01.2018 00:00 - 05.01.2018 01:00","716","0"
"05.01.2018 01:00 - 05.01.2018 02:00","725","0"
"05.01.2018 02:00 - 05.01.2018 03:00","748","0"
"05.01.2018 03:00 - 05.01.2018 04:00","658","0"
"05.01.2018 04:00 - 05.01.2018 05:00","633","0"
"05.01.2018 05:00 - 05.01.2018 06:00","548","0"
"05.01.2018 06:00 - 05.01.2018 07:00","613","0"
"05.01.2018 07:00 - 05.01.2018 08:00","503","0"
"05.01.2018 08:00 - 05.01.2018 09:00","627","0"
"05.01.2018 09:00 - 05.01.2018 10:00","653","0"
"05.01.2018 10:00 - 05.01.2018 11:00","851","0"
"05.01.2018 11:00 - 05.01.2018 12:00","981","0"
"05.01.2018 12:00 - 05.01.2018 13:00","1004","0"
"05.01.2018 13:00 - 05.01.2018 14:00","1141","0"
"05.01.2018 14:00 - 05.01.2018 15:00","1125","0"
"05.01.2018 15:00 - 05.01.2018 16:00","1001","0"
"05.01.2018 16:00 - 05.01.2018 17:00","919","0"
"05.01.2018 17:00 - 05.01.2018 18:00","868","0"
"05.01.2018 18:00 - 05.01.2018 19:00","785","0"
"05.01.2018 19:00 - 05.01.2018 20:00","787","0"
"05.01.2018 20:00 - 05.01.2018 21:00","862","0"
"05.01.2018 21:00 - 05.01.2018 22:00","858","0"
"05.01.2018 22:00 - 05.01.2018 23:00","1188","0"
"05.01.2018 23:00 - 06.01.2018 00:00","823","0"
"06.01.2018 00:00 - 06.01.2018 01:00","588","0"
"06.01.2018 01:00 - 06.01.2018 02:00","642","0"
"06.01.2018 02:00 - 06.01.2018 03:00","602","0"
"06.01.2018 03:00 - 06.01.2018 04:00","617","0"
"06.01.2018 04:00 - 06.01.2018 05:00","623","0"
"06.01.2018 05:00 - 06.01.2018 06:00","706","0"
"06.01.2018 06:00 - 06.01.2018 07:00","676","0"
"06.01.2018 07:00 - 06.01.2018 08:00","774","0"
"06.01.2018 08:00 - 06.01.2018 09:00","854","0"
"06.01.2018 09:00 - 06.01.2018 10:00","1181","0"
"06.01.2018 10:00 - 06.01.2018 11:00","1252","0"
"06.01.2018 11:00 - 06.01.2018 12:00","1274","0"
"06.01.2018 12:00 - 06.01.2018 13:00","1159","0"
"06.01.2018 13:00 - 06.01.2018 14:00","1046","0"
"06.01.2018 14:00 - 06.01.2018 15:00","1060","0"
"06.01.2018 15:00 - 06.01.2018 16:00","1065","0"
"06.01.2018 16:00 - 06.01.2018 17:00","620","0"
"06.01.2018 17:00 - 06.01.2018 18:00","806","0"
"06.01.2018 18:00 - 06.01.2018 19:00","748","0"
"06.01.2018 19:00 - 06.01.2018 20:00","747","0"
"06.01.2018 20:00 - 06.01.2018 21:00","534","0"
"06.01.2018 21:00 - 06.01.2018 22:00","364","0"
"06.01.2018 22:00 - 06.01.2018 23:00","483","0"
"06.01.2018 23:00 - 07.01.2018 00:00","371","0"
"07.01.2018 00:00 - 07.01.2018 01:00","411","0"
"07.01.2018 01:00 - 07.01.2018 02:00","544","0"
"07.01.2018 02:00 - 07.01.2018 03:00","627","0"
"07.01.2018 03:00 - 07.01.2018 04:00","546","0"
"07.01.2018 04:00 - 07.01.2018 05:00","506","0"
"07.01.2018 05:00 - 07.01.2018 06:00","591","0"
"07.01.2018 06:00 - 07.01.2018 07:00","689","0"
"07.01.2018 07:00 - 07.01.2018 08:00","653","0"
"07.01.2018 08:00 - 07.01.2018 09:00","471","0"
"07.01.2018 09:00 - 07.01.2018 10:00","473","0"
"07.01.2018 10:00 - 07.01.2018 11:00","347","0"
"07.01.2018 11:00 - 07.01.2018 12:00","354","0"
"07.01.2018 12:00 - 07.01.2018 13:00","411","0"
"07.01.2018 13:00 - 07.01.2018 14:00","447","0"
"07.01.2018 14:00 - 07.01.2018 15:00","415","0"
"07.01.2018 15:00 - 07.01.2018 16:00","441","0"
"07.01.2018 16:00 - 07.01.2018 17:00","393","0"
"07.01.2018 17:00 - 07.01.2018 18:00","386","0"
"07.01.2018 18:00 - 07.01.2018 19:00","352","0"
"07.01.2018 19:00 - 07.01.2018 20:00","351","0"
"07.01.2018 20:00 - 07.01.2018 21:00","375","0"
"07.01.2018 21:00 - 07.01.2018 22:00","387","0"
"07.01.2018 22:00 - 07.01.2018 23:00","388","0"
"07.01.2018 23:00 - 08.01.2018 00:00","345","0"
"08.01.2018 00:00 - 08.01.2018 01:00","703","0"
"08.01.2018 01:00 - 08.01.2018 02:00","715","0"
"08.01.2018 02:00 - 08.01.2018 03:00","723","0"
"08.01.2018 03:00 - 08.01.2018 04:00","690","0"
"08.01.2018 04:00 - 08.01.2018 05:00","736","0"
"08.01.2018 05:00 - 08.01.2018 06:00","642","0"
"08.01.2018 06:00 - 08.01.2018 07:00","584","0"
"08.01.2018 07:00 - 08.01.2018 08:00","598","0"
"08.01.2018 08:00 - 08.01.2018 09:00","206","0"
"08.01.2018 09:00 - 08.01.2018 10:00","242","0"
"08.01.2018 10:00 - 08.01.2018 11:00","374","0"
"08.01.2018 11:00 - 08.01.2018 12:00","392","0"
"08.01.2018 12:00 - 08.01.2018 13:00","381","0"
"08.01.2018 13:00 - 08.01.2018 14:00","364","0"
"08.01.2018 14:00 - 08.01.2018 15:00","301","0"
"08.01.2018 15:00 - 08.01.2018 16:00","349","0"
"08.01.2018 16:00 - 08.01.2018 17:00","388","0"
"08.01.2018 17:00 - 08.01.2018 18:00","335","0"
"08.01.2018 18:00 - 08.01.2018 19:00","273","0"
"08.01.2018 19:00 - 08.01.2018 20:00","333","0"
"08.01.2018 20:00 - 08.01.2018 21:00","353","0"
"08.01.2018 21:00 - 08.01.2018 22:00","282","0"
"08.01.2018 22:00 - 08.01.2018 23:00","337","0"
"08.01.2018 23:00 - 09.01.2018 00:00","356","0"
"09.01.2018 00:00 - 09.01.2018 01:00","558","0"
"09.01.2018 01:00 - 09.01.2018 02:00","695","0"
"09.01.2018 02:00 - 09.01.2018 03:00","688","0"
"09.01.2018 03:00 - 09.01.2018 04:00","628","0"
"09.01.2018 04:00 - 09.01.2018 05:00","672","0"
"09.01.2018 05:00 - 09.01.2018 06:00","597","0"
"09.01.2018 06:00 - 09.01.2018 07:00","514","0"
"09.01.2018 07:00 - 09.01.2018 08:00","475","0"
"09.01.2018 08:00 - 09.01.2018 09:00","417","0"
"09.01.2018 09:00 - 09.01.2018 10:00","358","0"
"09.01.2018 10:00 - 09.01.2018 11:00","387","0"
"09.01.2018 11:00 - 09.01.2018 12:00","373","0"
"09.01.2018 12:00 - 09.01.2018 13:00","331","0"
"09.01.2018 13:00 - 09.01.2018 14:00","332","0"
"09.01.2018 14:00 - 09.01.2018 15:00","486","0"
"09.01.2018 15:00 - 09.01.2018 16:00","539","0"
"09.01.2018 16:00 - 09.01.2018 17:00","686","0"
"09.01.2018 17:00 - 09.01.2018 18:00","674","0"
"09.01.2018 18:00 - 09.01.2018 19:00","585","0"
"09.01.2018 19:00 - 09.01.2018 20:00","609","0"
"09.01.2018 20:00 - 09.01.2018 21:00","719","0"
"09.01.2018 21:00 - 09.01.2018 22:00","883","0"
"09.01.2018 22:00 - 09.01.2018 23:00","967","0"
"09.01.2018 23:00 - 10.01.2018 00:00","593","0"
"10.01.2018 00:00 - 10.01.2018 01:00","648","0"
"10.01.2018 01:00 - 10.01.2018 02:00","516","0"
"10.01.2018 02:00 - 10.01.2018 03:00","335","0"
"10.01.2018 03:00 - 10.01.2018 04:00","298","0"
"10.01.2018 04:00 - 10.01.2018 05:00","354","0"
"10.01.2018 05:00 - 10.01.2018 06:00","559","0"
"10.01.2018 06:00 - 10.01.2018 07:00","578","0"
"10.01.2018 07:00 - 10.01.2018 08:00","671","0"
"10.01.2018 08:00 - 10.01.2018 09:00","286","0"
"10.01.2018 09:00 - 10.01.2018 10:00","230","0"
"10.01.2018 10:00 - 10.01.2018 11:00","206","0"
"10.01.2018 11:00 - 10.01.2018 12:00","256","0"
"10.01.2018 12:00 - 10.01.2018 13:00","192","0"
"10.01.2018 13:00 - 10.01.2018 14:00","150","0"
"10.01.2018 14:00 - 10.01.2018 15:00","187","0"
"10.01.2018 15:00 - 10.01.2018 16:00","159","0"
"10.01.2018 16:00 - 10.01.2018 17:00","162","0"
"10.01.2018 17:00 - 10.01.2018 18:00","6","0"
"10.01.2018 18:00 - 10.01.2018 19:00","0","46"
"10.01.2018 19:00 - 10.01.2018 20:00","128","0"
"10.01.2018 20:00 - 10.01.2018 21:00","306","0"
"10.01.2018 21:00 - 10.01.2018 22:00","268","0"
"10.01.2018 22:00 - 10.01.2018 23:00","446","0"
"10.01.2018 23:00 - 11.01.2018 00:00","420","0"
"11.01.2018 00:00 - 11.01.2018 01:00","459","0"
"11.01.2018 01:00 - 11.01.2018 02:00","432","0"
"11.01.2018 02:00 - 11.01.2018 03:00","361","0"
"11.01.2018 03:00 - 11.01.2018 04:00","224","0"
"11.01.2018 04:00 - 11.01.2018 05:00","272","0"
"11.01.2018 05:00 - 11.01.2018 06:00","394","0"
"11.01.2018 06:00 - 11.01.2018 07:00","375","0"
"11.01.2018 07:00 - 11.01.2018 08:00","336","0"
"11.01.2018 08:00 - 11.01.2018 09:00","166","0"
"11.01.2018 09:00 - 11.01.2018 10:00","135","0"
"11.01.2018 10:00 - 11.01.2018 11:00","19","0"
"11.01.2018 11:00 - 11.01.2018 12:00","10","0"
"11.01.2018 12:00 - 11.01.2018 13:00","70","0"
"11.01.2018 13:00 - 11.01.2018 14:00","148","0"
"11.01.2018 14:00 - 11.01.2018 15:00","155","0"
"11.01.2018 15:00 - 11.01.2018 16:00","151","0"
"11.01.2018 16:00 - 11.01.2018 17:00","78","0"
"11.01.2018 17:00 - 11.01.2018 18:00","0","33"
"11.01.2018 18:00 - 11.01.2018 19:00","0","97"
"11.01.2018 19:00 - 11.01.2018 20:00","0","81"
"11.01.2018 20:00 - 11.01.2018 21:00","125","0"
"11.01.2018 21:00 - 11.01.2018 22:00","120","0"
"11.01.2018 22:00 - 11.01.2018 23:00","425","0"
"11.01.2018 23:00 - 12.01.2018 00:00","558","0"
"12.01.2018 00:00 - 12.01.2018 01:00","590","0"
"12.01.2018 01:00 - 12.01.2018 02:00","571","0"
"12.01.2018 02:00 - 12.01.2018 03:00","498","0"
"12.01.2018 03:00 - 12.01.2018 04:00","348","0"
"12.01.2018 04:00 - 12.01.2018 05:00","435","0"
"12.01.2018 05:00 - 12.01.2018 06:00","665","0"
"12.01.2018 06:00 - 12.01.2018 07:00","353","0"
"12.01.2018 07:00 - 12.01.2018 08:00","221","0"
"12.01.2018 08:00 - 12.01.2018 09:00","100","0"
"12.01.2018 09:00 - 12.01.2018 10:00","131","0"
"12.01.2018 10:00 - 12.01.2018 11:00","105","0"
"12.01.2018 11:00 - 12.01.2018 12:00","148","0"
"12.01.2018 12:00 - 12.01.2018 13:00","60","0"
"12.01.2018 13:00 - 12.01.2018 14:00","81","0"
"12.01.2018 14:00 - 12.01.2018 15:00","236","0"
"12.01.2018 15:00 - 12.01.2018 16:00","250","0"
"12.01.2018 16:00 - 12.01.2018 17:00","178","0"
"12.01.2018 17:00 - 12.01.2018 18:00","101","0"
"12.01.2018 18:00 - 12.01.2018 19:00","198","0"
"12.01.2018 19:00 - 12.01.2018 20:00","341","0"
"12.01.2018 20:00 - 12.01.2018 21:00","191","0"
"12.01.2018 21:00 - 12.01.2018 22:00","233","0"
"12.01.2018 22:00 - 12.01.2018 23:00","650","0"
"12.01.2018 23:00 - 13.01.2018 00:00","457","0"
"13.01.2018 00:00 - 13.01.2018 01:00","703","0"
"13.01.2018 01:00 - 13.01.2018 02:00","592","0"
"13.01.2018 02:00 - 13.01.2018 03:00","564","0"
"13.01.2018 03:00 - 13.01.2018 04:00","672","0"
"13.01.2018 04:00 - 13.01.2018 05:00","661","0"
"13.01.2018 05:00 - 13.01.2018 06:00","700","0"
"13.01.2018 06:00 - 13.01.2018 07:00","538","0"
"13.01.2018 07:00 - 13.01.2018 08:00","553","0"
"13.01.2018 08:00 - 13.01.2018 09:00","551","0"
"13.01.2018 09:00 - 13.01.2018 10:00","669","0"
"13.01.2018 10:00 - 13.01.2018 11:00","676","0"
"13.01.2018 11:00 - 13.01.2018 12:00","641","0"
"13.01.2018 12:00 - 13.01.2018 13:00","498","0"
"13.01.2018 13:00 - 13.01.2018 14:00","453","0"
"13.01.2018 14:00 - 13.01.2018 15:00","533","0"
"13.01.2018 15:00 - 13.01.2018 16:00","534","0"
"13.01.2018 16:00 - 13.01.2018 17:00","437","0"
"13.01.2018 17:00 - 13.01.2018 18:00","510","0"
"13.01.2018 18:00 - 13.01.2018 19:00","580","0"
"13.01.2018 19:00 - 13.01.2018 20:00","500","0"
"13.01.2018 20:00 - 13.01.2018 21:00","597","0"
"13.01.2018 21:00 - 13.01.2018 22:00","432","0"
"13.01.2018 22:00 - 13.01.2018 23:00","546","0"
"13.01.2018 23:00 - 14.01.2018 00:00","516","0"
"14.01.2018 00:00 - 14.01.2018 01:00","382","0"
"14.01.2018 01:00 - 14.01.2018 02:00","396","0"
"14.01.2018 02:00 - 14.01.2018 03:00","332","0"
"14.01.2018 03:00 - 14.01.2018 04:00","480","0"
"14.01.2018 04:00 - 14.01.2018 05:00","474","0"
"14.01.2018 05:00 - 14.01.2018 06:00","501","0"
"14.01.2018 06:00 - 14.01.2018 07:00","571","0"
"14.01.2018 07:00 - 14.01.2018 08:00","460","0"
"14.01.2018 08:00 - 14.01.2018 09:00","339","0"
"14.01.2018 09:00 - 14.01.2018 10:00","342","0"
"14.01.2018 10:00 - 14.01.2018 11:00","478","0"
"14.01.2018 11:00 - 14.01.2018 12:00","524","0"
"14.01.2018 12:00 - 14.01.2018 13:00","460","0"
"14.01.2018 13:00 - 14.01.2018 14:00","361","0"
"14.01.2018 14:00 - 14.01.2018 15:00","422","0"
"14.01.2018 15:00 - 14.01.2018 16:00","487","0"
"14.01.2018 16:00 - 14.01.2018 17:00","417","0"
"14.01.2018 17:00 - 14.01.2018 18:00","440","0"
"14.01.2018 18:00 - 14.01.2018 19:00","527","0"
"14.01.2018 19:00 - 14.01.2018 20:00","327","0"
"14.01.2018 20:00 - 14.01.2018 21:00","344","0"
"14.01.2018 21:00 - 14.01.2018 22:00","405","0"
"14.01.2018 22:00 - 14.01.2018 23:00","612","0"
"14.01.2018 23:00 - 15.01.2018 00:00","568","0"
"15.01.2018 00:00 - 15.01.2018 01:00","628","0"
"15.01.2018 01:00 - 15.01.2018 02:00","688","0"
"15.01.2018 02:00 - 15.01.2018 03:00","708","0"
"15.01.2018 03:00 - 15.01.2018 04:00","678","0"
"15.01.2018 04:00 - 15.01.2018 05:00","781","0"
"15.01.2018 05:00 - 15.01.2018 06:00","768","0"
"15.01.2018 06:00 - 15.01.2018 07:00","941","0"
"15.01.2018 07:00 - 15.01.2018 08:00","671","0"
"15.01.2018 08:00 - 15.01.2018 09:00","348","0"
"15.01.2018 09:00 - 15.01.2018 10:00","205","0"
"15.01.2018 10:00 - 15.01.2018 11:00","249","0"
"15.01.2018 11:00 - 15.01.2018 12:00","336","0"
"15.01.2018 12:00 - 15.01.2018 13:00","305","0"
"15.01.2018 13:00 - 15.01.2018 14:00","288","0"
"15.01.2018 14:00 - 15.01.2018 15:00","214","0"
"15.01.2018 15:00 - 15.01.2018 16:00","250","0"
"15.01.2018 16:00 - 15.01.2018 17:00","417","0"
"15.01.2018 17:00 - 15.01.2018 18:00","461","0"
"15.01.2018 18:00 - 15.01.2018 19:00","398","0"
"15.01.2018 19:00 - 15.01.2018 20:00","389","0"
"15.01.2018 20:00 - 15.01.2018 21:00","307","0"
"15.01.2018 21:00 - 15.01.2018 22:00","252","0"
"15.01.2018 22:00 - 15.01.2018 23:00","505","0"
"15.01.2018 23:00 - 16.01.2018 00:00","632","0"
"16.01.2018 00:00 - 16.01.2018 01:00","508","0"
"16.01.2018 01:00 - 16.01.2018 02:00","560","0"
"16.01.2018 02:00 - 16.01.2018 03:00","574","0"
"16.01.2018 03:00 - 16.01.2018 04:00","598","0"
"16.01.2018 04:00 - 16.01.2018 05:00","532","0"
"16.01.2018 05:00 - 16.01.2018 06:00","453","0"
"16.01.2018 06:00 - 16.01.2018 07:00","539","0"
"16.01.2018 07:00 - 16.01.2018 08:00","686","0"
"16.01.2018 08:00 - 16.01.2018 09:00","441","0"
"16.01.2018 09:00 - 16.01.2018 10:00","417","0"
"16.01.2018 10:00 - 16.01.2018 11:00","352","0"
"16.01.2018 11:00 - 16.01.2018 12:00","275","0"
"16.01.2018 12:00 - 16.01.2018 13:00","324","0"
"16.01.2018 13:00 - 16.01.2018 14:00","261","0"
"16.01.2018 14:00 - 16.01.2018 15:00","283","0"
"16.01.2018 15:00 - 16.01.2018 16:00","367","0"
"16.01.2018 16:00 - 16.01.2018 17:00","325","0"
"16.01.2018 17:00 - 16.01.2018 18:00","359","0"
"16.01.2018 18:00 - 16.01.2018 19:00","407","0"
"16.01.2018 19:00 - 16.01.2018 20:00","401","0"
"16.01.2018 20:00 - 16.01.2018 21:00","199","0"
"16.01.2018 21:00 - 16.01.2018 22:00","238","0"
"16.01.2018 22:00 - 16.01.2018 23:00","232","0"
"16.01.2018 23:00 - 17.01.2018 00:00","195","0"
"17.01.2018 00:00 - 17.01.2018 01:00","473","0"
"17.01.2018 01:00 - 17.01.2018 02:00","465","0"
"17.01.2018 02:00 - 17.01.2018 03:00","406","0"
"17.01.2018 03:00 - 17.01.2018 04:00","366","0"
"17.01.2018 04:00 - 17.01.2018 05:00","251","0"
"17.01.2018 05:00 - 17.01.2018 06:00","205","0"
"17.01.2018 06:00 - 17.01.2018 07:00","269","0"
"17.01.2018 07:00 - 17.01.2018 08:00","188","0"
"17.01.2018 08:00 - 17.01.2018 09:00","134","0"
"17.01.2018 09:00 - 17.01.2018 10:00","85","0"
"17.01.2018 10:00 - 17.01.2018 11:00","133","0"
"17.01.2018 11:00 - 17.01.2018 12:00","85","0"
"17.01.2018 12:00 - 17.01.2018 13:00","128","0"
"17.01.2018 13:00 - 17.01.2018 14:00","179","0"
"17.01.2018 14:00 - 17.01.2018 15:00","149","0"
"17.01.2018 15:00 - 17.01.2018 16:00","246","0"
"17.01.2018 16:00 - 17.01.2018 17:00","154","0"
"17.01.2018 17:00 - 17.01.2018 18:00","230","0"
"17.01.2018 18:00 - 17.01.2018 19:00","178","0"
"17.01.2018 19:00 - 17.01.2018 20:00","283","0"
"17.01.2018 20:00 - 17.01.2018 21:00","159","0"
"17.01.2018 21:00 - 17.01.2018 22:00","95","0"
"17.01.2018 22:00 - 17.01.2018 23:00","221","0"
"17.01.2018 23:00 - 18.01.2018 00:00","312","0"
"18.01.2018 00:00 - 18.01.2018 01:00","656","0"
"18.01.2018 01:00 - 18.01.2018 02:00","674","0"
"18.01.2018 02:00 - 18.01.2018 03:00","637","0"
"18.01.2018 03:00 - 18.01.2018 04:00","589","0"
"18.01.2018 04:00 - 18.01.2018 05:00","560","0"
"18.01.2018 05:00 - 18.01.2018 06:00","534","0"
"18.01.2018 06:00 - 18.01.2018 07:00","599","0"
"18.01.2018 07:00 - 18.01.2018 08:00","512","0"
"18.01.2018 08:00 - 18.01.2018 09:00","234","0"
"18.01.2018 09:00 - 18.01.2018 10:00","174","0"
"18.01.2018 10:00 - 18.01.2018 11:00","244","0"
"18.01.2018 11:00 - 18.01.2018 12:00","199","0"
"18.01.2018 12:00 - 18.01.2018 13:00","256","0"
"18.01.2018 13:00 - 18.01.2018 14:00","256","0"
"18.01.2018 14:00 - 18.01.2018 15:00","248","0"
"18.01.2018 15:00 - 18.01.2018 16:00","242","0"
"18.01.2018 16:00 - 18.01.2018 17:00","212","0"
"18.01.2018 17:00 - 18.01.2018 18:00","158","0"
"18.01.2018 18:00 - 18.01.2018 19:00","173","0"
"18.01.2018 19:00 - 18.01.2018 20:00","290","0"
"18.01.2018 20:00 - 18.01.2018 21:00","280","0"
"18.01.2018 21:00 - 18.01.2018 22:00","344","0"
"18.01.2018 22:00 - 18.01.2018 23:00","460","0"
"18.01.2018 23:00 - 19.01.2018 00:00","341","0"
"19.01.2018 00:00 - 19.01.2018 01:00","598","0"
"19.01.2018 01:00 - 19.01.2018 02:00","515","0"
"19.01.2018 02:00 - 19.01.2018 03:00","464","0"
"19.01.2018 03:00 - 19.01.2018 04:00","367","0"
"19.01.2018 04:00 - 19.01.2018 05:00","410","0"
"19.01.2018 05:00 - 19.01.2018 06:00","480","0"
"19.01.2018 06:00 - 19.01.2018 07:00","521","0"
"19.01.2018 07:00 - 19.01.2018 08:00","324","0"
"19.01.2018 08:00 - 19.01.2018 09:00","261","0"
"19.01.2018 09:00 - 19.01.2018 10:00","206","0"
"19.01.2018 10:00 - 19.01.2018 11:00","112","0"
"19.01.2018 11:00 - 19.01.2018 12:00","104","0"
"19.01.2018 12:00 - 19.01.2018 13:00","140","0"
"19.01.2018 13:00 - 19.01.2018 14:00","192","0"
"19.01.2018 14:00 - 19.01.2018 15:00","109","0"
"19.01.2018 15:00 - 19.01.2018 16:00","171","0"
"19.01.2018 16:00 - 19.01.2018 17:00","161","0"
"19.01.2018 17:00 - 19.01.2018 18:00","68","0"
"19.01.2018 18:00 - 19.01.2018 19:00","23","0"
"19.01.2018 19:00 - 19.01.2018 20:00","191","0"
"19.01.2018 20:00 - 19.01.2018 21:00","174","0"
"19.01.2018 21:00 - 19.01.2018 22:00","85","0"
"19.01.2018 22:00 - 19.01.2018 23:00","162","0"
"19.01.2018 23:00 - 20.01.2018 00:00","233","0"
"20.01.2018 00:00 - 20.01.2018 01:00","204","0"
"20.01.2018 01:00 - 20.01.2018 02:00","244","0"
"20.01.2018 02:00 - 20.01.2018 03:00","416","0"
"20.01.2018 03:00 - 20.01.2018 04:00","431","0"
"20.01.2018 04:00 - 20.01.2018 05:00","446","0"
"20.01.2018 05:00 - 20.01.2018 06:00","459","0"
