"Time (CET)","Lithuania (LT) > Poland (PL) [MW]","Poland (PL) > Lithuania (LT) [MW]"
"04.01.2018 18:00 - 04.01.2018 19:00","486","0"
"04.01.2018 19:00 - 04.01.2018 20:00","486","0"
"04.01.2018 20:00 - 04.01.2018 21:00","485","0"
"04.01.2018 21:00 - 04.01.2018 22:00","486","0"
"04.01.2018 22:00 - 04.01.2018 23:00","486","0"
"04.01.2018 23:00 - 05.01.2018 00:00","438","0"
"05.01.2018 00:00 - 05.01.2018 01:00","6","0"
"05.01.2018 01:00 - 05.01.2018 02:00","0","0"
"05.01.2018 02:00 - 05.01.2018 03:00","0","0"
"05.01.2018 03:00 - 05.01.2018 04:00","0","72"
"05.01.2018 04:00 - 05.01.2018 05:00","0","0"
"05.01.2018 05:00 - 05.01.2018 06:00","0","66"
"05.01.2018 06:00 - 05.01.2018 07:00","0","4"
"05.01.2018 07:00 - 05.01.2018 08:00","2","0"
"05.01.2018 08:00 - 05.01.2018 09:00","318","0"
"05.01.2018 09:00 - 05.01.2018 10:00","485","0"
"05.01.2018 10:00 - 05.01.2018 11:00","486","0"
"05.01.2018 11:00 - 05.01.2018 12:00","487","0"
"05.01.2018 12:00 - 05.01.2018 13:00","487","0"
"05.01.2018 13:00 - 05.01.2018 14:00","488","0"
"05.01.2018 14:00 - 05.01.2018 15:00","488","0"
"05.01.2018 15:00 - 05.01.2018 16:00","487","0"
"05.01.2018 16:00 - 05.01.2018 17:00","487","0"
"05.01.2018 17:00 - 05.01.2018 18:00","487","0"
"05.01.2018 18:00 - 05.01.2018 19:00","487","0"
"05.01.2018 19:00 - 05.01.2018 20:00","487","0"
"05.01.2018 20:00 - 05.01.2018 21:00","487","0"
"05.01.2018 21:00 - 05.01.2018 22:00","487","0"
"05.01.2018 22:00 - 05.01.2018 23:00","487","0"
"05.01.2018 23:00 - 06.01.2018 00:00","203","0"
"06.01.2018 00:00 - 06.01.2018 01:00","0","0"
"06.01.2018 01:00 - 06.01.2018 02:00","0","0"
"06.01.2018 02:00 - 06.01.2018 03:00","0","0"
"06.01.2018 03:00 - 06.01.2018 04:00","0","0"
"06.01.2018 04:00 - 06.01.2018 05:00","0","0"
"06.01.2018 05:00 - 06.01.2018 06:00","0","0"
"06.01.2018 06:00 - 06.01.2018 07:00","0","0"
"06.01.2018 07:00 - 06.01.2018 08:00","0","0"
"06.01.2018 08:00 - 06.01.2018 09:00","0","0"
"06.01.2018 09:00 - 06.01.2018 10:00","2","0"
"06.01.2018 10:00 - 06.01.2018 11:00","173","0"
"06.01.2018 11:00 - 06.01.2018 12:00","482","0"
"06.01.2018 12:00 - 06.01.2018 13:00","486","0"
"06.01.2018 13:00 - 06.01.2018 14:00","486","0"
"06.01.2018 14:00 - 06.01.2018 15:00","486","0"
"06.01.2018 15:00 - 06.01.2018 16:00","486","0"
"06.01.2018 16:00 - 06.01.2018 17:00","455","0"
"06.01.2018 17:00 - 06.01.2018 18:00","442","0"
"06.01.2018 18:00 - 06.01.2018 19:00","486","0"
"06.01.2018 19:00 - 06.01.2018 20:00","486","0"
"06.01.2018 20:00 - 06.01.2018 21:00","486","0"
"06.01.2018 21:00 - 06.01.2018 22:00","485","0"
"06.01.2018 22:00 - 06.01.2018 23:00","319","0"
"06.01.2018 23:00 - 07.01.2018 00:00","432","0"
"07.01.2018 00:00 - 07.01.2018 01:00","416","0"
"07.01.2018 01:00 - 07.01.2018 02:00","139","0"
"07.01.2018 02:00 - 07.01.2018 03:00","1","0"
"07.01.2018 03:00 - 07.01.2018 04:00","0","0"
"07.01.2018 04:00 - 07.01.2018 05:00","0","0"
"07.01.2018 05:00 - 07.01.2018 06:00","0","0"
"07.01.2018 06:00 - 07.01.2018 07:00","0","0"
"07.01.2018 07:00 - 07.01.2018 08:00","0","0"
"07.01.2018 08:00 - 07.01.2018 09:00","1","0"
"07.01.2018 09:00 - 07.01.2018 10:00","153","0"
"07.01.2018 10:00 - 07.01.2018 11:00","483","0"
"07.01.2018 11:00 - 07.01.2018 12:00","487","0"
"07.01.2018 12:00 - 07.01.2018 13:00","487","0"
"07.01.2018 13:00 - 07.01.2018 14:00","487","0"
"07.01.2018 14:00 - 07.01.2018 15:00","487","0"
"07.01.2018 15:00 - 07.01.2018 16:00","487","0"
"07.01.2018 16:00 - 07.01.2018 17:00","487","0"
"07.01.2018 17:00 - 07.01.2018 18:00","487","0"
"07.01.2018 18:00 - 07.01.2018 19:00","487","0"
"07.01.2018 19:00 - 07.01.2018 20:00","487","0"
"07.01.2018 20:00 - 07.01.2018 21:00","487","0"
"07.01.2018 21:00 - 07.01.2018 22:00","487","0"
"07.01.2018 22:00 - 07.01.2018 23:00","487","0"
"07.01.2018 23:00 - 08.01.2018 00:00","485","0"
"08.01.2018 00:00 - 08.01.2018 01:00","72","0"
"08.01.2018 01:00 - 08.01.2018 02:00","210","0"
"08.01.2018 02:00 - 08.01.2018 03:00","119","0"
"08.01.2018 03:00 - 08.01.2018 04:00","261","0"
"08.01.2018 04:00 - 08.01.2018 05:00","99","0"
"08.01.2018 05:00 - 08.01.2018 06:00","351","0"
"08.01.2018 06:00 - 08.01.2018 07:00","377","0"
"08.01.2018 07:00 - 08.01.2018 08:00","486","0"
"08.01.2018 08:00 - 08.01.2018 09:00","487","0"
"08.01.2018 09:00 - 08.01.2018 10:00","487","0"
"08.01.2018 10:00 - 08.01.2018 11:00","487","0"
"08.01.2018 11:00 - 08.01.2018 12:00","487","0"
"08.01.2018 12:00 - 08.01.2018 13:00","487","0"
"08.01.2018 13:00 - 08.01.2018 14:00","487","0"
"08.01.2018 14:00 - 08.01.2018 15:00","487","0"
"08.01.2018 15:00 - 08.01.2018 16:00","487","0"
"08.01.2018 16:00 - 08.01.2018 17:00","487","0"
"08.01.2018 17:00 - 08.01.2018 18:00","487","0"
"08.01.2018 18:00 - 08.01.2018 19:00","487","0"
"08.01.2018 19:00 - 08.01.2018 20:00","487","0"
"08.01.2018 20:00 - 08.01.2018 21:00","487","0"
"08.01.2018 21:00 - 08.01.2018 22:00","487","0"
"08.01.2018 22:00 - 08.01.2018 23:00","487","0"
"08.01.2018 23:00 - 09.01.2018 00:00","399","0"
"09.01.2018 00:00 - 09.01.2018 01:00","378","0"
"09.01.2018 01:00 - 09.01.2018 02:00","7","0"
"09.01.2018 02:00 - 09.01.2018 03:00","0","0"
"09.01.2018 03:00 - 09.01.2018 04:00","0","0"
"09.01.2018 04:00 - 09.01.2018 05:00","0","0"
"09.01.2018 05:00 - 09.01.2018 06:00","0","4"
"09.01.2018 06:00 - 09.01.2018 07:00","0","157"
"09.01.2018 07:00 - 09.01.2018 08:00","0","83"
"09.01.2018 08:00 - 09.01.2018 09:00","145","0"
"09.01.2018 09:00 - 09.01.2018 10:00","163","0"
"09.01.2018 10:00 - 09.01.2018 11:00","180","0"
"09.01.2018 11:00 - 09.01.2018 12:00","264","0"
"09.01.2018 12:00 - 09.01.2018 13:00","346","0"
"09.01.2018 13:00 - 09.01.2018 14:00","451","0"
"09.01.2018 14:00 - 09.01.2018 15:00","166","0"
"09.01.2018 15:00 - 09.01.2018 16:00","159","0"
"09.01.2018 16:00 - 09.01.2018 17:00","145","0"
"09.01.2018 17:00 - 09.01.2018 18:00","253","0"
"09.01.2018 18:00 - 09.01.2018 19:00","238","0"
"09.01.2018 19:00 - 09.01.2018 20:00","483","0"
"09.01.2018 20:00 - 09.01.2018 21:00","479","0"
"09.01.2018 21:00 - 09.01.2018 22:00","193","0"
"09.01.2018 22:00 - 09.01.2018 23:00","61","0"
"09.01.2018 23:00 - 10.01.2018 00:00","0","0"
"10.01.2018 00:00 - 10.01.2018 01:00","0","94"
"10.01.2018 01:00 - 10.01.2018 02:00","0","130"
"10.01.2018 02:00 - 10.01.2018 03:00","0","63"
"10.01.2018 03:00 - 10.01.2018 04:00","0","1"
"10.01.2018 04:00 - 10.01.2018 05:00","0","115"
"10.01.2018 05:00 - 10.01.2018 06:00","0","59"
"10.01.2018 06:00 - 10.01.2018 07:00","0","284"
"10.01.2018 07:00 - 10.01.2018 08:00","61","0"
"10.01.2018 08:00 - 10.01.2018 09:00","77","0"
"10.01.2018 09:00 - 10.01.2018 10:00","354","0"
"10.01.2018 10:00 - 10.01.2018 11:00","390","0"
"10.01.2018 11:00 - 10.01.2018 12:00","482","0"
"10.01.2018 12:00 - 10.01.2018 13:00","485","0"
"10.01.2018 13:00 - 10.01.2018 14:00","487","0"
"10.01.2018 14:00 - 10.01.2018 15:00","487","0"
"10.01.2018 15:00 - 10.01.2018 16:00","486","0"
"10.01.2018 16:00 - 10.01.2018 17:00","487","0"
"10.01.2018 17:00 - 10.01.2018 18:00","487","0"
"10.01.2018 18:00 - 10.01.2018 19:00","487","0"
"10.01.2018 19:00 - 10.01.2018 20:00","487","0"
"10.01.2018 20:00 - 10.01.2018 21:00","486","0"
"10.01.2018 21:00 - 10.01.2018 22:00","486","0"
"10.01.2018 22:00 - 10.01.2018 23:00","486","0"
"10.01.2018 23:00 - 11.01.2018 00:00","486","0"
"11.01.2018 00:00 - 11.01.2018 01:00","385","0"
"11.01.2018 01:00 - 11.01.2018 02:00","380","0"
"11.01.2018 02:00 - 11.01.2018 03:00","242","0"
"11.01.2018 03:00 - 11.01.2018 04:00","138","0"
"11.01.2018 04:00 - 11.01.2018 05:00","0","0"
"11.01.2018 05:00 - 11.01.2018 06:00","0","0"
"11.01.2018 06:00 - 11.01.2018 07:00","0","0"
"11.01.2018 07:00 - 11.01.2018 08:00","0","0"
"11.01.2018 08:00 - 11.01.2018 09:00","0","0"
"11.01.2018 09:00 - 11.01.2018 10:00","2","0"
"11.01.2018 10:00 - 11.01.2018 11:00","328","0"
"11.01.2018 11:00 - 11.01.2018 12:00","482","0"
"11.01.2018 12:00 - 11.01.2018 13:00","485","0"
"11.01.2018 13:00 - 11.01.2018 14:00","486","0"
"11.01.2018 14:00 - 11.01.2018 15:00","487","0"
"11.01.2018 15:00 - 11.01.2018 16:00","393","0"
"11.01.2018 16:00 - 11.01.2018 17:00","486","0"
"11.01.2018 17:00 - 11.01.2018 18:00","486","0"
"11.01.2018 18:00 - 11.01.2018 19:00","487","0"
"11.01.2018 19:00 - 11.01.2018 20:00","487","0"
"11.01.2018 20:00 - 11.01.2018 21:00","486","0"
"11.01.2018 21:00 - 11.01.2018 22:00","485","0"
"11.01.2018 22:00 - 11.01.2018 23:00","485","0"
"11.01.2018 23:00 - 12.01.2018 00:00","482","0"
"12.01.2018 00:00 - 12.01.2018 01:00","183","0"
"12.01.2018 01:00 - 12.01.2018 02:00","375","0"
"12.01.2018 02:00 - 12.01.2018 03:00","335","0"
"12.01.2018 03:00 - 12.01.2018 04:00","321","0"
"12.01.2018 04:00 - 12.01.2018 05:00","52","0"
"12.01.2018 05:00 - 12.01.2018 06:00","170","0"
"12.01.2018 06:00 - 12.01.2018 07:00","128","0"
"12.01.2018 07:00 - 12.01.2018 08:00","483","0"
"12.01.2018 08:00 - 12.01.2018 09:00","486","0"
"12.01.2018 09:00 - 12.01.2018 10:00","487","0"
"12.01.2018 10:00 - 12.01.2018 11:00","486","0"
"12.01.2018 11:00 - 12.01.2018 12:00","487","0"
"12.01.2018 12:00 - 12.01.2018 13:00","487","0"
"12.01.2018 13:00 - 12.01.2018 14:00","487","0"
"12.01.2018 14:00 - 12.01.2018 15:00","487","0"
"12.01.2018 15:00 - 12.01.2018 16:00","487","0"
"12.01.2018 16:00 - 12.01.2018 17:00","486","0"
"12.01.2018 17:00 - 12.01.2018 18:00","487","0"
"12.01.2018 18:00 - 12.01.2018 19:00","487","0"
"12.01.2018 19:00 - 12.01.2018 20:00","487","0"
"12.01.2018 20:00 - 12.01.2018 21:00","486","0"
"12.01.2018 21:00 - 12.01.2018 22:00","485","0"
"12.01.2018 22:00 - 12.01.2018 23:00","335","0"
"12.01.2018 23:00 - 13.01.2018 00:00","422","0"
"13.01.2018 00:00 - 13.01.2018 01:00","6","0"
"13.01.2018 01:00 - 13.01.2018 02:00","1","0"
"13.01.2018 02:00 - 13.01.2018 03:00","1","0"
"13.01.2018 03:00 - 13.01.2018 04:00","1","0"
"13.01.2018 04:00 - 13.01.2018 05:00","1","0"
"13.01.2018 05:00 - 13.01.2018 06:00","0","0"
"13.01.2018 06:00 - 13.01.2018 07:00","0","0"
"13.01.2018 07:00 - 13.01.2018 08:00","3","0"
"13.01.2018 08:00 - 13.01.2018 09:00","472","0"
"13.01.2018 09:00 - 13.01.2018 10:00","487","0"
"13.01.2018 10:00 - 13.01.2018 11:00","485","0"
"13.01.2018 11:00 - 13.01.2018 12:00","485","0"
"13.01.2018 12:00 - 13.01.2018 13:00","485","0"
"13.01.2018 13:00 - 13.01.2018 14:00","485","0"
"13.01.2018 14:00 - 13.01.2018 15:00","440","0"
"13.01.2018 15:00 - 13.01.2018 16:00","208","0"
"13.01.2018 16:00 - 13.01.2018 17:00","0","103"
"13.01.2018 17:00 - 13.01.2018 18:00","464","0"
"13.01.2018 18:00 - 13.01.2018 19:00","486","0"
"13.01.2018 19:00 - 13.01.2018 20:00","487","0"
"13.01.2018 20:00 - 13.01.2018 21:00","486","0"
"13.01.2018 21:00 - 13.01.2018 22:00","487","0"
"13.01.2018 22:00 - 13.01.2018 23:00","111","0"
"13.01.2018 23:00 - 14.01.2018 00:00","1","0"
"14.01.2018 00:00 - 14.01.2018 01:00","0","0"
"14.01.2018 01:00 - 14.01.2018 02:00","0","60"
"14.01.2018 02:00 - 14.01.2018 03:00","0","78"
"14.01.2018 03:00 - 14.01.2018 04:00","0","159"
"14.01.2018 04:00 - 14.01.2018 05:00","0","131"
"14.01.2018 05:00 - 14.01.2018 06:00","0","51"
"14.01.2018 06:00 - 14.01.2018 07:00","0","51"
"14.01.2018 07:00 - 14.01.2018 08:00","0","0"
"14.01.2018 08:00 - 14.01.2018 09:00","173","0"
"14.01.2018 09:00 - 14.01.2018 10:00","487","0"
"14.01.2018 10:00 - 14.01.2018 11:00","487","0"
"14.01.2018 11:00 - 14.01.2018 12:00","487","0"
"14.01.2018 12:00 - 14.01.2018 13:00","487","0"
"14.01.2018 13:00 - 14.01.2018 14:00","487","0"
"14.01.2018 14:00 - 14.01.2018 15:00","487","0"
"14.01.2018 15:00 - 14.01.2018 16:00","487","0"
"14.01.2018 16:00 - 14.01.2018 17:00","487","0"
"14.01.2018 17:00 - 14.01.2018 18:00","476","0"
"14.01.2018 18:00 - 14.01.2018 19:00","487","0"
"14.01.2018 19:00 - 14.01.2018 20:00","486","0"
"14.01.2018 20:00 - 14.01.2018 21:00","460","0"
"14.01.2018 21:00 - 14.01.2018 22:00","486","0"
"14.01.2018 22:00 - 14.01.2018 23:00","477","0"
"14.01.2018 23:00 - 15.01.2018 00:00","8","0"
"15.01.2018 00:00 - 15.01.2018 01:00","0","49"
"15.01.2018 01:00 - 15.01.2018 02:00","0","252"
"15.01.2018 02:00 - 15.01.2018 03:00","0","97"
"15.01.2018 03:00 - 15.01.2018 04:00","0","1"
"15.01.2018 04:00 - 15.01.2018 05:00","0","1"
"15.01.2018 05:00 - 15.01.2018 06:00","0","66"
"15.01.2018 06:00 - 15.01.2018 07:00","0","225"
"15.01.2018 07:00 - 15.01.2018 08:00","344","0"
"15.01.2018 08:00 - 15.01.2018 09:00","486","0"
"15.01.2018 09:00 - 15.01.2018 10:00","486","0"
"15.01.2018 10:00 - 15.01.2018 11:00","473","0"
"15.01.2018 11:00 - 15.01.2018 12:00","5","0"
"15.01.2018 12:00 - 15.01.2018 13:00","1","0"
"15.01.2018 13:00 - 15.01.2018 14:00","1","0"
"15.01.2018 14:00 - 15.01.2018 15:00","1","0"
"15.01.2018 15:00 - 15.01.2018 16:00","1","0"
"15.01.2018 16:00 - 15.01.2018 17:00","1","0"
"15.01.2018 17:00 - 15.01.2018 18:00","1","0"
"15.01.2018 18:00 - 15.01.2018 19:00","1","0"
"15.01.2018 19:00 - 15.01.2018 20:00","1","0"
"15.01.2018 20:00 - 15.01.2018 21:00","1","0"
"15.01.2018 21:00 - 15.01.2018 22:00","1","0"
"15.01.2018 22:00 - 15.01.2018 23:00","1","0"
"15.01.2018 23:00 - 16.01.2018 00:00","0","112"
"16.01.2018 00:00 - 16.01.2018 01:00","0","297"
"16.01.2018 01:00 - 16.01.2018 02:00","0","261"
"16.01.2018 02:00 - 16.01.2018 03:00","0","301"
"16.01.2018 03:00 - 16.01.2018 04:00","0","300"
"16.01.2018 04:00 - 16.01.2018 05:00","0","300"
"16.01.2018 05:00 - 16.01.2018 06:00","0","300"
"16.01.2018 06:00 - 16.01.2018 07:00","0","15"
"16.01.2018 07:00 - 16.01.2018 08:00","2","0"
"16.01.2018 08:00 - 16.01.2018 09:00","1","0"
"16.01.2018 09:00 - 16.01.2018 10:00","1","0"
"16.01.2018 10:00 - 16.01.2018 11:00","1","0"
"16.01.2018 11:00 - 16.01.2018 12:00","1","0"
"16.01.2018 12:00 - 16.01.2018 13:00","1","0"
"16.01.2018 13:00 - 16.01.2018 14:00","1","0"
"16.01.2018 14:00 - 16.01.2018 15:00","1","0"
"16.01.2018 15:00 - 16.01.2018 16:00","1","0"
"16.01.2018 16:00 - 16.01.2018 17:00","2","0"
"16.01.2018 17:00 - 16.01.2018 18:00","136","0"
"16.01.2018 18:00 - 16.01.2018 19:00","138","0"
"16.01.2018 19:00 - 16.01.2018 20:00","286","0"
"16.01.2018 20:00 - 16.01.2018 21:00","336","0"
"16.01.2018 21:00 - 16.01.2018 22:00","289","0"
"16.01.2018 22:00 - 16.01.2018 23:00","485","0"
"16.01.2018 23:00 - 17.01.2018 00:00","263","0"
"17.01.2018 00:00 - 17.01.2018 01:00","0","155"
"17.01.2018 01:00 - 17.01.2018 02:00","0","300"
"17.01.2018 02:00 - 17.01.2018 03:00","0","299"
"17.01.2018 03:00 - 17.01.2018 04:00","0","300"
"17.01.2018 04:00 - 17.01.2018 05:00","0","300"
"17.01.2018 05:00 - 17.01.2018 06:00","0","300"
"17.01.2018 06:00 - 17.01.2018 07:00","0","299"
"17.01.2018 07:00 - 17.01.2018 08:00","0","299"
"17.01.2018 08:00 - 17.01.2018 09:00","0","299"
"17.01.2018 09:00 - 17.01.2018 10:00","0","299"
"17.01.2018 10:00 - 17.01.2018 11:00","0","299"
"17.01.2018 11:00 - 17.01.2018 12:00","0","299"
"17.01.2018 12:00 - 17.01.2018 13:00","0","265"
"17.01.2018 13:00 - 17.01.2018 14:00","0","245"
"17.01.2018 14:00 - 17.01.2018 15:00","0","300"
"17.01.2018 15:00 - 17.01.2018 16:00","0","300"
"17.01.2018 16:00 - 17.01.2018 17:00","0","233"
"17.01.2018 17:00 - 17.01.2018 18:00","0","132"
"17.01.2018 18:00 - 17.01.2018 19:00","0","184"
"17.01.2018 19:00 - 17.01.2018 20:00","122","0"
"17.01.2018 20:00 - 17.01.2018 21:00","171","0"
"17.01.2018 21:00 - 17.01.2018 22:00","191","0"
"17.01.2018 22:00 - 17.01.2018 23:00","289","0"
"17.01.2018 23:00 - 18.01.2018 00:00","0","241"
"18.01.2018 00:00 - 18.01.2018 01:00","0","3"
"18.01.2018 01:00 - 18.01.2018 02:00","0","130"
"18.01.2018 02:00 - 18.01.2018 03:00","0","66"
"18.01.2018 03:00 - 18.01.2018 04:00","0","243"
"18.01.2018 04:00 - 18.01.2018 05:00","0","183"
"18.01.2018 05:00 - 18.01.2018 06:00","0","484"
"18.01.2018 06:00 - 18.01.2018 07:00","0","492"
"18.01.2018 07:00 - 18.01.2018 08:00","0","491"
"18.01.2018 08:00 - 18.01.2018 09:00","0","336"
"18.01.2018 09:00 - 18.01.2018 10:00","0","240"
"18.01.2018 10:00 - 18.01.2018 11:00","0","311"
"18.01.2018 11:00 - 18.01.2018 12:00","0","180"
"18.01.2018 12:00 - 18.01.2018 13:00","0","197"
"18.01.2018 13:00 - 18.01.2018 14:00","0","256"
"18.01.2018 14:00 - 18.01.2018 15:00","0","393"
"18.01.2018 15:00 - 18.01.2018 16:00","0","427"
"18.01.2018 16:00 - 18.01.2018 17:00","0","367"
"18.01.2018 17:00 - 18.01.2018 18:00","0","390"
"18.01.2018 18:00 - 18.01.2018 19:00","0","490"
"18.01.2018 19:00 - 18.01.2018 20:00","0","307"
"18.01.2018 20:00 - 18.01.2018 21:00","0","189"
"18.01.2018 21:00 - 18.01.2018 22:00","178","0"
"18.01.2018 22:00 - 18.01.2018 23:00","274","0"
"18.01.2018 23:00 - 19.01.2018 00:00","0","7"
"19.01.2018 00:00 - 19.01.2018 01:00","0","483"
"19.01.2018 01:00 - 19.01.2018 02:00","0","491"
"19.01.2018 02:00 - 19.01.2018 03:00","0","491"
"19.01.2018 03:00 - 19.01.2018 04:00","0","491"
"19.01.2018 04:00 - 19.01.2018 05:00","0","491"
"19.01.2018 05:00 - 19.01.2018 06:00","0","491"
"19.01.2018 06:00 - 19.01.2018 07:00","0","491"
"19.01.2018 07:00 - 19.01.2018 08:00","0","491"
"19.01.2018 08:00 - 19.01.2018 09:00","0","492"
"19.01.2018 09:00 - 19.01.2018 10:00","0","491"
"19.01.2018 10:00 - 19.01.2018 11:00","0","491"
"19.01.2018 11:00 - 19.01.2018 12:00","0","452"
"19.01.2018 12:00 - 19.01.2018 13:00","0","295"
"19.01.2018 13:00 - 19.01.2018 14:00","0","296"
"19.01.2018 14:00 - 19.01.2018 15:00","0","420"
"19.01.2018 15:00 - 19.01.2018 16:00","0","489"
"19.01.2018 16:00 - 19.01.2018 17:00","0","398"
"19.01.2018 17:00 - 19.01.2018 18:00","0","340"
"19.01.2018 18:00 - 19.01.2018 19:00","0","374"
"19.01.2018 19:00 - 19.01.2018 20:00","195","0"
"19.01.2018 20:00 - 19.01.2018 21:00","292","0"
"19.01.2018 21:00 - 19.01.2018 22:00","259","0"
"19.01.2018 22:00 - 19.01.2018 23:00","150","0"
"19.01.2018 23:00 - 20.01.2018 00:00","321","0"
"20.01.2018 00:00 - 20.01.2018 01:00","0","163"
"20.01.2018 01:00 - 20.01.2018 02:00","0","58"
"20.01.2018 02:00 - 20.01.2018 03:00","0","324"
"20.01.2018 03:00 - 20.01.2018 04:00","0","312"
"20.01.2018 04:00 - 20.01.2018 05:00","0","270"
"20.01.2018 05:00 - 20.01.2018 06:00","0","131"
"20.01.2018 06:00 - 20.01.2018 07:00","0","93"
