"Time (CET)","Czech Republic (CZ) > Slovakia (SK) [MW]","Slovakia (SK) > Czech Republic (CZ) [MW]"
"06.01.2018 01:00 - 06.01.2018 02:00","122","0"
"06.01.2018 02:00 - 06.01.2018 03:00","99","0"
"06.01.2018 03:00 - 06.01.2018 04:00","184","0"
"06.01.2018 04:00 - 06.01.2018 05:00","275","0"
"06.01.2018 05:00 - 06.01.2018 06:00","509","0"
"06.01.2018 06:00 - 06.01.2018 07:00","640","0"
"06.01.2018 07:00 - 06.01.2018 08:00","644","0"
"06.01.2018 08:00 - 06.01.2018 09:00","687","0"
"06.01.2018 09:00 - 06.01.2018 10:00","687","0"
"06.01.2018 10:00 - 06.01.2018 11:00","749","0"
"06.01.2018 11:00 - 06.01.2018 12:00","776","0"
"06.01.2018 12:00 - 06.01.2018 13:00","750","0"
"06.01.2018 13:00 - 06.01.2018 14:00","563","0"
"06.01.2018 14:00 - 06.01.2018 15:00","372","0"
"06.01.2018 15:00 - 06.01.2018 16:00","317","0"
"06.01.2018 16:00 - 06.01.2018 17:00","549","0"
"06.01.2018 17:00 - 06.01.2018 18:00","525","0"
"06.01.2018 18:00 - 06.01.2018 19:00","236","0"
"06.01.2018 19:00 - 06.01.2018 20:00","514","0"
"06.01.2018 20:00 - 06.01.2018 21:00","554","0"
"06.01.2018 21:00 - 06.01.2018 22:00","443","0"
"06.01.2018 22:00 - 06.01.2018 23:00","494","0"
"06.01.2018 23:00 - 07.01.2018 00:00","383","0"
"07.01.2018 00:00 - 07.01.2018 01:00","566","0"
"07.01.2018 01:00 - 07.01.2018 02:00","561","0"
"07.01.2018 02:00 - 07.01.2018 03:00","332","0"
"07.01.2018 03:00 - 07.01.2018 04:00","201","0"
"07.01.2018 04:00 - 07.01.2018 05:00","178","0"
"07.01.2018 05:00 - 07.01.2018 06:00","369","0"
"07.01.2018 06:00 - 07.01.2018 07:00","420","0"
"07.01.2018 07:00 - 07.01.2018 08:00","520","0"
"07.01.2018 08:00 - 07.01.2018 09:00","862","0"
"07.01.2018 09:00 - 07.01.2018 10:00","1029","0"
"07.01.2018 10:00 - 07.01.2018 11:00","1040","0"
"07.01.2018 11:00 - 07.01.2018 12:00","1151","0"
"07.01.2018 12:00 - 07.01.2018 13:00","1145","0"
"07.01.2018 13:00 - 07.01.2018 14:00","912","0"
"07.01.2018 14:00 - 07.01.2018 15:00","762","0"
"07.01.2018 15:00 - 07.01.2018 16:00","800","0"
"07.01.2018 16:00 - 07.01.2018 17:00","1069","0"
"07.01.2018 17:00 - 07.01.2018 18:00","1259","0"
"07.01.2018 18:00 - 07.01.2018 19:00","1280","0"
"07.01.2018 19:00 - 07.01.2018 20:00","1268","0"
"07.01.2018 20:00 - 07.01.2018 21:00","1235","0"
"07.01.2018 21:00 - 07.01.2018 22:00","1059","0"
"07.01.2018 22:00 - 07.01.2018 23:00","936","0"
"07.01.2018 23:00 - 08.01.2018 00:00","721","0"
"08.01.2018 00:00 - 08.01.2018 01:00","560","0"
"08.01.2018 01:00 - 08.01.2018 02:00","422","0"
"08.01.2018 02:00 - 08.01.2018 03:00","460","0"
"08.01.2018 03:00 - 08.01.2018 04:00","490","0"
"08.01.2018 04:00 - 08.01.2018 05:00","598","0"
"08.01.2018 05:00 - 08.01.2018 06:00","782","0"
"08.01.2018 06:00 - 08.01.2018 07:00","1126","0"
"08.01.2018 07:00 - 08.01.2018 08:00","1282","0"
"08.01.2018 08:00 - 08.01.2018 09:00","999","0"
"08.01.2018 09:00 - 08.01.2018 10:00","985","0"
"08.01.2018 10:00 - 08.01.2018 11:00","1031","0"
"08.01.2018 11:00 - 08.01.2018 12:00","1054","0"
"08.01.2018 12:00 - 08.01.2018 13:00","1122","0"
"08.01.2018 13:00 - 08.01.2018 14:00","1113","0"
"08.01.2018 14:00 - 08.01.2018 15:00","1066","0"
"08.01.2018 15:00 - 08.01.2018 16:00","1162","0"
"08.01.2018 16:00 - 08.01.2018 17:00","1211","0"
"08.01.2018 17:00 - 08.01.2018 18:00","1198","0"
"08.01.2018 18:00 - 08.01.2018 19:00","1116","0"
"08.01.2018 19:00 - 08.01.2018 20:00","1180","0"
"08.01.2018 20:00 - 08.01.2018 21:00","1302","0"
"08.01.2018 21:00 - 08.01.2018 22:00","1216","0"
"08.01.2018 22:00 - 08.01.2018 23:00","1120","0"
"08.01.2018 23:00 - 09.01.2018 00:00","770","0"
"09.01.2018 00:00 - 09.01.2018 01:00","872","0"
"09.01.2018 01:00 - 09.01.2018 02:00","598","0"
"09.01.2018 02:00 - 09.01.2018 03:00","445","0"
"09.01.2018 03:00 - 09.01.2018 04:00","376","0"
"09.01.2018 04:00 - 09.01.2018 05:00","446","0"
"09.01.2018 05:00 - 09.01.2018 06:00","716","0"
"09.01.2018 06:00 - 09.01.2018 07:00","889","0"
"09.01.2018 07:00 - 09.01.2018 08:00","860","0"
"09.01.2018 08:00 - 09.01.2018 09:00","729","0"
"09.01.2018 09:00 - 09.01.2018 10:00","783","0"
"09.01.2018 10:00 - 09.01.2018 11:00","901","0"
"09.01.2018 11:00 - 09.01.2018 12:00","924","0"
"09.01.2018 12:00 - 09.01.2018 13:00","1067","0"
"09.01.2018 13:00 - 09.01.2018 14:00","787","0"
"09.01.2018 14:00 - 09.01.2018 15:00","741","0"
"09.01.2018 15:00 - 09.01.2018 16:00","687","0"
"09.01.2018 16:00 - 09.01.2018 17:00","669","0"
"09.01.2018 17:00 - 09.01.2018 18:00","629","0"
"09.01.2018 18:00 - 09.01.2018 19:00","453","0"
"09.01.2018 19:00 - 09.01.2018 20:00","456","0"
"09.01.2018 20:00 - 09.01.2018 21:00","585","0"
"09.01.2018 21:00 - 09.01.2018 22:00","480","0"
"09.01.2018 22:00 - 09.01.2018 23:00","476","0"
"09.01.2018 23:00 - 10.01.2018 00:00","399","0"
"10.01.2018 00:00 - 10.01.2018 01:00","295","0"
"10.01.2018 01:00 - 10.01.2018 02:00","36","0"
"10.01.2018 02:00 - 10.01.2018 03:00","0","112"
"10.01.2018 03:00 - 10.01.2018 04:00","0","123"
"10.01.2018 04:00 - 10.01.2018 05:00","0","21"
"10.01.2018 05:00 - 10.01.2018 06:00","264","0"
"10.01.2018 06:00 - 10.01.2018 07:00","319","0"
"10.01.2018 07:00 - 10.01.2018 08:00","519","0"
"10.01.2018 08:00 - 10.01.2018 09:00","507","0"
"10.01.2018 09:00 - 10.01.2018 10:00","408","0"
"10.01.2018 10:00 - 10.01.2018 11:00","445","0"
"10.01.2018 11:00 - 10.01.2018 12:00","576","0"
"10.01.2018 12:00 - 10.01.2018 13:00","507","0"
"10.01.2018 13:00 - 10.01.2018 14:00","422","0"
"10.01.2018 14:00 - 10.01.2018 15:00","326","0"
"10.01.2018 15:00 - 10.01.2018 16:00","214","0"
"10.01.2018 16:00 - 10.01.2018 17:00","316","0"
"10.01.2018 17:00 - 10.01.2018 18:00","397","0"
"10.01.2018 18:00 - 10.01.2018 19:00","342","0"
"10.01.2018 19:00 - 10.01.2018 20:00","218","0"
"10.01.2018 20:00 - 10.01.2018 21:00","415","0"
"10.01.2018 21:00 - 10.01.2018 22:00","265","0"
"10.01.2018 22:00 - 10.01.2018 23:00","211","0"
"10.01.2018 23:00 - 11.01.2018 00:00","124","0"
"11.01.2018 00:00 - 11.01.2018 01:00","131","0"
"11.01.2018 01:00 - 11.01.2018 02:00","0","29"
"11.01.2018 02:00 - 11.01.2018 03:00","0","178"
"11.01.2018 03:00 - 11.01.2018 04:00","0","236"
"11.01.2018 04:00 - 11.01.2018 05:00","0","97"
"11.01.2018 05:00 - 11.01.2018 06:00","30","0"
"11.01.2018 06:00 - 11.01.2018 07:00","420","0"
"11.01.2018 07:00 - 11.01.2018 08:00","311","0"
"11.01.2018 08:00 - 11.01.2018 09:00","369","0"
"11.01.2018 09:00 - 11.01.2018 10:00","300","0"
"11.01.2018 10:00 - 11.01.2018 11:00","317","0"
"11.01.2018 11:00 - 11.01.2018 12:00","393","0"
"11.01.2018 12:00 - 11.01.2018 13:00","304","0"
"11.01.2018 13:00 - 11.01.2018 14:00","289","0"
"11.01.2018 14:00 - 11.01.2018 15:00","326","0"
"11.01.2018 15:00 - 11.01.2018 16:00","264","0"
"11.01.2018 16:00 - 11.01.2018 17:00","473","0"
"11.01.2018 17:00 - 11.01.2018 18:00","507","0"
"11.01.2018 18:00 - 11.01.2018 19:00","430","0"
"11.01.2018 19:00 - 11.01.2018 20:00","439","0"
"11.01.2018 20:00 - 11.01.2018 21:00","413","0"
"11.01.2018 21:00 - 11.01.2018 22:00","271","0"
"11.01.2018 22:00 - 11.01.2018 23:00","238","0"
"11.01.2018 23:00 - 12.01.2018 00:00","128","0"
"12.01.2018 00:00 - 12.01.2018 01:00","0","110"
"12.01.2018 01:00 - 12.01.2018 02:00","0","340"
"12.01.2018 02:00 - 12.01.2018 03:00","0","377"
"12.01.2018 03:00 - 12.01.2018 04:00","0","402"
"12.01.2018 04:00 - 12.01.2018 05:00","0","217"
"12.01.2018 05:00 - 12.01.2018 06:00","3","0"
"12.01.2018 06:00 - 12.01.2018 07:00","331","0"
"12.01.2018 07:00 - 12.01.2018 08:00","615","0"
"12.01.2018 08:00 - 12.01.2018 09:00","611","0"
"12.01.2018 09:00 - 12.01.2018 10:00","535","0"
"12.01.2018 10:00 - 12.01.2018 11:00","598","0"
"12.01.2018 11:00 - 12.01.2018 12:00","515","0"
"12.01.2018 12:00 - 12.01.2018 13:00","629","0"
"12.01.2018 13:00 - 12.01.2018 14:00","568","0"
"12.01.2018 14:00 - 12.01.2018 15:00","536","0"
"12.01.2018 15:00 - 12.01.2018 16:00","588","0"
"12.01.2018 16:00 - 12.01.2018 17:00","707","0"
"12.01.2018 17:00 - 12.01.2018 18:00","674","0"
"12.01.2018 18:00 - 12.01.2018 19:00","561","0"
"12.01.2018 19:00 - 12.01.2018 20:00","608","0"
"12.01.2018 20:00 - 12.01.2018 21:00","691","0"
"12.01.2018 21:00 - 12.01.2018 22:00","616","0"
"12.01.2018 22:00 - 12.01.2018 23:00","574","0"
"12.01.2018 23:00 - 13.01.2018 00:00","478","0"
"13.01.2018 00:00 - 13.01.2018 01:00","570","0"
"13.01.2018 01:00 - 13.01.2018 02:00","445","0"
"13.01.2018 02:00 - 13.01.2018 03:00","301","0"
"13.01.2018 03:00 - 13.01.2018 04:00","151","0"
"13.01.2018 04:00 - 13.01.2018 05:00","115","0"
"13.01.2018 05:00 - 13.01.2018 06:00","272","0"
"13.01.2018 06:00 - 13.01.2018 07:00","416","0"
"13.01.2018 07:00 - 13.01.2018 08:00","574","0"
"13.01.2018 08:00 - 13.01.2018 09:00","810","0"
"13.01.2018 09:00 - 13.01.2018 10:00","888","0"
"13.01.2018 10:00 - 13.01.2018 11:00","969","0"
"13.01.2018 11:00 - 13.01.2018 12:00","1029","0"
"13.01.2018 12:00 - 13.01.2018 13:00","1089","0"
"13.01.2018 13:00 - 13.01.2018 14:00","925","0"
"13.01.2018 14:00 - 13.01.2018 15:00","868","0"
"13.01.2018 15:00 - 13.01.2018 16:00","856","0"
"13.01.2018 16:00 - 13.01.2018 17:00","1065","0"
"13.01.2018 17:00 - 13.01.2018 18:00","1075","0"
"13.01.2018 18:00 - 13.01.2018 19:00","1031","0"
"13.01.2018 19:00 - 13.01.2018 20:00","988","0"
"13.01.2018 20:00 - 13.01.2018 21:00","992","0"
"13.01.2018 21:00 - 13.01.2018 22:00","780","0"
"13.01.2018 22:00 - 13.01.2018 23:00","781","0"
"13.01.2018 23:00 - 14.01.2018 00:00","734","0"
"14.01.2018 00:00 - 14.01.2018 01:00","588","0"
"14.01.2018 01:00 - 14.01.2018 02:00","547","0"
"14.01.2018 02:00 - 14.01.2018 03:00","393","0"
"14.01.2018 03:00 - 14.01.2018 04:00","167","0"
"14.01.2018 04:00 - 14.01.2018 05:00","169","0"
"14.01.2018 05:00 - 14.01.2018 06:00","250","0"
"14.01.2018 06:00 - 14.01.2018 07:00","369","0"
"14.01.2018 07:00 - 14.01.2018 08:00","574","0"
"14.01.2018 08:00 - 14.01.2018 09:00","687","0"
"14.01.2018 09:00 - 14.01.2018 10:00","885","0"
"14.01.2018 10:00 - 14.01.2018 11:00","1051","0"
"14.01.2018 11:00 - 14.01.2018 12:00","1066","0"
"14.01.2018 12:00 - 14.01.2018 13:00","1017","0"
"14.01.2018 13:00 - 14.01.2018 14:00","954","0"
"14.01.2018 14:00 - 14.01.2018 15:00","1026","0"
"14.01.2018 15:00 - 14.01.2018 16:00","1088","0"
"14.01.2018 16:00 - 14.01.2018 17:00","1294","0"
"14.01.2018 17:00 - 14.01.2018 18:00","1480","0"
"14.01.2018 18:00 - 14.01.2018 19:00","1455","0"
"14.01.2018 19:00 - 14.01.2018 20:00","1486","0"
"14.01.2018 20:00 - 14.01.2018 21:00","1390","0"
"14.01.2018 21:00 - 14.01.2018 22:00","1336","0"
"14.01.2018 22:00 - 14.01.2018 23:00","1327","0"
"14.01.2018 23:00 - 15.01.2018 00:00","1183","0"
"15.01.2018 00:00 - 15.01.2018 01:00","965","0"
"15.01.2018 01:00 - 15.01.2018 02:00","795","0"
"15.01.2018 02:00 - 15.01.2018 03:00","672","0"
"15.01.2018 03:00 - 15.01.2018 04:00","649","0"
"15.01.2018 04:00 - 15.01.2018 05:00","851","0"
"15.01.2018 05:00 - 15.01.2018 06:00","1199","0"
"15.01.2018 06:00 - 15.01.2018 07:00","1577","0"
"15.01.2018 07:00 - 15.01.2018 08:00","1500","0"
"15.01.2018 08:00 - 15.01.2018 09:00","1302","0"
"15.01.2018 09:00 - 15.01.2018 10:00","1274","0"
"15.01.2018 10:00 - 15.01.2018 11:00","1345","0"
"15.01.2018 11:00 - 15.01.2018 12:00","1396","0"
"15.01.2018 12:00 - 15.01.2018 13:00","1423","0"
"15.01.2018 13:00 - 15.01.2018 14:00","1366","0"
"15.01.2018 14:00 - 15.01.2018 15:00","1336","0"
"15.01.2018 15:00 - 15.01.2018 16:00","1325","0"
"15.01.2018 16:00 - 15.01.2018 17:00","1368","0"
"15.01.2018 17:00 - 15.01.2018 18:00","1418","0"
"15.01.2018 18:00 - 15.01.2018 19:00","1381","0"
"15.01.2018 19:00 - 15.01.2018 20:00","1424","0"
"15.01.2018 20:00 - 15.01.2018 21:00","1308","0"
"15.01.2018 21:00 - 15.01.2018 22:00","1176","0"
"15.01.2018 22:00 - 15.01.2018 23:00","1223","0"
"15.01.2018 23:00 - 16.01.2018 00:00","1081","0"
"16.01.2018 00:00 - 16.01.2018 01:00","1144","0"
"16.01.2018 01:00 - 16.01.2018 02:00","1027","0"
"16.01.2018 02:00 - 16.01.2018 03:00","983","0"
"16.01.2018 03:00 - 16.01.2018 04:00","996","0"
"16.01.2018 04:00 - 16.01.2018 05:00","891","0"
"16.01.2018 05:00 - 16.01.2018 06:00","1218","0"
"16.01.2018 06:00 - 16.01.2018 07:00","1169","0"
"16.01.2018 07:00 - 16.01.2018 08:00","1133","0"
"16.01.2018 08:00 - 16.01.2018 09:00","1249","0"
"16.01.2018 09:00 - 16.01.2018 10:00","1147","0"
"16.01.2018 10:00 - 16.01.2018 11:00","1108","0"
"16.01.2018 11:00 - 16.01.2018 12:00","1142","0"
"16.01.2018 12:00 - 16.01.2018 13:00","1217","0"
"16.01.2018 13:00 - 16.01.2018 14:00","1129","0"
"16.01.2018 14:00 - 16.01.2018 15:00","1182","0"
"16.01.2018 15:00 - 16.01.2018 16:00","1189","0"
"16.01.2018 16:00 - 16.01.2018 17:00","1176","0"
"16.01.2018 17:00 - 16.01.2018 18:00","1142","0"
"16.01.2018 18:00 - 16.01.2018 19:00","1139","0"
"16.01.2018 19:00 - 16.01.2018 20:00","1137","0"
"16.01.2018 20:00 - 16.01.2018 21:00","1113","0"
"16.01.2018 21:00 - 16.01.2018 22:00","1091","0"
"16.01.2018 22:00 - 16.01.2018 23:00","1045","0"
"16.01.2018 23:00 - 17.01.2018 00:00","994","0"
"17.01.2018 00:00 - 17.01.2018 01:00","817","0"
"17.01.2018 01:00 - 17.01.2018 02:00","655","0"
"17.01.2018 02:00 - 17.01.2018 03:00","570","0"
"17.01.2018 03:00 - 17.01.2018 04:00","502","0"
"17.01.2018 04:00 - 17.01.2018 05:00","561","0"
"17.01.2018 05:00 - 17.01.2018 06:00","845","0"
"17.01.2018 06:00 - 17.01.2018 07:00","985","0"
"17.01.2018 07:00 - 17.01.2018 08:00","1117","0"
"17.01.2018 08:00 - 17.01.2018 09:00","1124","0"
"17.01.2018 09:00 - 17.01.2018 10:00","1195","0"
"17.01.2018 10:00 - 17.01.2018 11:00","1212","0"
"17.01.2018 11:00 - 17.01.2018 12:00","1203","0"
"17.01.2018 12:00 - 17.01.2018 13:00","1133","0"
"17.01.2018 13:00 - 17.01.2018 14:00","1066","0"
"17.01.2018 14:00 - 17.01.2018 15:00","1028","0"
"17.01.2018 15:00 - 17.01.2018 16:00","961","0"
"17.01.2018 16:00 - 17.01.2018 17:00","1067","0"
"17.01.2018 17:00 - 17.01.2018 18:00","1131","0"
"17.01.2018 18:00 - 17.01.2018 19:00","1067","0"
"17.01.2018 19:00 - 17.01.2018 20:00","1040","0"
"17.01.2018 20:00 - 17.01.2018 21:00","1061","0"
"17.01.2018 21:00 - 17.01.2018 22:00","1021","0"
"17.01.2018 22:00 - 17.01.2018 23:00","946","0"
"17.01.2018 23:00 - 18.01.2018 00:00","935","0"
"18.01.2018 00:00 - 18.01.2018 01:00","787","0"
"18.01.2018 01:00 - 18.01.2018 02:00","533","0"
"18.01.2018 02:00 - 18.01.2018 03:00","434","0"
"18.01.2018 03:00 - 18.01.2018 04:00","404","0"
"18.01.2018 04:00 - 18.01.2018 05:00","539","0"
"18.01.2018 05:00 - 18.01.2018 06:00","814","0"
"18.01.2018 06:00 - 18.01.2018 07:00","953","0"
"18.01.2018 07:00 - 18.01.2018 08:00","984","0"
"18.01.2018 08:00 - 18.01.2018 09:00","994","0"
"18.01.2018 09:00 - 18.01.2018 10:00","1004","0"
"18.01.2018 10:00 - 18.01.2018 11:00","991","0"
"18.01.2018 11:00 - 18.01.2018 12:00","989","0"
"18.01.2018 12:00 - 18.01.2018 13:00","921","0"
"18.01.2018 13:00 - 18.01.2018 14:00","846","0"
"18.01.2018 14:00 - 18.01.2018 15:00","775","0"
"18.01.2018 15:00 - 18.01.2018 16:00","642","0"
"18.01.2018 16:00 - 18.01.2018 17:00","694","0"
"18.01.2018 17:00 - 18.01.2018 18:00","801","0"
"18.01.2018 18:00 - 18.01.2018 19:00","769","0"
"18.01.2018 19:00 - 18.01.2018 20:00","775","0"
"18.01.2018 20:00 - 18.01.2018 21:00","782","0"
"18.01.2018 21:00 - 18.01.2018 22:00","841","0"
"18.01.2018 22:00 - 18.01.2018 23:00","736","0"
"18.01.2018 23:00 - 19.01.2018 00:00","748","0"
"19.01.2018 00:00 - 19.01.2018 01:00","557","0"
"19.01.2018 01:00 - 19.01.2018 02:00","408","0"
"19.01.2018 02:00 - 19.01.2018 03:00","369","0"
"19.01.2018 03:00 - 19.01.2018 04:00","365","0"
"19.01.2018 04:00 - 19.01.2018 05:00","392","0"
"19.01.2018 05:00 - 19.01.2018 06:00","707","0"
"19.01.2018 06:00 - 19.01.2018 07:00","976","0"
"19.01.2018 07:00 - 19.01.2018 08:00","948","0"
"19.01.2018 08:00 - 19.01.2018 09:00","757","0"
"19.01.2018 09:00 - 19.01.2018 10:00","790","0"
"19.01.2018 10:00 - 19.01.2018 11:00","787","0"
"19.01.2018 11:00 - 19.01.2018 12:00","819","0"
"19.01.2018 12:00 - 19.01.2018 13:00","822","0"
"19.01.2018 13:00 - 19.01.2018 14:00","764","0"
"19.01.2018 14:00 - 19.01.2018 15:00","758","0"
"19.01.2018 15:00 - 19.01.2018 16:00","801","0"
"19.01.2018 16:00 - 19.01.2018 17:00","864","0"
"19.01.2018 17:00 - 19.01.2018 18:00","1011","0"
"19.01.2018 18:00 - 19.01.2018 19:00","1013","0"
"19.01.2018 19:00 - 19.01.2018 20:00","1051","0"
"19.01.2018 20:00 - 19.01.2018 21:00","1128","0"
"19.01.2018 21:00 - 19.01.2018 22:00","1017","0"
"19.01.2018 22:00 - 19.01.2018 23:00","1034","0"
"19.01.2018 23:00 - 20.01.2018 00:00","847","0"
"20.01.2018 00:00 - 20.01.2018 01:00","597","0"
