"Time (CET)","France (FR) > Italy (IT) [MW]","Italy (IT) > France (FR) [MW]"
"03.01.2018 12:00 - 03.01.2018 13:00","1832","0"
"03.01.2018 13:00 - 03.01.2018 14:00","1563","0"
"03.01.2018 14:00 - 03.01.2018 15:00","1470","0"
"03.01.2018 15:00 - 03.01.2018 16:00","1243","0"
"03.01.2018 16:00 - 03.01.2018 17:00","1272","0"
"03.01.2018 17:00 - 03.01.2018 18:00","1484","0"
"03.01.2018 18:00 - 03.01.2018 19:00","1567","0"
"03.01.2018 19:00 - 03.01.2018 20:00","1603","0"
"03.01.2018 20:00 - 03.01.2018 21:00","1397","0"
"03.01.2018 21:00 - 03.01.2018 22:00","1279","0"
"03.01.2018 22:00 - 03.01.2018 23:00","1478","0"
"03.01.2018 23:00 - 04.01.2018 00:00","1192","0"
"04.01.2018 00:00 - 04.01.2018 01:00","1439","0"
"04.01.2018 01:00 - 04.01.2018 02:00","1233","0"
"04.01.2018 02:00 - 04.01.2018 03:00","1068","0"
"04.01.2018 03:00 - 04.01.2018 04:00","1237","0"
"04.01.2018 04:00 - 04.01.2018 05:00","1604","0"
"04.01.2018 05:00 - 04.01.2018 06:00","1796","0"
"04.01.2018 06:00 - 04.01.2018 07:00","2110","0"
"04.01.2018 07:00 - 04.01.2018 08:00","2005","0"
"04.01.2018 08:00 - 04.01.2018 09:00","1873","0"
"04.01.2018 09:00 - 04.01.2018 10:00","1761","0"
"04.01.2018 10:00 - 04.01.2018 11:00","2009","0"
"04.01.2018 11:00 - 04.01.2018 12:00","1980","0"
"04.01.2018 12:00 - 04.01.2018 13:00","1828","0"
"04.01.2018 13:00 - 04.01.2018 14:00","2009","0"
"04.01.2018 14:00 - 04.01.2018 15:00","2349","0"
"04.01.2018 15:00 - 04.01.2018 16:00","2317","0"
"04.01.2018 16:00 - 04.01.2018 17:00","2329","0"
"04.01.2018 17:00 - 04.01.2018 18:00","2510","0"
"04.01.2018 18:00 - 04.01.2018 19:00","2262","0"
"04.01.2018 19:00 - 04.01.2018 20:00","2087","0"
"04.01.2018 20:00 - 04.01.2018 21:00","1854","0"
"04.01.2018 21:00 - 04.01.2018 22:00","1921","0"
"04.01.2018 22:00 - 04.01.2018 23:00","1770","0"
"04.01.2018 23:00 - 05.01.2018 00:00","1496","0"
"05.01.2018 00:00 - 05.01.2018 01:00","1667","0"
"05.01.2018 01:00 - 05.01.2018 02:00","1447","0"
"05.01.2018 02:00 - 05.01.2018 03:00","1360","0"
"05.01.2018 03:00 - 05.01.2018 04:00","1505","0"
"05.01.2018 04:00 - 05.01.2018 05:00","1981","0"
"05.01.2018 05:00 - 05.01.2018 06:00","2100","0"
"05.01.2018 06:00 - 05.01.2018 07:00","2178","0"
"05.01.2018 07:00 - 05.01.2018 08:00","2025","0"
"05.01.2018 08:00 - 05.01.2018 09:00","2027","0"
"05.01.2018 09:00 - 05.01.2018 10:00","2183","0"
"05.01.2018 10:00 - 05.01.2018 11:00","1890","0"
"05.01.2018 11:00 - 05.01.2018 12:00","1801","0"
"05.01.2018 12:00 - 05.01.2018 13:00","1590","0"
"05.01.2018 13:00 - 05.01.2018 14:00","1470","0"
"05.01.2018 14:00 - 05.01.2018 15:00","1479","0"
"05.01.2018 15:00 - 05.01.2018 16:00","1920","0"
"05.01.2018 16:00 - 05.01.2018 17:00","2231","0"
"05.01.2018 17:00 - 05.01.2018 18:00","2317","0"
"05.01.2018 18:00 - 05.01.2018 19:00","1945","0"
"05.01.2018 19:00 - 05.01.2018 20:00","1825","0"
"05.01.2018 20:00 - 05.01.2018 21:00","2112","0"
"05.01.2018 21:00 - 05.01.2018 22:00","2280","0"
"05.01.2018 22:00 - 05.01.2018 23:00","2177","0"
"05.01.2018 23:00 - 06.01.2018 00:00","1840","0"
"06.01.2018 00:00 - 06.01.2018 01:00","1758","0"
"06.01.2018 01:00 - 06.01.2018 02:00","1861","0"
"06.01.2018 02:00 - 06.01.2018 03:00","1955","0"
"06.01.2018 03:00 - 06.01.2018 04:00","1985","0"
"06.01.2018 04:00 - 06.01.2018 05:00","1967","0"
"06.01.2018 05:00 - 06.01.2018 06:00","2192","0"
"06.01.2018 06:00 - 06.01.2018 07:00","1961","0"
"06.01.2018 07:00 - 06.01.2018 08:00","1810","0"
"06.01.2018 08:00 - 06.01.2018 09:00","2135","0"
"06.01.2018 09:00 - 06.01.2018 10:00","1807","0"
"06.01.2018 10:00 - 06.01.2018 11:00","1222","0"
"06.01.2018 11:00 - 06.01.2018 12:00","1226","0"
"06.01.2018 12:00 - 06.01.2018 13:00","1189","0"
"06.01.2018 13:00 - 06.01.2018 14:00","1266","0"
"06.01.2018 14:00 - 06.01.2018 15:00","1281","0"
"06.01.2018 15:00 - 06.01.2018 16:00","1228","0"
"06.01.2018 16:00 - 06.01.2018 17:00","1543","0"
"06.01.2018 17:00 - 06.01.2018 18:00","2007","0"
"06.01.2018 18:00 - 06.01.2018 19:00","2084","0"
"06.01.2018 19:00 - 06.01.2018 20:00","2027","0"
"06.01.2018 20:00 - 06.01.2018 21:00","2403","0"
"06.01.2018 21:00 - 06.01.2018 22:00","2382","0"
"06.01.2018 22:00 - 06.01.2018 23:00","2249","0"
"06.01.2018 23:00 - 07.01.2018 00:00","2022","0"
"07.01.2018 00:00 - 07.01.2018 01:00","1790","0"
"07.01.2018 01:00 - 07.01.2018 02:00","1693","0"
"07.01.2018 02:00 - 07.01.2018 03:00","1810","0"
"07.01.2018 03:00 - 07.01.2018 04:00","1881","0"
"07.01.2018 04:00 - 07.01.2018 05:00","2075","0"
"07.01.2018 05:00 - 07.01.2018 06:00","2237","0"
"07.01.2018 06:00 - 07.01.2018 07:00","2204","0"
"07.01.2018 07:00 - 07.01.2018 08:00","2228","0"
"07.01.2018 08:00 - 07.01.2018 09:00","2250","0"
"07.01.2018 09:00 - 07.01.2018 10:00","2233","0"
"07.01.2018 10:00 - 07.01.2018 11:00","1893","0"
"07.01.2018 11:00 - 07.01.2018 12:00","2000","0"
"07.01.2018 12:00 - 07.01.2018 13:00","1976","0"
"07.01.2018 13:00 - 07.01.2018 14:00","1735","0"
"07.01.2018 14:00 - 07.01.2018 15:00","1526","0"
"07.01.2018 15:00 - 07.01.2018 16:00","1564","0"
"07.01.2018 16:00 - 07.01.2018 17:00","1569","0"
"07.01.2018 17:00 - 07.01.2018 18:00","1727","0"
"07.01.2018 18:00 - 07.01.2018 19:00","1814","0"
"07.01.2018 19:00 - 07.01.2018 20:00","1899","0"
"07.01.2018 20:00 - 07.01.2018 21:00","2022","0"
"07.01.2018 21:00 - 07.01.2018 22:00","2067","0"
"07.01.2018 22:00 - 07.01.2018 23:00","1936","0"
"07.01.2018 23:00 - 08.01.2018 00:00","1713","0"
"08.01.2018 00:00 - 08.01.2018 01:00","1930","0"
"08.01.2018 01:00 - 08.01.2018 02:00","1704","0"
"08.01.2018 02:00 - 08.01.2018 03:00","1556","0"
"08.01.2018 03:00 - 08.01.2018 04:00","1625","0"
"08.01.2018 04:00 - 08.01.2018 05:00","1783","0"
"08.01.2018 05:00 - 08.01.2018 06:00","2208","0"
"08.01.2018 06:00 - 08.01.2018 07:00","2050","0"
"08.01.2018 07:00 - 08.01.2018 08:00","1852","0"
"08.01.2018 08:00 - 08.01.2018 09:00","1972","0"
"08.01.2018 09:00 - 08.01.2018 10:00","2007","0"
"08.01.2018 10:00 - 08.01.2018 11:00","2010","0"
"08.01.2018 11:00 - 08.01.2018 12:00","1669","0"
"08.01.2018 12:00 - 08.01.2018 13:00","1622","0"
"08.01.2018 13:00 - 08.01.2018 14:00","1639","0"
"08.01.2018 14:00 - 08.01.2018 15:00","1763","0"
"08.01.2018 15:00 - 08.01.2018 16:00","1737","0"
"08.01.2018 16:00 - 08.01.2018 17:00","1721","0"
"08.01.2018 17:00 - 08.01.2018 18:00","1637","0"
"08.01.2018 18:00 - 08.01.2018 19:00","1577","0"
"08.01.2018 19:00 - 08.01.2018 20:00","1950","0"
"08.01.2018 20:00 - 08.01.2018 21:00","1879","0"
"08.01.2018 21:00 - 08.01.2018 22:00","1779","0"
"08.01.2018 22:00 - 08.01.2018 23:00","1709","0"
"08.01.2018 23:00 - 09.01.2018 00:00","1355","0"
"09.01.2018 00:00 - 09.01.2018 01:00","1805","0"
"09.01.2018 01:00 - 09.01.2018 02:00","1567","0"
"09.01.2018 02:00 - 09.01.2018 03:00","1567","0"
"09.01.2018 03:00 - 09.01.2018 04:00","1777","0"
"09.01.2018 04:00 - 09.01.2018 05:00","2002","0"
"09.01.2018 05:00 - 09.01.2018 06:00","1911","0"
"09.01.2018 06:00 - 09.01.2018 07:00","1998","0"
"09.01.2018 07:00 - 09.01.2018 08:00","1859","0"
"09.01.2018 08:00 - 09.01.2018 09:00","1872","0"
"09.01.2018 09:00 - 09.01.2018 10:00","1921","0"
"09.01.2018 10:00 - 09.01.2018 11:00","2126","0"
"09.01.2018 11:00 - 09.01.2018 12:00","2350","0"
"09.01.2018 12:00 - 09.01.2018 13:00","1976","0"
"09.01.2018 13:00 - 09.01.2018 14:00","2032","0"
"09.01.2018 14:00 - 09.01.2018 15:00","1913","0"
"09.01.2018 15:00 - 09.01.2018 16:00","2117","0"
"09.01.2018 16:00 - 09.01.2018 17:00","2292","0"
"09.01.2018 17:00 - 09.01.2018 18:00","2110","0"
"09.01.2018 18:00 - 09.01.2018 19:00","1796","0"
"09.01.2018 19:00 - 09.01.2018 20:00","1785","0"
"09.01.2018 20:00 - 09.01.2018 21:00","1723","0"
"09.01.2018 21:00 - 09.01.2018 22:00","1777","0"
"09.01.2018 22:00 - 09.01.2018 23:00","1578","0"
"09.01.2018 23:00 - 10.01.2018 00:00","1719","0"
"10.01.2018 00:00 - 10.01.2018 01:00","2142","0"
"10.01.2018 01:00 - 10.01.2018 02:00","2257","0"
"10.01.2018 02:00 - 10.01.2018 03:00","2259","0"
"10.01.2018 03:00 - 10.01.2018 04:00","2374","0"
"10.01.2018 04:00 - 10.01.2018 05:00","2536","0"
"10.01.2018 05:00 - 10.01.2018 06:00","2420","0"
"10.01.2018 06:00 - 10.01.2018 07:00","2291","0"
"10.01.2018 07:00 - 10.01.2018 08:00","2536","0"
"10.01.2018 08:00 - 10.01.2018 09:00","2389","0"
"10.01.2018 09:00 - 10.01.2018 10:00","2222","0"
"10.01.2018 10:00 - 10.01.2018 11:00","2255","0"
"10.01.2018 11:00 - 10.01.2018 12:00","2567","0"
"10.01.2018 12:00 - 10.01.2018 13:00","2433","0"
"10.01.2018 13:00 - 10.01.2018 14:00","2625","0"
"10.01.2018 14:00 - 10.01.2018 15:00","2745","0"
"10.01.2018 15:00 - 10.01.2018 16:00","2944","0"
"10.01.2018 16:00 - 10.01.2018 17:00","2989","0"
"10.01.2018 17:00 - 10.01.2018 18:00","2794","0"
"10.01.2018 18:00 - 10.01.2018 19:00","2245","0"
"10.01.2018 19:00 - 10.01.2018 20:00","2255","0"
"10.01.2018 20:00 - 10.01.2018 21:00","2188","0"
"10.01.2018 21:00 - 10.01.2018 22:00","1705","0"
"10.01.2018 22:00 - 10.01.2018 23:00","1485","0"
"10.01.2018 23:00 - 11.01.2018 00:00","1359","0"
"11.01.2018 00:00 - 11.01.2018 01:00","1831","0"
"11.01.2018 01:00 - 11.01.2018 02:00","2044","0"
"11.01.2018 02:00 - 11.01.2018 03:00","1930","0"
"11.01.2018 03:00 - 11.01.2018 04:00","2052","0"
"11.01.2018 04:00 - 11.01.2018 05:00","2258","0"
"11.01.2018 05:00 - 11.01.2018 06:00","2426","0"
"11.01.2018 06:00 - 11.01.2018 07:00","2524","0"
"11.01.2018 07:00 - 11.01.2018 08:00","2730","0"
"11.01.2018 08:00 - 11.01.2018 09:00","2174","0"
"11.01.2018 09:00 - 11.01.2018 10:00","2153","0"
"11.01.2018 10:00 - 11.01.2018 11:00","2428","0"
"11.01.2018 11:00 - 11.01.2018 12:00","2477","0"
"11.01.2018 12:00 - 11.01.2018 13:00","2426","0"
"11.01.2018 13:00 - 11.01.2018 14:00","2683","0"
"11.01.2018 14:00 - 11.01.2018 15:00","2953","0"
"11.01.2018 15:00 - 11.01.2018 16:00","2829","0"
"11.01.2018 16:00 - 11.01.2018 17:00","2775","0"
"11.01.2018 17:00 - 11.01.2018 18:00","2436","0"
"11.01.2018 18:00 - 11.01.2018 19:00","1951","0"
"11.01.2018 19:00 - 11.01.2018 20:00","2260","0"
"11.01.2018 20:00 - 11.01.2018 21:00","2359","0"
"11.01.2018 21:00 - 11.01.2018 22:00","2155","0"
"11.01.2018 22:00 - 11.01.2018 23:00","1794","0"
"11.01.2018 23:00 - 12.01.2018 00:00","1640","0"
"12.01.2018 00:00 - 12.01.2018 01:00","1298","0"
"12.01.2018 01:00 - 12.01.2018 02:00","1141","0"
"12.01.2018 02:00 - 12.01.2018 03:00","1096","0"
"12.01.2018 03:00 - 12.01.2018 04:00","1358","0"
"12.01.2018 04:00 - 12.01.2018 05:00","1499","0"
"12.01.2018 05:00 - 12.01.2018 06:00","1664","0"
"12.01.2018 06:00 - 12.01.2018 07:00","1610","0"
"12.01.2018 07:00 - 12.01.2018 08:00","997","0"
"12.01.2018 08:00 - 12.01.2018 09:00","1065","0"
"12.01.2018 09:00 - 12.01.2018 10:00","1379","0"
"12.01.2018 10:00 - 12.01.2018 11:00","1578","0"
"12.01.2018 11:00 - 12.01.2018 12:00","1658","0"
"12.01.2018 12:00 - 12.01.2018 13:00","1685","0"
"12.01.2018 13:00 - 12.01.2018 14:00","1818","0"
"12.01.2018 14:00 - 12.01.2018 15:00","1781","0"
"12.01.2018 15:00 - 12.01.2018 16:00","1761","0"
"12.01.2018 16:00 - 12.01.2018 17:00","1571","0"
"12.01.2018 17:00 - 12.01.2018 18:00","1070","0"
"12.01.2018 18:00 - 12.01.2018 19:00","879","0"
"12.01.2018 19:00 - 12.01.2018 20:00","879","0"
"12.01.2018 20:00 - 12.01.2018 21:00","867","0"
"12.01.2018 21:00 - 12.01.2018 22:00","688","0"
"12.01.2018 22:00 - 12.01.2018 23:00","433","0"
"12.01.2018 23:00 - 13.01.2018 00:00","497","0"
"13.01.2018 00:00 - 13.01.2018 01:00","474","0"
"13.01.2018 01:00 - 13.01.2018 02:00","557","0"
"13.01.2018 02:00 - 13.01.2018 03:00","240","0"
"13.01.2018 03:00 - 13.01.2018 04:00","288","0"
"13.01.2018 04:00 - 13.01.2018 05:00","522","0"
"13.01.2018 05:00 - 13.01.2018 06:00","440","0"
"13.01.2018 06:00 - 13.01.2018 07:00","374","0"
"13.01.2018 07:00 - 13.01.2018 08:00","648","0"
"13.01.2018 08:00 - 13.01.2018 09:00","716","0"
"13.01.2018 09:00 - 13.01.2018 10:00","808","0"
"13.01.2018 10:00 - 13.01.2018 11:00","1013","0"
"13.01.2018 11:00 - 13.01.2018 12:00","1022","0"
"13.01.2018 12:00 - 13.01.2018 13:00","1170","0"
"13.01.2018 13:00 - 13.01.2018 14:00","1465","0"
"13.01.2018 14:00 - 13.01.2018 15:00","1631","0"
"13.01.2018 15:00 - 13.01.2018 16:00","1526","0"
"13.01.2018 16:00 - 13.01.2018 17:00","1473","0"
"13.01.2018 17:00 - 13.01.2018 18:00","1678","0"
"13.01.2018 18:00 - 13.01.2018 19:00","1973","0"
"13.01.2018 19:00 - 13.01.2018 20:00","2217","0"
"13.01.2018 20:00 - 13.01.2018 21:00","2154","0"
"13.01.2018 21:00 - 13.01.2018 22:00","1964","0"
"13.01.2018 22:00 - 13.01.2018 23:00","1623","0"
"13.01.2018 23:00 - 14.01.2018 00:00","1719","0"
"14.01.2018 00:00 - 14.01.2018 01:00","1503","0"
"14.01.2018 01:00 - 14.01.2018 02:00","1048","0"
"14.01.2018 02:00 - 14.01.2018 03:00","1103","0"
"14.01.2018 03:00 - 14.01.2018 04:00","1231","0"
"14.01.2018 04:00 - 14.01.2018 05:00","1306","0"
"14.01.2018 05:00 - 14.01.2018 06:00","1291","0"
"14.01.2018 06:00 - 14.01.2018 07:00","1404","0"
"14.01.2018 07:00 - 14.01.2018 08:00","1357","0"
"14.01.2018 08:00 - 14.01.2018 09:00","1440","0"
"14.01.2018 09:00 - 14.01.2018 10:00","1475","0"
"14.01.2018 10:00 - 14.01.2018 11:00","1084","0"
"14.01.2018 11:00 - 14.01.2018 12:00","1163","0"
"14.01.2018 12:00 - 14.01.2018 13:00","1201","0"
"14.01.2018 13:00 - 14.01.2018 14:00","1056","0"
"14.01.2018 14:00 - 14.01.2018 15:00","832","0"
"14.01.2018 15:00 - 14.01.2018 16:00","895","0"
"14.01.2018 16:00 - 14.01.2018 17:00","1091","0"
"14.01.2018 17:00 - 14.01.2018 18:00","1460","0"
"14.01.2018 18:00 - 14.01.2018 19:00","2014","0"
"14.01.2018 19:00 - 14.01.2018 20:00","2457","0"
"14.01.2018 20:00 - 14.01.2018 21:00","2176","0"
"14.01.2018 21:00 - 14.01.2018 22:00","1952","0"
"14.01.2018 22:00 - 14.01.2018 23:00","1879","0"
"14.01.2018 23:00 - 15.01.2018 00:00","1783","0"
"15.01.2018 00:00 - 15.01.2018 01:00","1425","0"
"15.01.2018 01:00 - 15.01.2018 02:00","1033","0"
"15.01.2018 02:00 - 15.01.2018 03:00","936","0"
"15.01.2018 03:00 - 15.01.2018 04:00","1046","0"
"15.01.2018 04:00 - 15.01.2018 05:00","1159","0"
"15.01.2018 05:00 - 15.01.2018 06:00","1333","0"
"15.01.2018 06:00 - 15.01.2018 07:00","1734","0"
"15.01.2018 07:00 - 15.01.2018 08:00","1649","0"
"15.01.2018 08:00 - 15.01.2018 09:00","2109","0"
"15.01.2018 09:00 - 15.01.2018 10:00","2214","0"
"15.01.2018 10:00 - 15.01.2018 11:00","2358","0"
"15.01.2018 11:00 - 15.01.2018 12:00","2430","0"
"15.01.2018 12:00 - 15.01.2018 13:00","2265","0"
"15.01.2018 13:00 - 15.01.2018 14:00","2207","0"
"15.01.2018 14:00 - 15.01.2018 15:00","2228","0"
"15.01.2018 15:00 - 15.01.2018 16:00","2295","0"
"15.01.2018 16:00 - 15.01.2018 17:00","2347","0"
"15.01.2018 17:00 - 15.01.2018 18:00","2078","0"
"15.01.2018 18:00 - 15.01.2018 19:00","2241","0"
"15.01.2018 19:00 - 15.01.2018 20:00","2504","0"
"15.01.2018 20:00 - 15.01.2018 21:00","2274","0"
"15.01.2018 21:00 - 15.01.2018 22:00","1887","0"
"15.01.2018 22:00 - 15.01.2018 23:00","1983","0"
"15.01.2018 23:00 - 16.01.2018 00:00","2159","0"
"16.01.2018 00:00 - 16.01.2018 01:00","2055","0"
"16.01.2018 01:00 - 16.01.2018 02:00","1582","0"
"16.01.2018 02:00 - 16.01.2018 03:00","1448","0"
"16.01.2018 03:00 - 16.01.2018 04:00","1572","0"
"16.01.2018 04:00 - 16.01.2018 05:00","1731","0"
"16.01.2018 05:00 - 16.01.2018 06:00","1785","0"
"16.01.2018 06:00 - 16.01.2018 07:00","1973","0"
"16.01.2018 07:00 - 16.01.2018 08:00","1849","0"
"16.01.2018 08:00 - 16.01.2018 09:00","1942","0"
"16.01.2018 09:00 - 16.01.2018 10:00","2116","0"
"16.01.2018 10:00 - 16.01.2018 11:00","2243","0"
"16.01.2018 11:00 - 16.01.2018 12:00","2203","0"
"16.01.2018 12:00 - 16.01.2018 13:00","2121","0"
"16.01.2018 13:00 - 16.01.2018 14:00","2197","0"
"16.01.2018 14:00 - 16.01.2018 15:00","2250","0"
"16.01.2018 15:00 - 16.01.2018 16:00","2253","0"
"16.01.2018 16:00 - 16.01.2018 17:00","2264","0"
"16.01.2018 17:00 - 16.01.2018 18:00","2252","0"
"16.01.2018 18:00 - 16.01.2018 19:00","2202","0"
"16.01.2018 19:00 - 16.01.2018 20:00","2142","0"
"16.01.2018 20:00 - 16.01.2018 21:00","2121","0"
"16.01.2018 21:00 - 16.01.2018 22:00","1970","0"
"16.01.2018 22:00 - 16.01.2018 23:00","1566","0"
"16.01.2018 23:00 - 17.01.2018 00:00","1173","0"
"17.01.2018 00:00 - 17.01.2018 01:00","1731","0"
"17.01.2018 01:00 - 17.01.2018 02:00","1692","0"
"17.01.2018 02:00 - 17.01.2018 03:00","1399","0"
"17.01.2018 03:00 - 17.01.2018 04:00","1749","0"
"17.01.2018 04:00 - 17.01.2018 05:00","2386","0"
"17.01.2018 05:00 - 17.01.2018 06:00","2414","0"
"17.01.2018 06:00 - 17.01.2018 07:00","2307","0"
"17.01.2018 07:00 - 17.01.2018 08:00","2615","0"
"17.01.2018 08:00 - 17.01.2018 09:00","2619","0"
"17.01.2018 09:00 - 17.01.2018 10:00","2708","0"
"17.01.2018 10:00 - 17.01.2018 11:00","2665","0"
"17.01.2018 11:00 - 17.01.2018 12:00","2600","0"
"17.01.2018 12:00 - 17.01.2018 13:00","2178","0"
"17.01.2018 13:00 - 17.01.2018 14:00","2152","0"
"17.01.2018 14:00 - 17.01.2018 15:00","2250","0"
"17.01.2018 15:00 - 17.01.2018 16:00","2220","0"
"17.01.2018 16:00 - 17.01.2018 17:00","2425","0"
"17.01.2018 17:00 - 17.01.2018 18:00","2425","0"
"17.01.2018 18:00 - 17.01.2018 19:00","2265","0"
"17.01.2018 19:00 - 17.01.2018 20:00","2361","0"
"17.01.2018 20:00 - 17.01.2018 21:00","2546","0"
"17.01.2018 21:00 - 17.01.2018 22:00","2305","0"
"17.01.2018 22:00 - 17.01.2018 23:00","2175","0"
"17.01.2018 23:00 - 18.01.2018 00:00","1680","0"
"18.01.2018 00:00 - 18.01.2018 01:00","1294","0"
"18.01.2018 01:00 - 18.01.2018 02:00","1279","0"
"18.01.2018 02:00 - 18.01.2018 03:00","1550","0"
"18.01.2018 03:00 - 18.01.2018 04:00","1843","0"
"18.01.2018 04:00 - 18.01.2018 05:00","2326","0"
"18.01.2018 05:00 - 18.01.2018 06:00","2214","0"
"18.01.2018 06:00 - 18.01.2018 07:00","2272","0"
"18.01.2018 07:00 - 18.01.2018 08:00","2213","0"
"18.01.2018 08:00 - 18.01.2018 09:00","2073","0"
"18.01.2018 09:00 - 18.01.2018 10:00","2196","0"
"18.01.2018 10:00 - 18.01.2018 11:00","2285","0"
"18.01.2018 11:00 - 18.01.2018 12:00","2223","0"
"18.01.2018 12:00 - 18.01.2018 13:00","1859","0"
"18.01.2018 13:00 - 18.01.2018 14:00","1674","0"
"18.01.2018 14:00 - 18.01.2018 15:00","1805","0"
"18.01.2018 15:00 - 18.01.2018 16:00","1953","0"
"18.01.2018 16:00 - 18.01.2018 17:00","2414","0"
"18.01.2018 17:00 - 18.01.2018 18:00","2322","0"
"18.01.2018 18:00 - 18.01.2018 19:00","2342","0"
"18.01.2018 19:00 - 18.01.2018 20:00","2161","0"
"18.01.2018 20:00 - 18.01.2018 21:00","1940","0"
"18.01.2018 21:00 - 18.01.2018 22:00","1662","0"
"18.01.2018 22:00 - 18.01.2018 23:00","1682","0"
"18.01.2018 23:00 - 19.01.2018 00:00","2028","0"
"19.01.2018 00:00 - 19.01.2018 01:00","1787","0"
"19.01.2018 01:00 - 19.01.2018 02:00","1697","0"
"19.01.2018 02:00 - 19.01.2018 03:00","2083","0"
"19.01.2018 03:00 - 19.01.2018 04:00","2196","0"
"19.01.2018 04:00 - 19.01.2018 05:00","2292","0"
"19.01.2018 05:00 - 19.01.2018 06:00","2271","0"
"19.01.2018 06:00 - 19.01.2018 07:00","2603","0"
"19.01.2018 07:00 - 19.01.2018 08:00","2512","0"
"19.01.2018 08:00 - 19.01.2018 09:00","2336","0"
"19.01.2018 09:00 - 19.01.2018 10:00","2123","0"
"19.01.2018 10:00 - 19.01.2018 11:00","2466","0"
"19.01.2018 11:00 - 19.01.2018 12:00","2369","0"
"19.01.2018 12:00 - 19.01.2018 13:00","2010","0"
"19.01.2018 13:00 - 19.01.2018 14:00","2093","0"
"19.01.2018 14:00 - 19.01.2018 15:00","2192","0"
"19.01.2018 15:00 - 19.01.2018 16:00","2361","0"
"19.01.2018 16:00 - 19.01.2018 17:00","2511","0"
"19.01.2018 17:00 - 19.01.2018 18:00","2244","0"
