"Time (CET)","Italy (IT) > Slovenia (SI) [MW]","Slovenia (SI) > Italy (IT) [MW]"
"08.01.2018 13:00 - 08.01.2018 14:00","0","897"
"08.01.2018 14:00 - 08.01.2018 15:00","0","983"
"08.01.2018 15:00 - 08.01.2018 16:00","0","1047"
"08.01.2018 16:00 - 08.01.2018 17:00","0","1006"
"08.01.2018 17:00 - 08.01.2018 18:00","0","1020"
"08.01.2018 18:00 - 08.01.2018 19:00","0","964"
"08.01.2018 19:00 - 08.01.2018 20:00","0","923"
"08.01.2018 20:00 - 08.01.2018 21:00","0","836"
"08.01.2018 21:00 - 08.01.2018 22:00","0","893"
"08.01.2018 22:00 - 08.01.2018 23:00","0","944"
"08.01.2018 23:00 - 09.01.2018 00:00","0","706"
"09.01.2018 00:00 - 09.01.2018 01:00","0","839"
"09.01.2018 01:00 - 09.01.2018 02:00","0","764"
"09.01.2018 02:00 - 09.01.2018 03:00","0","747"
"09.01.2018 03:00 - 09.01.2018 04:00","0","809"
"09.01.2018 04:00 - 09.01.2018 05:00","0","700"
"09.01.2018 05:00 - 09.01.2018 06:00","0","560"
"09.01.2018 06:00 - 09.01.2018 07:00","0","694"
"09.01.2018 07:00 - 09.01.2018 08:00","0","858"
"09.01.2018 08:00 - 09.01.2018 09:00","0","1187"
"09.01.2018 09:00 - 09.01.2018 10:00","0","1062"
"09.01.2018 10:00 - 09.01.2018 11:00","0","1004"
"09.01.2018 11:00 - 09.01.2018 12:00","0","1103"
"09.01.2018 12:00 - 09.01.2018 13:00","0","965"
"09.01.2018 13:00 - 09.01.2018 14:00","0","276"
"09.01.2018 14:00 - 09.01.2018 15:00","0","751"
"09.01.2018 15:00 - 09.01.2018 16:00","0","854"
"09.01.2018 16:00 - 09.01.2018 17:00","0","835"
"09.01.2018 17:00 - 09.01.2018 18:00","0","930"
"09.01.2018 18:00 - 09.01.2018 19:00","0","850"
"09.01.2018 19:00 - 09.01.2018 20:00","0","987"
"09.01.2018 20:00 - 09.01.2018 21:00","0","966"
"09.01.2018 21:00 - 09.01.2018 22:00","0","1098"
"09.01.2018 22:00 - 09.01.2018 23:00","0","1128"
"09.01.2018 23:00 - 10.01.2018 00:00","0","1083"
"10.01.2018 00:00 - 10.01.2018 01:00","0","1019"
"10.01.2018 01:00 - 10.01.2018 02:00","0","936"
"10.01.2018 02:00 - 10.01.2018 03:00","0","939"
"10.01.2018 03:00 - 10.01.2018 04:00","0","904"
"10.01.2018 04:00 - 10.01.2018 05:00","0","829"
"10.01.2018 05:00 - 10.01.2018 06:00","0","665"
"10.01.2018 06:00 - 10.01.2018 07:00","0","745"
"10.01.2018 07:00 - 10.01.2018 08:00","0","731"
"10.01.2018 08:00 - 10.01.2018 09:00","0","860"
"10.01.2018 09:00 - 10.01.2018 10:00","0","811"
"10.01.2018 10:00 - 10.01.2018 11:00","0","610"
"10.01.2018 11:00 - 10.01.2018 12:00","0","664"
"10.01.2018 12:00 - 10.01.2018 13:00","0","618"
"10.01.2018 13:00 - 10.01.2018 14:00","0","704"
"10.01.2018 14:00 - 10.01.2018 15:00","0","649"
"10.01.2018 15:00 - 10.01.2018 16:00","0","711"
"10.01.2018 16:00 - 10.01.2018 17:00","0","515"
"10.01.2018 17:00 - 10.01.2018 18:00","0","657"
"10.01.2018 18:00 - 10.01.2018 19:00","0","828"
"10.01.2018 19:00 - 10.01.2018 20:00","0","983"
"10.01.2018 20:00 - 10.01.2018 21:00","0","795"
"10.01.2018 21:00 - 10.01.2018 22:00","0","716"
"10.01.2018 22:00 - 10.01.2018 23:00","0","818"
"10.01.2018 23:00 - 11.01.2018 00:00","0","978"
"11.01.2018 00:00 - 11.01.2018 01:00","0","1101"
"11.01.2018 01:00 - 11.01.2018 02:00","0","1013"
"11.01.2018 02:00 - 11.01.2018 03:00","0","1076"
"11.01.2018 03:00 - 11.01.2018 04:00","0","1042"
"11.01.2018 04:00 - 11.01.2018 05:00","0","944"
"11.01.2018 05:00 - 11.01.2018 06:00","0","847"
"11.01.2018 06:00 - 11.01.2018 07:00","0","597"
"11.01.2018 07:00 - 11.01.2018 08:00","0","657"
"11.01.2018 08:00 - 11.01.2018 09:00","0","808"
"11.01.2018 09:00 - 11.01.2018 10:00","0","831"
"11.01.2018 10:00 - 11.01.2018 11:00","0","655"
"11.01.2018 11:00 - 11.01.2018 12:00","0","662"
"11.01.2018 12:00 - 11.01.2018 13:00","0","370"
"11.01.2018 13:00 - 11.01.2018 14:00","0","247"
"11.01.2018 14:00 - 11.01.2018 15:00","0","557"
"11.01.2018 15:00 - 11.01.2018 16:00","0","723"
"11.01.2018 16:00 - 11.01.2018 17:00","0","663"
"11.01.2018 17:00 - 11.01.2018 18:00","0","657"
"11.01.2018 18:00 - 11.01.2018 19:00","0","816"
"11.01.2018 19:00 - 11.01.2018 20:00","0","1006"
"11.01.2018 20:00 - 11.01.2018 21:00","0","868"
"11.01.2018 21:00 - 11.01.2018 22:00","0","1115"
"11.01.2018 22:00 - 11.01.2018 23:00","0","1142"
"11.01.2018 23:00 - 12.01.2018 00:00","0","1153"
"12.01.2018 00:00 - 12.01.2018 01:00","0","826"
"12.01.2018 01:00 - 12.01.2018 02:00","0","961"
"12.01.2018 02:00 - 12.01.2018 03:00","0","1068"
"12.01.2018 03:00 - 12.01.2018 04:00","0","1265"
"12.01.2018 04:00 - 12.01.2018 05:00","0","1157"
"12.01.2018 05:00 - 12.01.2018 06:00","0","976"
"12.01.2018 06:00 - 12.01.2018 07:00","0","1499"
"12.01.2018 07:00 - 12.01.2018 08:00","0","1730"
"12.01.2018 08:00 - 12.01.2018 09:00","0","1667"
"12.01.2018 09:00 - 12.01.2018 10:00","0","1485"
"12.01.2018 10:00 - 12.01.2018 11:00","0","1337"
"12.01.2018 11:00 - 12.01.2018 12:00","0","1396"
"12.01.2018 12:00 - 12.01.2018 13:00","0","1473"
"12.01.2018 13:00 - 12.01.2018 14:00","0","1524"
"12.01.2018 14:00 - 12.01.2018 15:00","0","1571"
"12.01.2018 15:00 - 12.01.2018 16:00","0","1501"
"12.01.2018 16:00 - 12.01.2018 17:00","0","1395"
"12.01.2018 17:00 - 12.01.2018 18:00","0","1463"
"12.01.2018 18:00 - 12.01.2018 19:00","0","1558"
"12.01.2018 19:00 - 12.01.2018 20:00","0","1443"
"12.01.2018 20:00 - 12.01.2018 21:00","0","1452"
"12.01.2018 21:00 - 12.01.2018 22:00","0","1599"
"12.01.2018 22:00 - 12.01.2018 23:00","0","1478"
"12.01.2018 23:00 - 13.01.2018 00:00","0","1519"
"13.01.2018 00:00 - 13.01.2018 01:00","0","1563"
"13.01.2018 01:00 - 13.01.2018 02:00","0","1665"
"13.01.2018 02:00 - 13.01.2018 03:00","0","1644"
"13.01.2018 03:00 - 13.01.2018 04:00","0","1567"
"13.01.2018 04:00 - 13.01.2018 05:00","0","1500"
"13.01.2018 05:00 - 13.01.2018 06:00","0","1464"
"13.01.2018 06:00 - 13.01.2018 07:00","0","1620"
"13.01.2018 07:00 - 13.01.2018 08:00","0","1388"
"13.01.2018 08:00 - 13.01.2018 09:00","0","1263"
"13.01.2018 09:00 - 13.01.2018 10:00","0","1205"
"13.01.2018 10:00 - 13.01.2018 11:00","0","1041"
"13.01.2018 11:00 - 13.01.2018 12:00","0","1137"
"13.01.2018 12:00 - 13.01.2018 13:00","0","1064"
"13.01.2018 13:00 - 13.01.2018 14:00","0","1043"
"13.01.2018 14:00 - 13.01.2018 15:00","0","987"
"13.01.2018 15:00 - 13.01.2018 16:00","0","1012"
"13.01.2018 16:00 - 13.01.2018 17:00","0","792"
"13.01.2018 17:00 - 13.01.2018 18:00","0","851"
"13.01.2018 18:00 - 13.01.2018 19:00","0","1068"
"13.01.2018 19:00 - 13.01.2018 20:00","0","1231"
"13.01.2018 20:00 - 13.01.2018 21:00","0","1248"
"13.01.2018 21:00 - 13.01.2018 22:00","0","1238"
"13.01.2018 22:00 - 13.01.2018 23:00","0","1133"
"13.01.2018 23:00 - 14.01.2018 00:00","0","1013"
"14.01.2018 00:00 - 14.01.2018 01:00","0","764"
"14.01.2018 01:00 - 14.01.2018 02:00","0","827"
"14.01.2018 02:00 - 14.01.2018 03:00","0","887"
"14.01.2018 03:00 - 14.01.2018 04:00","0","758"
"14.01.2018 04:00 - 14.01.2018 05:00","0","721"
"14.01.2018 05:00 - 14.01.2018 06:00","0","752"
"14.01.2018 06:00 - 14.01.2018 07:00","0","796"
"14.01.2018 07:00 - 14.01.2018 08:00","0","794"
"14.01.2018 08:00 - 14.01.2018 09:00","0","660"
"14.01.2018 09:00 - 14.01.2018 10:00","0","466"
"14.01.2018 10:00 - 14.01.2018 11:00","0","498"
"14.01.2018 11:00 - 14.01.2018 12:00","0","684"
"14.01.2018 12:00 - 14.01.2018 13:00","0","731"
"14.01.2018 13:00 - 14.01.2018 14:00","0","822"
"14.01.2018 14:00 - 14.01.2018 15:00","0","796"
"14.01.2018 15:00 - 14.01.2018 16:00","0","710"
"14.01.2018 16:00 - 14.01.2018 17:00","0","498"
"14.01.2018 17:00 - 14.01.2018 18:00","0","855"
"14.01.2018 18:00 - 14.01.2018 19:00","0","826"
"14.01.2018 19:00 - 14.01.2018 20:00","0","780"
"14.01.2018 20:00 - 14.01.2018 21:00","0","846"
"14.01.2018 21:00 - 14.01.2018 22:00","0","982"
"14.01.2018 22:00 - 14.01.2018 23:00","0","991"
"14.01.2018 23:00 - 15.01.2018 00:00","0","1036"
"15.01.2018 00:00 - 15.01.2018 01:00","0","760"
"15.01.2018 01:00 - 15.01.2018 02:00","0","700"
"15.01.2018 02:00 - 15.01.2018 03:00","0","679"
"15.01.2018 03:00 - 15.01.2018 04:00","0","672"
"15.01.2018 04:00 - 15.01.2018 05:00","0","456"
"15.01.2018 05:00 - 15.01.2018 06:00","0","529"
"15.01.2018 06:00 - 15.01.2018 07:00","0","714"
"15.01.2018 07:00 - 15.01.2018 08:00","0","725"
"15.01.2018 08:00 - 15.01.2018 09:00","0","808"
"15.01.2018 09:00 - 15.01.2018 10:00","0","807"
"15.01.2018 10:00 - 15.01.2018 11:00","0","960"
"15.01.2018 11:00 - 15.01.2018 12:00","0","968"
"15.01.2018 12:00 - 15.01.2018 13:00","0","794"
"15.01.2018 13:00 - 15.01.2018 14:00","0","842"
"15.01.2018 14:00 - 15.01.2018 15:00","0","959"
"15.01.2018 15:00 - 15.01.2018 16:00","0","1022"
"15.01.2018 16:00 - 15.01.2018 17:00","0","941"
"15.01.2018 17:00 - 15.01.2018 18:00","0","888"
"15.01.2018 18:00 - 15.01.2018 19:00","0","846"
"15.01.2018 19:00 - 15.01.2018 20:00","0","923"
"15.01.2018 20:00 - 15.01.2018 21:00","0","1054"
"15.01.2018 21:00 - 15.01.2018 22:00","0","1192"
"15.01.2018 22:00 - 15.01.2018 23:00","0","989"
"15.01.2018 23:00 - 16.01.2018 00:00","0","859"
"16.01.2018 00:00 - 16.01.2018 01:00","0","918"
"16.01.2018 01:00 - 16.01.2018 02:00","0","997"
"16.01.2018 02:00 - 16.01.2018 03:00","0","1029"
"16.01.2018 03:00 - 16.01.2018 04:00","0","911"
"16.01.2018 04:00 - 16.01.2018 05:00","0","839"
"16.01.2018 05:00 - 16.01.2018 06:00","0","725"
"16.01.2018 06:00 - 16.01.2018 07:00","0","866"
"16.01.2018 07:00 - 16.01.2018 08:00","0","970"
"16.01.2018 08:00 - 16.01.2018 09:00","0","1035"
"16.01.2018 09:00 - 16.01.2018 10:00","0","960"
"16.01.2018 10:00 - 16.01.2018 11:00","0","927"
"16.01.2018 11:00 - 16.01.2018 12:00","0","898"
"16.01.2018 12:00 - 16.01.2018 13:00","0","859"
"16.01.2018 13:00 - 16.01.2018 14:00","0","1029"
"16.01.2018 14:00 - 16.01.2018 15:00","0","986"
"16.01.2018 15:00 - 16.01.2018 16:00","0","1044"
"16.01.2018 16:00 - 16.01.2018 17:00","0","842"
"16.01.2018 17:00 - 16.01.2018 18:00","0","821"
"16.01.2018 18:00 - 16.01.2018 19:00","0","939"
"16.01.2018 19:00 - 16.01.2018 20:00","0","1023"
"16.01.2018 20:00 - 16.01.2018 21:00","0","1001"
"16.01.2018 21:00 - 16.01.2018 22:00","0","900"
"16.01.2018 22:00 - 16.01.2018 23:00","0","924"
"16.01.2018 23:00 - 17.01.2018 00:00","0","1039"
"17.01.2018 00:00 - 17.01.2018 01:00","0","771"
"17.01.2018 01:00 - 17.01.2018 02:00","0","727"
"17.01.2018 02:00 - 17.01.2018 03:00","0","842"
"17.01.2018 03:00 - 17.01.2018 04:00","0","950"
"17.01.2018 04:00 - 17.01.2018 05:00","0","870"
"17.01.2018 05:00 - 17.01.2018 06:00","0","620"
"17.01.2018 06:00 - 17.01.2018 07:00","0","648"
"17.01.2018 07:00 - 17.01.2018 08:00","0","772"
"17.01.2018 08:00 - 17.01.2018 09:00","0","923"
"17.01.2018 09:00 - 17.01.2018 10:00","0","861"
"17.01.2018 10:00 - 17.01.2018 11:00","0","764"
"17.01.2018 11:00 - 17.01.2018 12:00","0","956"
"17.01.2018 12:00 - 17.01.2018 13:00","0","743"
"17.01.2018 13:00 - 17.01.2018 14:00","0","774"
"17.01.2018 14:00 - 17.01.2018 15:00","0","923"
"17.01.2018 15:00 - 17.01.2018 16:00","0","1149"
"17.01.2018 16:00 - 17.01.2018 17:00","0","1261"
"17.01.2018 17:00 - 17.01.2018 18:00","0","1276"
"17.01.2018 18:00 - 17.01.2018 19:00","0","1390"
"17.01.2018 19:00 - 17.01.2018 20:00","0","1256"
"17.01.2018 20:00 - 17.01.2018 21:00","0","1250"
"17.01.2018 21:00 - 17.01.2018 22:00","0","1180"
"17.01.2018 22:00 - 17.01.2018 23:00","0","1181"
"17.01.2018 23:00 - 18.01.2018 00:00","0","982"
"18.01.2018 00:00 - 18.01.2018 01:00","0","1234"
"18.01.2018 01:00 - 18.01.2018 02:00","0","1265"
"18.01.2018 02:00 - 18.01.2018 03:00","0","1275"
"18.01.2018 03:00 - 18.01.2018 04:00","0","1258"
"18.01.2018 04:00 - 18.01.2018 05:00","0","1088"
"18.01.2018 05:00 - 18.01.2018 06:00","0","1082"
"18.01.2018 06:00 - 18.01.2018 07:00","0","940"
"18.01.2018 07:00 - 18.01.2018 08:00","0","1287"
"18.01.2018 08:00 - 18.01.2018 09:00","0","1226"
"18.01.2018 09:00 - 18.01.2018 10:00","0","1015"
"18.01.2018 10:00 - 18.01.2018 11:00","0","1168"
"18.01.2018 11:00 - 18.01.2018 12:00","0","1251"
"18.01.2018 12:00 - 18.01.2018 13:00","0","1186"
"18.01.2018 13:00 - 18.01.2018 14:00","0","1251"
"18.01.2018 14:00 - 18.01.2018 15:00","0","1234"
"18.01.2018 15:00 - 18.01.2018 16:00","0","1233"
"18.01.2018 16:00 - 18.01.2018 17:00","0","1126"
"18.01.2018 17:00 - 18.01.2018 18:00","0","1194"
"18.01.2018 18:00 - 18.01.2018 19:00","0","1249"
"18.01.2018 19:00 - 18.01.2018 20:00","0","1276"
"18.01.2018 20:00 - 18.01.2018 21:00","0","1142"
"18.01.2018 21:00 - 18.01.2018 22:00","0","1165"
"18.01.2018 22:00 - 18.01.2018 23:00","0","1291"
"18.01.2018 23:00 - 19.01.2018 00:00","0","1120"
"19.01.2018 00:00 - 19.01.2018 01:00","0","1099"
"19.01.2018 01:00 - 19.01.2018 02:00","0","1173"
"19.01.2018 02:00 - 19.01.2018 03:00","0","1072"
"19.01.2018 03:00 - 19.01.2018 04:00","0","995"
"19.01.2018 04:00 - 19.01.2018 05:00","0","994"
"19.01.2018 05:00 - 19.01.2018 06:00","0","926"
"19.01.2018 06:00 - 19.01.2018 07:00","0","1017"
"19.01.2018 07:00 - 19.01.2018 08:00","0","1037"
"19.01.2018 08:00 - 19.01.2018 09:00","0","1046"
"19.01.2018 09:00 - 19.01.2018 10:00","0","979"
"19.01.2018 10:00 - 19.01.2018 11:00","0","1058"
"19.01.2018 11:00 - 19.01.2018 12:00","0","1130"
"19.01.2018 12:00 - 19.01.2018 13:00","0","1139"
"19.01.2018 13:00 - 19.01.2018 14:00","0","1275"
"19.01.2018 14:00 - 19.01.2018 15:00","0","1213"
"19.01.2018 15:00 - 19.01.2018 16:00","0","1119"
"19.01.2018 16:00 - 19.01.2018 17:00","0","966"
"19.01.2018 17:00 - 19.01.2018 18:00","0","1026"
"19.01.2018 18:00 - 19.01.2018 19:00","0","1175"
"19.01.2018 19:00 - 19.01.2018 20:00","0","1217"
"19.01.2018 20:00 - 19.01.2018 21:00","0","1051"
"19.01.2018 21:00 - 19.01.2018 22:00","0","1069"
"19.01.2018 22:00 - 19.01.2018 23:00","0","1113"
