"Time (CET)","Romania (RO) > Bulgaria (BG) [MW]","Bulgaria (BG) > Romania (RO) [MW]"
"04.01.2018 04:00 - 04.01.2018 05:00","475","0"
"04.01.2018 05:00 - 04.01.2018 06:00","413","0"
"04.01.2018 06:00 - 04.01.2018 07:00","447","0"
"04.01.2018 07:00 - 04.01.2018 08:00","337","0"
"04.01.2018 08:00 - 04.01.2018 09:00","305","0"
"04.01.2018 09:00 - 04.01.2018 10:00","356","0"
"04.01.2018 10:00 - 04.01.2018 11:00","343","0"
"04.01.2018 11:00 - 04.01.2018 12:00","395","0"
"04.01.2018 12:00 - 04.01.2018 13:00","379","0"
"04.01.2018 13:00 - 04.01.2018 14:00","390","0"
"04.01.2018 14:00 - 04.01.2018 15:00","368","0"
"04.01.2018 15:00 - 04.01.2018 16:00","322","0"
"04.01.2018 16:00 - 04.01.2018 17:00","150","0"
"04.01.2018 17:00 - 04.01.2018 18:00","165","0"
"04.01.2018 18:00 - 04.01.2018 19:00","201","0"
"04.01.2018 19:00 - 04.01.2018 20:00","295","0"
"04.01.2018 20:00 - 04.01.2018 21:00","425","0"
"04.01.2018 21:00 - 04.01.2018 22:00","493","0"
"04.01.2018 22:00 - 04.01.2018 23:00","721","0"
"04.01.2018 23:00 - 05.01.2018 00:00","747","0"
"05.01.2018 00:00 - 05.01.2018 01:00","589","0"
"05.01.2018 01:00 - 05.01.2018 02:00","634","0"
"05.01.2018 02:00 - 05.01.2018 03:00","609","0"
"05.01.2018 03:00 - 05.01.2018 04:00","542","0"
"05.01.2018 04:00 - 05.01.2018 05:00","494","0"
"05.01.2018 05:00 - 05.01.2018 06:00","345","0"
"05.01.2018 06:00 - 05.01.2018 07:00","270","0"
"05.01.2018 07:00 - 05.01.2018 08:00","282","0"
"05.01.2018 08:00 - 05.01.2018 09:00","333","0"
"05.01.2018 09:00 - 05.01.2018 10:00","434","0"
"05.01.2018 10:00 - 05.01.2018 11:00","404","0"
"05.01.2018 11:00 - 05.01.2018 12:00","422","0"
"05.01.2018 12:00 - 05.01.2018 13:00","407","0"
"05.01.2018 13:00 - 05.01.2018 14:00","466","0"
"05.01.2018 14:00 - 05.01.2018 15:00","487","0"
"05.01.2018 15:00 - 05.01.2018 16:00","444","0"
"05.01.2018 16:00 - 05.01.2018 17:00","295","0"
"05.01.2018 17:00 - 05.01.2018 18:00","287","0"
"05.01.2018 18:00 - 05.01.2018 19:00","298","0"
"05.01.2018 19:00 - 05.01.2018 20:00","372","0"
"05.01.2018 20:00 - 05.01.2018 21:00","521","0"
"05.01.2018 21:00 - 05.01.2018 22:00","725","0"
"05.01.2018 22:00 - 05.01.2018 23:00","893","0"
"05.01.2018 23:00 - 06.01.2018 00:00","855","0"
"06.01.2018 00:00 - 06.01.2018 01:00","784","0"
"06.01.2018 01:00 - 06.01.2018 02:00","767","0"
"06.01.2018 02:00 - 06.01.2018 03:00","736","0"
"06.01.2018 03:00 - 06.01.2018 04:00","704","0"
"06.01.2018 04:00 - 06.01.2018 05:00","606","0"
"06.01.2018 05:00 - 06.01.2018 06:00","543","0"
"06.01.2018 06:00 - 06.01.2018 07:00","529","0"
"06.01.2018 07:00 - 06.01.2018 08:00","513","0"
"06.01.2018 08:00 - 06.01.2018 09:00","454","0"
"06.01.2018 09:00 - 06.01.2018 10:00","461","0"
"06.01.2018 10:00 - 06.01.2018 11:00","463","0"
"06.01.2018 11:00 - 06.01.2018 12:00","448","0"
"06.01.2018 12:00 - 06.01.2018 13:00","497","0"
"06.01.2018 13:00 - 06.01.2018 14:00","512","0"
"06.01.2018 14:00 - 06.01.2018 15:00","526","0"
"06.01.2018 15:00 - 06.01.2018 16:00","574","0"
"06.01.2018 16:00 - 06.01.2018 17:00","572","0"
"06.01.2018 17:00 - 06.01.2018 18:00","590","0"
"06.01.2018 18:00 - 06.01.2018 19:00","631","0"
"06.01.2018 19:00 - 06.01.2018 20:00","728","0"
"06.01.2018 20:00 - 06.01.2018 21:00","790","0"
"06.01.2018 21:00 - 06.01.2018 22:00","856","0"
"06.01.2018 22:00 - 06.01.2018 23:00","974","0"
"06.01.2018 23:00 - 07.01.2018 00:00","899","0"
"07.01.2018 00:00 - 07.01.2018 01:00","992","0"
"07.01.2018 01:00 - 07.01.2018 02:00","938","0"
"07.01.2018 02:00 - 07.01.2018 03:00","879","0"
"07.01.2018 03:00 - 07.01.2018 04:00","798","0"
"07.01.2018 04:00 - 07.01.2018 05:00","714","0"
"07.01.2018 05:00 - 07.01.2018 06:00","607","0"
"07.01.2018 06:00 - 07.01.2018 07:00","593","0"
"07.01.2018 07:00 - 07.01.2018 08:00","563","0"
"07.01.2018 08:00 - 07.01.2018 09:00","571","0"
"07.01.2018 09:00 - 07.01.2018 10:00","532","0"
"07.01.2018 10:00 - 07.01.2018 11:00","549","0"
"07.01.2018 11:00 - 07.01.2018 12:00","589","0"
"07.01.2018 12:00 - 07.01.2018 13:00","609","0"
"07.01.2018 13:00 - 07.01.2018 14:00","649","0"
"07.01.2018 14:00 - 07.01.2018 15:00","658","0"
"07.01.2018 15:00 - 07.01.2018 16:00","618","0"
"07.01.2018 16:00 - 07.01.2018 17:00","581","0"
"07.01.2018 17:00 - 07.01.2018 18:00","554","0"
"07.01.2018 18:00 - 07.01.2018 19:00","549","0"
"07.01.2018 19:00 - 07.01.2018 20:00","545","0"
"07.01.2018 20:00 - 07.01.2018 21:00","677","0"
"07.01.2018 21:00 - 07.01.2018 22:00","701","0"
"07.01.2018 22:00 - 07.01.2018 23:00","780","0"
"07.01.2018 23:00 - 08.01.2018 00:00","780","0"
"08.01.2018 00:00 - 08.01.2018 01:00","633","0"
"08.01.2018 01:00 - 08.01.2018 02:00","575","0"
"08.01.2018 02:00 - 08.01.2018 03:00","462","0"
"08.01.2018 03:00 - 08.01.2018 04:00","388","0"
"08.01.2018 04:00 - 08.01.2018 05:00","332","0"
"08.01.2018 05:00 - 08.01.2018 06:00","264","0"
"08.01.2018 06:00 - 08.01.2018 07:00","251","0"
"08.01.2018 07:00 - 08.01.2018 08:00","177","0"
"08.01.2018 08:00 - 08.01.2018 09:00","123","0"
"08.01.2018 09:00 - 08.01.2018 10:00","158","0"
"08.01.2018 10:00 - 08.01.2018 11:00","200","0"
"08.01.2018 11:00 - 08.01.2018 12:00","202","0"
"08.01.2018 12:00 - 08.01.2018 13:00","253","0"
"08.01.2018 13:00 - 08.01.2018 14:00","254","0"
"08.01.2018 14:00 - 08.01.2018 15:00","284","0"
"08.01.2018 15:00 - 08.01.2018 16:00","236","0"
"08.01.2018 16:00 - 08.01.2018 17:00","121","0"
"08.01.2018 17:00 - 08.01.2018 18:00","152","0"
"08.01.2018 18:00 - 08.01.2018 19:00","134","0"
"08.01.2018 19:00 - 08.01.2018 20:00","196","0"
"08.01.2018 20:00 - 08.01.2018 21:00","308","0"
"08.01.2018 21:00 - 08.01.2018 22:00","373","0"
"08.01.2018 22:00 - 08.01.2018 23:00","484","0"
"08.01.2018 23:00 - 09.01.2018 00:00","582","0"
"09.01.2018 00:00 - 09.01.2018 01:00","586","0"
"09.01.2018 01:00 - 09.01.2018 02:00","595","0"
"09.01.2018 02:00 - 09.01.2018 03:00","566","0"
"09.01.2018 03:00 - 09.01.2018 04:00","538","0"
"09.01.2018 04:00 - 09.01.2018 05:00","598","0"
"09.01.2018 05:00 - 09.01.2018 06:00","679","0"
"09.01.2018 06:00 - 09.01.2018 07:00","692","0"
"09.01.2018 07:00 - 09.01.2018 08:00","674","0"
"09.01.2018 08:00 - 09.01.2018 09:00","661","0"
"09.01.2018 09:00 - 09.01.2018 10:00","638","0"
"09.01.2018 10:00 - 09.01.2018 11:00","607","0"
"09.01.2018 11:00 - 09.01.2018 12:00","520","0"
"09.01.2018 12:00 - 09.01.2018 13:00","475","0"
"09.01.2018 13:00 - 09.01.2018 14:00","405","0"
"09.01.2018 14:00 - 09.01.2018 15:00","435","0"
"09.01.2018 15:00 - 09.01.2018 16:00","375","0"
"09.01.2018 16:00 - 09.01.2018 17:00","167","0"
"09.01.2018 17:00 - 09.01.2018 18:00","181","0"
"09.01.2018 18:00 - 09.01.2018 19:00","208","0"
"09.01.2018 19:00 - 09.01.2018 20:00","222","0"
"09.01.2018 20:00 - 09.01.2018 21:00","374","0"
"09.01.2018 21:00 - 09.01.2018 22:00","551","0"
"09.01.2018 22:00 - 09.01.2018 23:00","791","0"
"09.01.2018 23:00 - 10.01.2018 00:00","816","0"
"10.01.2018 00:00 - 10.01.2018 01:00","683","0"
"10.01.2018 01:00 - 10.01.2018 02:00","634","0"
"10.01.2018 02:00 - 10.01.2018 03:00","561","0"
"10.01.2018 03:00 - 10.01.2018 04:00","550","0"
"10.01.2018 04:00 - 10.01.2018 05:00","512","0"
"10.01.2018 05:00 - 10.01.2018 06:00","559","0"
"10.01.2018 06:00 - 10.01.2018 07:00","508","0"
"10.01.2018 07:00 - 10.01.2018 08:00","379","0"
"10.01.2018 08:00 - 10.01.2018 09:00","362","0"
"10.01.2018 09:00 - 10.01.2018 10:00","260","0"
"10.01.2018 10:00 - 10.01.2018 11:00","264","0"
"10.01.2018 11:00 - 10.01.2018 12:00","316","0"
"10.01.2018 12:00 - 10.01.2018 13:00","387","0"
"10.01.2018 13:00 - 10.01.2018 14:00","461","0"
"10.01.2018 14:00 - 10.01.2018 15:00","517","0"
"10.01.2018 15:00 - 10.01.2018 16:00","528","0"
"10.01.2018 16:00 - 10.01.2018 17:00","409","0"
"10.01.2018 17:00 - 10.01.2018 18:00","399","0"
"10.01.2018 18:00 - 10.01.2018 19:00","399","0"
"10.01.2018 19:00 - 10.01.2018 20:00","444","0"
"10.01.2018 20:00 - 10.01.2018 21:00","594","0"
"10.01.2018 21:00 - 10.01.2018 22:00","641","0"
"10.01.2018 22:00 - 10.01.2018 23:00","782","0"
"10.01.2018 23:00 - 11.01.2018 00:00","816","0"
"11.01.2018 00:00 - 11.01.2018 01:00","762","0"
"11.01.2018 01:00 - 11.01.2018 02:00","675","0"
"11.01.2018 02:00 - 11.01.2018 03:00","613","0"
"11.01.2018 03:00 - 11.01.2018 04:00","566","0"
"11.01.2018 04:00 - 11.01.2018 05:00","602","0"
"11.01.2018 05:00 - 11.01.2018 06:00","581","0"
"11.01.2018 06:00 - 11.01.2018 07:00","706","0"
"11.01.2018 07:00 - 11.01.2018 08:00","529","0"
"11.01.2018 08:00 - 11.01.2018 09:00","596","0"
"11.01.2018 09:00 - 11.01.2018 10:00","548","0"
"11.01.2018 10:00 - 11.01.2018 11:00","605","0"
"11.01.2018 11:00 - 11.01.2018 12:00","554","0"
"11.01.2018 12:00 - 11.01.2018 13:00","553","0"
"11.01.2018 13:00 - 11.01.2018 14:00","535","0"
"11.01.2018 14:00 - 11.01.2018 15:00","542","0"
"11.01.2018 15:00 - 11.01.2018 16:00","502","0"
"11.01.2018 16:00 - 11.01.2018 17:00","443","0"
"11.01.2018 17:00 - 11.01.2018 18:00","479","0"
"11.01.2018 18:00 - 11.01.2018 19:00","489","0"
"11.01.2018 19:00 - 11.01.2018 20:00","582","0"
"11.01.2018 20:00 - 11.01.2018 21:00","703","0"
"11.01.2018 21:00 - 11.01.2018 22:00","720","0"
"11.01.2018 22:00 - 11.01.2018 23:00","874","0"
"11.01.2018 23:00 - 12.01.2018 00:00","933","0"
"12.01.2018 00:00 - 12.01.2018 01:00","753","0"
"12.01.2018 01:00 - 12.01.2018 02:00","734","0"
"12.01.2018 02:00 - 12.01.2018 03:00","698","0"
"12.01.2018 03:00 - 12.01.2018 04:00","659","0"
"12.01.2018 04:00 - 12.01.2018 05:00","605","0"
"12.01.2018 05:00 - 12.01.2018 06:00","662","0"
"12.01.2018 06:00 - 12.01.2018 07:00","587","0"
"12.01.2018 07:00 - 12.01.2018 08:00","564","0"
"12.01.2018 08:00 - 12.01.2018 09:00","504","0"
"12.01.2018 09:00 - 12.01.2018 10:00","460","0"
"12.01.2018 10:00 - 12.01.2018 11:00","564","0"
"12.01.2018 11:00 - 12.01.2018 12:00","573","0"
"12.01.2018 12:00 - 12.01.2018 13:00","550","0"
"12.01.2018 13:00 - 12.01.2018 14:00","552","0"
"12.01.2018 14:00 - 12.01.2018 15:00","569","0"
"12.01.2018 15:00 - 12.01.2018 16:00","602","0"
"12.01.2018 16:00 - 12.01.2018 17:00","534","0"
"12.01.2018 17:00 - 12.01.2018 18:00","567","0"
"12.01.2018 18:00 - 12.01.2018 19:00","596","0"
"12.01.2018 19:00 - 12.01.2018 20:00","589","0"
"12.01.2018 20:00 - 12.01.2018 21:00","743","0"
"12.01.2018 21:00 - 12.01.2018 22:00","818","0"
"12.01.2018 22:00 - 12.01.2018 23:00","978","0"
"12.01.2018 23:00 - 13.01.2018 00:00","958","0"
"13.01.2018 00:00 - 13.01.2018 01:00","894","0"
"13.01.2018 01:00 - 13.01.2018 02:00","807","0"
"13.01.2018 02:00 - 13.01.2018 03:00","757","0"
"13.01.2018 03:00 - 13.01.2018 04:00","679","0"
"13.01.2018 04:00 - 13.01.2018 05:00","677","0"
"13.01.2018 05:00 - 13.01.2018 06:00","698","0"
"13.01.2018 06:00 - 13.01.2018 07:00","766","0"
"13.01.2018 07:00 - 13.01.2018 08:00","796","0"
"13.01.2018 08:00 - 13.01.2018 09:00","880","0"
"13.01.2018 09:00 - 13.01.2018 10:00","863","0"
"13.01.2018 10:00 - 13.01.2018 11:00","949","0"
"13.01.2018 11:00 - 13.01.2018 12:00","925","0"
"13.01.2018 12:00 - 13.01.2018 13:00","961","0"
"13.01.2018 13:00 - 13.01.2018 14:00","953","0"
"13.01.2018 14:00 - 13.01.2018 15:00","1064","0"
"13.01.2018 15:00 - 13.01.2018 16:00","977","0"
"13.01.2018 16:00 - 13.01.2018 17:00","926","0"
"13.01.2018 17:00 - 13.01.2018 18:00","773","0"
"13.01.2018 18:00 - 13.01.2018 19:00","756","0"
"13.01.2018 19:00 - 13.01.2018 20:00","806","0"
"13.01.2018 20:00 - 13.01.2018 21:00","908","0"
"13.01.2018 21:00 - 13.01.2018 22:00","872","0"
"13.01.2018 22:00 - 13.01.2018 23:00","997","0"
"13.01.2018 23:00 - 14.01.2018 00:00","1047","0"
"14.01.2018 00:00 - 14.01.2018 01:00","1046","0"
"14.01.2018 01:00 - 14.01.2018 02:00","1008","0"
"14.01.2018 02:00 - 14.01.2018 03:00","990","0"
"14.01.2018 03:00 - 14.01.2018 04:00","911","0"
"14.01.2018 04:00 - 14.01.2018 05:00","890","0"
"14.01.2018 05:00 - 14.01.2018 06:00","860","0"
"14.01.2018 06:00 - 14.01.2018 07:00","798","0"
"14.01.2018 07:00 - 14.01.2018 08:00","829","0"
"14.01.2018 08:00 - 14.01.2018 09:00","935","0"
"14.01.2018 09:00 - 14.01.2018 10:00","953","0"
"14.01.2018 10:00 - 14.01.2018 11:00","939","0"
"14.01.2018 11:00 - 14.01.2018 12:00","860","0"
"14.01.2018 12:00 - 14.01.2018 13:00","887","0"
"14.01.2018 13:00 - 14.01.2018 14:00","926","0"
"14.01.2018 14:00 - 14.01.2018 15:00","857","0"
"14.01.2018 15:00 - 14.01.2018 16:00","716","0"
"14.01.2018 16:00 - 14.01.2018 17:00","639","0"
"14.01.2018 17:00 - 14.01.2018 18:00","419","0"
"14.01.2018 18:00 - 14.01.2018 19:00","352","0"
"14.01.2018 19:00 - 14.01.2018 20:00","316","0"
"14.01.2018 20:00 - 14.01.2018 21:00","359","0"
"14.01.2018 21:00 - 14.01.2018 22:00","455","0"
"14.01.2018 22:00 - 14.01.2018 23:00","690","0"
"14.01.2018 23:00 - 15.01.2018 00:00","675","0"
"15.01.2018 00:00 - 15.01.2018 01:00","620","0"
"15.01.2018 01:00 - 15.01.2018 02:00","578","0"
"15.01.2018 02:00 - 15.01.2018 03:00","506","0"
"15.01.2018 03:00 - 15.01.2018 04:00","429","0"
"15.01.2018 04:00 - 15.01.2018 05:00","360","0"
"15.01.2018 05:00 - 15.01.2018 06:00","314","0"
"15.01.2018 06:00 - 15.01.2018 07:00","253","0"
"15.01.2018 07:00 - 15.01.2018 08:00","72","0"
"15.01.2018 08:00 - 15.01.2018 09:00","155","0"
"15.01.2018 09:00 - 15.01.2018 10:00","199","0"
"15.01.2018 10:00 - 15.01.2018 11:00","250","0"
"15.01.2018 11:00 - 15.01.2018 12:00","221","0"
"15.01.2018 12:00 - 15.01.2018 13:00","301","0"
"15.01.2018 13:00 - 15.01.2018 14:00","303","0"
"15.01.2018 14:00 - 15.01.2018 15:00","306","0"
"15.01.2018 15:00 - 15.01.2018 16:00","240","0"
"15.01.2018 16:00 - 15.01.2018 17:00","148","0"
"15.01.2018 17:00 - 15.01.2018 18:00","128","0"
"15.01.2018 18:00 - 15.01.2018 19:00","127","0"
"15.01.2018 19:00 - 15.01.2018 20:00","137","0"
"15.01.2018 20:00 - 15.01.2018 21:00","273","0"
"15.01.2018 21:00 - 15.01.2018 22:00","331","0"
"15.01.2018 22:00 - 15.01.2018 23:00","547","0"
"15.01.2018 23:00 - 16.01.2018 00:00","698","0"
"16.01.2018 00:00 - 16.01.2018 01:00","650","0"
"16.01.2018 01:00 - 16.01.2018 02:00","641","0"
"16.01.2018 02:00 - 16.01.2018 03:00","524","0"
"16.01.2018 03:00 - 16.01.2018 04:00","469","0"
"16.01.2018 04:00 - 16.01.2018 05:00","376","0"
"16.01.2018 05:00 - 16.01.2018 06:00","429","0"
"16.01.2018 06:00 - 16.01.2018 07:00","328","0"
"16.01.2018 07:00 - 16.01.2018 08:00","294","0"
"16.01.2018 08:00 - 16.01.2018 09:00","278","0"
"16.01.2018 09:00 - 16.01.2018 10:00","371","0"
"16.01.2018 10:00 - 16.01.2018 11:00","486","0"
"16.01.2018 11:00 - 16.01.2018 12:00","512","0"
"16.01.2018 12:00 - 16.01.2018 13:00","565","0"
"16.01.2018 13:00 - 16.01.2018 14:00","460","0"
"16.01.2018 14:00 - 16.01.2018 15:00","428","0"
"16.01.2018 15:00 - 16.01.2018 16:00","379","0"
"16.01.2018 16:00 - 16.01.2018 17:00","233","0"
"16.01.2018 17:00 - 16.01.2018 18:00","185","0"
"16.01.2018 18:00 - 16.01.2018 19:00","174","0"
"16.01.2018 19:00 - 16.01.2018 20:00","262","0"
"16.01.2018 20:00 - 16.01.2018 21:00","457","0"
"16.01.2018 21:00 - 16.01.2018 22:00","787","0"
"16.01.2018 22:00 - 16.01.2018 23:00","988","0"
"16.01.2018 23:00 - 17.01.2018 00:00","925","0"
"17.01.2018 00:00 - 17.01.2018 01:00","819","0"
"17.01.2018 01:00 - 17.01.2018 02:00","780","0"
"17.01.2018 02:00 - 17.01.2018 03:00","757","0"
"17.01.2018 03:00 - 17.01.2018 04:00","704","0"
"17.01.2018 04:00 - 17.01.2018 05:00","680","0"
"17.01.2018 05:00 - 17.01.2018 06:00","662","0"
"17.01.2018 06:00 - 17.01.2018 07:00","712","0"
"17.01.2018 07:00 - 17.01.2018 08:00","497","0"
"17.01.2018 08:00 - 17.01.2018 09:00","455","0"
"17.01.2018 09:00 - 17.01.2018 10:00","470","0"
"17.01.2018 10:00 - 17.01.2018 11:00","446","0"
"17.01.2018 11:00 - 17.01.2018 12:00","378","0"
"17.01.2018 12:00 - 17.01.2018 13:00","309","0"
"17.01.2018 13:00 - 17.01.2018 14:00","334","0"
"17.01.2018 14:00 - 17.01.2018 15:00","474","0"
"17.01.2018 15:00 - 17.01.2018 16:00","538","0"
"17.01.2018 16:00 - 17.01.2018 17:00","558","0"
"17.01.2018 17:00 - 17.01.2018 18:00","541","0"
"17.01.2018 18:00 - 17.01.2018 19:00","447","0"
"17.01.2018 19:00 - 17.01.2018 20:00","439","0"
"17.01.2018 20:00 - 17.01.2018 21:00","579","0"
"17.01.2018 21:00 - 17.01.2018 22:00","821","0"
"17.01.2018 22:00 - 17.01.2018 23:00","976","0"
"17.01.2018 23:00 - 18.01.2018 00:00","1009","0"
"18.01.2018 00:00 - 18.01.2018 01:00","961","0"
"18.01.2018 01:00 - 18.01.2018 02:00","898","0"
"18.01.2018 02:00 - 18.01.2018 03:00","945","0"
"18.01.2018 03:00 - 18.01.2018 04:00","924","0"
"18.01.2018 04:00 - 18.01.2018 05:00","942","0"
"18.01.2018 05:00 - 18.01.2018 06:00","981","0"
"18.01.2018 06:00 - 18.01.2018 07:00","980","0"
"18.01.2018 07:00 - 18.01.2018 08:00","956","0"
"18.01.2018 08:00 - 18.01.2018 09:00","857","0"
"18.01.2018 09:00 - 18.01.2018 10:00","798","0"
"18.01.2018 10:00 - 18.01.2018 11:00","801","0"
"18.01.2018 11:00 - 18.01.2018 12:00","783","0"
"18.01.2018 12:00 - 18.01.2018 13:00","853","0"
"18.01.2018 13:00 - 18.01.2018 14:00","907","0"
"18.01.2018 14:00 - 18.01.2018 15:00","897","0"
"18.01.2018 15:00 - 18.01.2018 16:00","871","0"
"18.01.2018 16:00 - 18.01.2018 17:00","805","0"
"18.01.2018 17:00 - 18.01.2018 18:00","875","0"
"18.01.2018 18:00 - 18.01.2018 19:00","850","0"
"18.01.2018 19:00 - 18.01.2018 20:00","854","0"
"18.01.2018 20:00 - 18.01.2018 21:00","938","0"
"18.01.2018 21:00 - 18.01.2018 22:00","1068","0"
"18.01.2018 22:00 - 18.01.2018 23:00","1102","0"
"18.01.2018 23:00 - 19.01.2018 00:00","1102","0"
"19.01.2018 00:00 - 19.01.2018 01:00","986","0"
"19.01.2018 01:00 - 19.01.2018 02:00","838","0"
"19.01.2018 02:00 - 19.01.2018 03:00","703","0"
"19.01.2018 03:00 - 19.01.2018 04:00","608","0"
"19.01.2018 04:00 - 19.01.2018 05:00","616","0"
"19.01.2018 05:00 - 19.01.2018 06:00","677","0"
"19.01.2018 06:00 - 19.01.2018 07:00","650","0"
"19.01.2018 07:00 - 19.01.2018 08:00","696","0"
"19.01.2018 08:00 - 19.01.2018 09:00","683","0"
"19.01.2018 09:00 - 19.01.2018 10:00","708","0"
"19.01.2018 10:00 - 19.01.2018 11:00","818","0"
"19.01.2018 11:00 - 19.01.2018 12:00","871","0"
"19.01.2018 12:00 - 19.01.2018 13:00","919","0"
"19.01.2018 13:00 - 19.01.2018 14:00","898","0"
"19.01.2018 14:00 - 19.01.2018 15:00","908","0"
"19.01.2018 15:00 - 19.01.2018 16:00","806","0"
"19.01.2018 16:00 - 19.01.2018 17:00","549","0"
"19.01.2018 17:00 - 19.01.2018 18:00","364","0"
"19.01.2018 18:00 - 19.01.2018 19:00","298","0"
"19.01.2018 19:00 - 19.01.2018 20:00","315","0"
"19.01.2018 20:00 - 19.01.2018 21:00","413","0"
"19.01.2018 21:00 - 19.01.2018 22:00","512","0"
"19.01.2018 22:00 - 19.01.2018 23:00","586","0"
"19.01.2018 23:00 - 20.01.2018 00:00","642","0"
"20.01.2018 00:00 - 20.01.2018 01:00","641","0"
"20.01.2018 01:00 - 20.01.2018 02:00","631","0"
"20.01.2018 02:00 - 20.01.2018 03:00","546","0"
"20.01.2018 03:00 - 20.01.2018 04:00","466","0"
"20.01.2018 04:00 - 20.01.2018 05:00","436","0"
"20.01.2018 05:00 - 20.01.2018 06:00","370","0"
