"Time (CET)","Turkey (TR) > Bulgaria (BG) [MW]","Bulgaria (BG) > Turkey (TR) [MW]"
"02.01.2018 12:00 - 02.01.2018 13:00","0","208"
"02.01.2018 13:00 - 02.01.2018 14:00","0","178"
"02.01.2018 14:00 - 02.01.2018 15:00","0","281"
"02.01.2018 15:00 - 02.01.2018 16:00","0","270"
"02.01.2018 16:00 - 02.01.2018 17:00","0","282"
"02.01.2018 17:00 - 02.01.2018 18:00","0","109"
"02.01.2018 18:00 - 02.01.2018 19:00","0","130"
"02.01.2018 19:00 - 02.01.2018 20:00","0","192"
"02.01.2018 20:00 - 02.01.2018 21:00","0","248"
"02.01.2018 21:00 - 02.01.2018 22:00","0","349"
"02.01.2018 22:00 - 02.01.2018 23:00","0","468"
"02.01.2018 23:00 - 03.01.2018 00:00","0","466"
"03.01.2018 00:00 - 03.01.2018 01:00","0","393"
"03.01.2018 01:00 - 03.01.2018 02:00","0","403"
"03.01.2018 02:00 - 03.01.2018 03:00","0","387"
"03.01.2018 03:00 - 03.01.2018 04:00","0","337"
"03.01.2018 04:00 - 03.01.2018 05:00","0","337"
"03.01.2018 05:00 - 03.01.2018 06:00","0","291"
"03.01.2018 06:00 - 03.01.2018 07:00","0","321"
"03.01.2018 07:00 - 03.01.2018 08:00","0","234"
"03.01.2018 08:00 - 03.01.2018 09:00","0","86"
"03.01.2018 09:00 - 03.01.2018 10:00","0","112"
"03.01.2018 10:00 - 03.01.2018 11:00","0","10"
"03.01.2018 11:00 - 03.01.2018 12:00","0","63"
"03.01.2018 12:00 - 03.01.2018 13:00","0","84"
"03.01.2018 13:00 - 03.01.2018 14:00","0","100"
"03.01.2018 14:00 - 03.01.2018 15:00","0","90"
"03.01.2018 15:00 - 03.01.2018 16:00","0","147"
"03.01.2018 16:00 - 03.01.2018 17:00","0","40"
"03.01.2018 17:00 - 03.01.2018 18:00","0","6"
"03.01.2018 18:00 - 03.01.2018 19:00","0","34"
"03.01.2018 19:00 - 03.01.2018 20:00","0","78"
"03.01.2018 20:00 - 03.01.2018 21:00","0","151"
"03.01.2018 21:00 - 03.01.2018 22:00","0","252"
"03.01.2018 22:00 - 03.01.2018 23:00","0","416"
"03.01.2018 23:00 - 04.01.2018 00:00","0","425"
"04.01.2018 00:00 - 04.01.2018 01:00","0","402"
"04.01.2018 01:00 - 04.01.2018 02:00","0","399"
"04.01.2018 02:00 - 04.01.2018 03:00","0","403"
"04.01.2018 03:00 - 04.01.2018 04:00","0","426"
"04.01.2018 04:00 - 04.01.2018 05:00","0","355"
"04.01.2018 05:00 - 04.01.2018 06:00","0","371"
"04.01.2018 06:00 - 04.01.2018 07:00","0","370"
"04.01.2018 07:00 - 04.01.2018 08:00","0","115"
"04.01.2018 08:00 - 04.01.2018 09:00","0","23"
"04.01.2018 09:00 - 04.01.2018 10:00","0","74"
"04.01.2018 10:00 - 04.01.2018 11:00","0","75"
"04.01.2018 11:00 - 04.01.2018 12:00","0","126"
"04.01.2018 12:00 - 04.01.2018 13:00","0","119"
"04.01.2018 13:00 - 04.01.2018 14:00","0","129"
"04.01.2018 14:00 - 04.01.2018 15:00","0","61"
"04.01.2018 15:00 - 04.01.2018 16:00","0","69"
"04.01.2018 16:00 - 04.01.2018 17:00","54","0"
"04.01.2018 17:00 - 04.01.2018 18:00","52","0"
"04.01.2018 18:00 - 04.01.2018 19:00","0","21"
"04.01.2018 19:00 - 04.01.2018 20:00","0","9"
"04.01.2018 20:00 - 04.01.2018 21:00","0","138"
"04.01.2018 21:00 - 04.01.2018 22:00","0","140"
"04.01.2018 22:00 - 04.01.2018 23:00","0","350"
"04.01.2018 23:00 - 05.01.2018 00:00","0","430"
"05.01.2018 00:00 - 05.01.2018 01:00","0","335"
"05.01.2018 01:00 - 05.01.2018 02:00","0","415"
"05.01.2018 02:00 - 05.01.2018 03:00","0","419"
"05.01.2018 03:00 - 05.01.2018 04:00","0","378"
"05.01.2018 04:00 - 05.01.2018 05:00","0","352"
"05.01.2018 05:00 - 05.01.2018 06:00","0","195"
"05.01.2018 06:00 - 05.01.2018 07:00","0","140"
"05.01.2018 07:00 - 05.01.2018 08:00","0","55"
"05.01.2018 08:00 - 05.01.2018 09:00","0","59"
"05.01.2018 09:00 - 05.01.2018 10:00","0","78"
"05.01.2018 10:00 - 05.01.2018 11:00","0","39"
"05.01.2018 11:00 - 05.01.2018 12:00","0","71"
"05.01.2018 12:00 - 05.01.2018 13:00","0","27"
"05.01.2018 13:00 - 05.01.2018 14:00","0","65"
"05.01.2018 14:00 - 05.01.2018 15:00","0","58"
"05.01.2018 15:00 - 05.01.2018 16:00","2","0"
"05.01.2018 16:00 - 05.01.2018 17:00","38","0"
"05.01.2018 17:00 - 05.01.2018 18:00","31","0"
"05.01.2018 18:00 - 05.01.2018 19:00","22","0"
"05.01.2018 19:00 - 05.01.2018 20:00","0","16"
"05.01.2018 20:00 - 05.01.2018 21:00","0","58"
"05.01.2018 21:00 - 05.01.2018 22:00","0","168"
"05.01.2018 22:00 - 05.01.2018 23:00","0","327"
"05.01.2018 23:00 - 06.01.2018 00:00","0","293"
"06.01.2018 00:00 - 06.01.2018 01:00","0","242"
"06.01.2018 01:00 - 06.01.2018 02:00","0","250"
"06.01.2018 02:00 - 06.01.2018 03:00","0","280"
"06.01.2018 03:00 - 06.01.2018 04:00","0","314"
"06.01.2018 04:00 - 06.01.2018 05:00","0","265"
"06.01.2018 05:00 - 06.01.2018 06:00","0","254"
"06.01.2018 06:00 - 06.01.2018 07:00","0","284"
"06.01.2018 07:00 - 06.01.2018 08:00","0","315"
"06.01.2018 08:00 - 06.01.2018 09:00","0","305"
"06.01.2018 09:00 - 06.01.2018 10:00","0","232"
"06.01.2018 10:00 - 06.01.2018 11:00","0","173"
"06.01.2018 11:00 - 06.01.2018 12:00","0","160"
"06.01.2018 12:00 - 06.01.2018 13:00","0","256"
"06.01.2018 13:00 - 06.01.2018 14:00","0","256"
"06.01.2018 14:00 - 06.01.2018 15:00","0","234"
"06.01.2018 15:00 - 06.01.2018 16:00","0","192"
"06.01.2018 16:00 - 06.01.2018 17:00","0","134"
"06.01.2018 17:00 - 06.01.2018 18:00","0","67"
"06.01.2018 18:00 - 06.01.2018 19:00","0","109"
"06.01.2018 19:00 - 06.01.2018 20:00","0","186"
"06.01.2018 20:00 - 06.01.2018 21:00","0","272"
"06.01.2018 21:00 - 06.01.2018 22:00","0","347"
"06.01.2018 22:00 - 06.01.2018 23:00","0","450"
"06.01.2018 23:00 - 07.01.2018 00:00","0","404"
"07.01.2018 00:00 - 07.01.2018 01:00","0","470"
"07.01.2018 01:00 - 07.01.2018 02:00","0","451"
"07.01.2018 02:00 - 07.01.2018 03:00","0","422"
"07.01.2018 03:00 - 07.01.2018 04:00","0","382"
"07.01.2018 04:00 - 07.01.2018 05:00","0","443"
"07.01.2018 05:00 - 07.01.2018 06:00","0","378"
"07.01.2018 06:00 - 07.01.2018 07:00","0","326"
"07.01.2018 07:00 - 07.01.2018 08:00","0","311"
"07.01.2018 08:00 - 07.01.2018 09:00","0","354"
"07.01.2018 09:00 - 07.01.2018 10:00","0","284"
"07.01.2018 10:00 - 07.01.2018 11:00","0","287"
"07.01.2018 11:00 - 07.01.2018 12:00","0","312"
"07.01.2018 12:00 - 07.01.2018 13:00","0","304"
"07.01.2018 13:00 - 07.01.2018 14:00","0","387"
"07.01.2018 14:00 - 07.01.2018 15:00","0","370"
"07.01.2018 15:00 - 07.01.2018 16:00","0","375"
"07.01.2018 16:00 - 07.01.2018 17:00","0","312"
"07.01.2018 17:00 - 07.01.2018 18:00","0","218"
"07.01.2018 18:00 - 07.01.2018 19:00","0","194"
"07.01.2018 19:00 - 07.01.2018 20:00","0","194"
"07.01.2018 20:00 - 07.01.2018 21:00","0","319"
"07.01.2018 21:00 - 07.01.2018 22:00","0","320"
"07.01.2018 22:00 - 07.01.2018 23:00","0","344"
"07.01.2018 23:00 - 08.01.2018 00:00","0","359"
"08.01.2018 00:00 - 08.01.2018 01:00","0","383"
"08.01.2018 01:00 - 08.01.2018 02:00","0","394"
"08.01.2018 02:00 - 08.01.2018 03:00","0","353"
"08.01.2018 03:00 - 08.01.2018 04:00","0","343"
"08.01.2018 04:00 - 08.01.2018 05:00","0","314"
"08.01.2018 05:00 - 08.01.2018 06:00","0","222"
"08.01.2018 06:00 - 08.01.2018 07:00","0","77"
"08.01.2018 07:00 - 08.01.2018 08:00","48","0"
"08.01.2018 08:00 - 08.01.2018 09:00","80","0"
"08.01.2018 09:00 - 08.01.2018 10:00","38","0"
"08.01.2018 10:00 - 08.01.2018 11:00","48","0"
"08.01.2018 11:00 - 08.01.2018 12:00","62","0"
"08.01.2018 12:00 - 08.01.2018 13:00","55","0"
"08.01.2018 13:00 - 08.01.2018 14:00","34","0"
"08.01.2018 14:00 - 08.01.2018 15:00","0","11"
"08.01.2018 15:00 - 08.01.2018 16:00","0","6"
"08.01.2018 16:00 - 08.01.2018 17:00","50","0"
"08.01.2018 17:00 - 08.01.2018 18:00","22","0"
"08.01.2018 18:00 - 08.01.2018 19:00","27","0"
"08.01.2018 19:00 - 08.01.2018 20:00","0","45"
"08.01.2018 20:00 - 08.01.2018 21:00","0","83"
"08.01.2018 21:00 - 08.01.2018 22:00","0","170"
"08.01.2018 22:00 - 08.01.2018 23:00","0","297"
"08.01.2018 23:00 - 09.01.2018 00:00","0","331"
"09.01.2018 00:00 - 09.01.2018 01:00","0","266"
"09.01.2018 01:00 - 09.01.2018 02:00","0","257"
"09.01.2018 02:00 - 09.01.2018 03:00","0","263"
"09.01.2018 03:00 - 09.01.2018 04:00","0","286"
"09.01.2018 04:00 - 09.01.2018 05:00","0","269"
"09.01.2018 05:00 - 09.01.2018 06:00","0","280"
"09.01.2018 06:00 - 09.01.2018 07:00","0","311"
"09.01.2018 07:00 - 09.01.2018 08:00","0","241"
"09.01.2018 08:00 - 09.01.2018 09:00","0","140"
"09.01.2018 09:00 - 09.01.2018 10:00","0","152"
"09.01.2018 10:00 - 09.01.2018 11:00","0","134"
"09.01.2018 11:00 - 09.01.2018 12:00","0","90"
"09.01.2018 12:00 - 09.01.2018 13:00","0","76"
"09.01.2018 13:00 - 09.01.2018 14:00","0","46"
"09.01.2018 14:00 - 09.01.2018 15:00","0","47"
"09.01.2018 15:00 - 09.01.2018 16:00","4","0"
"09.01.2018 16:00 - 09.01.2018 17:00","80","0"
"09.01.2018 17:00 - 09.01.2018 18:00","79","0"
"09.01.2018 18:00 - 09.01.2018 19:00","58","0"
"09.01.2018 19:00 - 09.01.2018 20:00","49","0"
"09.01.2018 20:00 - 09.01.2018 21:00","0","15"
"09.01.2018 21:00 - 09.01.2018 22:00","0","100"
"09.01.2018 22:00 - 09.01.2018 23:00","0","314"
"09.01.2018 23:00 - 10.01.2018 00:00","0","371"
"10.01.2018 00:00 - 10.01.2018 01:00","0","383"
"10.01.2018 01:00 - 10.01.2018 02:00","0","356"
"10.01.2018 02:00 - 10.01.2018 03:00","0","336"
"10.01.2018 03:00 - 10.01.2018 04:00","0","358"
"10.01.2018 04:00 - 10.01.2018 05:00","0","330"
"10.01.2018 05:00 - 10.01.2018 06:00","0","358"
"10.01.2018 06:00 - 10.01.2018 07:00","0","245"
"10.01.2018 07:00 - 10.01.2018 08:00","0","7"
"10.01.2018 08:00 - 10.01.2018 09:00","0","1"
"10.01.2018 09:00 - 10.01.2018 10:00","0","1"
"10.01.2018 10:00 - 10.01.2018 11:00","0","27"
"10.01.2018 11:00 - 10.01.2018 12:00","36","0"
"10.01.2018 12:00 - 10.01.2018 13:00","0","29"
"10.01.2018 13:00 - 10.01.2018 14:00","0","55"
"10.01.2018 14:00 - 10.01.2018 15:00","0","84"
"10.01.2018 15:00 - 10.01.2018 16:00","0","25"
"10.01.2018 16:00 - 10.01.2018 17:00","14","0"
"10.01.2018 17:00 - 10.01.2018 18:00","44","0"
"10.01.2018 18:00 - 10.01.2018 19:00","6","0"
"10.01.2018 19:00 - 10.01.2018 20:00","0","19"
"10.01.2018 20:00 - 10.01.2018 21:00","0","107"
"10.01.2018 21:00 - 10.01.2018 22:00","0","173"
"10.01.2018 22:00 - 10.01.2018 23:00","0","341"
"10.01.2018 23:00 - 11.01.2018 00:00","0","437"
"11.01.2018 00:00 - 11.01.2018 01:00","0","334"
"11.01.2018 01:00 - 11.01.2018 02:00","0","322"
"11.01.2018 02:00 - 11.01.2018 03:00","0","334"
"11.01.2018 03:00 - 11.01.2018 04:00","0","310"
"11.01.2018 04:00 - 11.01.2018 05:00","0","340"
"11.01.2018 05:00 - 11.01.2018 06:00","0","216"
"11.01.2018 06:00 - 11.01.2018 07:00","0","268"
"11.01.2018 07:00 - 11.01.2018 08:00","0","10"
"11.01.2018 08:00 - 11.01.2018 09:00","0","45"
"11.01.2018 09:00 - 11.01.2018 10:00","0","6"
"11.01.2018 10:00 - 11.01.2018 11:00","0","56"
"11.01.2018 11:00 - 11.01.2018 12:00","0","56"
"11.01.2018 12:00 - 11.01.2018 13:00","0","58"
"11.01.2018 13:00 - 11.01.2018 14:00","0","30"
"11.01.2018 14:00 - 11.01.2018 15:00","0","49"
"11.01.2018 15:00 - 11.01.2018 16:00","2","0"
"11.01.2018 16:00 - 11.01.2018 17:00","0","4"
"11.01.2018 17:00 - 11.01.2018 18:00","22","0"
"11.01.2018 18:00 - 11.01.2018 19:00","0","25"
"11.01.2018 19:00 - 11.01.2018 20:00","0","59"
"11.01.2018 20:00 - 11.01.2018 21:00","0","114"
"11.01.2018 21:00 - 11.01.2018 22:00","0","165"
"11.01.2018 22:00 - 11.01.2018 23:00","0","374"
"11.01.2018 23:00 - 12.01.2018 00:00","0","457"
"12.01.2018 00:00 - 12.01.2018 01:00","0","317"
"12.01.2018 01:00 - 12.01.2018 02:00","0","323"
"12.01.2018 02:00 - 12.01.2018 03:00","0","289"
"12.01.2018 03:00 - 12.01.2018 04:00","0","310"
"12.01.2018 04:00 - 12.01.2018 05:00","0","306"
"12.01.2018 05:00 - 12.01.2018 06:00","0","214"
"12.01.2018 06:00 - 12.01.2018 07:00","0","152"
"12.01.2018 07:00 - 12.01.2018 08:00","29","0"
"12.01.2018 08:00 - 12.01.2018 09:00","17","0"
"12.01.2018 09:00 - 12.01.2018 10:00","32","0"
"12.01.2018 10:00 - 12.01.2018 11:00","0","37"
"12.01.2018 11:00 - 12.01.2018 12:00","0","66"
"12.01.2018 12:00 - 12.01.2018 13:00","0","41"
"12.01.2018 13:00 - 12.01.2018 14:00","0","21"
"12.01.2018 14:00 - 12.01.2018 15:00","0","38"
"12.01.2018 15:00 - 12.01.2018 16:00","0","46"
"12.01.2018 16:00 - 12.01.2018 17:00","0","8"
"12.01.2018 17:00 - 12.01.2018 18:00","0","28"
"12.01.2018 18:00 - 12.01.2018 19:00","0","47"
"12.01.2018 19:00 - 12.01.2018 20:00","0","56"
"12.01.2018 20:00 - 12.01.2018 21:00","0","160"
"12.01.2018 21:00 - 12.01.2018 22:00","0","245"
"12.01.2018 22:00 - 12.01.2018 23:00","0","476"
"12.01.2018 23:00 - 13.01.2018 00:00","0","478"
"13.01.2018 00:00 - 13.01.2018 01:00","0","400"
"13.01.2018 01:00 - 13.01.2018 02:00","0","345"
"13.01.2018 02:00 - 13.01.2018 03:00","0","345"
"13.01.2018 03:00 - 13.01.2018 04:00","0","320"
"13.01.2018 04:00 - 13.01.2018 05:00","0","391"
"13.01.2018 05:00 - 13.01.2018 06:00","0","385"
"13.01.2018 06:00 - 13.01.2018 07:00","0","398"
"13.01.2018 07:00 - 13.01.2018 08:00","0","316"
"13.01.2018 08:00 - 13.01.2018 09:00","0","382"
"13.01.2018 09:00 - 13.01.2018 10:00","0","278"
"13.01.2018 10:00 - 13.01.2018 11:00","0","384"
"13.01.2018 11:00 - 13.01.2018 12:00","0","380"
"13.01.2018 12:00 - 13.01.2018 13:00","0","393"
"13.01.2018 13:00 - 13.01.2018 14:00","0","405"
"13.01.2018 14:00 - 13.01.2018 15:00","0","505"
"13.01.2018 15:00 - 13.01.2018 16:00","0","397"
"13.01.2018 16:00 - 13.01.2018 17:00","0","392"
"13.01.2018 17:00 - 13.01.2018 18:00","0","275"
"13.01.2018 18:00 - 13.01.2018 19:00","0","280"
"13.01.2018 19:00 - 13.01.2018 20:00","0","373"
"13.01.2018 20:00 - 13.01.2018 21:00","0","457"
"13.01.2018 21:00 - 13.01.2018 22:00","0","454"
"13.01.2018 22:00 - 13.01.2018 23:00","0","541"
"13.01.2018 23:00 - 14.01.2018 00:00","0","494"
"14.01.2018 00:00 - 14.01.2018 01:00","0","522"
"14.01.2018 01:00 - 14.01.2018 02:00","0","527"
"14.01.2018 02:00 - 14.01.2018 03:00","0","553"
"14.01.2018 03:00 - 14.01.2018 04:00","0","543"
"14.01.2018 04:00 - 14.01.2018 05:00","0","554"
"14.01.2018 05:00 - 14.01.2018 06:00","0","509"
"14.01.2018 06:00 - 14.01.2018 07:00","0","474"
"14.01.2018 07:00 - 14.01.2018 08:00","0","480"
"14.01.2018 08:00 - 14.01.2018 09:00","0","541"
"14.01.2018 09:00 - 14.01.2018 10:00","0","515"
"14.01.2018 10:00 - 14.01.2018 11:00","0","597"
"14.01.2018 11:00 - 14.01.2018 12:00","0","542"
"14.01.2018 12:00 - 14.01.2018 13:00","0","525"
"14.01.2018 13:00 - 14.01.2018 14:00","0","600"
"14.01.2018 14:00 - 14.01.2018 15:00","0","586"
"14.01.2018 15:00 - 14.01.2018 16:00","0","535"
"14.01.2018 16:00 - 14.01.2018 17:00","0","490"
"14.01.2018 17:00 - 14.01.2018 18:00","0","166"
"14.01.2018 18:00 - 14.01.2018 19:00","0","138"
"14.01.2018 19:00 - 14.01.2018 20:00","0","150"
"14.01.2018 20:00 - 14.01.2018 21:00","0","220"
"14.01.2018 21:00 - 14.01.2018 22:00","0","358"
"14.01.2018 22:00 - 14.01.2018 23:00","0","525"
"14.01.2018 23:00 - 15.01.2018 00:00","0","506"
"15.01.2018 00:00 - 15.01.2018 01:00","0","394"
"15.01.2018 01:00 - 15.01.2018 02:00","0","326"
"15.01.2018 02:00 - 15.01.2018 03:00","0","343"
"15.01.2018 03:00 - 15.01.2018 04:00","0","323"
"15.01.2018 04:00 - 15.01.2018 05:00","0","314"
"15.01.2018 05:00 - 15.01.2018 06:00","0","258"
"15.01.2018 06:00 - 15.01.2018 07:00","0","169"
"15.01.2018 07:00 - 15.01.2018 08:00","112","0"
"15.01.2018 08:00 - 15.01.2018 09:00","103","0"
"15.01.2018 09:00 - 15.01.2018 10:00","108","0"
"15.01.2018 10:00 - 15.01.2018 11:00","56","0"
"15.01.2018 11:00 - 15.01.2018 12:00","41","0"
"15.01.2018 12:00 - 15.01.2018 13:00","28","0"
"15.01.2018 13:00 - 15.01.2018 14:00","33","0"
"15.01.2018 14:00 - 15.01.2018 15:00","7","0"
"15.01.2018 15:00 - 15.01.2018 16:00","31","0"
"15.01.2018 16:00 - 15.01.2018 17:00","55","0"
"15.01.2018 17:00 - 15.01.2018 18:00","96","0"
"15.01.2018 18:00 - 15.01.2018 19:00","62","0"
"15.01.2018 19:00 - 15.01.2018 20:00","50","0"
"15.01.2018 20:00 - 15.01.2018 21:00","0","50"
"15.01.2018 21:00 - 15.01.2018 22:00","0","67"
"15.01.2018 22:00 - 15.01.2018 23:00","0","305"
"15.01.2018 23:00 - 16.01.2018 00:00","0","386"
"16.01.2018 00:00 - 16.01.2018 01:00","0","358"
"16.01.2018 01:00 - 16.01.2018 02:00","0","415"
"16.01.2018 02:00 - 16.01.2018 03:00","0","380"
"16.01.2018 03:00 - 16.01.2018 04:00","0","337"
"16.01.2018 04:00 - 16.01.2018 05:00","0","239"
"16.01.2018 05:00 - 16.01.2018 06:00","0","338"
"16.01.2018 06:00 - 16.01.2018 07:00","0","87"
"16.01.2018 07:00 - 16.01.2018 08:00","113","0"
"16.01.2018 08:00 - 16.01.2018 09:00","105","0"
"16.01.2018 09:00 - 16.01.2018 10:00","65","0"
"16.01.2018 10:00 - 16.01.2018 11:00","0","12"
"16.01.2018 11:00 - 16.01.2018 12:00","0","35"
"16.01.2018 12:00 - 16.01.2018 13:00","0","40"
"16.01.2018 13:00 - 16.01.2018 14:00","0","24"
"16.01.2018 14:00 - 16.01.2018 15:00","0","38"
"16.01.2018 15:00 - 16.01.2018 16:00","0","36"
"16.01.2018 16:00 - 16.01.2018 17:00","0","13"
"16.01.2018 17:00 - 16.01.2018 18:00","10","0"
"16.01.2018 18:00 - 16.01.2018 19:00","7","0"
"16.01.2018 19:00 - 16.01.2018 20:00","0","65"
"16.01.2018 20:00 - 16.01.2018 21:00","0","259"
"16.01.2018 21:00 - 16.01.2018 22:00","0","449"
"16.01.2018 22:00 - 16.01.2018 23:00","0","623"
"16.01.2018 23:00 - 17.01.2018 00:00","0","510"
"17.01.2018 00:00 - 17.01.2018 01:00","0","493"
"17.01.2018 01:00 - 17.01.2018 02:00","0","462"
"17.01.2018 02:00 - 17.01.2018 03:00","0","476"
"17.01.2018 03:00 - 17.01.2018 04:00","0","459"
"17.01.2018 04:00 - 17.01.2018 05:00","0","466"
"17.01.2018 05:00 - 17.01.2018 06:00","0","362"
"17.01.2018 06:00 - 17.01.2018 07:00","0","329"
"17.01.2018 07:00 - 17.01.2018 08:00","3","0"
"17.01.2018 08:00 - 17.01.2018 09:00","101","0"
"17.01.2018 09:00 - 17.01.2018 10:00","77","0"
"17.01.2018 10:00 - 17.01.2018 11:00","28","0"
"17.01.2018 11:00 - 17.01.2018 12:00","39","0"
"17.01.2018 12:00 - 17.01.2018 13:00","68","0"
"17.01.2018 13:00 - 17.01.2018 14:00","36","0"
"17.01.2018 14:00 - 17.01.2018 15:00","19","0"
"17.01.2018 15:00 - 17.01.2018 16:00","0","54"
"17.01.2018 16:00 - 17.01.2018 17:00","0","88"
"17.01.2018 17:00 - 17.01.2018 18:00","0","73"
"17.01.2018 18:00 - 17.01.2018 19:00","0","74"
"17.01.2018 19:00 - 17.01.2018 20:00","0","97"
"17.01.2018 20:00 - 17.01.2018 21:00","0","242"
"17.01.2018 21:00 - 17.01.2018 22:00","0","433"
"17.01.2018 22:00 - 17.01.2018 23:00","0","531"
"17.01.2018 23:00 - 18.01.2018 00:00","0","511"
"18.01.2018 00:00 - 18.01.2018 01:00","0","494"
"18.01.2018 01:00 - 18.01.2018 02:00","0","501"
"18.01.2018 02:00 - 18.01.2018 03:00","0","520"
"18.01.2018 03:00 - 18.01.2018 04:00","0","579"
"18.01.2018 04:00 - 18.01.2018 05:00","0","572"
"18.01.2018 05:00 - 18.01.2018 06:00","0","456"
"18.01.2018 06:00 - 18.01.2018 07:00","0","374"
"18.01.2018 07:00 - 18.01.2018 08:00","0","167"
"18.01.2018 08:00 - 18.01.2018 09:00","0","100"
"18.01.2018 09:00 - 18.01.2018 10:00","0","125"
"18.01.2018 10:00 - 18.01.2018 11:00","0","156"
"18.01.2018 11:00 - 18.01.2018 12:00","0","153"
"18.01.2018 12:00 - 18.01.2018 13:00","0","196"
"18.01.2018 13:00 - 18.01.2018 14:00","0","226"
"18.01.2018 14:00 - 18.01.2018 15:00","0","254"
"18.01.2018 15:00 - 18.01.2018 16:00","0","215"
"18.01.2018 16:00 - 18.01.2018 17:00","0","174"
"18.01.2018 17:00 - 18.01.2018 18:00","0","179"
"18.01.2018 18:00 - 18.01.2018 19:00","0","231"
"18.01.2018 19:00 - 18.01.2018 20:00","0","254"
"18.01.2018 20:00 - 18.01.2018 21:00","0","320"
"18.01.2018 21:00 - 18.01.2018 22:00","0","455"
"18.01.2018 22:00 - 18.01.2018 23:00","0","418"
"18.01.2018 23:00 - 19.01.2018 00:00","0","541"
"19.01.2018 00:00 - 19.01.2018 01:00","0","492"
"19.01.2018 01:00 - 19.01.2018 02:00","0","463"
"19.01.2018 02:00 - 19.01.2018 03:00","0","428"
"19.01.2018 03:00 - 19.01.2018 04:00","0","404"
"19.01.2018 04:00 - 19.01.2018 05:00","0","306"
"19.01.2018 05:00 - 19.01.2018 06:00","0","370"
"19.01.2018 06:00 - 19.01.2018 07:00","0","251"
"19.01.2018 07:00 - 19.01.2018 08:00","0","92"
"19.01.2018 08:00 - 19.01.2018 09:00","32","0"
"19.01.2018 09:00 - 19.01.2018 10:00","0","20"
"19.01.2018 10:00 - 19.01.2018 11:00","0","66"
"19.01.2018 11:00 - 19.01.2018 12:00","0","91"
"19.01.2018 12:00 - 19.01.2018 13:00","0","145"
"19.01.2018 13:00 - 19.01.2018 14:00","0","147"
"19.01.2018 14:00 - 19.01.2018 15:00","0","145"
"19.01.2018 15:00 - 19.01.2018 16:00","0","134"
"19.01.2018 16:00 - 19.01.2018 17:00","0","63"
"19.01.2018 17:00 - 19.01.2018 18:00","32","0"
"19.01.2018 18:00 - 19.01.2018 19:00","10","0"
"19.01.2018 19:00 - 19.01.2018 20:00","0","39"
"19.01.2018 20:00 - 19.01.2018 21:00","0","157"
"19.01.2018 21:00 - 19.01.2018 22:00","0","192"
"19.01.2018 22:00 - 19.01.2018 23:00","0","267"
"19.01.2018 23:00 - 20.01.2018 00:00","0","351"
"20.01.2018 00:00 - 20.01.2018 01:00","0","245"
"20.01.2018 01:00 - 20.01.2018 02:00","0","243"
"20.01.2018 02:00 - 20.01.2018 03:00","0","237"
"20.01.2018 03:00 - 20.01.2018 04:00","0","217"
"20.01.2018 04:00 - 20.01.2018 05:00","0","274"
"20.01.2018 05:00 - 20.01.2018 06:00","0","226"
