"Time (CET)","Germany (DE) > Czech Republic (CZ) [MW]","Czech Republic (CZ) > Germany (DE) [MW]"
"06.01.2018 05:00 - 06.01.2018 06:00","281","0"
"06.01.2018 06:00 - 06.01.2018 07:00","251","0"
"06.01.2018 07:00 - 06.01.2018 08:00","125","0"
"06.01.2018 08:00 - 06.01.2018 09:00","192","0"
"06.01.2018 09:00 - 06.01.2018 10:00","0","131"
"06.01.2018 10:00 - 06.01.2018 11:00","0","258"
"06.01.2018 11:00 - 06.01.2018 12:00","0","376"
"06.01.2018 12:00 - 06.01.2018 13:00","0","587"
"06.01.2018 13:00 - 06.01.2018 14:00","0","601"
"06.01.2018 14:00 - 06.01.2018 15:00","0","656"
"06.01.2018 15:00 - 06.01.2018 16:00","0","561"
"06.01.2018 16:00 - 06.01.2018 17:00","0","504"
"06.01.2018 17:00 - 06.01.2018 18:00","0","900"
"06.01.2018 18:00 - 06.01.2018 19:00","0","1459"
"06.01.2018 19:00 - 06.01.2018 20:00","0","990"
"06.01.2018 20:00 - 06.01.2018 21:00","0","682"
"06.01.2018 21:00 - 06.01.2018 22:00","0","636"
"06.01.2018 22:00 - 06.01.2018 23:00","0","646"
"06.01.2018 23:00 - 07.01.2018 00:00","0","646"
"07.01.2018 00:00 - 07.01.2018 01:00","0","133"
"07.01.2018 01:00 - 07.01.2018 02:00","31","0"
"07.01.2018 02:00 - 07.01.2018 03:00","354","0"
"07.01.2018 03:00 - 07.01.2018 04:00","110","0"
"07.01.2018 04:00 - 07.01.2018 05:00","183","0"
"07.01.2018 05:00 - 07.01.2018 06:00","531","0"
"07.01.2018 06:00 - 07.01.2018 07:00","690","0"
"07.01.2018 07:00 - 07.01.2018 08:00","593","0"
"07.01.2018 08:00 - 07.01.2018 09:00","341","0"
"07.01.2018 09:00 - 07.01.2018 10:00","979","0"
"07.01.2018 10:00 - 07.01.2018 11:00","1208","0"
"07.01.2018 11:00 - 07.01.2018 12:00","1055","0"
"07.01.2018 12:00 - 07.01.2018 13:00","740","0"
"07.01.2018 13:00 - 07.01.2018 14:00","842","0"
"07.01.2018 14:00 - 07.01.2018 15:00","731","0"
"07.01.2018 15:00 - 07.01.2018 16:00","807","0"
"07.01.2018 16:00 - 07.01.2018 17:00","1187","0"
"07.01.2018 17:00 - 07.01.2018 18:00","1083","0"
"07.01.2018 18:00 - 07.01.2018 19:00","1055","0"
"07.01.2018 19:00 - 07.01.2018 20:00","929","0"
"07.01.2018 20:00 - 07.01.2018 21:00","925","0"
"07.01.2018 21:00 - 07.01.2018 22:00","600","0"
"07.01.2018 22:00 - 07.01.2018 23:00","437","0"
"07.01.2018 23:00 - 08.01.2018 00:00","51","0"
"08.01.2018 00:00 - 08.01.2018 01:00","373","0"
"08.01.2018 01:00 - 08.01.2018 02:00","363","0"
"08.01.2018 02:00 - 08.01.2018 03:00","319","0"
"08.01.2018 03:00 - 08.01.2018 04:00","196","0"
"08.01.2018 04:00 - 08.01.2018 05:00","367","0"
"08.01.2018 05:00 - 08.01.2018 06:00","1152","0"
"08.01.2018 06:00 - 08.01.2018 07:00","1288","0"
"08.01.2018 07:00 - 08.01.2018 08:00","1082","0"
"08.01.2018 08:00 - 08.01.2018 09:00","1029","0"
"08.01.2018 09:00 - 08.01.2018 10:00","1156","0"
"08.01.2018 10:00 - 08.01.2018 11:00","1181","0"
"08.01.2018 11:00 - 08.01.2018 12:00","1112","0"
"08.01.2018 12:00 - 08.01.2018 13:00","1214","0"
"08.01.2018 13:00 - 08.01.2018 14:00","1143","0"
"08.01.2018 14:00 - 08.01.2018 15:00","1033","0"
"08.01.2018 15:00 - 08.01.2018 16:00","1126","0"
"08.01.2018 16:00 - 08.01.2018 17:00","1428","0"
"08.01.2018 17:00 - 08.01.2018 18:00","1258","0"
"08.01.2018 18:00 - 08.01.2018 19:00","1176","0"
"08.01.2018 19:00 - 08.01.2018 20:00","1224","0"
"08.01.2018 20:00 - 08.01.2018 21:00","1287","0"
"08.01.2018 21:00 - 08.01.2018 22:00","1104","0"
"08.01.2018 22:00 - 08.01.2018 23:00","581","0"
"08.01.2018 23:00 - 09.01.2018 00:00","572","0"
"09.01.2018 00:00 - 09.01.2018 01:00","830","0"
"09.01.2018 01:00 - 09.01.2018 02:00","604","0"
"09.01.2018 02:00 - 09.01.2018 03:00","435","0"
"09.01.2018 03:00 - 09.01.2018 04:00","305","0"
"09.01.2018 04:00 - 09.01.2018 05:00","410","0"
"09.01.2018 05:00 - 09.01.2018 06:00","623","0"
"09.01.2018 06:00 - 09.01.2018 07:00","689","0"
"09.01.2018 07:00 - 09.01.2018 08:00","646","0"
"09.01.2018 08:00 - 09.01.2018 09:00","565","0"
"09.01.2018 09:00 - 09.01.2018 10:00","746","0"
"09.01.2018 10:00 - 09.01.2018 11:00","733","0"
"09.01.2018 11:00 - 09.01.2018 12:00","642","0"
"09.01.2018 12:00 - 09.01.2018 13:00","438","0"
"09.01.2018 13:00 - 09.01.2018 14:00","25","0"
"09.01.2018 14:00 - 09.01.2018 15:00","0","65"
"09.01.2018 15:00 - 09.01.2018 16:00","3","0"
"09.01.2018 16:00 - 09.01.2018 17:00","304","0"
"09.01.2018 17:00 - 09.01.2018 18:00","0","135"
"09.01.2018 18:00 - 09.01.2018 19:00","0","370"
"09.01.2018 19:00 - 09.01.2018 20:00","0","388"
"09.01.2018 20:00 - 09.01.2018 21:00","0","488"
"09.01.2018 21:00 - 09.01.2018 22:00","0","896"
"09.01.2018 22:00 - 09.01.2018 23:00","0","1164"
"09.01.2018 23:00 - 10.01.2018 00:00","0","1253"
"10.01.2018 00:00 - 10.01.2018 01:00","0","943"
"10.01.2018 01:00 - 10.01.2018 02:00","0","1159"
"10.01.2018 02:00 - 10.01.2018 03:00","0","1271"
"10.01.2018 03:00 - 10.01.2018 04:00","0","1340"
"10.01.2018 04:00 - 10.01.2018 05:00","0","1185"
"10.01.2018 05:00 - 10.01.2018 06:00","0","789"
"10.01.2018 06:00 - 10.01.2018 07:00","0","644"
"10.01.2018 07:00 - 10.01.2018 08:00","0","488"
"10.01.2018 08:00 - 10.01.2018 09:00","0","1087"
"10.01.2018 09:00 - 10.01.2018 10:00","0","1025"
"10.01.2018 10:00 - 10.01.2018 11:00","0","540"
"10.01.2018 11:00 - 10.01.2018 12:00","0","408"
"10.01.2018 12:00 - 10.01.2018 13:00","0","453"
"10.01.2018 13:00 - 10.01.2018 14:00","0","517"
"10.01.2018 14:00 - 10.01.2018 15:00","0","576"
"10.01.2018 15:00 - 10.01.2018 16:00","0","705"
"10.01.2018 16:00 - 10.01.2018 17:00","0","575"
"10.01.2018 17:00 - 10.01.2018 18:00","0","954"
"10.01.2018 18:00 - 10.01.2018 19:00","0","1139"
"10.01.2018 19:00 - 10.01.2018 20:00","0","882"
"10.01.2018 20:00 - 10.01.2018 21:00","0","985"
"10.01.2018 21:00 - 10.01.2018 22:00","0","1187"
"10.01.2018 22:00 - 10.01.2018 23:00","0","1295"
"10.01.2018 23:00 - 11.01.2018 00:00","0","1707"
"11.01.2018 00:00 - 11.01.2018 01:00","0","1320"
"11.01.2018 01:00 - 11.01.2018 02:00","0","1314"
"11.01.2018 02:00 - 11.01.2018 03:00","0","1513"
"11.01.2018 03:00 - 11.01.2018 04:00","0","1580"
"11.01.2018 04:00 - 11.01.2018 05:00","0","1420"
"11.01.2018 05:00 - 11.01.2018 06:00","0","1166"
"11.01.2018 06:00 - 11.01.2018 07:00","0","1026"
"11.01.2018 07:00 - 11.01.2018 08:00","0","1029"
"11.01.2018 08:00 - 11.01.2018 09:00","0","1279"
"11.01.2018 09:00 - 11.01.2018 10:00","0","1220"
"11.01.2018 10:00 - 11.01.2018 11:00","0","1115"
"11.01.2018 11:00 - 11.01.2018 12:00","0","1062"
"11.01.2018 12:00 - 11.01.2018 13:00","0","712"
"11.01.2018 13:00 - 11.01.2018 14:00","0","541"
"11.01.2018 14:00 - 11.01.2018 15:00","0","492"
"11.01.2018 15:00 - 11.01.2018 16:00","0","599"
"11.01.2018 16:00 - 11.01.2018 17:00","0","553"
"11.01.2018 17:00 - 11.01.2018 18:00","0","868"
"11.01.2018 18:00 - 11.01.2018 19:00","0","1093"
"11.01.2018 19:00 - 11.01.2018 20:00","0","1120"
"11.01.2018 20:00 - 11.01.2018 21:00","0","960"
"11.01.2018 21:00 - 11.01.2018 22:00","0","1421"
"11.01.2018 22:00 - 11.01.2018 23:00","0","1675"
"11.01.2018 23:00 - 12.01.2018 00:00","0","1719"
"12.01.2018 00:00 - 12.01.2018 01:00","0","1590"
"12.01.2018 01:00 - 12.01.2018 02:00","0","1692"
"12.01.2018 02:00 - 12.01.2018 03:00","0","1790"
"12.01.2018 03:00 - 12.01.2018 04:00","0","1782"
"12.01.2018 04:00 - 12.01.2018 05:00","0","1515"
"12.01.2018 05:00 - 12.01.2018 06:00","0","1104"
"12.01.2018 06:00 - 12.01.2018 07:00","0","617"
"12.01.2018 07:00 - 12.01.2018 08:00","0","911"
"12.01.2018 08:00 - 12.01.2018 09:00","0","975"
"12.01.2018 09:00 - 12.01.2018 10:00","0","753"
"12.01.2018 10:00 - 12.01.2018 11:00","0","641"
"12.01.2018 11:00 - 12.01.2018 12:00","0","622"
"12.01.2018 12:00 - 12.01.2018 13:00","0","638"
"12.01.2018 13:00 - 12.01.2018 14:00","0","514"
"12.01.2018 14:00 - 12.01.2018 15:00","0","382"
"12.01.2018 15:00 - 12.01.2018 16:00","0","357"
"12.01.2018 16:00 - 12.01.2018 17:00","0","164"
"12.01.2018 17:00 - 12.01.2018 18:00","0","458"
"12.01.2018 18:00 - 12.01.2018 19:00","0","587"
"12.01.2018 19:00 - 12.01.2018 20:00","0","573"
"12.01.2018 20:00 - 12.01.2018 21:00","0","463"
"12.01.2018 21:00 - 12.01.2018 22:00","0","584"
"12.01.2018 22:00 - 12.01.2018 23:00","0","780"
"12.01.2018 23:00 - 13.01.2018 00:00","0","981"
"13.01.2018 00:00 - 13.01.2018 01:00","0","999"
"13.01.2018 01:00 - 13.01.2018 02:00","0","1092"
"13.01.2018 02:00 - 13.01.2018 03:00","0","798"
"13.01.2018 03:00 - 13.01.2018 04:00","0","726"
"13.01.2018 04:00 - 13.01.2018 05:00","0","758"
"13.01.2018 05:00 - 13.01.2018 06:00","0","529"
"13.01.2018 06:00 - 13.01.2018 07:00","0","424"
"13.01.2018 07:00 - 13.01.2018 08:00","0","124"
"13.01.2018 08:00 - 13.01.2018 09:00","118","0"
"13.01.2018 09:00 - 13.01.2018 10:00","199","0"
"13.01.2018 10:00 - 13.01.2018 11:00","398","0"
"13.01.2018 11:00 - 13.01.2018 12:00","274","0"
"13.01.2018 12:00 - 13.01.2018 13:00","435","0"
"13.01.2018 13:00 - 13.01.2018 14:00","445","0"
"13.01.2018 14:00 - 13.01.2018 15:00","655","0"
"13.01.2018 15:00 - 13.01.2018 16:00","680","0"
"13.01.2018 16:00 - 13.01.2018 17:00","1046","0"
"13.01.2018 17:00 - 13.01.2018 18:00","913","0"
"13.01.2018 18:00 - 13.01.2018 19:00","678","0"
"13.01.2018 19:00 - 13.01.2018 20:00","564","0"
"13.01.2018 20:00 - 13.01.2018 21:00","461","0"
"13.01.2018 21:00 - 13.01.2018 22:00","78","0"
"13.01.2018 22:00 - 13.01.2018 23:00","0","38"
"13.01.2018 23:00 - 14.01.2018 00:00","0","324"
"14.01.2018 00:00 - 14.01.2018 01:00","0","429"
"14.01.2018 01:00 - 14.01.2018 02:00","0","580"
"14.01.2018 02:00 - 14.01.2018 03:00","0","698"
"14.01.2018 03:00 - 14.01.2018 04:00","0","417"
"14.01.2018 04:00 - 14.01.2018 05:00","0","426"
"14.01.2018 05:00 - 14.01.2018 06:00","0","328"
"14.01.2018 06:00 - 14.01.2018 07:00","0","135"
"14.01.2018 07:00 - 14.01.2018 08:00","0","263"
"14.01.2018 08:00 - 14.01.2018 09:00","0","131"
"14.01.2018 09:00 - 14.01.2018 10:00","360","0"
"14.01.2018 10:00 - 14.01.2018 11:00","763","0"
"14.01.2018 11:00 - 14.01.2018 12:00","818","0"
"14.01.2018 12:00 - 14.01.2018 13:00","819","0"
"14.01.2018 13:00 - 14.01.2018 14:00","784","0"
"14.01.2018 14:00 - 14.01.2018 15:00","825","0"
"14.01.2018 15:00 - 14.01.2018 16:00","950","0"
"14.01.2018 16:00 - 14.01.2018 17:00","1306","0"
"14.01.2018 17:00 - 14.01.2018 18:00","914","0"
"14.01.2018 18:00 - 14.01.2018 19:00","703","0"
"14.01.2018 19:00 - 14.01.2018 20:00","775","0"
"14.01.2018 20:00 - 14.01.2018 21:00","870","0"
"14.01.2018 21:00 - 14.01.2018 22:00","752","0"
"14.01.2018 22:00 - 14.01.2018 23:00","589","0"
"14.01.2018 23:00 - 15.01.2018 00:00","512","0"
"15.01.2018 00:00 - 15.01.2018 01:00","461","0"
"15.01.2018 01:00 - 15.01.2018 02:00","641","0"
"15.01.2018 02:00 - 15.01.2018 03:00","558","0"
"15.01.2018 03:00 - 15.01.2018 04:00","454","0"
"15.01.2018 04:00 - 15.01.2018 05:00","808","0"
"15.01.2018 05:00 - 15.01.2018 06:00","1178","0"
"15.01.2018 06:00 - 15.01.2018 07:00","1470","0"
"15.01.2018 07:00 - 15.01.2018 08:00","1167","0"
"15.01.2018 08:00 - 15.01.2018 09:00","1308","0"
"15.01.2018 09:00 - 15.01.2018 10:00","1545","0"
"15.01.2018 10:00 - 15.01.2018 11:00","1730","0"
"15.01.2018 11:00 - 15.01.2018 12:00","1781","0"
"15.01.2018 12:00 - 15.01.2018 13:00","1955","0"
"15.01.2018 13:00 - 15.01.2018 14:00","1903","0"
"15.01.2018 14:00 - 15.01.2018 15:00","1921","0"
"15.01.2018 15:00 - 15.01.2018 16:00","1680","0"
"15.01.2018 16:00 - 15.01.2018 17:00","1660","0"
"15.01.2018 17:00 - 15.01.2018 18:00","1670","0"
"15.01.2018 18:00 - 15.01.2018 19:00","1495","0"
"15.01.2018 19:00 - 15.01.2018 20:00","1551","0"
"15.01.2018 20:00 - 15.01.2018 21:00","1302","0"
"15.01.2018 21:00 - 15.01.2018 22:00","1277","0"
"15.01.2018 22:00 - 15.01.2018 23:00","1518","0"
"15.01.2018 23:00 - 16.01.2018 00:00","1865","0"
"16.01.2018 00:00 - 16.01.2018 01:00","1748","0"
"16.01.2018 01:00 - 16.01.2018 02:00","1759","0"
"16.01.2018 02:00 - 16.01.2018 03:00","1782","0"
"16.01.2018 03:00 - 16.01.2018 04:00","1608","0"
"16.01.2018 04:00 - 16.01.2018 05:00","1671","0"
"16.01.2018 05:00 - 16.01.2018 06:00","1509","0"
"16.01.2018 06:00 - 16.01.2018 07:00","1525","0"
"16.01.2018 07:00 - 16.01.2018 08:00","1345","0"
"16.01.2018 08:00 - 16.01.2018 09:00","1407","0"
"16.01.2018 09:00 - 16.01.2018 10:00","1106","0"
"16.01.2018 10:00 - 16.01.2018 11:00","1252","0"
"16.01.2018 11:00 - 16.01.2018 12:00","1293","0"
"16.01.2018 12:00 - 16.01.2018 13:00","1125","0"
"16.01.2018 13:00 - 16.01.2018 14:00","1177","0"
"16.01.2018 14:00 - 16.01.2018 15:00","1440","0"
"16.01.2018 15:00 - 16.01.2018 16:00","1506","0"
"16.01.2018 16:00 - 16.01.2018 17:00","1504","0"
"16.01.2018 17:00 - 16.01.2018 18:00","1396","0"
"16.01.2018 18:00 - 16.01.2018 19:00","1305","0"
"16.01.2018 19:00 - 16.01.2018 20:00","1239","0"
"16.01.2018 20:00 - 16.01.2018 21:00","1292","0"
"16.01.2018 21:00 - 16.01.2018 22:00","1171","0"
"16.01.2018 22:00 - 16.01.2018 23:00","773","0"
"16.01.2018 23:00 - 17.01.2018 00:00","593","0"
"17.01.2018 00:00 - 17.01.2018 01:00","461","0"
"17.01.2018 01:00 - 17.01.2018 02:00","444","0"
"17.01.2018 02:00 - 17.01.2018 03:00","298","0"
"17.01.2018 03:00 - 17.01.2018 04:00","127","0"
"17.01.2018 04:00 - 17.01.2018 05:00","191","0"
"17.01.2018 05:00 - 17.01.2018 06:00","791","0"
"17.01.2018 06:00 - 17.01.2018 07:00","1162","0"
"17.01.2018 07:00 - 17.01.2018 08:00","1112","0"
"17.01.2018 08:00 - 17.01.2018 09:00","1040","0"
"17.01.2018 09:00 - 17.01.2018 10:00","1040","0"
"17.01.2018 10:00 - 17.01.2018 11:00","1261","0"
"17.01.2018 11:00 - 17.01.2018 12:00","1010","0"
"17.01.2018 12:00 - 17.01.2018 13:00","869","0"
"17.01.2018 13:00 - 17.01.2018 14:00","985","0"
"17.01.2018 14:00 - 17.01.2018 15:00","959","0"
"17.01.2018 15:00 - 17.01.2018 16:00","936","0"
"17.01.2018 16:00 - 17.01.2018 17:00","748","0"
"17.01.2018 17:00 - 17.01.2018 18:00","837","0"
"17.01.2018 18:00 - 17.01.2018 19:00","638","0"
"17.01.2018 19:00 - 17.01.2018 20:00","781","0"
"17.01.2018 20:00 - 17.01.2018 21:00","1017","0"
"17.01.2018 21:00 - 17.01.2018 22:00","1061","0"
"17.01.2018 22:00 - 17.01.2018 23:00","911","0"
"17.01.2018 23:00 - 18.01.2018 00:00","1178","0"
"18.01.2018 00:00 - 18.01.2018 01:00","815","0"
"18.01.2018 01:00 - 18.01.2018 02:00","740","0"
"18.01.2018 02:00 - 18.01.2018 03:00","635","0"
"18.01.2018 03:00 - 18.01.2018 04:00","554","0"
"18.01.2018 04:00 - 18.01.2018 05:00","533","0"
"18.01.2018 05:00 - 18.01.2018 06:00","551","0"
"18.01.2018 06:00 - 18.01.2018 07:00","1043","0"
"18.01.2018 07:00 - 18.01.2018 08:00","1042","0"
"18.01.2018 08:00 - 18.01.2018 09:00","1154","0"
"18.01.2018 09:00 - 18.01.2018 10:00","1348","0"
"18.01.2018 10:00 - 18.01.2018 11:00","1417","0"
"18.01.2018 11:00 - 18.01.2018 12:00","1313","0"
"18.01.2018 12:00 - 18.01.2018 13:00","1203","0"
"18.01.2018 13:00 - 18.01.2018 14:00","1166","0"
"18.01.2018 14:00 - 18.01.2018 15:00","1055","0"
"18.01.2018 15:00 - 18.01.2018 16:00","910","0"
"18.01.2018 16:00 - 18.01.2018 17:00","540","0"
"18.01.2018 17:00 - 18.01.2018 18:00","158","0"
"18.01.2018 18:00 - 18.01.2018 19:00","0","13"
"18.01.2018 19:00 - 18.01.2018 20:00","0","11"
"18.01.2018 20:00 - 18.01.2018 21:00","519","0"
"18.01.2018 21:00 - 18.01.2018 22:00","434","0"
"18.01.2018 22:00 - 18.01.2018 23:00","0","78"
"18.01.2018 23:00 - 19.01.2018 00:00","0","333"
"19.01.2018 00:00 - 19.01.2018 01:00","0","352"
"19.01.2018 01:00 - 19.01.2018 02:00","0","400"
"19.01.2018 02:00 - 19.01.2018 03:00","0","565"
"19.01.2018 03:00 - 19.01.2018 04:00","0","634"
"19.01.2018 04:00 - 19.01.2018 05:00","0","621"
"19.01.2018 05:00 - 19.01.2018 06:00","0","249"
"19.01.2018 06:00 - 19.01.2018 07:00","159","0"
"19.01.2018 07:00 - 19.01.2018 08:00","0","416"
"19.01.2018 08:00 - 19.01.2018 09:00","0","407"
"19.01.2018 09:00 - 19.01.2018 10:00","0","166"
"19.01.2018 10:00 - 19.01.2018 11:00","0","91"
"19.01.2018 11:00 - 19.01.2018 12:00","58","0"
"19.01.2018 12:00 - 19.01.2018 13:00","142","0"
"19.01.2018 13:00 - 19.01.2018 14:00","108","0"
"19.01.2018 14:00 - 19.01.2018 15:00","31","0"
"19.01.2018 15:00 - 19.01.2018 16:00","264","0"
"19.01.2018 16:00 - 19.01.2018 17:00","242","0"
"19.01.2018 17:00 - 19.01.2018 18:00","143","0"
"19.01.2018 18:00 - 19.01.2018 19:00","0","102"
"19.01.2018 19:00 - 19.01.2018 20:00","110","0"
"19.01.2018 20:00 - 19.01.2018 21:00","409","0"
"19.01.2018 21:00 - 19.01.2018 22:00","541","0"
"19.01.2018 22:00 - 19.01.2018 23:00","299","0"
"19.01.2018 23:00 - 20.01.2018 00:00","0","65"
