"Time (CET)","Belarus (BY) > Lithuania (LT) [MW]","Lithuania (LT) > Belarus (BY) [MW]"
"03.01.2018 07:00 - 03.01.2018 08:00","135","0"
"03.01.2018 08:00 - 03.01.2018 09:00","190","0"
"03.01.2018 09:00 - 03.01.2018 10:00","253","0"
"03.01.2018 10:00 - 03.01.2018 11:00","287","0"
"03.01.2018 11:00 - 03.01.2018 12:00","214","0"
"03.01.2018 12:00 - 03.01.2018 13:00","240","0"
"03.01.2018 13:00 - 03.01.2018 14:00","199","0"
"03.01.2018 14:00 - 03.01.2018 15:00","224","0"
"03.01.2018 15:00 - 03.01.2018 16:00","282","0"
"03.01.2018 16:00 - 03.01.2018 17:00","340","0"
"03.01.2018 17:00 - 03.01.2018 18:00","256","0"
"03.01.2018 18:00 - 03.01.2018 19:00","205","0"
"03.01.2018 19:00 - 03.01.2018 20:00","201","0"
"03.01.2018 20:00 - 03.01.2018 21:00","208","0"
"03.01.2018 21:00 - 03.01.2018 22:00","146","0"
"03.01.2018 22:00 - 03.01.2018 23:00","29","0"
"03.01.2018 23:00 - 04.01.2018 00:00","0","20"
"04.01.2018 00:00 - 04.01.2018 01:00","0","69"
"04.01.2018 01:00 - 04.01.2018 02:00","0","42"
"04.01.2018 02:00 - 04.01.2018 03:00","0","79"
"04.01.2018 03:00 - 04.01.2018 04:00","0","110"
"04.01.2018 04:00 - 04.01.2018 05:00","0","103"
"04.01.2018 05:00 - 04.01.2018 06:00","0","113"
"04.01.2018 06:00 - 04.01.2018 07:00","0","64"
"04.01.2018 07:00 - 04.01.2018 08:00","48","0"
"04.01.2018 08:00 - 04.01.2018 09:00","276","0"
"04.01.2018 09:00 - 04.01.2018 10:00","358","0"
"04.01.2018 10:00 - 04.01.2018 11:00","267","0"
"04.01.2018 11:00 - 04.01.2018 12:00","N/A","N/A"
"04.01.2018 12:00 - 04.01.2018 13:00","N/A","N/A"
"04.01.2018 13:00 - 04.01.2018 14:00","N/A","N/A"
"04.01.2018 14:00 - 04.01.2018 15:00","N/A","N/A"
"04.01.2018 15:00 - 04.01.2018 16:00","N/A","N/A"
"04.01.2018 16:00 - 04.01.2018 17:00","248","0"
"04.01.2018 17:00 - 04.01.2018 18:00","312","0"
"04.01.2018 18:00 - 04.01.2018 19:00","301","0"
"04.01.2018 19:00 - 04.01.2018 20:00","266","0"
"04.01.2018 20:00 - 04.01.2018 21:00","228","0"
"04.01.2018 21:00 - 04.01.2018 22:00","176","0"
"04.01.2018 22:00 - 04.01.2018 23:00","229","0"
"04.01.2018 23:00 - 05.01.2018 00:00","0","5"
"05.01.2018 00:00 - 05.01.2018 01:00","0","69"
"05.01.2018 01:00 - 05.01.2018 02:00","0","29"
"05.01.2018 02:00 - 05.01.2018 03:00","0","36"
"05.01.2018 03:00 - 05.01.2018 04:00","0","1"
"05.01.2018 04:00 - 05.01.2018 05:00","0","125"
"05.01.2018 05:00 - 05.01.2018 06:00","0","122"
"05.01.2018 06:00 - 05.01.2018 07:00","0","127"
"05.01.2018 07:00 - 05.01.2018 08:00","45","0"
"05.01.2018 08:00 - 05.01.2018 09:00","235","0"
"05.01.2018 09:00 - 05.01.2018 10:00","318","0"
"05.01.2018 10:00 - 05.01.2018 11:00","364","0"
"05.01.2018 11:00 - 05.01.2018 12:00","390","0"
"05.01.2018 12:00 - 05.01.2018 13:00","425","0"
"05.01.2018 13:00 - 05.01.2018 14:00","433","0"
"05.01.2018 14:00 - 05.01.2018 15:00","437","0"
"05.01.2018 15:00 - 05.01.2018 16:00","429","0"
"05.01.2018 16:00 - 05.01.2018 17:00","429","0"
"05.01.2018 17:00 - 05.01.2018 18:00","347","0"
"05.01.2018 18:00 - 05.01.2018 19:00","309","0"
"05.01.2018 19:00 - 05.01.2018 20:00","245","0"
"05.01.2018 20:00 - 05.01.2018 21:00","193","0"
"05.01.2018 21:00 - 05.01.2018 22:00","63","0"
"05.01.2018 22:00 - 05.01.2018 23:00","143","0"
"05.01.2018 23:00 - 06.01.2018 00:00","112","0"
"06.01.2018 00:00 - 06.01.2018 01:00","0","9"
"06.01.2018 01:00 - 06.01.2018 02:00","0","115"
"06.01.2018 02:00 - 06.01.2018 03:00","0","144"
"06.01.2018 03:00 - 06.01.2018 04:00","0","192"
"06.01.2018 04:00 - 06.01.2018 05:00","0","258"
"06.01.2018 05:00 - 06.01.2018 06:00","0","253"
"06.01.2018 06:00 - 06.01.2018 07:00","0","267"
"06.01.2018 07:00 - 06.01.2018 08:00","0","204"
"06.01.2018 08:00 - 06.01.2018 09:00","0","154"
"06.01.2018 09:00 - 06.01.2018 10:00","0","33"
"06.01.2018 10:00 - 06.01.2018 11:00","105","0"
"06.01.2018 11:00 - 06.01.2018 12:00","162","0"
"06.01.2018 12:00 - 06.01.2018 13:00","189","0"
"06.01.2018 13:00 - 06.01.2018 14:00","181","0"
"06.01.2018 14:00 - 06.01.2018 15:00","161","0"
"06.01.2018 15:00 - 06.01.2018 16:00","106","0"
"06.01.2018 16:00 - 06.01.2018 17:00","183","0"
"06.01.2018 17:00 - 06.01.2018 18:00","209","0"
"06.01.2018 18:00 - 06.01.2018 19:00","278","0"
"06.01.2018 19:00 - 06.01.2018 20:00","314","0"
"06.01.2018 20:00 - 06.01.2018 21:00","262","0"
"06.01.2018 21:00 - 06.01.2018 22:00","216","0"
"06.01.2018 22:00 - 06.01.2018 23:00","255","0"
"06.01.2018 23:00 - 07.01.2018 00:00","132","0"
"07.01.2018 00:00 - 07.01.2018 01:00","43","0"
"07.01.2018 01:00 - 07.01.2018 02:00","0","3"
"07.01.2018 02:00 - 07.01.2018 03:00","0","3"
"07.01.2018 03:00 - 07.01.2018 04:00","0","7"
"07.01.2018 04:00 - 07.01.2018 05:00","0","69"
"07.01.2018 05:00 - 07.01.2018 06:00","0","73"
"07.01.2018 06:00 - 07.01.2018 07:00","0","107"
"07.01.2018 07:00 - 07.01.2018 08:00","0","65"
"07.01.2018 08:00 - 07.01.2018 09:00","0","37"
"07.01.2018 09:00 - 07.01.2018 10:00","25","0"
"07.01.2018 10:00 - 07.01.2018 11:00","85","0"
"07.01.2018 11:00 - 07.01.2018 12:00","79","0"
"07.01.2018 12:00 - 07.01.2018 13:00","89","0"
"07.01.2018 13:00 - 07.01.2018 14:00","69","0"
"07.01.2018 14:00 - 07.01.2018 15:00","88","0"
"07.01.2018 15:00 - 07.01.2018 16:00","164","0"
"07.01.2018 16:00 - 07.01.2018 17:00","224","0"
"07.01.2018 17:00 - 07.01.2018 18:00","186","0"
"07.01.2018 18:00 - 07.01.2018 19:00","208","0"
"07.01.2018 19:00 - 07.01.2018 20:00","147","0"
"07.01.2018 20:00 - 07.01.2018 21:00","127","0"
"07.01.2018 21:00 - 07.01.2018 22:00","94","0"
"07.01.2018 22:00 - 07.01.2018 23:00","104","0"
"07.01.2018 23:00 - 08.01.2018 00:00","19","0"
"08.01.2018 00:00 - 08.01.2018 01:00","0","170"
"08.01.2018 01:00 - 08.01.2018 02:00","0","85"
"08.01.2018 02:00 - 08.01.2018 03:00","0","110"
"08.01.2018 03:00 - 08.01.2018 04:00","0","104"
"08.01.2018 04:00 - 08.01.2018 05:00","0","133"
"08.01.2018 05:00 - 08.01.2018 06:00","0","28"
"08.01.2018 06:00 - 08.01.2018 07:00","125","0"
"08.01.2018 07:00 - 08.01.2018 08:00","257","0"
"08.01.2018 08:00 - 08.01.2018 09:00","247","0"
"08.01.2018 09:00 - 08.01.2018 10:00","285","0"
"08.01.2018 10:00 - 08.01.2018 11:00","332","0"
"08.01.2018 11:00 - 08.01.2018 12:00","321","0"
"08.01.2018 12:00 - 08.01.2018 13:00","333","0"
"08.01.2018 13:00 - 08.01.2018 14:00","372","0"
"08.01.2018 14:00 - 08.01.2018 15:00","366","0"
"08.01.2018 15:00 - 08.01.2018 16:00","389","0"
"08.01.2018 16:00 - 08.01.2018 17:00","424","0"
"08.01.2018 17:00 - 08.01.2018 18:00","423","0"
"08.01.2018 18:00 - 08.01.2018 19:00","418","0"
"08.01.2018 19:00 - 08.01.2018 20:00","405","0"
"08.01.2018 20:00 - 08.01.2018 21:00","298","0"
"08.01.2018 21:00 - 08.01.2018 22:00","291","0"
"08.01.2018 22:00 - 08.01.2018 23:00","296","0"
"08.01.2018 23:00 - 09.01.2018 00:00","195","0"
"09.01.2018 00:00 - 09.01.2018 01:00","59","0"
"09.01.2018 01:00 - 09.01.2018 02:00","24","0"
"09.01.2018 02:00 - 09.01.2018 03:00","38","0"
"09.01.2018 03:00 - 09.01.2018 04:00","0","120"
"09.01.2018 04:00 - 09.01.2018 05:00","0","277"
"09.01.2018 05:00 - 09.01.2018 06:00","0","327"
"09.01.2018 06:00 - 09.01.2018 07:00","0","322"
"09.01.2018 07:00 - 09.01.2018 08:00","0","208"
"09.01.2018 08:00 - 09.01.2018 09:00","0","102"
"09.01.2018 09:00 - 09.01.2018 10:00","0","136"
"09.01.2018 10:00 - 09.01.2018 11:00","0","72"
"09.01.2018 11:00 - 09.01.2018 12:00","0","71"
"09.01.2018 12:00 - 09.01.2018 13:00","0","32"
"09.01.2018 13:00 - 09.01.2018 14:00","0","0"
"09.01.2018 14:00 - 09.01.2018 15:00","0","144"
"09.01.2018 15:00 - 09.01.2018 16:00","0","207"
"09.01.2018 16:00 - 09.01.2018 17:00","0","223"
"09.01.2018 17:00 - 09.01.2018 18:00","0","204"
"09.01.2018 18:00 - 09.01.2018 19:00","0","224"
"09.01.2018 19:00 - 09.01.2018 20:00","92","0"
"09.01.2018 20:00 - 09.01.2018 21:00","130","0"
"09.01.2018 21:00 - 09.01.2018 22:00","72","0"
"09.01.2018 22:00 - 09.01.2018 23:00","0","59"
"09.01.2018 23:00 - 10.01.2018 00:00","0","68"
"10.01.2018 00:00 - 10.01.2018 01:00","0","42"
"10.01.2018 01:00 - 10.01.2018 02:00","0","29"
"10.01.2018 02:00 - 10.01.2018 03:00","0","56"
"10.01.2018 03:00 - 10.01.2018 04:00","0","47"
"10.01.2018 04:00 - 10.01.2018 05:00","0","281"
"10.01.2018 05:00 - 10.01.2018 06:00","0","527"
"10.01.2018 06:00 - 10.01.2018 07:00","0","509"
"10.01.2018 07:00 - 10.01.2018 08:00","0","419"
"10.01.2018 08:00 - 10.01.2018 09:00","0","314"
"10.01.2018 09:00 - 10.01.2018 10:00","0","302"
"10.01.2018 10:00 - 10.01.2018 11:00","0","222"
"10.01.2018 11:00 - 10.01.2018 12:00","0","276"
"10.01.2018 12:00 - 10.01.2018 13:00","0","214"
"10.01.2018 13:00 - 10.01.2018 14:00","0","235"
"10.01.2018 14:00 - 10.01.2018 15:00","0","234"
"10.01.2018 15:00 - 10.01.2018 16:00","0","272"
"10.01.2018 16:00 - 10.01.2018 17:00","0","211"
"10.01.2018 17:00 - 10.01.2018 18:00","0","214"
"10.01.2018 18:00 - 10.01.2018 19:00","0","190"
"10.01.2018 19:00 - 10.01.2018 20:00","57","0"
"10.01.2018 20:00 - 10.01.2018 21:00","167","0"
"10.01.2018 21:00 - 10.01.2018 22:00","197","0"
"10.01.2018 22:00 - 10.01.2018 23:00","237","0"
"10.01.2018 23:00 - 11.01.2018 00:00","196","0"
"11.01.2018 00:00 - 11.01.2018 01:00","189","0"
"11.01.2018 01:00 - 11.01.2018 02:00","133","0"
"11.01.2018 02:00 - 11.01.2018 03:00","63","0"
"11.01.2018 03:00 - 11.01.2018 04:00","0","17"
"11.01.2018 04:00 - 11.01.2018 05:00","0","188"
"11.01.2018 05:00 - 11.01.2018 06:00","0","239"
"11.01.2018 06:00 - 11.01.2018 07:00","0","310"
"11.01.2018 07:00 - 11.01.2018 08:00","0","206"
"11.01.2018 08:00 - 11.01.2018 09:00","0","128"
"11.01.2018 09:00 - 11.01.2018 10:00","0","70"
"11.01.2018 10:00 - 11.01.2018 11:00","77","0"
"11.01.2018 11:00 - 11.01.2018 12:00","123","0"
"11.01.2018 12:00 - 11.01.2018 13:00","137","0"
"11.01.2018 13:00 - 11.01.2018 14:00","0","48"
"11.01.2018 14:00 - 11.01.2018 15:00","50","0"
"11.01.2018 15:00 - 11.01.2018 16:00","0","95"
"11.01.2018 16:00 - 11.01.2018 17:00","0","30"
"11.01.2018 17:00 - 11.01.2018 18:00","88","0"
"11.01.2018 18:00 - 11.01.2018 19:00","144","0"
"11.01.2018 19:00 - 11.01.2018 20:00","298","0"
"11.01.2018 20:00 - 11.01.2018 21:00","217","0"
"11.01.2018 21:00 - 11.01.2018 22:00","173","0"
"11.01.2018 22:00 - 11.01.2018 23:00","307","0"
"11.01.2018 23:00 - 12.01.2018 00:00","219","0"
"12.01.2018 00:00 - 12.01.2018 01:00","68","0"
"12.01.2018 01:00 - 12.01.2018 02:00","152","0"
"12.01.2018 02:00 - 12.01.2018 03:00","120","0"
"12.01.2018 03:00 - 12.01.2018 04:00","0","57"
"12.01.2018 04:00 - 12.01.2018 05:00","0","220"
"12.01.2018 05:00 - 12.01.2018 06:00","0","405"
"12.01.2018 06:00 - 12.01.2018 07:00","0","332"
"12.01.2018 07:00 - 12.01.2018 08:00","0","182"
"12.01.2018 08:00 - 12.01.2018 09:00","0","258"
"12.01.2018 09:00 - 12.01.2018 10:00","0","203"
"12.01.2018 10:00 - 12.01.2018 11:00","0","210"
"12.01.2018 11:00 - 12.01.2018 12:00","0","152"
"12.01.2018 12:00 - 12.01.2018 13:00","0","24"
"12.01.2018 13:00 - 12.01.2018 14:00","0","72"
"12.01.2018 14:00 - 12.01.2018 15:00","0","138"
"12.01.2018 15:00 - 12.01.2018 16:00","0","135"
"12.01.2018 16:00 - 12.01.2018 17:00","0","169"
"12.01.2018 17:00 - 12.01.2018 18:00","0","196"
"12.01.2018 18:00 - 12.01.2018 19:00","0","186"
"12.01.2018 19:00 - 12.01.2018 20:00","0","27"
"12.01.2018 20:00 - 12.01.2018 21:00","102","0"
"12.01.2018 21:00 - 12.01.2018 22:00","151","0"
"12.01.2018 22:00 - 12.01.2018 23:00","360","0"
"12.01.2018 23:00 - 13.01.2018 00:00","365","0"
"13.01.2018 00:00 - 13.01.2018 01:00","334","0"
"13.01.2018 01:00 - 13.01.2018 02:00","261","0"
"13.01.2018 02:00 - 13.01.2018 03:00","226","0"
"13.01.2018 03:00 - 13.01.2018 04:00","164","0"
"13.01.2018 04:00 - 13.01.2018 05:00","66","0"
"13.01.2018 05:00 - 13.01.2018 06:00","11","0"
"13.01.2018 06:00 - 13.01.2018 07:00","N/A","N/A"
"13.01.2018 07:00 - 13.01.2018 08:00","111","0"
"13.01.2018 08:00 - 13.01.2018 09:00","321","0"
"13.01.2018 09:00 - 13.01.2018 10:00","353","0"
"13.01.2018 10:00 - 13.01.2018 11:00","340","0"
"13.01.2018 11:00 - 13.01.2018 12:00","337","0"
"13.01.2018 12:00 - 13.01.2018 13:00","299","0"
"13.01.2018 13:00 - 13.01.2018 14:00","292","0"
"13.01.2018 14:00 - 13.01.2018 15:00","253","0"
"13.01.2018 15:00 - 13.01.2018 16:00","194","0"
"13.01.2018 16:00 - 13.01.2018 17:00","105","0"
"13.01.2018 17:00 - 13.01.2018 18:00","337","0"
"13.01.2018 18:00 - 13.01.2018 19:00","372","0"
"13.01.2018 19:00 - 13.01.2018 20:00","336","0"
"13.01.2018 20:00 - 13.01.2018 21:00","288","0"
"13.01.2018 21:00 - 13.01.2018 22:00","277","0"
"13.01.2018 22:00 - 13.01.2018 23:00","442","0"
"13.01.2018 23:00 - 14.01.2018 00:00","356","0"
"14.01.2018 00:00 - 14.01.2018 01:00","43","0"
"14.01.2018 01:00 - 14.01.2018 02:00","0","15"
"14.01.2018 02:00 - 14.01.2018 03:00","0","50"
"14.01.2018 03:00 - 14.01.2018 04:00","0","56"
"14.01.2018 04:00 - 14.01.2018 05:00","0","7"
"14.01.2018 05:00 - 14.01.2018 06:00","0","68"
"14.01.2018 06:00 - 14.01.2018 07:00","0","27"
"14.01.2018 07:00 - 14.01.2018 08:00","0","24"
"14.01.2018 08:00 - 14.01.2018 09:00","0","12"
"14.01.2018 09:00 - 14.01.2018 10:00","175","0"
"14.01.2018 10:00 - 14.01.2018 11:00","173","0"
"14.01.2018 11:00 - 14.01.2018 12:00","129","0"
"14.01.2018 12:00 - 14.01.2018 13:00","149","0"
"14.01.2018 13:00 - 14.01.2018 14:00","166","0"
"14.01.2018 14:00 - 14.01.2018 15:00","167","0"
"14.01.2018 15:00 - 14.01.2018 16:00","270","0"
"14.01.2018 16:00 - 14.01.2018 17:00","258","0"
"14.01.2018 17:00 - 14.01.2018 18:00","246","0"
"14.01.2018 18:00 - 14.01.2018 19:00","242","0"
"14.01.2018 19:00 - 14.01.2018 20:00","185","0"
"14.01.2018 20:00 - 14.01.2018 21:00","161","0"
"14.01.2018 21:00 - 14.01.2018 22:00","216","0"
"14.01.2018 22:00 - 14.01.2018 23:00","245","0"
"14.01.2018 23:00 - 15.01.2018 00:00","77","0"
"15.01.2018 00:00 - 15.01.2018 01:00","0","43"
"15.01.2018 01:00 - 15.01.2018 02:00","5","0"
"15.01.2018 02:00 - 15.01.2018 03:00","38","0"
"15.01.2018 03:00 - 15.01.2018 04:00","0","57"
"15.01.2018 04:00 - 15.01.2018 05:00","0","186"
"15.01.2018 05:00 - 15.01.2018 06:00","0","246"
"15.01.2018 06:00 - 15.01.2018 07:00","0","229"
"15.01.2018 07:00 - 15.01.2018 08:00","0","206"
"15.01.2018 08:00 - 15.01.2018 09:00","0","108"
"15.01.2018 09:00 - 15.01.2018 10:00","0","43"
"15.01.2018 10:00 - 15.01.2018 11:00","107","0"
"15.01.2018 11:00 - 15.01.2018 12:00","51","0"
"15.01.2018 12:00 - 15.01.2018 13:00","52","0"
"15.01.2018 13:00 - 15.01.2018 14:00","28","0"
"15.01.2018 14:00 - 15.01.2018 15:00","19","0"
"15.01.2018 15:00 - 15.01.2018 16:00","2","0"
"15.01.2018 16:00 - 15.01.2018 17:00","108","0"
"15.01.2018 17:00 - 15.01.2018 18:00","39","0"
"15.01.2018 18:00 - 15.01.2018 19:00","3","0"
"15.01.2018 19:00 - 15.01.2018 20:00","153","0"
"15.01.2018 20:00 - 15.01.2018 21:00","125","0"
"15.01.2018 21:00 - 15.01.2018 22:00","119","0"
"15.01.2018 22:00 - 15.01.2018 23:00","134","0"
"15.01.2018 23:00 - 16.01.2018 00:00","56","0"
"16.01.2018 00:00 - 16.01.2018 01:00","0","2"
"16.01.2018 01:00 - 16.01.2018 02:00","0","40"
"16.01.2018 02:00 - 16.01.2018 03:00","0","95"
"16.01.2018 03:00 - 16.01.2018 04:00","0","89"
"16.01.2018 04:00 - 16.01.2018 05:00","0","183"
"16.01.2018 05:00 - 16.01.2018 06:00","0","190"
"16.01.2018 06:00 - 16.01.2018 07:00","0","0"
"16.01.2018 07:00 - 16.01.2018 08:00","0","121"
"16.01.2018 08:00 - 16.01.2018 09:00","16","0"
"16.01.2018 09:00 - 16.01.2018 10:00","0","20"
"16.01.2018 10:00 - 16.01.2018 11:00","50","0"
"16.01.2018 11:00 - 16.01.2018 12:00","59","0"
"16.01.2018 12:00 - 16.01.2018 13:00","122","0"
"16.01.2018 13:00 - 16.01.2018 14:00","122","0"
"16.01.2018 14:00 - 16.01.2018 15:00","113","0"
"16.01.2018 15:00 - 16.01.2018 16:00","88","0"
"16.01.2018 16:00 - 16.01.2018 17:00","69","0"
"16.01.2018 17:00 - 16.01.2018 18:00","59","0"
"16.01.2018 18:00 - 16.01.2018 19:00","103","0"
"16.01.2018 19:00 - 16.01.2018 20:00","260","0"
"16.01.2018 20:00 - 16.01.2018 21:00","286","0"
"16.01.2018 21:00 - 16.01.2018 22:00","464","0"
"16.01.2018 22:00 - 16.01.2018 23:00","505","0"
"16.01.2018 23:00 - 17.01.2018 00:00","338","0"
"17.01.2018 00:00 - 17.01.2018 01:00","327","0"
"17.01.2018 01:00 - 17.01.2018 02:00","246","0"
"17.01.2018 02:00 - 17.01.2018 03:00","208","0"
"17.01.2018 03:00 - 17.01.2018 04:00","230","0"
"17.01.2018 04:00 - 17.01.2018 05:00","93","0"
"17.01.2018 05:00 - 17.01.2018 06:00","0","40"
"17.01.2018 06:00 - 17.01.2018 07:00","21","0"
"17.01.2018 07:00 - 17.01.2018 08:00","108","0"
"17.01.2018 08:00 - 17.01.2018 09:00","35","0"
"17.01.2018 09:00 - 17.01.2018 10:00","227","0"
"17.01.2018 10:00 - 17.01.2018 11:00","219","0"
"17.01.2018 11:00 - 17.01.2018 12:00","198","0"
"17.01.2018 12:00 - 17.01.2018 13:00","256","0"
"17.01.2018 13:00 - 17.01.2018 14:00","264","0"
"17.01.2018 14:00 - 17.01.2018 15:00","198","0"
"17.01.2018 15:00 - 17.01.2018 16:00","165","0"
"17.01.2018 16:00 - 17.01.2018 17:00","161","0"
"17.01.2018 17:00 - 17.01.2018 18:00","226","0"
"17.01.2018 18:00 - 17.01.2018 19:00","251","0"
"17.01.2018 19:00 - 17.01.2018 20:00","500","0"
"17.01.2018 20:00 - 17.01.2018 21:00","521","0"
"17.01.2018 21:00 - 17.01.2018 22:00","580","0"
"17.01.2018 22:00 - 17.01.2018 23:00","691","0"
"17.01.2018 23:00 - 18.01.2018 00:00","493","0"
"18.01.2018 00:00 - 18.01.2018 01:00","286","0"
"18.01.2018 01:00 - 18.01.2018 02:00","164","0"
"18.01.2018 02:00 - 18.01.2018 03:00","164","0"
"18.01.2018 03:00 - 18.01.2018 04:00","31","0"
"18.01.2018 04:00 - 18.01.2018 05:00","0","29"
"18.01.2018 05:00 - 18.01.2018 06:00","0","80"
"18.01.2018 06:00 - 18.01.2018 07:00","105","0"
"18.01.2018 07:00 - 18.01.2018 08:00","74","0"
"18.01.2018 08:00 - 18.01.2018 09:00","177","0"
"18.01.2018 09:00 - 18.01.2018 10:00","173","0"
"18.01.2018 10:00 - 18.01.2018 11:00","151","0"
"18.01.2018 11:00 - 18.01.2018 12:00","216","0"
"18.01.2018 12:00 - 18.01.2018 13:00","217","0"
"18.01.2018 13:00 - 18.01.2018 14:00","219","0"
"18.01.2018 14:00 - 18.01.2018 15:00","133","0"
"18.01.2018 15:00 - 18.01.2018 16:00","31","0"
"18.01.2018 16:00 - 18.01.2018 17:00","80","0"
"18.01.2018 17:00 - 18.01.2018 18:00","72","0"
"18.01.2018 18:00 - 18.01.2018 19:00","0","46"
"18.01.2018 19:00 - 18.01.2018 20:00","192","0"
"18.01.2018 20:00 - 18.01.2018 21:00","256","0"
"18.01.2018 21:00 - 18.01.2018 22:00","434","0"
"18.01.2018 22:00 - 18.01.2018 23:00","517","0"
"18.01.2018 23:00 - 19.01.2018 00:00","441","0"
"19.01.2018 00:00 - 19.01.2018 01:00","330","0"
"19.01.2018 01:00 - 19.01.2018 02:00","249","0"
"19.01.2018 02:00 - 19.01.2018 03:00","222","0"
"19.01.2018 03:00 - 19.01.2018 04:00","104","0"
"19.01.2018 04:00 - 19.01.2018 05:00","0","1"
"19.01.2018 05:00 - 19.01.2018 06:00","80","0"
"19.01.2018 06:00 - 19.01.2018 07:00","11","0"
"19.01.2018 07:00 - 19.01.2018 08:00","0","100"
"19.01.2018 08:00 - 19.01.2018 09:00","0","115"
"19.01.2018 09:00 - 19.01.2018 10:00","0","111"
"19.01.2018 10:00 - 19.01.2018 11:00","0","80"
"19.01.2018 11:00 - 19.01.2018 12:00","0","72"
"19.01.2018 12:00 - 19.01.2018 13:00","10","0"
"19.01.2018 13:00 - 19.01.2018 14:00","102","0"
"19.01.2018 14:00 - 19.01.2018 15:00","0","2"
"19.01.2018 15:00 - 19.01.2018 16:00","0","173"
"19.01.2018 16:00 - 19.01.2018 17:00","0","170"
"19.01.2018 17:00 - 19.01.2018 18:00","0","86"
"19.01.2018 18:00 - 19.01.2018 19:00","0","34"
"19.01.2018 19:00 - 19.01.2018 20:00","451","0"
"19.01.2018 20:00 - 19.01.2018 21:00","560","0"
"19.01.2018 21:00 - 19.01.2018 22:00","474","0"
"19.01.2018 22:00 - 19.01.2018 23:00","336","0"
"19.01.2018 23:00 - 20.01.2018 00:00","400","0"
"20.01.2018 00:00 - 20.01.2018 01:00","364","0"
"20.01.2018 01:00 - 20.01.2018 02:00","424","0"
"20.01.2018 02:00 - 20.01.2018 03:00","376","0"
"20.01.2018 03:00 - 20.01.2018 04:00","229","0"
"20.01.2018 04:00 - 20.01.2018 05:00","202","0"
"20.01.2018 05:00 - 20.01.2018 06:00","180","0"
