"Time (CET)","Italy (IT) > Switzerland (CH) [MW]","Switzerland (CH) > Italy (IT) [MW]"
"05.01.2018 09:00 - 05.01.2018 10:00","0","3021"
"05.01.2018 10:00 - 05.01.2018 11:00","0","2625"
"05.01.2018 11:00 - 05.01.2018 12:00","0","3319"
"05.01.2018 12:00 - 05.01.2018 13:00","0","3019"
"05.01.2018 13:00 - 05.01.2018 14:00","0","3009"
"05.01.2018 14:00 - 05.01.2018 15:00","0","3449"
"05.01.2018 15:00 - 05.01.2018 16:00","0","3227"
"05.01.2018 16:00 - 05.01.2018 17:00","0","3566"
"05.01.2018 17:00 - 05.01.2018 18:00","0","3712"
"05.01.2018 18:00 - 05.01.2018 19:00","0","3907"
"05.01.2018 19:00 - 05.01.2018 20:00","0","4021"
"05.01.2018 20:00 - 05.01.2018 21:00","0","3738"
"05.01.2018 21:00 - 05.01.2018 22:00","0","3790"
"05.01.2018 22:00 - 05.01.2018 23:00","0","3474"
"05.01.2018 23:00 - 06.01.2018 00:00","0","3017"
"06.01.2018 00:00 - 06.01.2018 01:00","0","2331"
"06.01.2018 01:00 - 06.01.2018 02:00","0","2174"
"06.01.2018 02:00 - 06.01.2018 03:00","0","2144"
"06.01.2018 03:00 - 06.01.2018 04:00","0","2276"
"06.01.2018 04:00 - 06.01.2018 05:00","0","2194"
"06.01.2018 05:00 - 06.01.2018 06:00","0","2830"
"06.01.2018 06:00 - 06.01.2018 07:00","0","2799"
"06.01.2018 07:00 - 06.01.2018 08:00","0","2910"
"06.01.2018 08:00 - 06.01.2018 09:00","0","2669"
"06.01.2018 09:00 - 06.01.2018 10:00","0","2387"
"06.01.2018 10:00 - 06.01.2018 11:00","0","1696"
"06.01.2018 11:00 - 06.01.2018 12:00","0","1715"
"06.01.2018 12:00 - 06.01.2018 13:00","0","1634"
"06.01.2018 13:00 - 06.01.2018 14:00","0","1497"
"06.01.2018 14:00 - 06.01.2018 15:00","0","1537"
"06.01.2018 15:00 - 06.01.2018 16:00","0","1537"
"06.01.2018 16:00 - 06.01.2018 17:00","0","1442"
"06.01.2018 17:00 - 06.01.2018 18:00","0","2059"
"06.01.2018 18:00 - 06.01.2018 19:00","0","3507"
"06.01.2018 19:00 - 06.01.2018 20:00","0","3551"
"06.01.2018 20:00 - 06.01.2018 21:00","0","4108"
"06.01.2018 21:00 - 06.01.2018 22:00","0","4102"
"06.01.2018 22:00 - 06.01.2018 23:00","0","4219"
"06.01.2018 23:00 - 07.01.2018 00:00","0","3445"
"07.01.2018 00:00 - 07.01.2018 01:00","0","2373"
"07.01.2018 01:00 - 07.01.2018 02:00","0","2189"
"07.01.2018 02:00 - 07.01.2018 03:00","0","2196"
"07.01.2018 03:00 - 07.01.2018 04:00","0","2050"
"07.01.2018 04:00 - 07.01.2018 05:00","0","1994"
"07.01.2018 05:00 - 07.01.2018 06:00","0","2710"
"07.01.2018 06:00 - 07.01.2018 07:00","0","2883"
"07.01.2018 07:00 - 07.01.2018 08:00","0","2793"
"07.01.2018 08:00 - 07.01.2018 09:00","0","2768"
"07.01.2018 09:00 - 07.01.2018 10:00","0","2538"
"07.01.2018 10:00 - 07.01.2018 11:00","0","1385"
"07.01.2018 11:00 - 07.01.2018 12:00","0","1235"
"07.01.2018 12:00 - 07.01.2018 13:00","0","1292"
"07.01.2018 13:00 - 07.01.2018 14:00","0","1261"
"07.01.2018 14:00 - 07.01.2018 15:00","0","1409"
"07.01.2018 15:00 - 07.01.2018 16:00","0","1435"
"07.01.2018 16:00 - 07.01.2018 17:00","0","1617"
"07.01.2018 17:00 - 07.01.2018 18:00","0","2550"
"07.01.2018 18:00 - 07.01.2018 19:00","0","3688"
"07.01.2018 19:00 - 07.01.2018 20:00","0","4420"
"07.01.2018 20:00 - 07.01.2018 21:00","0","4431"
"07.01.2018 21:00 - 07.01.2018 22:00","0","4238"
"07.01.2018 22:00 - 07.01.2018 23:00","0","4246"
"07.01.2018 23:00 - 08.01.2018 00:00","0","3594"
"08.01.2018 00:00 - 08.01.2018 01:00","0","2497"
"08.01.2018 01:00 - 08.01.2018 02:00","0","2376"
"08.01.2018 02:00 - 08.01.2018 03:00","0","2230"
"08.01.2018 03:00 - 08.01.2018 04:00","0","2080"
"08.01.2018 04:00 - 08.01.2018 05:00","0","2129"
"08.01.2018 05:00 - 08.01.2018 06:00","0","2750"
"08.01.2018 06:00 - 08.01.2018 07:00","0","3216"
"08.01.2018 07:00 - 08.01.2018 08:00","0","3454"
"08.01.2018 08:00 - 08.01.2018 09:00","0","3777"
"08.01.2018 09:00 - 08.01.2018 10:00","0","3869"
"08.01.2018 10:00 - 08.01.2018 11:00","0","3734"
"08.01.2018 11:00 - 08.01.2018 12:00","0","3859"
"08.01.2018 12:00 - 08.01.2018 13:00","0","3717"
"08.01.2018 13:00 - 08.01.2018 14:00","0","3728"
"08.01.2018 14:00 - 08.01.2018 15:00","0","3671"
"08.01.2018 15:00 - 08.01.2018 16:00","0","4117"
"08.01.2018 16:00 - 08.01.2018 17:00","0","4352"
"08.01.2018 17:00 - 08.01.2018 18:00","0","4323"
"08.01.2018 18:00 - 08.01.2018 19:00","0","3970"
"08.01.2018 19:00 - 08.01.2018 20:00","0","3791"
"08.01.2018 20:00 - 08.01.2018 21:00","0","3885"
"08.01.2018 21:00 - 08.01.2018 22:00","0","3834"
"08.01.2018 22:00 - 08.01.2018 23:00","0","3389"
"08.01.2018 23:00 - 09.01.2018 00:00","0","2048"
"09.01.2018 00:00 - 09.01.2018 01:00","0","3106"
"09.01.2018 01:00 - 09.01.2018 02:00","0","3261"
"09.01.2018 02:00 - 09.01.2018 03:00","0","3302"
"09.01.2018 03:00 - 09.01.2018 04:00","0","3310"
"09.01.2018 04:00 - 09.01.2018 05:00","0","3156"
"09.01.2018 05:00 - 09.01.2018 06:00","0","3271"
"09.01.2018 06:00 - 09.01.2018 07:00","0","3675"
"09.01.2018 07:00 - 09.01.2018 08:00","0","3964"
"09.01.2018 08:00 - 09.01.2018 09:00","0","4284"
"09.01.2018 09:00 - 09.01.2018 10:00","0","4232"
"09.01.2018 10:00 - 09.01.2018 11:00","0","4206"
"09.01.2018 11:00 - 09.01.2018 12:00","0","4611"
"09.01.2018 12:00 - 09.01.2018 13:00","0","3683"
"09.01.2018 13:00 - 09.01.2018 14:00","0","3953"
"09.01.2018 14:00 - 09.01.2018 15:00","0","3616"
"09.01.2018 15:00 - 09.01.2018 16:00","0","4078"
"09.01.2018 16:00 - 09.01.2018 17:00","0","4271"
"09.01.2018 17:00 - 09.01.2018 18:00","0","4128"
"09.01.2018 18:00 - 09.01.2018 19:00","0","3598"
"09.01.2018 19:00 - 09.01.2018 20:00","0","3366"
"09.01.2018 20:00 - 09.01.2018 21:00","0","3585"
"09.01.2018 21:00 - 09.01.2018 22:00","0","3632"
"09.01.2018 22:00 - 09.01.2018 23:00","0","3561"
"09.01.2018 23:00 - 10.01.2018 00:00","0","3424"
"10.01.2018 00:00 - 10.01.2018 01:00","0","3921"
"10.01.2018 01:00 - 10.01.2018 02:00","0","3496"
"10.01.2018 02:00 - 10.01.2018 03:00","0","3504"
"10.01.2018 03:00 - 10.01.2018 04:00","0","3442"
"10.01.2018 04:00 - 10.01.2018 05:00","0","3353"
"10.01.2018 05:00 - 10.01.2018 06:00","0","3335"
"10.01.2018 06:00 - 10.01.2018 07:00","0","3474"
"10.01.2018 07:00 - 10.01.2018 08:00","0","3866"
"10.01.2018 08:00 - 10.01.2018 09:00","0","4302"
"10.01.2018 09:00 - 10.01.2018 10:00","0","4376"
"10.01.2018 10:00 - 10.01.2018 11:00","0","4448"
"10.01.2018 11:00 - 10.01.2018 12:00","0","4637"
"10.01.2018 12:00 - 10.01.2018 13:00","0","4116"
"10.01.2018 13:00 - 10.01.2018 14:00","0","3983"
"10.01.2018 14:00 - 10.01.2018 15:00","0","3897"
"10.01.2018 15:00 - 10.01.2018 16:00","0","3979"
"10.01.2018 16:00 - 10.01.2018 17:00","0","3941"
"10.01.2018 17:00 - 10.01.2018 18:00","0","4262"
"10.01.2018 18:00 - 10.01.2018 19:00","0","4148"
"10.01.2018 19:00 - 10.01.2018 20:00","0","3966"
"10.01.2018 20:00 - 10.01.2018 21:00","0","3427"
"10.01.2018 21:00 - 10.01.2018 22:00","0","2585"
"10.01.2018 22:00 - 10.01.2018 23:00","0","2642"
"10.01.2018 23:00 - 11.01.2018 00:00","0","2599"
"11.01.2018 00:00 - 11.01.2018 01:00","0","3591"
"11.01.2018 01:00 - 11.01.2018 02:00","0","3428"
"11.01.2018 02:00 - 11.01.2018 03:00","0","3037"
"11.01.2018 03:00 - 11.01.2018 04:00","0","2966"
"11.01.2018 04:00 - 11.01.2018 05:00","0","3019"
"11.01.2018 05:00 - 11.01.2018 06:00","0","3300"
"11.01.2018 06:00 - 11.01.2018 07:00","0","3436"
"11.01.2018 07:00 - 11.01.2018 08:00","0","3980"
"11.01.2018 08:00 - 11.01.2018 09:00","0","3862"
"11.01.2018 09:00 - 11.01.2018 10:00","0","3711"
"11.01.2018 10:00 - 11.01.2018 11:00","0","3350"
"11.01.2018 11:00 - 11.01.2018 12:00","0","3604"
"11.01.2018 12:00 - 11.01.2018 13:00","0","3243"
"11.01.2018 13:00 - 11.01.2018 14:00","0","3108"
"11.01.2018 14:00 - 11.01.2018 15:00","0","4015"
"11.01.2018 15:00 - 11.01.2018 16:00","0","4179"
"11.01.2018 16:00 - 11.01.2018 17:00","0","4443"
"11.01.2018 17:00 - 11.01.2018 18:00","0","4779"
"11.01.2018 18:00 - 11.01.2018 19:00","0","4441"
"11.01.2018 19:00 - 11.01.2018 20:00","0","4174"
"11.01.2018 20:00 - 11.01.2018 21:00","0","4146"
"11.01.2018 21:00 - 11.01.2018 22:00","0","4131"
"11.01.2018 22:00 - 11.01.2018 23:00","0","3894"
"11.01.2018 23:00 - 12.01.2018 00:00","0","3670"
"12.01.2018 00:00 - 12.01.2018 01:00","0","2163"
"12.01.2018 01:00 - 12.01.2018 02:00","0","2141"
"12.01.2018 02:00 - 12.01.2018 03:00","0","2085"
"12.01.2018 03:00 - 12.01.2018 04:00","0","2921"
"12.01.2018 04:00 - 12.01.2018 05:00","0","3053"
"12.01.2018 05:00 - 12.01.2018 06:00","0","3079"
"12.01.2018 06:00 - 12.01.2018 07:00","0","2673"
"12.01.2018 07:00 - 12.01.2018 08:00","0","2476"
"12.01.2018 08:00 - 12.01.2018 09:00","0","2293"
"12.01.2018 09:00 - 12.01.2018 10:00","0","2369"
"12.01.2018 10:00 - 12.01.2018 11:00","0","2356"
"12.01.2018 11:00 - 12.01.2018 12:00","0","2293"
"12.01.2018 12:00 - 12.01.2018 13:00","0","2349"
"12.01.2018 13:00 - 12.01.2018 14:00","0","2213"
"12.01.2018 14:00 - 12.01.2018 15:00","0","2234"
"12.01.2018 15:00 - 12.01.2018 16:00","0","2349"
"12.01.2018 16:00 - 12.01.2018 17:00","0","2447"
"12.01.2018 17:00 - 12.01.2018 18:00","0","2687"
"12.01.2018 18:00 - 12.01.2018 19:00","0","2284"
"12.01.2018 19:00 - 12.01.2018 20:00","0","1965"
"12.01.2018 20:00 - 12.01.2018 21:00","0","1805"
"12.01.2018 21:00 - 12.01.2018 22:00","0","1898"
"12.01.2018 22:00 - 12.01.2018 23:00","0","1778"
"12.01.2018 23:00 - 13.01.2018 00:00","0","1553"
"13.01.2018 00:00 - 13.01.2018 01:00","0","1470"
"13.01.2018 01:00 - 13.01.2018 02:00","0","1335"
"13.01.2018 02:00 - 13.01.2018 03:00","0","1307"
"13.01.2018 03:00 - 13.01.2018 04:00","0","1296"
"13.01.2018 04:00 - 13.01.2018 05:00","0","1496"
"13.01.2018 05:00 - 13.01.2018 06:00","0","1711"
"13.01.2018 06:00 - 13.01.2018 07:00","0","1885"
"13.01.2018 07:00 - 13.01.2018 08:00","0","1848"
"13.01.2018 08:00 - 13.01.2018 09:00","0","2092"
"13.01.2018 09:00 - 13.01.2018 10:00","0","2039"
"13.01.2018 10:00 - 13.01.2018 11:00","0","2256"
"13.01.2018 11:00 - 13.01.2018 12:00","0","2492"
"13.01.2018 12:00 - 13.01.2018 13:00","0","2557"
"13.01.2018 13:00 - 13.01.2018 14:00","0","2563"
"13.01.2018 14:00 - 13.01.2018 15:00","0","2485"
"13.01.2018 15:00 - 13.01.2018 16:00","0","2545"
"13.01.2018 16:00 - 13.01.2018 17:00","0","2690"
"13.01.2018 17:00 - 13.01.2018 18:00","0","2686"
"13.01.2018 18:00 - 13.01.2018 19:00","0","3492"
"13.01.2018 19:00 - 13.01.2018 20:00","0","4380"
"13.01.2018 20:00 - 13.01.2018 21:00","0","4150"
"13.01.2018 21:00 - 13.01.2018 22:00","0","4147"
"13.01.2018 22:00 - 13.01.2018 23:00","0","4230"
"13.01.2018 23:00 - 14.01.2018 00:00","0","3511"
"14.01.2018 00:00 - 14.01.2018 01:00","0","3028"
"14.01.2018 01:00 - 14.01.2018 02:00","0","2442"
"14.01.2018 02:00 - 14.01.2018 03:00","0","2524"
"14.01.2018 03:00 - 14.01.2018 04:00","0","2490"
"14.01.2018 04:00 - 14.01.2018 05:00","0","2570"
"14.01.2018 05:00 - 14.01.2018 06:00","0","2767"
"14.01.2018 06:00 - 14.01.2018 07:00","0","2981"
"14.01.2018 07:00 - 14.01.2018 08:00","0","3090"
"14.01.2018 08:00 - 14.01.2018 09:00","0","3299"
"14.01.2018 09:00 - 14.01.2018 10:00","0","2909"
"14.01.2018 10:00 - 14.01.2018 11:00","0","1716"
"14.01.2018 11:00 - 14.01.2018 12:00","0","1522"
"14.01.2018 12:00 - 14.01.2018 13:00","0","1654"
"14.01.2018 13:00 - 14.01.2018 14:00","0","1525"
"14.01.2018 14:00 - 14.01.2018 15:00","0","1699"
"14.01.2018 15:00 - 14.01.2018 16:00","0","1736"
"14.01.2018 16:00 - 14.01.2018 17:00","0","1787"
"14.01.2018 17:00 - 14.01.2018 18:00","0","2544"
"14.01.2018 18:00 - 14.01.2018 19:00","0","3292"
"14.01.2018 19:00 - 14.01.2018 20:00","0","4039"
"14.01.2018 20:00 - 14.01.2018 21:00","0","3911"
"14.01.2018 21:00 - 14.01.2018 22:00","0","3855"
"14.01.2018 22:00 - 14.01.2018 23:00","0","3595"
"14.01.2018 23:00 - 15.01.2018 00:00","0","3424"
"15.01.2018 00:00 - 15.01.2018 01:00","0","2698"
"15.01.2018 01:00 - 15.01.2018 02:00","0","2260"
"15.01.2018 02:00 - 15.01.2018 03:00","0","2306"
"15.01.2018 03:00 - 15.01.2018 04:00","0","2286"
"15.01.2018 04:00 - 15.01.2018 05:00","0","2412"
"15.01.2018 05:00 - 15.01.2018 06:00","0","2776"
"15.01.2018 06:00 - 15.01.2018 07:00","0","3798"
"15.01.2018 07:00 - 15.01.2018 08:00","0","3717"
"15.01.2018 08:00 - 15.01.2018 09:00","0","4241"
"15.01.2018 09:00 - 15.01.2018 10:00","0","4318"
"15.01.2018 10:00 - 15.01.2018 11:00","0","3795"
"15.01.2018 11:00 - 15.01.2018 12:00","0","3759"
"15.01.2018 12:00 - 15.01.2018 13:00","0","3325"
"15.01.2018 13:00 - 15.01.2018 14:00","0","3271"
"15.01.2018 14:00 - 15.01.2018 15:00","0","3762"
"15.01.2018 15:00 - 15.01.2018 16:00","0","3686"
"15.01.2018 16:00 - 15.01.2018 17:00","0","3566"
"15.01.2018 17:00 - 15.01.2018 18:00","0","3788"
"15.01.2018 18:00 - 15.01.2018 19:00","0","3656"
"15.01.2018 19:00 - 15.01.2018 20:00","0","3635"
"15.01.2018 20:00 - 15.01.2018 21:00","0","3423"
"15.01.2018 21:00 - 15.01.2018 22:00","0","3182"
"15.01.2018 22:00 - 15.01.2018 23:00","0","3371"
"15.01.2018 23:00 - 16.01.2018 00:00","0","2946"
"16.01.2018 00:00 - 16.01.2018 01:00","0","3039"
"16.01.2018 01:00 - 16.01.2018 02:00","0","2833"
"16.01.2018 02:00 - 16.01.2018 03:00","0","2791"
"16.01.2018 03:00 - 16.01.2018 04:00","0","2443"
"16.01.2018 04:00 - 16.01.2018 05:00","0","2421"
"16.01.2018 05:00 - 16.01.2018 06:00","0","2456"
"16.01.2018 06:00 - 16.01.2018 07:00","0","2967"
"16.01.2018 07:00 - 16.01.2018 08:00","0","3570"
"16.01.2018 08:00 - 16.01.2018 09:00","0","4087"
"16.01.2018 09:00 - 16.01.2018 10:00","0","3920"
"16.01.2018 10:00 - 16.01.2018 11:00","0","3862"
"16.01.2018 11:00 - 16.01.2018 12:00","0","4009"
"16.01.2018 12:00 - 16.01.2018 13:00","0","3620"
"16.01.2018 13:00 - 16.01.2018 14:00","0","3754"
"16.01.2018 14:00 - 16.01.2018 15:00","0","4086"
"16.01.2018 15:00 - 16.01.2018 16:00","0","4024"
"16.01.2018 16:00 - 16.01.2018 17:00","0","3672"
"16.01.2018 17:00 - 16.01.2018 18:00","0","3636"
"16.01.2018 18:00 - 16.01.2018 19:00","0","3715"
"16.01.2018 19:00 - 16.01.2018 20:00","0","3750"
"16.01.2018 20:00 - 16.01.2018 21:00","0","3663"
"16.01.2018 21:00 - 16.01.2018 22:00","0","3460"
"16.01.2018 22:00 - 16.01.2018 23:00","0","3349"
"16.01.2018 23:00 - 17.01.2018 00:00","0","3715"
"17.01.2018 00:00 - 17.01.2018 01:00","0","3442"
"17.01.2018 01:00 - 17.01.2018 02:00","0","2995"
"17.01.2018 02:00 - 17.01.2018 03:00","0","2736"
"17.01.2018 03:00 - 17.01.2018 04:00","0","2507"
"17.01.2018 04:00 - 17.01.2018 05:00","0","2464"
"17.01.2018 05:00 - 17.01.2018 06:00","0","2796"
"17.01.2018 06:00 - 17.01.2018 07:00","0","2962"
"17.01.2018 07:00 - 17.01.2018 08:00","0","3379"
"17.01.2018 08:00 - 17.01.2018 09:00","0","3269"
"17.01.2018 09:00 - 17.01.2018 10:00","0","3126"
"17.01.2018 10:00 - 17.01.2018 11:00","0","3269"
"17.01.2018 11:00 - 17.01.2018 12:00","0","3226"
"17.01.2018 12:00 - 17.01.2018 13:00","0","2527"
"17.01.2018 13:00 - 17.01.2018 14:00","0","2785"
"17.01.2018 14:00 - 17.01.2018 15:00","0","3377"
"17.01.2018 15:00 - 17.01.2018 16:00","0","3550"
"17.01.2018 16:00 - 17.01.2018 17:00","0","3218"
"17.01.2018 17:00 - 17.01.2018 18:00","0","3237"
"17.01.2018 18:00 - 17.01.2018 19:00","0","3380"
"17.01.2018 19:00 - 17.01.2018 20:00","0","3294"
"17.01.2018 20:00 - 17.01.2018 21:00","0","3119"
"17.01.2018 21:00 - 17.01.2018 22:00","0","3197"
"17.01.2018 22:00 - 17.01.2018 23:00","0","3045"
"17.01.2018 23:00 - 18.01.2018 00:00","0","3102"
"18.01.2018 00:00 - 18.01.2018 01:00","0","3237"
"18.01.2018 01:00 - 18.01.2018 02:00","0","3063"
"18.01.2018 02:00 - 18.01.2018 03:00","0","2449"
"18.01.2018 03:00 - 18.01.2018 04:00","0","2588"
"18.01.2018 04:00 - 18.01.2018 05:00","0","2599"
"18.01.2018 05:00 - 18.01.2018 06:00","0","2683"
"18.01.2018 06:00 - 18.01.2018 07:00","0","3046"
"18.01.2018 07:00 - 18.01.2018 08:00","0","3200"
"18.01.2018 08:00 - 18.01.2018 09:00","0","3228"
"18.01.2018 09:00 - 18.01.2018 10:00","0","3282"
"18.01.2018 10:00 - 18.01.2018 11:00","0","3505"
"18.01.2018 11:00 - 18.01.2018 12:00","0","3446"
"18.01.2018 12:00 - 18.01.2018 13:00","0","2867"
"18.01.2018 13:00 - 18.01.2018 14:00","0","2948"
"18.01.2018 14:00 - 18.01.2018 15:00","0","3369"
"18.01.2018 15:00 - 18.01.2018 16:00","0","3777"
"18.01.2018 16:00 - 18.01.2018 17:00","0","3562"
"18.01.2018 17:00 - 18.01.2018 18:00","0","3490"
"18.01.2018 18:00 - 18.01.2018 19:00","0","3671"
"18.01.2018 19:00 - 18.01.2018 20:00","0","3746"
"18.01.2018 20:00 - 18.01.2018 21:00","0","3848"
"18.01.2018 21:00 - 18.01.2018 22:00","0","3899"
"18.01.2018 22:00 - 18.01.2018 23:00","0","3608"
"18.01.2018 23:00 - 19.01.2018 00:00","0","3725"
"19.01.2018 00:00 - 19.01.2018 01:00","0","3399"
"19.01.2018 01:00 - 19.01.2018 02:00","0","3343"
"19.01.2018 02:00 - 19.01.2018 03:00","0","2676"
"19.01.2018 03:00 - 19.01.2018 04:00","0","2626"
"19.01.2018 04:00 - 19.01.2018 05:00","0","2615"
"19.01.2018 05:00 - 19.01.2018 06:00","0","3047"
"19.01.2018 06:00 - 19.01.2018 07:00","0","2825"
"19.01.2018 07:00 - 19.01.2018 08:00","0","2837"
"19.01.2018 08:00 - 19.01.2018 09:00","0","2757"
"19.01.2018 09:00 - 19.01.2018 10:00","0","2891"
"19.01.2018 10:00 - 19.01.2018 11:00","0","2656"
"19.01.2018 11:00 - 19.01.2018 12:00","0","2881"
"19.01.2018 12:00 - 19.01.2018 13:00","0","2987"
"19.01.2018 13:00 - 19.01.2018 14:00","0","2785"
"19.01.2018 14:00 - 19.01.2018 15:00","0","2903"
"19.01.2018 15:00 - 19.01.2018 16:00","0","2867"
