"Time (CET)","Netherlands (NL) > Germany (DE) [MW]","Germany (DE) > Netherlands (NL) [MW]"
"03.01.2018 16:00 - 03.01.2018 17:00","0","1634"
"03.01.2018 17:00 - 03.01.2018 18:00","0","2006"
"03.01.2018 18:00 - 03.01.2018 19:00","0","1712"
"03.01.2018 19:00 - 03.01.2018 20:00","0","1791"
"03.01.2018 20:00 - 03.01.2018 21:00","0","1707"
"03.01.2018 21:00 - 03.01.2018 22:00","0","1705"
"03.01.2018 22:00 - 03.01.2018 23:00","0","1791"
"03.01.2018 23:00 - 04.01.2018 00:00","0","1965"
"04.01.2018 00:00 - 04.01.2018 01:00","0","1809"
"04.01.2018 01:00 - 04.01.2018 02:00","0","2002"
"04.01.2018 02:00 - 04.01.2018 03:00","0","1976"
"04.01.2018 03:00 - 04.01.2018 04:00","0","1749"
"04.01.2018 04:00 - 04.01.2018 05:00","0","1827"
"04.01.2018 05:00 - 04.01.2018 06:00","0","2263"
"04.01.2018 06:00 - 04.01.2018 07:00","0","2237"
"04.01.2018 07:00 - 04.01.2018 08:00","0","2755"
"04.01.2018 08:00 - 04.01.2018 09:00","0","3003"
"04.01.2018 09:00 - 04.01.2018 10:00","0","3280"
"04.01.2018 10:00 - 04.01.2018 11:00","0","3042"
"04.01.2018 11:00 - 04.01.2018 12:00","0","2999"
"04.01.2018 12:00 - 04.01.2018 13:00","0","2495"
"04.01.2018 13:00 - 04.01.2018 14:00","0","2036"
"04.01.2018 14:00 - 04.01.2018 15:00","0","1250"
"04.01.2018 15:00 - 04.01.2018 16:00","0","573"
"04.01.2018 16:00 - 04.01.2018 17:00","0","675"
"04.01.2018 17:00 - 04.01.2018 18:00","0","704"
"04.01.2018 18:00 - 04.01.2018 19:00","0","910"
"04.01.2018 19:00 - 04.01.2018 20:00","0","984"
"04.01.2018 20:00 - 04.01.2018 21:00","0","1629"
"04.01.2018 21:00 - 04.01.2018 22:00","0","2093"
"04.01.2018 22:00 - 04.01.2018 23:00","0","2447"
"04.01.2018 23:00 - 05.01.2018 00:00","0","2774"
"05.01.2018 00:00 - 05.01.2018 01:00","0","2858"
"05.01.2018 01:00 - 05.01.2018 02:00","0","3072"
"05.01.2018 02:00 - 05.01.2018 03:00","0","3337"
"05.01.2018 03:00 - 05.01.2018 04:00","0","2907"
"05.01.2018 04:00 - 05.01.2018 05:00","0","1763"
"05.01.2018 05:00 - 05.01.2018 06:00","0","2076"
"05.01.2018 06:00 - 05.01.2018 07:00","0","2277"
"05.01.2018 07:00 - 05.01.2018 08:00","0","2048"
"05.01.2018 08:00 - 05.01.2018 09:00","0","3037"
"05.01.2018 09:00 - 05.01.2018 10:00","0","3498"
"05.01.2018 10:00 - 05.01.2018 11:00","0","3514"
"05.01.2018 11:00 - 05.01.2018 12:00","0","3434"
"05.01.2018 12:00 - 05.01.2018 13:00","0","3073"
"05.01.2018 13:00 - 05.01.2018 14:00","0","3019"
"05.01.2018 14:00 - 05.01.2018 15:00","0","2509"
"05.01.2018 15:00 - 05.01.2018 16:00","0","1955"
"05.01.2018 16:00 - 05.01.2018 17:00","0","1840"
"05.01.2018 17:00 - 05.01.2018 18:00","0","2097"
"05.01.2018 18:00 - 05.01.2018 19:00","0","1973"
"05.01.2018 19:00 - 05.01.2018 20:00","0","1954"
"05.01.2018 20:00 - 05.01.2018 21:00","0","1714"
"05.01.2018 21:00 - 05.01.2018 22:00","0","1287"
"05.01.2018 22:00 - 05.01.2018 23:00","0","1837"
"05.01.2018 23:00 - 06.01.2018 00:00","0","2482"
"06.01.2018 00:00 - 06.01.2018 01:00","0","3338"
"06.01.2018 01:00 - 06.01.2018 02:00","0","3377"
"06.01.2018 02:00 - 06.01.2018 03:00","0","3144"
"06.01.2018 03:00 - 06.01.2018 04:00","0","2314"
"06.01.2018 04:00 - 06.01.2018 05:00","0","1986"
"06.01.2018 05:00 - 06.01.2018 06:00","0","2218"
"06.01.2018 06:00 - 06.01.2018 07:00","0","3044"
"06.01.2018 07:00 - 06.01.2018 08:00","0","3747"
"06.01.2018 08:00 - 06.01.2018 09:00","0","3507"
"06.01.2018 09:00 - 06.01.2018 10:00","0","3453"
"06.01.2018 10:00 - 06.01.2018 11:00","0","3682"
"06.01.2018 11:00 - 06.01.2018 12:00","0","3647"
"06.01.2018 12:00 - 06.01.2018 13:00","0","3605"
"06.01.2018 13:00 - 06.01.2018 14:00","0","3265"
"06.01.2018 14:00 - 06.01.2018 15:00","0","2887"
"06.01.2018 15:00 - 06.01.2018 16:00","0","2355"
"06.01.2018 16:00 - 06.01.2018 17:00","0","2080"
"06.01.2018 17:00 - 06.01.2018 18:00","0","2346"
"06.01.2018 18:00 - 06.01.2018 19:00","0","2530"
"06.01.2018 19:00 - 06.01.2018 20:00","0","2323"
"06.01.2018 20:00 - 06.01.2018 21:00","0","2035"
"06.01.2018 21:00 - 06.01.2018 22:00","0","2121"
"06.01.2018 22:00 - 06.01.2018 23:00","0","2362"
"06.01.2018 23:00 - 07.01.2018 00:00","0","3310"
"07.01.2018 00:00 - 07.01.2018 01:00","0","3179"
"07.01.2018 01:00 - 07.01.2018 02:00","0","2965"
"07.01.2018 02:00 - 07.01.2018 03:00","0","2311"
"07.01.2018 03:00 - 07.01.2018 04:00","0","1518"
"07.01.2018 04:00 - 07.01.2018 05:00","0","985"
"07.01.2018 05:00 - 07.01.2018 06:00","0","1067"
"07.01.2018 06:00 - 07.01.2018 07:00","0","1176"
"07.01.2018 07:00 - 07.01.2018 08:00","0","1475"
"07.01.2018 08:00 - 07.01.2018 09:00","0","1868"
"07.01.2018 09:00 - 07.01.2018 10:00","0","1769"
"07.01.2018 10:00 - 07.01.2018 11:00","0","1760"
"07.01.2018 11:00 - 07.01.2018 12:00","0","1722"
"07.01.2018 12:00 - 07.01.2018 13:00","0","2154"
"07.01.2018 13:00 - 07.01.2018 14:00","0","1998"
"07.01.2018 14:00 - 07.01.2018 15:00","0","1701"
"07.01.2018 15:00 - 07.01.2018 16:00","0","1356"
"07.01.2018 16:00 - 07.01.2018 17:00","0","1308"
"07.01.2018 17:00 - 07.01.2018 18:00","0","2375"
"07.01.2018 18:00 - 07.01.2018 19:00","0","2369"
"07.01.2018 19:00 - 07.01.2018 20:00","0","2595"
"07.01.2018 20:00 - 07.01.2018 21:00","0","2660"
"07.01.2018 21:00 - 07.01.2018 22:00","0","2556"
"07.01.2018 22:00 - 07.01.2018 23:00","0","2663"
"07.01.2018 23:00 - 08.01.2018 00:00","0","2819"
"08.01.2018 00:00 - 08.01.2018 01:00","0","2970"
"08.01.2018 01:00 - 08.01.2018 02:00","0","2915"
"08.01.2018 02:00 - 08.01.2018 03:00","0","2434"
"08.01.2018 03:00 - 08.01.2018 04:00","0","2024"
"08.01.2018 04:00 - 08.01.2018 05:00","0","2007"
"08.01.2018 05:00 - 08.01.2018 06:00","0","2080"
"08.01.2018 06:00 - 08.01.2018 07:00","0","2395"
"08.01.2018 07:00 - 08.01.2018 08:00","0","2240"
"08.01.2018 08:00 - 08.01.2018 09:00","0","2307"
"08.01.2018 09:00 - 08.01.2018 10:00","0","2317"
"08.01.2018 10:00 - 08.01.2018 11:00","0","2188"
"08.01.2018 11:00 - 08.01.2018 12:00","0","2352"
"08.01.2018 12:00 - 08.01.2018 13:00","0","2361"
"08.01.2018 13:00 - 08.01.2018 14:00","0","2331"
"08.01.2018 14:00 - 08.01.2018 15:00","0","2009"
"08.01.2018 15:00 - 08.01.2018 16:00","0","2056"
"08.01.2018 16:00 - 08.01.2018 17:00","0","2183"
"08.01.2018 17:00 - 08.01.2018 18:00","0","2372"
"08.01.2018 18:00 - 08.01.2018 19:00","0","2690"
"08.01.2018 19:00 - 08.01.2018 20:00","0","2432"
"08.01.2018 20:00 - 08.01.2018 21:00","0","1976"
"08.01.2018 21:00 - 08.01.2018 22:00","0","1979"
"08.01.2018 22:00 - 08.01.2018 23:00","0","1925"
"08.01.2018 23:00 - 09.01.2018 00:00","0","2192"
"09.01.2018 00:00 - 09.01.2018 01:00","0","2375"
"09.01.2018 01:00 - 09.01.2018 02:00","0","2254"
"09.01.2018 02:00 - 09.01.2018 03:00","0","2243"
"09.01.2018 03:00 - 09.01.2018 04:00","0","2195"
"09.01.2018 04:00 - 09.01.2018 05:00","0","2363"
"09.01.2018 05:00 - 09.01.2018 06:00","0","2413"
"09.01.2018 06:00 - 09.01.2018 07:00","0","2130"
"09.01.2018 07:00 - 09.01.2018 08:00","0","2155"
"09.01.2018 08:00 - 09.01.2018 09:00","0","1954"
"09.01.2018 09:00 - 09.01.2018 10:00","0","2163"
"09.01.2018 10:00 - 09.01.2018 11:00","0","2085"
"09.01.2018 11:00 - 09.01.2018 12:00","0","1927"
"09.01.2018 12:00 - 09.01.2018 13:00","0","1836"
"09.01.2018 13:00 - 09.01.2018 14:00","0","1933"
"09.01.2018 14:00 - 09.01.2018 15:00","0","1740"
"09.01.2018 15:00 - 09.01.2018 16:00","0","1660"
"09.01.2018 16:00 - 09.01.2018 17:00","0","1688"
"09.01.2018 17:00 - 09.01.2018 18:00","0","2008"
"09.01.2018 18:00 - 09.01.2018 19:00","0","1989"
"09.01.2018 19:00 - 09.01.2018 20:00","0","1717"
"09.01.2018 20:00 - 09.01.2018 21:00","0","1722"
"09.01.2018 21:00 - 09.01.2018 22:00","0","1761"
"09.01.2018 22:00 - 09.01.2018 23:00","0","1759"
"09.01.2018 23:00 - 10.01.2018 00:00","0","1448"
"10.01.2018 00:00 - 10.01.2018 01:00","0","1925"
"10.01.2018 01:00 - 10.01.2018 02:00","0","2099"
"10.01.2018 02:00 - 10.01.2018 03:00","0","1963"
"10.01.2018 03:00 - 10.01.2018 04:00","0","1707"
"10.01.2018 04:00 - 10.01.2018 05:00","0","776"
"10.01.2018 05:00 - 10.01.2018 06:00","0","1324"
"10.01.2018 06:00 - 10.01.2018 07:00","0","1202"
"10.01.2018 07:00 - 10.01.2018 08:00","0","1507"
"10.01.2018 08:00 - 10.01.2018 09:00","0","1835"
"10.01.2018 09:00 - 10.01.2018 10:00","0","2029"
"10.01.2018 10:00 - 10.01.2018 11:00","0","2038"
"10.01.2018 11:00 - 10.01.2018 12:00","0","1988"
"10.01.2018 12:00 - 10.01.2018 13:00","0","1816"
"10.01.2018 13:00 - 10.01.2018 14:00","0","1686"
"10.01.2018 14:00 - 10.01.2018 15:00","0","1482"
"10.01.2018 15:00 - 10.01.2018 16:00","0","1599"
"10.01.2018 16:00 - 10.01.2018 17:00","0","1628"
"10.01.2018 17:00 - 10.01.2018 18:00","0","2049"
"10.01.2018 18:00 - 10.01.2018 19:00","0","2093"
"10.01.2018 19:00 - 10.01.2018 20:00","0","1837"
"10.01.2018 20:00 - 10.01.2018 21:00","0","1650"
"10.01.2018 21:00 - 10.01.2018 22:00","0","2410"
"10.01.2018 22:00 - 10.01.2018 23:00","0","2584"
"10.01.2018 23:00 - 11.01.2018 00:00","0","2589"
"11.01.2018 00:00 - 11.01.2018 01:00","0","2732"
"11.01.2018 01:00 - 11.01.2018 02:00","0","2347"
"11.01.2018 02:00 - 11.01.2018 03:00","0","2201"
"11.01.2018 03:00 - 11.01.2018 04:00","0","1888"
"11.01.2018 04:00 - 11.01.2018 05:00","0","1821"
"11.01.2018 05:00 - 11.01.2018 06:00","0","1825"
"11.01.2018 06:00 - 11.01.2018 07:00","0","1557"
"11.01.2018 07:00 - 11.01.2018 08:00","0","1739"
"11.01.2018 08:00 - 11.01.2018 09:00","0","2403"
"11.01.2018 09:00 - 11.01.2018 10:00","0","2302"
"11.01.2018 10:00 - 11.01.2018 11:00","0","2447"
"11.01.2018 11:00 - 11.01.2018 12:00","0","2578"
"11.01.2018 12:00 - 11.01.2018 13:00","0","2113"
"11.01.2018 13:00 - 11.01.2018 14:00","0","1697"
"11.01.2018 14:00 - 11.01.2018 15:00","0","1596"
"11.01.2018 15:00 - 11.01.2018 16:00","0","1770"
"11.01.2018 16:00 - 11.01.2018 17:00","0","2124"
"11.01.2018 17:00 - 11.01.2018 18:00","0","2909"
"11.01.2018 18:00 - 11.01.2018 19:00","0","2592"
"11.01.2018 19:00 - 11.01.2018 20:00","0","2199"
"11.01.2018 20:00 - 11.01.2018 21:00","0","1626"
"11.01.2018 21:00 - 11.01.2018 22:00","0","2216"
"11.01.2018 22:00 - 11.01.2018 23:00","0","2789"
"11.01.2018 23:00 - 12.01.2018 00:00","0","2994"
"12.01.2018 00:00 - 12.01.2018 01:00","0","2294"
"12.01.2018 01:00 - 12.01.2018 02:00","0","2284"
"12.01.2018 02:00 - 12.01.2018 03:00","0","2640"
"12.01.2018 03:00 - 12.01.2018 04:00","0","2290"
"12.01.2018 04:00 - 12.01.2018 05:00","0","1584"
"12.01.2018 05:00 - 12.01.2018 06:00","0","2148"
"12.01.2018 06:00 - 12.01.2018 07:00","0","2042"
"12.01.2018 07:00 - 12.01.2018 08:00","0","2607"
"12.01.2018 08:00 - 12.01.2018 09:00","0","2717"
"12.01.2018 09:00 - 12.01.2018 10:00","0","2645"
"12.01.2018 10:00 - 12.01.2018 11:00","0","2543"
"12.01.2018 11:00 - 12.01.2018 12:00","0","2438"
"12.01.2018 12:00 - 12.01.2018 13:00","0","2527"
"12.01.2018 13:00 - 12.01.2018 14:00","0","2290"
"12.01.2018 14:00 - 12.01.2018 15:00","0","2407"
"12.01.2018 15:00 - 12.01.2018 16:00","0","2291"
"12.01.2018 16:00 - 12.01.2018 17:00","0","2457"
"12.01.2018 17:00 - 12.01.2018 18:00","0","2900"
"12.01.2018 18:00 - 12.01.2018 19:00","0","2712"
"12.01.2018 19:00 - 12.01.2018 20:00","0","2541"
"12.01.2018 20:00 - 12.01.2018 21:00","0","2483"
"12.01.2018 21:00 - 12.01.2018 22:00","0","2392"
"12.01.2018 22:00 - 12.01.2018 23:00","0","2281"
"12.01.2018 23:00 - 13.01.2018 00:00","0","2183"
"13.01.2018 00:00 - 13.01.2018 01:00","0","2733"
"13.01.2018 01:00 - 13.01.2018 02:00","0","2841"
"13.01.2018 02:00 - 13.01.2018 03:00","0","2691"
"13.01.2018 03:00 - 13.01.2018 04:00","0","2563"
"13.01.2018 04:00 - 13.01.2018 05:00","0","2425"
"13.01.2018 05:00 - 13.01.2018 06:00","0","2833"
"13.01.2018 06:00 - 13.01.2018 07:00","0","3368"
"13.01.2018 07:00 - 13.01.2018 08:00","0","3683"
"13.01.2018 08:00 - 13.01.2018 09:00","0","2977"
"13.01.2018 09:00 - 13.01.2018 10:00","0","3090"
"13.01.2018 10:00 - 13.01.2018 11:00","0","3267"
"13.01.2018 11:00 - 13.01.2018 12:00","0","3551"
"13.01.2018 12:00 - 13.01.2018 13:00","0","3365"
"13.01.2018 13:00 - 13.01.2018 14:00","0","3491"
"13.01.2018 14:00 - 13.01.2018 15:00","0","3324"
"13.01.2018 15:00 - 13.01.2018 16:00","0","2987"
"13.01.2018 16:00 - 13.01.2018 17:00","0","3016"
"13.01.2018 17:00 - 13.01.2018 18:00","0","2939"
"13.01.2018 18:00 - 13.01.2018 19:00","0","2564"
"13.01.2018 19:00 - 13.01.2018 20:00","0","2508"
"13.01.2018 20:00 - 13.01.2018 21:00","0","2317"
"13.01.2018 21:00 - 13.01.2018 22:00","0","2121"
"13.01.2018 22:00 - 13.01.2018 23:00","0","2199"
"13.01.2018 23:00 - 14.01.2018 00:00","0","2858"
"14.01.2018 00:00 - 14.01.2018 01:00","0","3064"
"14.01.2018 01:00 - 14.01.2018 02:00","0","3060"
"14.01.2018 02:00 - 14.01.2018 03:00","0","3004"
"14.01.2018 03:00 - 14.01.2018 04:00","0","3114"
"14.01.2018 04:00 - 14.01.2018 05:00","0","3415"
"14.01.2018 05:00 - 14.01.2018 06:00","0","3331"
"14.01.2018 06:00 - 14.01.2018 07:00","0","3132"
"14.01.2018 07:00 - 14.01.2018 08:00","0","2745"
"14.01.2018 08:00 - 14.01.2018 09:00","0","2479"
"14.01.2018 09:00 - 14.01.2018 10:00","0","2656"
"14.01.2018 10:00 - 14.01.2018 11:00","0","2888"
"14.01.2018 11:00 - 14.01.2018 12:00","0","3158"
"14.01.2018 12:00 - 14.01.2018 13:00","0","3391"
"14.01.2018 13:00 - 14.01.2018 14:00","0","3233"
"14.01.2018 14:00 - 14.01.2018 15:00","0","3140"
"14.01.2018 15:00 - 14.01.2018 16:00","0","2949"
"14.01.2018 16:00 - 14.01.2018 17:00","0","2980"
"14.01.2018 17:00 - 14.01.2018 18:00","0","3278"
"14.01.2018 18:00 - 14.01.2018 19:00","0","2554"
"14.01.2018 19:00 - 14.01.2018 20:00","0","2246"
"14.01.2018 20:00 - 14.01.2018 21:00","0","2134"
"14.01.2018 21:00 - 14.01.2018 22:00","0","1865"
"14.01.2018 22:00 - 14.01.2018 23:00","0","1808"
"14.01.2018 23:00 - 15.01.2018 00:00","0","2377"
"15.01.2018 00:00 - 15.01.2018 01:00","0","2093"
"15.01.2018 01:00 - 15.01.2018 02:00","0","2004"
"15.01.2018 02:00 - 15.01.2018 03:00","0","1847"
"15.01.2018 03:00 - 15.01.2018 04:00","0","1761"
"15.01.2018 04:00 - 15.01.2018 05:00","0","1934"
"15.01.2018 05:00 - 15.01.2018 06:00","0","1966"
"15.01.2018 06:00 - 15.01.2018 07:00","0","1809"
"15.01.2018 07:00 - 15.01.2018 08:00","0","1829"
"15.01.2018 08:00 - 15.01.2018 09:00","0","1502"
"15.01.2018 09:00 - 15.01.2018 10:00","0","1740"
"15.01.2018 10:00 - 15.01.2018 11:00","0","1384"
"15.01.2018 11:00 - 15.01.2018 12:00","0","1231"
"15.01.2018 12:00 - 15.01.2018 13:00","0","1256"
"15.01.2018 13:00 - 15.01.2018 14:00","0","1448"
"15.01.2018 14:00 - 15.01.2018 15:00","0","1632"
"15.01.2018 15:00 - 15.01.2018 16:00","0","1614"
"15.01.2018 16:00 - 15.01.2018 17:00","0","1930"
"15.01.2018 17:00 - 15.01.2018 18:00","0","2008"
"15.01.2018 18:00 - 15.01.2018 19:00","0","1737"
"15.01.2018 19:00 - 15.01.2018 20:00","0","1464"
"15.01.2018 20:00 - 15.01.2018 21:00","0","1483"
"15.01.2018 21:00 - 15.01.2018 22:00","0","1611"
"15.01.2018 22:00 - 15.01.2018 23:00","0","1308"
"15.01.2018 23:00 - 16.01.2018 00:00","0","1275"
"16.01.2018 00:00 - 16.01.2018 01:00","0","1407"
"16.01.2018 01:00 - 16.01.2018 02:00","0","1578"
"16.01.2018 02:00 - 16.01.2018 03:00","0","1533"
"16.01.2018 03:00 - 16.01.2018 04:00","0","1447"
"16.01.2018 04:00 - 16.01.2018 05:00","0","1286"
"16.01.2018 05:00 - 16.01.2018 06:00","0","1252"
"16.01.2018 06:00 - 16.01.2018 07:00","0","1171"
"16.01.2018 07:00 - 16.01.2018 08:00","0","1014"
"16.01.2018 08:00 - 16.01.2018 09:00","0","1239"
"16.01.2018 09:00 - 16.01.2018 10:00","0","1086"
"16.01.2018 10:00 - 16.01.2018 11:00","0","742"
"16.01.2018 11:00 - 16.01.2018 12:00","0","543"
"16.01.2018 12:00 - 16.01.2018 13:00","0","540"
"16.01.2018 13:00 - 16.01.2018 14:00","0","445"
"16.01.2018 14:00 - 16.01.2018 15:00","0","610"
"16.01.2018 15:00 - 16.01.2018 16:00","0","913"
"16.01.2018 16:00 - 16.01.2018 17:00","0","1274"
"16.01.2018 17:00 - 16.01.2018 18:00","0","1439"
"16.01.2018 18:00 - 16.01.2018 19:00","0","1532"
"16.01.2018 19:00 - 16.01.2018 20:00","0","1437"
"16.01.2018 20:00 - 16.01.2018 21:00","0","1557"
"16.01.2018 21:00 - 16.01.2018 22:00","0","1704"
"16.01.2018 22:00 - 16.01.2018 23:00","0","1435"
"16.01.2018 23:00 - 17.01.2018 00:00","0","1283"
"17.01.2018 00:00 - 17.01.2018 01:00","0","1315"
"17.01.2018 01:00 - 17.01.2018 02:00","0","1253"
"17.01.2018 02:00 - 17.01.2018 03:00","0","1386"
"17.01.2018 03:00 - 17.01.2018 04:00","0","1250"
"17.01.2018 04:00 - 17.01.2018 05:00","0","1258"
"17.01.2018 05:00 - 17.01.2018 06:00","0","1193"
"17.01.2018 06:00 - 17.01.2018 07:00","0","1217"
"17.01.2018 07:00 - 17.01.2018 08:00","0","1178"
"17.01.2018 08:00 - 17.01.2018 09:00","0","1426"
"17.01.2018 09:00 - 17.01.2018 10:00","0","1599"
"17.01.2018 10:00 - 17.01.2018 11:00","0","1479"
"17.01.2018 11:00 - 17.01.2018 12:00","0","1466"
"17.01.2018 12:00 - 17.01.2018 13:00","0","1260"
"17.01.2018 13:00 - 17.01.2018 14:00","0","1137"
"17.01.2018 14:00 - 17.01.2018 15:00","0","1122"
"17.01.2018 15:00 - 17.01.2018 16:00","0","1037"
"17.01.2018 16:00 - 17.01.2018 17:00","0","1293"
"17.01.2018 17:00 - 17.01.2018 18:00","0","1810"
"17.01.2018 18:00 - 17.01.2018 19:00","0","2042"
"17.01.2018 19:00 - 17.01.2018 20:00","0","2120"
"17.01.2018 20:00 - 17.01.2018 21:00","0","1777"
"17.01.2018 21:00 - 17.01.2018 22:00","0","1331"
"17.01.2018 22:00 - 17.01.2018 23:00","0","1699"
"17.01.2018 23:00 - 18.01.2018 00:00","0","1850"
"18.01.2018 00:00 - 18.01.2018 01:00","0","1686"
"18.01.2018 01:00 - 18.01.2018 02:00","0","1643"
"18.01.2018 02:00 - 18.01.2018 03:00","0","1326"
"18.01.2018 03:00 - 18.01.2018 04:00","0","1539"
"18.01.2018 04:00 - 18.01.2018 05:00","0","1780"
"18.01.2018 05:00 - 18.01.2018 06:00","0","2090"
"18.01.2018 06:00 - 18.01.2018 07:00","0","1559"
"18.01.2018 07:00 - 18.01.2018 08:00","0","1517"
"18.01.2018 08:00 - 18.01.2018 09:00","0","1523"
"18.01.2018 09:00 - 18.01.2018 10:00","0","1547"
"18.01.2018 10:00 - 18.01.2018 11:00","0","1273"
"18.01.2018 11:00 - 18.01.2018 12:00","0","1052"
"18.01.2018 12:00 - 18.01.2018 13:00","0","1018"
"18.01.2018 13:00 - 18.01.2018 14:00","0","1078"
"18.01.2018 14:00 - 18.01.2018 15:00","0","1169"
"18.01.2018 15:00 - 18.01.2018 16:00","0","916"
"18.01.2018 16:00 - 18.01.2018 17:00","0","785"
"18.01.2018 17:00 - 18.01.2018 18:00","0","940"
"18.01.2018 18:00 - 18.01.2018 19:00","0","1006"
"18.01.2018 19:00 - 18.01.2018 20:00","0","941"
"18.01.2018 20:00 - 18.01.2018 21:00","0","1192"
"18.01.2018 21:00 - 18.01.2018 22:00","0","769"
"18.01.2018 22:00 - 18.01.2018 23:00","0","1189"
"18.01.2018 23:00 - 19.01.2018 00:00","0","1097"
"19.01.2018 00:00 - 19.01.2018 01:00","0","1566"
"19.01.2018 01:00 - 19.01.2018 02:00","0","1837"
"19.01.2018 02:00 - 19.01.2018 03:00","0","1865"
"19.01.2018 03:00 - 19.01.2018 04:00","0","1768"
"19.01.2018 04:00 - 19.01.2018 05:00","0","1730"
"19.01.2018 05:00 - 19.01.2018 06:00","0","1634"
"19.01.2018 06:00 - 19.01.2018 07:00","0","472"
"19.01.2018 07:00 - 19.01.2018 08:00","0","967"
"19.01.2018 08:00 - 19.01.2018 09:00","0","905"
"19.01.2018 09:00 - 19.01.2018 10:00","0","1000"
"19.01.2018 10:00 - 19.01.2018 11:00","0","1041"
"19.01.2018 11:00 - 19.01.2018 12:00","0","1137"
"19.01.2018 12:00 - 19.01.2018 13:00","0","997"
"19.01.2018 13:00 - 19.01.2018 14:00","0","1296"
"19.01.2018 14:00 - 19.01.2018 15:00","0","1074"
"19.01.2018 15:00 - 19.01.2018 16:00","0","651"
