,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Waste,Wind Onshore
169,63.75,493.5,621.75,0.0,5.0,0.0,1923.0,89.75,8.25,14.25,20.75
170,54.25,474.5,622.25,0.0,5.0,0.0,1924.25,82.0,6.0,14.5,20.0
171,46.75,452.0,583.0,0.0,5.0,0.0,1924.25,82.0,6.0,14.75,23.0
172,46.75,491.25,576.5,0.0,5.0,0.0,1924.75,81.0,6.0,14.5,28.25
173,65.75,564.5,682.0,0.0,5.0,0.0,1923.75,91.0,10.0,14.75,40.25
174,82.25,706.25,954.75,0.0,5.0,0.0,1925.5,91.0,11.0,14.75,36.75
175,93.75,725.0,1019.5,0.0,5.0,0.0,1926.25,96.0,12.0,14.25,37.0
176,110.0,729.5,1044.75,0.0,5.0,0.0,1924.5,93.0,13.0,11.5,34.5
177,113.75,721.25,1050.5,90.25,5.0,0.0,1922.5,95.0,14.0,11.0,9.0
178,116.0,727.5,1044.75,50.0,5.0,0.0,1924.25,97.0,14.0,12.0,8.75
179,118.25,722.0,1021.25,50.25,5.0,0.0,1921.75,96.0,13.0,12.5,17.0
180,116.75,709.25,933.5,50.75,6.0,0.0,1922.25,92.0,14.0,11.25,13.75
181,117.25,723.25,923.75,50.75,7.0,0.0,1922.5,92.0,13.0,12.25,3.5
182,116.5,719.0,898.5,50.75,7.0,0.0,1923.0,90.0,13.0,14.0,1.5
183,114.75,719.5,865.0,50.75,7.0,0.0,1922.0,90.0,13.5,14.25,2.0
184,113.5,717.25,888.0,50.0,7.0,0.0,1923.75,87.0,14.0,14.25,0.75
185,113.25,735.25,974.25,25.0,7.0,0.0,1922.75,87.75,14.0,15.0,1.75
186,113.0,733.25,984.5,0.0,7.0,0.0,1923.75,91.0,13.0,14.0,11.75
187,115.25,733.75,996.25,0.0,7.0,0.0,1923.5,90.0,13.0,14.5,33.0
188,115.75,724.5,948.75,0.0,7.0,0.0,1923.0,92.0,13.0,15.0,58.25
189,115.75,733.25,811.5,0.0,7.0,0.0,1923.25,92.0,12.0,14.25,71.0
190,116.75,724.75,666.25,0.0,7.0,0.0,1924.0,93.0,11.5,14.25,107.5
191,118.5,620.75,620.0,0.0,7.0,0.0,1923.25,93.0,11.0,14.0,135.25
192,118.25,604.75,664.25,0.0,7.0,0.0,1922.75,97.0,11.0,13.0,111.0
193,112.25,545.0,691.25,0.0,7.0,0.0,1923.5,93.75,8.75,14.25,74.75
194,82.25,503.75,680.75,0.0,7.0,0.0,1925.0,88.0,5.25,15.25,106.25
195,71.25,507.75,666.5,0.0,7.0,0.0,1924.5,88.0,5.5,13.5,120.75
196,78.5,499.75,642.5,0.0,7.0,0.0,1923.75,87.0,5.75,14.0,114.75
197,95.0,577.5,753.75,0.0,7.0,0.0,1922.5,97.0,7.75,13.75,71.0
198,104.0,689.75,943.25,0.0,7.0,0.0,1921.25,98.0,11.0,14.75,81.25
199,114.25,698.0,1059.75,0.0,7.0,1.75,1921.25,98.0,11.5,15.25,125.75
200,113.0,708.5,1043.25,0.0,7.0,2.0,1922.75,99.0,11.75,15.0,115.75
201,113.25,721.0,985.0,0.0,7.0,2.0,1925.25,99.0,12.25,15.25,145.25
202,114.0,722.5,1013.25,0.0,7.0,2.0,1924.5,98.0,13.0,14.0,141.0
203,114.75,717.75,1079.5,1.0,7.0,2.5,1923.25,97.0,13.5,14.25,108.5
204,113.75,717.75,934.75,0.0,7.0,3.0,1922.25,97.5,13.5,15.5,98.0
205,116.0,723.0,957.0,0.0,7.0,3.0,1925.25,97.0,14.0,14.0,88.0
206,115.25,717.0,985.0,0.0,7.0,3.0,1926.75,95.0,13.5,15.75,121.5
207,112.0,716.25,1023.0,0.0,7.0,3.0,1924.25,97.0,13.75,16.0,180.5
208,111.75,674.25,1031.75,0.0,7.0,3.0,1923.75,98.0,14.0,14.75,199.5
209,111.75,687.75,1176.25,0.0,7.0,3.0,1923.75,97.75,14.0,13.75,156.5
210,111.0,714.5,1192.25,0.0,7.0,3.0,1925.5,98.0,13.0,14.75,134.5
211,114.0,711.5,1082.25,0.0,7.0,3.0,1925.0,99.0,13.5,14.5,154.25
212,115.0,713.0,948.5,0.0,7.0,3.0,1924.75,99.0,13.5,14.5,158.5
213,115.0,711.5,886.5,0.0,7.0,3.0,1925.5,99.0,13.25,16.0,145.75
214,113.75,714.5,813.5,0.0,7.0,3.0,1927.0,99.0,13.5,13.25,132.0
215,117.25,714.75,792.75,0.0,7.0,3.0,1926.0,99.0,12.0,15.5,116.25
216,117.5,699.25,811.0,0.0,7.0,3.0,1924.75,97.0,10.25,16.5,89.5
217,110.25,692.0,794.75,0.0,7.0,3.0,1923.5,94.75,8.75,15.75,100.5
218,83.25,690.25,800.25,0.0,7.0,3.0,1923.75,88.0,6.0,15.75,80.75
219,72.0,707.5,784.75,0.0,7.0,3.0,1924.25,88.0,6.0,16.5,89.75
220,78.0,709.5,785.5,0.0,7.0,3.0,1923.25,88.0,5.0,16.75,101.5
221,96.75,689.0,890.0,0.0,7.0,3.0,1923.0,98.0,6.25,17.0,96.75
222,112.0,701.0,1107.0,0.0,7.0,3.0,1922.75,98.0,8.75,16.75,65.0
223,114.25,719.0,1178.5,0.0,7.0,4.0,1922.5,98.0,9.5,17.25,52.25
224,113.25,714.75,1251.75,0.0,7.0,4.0,1923.5,88.0,11.0,17.0,52.0
225,115.25,709.75,1268.0,0.0,7.0,3.75,1923.25,88.0,11.5,16.25,67.5
226,116.25,708.25,1248.0,0.0,7.0,3.0,1923.0,95.0,11.75,16.75,55.75
227,113.75,712.0,1292.5,0.0,7.0,3.0,1924.25,99.0,12.0,17.25,58.0
228,113.0,706.25,1296.25,0.0,7.0,3.0,1925.0,100.0,13.75,17.0,45.5
229,113.5,713.5,1326.5,0.0,7.0,3.0,1924.0,99.0,13.5,16.25,32.25
230,111.75,717.5,1199.0,0.0,7.0,3.0,1923.25,96.0,13.25,17.25,40.75
231,112.0,704.25,1267.25,0.0,7.0,3.0,1922.75,94.0,13.5,16.25,21.25
232,110.0,703.25,1236.5,0.0,7.0,3.0,1924.25,98.0,14.0,17.25,11.0
233,111.5,716.25,1258.5,0.0,7.0,3.0,1925.0,98.75,14.0,16.25,12.25
234,112.75,725.0,1251.5,0.0,7.0,3.0,1924.5,100.0,13.0,17.5,4.5
235,114.5,722.25,1260.75,0.0,6.0,3.0,1924.25,99.0,14.0,16.5,4.75
236,116.0,712.25,1161.0,0.0,6.0,3.0,1924.25,99.0,14.0,16.0,126.125
237,114.25,697.5,1056.5,0.0,6.0,3.0,1923.0,99.0,13.75,17.0,145.375
238,117.5,695.5,1037.5,0.0,6.25,3.0,1922.0,89.0,12.0,17.0,108.625
239,119.75,697.75,958.0,0.0,7.0,3.0,1923.25,89.0,11.25,16.75,137.25
240,120.0,708.0,837.25,0.0,7.0,3.0,1924.0,85.0,11.0,14.0,170.75
241,113.0,710.75,829.0,0.0,7.0,3.0,1923.75,82.75,9.25,14.25,142.5
242,82.5,689.0,821.5,0.0,6.25,3.0,1923.25,76.0,6.75,14.25,167.0
243,73.0,708.75,811.0,0.0,6.0,3.0,1924.75,76.0,6.25,14.75,179.625
244,76.75,707.0,824.25,0.0,6.0,3.0,1924.75,76.0,7.0,16.25,95.75
245,98.5,686.5,935.25,0.0,6.0,3.0,1923.25,86.0,9.25,15.0,43.875
246,115.25,687.75,1072.0,0.0,6.0,3.0,1922.75,86.0,11.75,15.25,1.25
