,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
5891,395.0,766.0,8324.0,5347.0,296.0,957.0,4713.0,6966.0,11.0,99.0,2445.0,329.0,2694.0
5892,391.0,766.0,8414.0,5264.0,297.0,952.0,4410.0,6962.0,12.0,101.0,2925.0,325.0,3052.0
5893,384.0,766.0,8029.0,5089.0,300.0,918.0,4167.0,6951.0,12.0,103.0,3349.0,325.0,3648.0
5894,390.0,766.0,7994.0,5072.0,306.0,813.0,3479.0,6929.0,12.0,103.0,3385.0,325.0,4270.0
5895,389.0,766.0,8017.0,4744.0,305.0,797.0,3119.0,6924.0,14.0,103.0,3206.0,323.0,5275.0
5896,391.0,766.0,7767.0,4705.0,301.0,795.0,2368.0,6930.0,12.0,102.0,3199.0,320.0,6030.0
5897,394.0,766.0,7542.0,4747.0,306.0,781.0,2206.0,6941.0,12.0,100.0,2798.0,318.0,7000.0
5898,394.0,766.0,7498.0,4754.0,307.0,768.0,1918.0,6951.0,14.0,100.0,1826.0,322.0,8026.0
5899,391.0,766.0,8300.0,4648.0,306.0,774.0,1895.0,6956.0,13.0,105.0,674.0,325.0,7921.0
5900,377.0,766.0,8636.0,4740.0,312.0,777.0,2396.0,6961.0,13.0,105.0,313.0,321.0,7227.0
5901,393.0,766.0,7407.0,4701.0,310.0,762.0,1616.0,6964.0,13.0,106.0,149.0,316.0,7072.0
5902,395.0,766.0,6171.0,4555.0,310.0,726.0,895.0,6968.0,13.0,106.0,76.0,317.0,7135.0
5903,393.0,766.0,5233.0,4486.0,297.0,732.0,824.0,6964.0,13.0,97.0,49.0,319.0,6808.0
5904,397.0,732.0,5057.0,4467.0,294.0,742.0,574.0,6964.0,12.0,99.0,59.0,318.0,6113.0
5905,398.0,761.0,4569.0,4442.0,282.0,705.0,576.0,6966.0,13.0,99.0,63.0,316.0,5711.0
5906,397.0,765.0,4677.0,4325.0,259.0,694.0,661.0,6969.0,13.0,98.0,63.0,322.0,5074.0
5907,398.0,765.0,4892.0,4267.0,240.0,691.0,583.0,6970.0,12.0,100.0,64.0,330.0,4656.0
5908,377.0,765.0,5061.0,4555.0,258.0,691.0,634.0,6969.0,12.0,95.0,64.0,333.0,4337.0
5909,370.0,765.0,6387.0,5066.0,259.0,693.0,1644.0,6971.0,12.0,97.0,63.0,334.0,3976.0
5910,367.0,765.0,7679.0,5674.0,273.0,694.0,3206.0,6936.0,14.0,95.0,64.0,337.0,3658.0
5911,378.0,765.0,8377.0,5781.0,286.0,750.0,2541.0,6920.0,19.0,101.0,330.0,335.0,3305.0
5912,383.0,764.0,8570.0,5804.0,287.0,823.0,3228.0,6916.0,20.0,103.0,1221.0,332.0,2793.0
5913,393.0,753.0,8619.0,5821.0,288.0,830.0,3226.0,6911.0,20.0,100.0,2522.0,331.0,2471.0
5914,395.0,756.0,8928.0,5828.0,287.0,857.0,3576.0,6911.0,20.0,105.0,3466.0,333.0,2243.0
5915,397.0,763.0,9170.0,5826.0,290.0,876.0,3779.0,6908.0,18.0,104.0,3995.0,331.0,1969.0
5916,398.0,764.0,9046.0,5817.0,273.0,802.0,3807.0,6908.0,18.0,105.0,4359.0,326.0,1853.0
5917,393.0,764.0,8893.0,5821.0,296.0,794.0,2730.0,6906.0,17.0,107.0,4576.0,320.0,2258.0
