,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
4007,846.0,8118.5,423.5,0.0,0.0,206.5,7075.5,127.5,0.0,1796.5,2450.0
4008,819.5,5862.0,521.5,0.0,0.0,138.0,7076.5,127.5,0.0,2009.0,2496.5
4009,732.5,5459.0,243.5,0.0,0.0,122.0,7059.0,127.0,0.0,2156.5,2276.0
4010,779.0,5610.5,242.0,0.0,0.0,107.5,6878.5,127.0,1.0,2112.5,2184.0
4011,783.0,6105.0,242.5,0.0,0.0,107.0,6831.0,127.5,0.5,1920.0,1947.0
4012,770.5,6323.0,299.0,0.0,0.0,97.0,6838.5,128.0,4.5,1810.5,1904.0
4013,772.5,5889.0,242.5,0.0,0.0,98.5,6836.0,128.0,89.0,1681.5,1908.5
4014,713.5,6421.0,287.5,0.0,0.0,100.5,6892.0,127.0,432.0,1631.0,1714.0
4015,656.5,7413.0,242.0,0.0,109.0,115.5,7064.0,127.5,1123.5,1489.0,1832.5
4016,688.5,7978.0,239.0,0.0,387.0,115.0,7070.5,127.0,2005.0,1466.5,1881.0
4017,720.5,9688.0,243.0,0.0,561.0,214.5,7071.0,127.0,2970.0,1395.5,1970.0
4018,721.5,10409.5,241.0,0.0,569.0,203.5,7071.5,128.0,3700.0,1248.5,2132.5
4019,716.5,11132.0,246.0,0.0,738.0,183.0,7082.5,127.0,3890.0,979.5,2375.5
4020,719.5,11659.0,0.0,0.0,746.5,151.0,7079.0,127.5,3665.0,965.0,2715.5
4021,719.0,11183.5,0.0,0.0,754.0,86.0,7072.5,127.5,3275.0,948.5,3173.5
4022,769.5,10862.0,0.0,0.0,356.0,79.5,7061.5,127.5,2406.5,772.0,3792.5
4023,820.5,10812.5,0.0,0.0,371.5,91.0,6995.0,127.0,2190.0,862.5,4025.0
4024,831.0,10982.5,0.0,0.0,331.5,128.0,6840.0,127.5,1665.0,1559.0,4007.0
4025,869.0,11627.5,0.0,0.0,313.5,293.5,6827.5,128.0,1160.0,1767.0,3970.5
4026,939.0,11665.5,0.0,0.0,558.0,309.0,6811.5,126.5,730.5,1788.5,3949.5
4027,894.5,10788.5,0.0,0.0,612.0,276.0,6801.5,126.5,366.0,2138.5,3932.0
4028,852.0,10256.5,0.0,0.0,607.0,239.5,6952.5,127.0,107.5,2388.5,3741.0
4029,856.0,9948.0,72.5,0.0,422.5,124.5,6985.5,127.5,81.5,2050.5,4010.0
4030,855.5,8663.0,314.0,0.0,334.5,90.0,6974.5,127.0,2.5,2121.0,4097.0
4031,851.0,6488.5,468.0,0.0,0.0,73.0,6954.0,127.0,0.0,2255.5,3831.0
4032,844.5,5196.0,363.5,0.0,12.5,73.0,6683.5,127.0,0.0,2364.5,3529.0
4033,850.5,5139.0,242.0,0.0,0.0,73.5,6622.5,127.5,0.0,2351.0,3444.0
4034,832.5,5053.5,242.0,0.0,0.0,73.0,6623.0,127.0,0.5,2189.5,3282.0
4035,822.0,5149.0,290.5,0.0,0.0,48.0,6537.0,127.0,0.5,2142.5,3108.0
4036,882.0,5160.0,333.5,0.0,0.0,47.5,6398.0,127.0,1.5,2198.5,3313.0
4037,975.0,5691.0,380.0,0.0,0.0,49.0,6398.5,127.0,88.0,1983.0,3211.0
4038,1051.5,7832.0,622.5,0.0,2.0,87.0,6401.5,127.0,501.5,1916.0,3442.5
4039,1292.5,11219.5,625.0,0.0,319.0,126.5,6563.5,127.0,1212.0,2129.0,3931.0
4040,1779.5,12472.0,586.0,0.0,528.5,143.5,6621.5,127.0,2105.0,2222.5,4625.0
4041,2051.5,12212.5,513.5,0.0,490.0,155.5,6632.5,127.0,3625.0,2088.0,5018.5
4042,1969.0,11863.5,515.0,0.0,408.0,167.0,6622.0,127.0,5160.0,2119.0,5014.0
4043,1861.5,11192.0,519.0,0.0,416.5,60.0,6612.5,126.5,6630.0,1775.0,5321.0
4044,1863.0,11341.5,252.0,0.0,468.5,51.0,6616.0,126.5,7035.0,1634.5,5279.5
4045,1858.0,11073.0,336.0,0.0,309.5,50.0,6629.0,126.0,6905.0,1788.5,5145.5
4046,1701.0,11095.5,417.0,0.0,377.5,51.0,6564.0,127.0,6137.0,1864.5,4911.5
4047,1553.5,12030.0,452.0,0.0,420.5,57.5,6448.5,127.0,4790.0,1846.0,5158.5
