,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Onshore
7136,5.089292968128661e-10,5.08801017321368e-10,5.086623219252126e-10,5.149945717629928e-10,5.102915522668889e-10,5.087787372296288e-10,5.087962293342326e-10,5.086521726917568e-10,5.088303369832852e-10,5.149945717629928e-10
7137,3.866896830270429e-10,3.867110956019834e-10,3.8658785023556506e-10,3.8994154845959374e-10,3.8994154845959374e-10,3.866837920728045e-10,3.8670870472511726e-10,3.866248478262032e-10,3.866321808175044e-10,3.8994154845959374e-10
7138,2.3314849433769156e-10,2.3324452004485034e-10,2.3317846050906306e-10,2.34320468575032e-10,2.34320468575032e-10,2.3322927460320085e-10,2.3324367812193457e-10,2.332125324149064e-10,2.331498942823917e-10,2.34320468575032e-10
7139,2.3541322906064236e-10,2.3551688480709787e-10,2.3544449325724587e-10,2.3660968492067236e-10,2.3660968492067236e-10,2.3549325562699846e-10,2.355162413602446e-10,2.3548424682837096e-10,2.3541650059630346e-10,2.3563336629270415e-10
7140,1.555651511442132e-09,1.5505577847219309e-09,1.5524767163366428e-09,1.6159379497521025e-09,1.6159379497521025e-09,1.5508371611528914e-09,1.5505546018833401e-09,1.5512202169948782e-09,1.554976500655369e-09,1.5688438733192833e-09
7141,0.17813470321255054,13.934092311046058,0.5739895984019178,0.0019792748563362142,0.0019792748563362142,3.2658028856902934,13.538237415856608,1.623005070654024,0.23751293749092717,0.019792745137446555
7142,0.53728389125312,41.729048877736055,1.7312480937598935,0.005969821137871622,0.005969821137871622,9.372618989803117,40.833575725855994,2.746117665890638,0.776076731754478,0.05969821025042896
7143,0.6150130104602651,51.182749417096964,1.913373810090143,0.006833478002237889,0.006833478002237889,18.99706854206201,46.740988786784285,1.2983607997391513,0.9566869050997097,0.06833477903715798
7144,0.2802668989720016,24.943753987410002,0.8719414629623335,0.003114076893574243,0.031140766765787243,11.708928213942693,21.30028430389077,0.12456306634301831,0.31140766549780635,0.031140766765787243
7145,2.03276866571975e-10,2.0337539449409637e-10,2.033111734072126e-10,2.0415675025124582e-10,2.0335265695637238e-10,2.0337064794189615e-10,2.033730831299848e-10,2.0415675025124582e-10,2.032854434276189e-10,2.0415675025124582e-10
