,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
1385,9.717906541864742e-10,9.72989043221942e-10,9.724531673869329e-10,9.719911693328868e-10,9.717758792370702e-10,9.729025525594633e-10,9.727239051981e-10,9.7328662750248e-10,9.719799563910056e-10,9.717643381893056e-10,9.727436242148497e-10
1386,7.527824613933123e-10,7.537942195638855e-10,7.534472972962283e-10,7.534001074415752e-10,7.53279795322474e-10,7.537509144486927e-10,7.536761050512452e-10,7.539840241246443e-10,7.527055763136689e-10,7.527042016249601e-10,7.535880628577251e-10
1387,6.50340500951028e-10,6.512243531952183e-10,6.509496618035365e-10,6.509546565647319e-10,6.510519386709686e-10,6.511931633463258e-10,6.511539151215231e-10,6.513741421099721e-10,7.041844414877599e-10,6.502376445241104e-10,6.510239676021144e-10
1388,6.864123348343501e-10,6.873475413965595e-10,6.870347422007854e-10,6.870684889912105e-10,6.871202791504164e-10,6.873112393135484e-10,6.872345485041805e-10,6.875108828624726e-10,7.463044509316477e-10,6.863174361486503e-10,6.871151819184755e-10
1389,1.0322023360624233e-09,1.0334589905156554e-09,1.0328634242334186e-09,1.0328861463977866e-09,1.032813133024458e-09,1.0333756625589524e-09,1.0332293697778582e-09,1.0337705549764956e-09,1.1692728698283338e-09,1.0321863515226968e-09,1.0330029019714238e-09
1390,1.3553138063857073e-09,1.3565458046092234e-09,1.3557336896818898e-09,1.3557484778418132e-09,1.3557086429762767e-09,1.3564067541576667e-09,1.3561650548622135e-09,1.3570094461631764e-09,1.5961751146043016e-09,1.3553594805593845e-09,1.3559174995671935e-09
1391,1.3980025690571895e-09,1.3992506834710953e-09,1.3983683866596466e-09,1.398363238382792e-09,1.3984394240202809e-09,1.3991067050518078e-09,1.3988812228509008e-09,1.399752354053849e-09,1.654631062070047e-09,1.3980610380849074e-09,1.398578885550529e-09
1392,1.640458086842209e-09,1.641417359438443e-09,1.6404202332299744e-09,1.6404474236694164e-09,1.640279233038596e-09,1.6412156312426222e-09,1.6409119186825306e-09,1.6421086284922732e-09,1.994685522004698e-09,1.640533432863318e-09,1.6406542011523687e-09
1393,1.4887073151670666e-09,1.4898463593802102e-09,1.4888770433568122e-09,1.4888434313130386e-09,1.4885839117378276e-09,1.4896154857399128e-09,1.4893694139598371e-09,1.4904433800609482e-09,1.780204653106854e-09,1.4887476288941996e-09,1.4891604190978095e-09
1394,1.2225707430590432e-09,1.2238459286183949e-09,1.2229805640141998e-09,1.222968777928456e-09,1.2226293964603897e-09,1.2236495719303132e-09,1.223466424334992e-09,1.2242866102686601e-09,1.4173557884927593e-09,1.222576785320424e-09,1.2233392855588702e-09
1395,3.857890885061003e-10,3.862602784910173e-10,3.8609891058088184e-10,3.8609014028901035e-10,3.85974307610104e-10,3.862277137459765e-10,3.8618233814676934e-10,3.863241726642732e-10,4.046445208407454e-10,3.8576653067328495e-10,3.8618294414353036e-10
1396,3.25491689481348e-10,3.2585247182638306e-10,3.2572067052033535e-10,3.2570465427673724e-10,3.2564029448900204e-10,3.258276015265721e-10,3.257905433091984e-10,3.258990685007406e-10,3.38382512978725e-10,3.2547193753947566e-10,3.257997745514913e-10
1397,1.1526906304113096e-09,1.1540035724041425e-09,1.1531132471663995e-09,1.1530780624946274e-09,1.152690483287783e-09,1.1538177945483088e-09,1.1535689884759644e-09,1.1544215584276448e-09,1.32510943832505e-09,1.1526924038398733e-09,1.1536339379239736e-09
1398,8.035252620318848e-10,8.046645253318092e-10,8.042133006462798e-10,8.041362262200113e-10,8.039129888699595e-10,8.045759283889545e-10,8.044850750117464e-10,8.048880166337471e-10,8.856017042012165e-10,8.035131825410334e-10,8.044963571333247e-10
1399,7.369190523238912e-10,7.379900236650896e-10,7.376297812495452e-10,7.375436746366388e-10,7.372609264987018e-10,7.379228566741621e-10,7.378366487571129e-10,7.381682809006731e-10,7.368972695985455e-10,7.369027543562043e-10,7.378675409780069e-10
