,biomass,gas,hard_coal,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,FR -> UK,NL -> UK,demand,UK -> FR,UK -> NL,mismatch
134,902.2476505,21340.49245,1665.593415,931.748936,8191.523628,111.8590411,1133.341054,3825.333363,5052.095155,2459.175184,1022.88,46636.24,1.59E-10,0.049877079,3.97E-12
135,932.3259947,22133.82669,2250.573815,817.6957494,8564.152989,115.9039146,310.7753316,4045.173988,5053.920146,2496.036407,1022.6,47742.94,1.47E-10,0.045024193,1.85E-11
136,944.4227989,24642.15025,3996.235314,1438.748782,8586.962666,118.3780643,7.805147098,4076.888501,4776.750024,2508.21195,1018.31,52114.82,1.43E-10,0.043494174,4.13E-12
137,921.8035868,26204.82752,5008.466155,2499.111947,8506.198654,116.5057311,1.28028276,4099.465396,4199.327451,2500.053306,1022.64,55079.63,1.46E-10,0.050031222,-3.36E-12
138,904.6087,25746.07073,4712.028605,2285.459863,8660.557387,114.6509634,0.02599007,3992.625307,4150.112894,2505.272679,1012.97,54084.33,1.44E-10,0.053119567,8.39E-12
139,900.4630716,25211.70662,4157.242796,1007.511129,8692.302266,114.6043909,0.025938891,4040.119627,3940.627903,2507.860025,1032.99,51605.38,1.43E-10,0.073764514,1.56E-12
140,896.9401329,24092.6686,2426.273449,1176.604051,8687.217916,114.6370114,0.025974738,3827.112533,3752.787438,2497.613068,1022.88,48494.67,1.47E-10,0.090172476,1.07E-12
141,903.3235072,22074.49377,1920.511322,828.6791277,8751.10462,115.1294666,0.026515897,3579.134736,3375.444142,2441.131856,1023.1,45012,1.66E-10,0.079065356,-9.28E-13
142,902.0743798,20164.90987,833.6586263,881.8030455,8544.367441,115.2932143,0.02669584,3565.220934,3036.899282,2500.343175,1022.64,41567.17,1.46E-10,0.066665777,-5.36E-12
143,909.3544236,17637.42298,876.4251547,392.6182052,8543.878748,115.2524409,0.026651034,3569.026136,2820.518525,2322.954736,923.41,38110.83,1.24E-10,0.058005421,4.23E-12
144,931.8318059,16659.36562,758.230264,385.4975416,8672.418205,116.1598553,0.027648193,3509.048814,2743.159659,2353.017718,922.29,37051,1.19E-10,0.047125887,-1.29E-12
145,901.1125352,16344.70011,582.637146,295.0217752,8549.459478,112.3304667,0.023440073,3367.4452,2546.568712,2321.437444,922.22,35942.91,1.27E-10,0.046304549,3.68E-12
146,888.0597574,15476.57018,609.476628,282.23269,8412.237291,110.7033396,0.021652022,3274.87242,2350.317056,2271.246834,922.26,34597.95,1.41E-10,0.04785121,-2.93E-12
147,932.2883858,15771.95991,693.7661853,292.3820522,8750.943528,116.6963454,0.028237742,1829.952581,1927.413265,2369.133038,922.45,33606.97,1.15E-10,0.043533571,-4.85E-12
148,855.3247027,13859.38356,587.4350837,266.6883202,8233.701562,109.3181853,0.020129874,3344.415691,2123.896172,2211.938635,922.42,32514.49,1.63E-10,0.052042857,-3.35E-12
149,861.1188093,13074.00889,827.2545865,262.447727,8505.967115,110.0587242,0.020943653,3411.820451,2149.168714,2215.339697,922.4,32339.56,1.62E-10,0.045655586,9.09E-13
150,875.4581498,13816.74611,1034.073461,282.8024922,8675.88863,111.8914208,0.022957605,3472.322774,2299.307219,2225.367493,922.35,33716.19,1.58E-10,0.040704816,3.65E-12
151,882.6335558,15275.39508,1458.641952,316.5563386,8754.334509,112.967164,0.024139741,3351.772997,2377.276033,2234.235428,922.31,35686.11,1.54E-10,0.037200647,-1.74E-12
152,931.1786707,17079.91525,1560.707913,632.1522807,9248.833783,119.3482522,152.1362335,3408.638542,2424.999102,2314.515283,923.16,38795.55,1.27E-10,0.035310368,2.18E-12
153,892.0777408,19561.99046,1817.889514,913.317687,8603.427623,113.6961826,1521.779675,3188.490749,2312.65532,2439.405558,1022.23,42386.92,1.67E-10,0.040507579,-2.18E-12
154,836.7640012,20281.50943,2142.587259,961.689331,8070.647719,107.2472171,3170.274878,2948.709199,2287.547784,2294.665345,1022.33,44123.93,2.58E-10,0.042164072,-7.63E-12
155,801.0141376,20067.57213,2332.297574,815.8477327,7950.806995,103.835166,4193.343242,2762.471833,2238.73182,2217.100018,1022.4,44505.38,3.67E-10,0.040651716,-5.52E-12
156,776.2304509,19979.54545,2439.421633,770.6380125,7887.575129,101.782379,4664.093632,2792.863741,2285.070333,2220.451321,1022.34,44939.97,3.61E-10,0.042084243,2.82E-12
157,796.2901444,20677.19171,2415.222481,771.0838377,8077.475566,104.2624506,3732.824878,2897.579533,2352.206714,2293.463774,1022.26,45139.82,2.61E-10,0.041086231,-1.02E-11
158,809.9521081,21680.9775,2707.318052,850.0955071,8345.104228,107.4426266,3063.88589,2993.044598,2471.180412,2348.343833,1022.34,46399.64,2.14E-10,0.044749316,7.46E-12
159,867.028984,24119.74108,4139.120976,923.5743525,8750.70992,114.3473008,985.145976,3441.728097,2573.44255,2482.830792,1022.29,49419.91,1.51E-10,0.050031698,7.57E-13
160,886.814938,26621.30281,6854.664587,1472.838844,9021.137922,117.9826891,20.74420908,3645.794745,2736.939085,2495.532561,1040.18,54913.88,1.46E-10,0.052390321,4.49E-12
161,879.80994,27042.7788,8566.770063,2432.118283,9054.710633,115.0326215,2.528189483,3818.830214,2782.272526,2447.10374,1017.36,58159.24,1.64E-10,0.075011982,1.87E-12
162,863.2046818,26294.06284,7980.90109,2058.219256,9033.711424,113.5139105,0.024740561,3762.175318,3041.174876,2460.820648,1018.84,56626.58,1.59E-10,0.068788639,7.85E-12
163,868.6168177,25550.77436,6706.269385,1157.326132,9042.077074,113.2437398,0.02444367,3679.799327,3204.424507,2475.794718,1016.01,53814.3,1.54E-10,0.060499593,-2.14E-12
164,856.9268424,23839.38325,4954.842507,994.1835228,8992.167385,112.525747,0.023654667,3605.77009,3467.276863,2499.810965,1022.59,50345.45,1.46E-10,0.050829741,1.91E-12
165,863.3449675,21281.82451,3184.976062,777.9999778,9011.93615,112.5564356,0.023688391,3630.254269,3736.626285,2426.754409,1022.71,46048.96,1.72E-10,0.046757304,-6.80E-12
166,862.8336524,17490.97701,1709.551159,807.0469939,9052.315129,112.8130206,0.023970353,3686.878279,3934.818984,2464.580137,1022.75,41144.54,1.57E-10,0.048340641,-7.39E-12
167,875.6693835,13249.53201,1268.210831,330.8923101,9222.207731,114.4912556,0.025814567,3793.309183,4133.008512,2548.694318,1022.88,36558.88,1.32E-10,0.04134641,3.02E-12
168,859.4548329,13187.41534,1212.179071,320.4325822,9150.958394,113.0207945,0.024198675,3852.642907,3994.229397,2264.286592,923.65,35878.25,1.42E-10,0.044108855,3.63E-12
169,848.5630414,12819.6236,1207.196419,279.6124635,8984.070023,110.629279,0.021570636,3893.907481,4218.50108,2279.925516,922.34,35564.34,1.38E-10,0.050470993,-2.00E-12
170,841.5671576,11517.13675,1201.893326,258.757718,8974.298051,110.0324876,0.020914822,3887.411511,4554.861326,2258.359427,922.56,34526.85,1.45E-10,0.048666839,-4.33E-12
171,828.8597697,10861.91815,1221.60437,265.0423682,8958.432046,109.6311614,0.020473804,3981.659214,4494.877618,2206.522031,922.48,33851,1.66E-10,0.0471973,5.66E-12
172,836.1915824,10326.60665,1215.951943,249.1802996,8950.125089,109.0163811,0.019798221,3932.975595,4691.298333,2119.95992,922.37,33353.64,2.16E-10,0.055590028,3.44E-12
